E_1_task1,I_2_task1,M_3_task1,N_4_task1,S_5_task1,_1_task1
2.7112230590218567e-06,3.302128808171363e-07,2.2000243630466394,1.333335528878122,1.3333324874421821,25.0
1.5164158478599663e-06,1.8469149443960673e-07,2.2000136408036,1.3333345346168468,1.3333328335095045,26.0
8.481475491017043e-07,1.0329989716924731e-07,2.200007622779664,1.3333339905662858,1.3333330391188396,27.0
4.743837313048247e-07,5.777742806656183e-08,2.2000042519274072,1.3333336928919135,1.333333160730754,28.0
2.653305335418394e-07,3.231585236399828e-08,2.2000023674222082,1.333333530025852,1.333333232379466,29.0
1.4840379712272037e-07,1.8074794941980426e-08,2.2000013158408125,1.3333334409240325,1.3333332744454405,30.0
8.30047838522523e-08,1.0109541929542782e-08,2.2000007301020545,1.3333333921810346,1.3333332990667088,31.0
4.642596231192473e-08,5.654435613309743e-09,2.2000004044142667,1.3333333655181077,1.3333333134377097,32.0
2.5968751085603045e-08,3.1628559209086306e-09,2.200000223652059,1.3333333509360257,1.3333333218044185,33.0
1.4526943172670641e-08,1.7693044946486217e-09,2.2000001234888145,1.3333333429610148,1.3333333266647671,34.0
8.125820444549758e-09,9.896817538377522e-10,2.200000068065281,1.3333333385981825,1.3333333294826804,35.0
4.545457455734925e-09,5.536125651333038e-10,2.200000037455142,1.333333336212321,1.333333331113251,36.0
2.5430445295367115e-09,3.0972931058941623e-10,2.2000000205795227,1.3333333349077994,1.3333333320550256,37.0
1.4249552505393833e-09,1.7355197761011935e-10,2.2000000113079565,1.3333333341960434,1.333333332597536,38.0
7.99165218095143e-10,9.733407695066055e-11,2.200000006209105,1.3333333338067512,1.333333332910252,39.0
4.4729737580904627e-10,5.447844350219884e-11,2.2000000033954086,1.3333333335924413,1.3333333330906656,40.0
2.516187588050551e-10,3.064582777174947e-11,2.200000001865315,1.3333333334759074,1.3333333331936428,41.0
1.4492487071076635e-10,1.7651079180781494e-11,2.200000001054057,1.3333333334141508,1.3333333332515749,42.0
8.582973699375905e-11,1.0453605916620027e-11,2.200000000616298,1.3333333333809705,1.333333333284687,43.0
5.04656596142613e-11,6.146449199873028e-12,2.200000000355847,1.3333333333616437,1.3333333333050317,44.0
2.835086785597635e-11,3.452985064652805e-12,2.2000000001933735,1.3333333333493458,1.333333333317542,45.0
1.5592639314176438e-11,1.8991006147122964e-12,2.200000000102649,1.333333333341934,1.3333333333244421,46.0
9.128078860565501e-12,1.1117515008158427e-12,2.20000000005978,1.3333333333381578,1.333333333327918,47.0
5.691654677481322e-12,6.932132972425997e-13,2.2000000000375546,1.333333333336371,1.3333333333299862,48.0
3.301953398052124e-12,4.02160380285051e-13,2.200000000020895,1.3333333333352235,1.3333333333315194,49.0
1.6206449057517495e-12,1.9738593812049215e-13,2.2000000000090822,1.333333333334291,1.3333333333324728,50.0
7.904912299942108e-13,9.627762993928136e-14,2.2000000000041027,1.333333333333716,1.3333333333328292,51.0
5.49316190530612e-13,6.690379228223563e-14,2.2000000000033637,1.3333333333335409,1.3333333333329247,52.0
5.59385998846988e-13,6.813024377028912e-14,2.200000000003861,1.3333333333336457,1.3333333333330182,53.0
6.430315145795825e-13,7.831782518081658e-14,2.200000000004559,1.333333333333848,1.3333333333331265,54.0
8.743001434090159e-13,1.0648511745662096e-13,2.2000000000062445,1.3333333333341888,1.333333333333208,55.0
8.446337571411145e-13,1.0287190852524578e-13,2.2000000000061055,1.3333333333342259,1.3333333333332784,56.0
7.863426304806952e-13,9.577235800842983e-14,2.2000000000058586,1.3333333333341801,1.3333333333332982,57.0
5.531449681301352e-13,6.737012021382259e-14,2.2000000000043025,1.3333333333339323,1.333333333333312,58.0
3.2185476586920257e-13,3.920020150939512e-14,2.2000000000026287,1.3333333333336852,1.333333333333324,59.0
1.300763274926488e-13,1.5842606132615296e-14,2.2000000000011606,1.3333333333334751,1.3333333333333293,60.0
-3.485976863498815e-14,-4.245733733452084e-15,2.1999999999997164,1.333333333333308,1.333333333333347,61.0
-2.6275393541377165e-13,-3.2002030889199396e-14,2.199999999997566,1.3333333333330954,1.33333333333339,62.0
-4.4448214117976865e-13,-5.41355595395943e-14,2.1999999999957875,1.3333333333329265,1.3333333333334252,63.0
-4.5321369381763515e-13,-5.519901733446059e-14,2.1999999999956965,1.3333333333328958,1.3333333333334043,64.0
-5.521823171885414e-13,-6.725286911226286e-14,2.199999999994639,1.3333333333328097,1.3333333333334292,65.0
-7.272901180453389e-13,-8.85800666189282e-14,2.199999999992782,1.333333333332681,1.3333333333334967,66.0
-7.965615413795691e-13,-9.701695698979031e-14,2.1999999999919995,1.3333333333326454,1.3333333333335389,67.0
-6.474211638170687e-13,-7.885245353355538e-14,2.1999999999934574,1.3333333333327888,1.3333333333335151,68.0
-6.153188054836142e-13,-7.494255723452286e-14,2.1999999999937474,1.3333333333328323,1.3333333333335227,69.0
-5.921267994888196e-13,-7.21178944638627e-14,2.199999999993986,1.3333333333328543,1.3333333333335187,70.0
-5.132087603698608e-13,-6.250609796719137e-14,2.199999999994844,1.3333333333328963,1.333333333333472,71.0
-3.5534126195141396e-13,-4.32786782967491e-14,2.1999999999965665,1.3333333333329649,1.3333333333333635,72.0
-2.5239866197476646e-13,-3.074081801879547e-14,2.1999999999976887,1.33333333333302,1.333333333333303,73.0
-1.5469850822414916e-13,-1.8841459413746233e-14,2.1999999999987323,1.3333333333330772,1.3333333333332509,74.0
-7.710482712382405e-14,-9.39096151155231e-15,2.199999999999513,1.3333333333331348,1.3333333333332211,75.0
-3.083623971015296e-14,-3.755692495054565e-15,2.1999999999998954,1.3333333333331887,1.3333333333332233,76.0
2.1050292532594032e-14,2.563811803231306e-15,2.2000000000003856,1.3333333333332384,1.3333333333332147,77.0
5.233900262955739e-14,6.3746110535248035e-15,2.2000000000006494,1.3333333333332806,1.3333333333332218,78.0
5.92515310084965e-14,7.216521042490746e-15,2.2000000000006525,1.333333333333313,1.3333333333332464,79.0
5.87979008506758e-14,7.161272160645518e-15,2.2000000000005757,1.3333333333333421,1.3333333333332762,80.0
1.0380703634020609e-13,1.2643146805447935e-14,2.2000000000009656,1.333333333333391,1.3333333333332744,81.0
1.5073449691456237e-13,1.83586632933683e-14,2.2000000000013764,1.3333333333334396,1.3333333333332704,82.0
1.9647833902013848e-13,2.393002131391467e-14,2.2000000000017783,1.333333333333486,1.3333333333332655,83.0
2.3793661910332806e-13,2.897942055659516e-14,2.200000000002143,1.3333333333335284,1.3333333333332613,84.0
2.720073936105244e-13,3.3129060710917786e-14,2.2000000000024413,1.3333333333335644,1.3333333333332593,85.0
2.9558871898812156e-13,3.6001141466390655e-14,2.2000000000026443,1.3333333333335928,1.3333333333332613,86.0
3.0557865168251316e-13,3.721786251252183e-14,2.200000000002723,1.3333333333336113,1.3333333333332684,87.0
2.988752481400929e-13,3.640142353881938e-14,2.2000000000026483,1.3333333333336175,1.3333333333332822,88.0
2.7237656480725425e-13,3.317402423479138e-14,2.200000000002391,1.33333333333361,1.3333333333333044,89.0
2.22980658130391e-13,2.7157864289945902e-14,2.200000000001923,1.3333333333335862,1.3333333333333361,90.0
1.5230781574587524e-13,1.8550286164207455e-14,2.2000000000012587,1.3333333333335482,1.3333333333333772,91.0
1.6627129763957747e-13,2.0250964464930862e-14,2.200000000001384,1.3333333333335633,1.3333333333333768,92.0
1.781024052549664e-13,2.169193085972356e-14,2.200000000001491,1.3333333333335764,1.3333333333333766,93.0
1.8714867665696324e-13,2.279371893736441e-14,2.2000000000015736,1.3333333333335868,1.3333333333333768,94.0
1.9275764991048944e-13,2.3476862286632233e-14,2.200000000001625,1.333333333333594,1.3333333333333777,95.0
1.9427686308046656e-13,2.366189449630588e-14,2.2000000000016406,1.3333333333335977,1.3333333333333797,96.0
1.9105385423181576e-13,2.3269349155164184e-14,2.2000000000016127,1.3333333333335973,1.333333333333383,97.0
1.8243616142945856e-13,2.2219759851985976e-14,2.200000000001536,1.333333333333593,1.3333333333333883,98.0
1.6777132273831625e-13,2.043366017555009e-14,2.200000000001404,1.333333333333584,1.3333333333333957,99.0
1.4640687622331025e-13,1.783158371463537e-14,2.2000000000012103,1.3333333333335695,1.3333333333334054,100.0
