Time,Pathogen_Virus,Recombinant_Virus,Normal_Th_cells,Single_Infected_Th_Cells,Double_Infected_Th_Cells,d,lamda,beta,a,alpha,b,k,u,c,q,Plasma,Production_of_Normal_cells,Degradation_of_Normal_cells,Infection_of_Normal_cells_with_Pathogen,Degradation_of_Single_Infected_Cells,Infection_of_Single_Infeced_Cells_with_Recombinant_Virus,Release_of_Pathogen,Degradation_of_Double_Infected_Cells,Release_of_Recombinant_Virus,Degradation_of_Pathogen_Virus,Degradation_of_Recombinant_Virus
41.1,18.224818877002942,152.8033984873527,26.16577085255582,1.059703992535394,0.20447536928002058,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.2616577085255582,1.9074657382599707,0.34970231753668,0.6477054858000977,52.9851996267697,0.40895073856004116,408.95073856004115,36.449637754005884,305.6067969747054
41.4,23.70775069476538,198.69347615970673,26.03309515599651,1.3445270507459743,0.3054018699215556,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.2603309515599651,2.468744519085878,0.44369392674617153,1.0685950140139042,67.22635253729872,0.6108037398431112,610.8037398431112,47.41550138953076,397.38695231941347
41.7,29.849717445915193,290.0151775441158,25.724040010993438,1.6020132570165997,0.49785861274600707,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.2572404001099344,3.071421303582285,0.5286643748154779,1.8584326366467854,80.10066285082999,0.9957172254920141,995.7172254920141,59.699434891830386,580.0303550882315
42.0,35.28335385276858,462.75864168315775,25.246782686509427,1.6983726045913,0.8434639522886183,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.2524678268650943,3.5631646686882537,0.560462959515129,3.143746398290227,84.918630229565,1.6869279045772365,1686.9279045772364,70.56670770553715,925.5172833663155
42.3,37.50728753147342,755.837735853515,24.670340267898148,1.4828491768140424,1.3480092507465635,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.24670340267898147,3.7012701837093713,0.489340228348634,4.483173457661497,74.14245884070212,2.696018501493127,2696.018501493127,75.01457506294685,1511.67547170703
42.6,34.51043783463623,1144.3150399773592,24.13012930501562,1.0145997202362047,1.8022854039304124,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.24130129305015618,3.330965309289901,0.33481790767794756,4.64408687769244,50.72998601181023,3.6045708078608247,3604.5708078608245,69.02087566927246,2288.6300799547184
42.9,27.60562558388413,1482.9844135257028,23.761106420059885,0.5929102741665284,1.9091592371844204,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.23761106420059885,2.6237608291639947,0.1956603904749544,3.5171067808328513,29.64551370832642,3.8183184743688408,3818.3184743688407,55.21125116776826,2965.9688270514057
43.2,20.21955442005387,1628.336348916634,23.613014378049158,0.35698174968984536,1.6866291813833476,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.23613014378049157,1.909778516953918,0.11780397739764897,2.3251454356793384,17.84908748449227,3.373258362766695,3373.2583627666954,40.43910884010774,3256.672697833268
43.5,14.346937581517683,1570.9946895463063,23.656642111924146,0.2440422060257235,1.3449957571333269,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.23656642111924148,1.3576014710723134,0.08053392798848875,1.5335560387663087,12.202110301286174,2.6899915142666537,2689.9915142666537,28.693875163035365,3141.9893790926126
43.8,10.246517408935448,1386.333695210224,23.839080514304506,0.18838545238748294,1.0191514015307852,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.23839080514304506,0.9770702140113398,0.062167199287869374,1.044660401328756,9.419272619374148,2.0383028030615704,2038.3028030615703,20.493034817870896,2772.667390420448
44.1,7.556047077453344,1152.5011755591145,24.11405910018836,0.1603387594304161,0.7544920167058855,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.2411405910018836,0.7288278631580619,0.05291179061203731,0.7391624349249785,8.016937971520804,1.508984033411771,1508.984033411771,15.112094154906687,2305.002351118229
44.4,5.867706392133413,921.1998963921558,24.447758205916347,0.1480960474157759,0.5552115329094993,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.24447758205916348,0.5738090683927498,0.048871695647206045,0.5457042541420022,7.404802370788794,1.1104230658189986,1110.4230658189986,11.735412784266826,1842.3997927843116
44.7,4.87464522503445,718.5930991255199,24.816577313056577,0.14701019171784763,0.41151018625988245,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.2481657731305658,0.48388804040315797,0.04851336326688972,0.4225620370782599,7.3505095858923815,0.8230203725197649,823.0203725197649,9.7492904500689,1437.1861982510397
45.0,4.378151235108465,553.6939329197824,25.2037927387235,0.15567462836743956,0.3108446496327956,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.252037927387235,0.4413840652338403,0.05137262736125506,0.34478438894637253,7.783731418371978,0.6216892992655912,621.6892992655912,8.75630247021693,1107.3878658395647
45.3,4.2655755752995415,426.05022096775554,25.596753049869886,0.17455093811588773,0.24203841258612238,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.25596753049869886,0.4367395384659961,0.05760180957824296,0.29746986301761197,8.727546905794387,0.48407682517224476,484.07682517224475,8.531151150599083,852.1004419355111
45.6,4.489352525816178,330.9818341987352,25.98473781295152,0.20553210244947492,0.196437614968616,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.2598473781295152,0.4666185933329802,0.06782559380832673,0.2721095690217983,10.276605122473747,0.392875229937232,392.875229937232,8.978705051632357,661.9636683974704
45.9,5.053220005548425,262.6589174177289,26.357277959388203,0.2518887029656904,0.16794921365453488,0.01,2.0,0.004,0.33,0.004,2.0,50.0,2.0,2000.0,2.0,1.0,2.0,0.26357277959388203,0.5327564971047242,0.08312327197867783,0.26464325612289646,12.59443514828452,0.33589842730906977,335.89842730906975,10.10644001109685,525.3178348354578
