ADP,ATP,Fru16P2,Glc,HMP,Tre6P,Time
2.5018931061668317,2.4981068938331683,6.101435424115294,10.0,10.585556574732163,112.05400799685532,2.3
2.4984729297414017,2.5015270702585983,6.108183061029603,10.0,10.59004445220012,112.14904149957454,2.31
2.495088569800281,2.504911430199719,6.114878108441197,10.0,10.594477980225593,112.24296367348495,2.32
2.4917395728480662,2.5082604271519338,6.121521098172461,10.0,10.598857933635129,112.33578949738032,2.33
2.4884254962780195,2.5115745037219805,6.128112547885548,10.0,10.603185065486715,112.42753353296051,2.34
2.4851459083720706,2.5148540916279294,6.134652961082384,10.0,10.607460107069771,112.51820992307664,2.35
2.481900388300817,2.518099611699183,6.141142827104667,10.0,10.611683767905156,112.60783239002176,2.36
2.4786885230106273,2.5213114769893727,6.147582625820582,10.0,10.615856742357893,112.69641437426554,2.37
2.475509843067507,2.524490156932493,6.153972924217182,10.0,10.619979845924307,112.78397192783848,2.38
2.4723639077292656,2.5276360922707344,6.160314248317195,10.0,10.624053834512889,112.87051987862802,2.39
2.4692503060798576,2.5307496939201424,6.166607081471173,10.0,10.628079402034603,112.9560717759522,2.4
2.4661686350512775,2.5338313649487225,6.172851897447363,10.0,10.632057227091066,113.04064088013936,2.41
2.4631184994235564,2.5368815005764436,6.179049160431697,10.0,10.635987972974553,113.12424016125934,2.42
2.460099511824765,2.539900488175235,6.185199325027799,10.0,10.639872287667993,113.20688229788533,2.43
2.4571112927310117,2.5428887072689883,6.1913028362569795,10.0,10.643710803844973,113.28857967588621,2.44
2.4541534704664425,2.5458465295335575,6.19736012955824,10.0,10.647504138869731,113.36934438724806,2.45
2.451225681203243,2.548774318796757,6.2033716307882685,10.0,10.65125289479716,113.44918822892488,2.46
2.448327535567296,2.551672464432704,6.209337801123724,10.0,10.654957731650505,113.52812426325887,2.47
2.4454586320713316,2.5545413679286684,6.2152591189989215,10.0,10.658619337944792,113.60616619121068,2.48
2.4426186060094013,2.5573813939905987,6.221136014361956,10.0,10.66223832339698,113.68332606491526,2.49
2.439807098306932,2.560192901693068,6.226968910559152,10.0,10.665815287278738,113.75961574234883,2.5
2.437023755472705,2.562976244527295,6.232758224399636,10.0,10.669350818521819,113.8350468886922,2.51
2.434268229598854,2.565731770401146,6.2385043661553325,10.0,10.672845495718061,113.9096309754693,2.52
2.4315401783608723,2.5684598216391277,6.2442077395609665,10.0,10.676299887119383,113.98337927970535,2.53
2.4288392650176034,2.5711607349823966,6.249868741814061,10.0,10.679714550637788,114.0563028831045,2.54
2.4261651584112482,2.5738348415887518,6.25548776357494,10.0,10.683090033845366,114.12841267124618,2.55
2.423517528906789,2.576482471093211,6.26106519635462,10.0,10.68642688125994,114.19971948851506,2.56
2.420896040291852,2.579103959708148,6.266601447252394,10.0,10.689725648878708,114.27023444829533,2.57
2.4183003708932787,2.5816996291067213,6.272096900535854,10.0,10.692986866289946,114.33996812264928,2.58
2.4157302049842766,2.5842697950157234,6.277551933274928,10.0,10.696211052090687,114.40893087086697,2.59
2.4131852318191815,2.5868147681808185,6.28296691709804,10.0,10.699398715618582,114.47713287578055,2.6
2.4106651456334656,2.5893348543665344,6.288342218192108,10.0,10.702550356951901,114.54458414309127,2.61
2.408169645643732,2.591830354356268,6.293678197302548,10.0,10.705666466909529,114.61129450071115,2.62
2.4056984360477163,2.5943015639522837,6.298975209733272,10.0,10.708747527050965,114.67727359812017,2.63
2.403251226024287,2.596748773975713,6.304233605346686,10.0,10.711794009676332,114.74253090573775,2.64
2.4008277609110302,2.5991722390889698,6.309453688675401,10.0,10.714806308821824,114.80707423556797,2.65
2.3984276648209177,2.6015723351790823,6.3146359202769045,10.0,10.717785088592157,114.87091720524839,2.66
2.3960507045743435,2.6039492954256565,6.319780579061531,10.0,10.72073069900664,114.93406672062342,2.67
2.393696600323287,2.606303399676713,6.32488800457803,10.0,10.72364359513981,114.99653195558308,2.68
2.39136507704041,2.60863492295959,6.3299585311389235,10.0,10.72652422316193,115.05832191007963,2.69
2.389055864451054,2.610944135548946,6.334992487907513,10.0,10.729373020489515,115.11944541280829,2.7
2.386768696965224,2.613231303034776,6.339990198984892,10.0,10.73219041593586,115.17991112390551,2.71
2.3845033136095863,2.6154966863904137,6.344951983496953,10.0,10.734976829861555,115.23972753766445,2.72
2.3822594579594543,2.6177405420405457,6.349878155681402,10.0,10.737732674325018,115.2989029852671,2.73
2.3800368780367114,2.6199631219632886,6.354769025013803,10.0,10.740458353302149,115.35744563901791,2.74
2.377835314167566,2.622164685832434,6.359624910128222,10.0,10.74315428733985,115.4153640415886,2.75
2.3756545098045376,2.6243454901954624,6.364446126427412,10.0,10.74582089160682,115.4726666344936,2.76
2.3734942204311973,2.6265057795688027,6.36923297588959,10.0,10.748458557835093,115.52936136949845,2.77
2.371354205187021,2.628645794812979,6.373985756673072,10.0,10.751067671328771,115.58545607349065,2.78
2.369234226777446,2.630765773222554,6.378704763228414,10.0,10.753648611159047,115.6409584522829,2.79
2.3671340513839363,2.6328659486160637,6.383390286410536,10.0,10.756201750359228,115.69587609443091,2.8
2.365053448574041,2.634946551425959,6.388042613590869,10.0,10.758727456119775,115.75021647506549,2.81
2.362992191211457,2.637007808788543,6.392662028769487,10.0,10.761226089983309,115.80398695973744,2.82
2.3609500553660876,2.6390499446339124,6.397248812687237,10.0,10.763698008039652,115.85719480827677,2.83
2.358926820224107,2.641073179775893,6.401803242937882,10.0,10.766143561120856,115.90984717866407,2.84
2.356922267998018,2.643077732001982,6.406325594080235,10.0,10.768563094996217,115.96195113091451,2.85
2.3549361838367155,2.6450638161632845,6.41081613775029,10.0,10.770956950567307,116.01351363097417,2.86
2.352968355735546,2.647031644264454,6.415275142773362,10.0,10.773325464063001,116.06454155462828,2.87
2.351018574446369,2.648981425553631,6.419702875276223,10.0,10.775668967234505,116.11504169142076,2.88
2.34908663338762,2.65091336661238,6.424099598799231,10.0,10.777987787550384,116.1650207485852,2.89
2.347172328913221,2.652827671086779,6.42846557273572,10.0,10.780282245600016,116.21448529479893,2.9
2.3452754610324758,2.6547245389675242,6.432801048669217,10.0,10.782552648988908,116.26344162821772,2.91
2.3433958312023857,2.6566041687976143,6.437106280357157,10.0,10.784799309007806,116.31189613557524,2.92
2.341533243117202,2.658466756882798,6.441381519743404,10.0,10.787022533986104,116.35985514872398,2.93
2.3396875027366533,2.6603124972633467,6.4456270165195475,10.0,10.78922262856763,116.40732492879582,2.94
2.337858418197894,2.662141581802106,6.449843018228263,10.0,10.79139989389101,116.45431166987089,2.95
2.3360457997274495,2.6639542002725505,6.45402977036664,10.0,10.793554627770009,116.50082150265537,2.96
2.334249459553163,2.665750540446837,6.458187516489547,10.0,10.795687124873913,116.54686049816837,2.97
2.3324692118161425,2.6675307881838575,6.462316498312958,10.0,10.79779767690786,116.59243467143679,2.98
2.330704872482708,2.669295127517292,6.4664169558173175,10.0,10.799886572793223,116.63754998519936,2.99
2.328956259256338,2.671043740743662,6.470489127350872,10.0,10.80195409884795,116.68221235361804,3.0
2.3272231914896144,2.6727768085103856,6.47453324973302,10.0,10.804000538966928,116.72642764599767,3.01
2.3255054900961727,2.6744945099038273,6.4785495583576616,10.0,10.806026174802343,116.77020169051335,3.02
2.3238029774626447,2.6761970225373553,6.482538287296541,10.0,10.808031285944036,116.8135402779451,3.03
2.3221154773606085,2.6778845226393915,6.486499669402592,10.0,10.810016150099855,116.85644916541969,3.04
2.320442815674142,2.679557184325858,6.490433935424363,10.0,10.811981041388465,116.8989340393436,3.05
2.318784848475346,2.681215151524654,6.4943412799612235,10.0,10.81392616534066,116.94099910943936,3.06
2.3171414259569607,2.6828585740430393,6.498221905191398,10.0,10.81585174234678,116.98264891242587,3.07
2.315512388092839,2.684487611907161,6.502076026130196,10.0,10.817758017676251,117.02388852899881,3.08
2.313897576930501,2.686102423069499,6.505903855721958,10.0,10.81964523300548,117.0647229680982,3.09
2.3122968365476275,2.6877031634523725,6.5097056048893815,10.0,10.821513626495113,117.10515716841941,3.1
2.310710013008558,2.689289986991442,6.513481482582858,10.0,10.823363432867298,117.14519599992899,3.11
2.3091369543207834,2.6908630456792166,6.5172316958298,10.0,10.825194883482942,117.18484426538527,3.12
2.307577510391441,2.692422489608559,6.520956449783974,10.0,10.82700820641897,117.22410670186372,3.13
2.3060315329838095,2.6939684670161905,6.524655947774832,10.0,10.82880362654559,117.2629879822869,3.14
2.304498875673807,2.695501124326193,6.528330391356845,10.0,10.830581365603539,117.30149271695862,3.15
2.302979393806479,2.697020606193521,6.5319799803588285,10.0,10.832341642281364,117.3396254551029,3.16
2.301472944452502,2.698527055547498,6.535604912933281,10.0,10.834084672292665,117.37739068640686,3.17
2.2999793863646714,2.7000206136353286,6.539205385605711,10.0,10.835810668453357,117.41479284256759,3.18
2.2984985799343995,2.7015014200656005,6.542781593323967,10.0,10.837519840758938,117.45183629884365,3.19
2.2970303871482107,2.7029696128517893,6.546333729507575,10.0,10.839212396461738,117.48852537560981,3.2
2.295574674779209,2.704425325220791,6.549861981094936,10.0,10.840888536491223,117.5248642606268,3.21
2.2941313166744246,2.7058686833255754,6.553366524988557,10.0,10.842548452896336,117.56085695340474,3.22
2.292700182410689,2.707299817589311,6.556847545578114,10.0,10.844192341697527,117.59650754373129,3.23
2.291281142993588,2.708718857006412,6.56030522591044,10.0,10.845820396472453,117.63182007253788,3.24
2.28987407109758,2.71012592890242,6.563739747300292,10.0,10.847432808112625,117.66679852651815,3.25
2.28847884103373,2.71152115896627,6.567151289362302,10.0,10.849029764887964,117.701446839425,3.26
2.2870953287174456,2.7129046712825544,6.570540030042931,10.0,10.850611452511345,117.73576889337035,3.27
2.285723411636214,2.714276588363786,6.5739061456524155,10.0,10.852178054203153,117.76976852012852,3.28
2.284362968817338,2.715637031182662,6.57724981089672,10.0,10.853729750755837,117.80344950244238,3.29
2.28301388079567,2.71698611920433,6.580571198909481,10.0,10.855266720598463,117.83681557533251,3.3
2.281676029581349,2.718323970418651,6.5838704812839675,10.0,10.856789139861261,117.86987042740942,3.31
2.2803492986275353,2.7196507013724647,6.58714782810502,10.0,10.858297182440184,117.90261770218844,3.32
2.279033572798149,2.720966427201851,6.590403407981011,10.0,10.859791020061458,117.93506099940748,3.33
2.277728738335602,2.722271261664398,6.593637388075786,10.0,10.86127082234613,117.96720387634738,3.34
2.276434682828538,2.723565317171462,6.59684993414062,10.0,10.862736756874632,117.9990498491552,3.35
2.2751512953178437,2.7248487046821563,6.60004121006985,10.0,10.864188988750138,118.03060238327976,3.36
2.2738784679124433,2.7261215320875567,6.603211372256087,10.0,10.865627674690003,118.0618647649893,3.37
2.2726160931454826,2.7273839068545174,6.606360578617682,10.0,10.867052972555477,118.09284030832683,3.38
2.271364064341042,2.728635935658958,6.609488987256396,10.0,10.868465039970246,118.12353232505545,3.39
2.270122276073436,2.729877723926564,6.612596754796159,10.0,10.86986403260337,118.1539440872844,3.4
2.268890624137508,2.731109375862492,6.615684036406187,10.0,10.871250104224563,118.18407882860258,3.41
2.2676690055189357,2.7323309944810643,6.618750985824107,10.0,10.872623406759438,118.2139397452132,3.42
2.2664573183645245,2.7335426816354755,6.6217977553790695,10.0,10.873984090344777,118.24352999707133,3.43
2.2652554619525103,2.7347445380474897,6.624824496014877,10.0,10.875332303383795,118.27285270902307,3.44
2.2640633366628578,2.7359366633371422,6.627831357313101,10.0,10.876668192601393,118.30191097194685,3.45
2.2628808439475594,2.7371191560524406,6.6308184875162,10.0,10.87799190309943,118.33070784389675,3.46
2.261707886300934,2.738292113699066,6.633786033550643,10.0,10.879303578411974,118.35924635124759,3.47
2.260544367229928,2.739455632770072,6.636734141050027,10.0,10.880603360560576,118.3875294898421,3.48
2.2593901912244134,2.7406098087755866,6.639662954378203,10.0,10.88189139010952,118.41556022613969,3.49
2.2582452637274844,2.7417547362725156,6.6425726166523855,10.0,10.883167806221088,118.44334149836713,3.5
2.257109491105763,2.742890508894237,6.645463269766286,10.0,10.884432746710832,118.4708762176711,3.51
2.2559826749766927,2.7440173250233073,6.648335177052524,10.0,10.885686473309296,118.49816999518897,3.52
2.2548649819270024,2.7451350180729976,6.651188195441579,10.0,10.886928784144525,118.52521835103458,3.53
2.253756172616176,2.746243827383824,6.654022632241546,10.0,10.888159994759093,118.55202807147232,3.54
2.2526561611282965,2.7473438388717035,6.656838622661008,10.0,10.889380227727562,118.57860174402397,3.55
2.2515648623117226,2.7484351376882774,6.659636301078259,10.0,10.890589604098524,118.60494192489885,3.56
