ara,mGFPcr,mT3cr,mT7cr,pGFP,pT3,pT7,taRNA,Time
0.009721000000000002,0.1769926248651923,0.005666533440034751,0.356940509900964,6.348081673829865,6.756141100964033e-05,0.05373236945905784,0.11660705647780575,0.9400000000000001
0.009718000000000003,0.17699266628063473,0.00566660297126516,0.3569405099009739,6.348275228966135,6.763309576589281e-05,0.0537624640624831,0.11770876023126872,0.9500000000000001
0.009715000000000003,0.17699270855668459,0.005666673980192203,0.3569405099009838,6.348470711363452,6.770549366498885e-05,0.05379285789699338,0.11880884368856393,0.96
0.009712000000000002,0.17699275170183953,0.005666746482243887,0.35694050990099374,6.3486681180522515,6.777860360176132e-05,0.05382355049197809,0.11990730877209883,0.97
0.009709000000000002,0.17699279572459714,0.005666820492848214,0.3569405099010036,6.348867446062965,6.785242447104307e-05,0.05385454137682663,0.1210041574042809,0.98
0.009706000000000003,0.17699284063345508,0.0056668960274331905,0.3569405099010135,6.349068692426027,6.792695516766697e-05,0.053885830080928405,0.12209939150751761,0.99
0.009703000000000003,0.17699288643691094,0.005666973101426821,0.3569405099010234,6.34927185417187,6.800219458646587e-05,0.05391741613367281,0.12319301300421641,1.0
0.009700000000000002,0.176992933140425,0.005667051730311831,0.3569405099010333,6.349476928838498,6.807814189964607e-05,0.05394929914440827,0.12428502348861405,1.01
0.009697000000000002,0.17699298072546196,0.005667131930003229,0.35694050990104315,6.349683917973759,6.815479847069382e-05,0.05398147935416795,0.12537542196236345,1.02
0.009694000000000003,0.17699302922440835,0.005667213715498655,0.356940509901053,6.349892814616063,6.823216101290144e-05,0.05401395566346409,0.12646421292893284,1.03
0.009691000000000002,0.17699307864538652,0.005667297102232874,0.35694050990106285,6.35010361585855,6.83102284553696e-05,0.05404672761156455,0.12755139827018622,1.04
0.009688000000000002,0.17699312899651887,0.005667382105640653,0.35694050990107273,6.350316318794359,6.838899972719897e-05,0.054079794737737184,0.12863697986798756,1.05
0.009685000000000003,0.17699318028592773,0.005667468741156756,0.35694050990108256,6.350530920516632,6.84684737574902e-05,0.05411315658124983,0.1297209596042008,1.06
0.009682000000000003,0.17699323252173554,0.005667557024215948,0.3569405099010924,6.350747418118509,6.854864947534397e-05,0.05414681268137035,0.1308033393606899,1.07
0.009679000000000002,0.17699328571206466,0.005667646970252994,0.3569405099011022,6.350965808693131,6.862952580986091e-05,0.05418076257736659,0.1318841210193189,1.08
0.009676000000000002,0.17699333986503743,0.005667738594702661,0.35694050990111204,6.351186089333637,6.871110169014171e-05,0.05421500580850641,0.13296330646195173,1.09
0.009673000000000003,0.17699339498877623,0.005667831912999712,0.35694050990112186,6.351408257133169,6.879337604528704e-05,0.05424954191405766,0.13404089757045234,1.1
0.009670000000000002,0.1769934510914035,0.005667926940578914,0.35694050990113163,6.351632309184867,6.887634780439752e-05,0.05428437043328818,0.1351168962266847,1.11
0.009667000000000002,0.17699350818104154,0.00566802369287503,0.35694050990114146,6.351858242581873,6.896001589657384e-05,0.05431949090546584,0.13619130431251283,1.12
0.009664000000000002,0.17699356626581275,0.005668122185322827,0.3569405099011512,6.352086054417326,6.904437925091665e-05,0.054354902869858474,0.13726412370980068,1.1300000000000001
0.009661000000000003,0.1769936253538395,0.0056682224333570695,0.35694050990116105,6.352315741784365,6.912943679652662e-05,0.05439060586573394,0.1383353563004122,1.1400000000000001
0.009658000000000002,0.1769936854532442,0.005668324452412523,0.3569405099011708,6.352547301776133,6.921518746250442e-05,0.05442659943236009,0.13940500396621136,1.1500000000000001
0.009655000000000002,0.1769937465721492,0.005668428257923952,0.3569405099011806,6.35278073148577,6.930163017795068e-05,0.05446288310900478,0.14047306858906214,1.16
0.009652000000000003,0.17699380869764922,0.005668533873785288,0.3569405099011903,6.353016031321743,6.938876586143371e-05,0.05449945695612465,0.14153954991054632,1.17
0.009649000000000001,0.17699387184637225,0.005668641312009594,0.3569405099012001,6.353253197036154,6.947659263732199e-05,0.054536320302168644,0.142604450678264,1.18
0.009646000000000002,0.17699393603313612,0.005668750585338129,0.35694050990120985,6.3534922246665015,6.956510880124394e-05,0.054573472520451353,0.14366777345557263,1.19
0.009643000000000002,0.1769940012657225,0.005668861709342717,0.35694050990121956,6.353733111359643,6.965431331453451e-05,0.05461091315868517,0.1447295200896584,1.2
0.009640000000000003,0.17699406755191313,0.005668974699595182,0.35694050990122933,6.353975854262435,6.974420513852866e-05,0.05464864176458251,0.14578969242770737,1.21
0.009637000000000001,0.17699413489948965,0.00566908957166735,0.35694050990123904,6.354220450521735,6.983478323456134e-05,0.05468665788585576,0.1468482923169057,1.22
0.009634000000000002,0.1769942033162337,0.005669206341131045,0.35694050990124876,6.3544668972844,6.992604656396748e-05,0.05472496107021733,0.14790532160443942,1.23
0.009631000000000002,0.176994272809927,0.00566932502355809,0.3569405099012585,6.354715191697286,7.001799408808205e-05,0.05476355086537959,0.14896078213749472,1.24
0.009628000000000003,0.1769943433883512,0.005669445634520312,0.3569405099012682,6.354965330907252,7.011062476824e-05,0.05480242681905496,0.1500146757632577,1.25
0.009625000000000002,0.176994415059288,0.005669568189589533,0.3569405099012779,6.355217312061152,7.020393756577628e-05,0.05484158847895583,0.15106700432891446,1.26
0.009622000000000002,0.17699448783051908,0.00566969270433758,0.35694050990128756,6.355471132305845,7.029793144202584e-05,0.0548810353927946,0.15211776968165108,1.27
0.009619000000000003,0.17699456170982608,0.005669819194336276,0.3569405099012973,6.355726788788188,7.039260535832364e-05,0.05492076710828366,0.15316697366865373,1.28
0.009616000000000001,0.1769946367049907,0.005669947675157445,0.35694050990130693,6.355984278655037,7.048795827600461e-05,0.05496078317313542,0.1542146181371085,1.29
0.009613000000000002,0.17699471282379461,0.005670078162372914,0.3569405099013166,6.356243599053251,7.058398915640372e-05,0.055001083135062266,0.1552607049342015,1.3
0.009610000000000002,0.17699479007401947,0.005670210671554506,0.3569405099013263,6.356504747129684,7.068069696085591e-05,0.055041666541776606,0.1563052359071188,1.31
0.009607000000000003,0.17699486845392695,0.005670345225051864,0.3569405099013359,6.356767721515941,7.077808160079839e-05,0.05508253317405955,0.15734821194578913,1.32
0.009604000000000001,0.17699494796035484,0.005670481846228367,0.35694050990134557,6.357032521065693,7.087614312977208e-05,0.05512368284755156,0.1583896337969671,1.33
0.009601000000000002,0.17699502861611852,0.005670620539952526,0.35694050990135523,6.357299140581133,7.097487900874077e-05,0.05516511474191034,0.1594295048195094,1.34
0.009598000000000002,0.17699511042867505,0.005670761322027239,0.3569405099013649,6.357567577259738,7.107428823143109e-05,0.055206828412794264,0.16046782682796645,1.35
0.009595000000000001,0.17699519340548162,0.005670904208255407,0.3569405099013745,6.357837828298984,7.117436979156971e-05,0.05524882341586171,0.16150460163688873,1.36
0.009592000000000002,0.1769952775539953,0.005671049214439929,0.35694050990138415,6.358109890896347,7.127512268288327e-05,0.055291099306771056,0.1625398310608267,1.37
0.009589000000000002,0.17699536288167322,0.005671196356383707,0.35694050990139375,6.358383762249304,7.137654589909844e-05,0.055333655641180673,0.16357351691433084,1.3800000000000001
0.009586000000000003,0.17699544939597245,0.005671345649889638,0.35694050990140336,6.358659439555329,7.147863843394187e-05,0.05537649197474894,0.16460566101195162,1.3900000000000001
0.009583000000000001,0.17699553710435015,0.005671497110760623,0.35694050990141296,6.358936920011901,7.158139928114019e-05,0.05541960786313423,0.1656362651682395,1.4000000000000001
0.009580000000000002,0.1769956260142634,0.005671650754799561,0.35694050990142256,6.359216200816496,7.168482743442008e-05,0.05546300286199494,0.16666533119774493,1.41
0.009577000000000002,0.17699571613316933,0.005671806597809353,0.35694050990143217,6.359497279166588,7.178892188750817e-05,0.055506676526989415,0.16769286091501842,1.42
0.009574000000000003,0.17699580746852503,0.005671964655592898,0.35694050990144177,6.359780152259654,7.189368163413114e-05,0.05555062841377605,0.1687188561346104,1.43
0.009571000000000001,0.17699590002778764,0.005672124943953096,0.3569405099014513,6.360064817293172,7.199910566801561e-05,0.05559485807801322,0.1697433186710714,1.44
0.009568000000000002,0.17699599381841424,0.005672287478692846,0.3569405099014609,6.360351271464617,7.210519298288826e-05,0.0556393650753593,0.17076625033895182,1.45
0.009565000000000002,0.17699608884786197,0.005672452275615049,0.35694050990147047,6.360639511971464,7.221194257247572e-05,0.05568414896147266,0.17178765295280216,1.46
0.009562000000000003,0.1769961851235879,0.005672619350522603,0.35694050990148,6.3609295360111915,7.231935343050467e-05,0.05572920929201169,0.17280752832717286,1.47
0.009559000000000002,0.1769962826093065,0.005672788765395236,0.35694050990148957,6.361221347713407,7.242742927692011e-05,0.05577454670947813,0.17382587381276873,1.48
0.009556000000000002,0.17699638134765674,0.005672960498896191,0.3569405099014991,6.361514938700128,7.253616530418893e-05,0.055820159895390895,0.17484269481437573,1.49
0.009553,0.17699648134611146,0.0056731345668117935,0.35694050990150866,6.361810306166342,7.264556050434099e-05,0.05586604840501817,0.17585799314814693,1.5
0.009550000000000001,0.17699658261169254,0.005673310985404368,0.3569405099015182,6.362107447378496,7.275561391812558e-05,0.055912211804831684,0.1768717705842206,1.51
0.009547000000000002,0.17699668515142744,0.005673489770930406,0.3569405099015277,6.362406359602159,7.286632458569434e-05,0.055958649661165705,0.17788402889329946,1.52
0.009544000000000002,0.1769967889723491,0.0056736709396405524,0.35694050990153725,6.3627070401020225,7.297769154660121e-05,0.05600536154021709,0.1788947698466508,1.53
0.009541000000000001,0.17699689408149602,0.005673854507779619,0.35694050990154674,6.363009486141905,7.308971383980246e-05,0.05605234700804524,0.17990399521610628,1.54
0.009538000000000001,0.17699700048591224,0.005674040491586574,0.35694050990155624,6.363313694984745,7.32023905036567e-05,0.056099605630572105,0.1809117067740622,1.55
0.009535000000000002,0.1769971081926473,0.005674228907294549,0.35694050990156573,6.363619663892606,7.331572057592485e-05,0.056147136973582215,0.18191790629347926,1.56
0.009532000000000002,0.1769972172087563,0.005674419771130834,0.3569405099015752,6.363927390126674,7.342970309377021e-05,0.05619494060272265,0.18292259554788265,1.57
0.009529000000000001,0.1769973275412999,0.0056746130993168805,0.3569405099015847,6.364236870947259,7.354433709375834e-05,0.05624301608350305,0.18392577631136206,1.58
0.009526000000000001,0.17699743919734418,0.0056748089080683,0.3569405099015942,6.364548103613794,7.365962161185718e-05,0.056291362981295605,0.18492745035857172,1.59
0.009523000000000002,0.17699755218396088,0.005675007213594866,0.35694050990160364,6.364861085384836,7.377555568343699e-05,0.056339980861335084,0.18592761946473027,1.6
0.00952,0.1769976665082272,0.005675208032100511,0.35694050990161313,6.365175813518065,7.389213834327031e-05,0.05638886928871879,0.18692628540562095,1.61
