Time,s1,s2,s3,rho_E,beta_a,delta_Es,pi_a,c_V,default,re1,re3,re5,re6,re7
2.55,635.3452249849282,353669.2468729333,8987286.887604535,6.2e-08,1e-06,0.6,100.0,4.2,1.0,5710.029809609198,3.939140394906555e-05,212201.54812375997,37746604.92793905,35366924.68729333
2.6999999999999997,170.35194650639966,323669.6119867499,8536190.35725988,6.2e-08,1e-06,0.6,100.0,4.2,1.0,1454.1566431083797,1.0561820683396779e-05,194201.76719204994,35851999.5004915,32366961.19867499
2.85,49.33840260649666,295926.37597161793,7975713.2281169025,6.2e-08,1e-06,0.6,100.0,4.2,1.0,393.5089503227929,3.058980961602793e-06,177555.82558297075,33497995.558090992,29592637.597161792
3.0,15.591592392929604,270488.32581381575,7382712.697352758,6.2e-08,1e-06,0.6,100.0,4.2,1.0,115.10824713123004,9.666787283616353e-07,162292.99548828945,31007393.328881584,27048832.581381574
3.15,5.384300944693553,247217.39548014812,6797261.039514478,6.2e-08,1e-06,0.6,100.0,4.2,1.0,36.59849903638649,3.338266585710003e-07,148330.43728808887,28548496.36596081,24721739.548014812
3.3,2.02625069055949,225942.8734895161,6238903.233875895,6.2e-08,1e-06,0.6,100.0,4.2,1.0,12.641581985974867,1.2562754281468838e-07,135565.72409370964,26203393.58227876,22594287.348951608
3.4499999999999997,0.8269845258740331,206497.3767206835,5716155.641475239,6.2e-08,1e-06,0.6,100.0,4.2,1.0,4.7271722629875805,5.1273040604190055e-08,123898.42603241009,24007853.694196004,20649737.67206835
3.5999999999999996,0.36401005092803185,188724.8320336719,5231758.032927058,6.2e-08,1e-06,0.6,100.0,4.2,1.0,1.9044125080089178,2.2568623157537974e-08,113234.89922020314,21973383.738293644,18872483.20336719
3.75,0.17180513955748367,172481.69209538627,4785509.692441646,6.2e-08,1e-06,0.6,100.0,4.2,1.0,0.8221751605636276,1.0651918652563987e-08,103489.01525723176,20099140.708254915,17248169.209538627
3.9,0.08646250566892391,157636.4784391333,4375781.0745173795,6.2e-08,1e-06,0.6,100.0,4.2,1.0,0.37834099596142884,5.360675351473282e-09,94581.88706347997,18378280.512972996,15763647.84391333
4.05,0.04615179228839751,144068.93193015966,4000310.870789141,6.2e-08,1e-06,0.6,100.0,4.2,1.0,0.184621516397679,2.8614111218806456e-09,86441.35915809579,16801305.657314394,14406893.193015965
4.2,0.02599893030920503,131669.10890075567,3656620.6157770567,6.2e-08,1e-06,0.6,100.0,4.2,1.0,0.09506822455679007,1.6119336791707118e-09,79001.4653404534,15357806.586263638,13166910.890075568
4.35,0.015386626152391069,120336.51486771417,3342225.584729953,6.2e-08,1e-06,0.6,100.0,4.2,1.0,0.05142557558919643,9.539708214482463e-10,72201.9089206285,14037347.455865804,12033651.486771418
4.5,0.009526712775214543,109979.29927641134,3054737.8720663893,6.2e-08,1e-06,0.6,100.0,4.2,1.0,0.02910161031074656,5.906561920633016e-10,65987.5795658468,12829899.062678836,10997929.927641135
4.6499999999999995,0.006146520007880444,100513.51458529916,2791912.7589716227,6.2e-08,1e-06,0.6,100.0,4.2,1.0,0.01716054763327577,3.810842404885875e-10,60308.10875117949,11726033.587680817,10051351.458529916
4.8,0.0041193595796941256,91862.43760985545,2551665.4394799727,6.2e-08,1e-06,0.6,100.0,4.2,1.0,0.010511227472296247,2.5540029394103577e-10,55117.462565913265,10716994.845815886,9186243.760985546
4.95,0.0028575137205887773,83955.9479166061,2332072.899618448,6.2e-08,1e-06,0.6,100.0,4.2,1.0,0.00666393030807297,1.771658506765042e-10,50373.56874996366,9794706.178397482,8395594.79166061
5.1,0.002045332448125026,76729.96001476308,2131368.169580386,6.2e-08,1e-06,0.6,100.0,4.2,1.0,0.004359356476143606,1.268106117837516e-10,46037.97600885785,8951746.312237622,7672996.001476308
5.25,0.0015082227710256824,70125.90487308834,1947931.299807644,6.2e-08,1e-06,0.6,100.0,4.2,1.0,0.002937914342763544,9.35098118035923e-11,42075.542923853,8181311.459192105,7012590.487308834
5.3999999999999995,0.001140473299236925,64090.25207183589,1780279.1762243663,6.2e-08,1e-06,0.6,100.0,4.2,1.0,0.002030360865671398,7.070934455268935e-11,38454.15124310153,7477172.540142339,6409025.207183588
5.55,0.0008833954897797544,58574.080504610865,1627054.8033335416,6.2e-08,1e-06,0.6,100.0,4.2,1.0,0.001437332874889336,5.477052036634477e-11,35144.44830276652,6833630.174000875,5857408.050461086
5.7,0.0006997551537268313,53532.67942980111,1487017.2694975238,6.2e-08,1e-06,0.6,100.0,4.2,1.0,0.0010405479980116928,4.338481953106354e-11,32119.607657880664,6245472.5318896,5353267.942980111
5.85,0.0005651185456452238,48925.185585959916,1359032.077713358,6.2e-08,1e-06,0.6,100.0,4.2,1.0,0.0007680142312425796,3.5037349830003874e-11,29355.11135157595,5707934.726396103,4892518.558595992
6.0,0.0004651463995008898,44714.25320827092,1242062.1309089495,6.2e-08,1e-06,0.6,100.0,4.2,1.0,0.0005777407281487006,2.8839076769055165e-11,26828.551924962554,5216660.949817589,4471425.320827092
6.1499999999999995,0.00038921415161043826,40865.75076777649,1135159.4966710326,6.2e-08,1e-06,0.6,100.0,4.2,1.0,0.0004418201404393481,2.413127739984717e-11,24519.450460665892,4767669.886018338,4086575.0767776486
6.3,0.00033062433622061457,37348.484674689105,1037457.7764502596,6.2e-08,1e-06,0.6,100.0,4.2,1.0,0.0003430087886957818,2.0498708845678104e-11,22409.090804813462,4357322.66109109,3734848.4674689104
6.45,0.00028495159499555584,34133.94685745109,948165.1220777598,6.2e-08,1e-06,0.6,100.0,4.2,1.0,0.00027018116385521356,1.766699888972446e-11,20480.368114470653,3982293.5127265914,3413394.685745109
6.6,0.00024886420636249334,31196.081405984594,866557.7806589105,6.2e-08,1e-06,0.6,100.0,4.2,1.0,0.00021565521435092333,1.5429580794474588e-11,18717.648843590756,3639542.6787674245,3119608.1405984596
6.75,0.0002198910931875493,28511.07397550553,791974.2568256435,6.2e-08,1e-06,0.6,100.0,4.2,1.0,0.00017414808510978768,1.3633247777628057e-11,17106.644385303316,3326291.878667703,2851107.397550553
6.8999999999999995,0.00019629301729110689,26057.161041555777,723810.0172133986,6.2e-08,1e-06,0.6,100.0,4.2,1.0,0.00014207885222434602,1.2170167072048626e-11,15634.296624933466,3040002.0722962744,2605716.1041555777
7.05,0.00017691589017708632,23814.45332195184,661512.5857184303,6.2e-08,1e-06,0.6,100.0,4.2,1.0,0.00011703208796572222,1.0968785190979352e-11,14288.671993171105,2778352.8600174077,2381445.332195184
7.199999999999999,0.00016091579922374196,21764.77295324456,604577.0227994161,6.2e-08,1e-06,0.6,100.0,4.2,1.0,9.72859948160785e-05,9.976779551872001e-12,13058.863771946735,2539223.4957575477,2176477.295324456
7.35,0.00014756639040596918,19891.50612321239,552541.834398984,6.2e-08,1e-06,0.6,100.0,4.2,1.0,8.153660405055083e-05,9.14911620517009e-12,11934.903673927434,2320675.704475733,1989150.6123212392
7.5,0.00013629568655096295,18179.4689140203,504985.24598612654,6.2e-08,1e-06,0.6,100.0,4.2,1.0,6.882731079978602e-05,8.450332566159704e-12,10907.68134841218,2120938.0331417318,1817946.8914020301
7.6499999999999995,0.000126744912346097,16614.784544277292,461521.791862049,6.2e-08,1e-06,0.6,100.0,4.2,1.0,5.849553905536903e-05,7.858184565458015e-12,9968.870726566374,1938391.525820606,1661478.4544277291
7.8,0.00011864540067918091,15184.770645552362,421799.18394497974,6.2e-08,1e-06,0.6,100.0,4.2,1.0,5.004453318530366e-05,7.356014842109217e-12,9110.862387331417,1771556.572568915,1518477.0645552361
7.949999999999999,0.00011170264164771316,13877.836285605339,385495.4518736003,6.2e-08,1e-06,0.6,100.0,4.2,1.0,4.306086031746003e-05,6.925563782158216e-12,8326.701771363203,1619080.8978691213,1387783.628560534
