Time,z_i,x,y_0,y_1,L,v,z_a,m_0,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,R0,a0,a1,k,u,lambda,d,beta,gamma,alpha,phi,eta,pa,ca,r,ba,p_i,ci,bi,xi,COMpartment,Host_cell_proliferation,Host_cell_death,Infection_1,Infection_2,Infected_cell_death_1,Infected_cell_infection_progression_1,Infected_cell_infection_progression_2,CTL_induced_infected_cell_death_1,Infected_cell_death_2,CTL_induced_infected_cell_death_2,Infected_cell_death_3,Virus_particle_production,Viral_particle_degradation,Precursor_T_cell_differentiation_2,Infection_induced_CTL_proliferation_stimulation,CTL_cell_death,Naive_CTL_division_1,Naive_CTL_division_2,Naive_CTL_division_3,Naive_CTL_division_4,Naive_CTL_division_5,Naive_CTL_division_6,Naive_CTL_division_7,Naive_CTL_division_8,Precursor_T_cell_differentiation_1,NK_cell_production,NK_infection_induced_production,NK_cell_death,NK_induced_infected_cell_death_1,NK_induced_infected_cell_death_2
5.0,16.90140720678015,36.322616556579916,0.014730101333163778,8.808608206661856e-06,2.2158289467690815,0.006791700908196835,790.6160404865616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,3.6322616556579916,0.024669234785540926,0.12334617392770461,0.001473010133316378,0.0001473010133316378,0.22158289467690817,1.1645854391991768e-05,1.7617216413323711e-06,6.964226942548428e-09,0.22158289467690817,8.808608206661856e-06,0.006791700908196835,0.0,180.6186885934819,79.06160404865616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,2.989299824437943,1.690140720678015,0.24895944082893617,0.00014887787422577744
5.5,17.463261566299483,39.36927334311807,0.01279965299596857,7.3833227845617935e-06,2.0527890258158674,0.004122523532747547,836.5287294407335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,3.936927334311807,0.016230075582417493,0.08115037791208746,0.001279965299596857,0.00012799652995968569,0.20527890258158676,1.0707277457999866e-05,1.4766645569123588e-06,6.176361628020295e-09,0.20527890258158676,7.3833227845617935e-06,0.004122523532747547,0.0,166.05853420423222,83.65287294407335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,2.683831501481798,1.7463261566299484,0.22352368822646795,0.00012893689701522126
6.0,17.857517075623516,42.28766486788636,0.011255306474973949,6.3333313553037896e-06,1.8887700352214276,0.002503106817895059,873.3317371400115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,4.228766486788636,0.010585054224366773,0.05292527112183386,0.001125530647497395,0.00011255306474973948,0.18887700352214276,9.829616355832218e-06,1.266666271060758e-06,5.531099274410762e-09,0.18887700352214276,6.3333313553037896e-06,0.002503106817895059,0.0,152.44478555415273,87.33317371400115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,2.4132591016925535,1.7857517075623517,0.2009918275682232,0.00011309757282291924
6.5,18.108192669270174,45.07723909329044,0.009994097357520442,5.5350772125829845e-06,1.7293911020345236,0.0015205249792324173,901.9378595965542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,4.5077239093290435,0.0068541068036180154,0.034270534018090076,0.0009994097357520443,9.994097357520443e-05,0.17293911020345237,9.014054779241565e-06,1.107015442516597e-06,4.992295693818758e-09,0.17293911020345237,5.5350772125829845e-06,0.0015205249792324173,0.0,139.79522966149847,90.19378595965543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,2.172903249000346,1.8108192669270176,0.1809750405054241,0.00010023024460473959
7.0,18.236003238550197,47.73965343604069,0.008945809752778065,4.912138523416274e-06,1.5779647330911202,0.0009242855513498097,923.2116500066725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,4.773965343604069,0.004412507189737971,0.022062535948689854,0.0008945809752778065,8.945809752778065e-05,0.15779647330911203,8.25887578250802e-06,9.82427704683255e-07,4.5349435112644785e-09,0.15779647330911203,4.912138523416274e-06,0.0009242855513498097,0.0,128.0828662532989,92.32116500066725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.9587047207656314,1.8236003238550198,0.16313581562311472,8.957777402122636e-05
7.5,18.258830279402453,50.278014446566,0.008061243109043765,4.41523379137162e-06,1.4362462374334541,0.0005624305948614146,937.9568201892498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,5.0278014446566,0.0028277893573632916,0.014138946786816455,0.0008061243109043765,8.061243109043765e-05,0.14362462374334542,7.561097953331191e-06,8.830467582743242e-07,4.14129864734705e-09,0.14362462374334542,4.41523379137162e-06,0.0005624305948614146,0.0,117.26120840566736,93.79568201892499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.7672338412816784,1.8258830279402454,0.14718886976903264,8.061700444053704e-05
8.0,18.19215170538642,52.69632629193231,0.007305097086716267,4.011397201349792e-06,1.3049722928722571,0.0003427804328013258,946.9131834400773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,5.269632629193231,0.0018063269533388443,0.00903163476669422,0.0007305097086716268,7.305097086716267e-05,0.1304972292872257,6.917292737721335e-06,8.022794402699585e-07,3.798444893972748e-09,0.1304972292872257,4.011397201349792e-06,0.0003427804328013258,0.0,107.27691333053727,94.69131834400774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.5956209244466746,1.819215170538642,0.1328954344241187,7.297594643751793e-05
8.5,18.049410219263446,54.99910485086997,0.006651503737204726,3.6779120899104373e-06,1.1842356541547678,0.0002094119759522641,950.7580859018083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,5.499910485086997,0.0011517471222426434,0.005758735611213217,0.0006651503737204726,6.651503737204725e-05,0.11842356541547679,6.323970961553489e-06,7.355824179820875e-07,3.4968046587183666e-09,0.11842356541547679,3.6779120899104373e-06,0.0002094119759522641,0.0,98.07575037628922,95.07580859018083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.441465244061998,1.8049410219263446,0.12005571952777198,6.638414406118203e-05
9.0,17.84231857587646,57.191115782841685,0.006081130830343847,3.3987089391909734e-06,1.0737387574021116,0.00012840078256895872,950.1097109276392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,5.719111578284169,0.0007343384022508799,0.003671692011254399,0.0006081130830343848,6.0811308303438474e-05,0.10737387574021116,5.7777414553311466e-06,6.797417878381947e-07,3.229146367741919e-09,0.10737387574021116,3.3987089391909734e-06,0.00012840078256895872,0.0,89.60504432633279,95.01097109276392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.3027453730906255,1.7842318575876464,0.10850147357657908,6.064084763972449e-05
9.5,17.58110995005738,59.27720127908558,0.005579266557402176,3.162138656467144e-06,0.9729616193767306,7.916464424886968e-05,945.5309915472598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,5.927720127908558,0.00046926585513274534,0.0023463292756637265,0.0005579266557402176,5.579266557402176e-05,0.09729616193767307,5.275369440126946e-06,6.324277312934288e-07,2.9899000992592984e-09,0.09729616193767307,3.162138656467144e-06,7.916464424886968e-05,0.0,81.81456977350618,94.55309915472598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.1777435123251498,1.7581109950057383,0.0980896987863658,5.559390739667559e-05
10.0,17.274742539673504,61.26216862586506,0.005134525194089728,2.9595942002783343e-06,0.8812704141517458,4.921585541940265e-05,937.5335602810088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,6.1262168625865066,0.00030150700337696403,0.00150753501688482,0.0005134525194089728,5.134525194089728e-05,0.08812704141517458,4.81378968556748e-06,5.91918840055667e-07,2.774718887573972e-09,0.08812704141517458,2.9595942002783343e-06,4.921585541940265e-05,0.0,74.65674826905334,93.75335602810088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0649847242303867,1.7274742539673504,0.08869760079136718,5.1126227831719126e-05
10.5,16.931068044699494,63.150720751702835,0.00473795539325275,2.784588229805386e-06,0.7979860588818961,3.097731215680815e-05,926.5815296885787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,6.315072075170284,0.00019562395896529212,0.0009781197948264605,0.00047379553932527503,4.73795539325275e-05,0.07979860588818961,4.3901019558763844e-06,5.569176459610772e-07,2.580148021525886e-09,0.07979860588818961,2.784588229805386e-06,3.097731215680815e-05,0.0,68.08657261041762,92.65815296885788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.9631894945045029,1.6931068044699495,0.08021864515591326,4.71460527953043e-05
11.0,16.556971662858366,64.94741476229063,0.004382418143495513,2.6321473321683164e-06,0.7224262943657344,1.985117918171421e-05,913.0950356861947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,6.494741476229064,0.0001289282767835342,0.0006446413839176709,0.00043824181434955136,4.382418143495513e-05,0.07224262943657343,4.001564251126863e-06,5.264294664336633e-07,2.4034006621975507e-09,0.07224262943657343,2.6321473321683164e-06,1.985117918171421e-05,0.0,62.06149860273043,91.30950356861948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.8712378408653131,1.6556971662858366,0.07255957301665159,4.358038879117906e-05
11.5,16.158490040851948,66.65663887488314,0.0040621441539093455,2.4984037637086683e-06,0.653930485065178,1.3046956876928665e-05,897.4535579927832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,6.665663887488314,8.696662929616073e-05,0.00043483314648080364,0.00040621441539093455,4.062144153909346e-05,0.06539304850651781,3.645585724005526e-06,4.996807527417336e-07,2.242201347042905e-09,0.06539304850651781,2.4984037637086683e-06,1.3046956876928665e-05,0.0,56.54133284296481,89.74535579927833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.7881418354533963,1.615849004085195,0.06563811585544913,4.037043233391354e-05
12.0,15.740911662513195,68.2826012104749,0.003772414995045112,2.3803098189068696e-06,0.5918733372916744,8.870796648010429e-06,879.9990279383018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,6.82826012104749,6.057210699353136e-05,0.00030286053496765677,0.0003772414995045112,3.772414995045112e-05,0.059187333729167436,3.319721528619572e-06,4.7606196378137393e-07,2.09467032683004e-09,0.059187333729167436,2.3803098189068696e-06,8.870796648010429e-06,0.0,51.48815108366923,87.99990279383019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.713024633255209,1.5740911662513195,0.059381251191345255,3.7468246588825816e-05
12.5,15.308863374762792,69.82932613835001,0.0035093301220263527,2.2754273595067558e-06,0.5356716338110656,6.294237320686982e-06,861.0387513577286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,6.982932613835001,4.3952235065842566e-05,0.00021976117532921283,0.0003509330122026353,3.5093301220263526e-05,0.053567163381106564,3.021669226371636e-06,4.550854719013512e-07,1.9592311324349103e-09,0.053567163381106564,2.2754273595067558e-06,6.294237320686982e-06,0.0,46.8662410913131,86.10387513577287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.6451042749792835,1.5308863374762793,0.05372385537504107,3.483420656588618e-05
13.0,14.866385565106254,71.30065529833203,0.0032696331223218684,2.181787488696769e-06,0.48478666525996866,4.692669351545521e-06,840.8481578348111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,7.130065529833203,3.345903998635945e-05,0.00016729519993179725,0.0003269633122321869,3.2696331223218686e-05,0.04847866652599687,2.7492649877000243e-06,4.363574977393538e-07,1.8345519906577168e-09,0.04847866652599687,2.181787488696769e-06,4.692669351545521e-06,0.0,42.642042865205575,84.08481578348112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.5836807433628864,1.4866385565106255,0.04860762665287912,3.243529402809107e-05
13.5,14.416998170408558,72.70025149940541,0.003050580776442227,2.0977883194711305e-06,0.43872407065890173,3.686524240763783e-06,819.6733960634598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,7.270025149940541,2.6801123946218164e-05,0.0001340056197310908,0.00030505807764422274,3.0505807764422272e-05,0.04387240706589018,2.5004799049923063e-06,4.195576638942261e-07,1.7195012760431594e-09,0.04387240706589018,2.0977883194711305e-06,3.686524240763783e-06,0.0,38.78409079715942,81.96733960634599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.5281255353961779,1.441699817040856,0.04398021747265111,3.0243810363719733e-05
14.0,13.96375877024159,74.03160425826826,0.00284984515244384,2.022105723299446e-06,0.39703219562770187,3.045025968031612e-06,797.7337698050852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,7.403160425826826,2.254281574214665e-05,0.00011271407871073326,0.000284984515244384,2.84984515244384e-05,0.03970321956277019,2.273417716819772e-06,4.044211446598892e-07,1.6131020215921054e-09,0.03970321956277019,2.022105723299446e-06,3.045025968031612e-06,0.0,35.26297769204115,79.77337698050853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.4778734372535547,1.396375877024159,0.03979455024126815,2.823619652807835e-05
14.5,13.509314160134709,75.29803625010439,0.0026654328536209687,1.953646463237018e-06,0.3592996516734852,2.62773300279953e-06,775.2240326389003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,7.529803625010439,1.9786313490039466e-05,9.893156745019734e-05,0.0002665432853620969,2.6654328536209687e-05,0.035929965167348525,2.066307605512259e-06,3.907292926474036e-07,1.5145136895813261e-09,0.035929965167348525,1.953646463237018e-06,2.62773300279953e-06,0.0,32.05124284762853,77.52240326389004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.4324147465936767,1.3509314160134709,0.036008169792310016,2.6392423829704938e-05
15.0,13.055946111045754,76.50271019752145,0.0024956321322396158,1.8914874404574893e-06,0.32515250047859834,2.3490639016811825e-06,752.3165298945553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.2,0.1,0.01,1e-06,15.5,1.0,0.1,1.0,12.0,0.1,0.01,1.0,10.0,7.650271019752146,1.7970975490577454e-05,8.985487745288727e-05,0.0002495632132239616,2.4956321322396157e-05,0.03251525004785984,1.8775053056198575e-06,3.7829748809149786e-07,1.4229972675441125e-09,0.03251525004785984,1.8914874404574893e-06,2.3490639016811825e-06,0.0,29.123388694754727,75.23165298945553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.3912904054752836,1.3055946111045755,0.032582838631514635,2.4695158092332844e-05
