Time,Auxin,Cytokinin,AHP6m,AHP6p,IAA2m,IAA2p,ARR5m,ARR5p,PHBm,PHBp,CKX3m,CKX3p,PIN3m,PIN1m,PIN7m,miRNA,F_AHP6,F_CK,F_IAA2,F_ARR5,F_PIN1,F_PIN7,F_PIN3,p_ax,p_ck,d_ax,d_ck,phloem_rate_ax,all_section_rate_ax,phloem_rate_ck,all_section_rate_ck,lambda_AHP6,lambda_IAA2,lambda_ARR5,lambda_PIN1,lambda_PIN3,lambda_PIN7,mu_m_PHB,mu_m_AHP6,mu_m_IAA2,mu_m_ARR5,mu_m_PIN1,mu_m_PIN3,mu_m_PIN7,delta_PHB,delta_AHP6,delta_IAA2,delta_ARR5,delta_PIN1,delta_PIN3,delta_PIN7,delta_CKX3,mu_p_PHB,mu_p_AHP6,mu_p_IAA2,mu_p_ARR5,mu_p_PIN1,mu_p_PIN3,mu_p_PIN7,mu_p_CKX3,theta_Ax,theta_Ck,theta_AHP6,theta_ARR5,theta_PHB,theta_CKX3,p_phb,d_phb,p_mirna,d_mirna,d_mirna_mrna,p_ckx3,d_ckx3,b_pin3,b_pin1,b_pin7,b_ahp6,b_arr5,b_iaa2,hill_ax,hill_ck,hill_arr5,hill_ckx3,hill_ahp6,hill_phb,compartment
0.1,0.0057097549178424314,0.1264241117654765,3.475192454132369e-05,8.68745508400523e-07,0.00014076973167003538,3.079117805625852e-05,0.039483924773531055,0.009817433595282235,0.19032516392808094,0.009357680320888968,0.0,0.0,0.0,0.0,9.096972438873889e-06,0.0,0.0005213422016603297,1.0,0.000521348873122744,0.060090504537796297,0.0009453294150267648,0.0009453294150267648,1.0,0.06,2.0,1.0,10.0,1.0,1.0,1.0,1.0,2.0,10.0,20.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,5.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,0.25,0.5,0.04,0.1,0.4,0.05,2.0,1.0,32.5,1.0,10.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,5.0,3.0,3.0,1.0
0.11,0.006249951882208312,0.13342578325989965,4.5796313901175425e-05,1.2593064125100417e-06,0.00018191571877824495,4.3198172994628695e-05,0.04778710571996898,0.01303869308273615,0.2083317294069436,0.011248219641707352,0.0,0.0,0.0,0.0,2.3973704289238883e-05,0.0,0.0006245861273917763,1.0,0.0006246000074848809,0.06647601740502104,0.0022117730560115493,0.0022117730560115493,1.0,0.06,2.0,1.0,10.0,1.0,1.0,1.0,1.0,2.0,10.0,20.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,5.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,0.25,0.5,0.04,0.1,0.4,0.05,2.0,1.0,32.5,1.0,10.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,5.0,3.0,3.0,1.0
0.12,0.0067847737969705555,0.1397611576157481,5.886689639694425e-05,1.7658539184720561e-06,0.00022936757853134863,5.864363525415486e-05,0.05647788972812251,0.016763239072407354,0.226159126565685,0.013298221753567421,0.0,0.0,0.0,0.0,5.680135488487356e-05,0.0,0.0007359613865620416,1.0,0.0007359884097146444,0.07247041381961013,0.004688488375824485,0.004688488375824485,1.0,0.06,2.0,1.0,10.0,1.0,1.0,1.0,1.0,2.0,10.0,20.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,5.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,0.25,0.5,0.04,0.1,0.4,0.05,2.0,1.0,32.5,1.0,10.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,5.0,3.0,3.0,1.0
0.13,0.007314274144766306,0.14549364137098267,7.410260742128961e-05,2.408092931135431e-06,0.0002832865563292659,7.744664046355103e-05,0.06544376620258092,0.020974546740273017,0.2438091381588767,0.015504326119534612,0.0,0.0,0.0,0.0,0.00012306140562049834,0.0,0.0008551958699270003,1.0,0.0008552456290500581,0.07806366709547277,0.009143000325015976,0.009143000325015976,1.0,0.06,2.0,1.0,10.0,1.0,1.0,1.0,1.0,2.0,10.0,20.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,5.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,0.25,0.5,0.04,0.1,0.4,0.05,2.0,1.0,32.5,1.0,10.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,5.0,3.0,3.0,1.0
0.14,0.007838505876071626,0.15068060718200613,9.163563022646518e-05,3.206880938217752e-06,0.0003437933022678264,9.99092433608593e-05,0.07458220231531106,0.025647429355223274,0.26128352920238734,0.017863223290727464,0.0,0.0,0.0,0.0,0.00024696259112724767,0.0,0.0009820219266488256,1.0,0.0009821093030106273,0.08325727399703112,0.0165907423570008,0.0165907423570008,1.0,0.06,2.0,1.0,10.0,1.0,1.0,1.0,1.0,2.0,10.0,20.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,5.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,0.25,0.5,0.04,0.1,0.4,0.05,2.0,1.0,32.5,1.0,10.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,5.0,3.0,3.0,1.0
0.15,0.008357521414496503,0.15537396794139616,0.00011159154609074779,4.184150119538744e-06,0.0004109723081748529,0.00012631445365293231,0.08380153099697524,0.030749861335962803,0.2785840471498833,0.02037165422237208,0.0,0.0,0.0,0.0,0.00046366954862540335,0.0,0.001116175776343121,1.0,0.0011163230572411545,0.08806075616986131,0.028254145776832853,0.028254145776832853,1.0,0.06,2.0,1.0,10.0,1.0,1.0,1.0,1.0,2.0,10.0,20.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,5.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,0.25,0.5,0.04,0.1,0.4,0.05,2.0,1.0,32.5,1.0,10.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,5.0,3.0,3.0,1.0
0.16,0.00887137266202729,0.15962069637319698,0.0001340894705032626,5.362831652703765e-06,0.0004848759137705245,0.00015692480410631681,0.09302117924275097,0.03624467833230818,0.2957124220675762,0.023026409598394987,0.0,0.0,0.0,0.0,0.0008207561540006139,0.0,0.0012573968399181349,1.0,0.0012576364055639016,0.09248904013487542,0.045449754634074725,0.045449754634074725,1.0,0.06,2.0,1.0,10.0,1.0,1.0,1.0,1.0,2.0,10.0,20.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,5.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,0.25,0.5,0.04,0.1,0.4,0.05,2.0,1.0,32.5,1.0,10.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,5.0,3.0,3.0,1.0
0.17,0.009380111004216946,0.16346329516130315,0.0001592421738504079,6.766782051706407e-06,0.0005655279219283902,0.00019198141725822724,0.10217144359770002,0.04209111408342458,0.31267036680723137,0.02582432916446798,0.0,0.0,0.0,0.0,0.0013781244481559584,0.0,0.0014054269872720824,1.0,0.0014058046503237758,0.09656051183269551,0.06939625866355259,0.06939625866355259,1.0,0.06,2.0,1.0,10.0,1.0,1.0,1.0,1.0,2.0,10.0,20.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,5.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,0.25,0.5,0.04,0.1,0.4,0.05,2.0,1.0,32.5,1.0,10.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,5.0,3.0,3.0,1.0
0.18,0.009883787315323715,0.16694022233417188,0.00018715618509436153,8.420711355251274e-06,0.0006529268603915452,0.00023170348769607625,0.11119296860067349,0.04824615420202282,0.329459577177457,0.028762301069394404,0.0,0.0,0.0,0.0,0.0022056894896851768,0.0,0.001560009701294322,1.0,0.0015605887831060708,0.10029558546749605,0.10096371492655273,0.10096371492655273,1.0,0.06,2.0,1.0,10.0,1.0,1.0,1.0,1.0,2.0,10.0,20.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,5.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,0.25,0.5,0.04,0.1,0.4,0.05,2.0,1.0,32.5,1.0,10.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,5.0,3.0,3.0,1.0
0.19,0.010382451963398459,0.17008627614650162,0.00021793187694774715,1.03501129734289e-05,0.0007470489234959219,0.0002762881083309546,0.12003604195302149,0.054665701785146965,0.34608173211328197,0.0318372612147728,0.0,0.0,0.0,0.0,0.0033785195327970053,0.0,0.0017208891590665654,1.0,0.0017217553859011673,0.10371566216247456,0.14042058836335852,0.14042058836335852,1.0,0.06,2.0,1.0,10.0,1.0,1.0,1.0,1.0,2.0,10.0,20.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,5.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,0.25,0.5,0.04,0.1,0.4,0.05,2.0,1.0,32.5,1.0,10.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,5.0,3.0,3.0,1.0
0.2,0.010876154815321075,0.1729329433313193,0.0002516635311152125,1.2581194985260114e-05,0.0008478506245514838,0.0003259103787545615,0.1286597884469468,0.061305559595050366,0.3625384938440357,0.03504619261284629,0.0,0.0,0.0,0.0,0.00496984059461847,0.0,0.0018878092326807816,1.0,0.001889076532785823,0.10684238261482826,0.18726217224016348,0.18726217224016348,1.0,0.06,2.0,1.0,10.0,1.0,1.0,1.0,1.0,2.0,10.0,20.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,5.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,0.25,0.5,0.04,0.1,0.4,0.05,2.0,1.0,32.5,1.0,10.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,5.0,3.0,3.0,1.0
0.21,0.011364945241789399,0.17550871436173168,0.0002884393822463262,1.514081262856056e-05,0.0009552711876224036,0.0003807237431302924,0.1370313202950486,0.06812223994460816,0.3788315080596463,0.038386124752069595,0.0,0.0,0.0,0.0,0.007043138891439722,0.0,0.002060512413684124,1.0,0.0020623296921871413,0.10969710059757622,0.24019707737689935,0.24019707737689935,1.0,0.06,2.0,1.0,10.0,1.0,1.0,1.0,1.0,2.0,10.0,20.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,5.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,0.25,0.5,0.04,0.1,0.4,0.05,2.0,1.0,32.5,1.0,10.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,5.0,3.0,3.0,1.0
0.22,0.011848872122252429,0.17783936836479783,0.0003283416393032873,1.8056401869770962e-05,0.001069234699808238,0.00044086051121057615,0.14512488579230123,0.07507361548885134,0.3949624040750806,0.04185413297141018,0.0,0.0,0.0,0.0,0.009645141120067138,0.0,0.0022387386668255567,1.0,0.0022412976297869003,0.11230052090277146,0.2973178176806491,0.2973178176806491,1.0,0.06,2.0,1.0,10.0,1.0,1.0,1.0,1.0,2.0,10.0,20.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,5.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,0.25,0.5,0.04,0.1,0.4,0.05,2.0,1.0,32.5,1.0,10.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,5.0,3.0,3.0,1.0
0.23,0.012327983849800208,0.17994823124429588,0.00037144648328288365,2.1355913652298852e-05,0.0011896520519337804,0.0005064325247568489,0.15292104158838973,0.0821194287777365,0.41093279499333984,0.04544733784176847,0.0,0.0,0.0,0.0,0.012801304727684539,0.0,0.002422224220534977,1.0,0.0024257683121266566,0.11467246012206692,0.356408503149151,0.356408503149151,1.0,0.06,2.0,1.0,10.0,1.0,1.0,1.0,1.0,2.0,10.0,20.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,5.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,0.25,0.5,0.04,0.1,0.4,0.05,2.0,1.0,32.5,1.0,10.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,5.0,3.0,3.0,1.0
0.24,0.012802328336009005,0.18185640941028092,0.00041782404030058006,2.506774860118564e-05,0.001316422686690063,0.0005775319364216674,0.16040586680803565,0.08922167670037451,0.42674427786696645,0.04916290455467163,0.0,0.0,0.0,0.0,0.016514694083381812,0.0,0.002610700303394106,1.0,0.0026155348109658852,0.11683169800844767,0.41529010579583364,0.41529010579583364,1.0,0.06,2.0,1.0,10.0,1.0,1.0,1.0,1.0,2.0,10.0,20.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,5.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,0.25,0.5,0.04,0.1,0.4,0.05,2.0,1.0,32.5,1.0,10.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,5.0,3.0,3.0,1.0
0.25,0.013271953015718827,0.1835830003701064,0.00046753832947433083,2.9220692247035256e-05,0.0014494361646547227,0.0006542320689397864,0.16757023331172427,0.09634488474110901,0.4423984338572938,0.052998042321098636,0.0,0.0,0.0,0.0,0.020768060521896902,0.0,0.0028038918377652398,1.0,0.0028103952084321637,0.11879589398348875,0.4721020923408284,0.4721020923408284,1.0,0.06,2.0,1.0,10.0,1.0,1.0,1.0,1.0,2.0,10.0,20.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,5.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,0.25,0.5,0.04,0.1,0.4,0.05,2.0,1.0,32.5,1.0,10.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,5.0,3.0,3.0,1.0
0.26,0.013736904851786573,0.18514528433881325,0.0005206471848587851,3.3843849934382824e-05,0.0015885735802200068,0.000736588337789197,0.1744091309479377,0.10345629003360102,0.4578968283928855,0.05695000377494754,0.0,0.0,0.0,0.0,0.02552811824585199,0.0,0.003001516103770353,1.0,0.00301015250302491,0.12058155286594768,0.5254622195600146,0.5254622195600146,1.0,0.06,2.0,1.0,10.0,1.0,1.0,1.0,1.0,2.0,10.0,20.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,5.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,0.25,0.5,0.04,0.1,0.4,0.05,2.0,1.0,32.5,1.0,10.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,5.0,3.0,3.0,1.0
0.27,0.01419723033978933,0.18655889742948464,0.0005772021512857643,3.8966581503668744e-05,0.0017337088324423352,0.0008246392135749663,0.18092105448345652,0.11052594520964326,0.47324101132631075,0.06101608438433197,0.0,0.0,0.0,0.0,0.030750741285129862,0.0,0.003203281388855978,1.0,0.003214614516504656,0.1222040246165506,0.5745012632628508,0.5745012632628508,1.0,0.06,2.0,1.0,10.0,1.0,1.0,1.0,1.0,2.0,10.0,20.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,5.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,0.25,0.5,0.04,0.1,0.4,0.05,2.0,1.0,32.5,1.0,10.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,5.0,3.0,3.0,1.0
0.28,0.014652975512660184,0.18783798751121775,0.0006372483546307355,4.461843573381504e-05,0.0018847097598468246,0.0009184072032049391,0.18710745460006897,0.11752675620845637,0.4884325170886723,0.06519362187289089,0.0,0.0,0.0,0.0,0.03638593140794658,0.0,0.0034088856403047627,1.0,0.003423593801697033,0.12367752708783124,0.6188069716827854,0.6188069716827854,1.0,0.06,2.0,1.0,10.0,1.0,1.0,1.0,1.0,2.0,10.0,20.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,5.0,1.0,1.0,1.0,10.0,10.0,0.0,0.0,1.0,1.0,0.25,0.5,0.04,0.1,0.4,0.05,2.0,1.0,32.5,1.0,10.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,5.0,3.0,3.0,1.0
