Time,P,I,M,beta,gamma,beta0,mu,a,b,n,alpha,alpha0,compartment,increase_in_the_amount_of_pathogenic_micro_organism,Decrease_in_the_amount_of_pathogenic_micro_organism,Increase_of_appropriate_immune_response_with_respect_to_pathogen,Reduction_of_immune_response,betterment_of_relative_characteristics_of_the_damaged_part_of_the_organ,removal_of_relative_characteristics_of_the_damaged_part_of_the_organ
18.0,2.676314833350256,7.100793086971611,58.62739085902247,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.4086833500152305,2.3827301108027754,5.741187360163923,5.775654258913354,6.423155600040614,5.8627390859022475
18.5,2.68811597074187,7.089973889477681,58.907905492140976,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.419304373667683,2.3981270966538917,5.757601613334343,5.767272471804385,6.451478329780487,5.890790549214098
19.0,2.697455149772005,7.090241452375253,59.18711105341992,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.427709634794805,2.4115332729481307,5.7776824956509705,5.767821203494385,6.473892359452813,5.918711105341992
19.5,2.70431795673505,7.098966623470614,59.462162256635224,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.433886161061545,2.4225602679296454,5.79935887423431,5.775162613347063,6.49036309616412,5.946216225663523
20.0,2.7088527812434258,7.113627327417379,59.73043724442347,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.4379675031190833,2.431065136620239,5.82093075118114,5.787250707786922,6.5012466749842215,5.9730437244423475
20.5,2.7113224855674805,7.131927970167641,59.98968791530334,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.4401902370107327,2.4371017576969223,5.841087001288948,5.802227159488928,6.507173965361953,5.998968791530334
21.0,2.7120598321567546,7.151881528201455,60.23812826437603,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.4408538489410794,2.4408702374885767,5.858899185093709,5.81848687564606,6.508943597176211,6.023812826437603
21.5,2.7114290498953135,7.1718586806097,60.474471860812905,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.4402861449057824,2.4426687969406915,5.873795790504705,5.834716874329506,6.507429719748752,6.047447186081291
22.0,2.709795482107107,7.190604086016723,60.69792303475142,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.438815933896396,2.442851634265068,5.885519939772705,5.849908601142924,6.5035091570570565,6.069792303475142
22.5,2.707500879025699,7.207231586239749,60.90814213962498,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.436750791123129,2.441791494739282,5.894075756525771,5.863353198267229,6.498002109661678,6.090814213962498
23.0,2.7048473188797186,7.221194001501849,61.105183419565854,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.434362586991747,2.4398511653937898,5.899668170221775,5.874616337371842,6.491633565311324,6.110518341956586
23.5,2.7020875527768924,7.232239058299695,61.289422083193344,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.4318787974992033,2.437362585481287,5.902642941441544,5.883501962330449,6.485010126664542,6.128942208319335
24.0,2.6994210379217374,7.240360381127775,61.461482834913255,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.4294789341295635,2.4346138447424623,5.903434340485409,5.890012210576977,6.478610491012169,6.146148283491326
24.5,2.6969933234188987,7.24573881385037,61.62216046324015,0.9,0.05,0.2,0.04,0.8,0.3,0.1,2.4,0.1,1.0,2.427293991077009,2.4318400575228045,5.902512761257486,5.894299597101255,6.472783976205357,6.162216046324016
