Act_C_Cyt,Act_C_Nuc,Ca_Cyt,Ca_Nuc,Inact_C_Cyt,Inact_C_Nuc,NFAT_Act_C_Cyt,NFAT_Act_C_Nuc,NFAT_Cyt,NFAT_Nuc,NFAT_Pi_Act_C_Cyt,NFAT_Pi_Act_C_Nuc,NFAT_Pi_Cyt,NFAT_Pi_Nuc,Time
0.004132485133953921,0.02437844238333754,1.0,1.0,0.0042468317375982095,0.024410238846762366,0.0003933608279663925,0.002560232338949905,9.597684322085987e-05,0.00023149057622803268,0.0004569867606563425,3.656572487018019e-05,0.008072538133835511,0.0001546827743971943,5.7
0.004131420828847037,0.02437814250104244,1.0,1.0,0.004245702259997253,0.024409888643976536,0.00039374139228981275,0.0025652365672744824,9.595626788246107e-05,0.000231155071388143,0.00045696937176193644,3.6569398953996326e-05,0.00807025631705125,0.00015462674223214819,5.71
0.00413035710411428,0.024377842795328748,1.0,1.0,0.004244573453823377,0.024409538895452935,0.0003941200454704133,0.0025702443234068145,9.593571022333466e-05,0.00023082020804015231,0.0004569508970789269,3.657306872295865e-05,0.008067975690660707,0.00015457080351520555,5.72
0.004129293959608333,0.024377543267696648,1.0,1.0,0.004243445318182219,0.024409189598594675,0.00039449679182282816,0.002575255585318041,9.591517020212951e-05,0.00023048598516916071,0.0004569313429831403,3.6576734333405095e-05,0.008065696253823073,0.00015451495778483467,5.73
0.004128231395176012,0.02437724391961017,1.0,1.0,0.004242317852186346,0.024408840750843052,0.00039487163567195646,0.002580270331031792,9.589464777758312e-05,0.00023015240176161043,0.00045691071581708425,3.6580395939502456e-05,0.008063418005697539,0.00015445920458249344,5.74
0.004127169410658936,0.02437694475250086,1.0,1.0,0.0042411910549546095,0.02440849234967386,0.0003952445813524908,0.002585288538624542,9.587414290852218e-05,0.00022981945680528726,0.00045688902189023494,3.658405369330111e-05,0.008061140945443336,0.00015440354345259172,5.75
0.00412610800589419,0.024376645767771443,1.0,1.0,0.0042400649256114815,0.024408144392593752,0.00039561563320844465,0.0025903101862259576,9.585365555386338e-05,0.00022948714928932174,0.00045686626747932444,3.6587707744789865e-05,0.00805886507221976,0.0001543479739424535,5.76
0.004125047180715005,0.024376346966799436,1.0,1.0,0.00423893946328641,0.024407796877136564,0.0003959847955926804,0.002595335252019253,9.583318567261405e-05,0.0002291554782041906,0.0004568424588286283,3.659135824195075e-05,0.0080565903851862,0.00015429249560227907,5.77
0.004123986934951417,0.024376048350940854,1.0,1.0,0.004237814667113161,0.024407449800859675,0.000396352072866437,0.002600363714241539,9.581273322387284e-05,0.00022882444254171804,0.0004568176021502518,3.6595005330813784e-05,0.008054316883502161,0.00015423710798510718,5.78
0.0041229272684309435,0.024375749921533817,1.0,1.0,0.004236690536229173,0.024407103161340336,0.0003967174693988577,0.002605395551184174,9.579229816683051e-05,0.0002284940412950771,0.0004567917036244184,3.6598649155511766e-05,0.008052044566327311,0.00015418181064677733,5.79
