II,II_Va_Xa,IIa,IX,IX_TF_VIIa,IXa,TF_VIIa,V,VIII,VIIIa,VIIIa_IXa,Va,Va_Xa,X,X_TF_VIIa,X_VIIIa_IXa,Xa,mIIa,Time
1.3999999996210304e-06,2.4385191572811364e-16,3.1321907746026335e-27,8.89625040631253e-08,1.0141679730975005e-09,2.3327960510372387e-11,2.894252673051766e-09,1.9997991236138994e-08,6.999648457359757e-10,3.515408786293089e-14,1.387502964623295e-19,2.0082614472563657e-12,2.5856184903599094e-16,1.6879634827956512e-07,1.0915742844334466e-09,3.7411411211551786e-20,1.1207688847982483e-10,1.3511772562926649e-16,0.1
1.399999999388018e-06,3.7847431747562437e-16,9.027700770795569e-27,8.894989997769891e-08,1.0237040080706078e-09,2.6396010865552188e-11,2.8886275240866204e-09,1.9997517906866034e-08,6.999565619960226e-10,4.343773010671158e-14,2.112671706462049e-19,2.481326339173936e-12,3.883204900264865e-16,1.6878772928936455e-07,1.0876633994890985e-09,6.260372006844291e-20,1.2460649922797245e-10,2.3350777649274623e-16,0.11
1.399999999054927e-06,5.624691512832318e-16,2.3532010575582798e-26,8.89397264305981e-08,1.0307836577420823e-09,2.9489908161416475e-11,2.884691299435752e-09,1.9996994561384286e-08,6.999474028005853e-10,5.2596791358586186e-14,3.0852406094100573e-19,3.0043147945421437e-12,5.613520378253964e-16,1.687783833524532e-07,1.084519972715513e-09,9.953208519937661e-20,1.3709550583400277e-10,3.8260399403954535e-16,0.12
1.3999999985935307e-06,8.06573424983704e-16,5.642826412493615e-26,8.893134618087894e-08,1.0360505117029963e-09,3.260330374140911e-11,2.8818961605713547e-09,1.9996421348891608e-08,6.999373707223515e-10,6.262869071627712e-14,4.352672845539719e-19,3.5770583207650295e-12,7.862142139511374e-16,1.6876839785969723e-07,1.0820482549026133e-09,1.51664981265009e-19,1.4955224736017385e-10,5.998960058188079e-16,0.13
1.399999997970974e-06,1.1225520694464972e-15,1.2606699475525917e-25,8.892429385273069e-08,1.0399746481900026e-09,3.573149517056326e-11,2.879889069137374e-09,1.9995798387843315e-08,6.999264677914854e-10,7.353138896702108e-14,5.965557225023682e-19,4.199417392376533e-12,1.0722122526543287e-15,1.6875788280742688e-07,1.0801312078813465e-09,2.229918638165148e-19,1.619837445862703e-10,9.064738464019232e-16,0.14
1.3999999971494473e-06,1.5231959329417084e-15,2.6511197977471945e-25,8.8918226896422e-08,1.0429021134537128e-09,3.887098591941696e-11,2.8784352634450036e-09,1.9995125771541144e-08,6.999146955931723e-10,8.53032910470364e-14,7.977491493265658e-19,4.871275865753651e-12,1.4293971835983417e-15,1.687469437953907e-07,1.0786575483091098e-09,3.1803155451906987e-19,1.743956582708672e-10,1.3273565609196165e-15,0.15
1.3999999960858594e-06,2.022320077377099e-15,5.293769956602987e-25,8.891289427774636e-08,1.0450865297521916e-09,4.2019187925972367e-11,2.8773809528674226e-09,1.9994403573508856e-08,6.999020553613985e-10,9.794315226257181e-14,1.0445009296605333e-18,5.592535605717873e-12,1.8685653619317334e-15,1.687356761279047e-07,1.0775274428076728e-09,4.418380643005415e-19,1.8679249284408787e-10,1.8918201274147553e-15,0.16
1.399999994731513e-06,2.634761749483864e-15,1.0112084332712608e-24,8.890811057753538e-08,1.0467152380989365e-09,4.517417933377595e-11,2.8766198431666716e-09,1.9993631851523603e-08,6.998885480491893e-10,1.1145000805387395e-13,1.3427515411885185e-18,6.36311245863741e-12,2.4012560223731944e-15,1.6872415736188954e-07,1.0766598437288142e-09,6.000052349645309e-19,1.9917771264377645e-10,2.633724867223174e-15,0.17
1.3999999930317792e-06,3.3763781658536285e-15,1.8570056900226095e-24,8.890373686117878e-08,1.0479286151892342e-09,4.833451804548383e-11,2.8760737152915763e-09,1.9992810651421956e-08,6.998741743948854e-10,1.258231077198738e-13,1.6987243238539086e-18,7.1829324499374664e-12,3.0397499527473384e-15,1.6871244701073465e-07,1.0759925936770706e-09,7.986704203937194e-19,2.1155393353395889e-10,3.5918423077116005e-15,0.18
1.3999999909257739e-06,4.264044235674689e-15,3.2914834990833734e-24,8.889966787784457e-08,1.0488330042839069e-09,5.149911161899551e-11,2.875683244739912e-09,1.9991940010239065e-08,6.998589349767249e-10,1.4106185983552036e-13,2.1189224778264617e-18,8.051928648814565e-12,3.7970678970545925e-15,1.6870059009094396e-07,1.075478674582283e-09,1.044517130537551e-18,2.2392312718463464e-10,4.810181321728033e-15,0.19
1.3999999883460364e-06,5.315650039836809e-15,5.652728240038911e-24,8.889582543212211e-08,1.049507415757586e-09,5.4667145076310097e-11,2.8754067306514347e-09,1.9991019958370905e-08,6.998428302503018e-10,1.5716579479523481e-13,2.6101264929448293e-18,8.970039010872445e-12,4.686968195930857e-15,1.6868862237749515e-07,1.0750807770937637e-09,1.3447765185719243e-18,2.3628679631470785e-10,6.338313265032984e-15,0.2
1.3999999852182052e-06,6.550098005368639e-15,9.438773427330992e-24,8.889215224526658e-08,1.0500097284405127e-09,5.7838018317178345e-11,2.8752158361117424e-09,1.9990050521092057e-08,6.998258605747239e-10,1.7413453865462062e-13,3.1793929818657076e-18,9.93720486533058e-12,5.72394461940387e-15,1.6867657224452513e-07,1.0747693590847824e-09,1.7072285998086778e-18,2.486460755080629e-10,8.231696309147177e-15,0.21
1.3999999814607008e-06,7.987299863483404e-15,1.536802917474966e-23,8.888860604265126e-08,1.0503826606565021e-09,6.101128762885724e-11,2.8750901311689487e-09,1.9989031719805066e-08,6.998080262340543e-10,1.9196779168511327e-13,3.834056958444958e-18,1.0953369670947113e-11,6.923224134905537e-15,1.686644611089758e-07,1.0745221319316523e-09,2.1402036389140245e-18,2.6100180129724857e-10,1.055199892557618e-14,0.22
1.399999976984404e-06,9.64817322623815e-15,2.4459239156232174e-23,8.888515517226498e-08,1.0506581959291227e-09,6.418662148246973e-11,2.8750138090531344e-09,1.9987963573076686e-08,6.997893274550029e-10,2.1066531068598945e-13,4.581727849662116e-18,1.2018477986239603e-11,8.300763860065694e-15,1.6865230450522997e-07,1.0743229187524177e-09,2.65258327780458e-18,2.733545792966254e-10,1.3367422268332119e-14,0.23
1.3999999716923407e-06,1.1554638194703012e-14,3.8151168403847496e-23,8.888177674325165e-08,1.050859465416295e-09,6.736377955888827e-11,2.874975795235201e-09,1.998684609730169e-08,6.997697644180556e-10,2.3022689785341587e-13,5.430289784286147e-18,1.3132474810876967e-11,9.873249251550244e-15,1.6864011401831767e-07,1.074159662746083e-09,3.2538011788078364e-18,2.8570484266068844e-10,1.675302059293168e-14,0.24
1.399999965479361e-06,1.3729614129022756e-14,5.837243949420194e-23,8.887845106633191e-08,1.051006361724645e-09,7.054255851265402e-11,2.8749641555516647e-09,1.9985679307802454e-08,6.997493372762897e-10,2.506523819649833e-13,6.387900868401454e-18,1.4295304492469557e-11,1.1658090959555052e-14,1.686278972486024e-07,1.0740244057576816e-09,3.953844305554921e-18,2.9805290884341193e-10,2.0791024408512034e-14,0.25
1.3999999582318285e-06,1.6197015792647688e-14,8.779245508198452e-23,8.887516620905169e-08,1.0511109439262102e-09,7.372283170685779e-11,2.8749740143526545e-09,1.9984463218408492e-08,6.997280461474115e-10,2.7194162634118635e-13,7.462994905339297e-18,1.5506911153107057e-11,1.3673422620576937e-14,1.6861566111588832e-07,1.0739099641680842e-09,4.763252359847191e-18,3.103989995991564e-10,2.5571155181024076e-14,0.26
1.3999999498272986e-06,1.89817503151578e-14,1.29865456464701e-22,8.887190859118687e-08,1.0511869312577808e-09,7.690446010900708e-11,2.87499623849026e-09,1.998319784304e-08,6.997058911410823e-10,2.9409450151994325e-13,8.664277938381701e-18,1.676723711183814e-11,1.5938097858883072e-14,1.6860340997700964e-07,1.0738117523212255e-09,5.693119655564711e-18,3.2274329998170047e-10,3.1190950486151875e-14,0.27
1.3999999401342138e-06,2.2109712897623756e-14,1.8924989052759376e-22,8.886867210998526e-08,1.05124049251987e-09,8.00873776501656e-11,2.8750292336219177e-09,1.9981883194248798e-08,6.996828723326557e-10,3.1711091152161787e-13,1.0000729026259513e-17,1.8076224350140702e-11,1.8471688176118616e-14,1.6859114825368723e-07,1.0737251956045596e-09,6.75509350926723e-18,3.350859174030379e-10,3.775607253529919e-14,0.28
1.3999999290115861e-06,2.5607782829202967e-14,2.7196352383400756e-22,8.886544951349126e-08,1.0512789550832875e-09,8.327150889364735e-11,2.87506887488545e-09,1.9980519284716855e-08,6.996589897889689e-10,3.40990768047025e-13,1.1481607104666604e-17,1.9433813022132188e-11,2.129447819410467e-14,1.6857887901105323e-07,1.0736470916783116e-09,7.961376758892436e-18,3.474269418961711e-10,4.5380630406301104e-14,0.29
1.3999999163086898e-06,2.950381917953245e-14,3.857882649474743e-22,8.886223778005894e-08,1.0513053741026707e-09,8.645682030843052e-11,2.8751147802022603e-09,1.997910612627734e-08,6.99634243550522e-10,3.657340082989155e-13,1.3116451974386557e-17,2.083994244052971e-11,2.442746296166843e-14,1.6856660483849268e-07,1.0735747673359393e-09,9.324726936821904e-18,3.597664084145495e-10,5.4187490324321075e-14,0.3
1.3999999018647555e-06,3.3826656253100924e-14,5.408347320282393e-22,8.885903399991575e-08,1.0513226900273119e-09,8.964328119467233e-11,2.875165500519382e-09,1.997764373060665e-08,6.996086336429605e-10,3.913405835073436e-13,1.491507400395391e-17,2.2294550391059358e-11,2.7892346046862925e-14,1.6855432716819182e-07,1.0735067311822397e-09,1.0858458046273972e-17,3.721043256160124e-10,6.430858726784283e-14,0.31
1.3999998855086558e-06,3.8606099961772685e-14,7.496831059680439e-22,8.88558366509522e-08,1.0513324416445914e-09,9.283087485049204e-11,2.875220613910688e-09,1.9976132109072183e-08,6.995821600738711e-10,4.178104621254375e-13,1.688756298103155e-17,2.37975732922683e-11,3.171153559562021e-14,1.6854204707943132e-07,1.0734418662346123e-09,1.2576440356461661e-17,3.844406789734517e-10,7.588524311129893e-14,0.32
1.3999998670586077e-06,4.3872924086583957e-14,1.0285602914025315e-21,8.885264410785725e-08,1.0513362711587764e-09,9.601958435788548e-11,2.8752790922999342e-09,1.9974571272968994e-08,6.99554822836097e-10,4.451436265237186e-13,1.9044278297851594e-17,2.5348945964163448e-11,3.590814276734163e-14,1.6852976515757712e-07,1.0733795583694076e-09,1.449310088247096e-17,3.967754433452363e-10,8.906846672135619e-14,0.33
1.3999998463218575e-06,4.965886564118932e-14,1.3973152438933549e-21,8.884945500357582e-08,1.051335559417118e-09,9.92093958990591e-11,2.875339753177247e-09,1.997296123344014e-08,6.995266219058538e-10,4.733400748663381e-13,2.1395855752588752e-17,2.6948601716645076e-11,4.05059775867252e-14,1.685174815831118e-07,1.0733196092264224e-09,1.6623423992847646e-17,4.0910858104678634e-10,1.040192750664277e-13,0.34
1.399999823094387e-06,5.599662194841231e-14,1.8810691535271746e-21,8.884626831989689e-08,1.0513313355556162e-09,1.0240029852261274e-10,2.8754021354515e-09,1.9971302001536754e-08,6.994975572428778e-10,5.023998209637325e-13,2.395320810707208e-17,2.859647229538141e-11,4.552954592979843e-14,1.6850519690239535e-07,1.0732614507683082e-09,1.8982950342966885e-17,4.2144005653677567e-10,1.209089888092396e-13,0.35000000000000003
1.3999997971606018e-06,6.291984516089899e-14,2.510355666840883e-21,8.88430826705505e-08,1.0513250000404442e-09,1.0559227800502395e-10,2.8754652013606996e-09,1.996959358824654e-08,6.994676287903826e-10,5.323228943155467e-13,2.672752315280325e-17,3.029248786180018e-11,5.10040465092598e-14,1.6849291145675587e-07,1.073204720339162e-09,2.1587778557452028e-17,4.3376983227649463e-10,1.3991954997325364e-13,0.36
1.3999997682930414e-06,7.04631376247235e-14,3.3230056494818807e-21,8.883989764077013e-08,1.0513169726001525e-09,1.0878532935614765e-10,2.8755290138756967e-09,1.99678360042316e-08,6.994368364695613e-10,5.631093456025252e-13,2.9730271623172505e-17,3.203657726466212e-11,5.695536612463731e-14,1.6848062571503927e-07,1.073148935233989e-09,2.4454564484356548e-17,4.460978616191172e-10,1.612438171791488e-13,0.37
1.3999997362512347e-06,7.866203284359752e-14,4.369282623755265e-21,8.883671272127236e-08,1.0513077677564843e-09,1.1197944730872157e-10,2.875593105532462e-09,1.9966029259808534e-08,6.994051801762653e-10,5.947592500086351e-13,3.2973201151964594e-17,3.3828668091111264e-11,6.341006752230762e-14,1.6846833971811454e-07,1.0730940483939055e-09,2.7600524883971878e-17,4.5842408864112555e-10,1.8508672758913492e-13,0.38
1.399999700782843e-06,8.755301485969323e-14,5.706394366701862e-21,8.883352772866961e-08,1.0512975711329438e-09,1.1517462959698273e-10,2.875657442457179e-09,1.9964173365099263e-08,6.993726597866927e-10,6.272727015341857e-13,3.6468338964721746e-17,3.5668686483611e-11,7.039540227620564e-14,1.6845605361277766e-07,1.0730399080595216e-09,3.104343411313426e-17,4.70748454552426e-10,2.1166413590388967e-13,0.39
1.3999996616241056e-06,9.717352732746984e-14,7.395403590054832e-21,8.883034237750444e-08,1.0512866724329157e-09,1.1837087194435883e-10,2.8757225799572496e-09,1.9962268330277634e-08,6.993392751630706e-10,6.606498073154371e-13,4.022799155121843e-17,3.755655687832211e-11,7.793931672681394e-14,1.6844376822427458e-07,1.0729856692364947e-09,3.480162238060505e-17,4.830709136932211e-10,2.4120235914324824e-13,0.4
1.3999996184959997e-06,1.0756190908936025e-13,9.524266146223458e-21,8.882715646447651e-08,1.0512752770216878e-09,1.215681722544308e-10,2.875788208566435e-09,1.9960314164740463e-08,6.993050261283366e-10,6.948907129350624e-13,4.4264742564030145e-17,3.9492202942137724e-11,8.607040831933007e-14,1.6843148344844475e-07,1.0729314360209795e-09,3.889398560316674e-17,4.953913991727107e-10,2.7394208113738094e-13,0.41000000000000003
1.3999995711053791e-06,1.1875741320759317e-13,1.2201013678374379e-20,8.882396982570833e-08,1.0512635497613316e-09,1.2476652951028346e-10,2.8758535790404576e-09,1.995831087734785e-08,6.992699124735463e-10,7.299955950176242e-13,4.8591453431712936e-17,4.1475547300432835e-11,9.481793851654549e-14,1.6841919871079818e-07,1.0728777927823399e-09,4.333998251470654e-17,5.07709832577382e-10,3.10137194915775e-13,0.42
1.3999995191509944e-06,1.3080030541767882e-13,1.5517680998219573e-20,8.88207825389623e-08,1.0512514136851537e-09,1.2796594288306095e-10,2.875919653734801e-09,1.995625847752014e-08,6.992339339939189e-10,7.659646251937061e-13,5.3221267104084614e-17,4.3506510274569513e-11,1.042118998814044e-13,1.6840691487984898e-07,1.0728238541465154e-09,4.81596202381981e-17,5.200261604890195e-10,3.500486840611988e-13,0.43
1.3999994623146218e-06,1.4373171874552721e-13,1.9607383532744085e-20,8.881759457398282e-08,1.0512388997405813e-09,1.311664116469373e-10,2.8759865005688445e-09,1.9954156973715563e-08,6.991970904371393e-10,8.027980217785569e-13,5.81676075996258e-17,4.5585011651323e-11,1.142829143781329e-13,1.6839463205210513e-07,1.0727695212481582e-09,5.3373474430235685e-17,5.323403134894511e-10,3.9395363926448695e-13,0.44
1.3999994002573793e-06,1.5759359270766712e-13,2.467356346844407e-20,8.881440557423696e-08,1.0512263670613377e-09,1.3436793316624625e-10,2.876053008587142e-09,1.9952006372931164e-08,6.991593814838973e-10,8.404960692195217e-13,6.344418698094907e-17,4.7710971289025024e-11,1.2506218711587124e-13,1.683823494869107e-07,1.0727155458966759e-09,5.900269606769397e-17,5.446522072593328e-10,4.4214900278881774e-13,0.45
1.3999993326373172e-06,1.7242896281830703e-13,3.086095047638099e-20,8.881121575925009e-08,1.0512135948064e-09,1.3757050872098272e-10,2.876119773538729e-09,1.9949806683340787e-08,6.991208068446593e-10,8.790590213787166e-13,6.906498576101803e-17,4.988430597688227e-11,1.365817195226939e-13,1.683700675538776e-07,1.0726615531918753e-09,6.50689760182802e-17,5.56961772028334e-10,4.949336886559378e-13,0.46
1.3999992590946467e-06,1.8828171728548535e-13,3.836659488498098e-20,8.880802518470796e-08,1.0512005269412754e-09,1.407741386233483e-10,2.87618680431338e-09,1.9947557912083822e-08,6.990813661782908e-10,9.184871828643424e-13,7.504426995389034e-17,5.2104932068494965e-11,1.488741304108479e-13,1.6835778620725331e-07,1.0726075902793514e-09,7.159457480134992e-17,5.692689298741375e-10,5.526235970607946e-13,0.47000000000000003
1.3999991792433676e-06,2.0519645675919929e-13,4.7534682198552667e-20,8.880483353540137e-08,1.0511874819614885e-09,1.439788195496157e-10,2.876253766516266e-09,1.994526006405853e-08,6.990410590445507e-10,9.587809565016944e-13,8.139660785685313e-17,5.437276692929864e-11,1.6197255542879784e-13,1.6834550542814598e-07,1.0725536730536479e-09,7.860233957257831e-17,5.815736060348797e-10,6.155601275661393e-13,0.48
1.3999990926966175e-06,2.2321891676504533e-13,5.859944564547628e-20,8.880164095180656e-08,1.05117431814006e-09,1.4718455271231748e-10,2.8763206966641076e-09,1.9942913145619344e-08,6.989998850466255e-10,9.99940700895711e-13,8.813682593309281e-17,5.6687724511595684e-11,1.7591095231100142e-13,1.683332251147397e-07,1.0724999067263365e-09,8.61156528087243e-17,5.938757173982434e-10,6.840844065140272e-13,0.49
1.3999989990488107e-06,2.423956700496173e-13,7.186631477937784e-20,8.879844744766127e-08,1.0511610217096623e-09,1.5039133810196973e-10,2.876387498949279e-09,1.99405171619717e-08,6.989578437306965e-10,1.0419668307950517e-12,9.528003989758649e-17,5.904971847247039e-11,1.907238857932386e-13,1.6832094515965092e-07,1.072446400871506e-09,9.415846846530034e-17,6.061751806122571e-10,7.585554468711246e-13,0.5
1.3999988978686165e-06,2.627740034064502e-13,8.784153641204937e-20,8.87952529244082e-08,1.0511476928081763e-09,1.535991740980301e-10,2.8764543091158633e-09,1.9938072115955074e-08,6.989149345395557e-10,1.0848598634389722e-12,1.0284167492929327e-16,6.145866360523947e-11,2.0644643629483625e-13,1.6830866579299834e-07,1.0723929196075037e-09,1.027553303089747e-16,6.184719190480977e-10,8.393572917148891e-13,0.51
1.3999987887185526e-06,2.844022548434953e-13,1.069325964023674e-19,8.879205738981759e-08,1.0511343237763532e-09,1.568080605487237e-10,2.8765210765812263e-09,1.9935578011233816e-08,6.988711569347006e-10,1.1286202965563993e-12,1.1083741776983456e-16,6.391447206380774e-11,2.2311444754827174e-13,1.682963869576547e-07,1.0723395211753583e-09,1.1193132514123328e-16,6.307658473851743e-10,9.268790849258085e-13,0.52
1.3999986711446388e-06,3.073296355311928e-13,1.296064213861234e-19,8.878886084253668e-08,1.0511209162347323e-09,1.600179971446437e-10,2.8765877851099086e-09,1.993303485061214e-08,6.98826510331858e-10,1.17324867279237e-12,1.192832420192979e-16,6.641705535651624e-11,2.407643958305449e-13,1.682841086391648e-07,1.072286220189207e-09,1.2171210750010137e-16,6.43056879751461e-10,1.0215255954873853e-12,0.53
1.399998544669533e-06,3.316061040178697e-13,1.5655018318275985e-19,8.878566326892481e-08,1.0511074843129113e-09,1.6322898335432225e-10,2.8766544640750552e-09,1.9930442634723817e-08,6.987809940522058e-10,1.2187456284432049e-12,1.281954297698585e-16,6.896632587511561e-11,2.5943329706344513e-13,1.6827183087992226e-07,1.0722329731466583e-09,1.3212392096021483e-16,6.55344930254986e-10,1.1237242059049988e-12,0.54
1.3999984088016126e-06,3.5728253131855816e-13,1.8846826335913296e-19,8.878246466002068e-08,1.05109403742054e-09,1.664410186860562e-10,2.8767211500382463e-09,1.9927801363732327e-08,6.987346073858657e-10,1.26511183001943e-12,1.375905438273678e-16,7.156219490771323e-11,2.791588286571608e-13,1.6825955372478554e-07,1.072179734076604e-09,1.4319357080626334e-16,6.676299114331998e-10,1.233915667126281e-12,0.55
1.3999982630366385e-06,3.8441073132766404e-13,2.260439483535676e-19,8.877926501322668e-08,1.051080578534666e-09,1.6965410271620105e-10,2.876787882330894e-09,1.9925111037646218e-08,6.986873496036581e-10,1.312347962500172e-12,1.4748542252482064e-16,7.420457227050427e-11,2.9997935196584383e-13,1.6824727721508367e-07,1.0721264606702205e-09,1.5494841892811468e-16,6.799117340632749e-10,1.352552403620668e-12,0.56
1.3999981068411118e-06,4.130431425878485e-13,2.704584320933773e-19,8.877606432269486e-08,1.0510671137853784e-09,1.7286823511746067e-10,2.8768546009794475e-09,1.9922371652860845e-08,6.986392198291404e-10,1.360454857176841e-12,1.5789723563669897e-16,7.689337031743384e-11,3.2193367914798056e-13,1.6823500129784476e-07,1.0720732067708807e-09,1.674164469338567e-16,6.921903059950207e-10,1.4801154745746718e-12,0.5700000000000001
1.3999979396604934e-06,4.432329865181398e-13,3.2312423764346006e-19,8.87728625835294e-08,1.051053648290888e-09,1.7608341562142764e-10,2.876921208154969e-09,1.991958320388926e-08,6.985902171025877e-10,1.4094334277314784e-12,1.6884345645917857e-16,7.962850193528307e-11,3.4506118895404915e-13,1.682227258819993e-07,1.0720200650892548e-09,1.8062622406989846e-16,7.044655329585124e-10,1.6171061964226682e-12,0.58
1.3999977609426224e-06,4.750347250085753e-13,3.8486053600097217e-19,8.876965980029757e-08,1.0510401779024597e-09,1.7929964376277496e-10,2.8769878133186345e-09,1.9916745688439796e-08,6.985403405682799e-10,1.45928448312947e-12,1.8034178031892938e-16,8.240987467445904e-11,3.6940216075149786e-13,1.6821045107071014e-07,1.0719669303130562e-09,1.9460681003716627e-16,7.167373223329302e-10,1.7640222672121512e-12,0.59
1.3999975701117806e-06,5.085035536438404e-13,4.568064630379882e-19,8.876645597760404e-08,1.0510266983467261e-09,1.825169191625582e-10,2.877054461728293e-09,1.991385910179275e-08,6.984895892670855e-10,1.5100089348368974e-12,1.9241021482289034e-16,8.523739724902037e-11,3.9499740459916636e-13,1.6819817690407184e-07,1.071913761457972e-09,2.0938786262010509e-16,7.2900557897265e-10,1.921384208362786e-12,0.6
1.3999973665761964e-06,5.436955483263071e-13,5.401568741369916e-19,8.876325112281791e-08,1.051013202580588e-09,1.8573524144624927e-10,2.877121212988287e-09,1.9910923438427354e-08,6.984379621964721e-10,1.5616077368673924e-12,2.0506705374675944e-16,8.811097765605785e-11,4.2188836827598e-13,1.6818590343355436e-07,1.0718605059629988e-09,2.249996065469249e-16,7.412702064148593e-10,2.08972771440621e-12,0.61
1.399997149728045e-06,5.806676652760333e-13,6.361623441908742e-19,8.876004524607273e-08,1.0509996807912152e-09,1.8895461024373638e-10,2.8771881410494536e-09,1.9907938692021764e-08,6.983854583105071e-10,1.6140818857821373e-12,2.1833087703499364e-16,9.103052317569434e-11,4.501171372809499e-13,1.6817363072200285e-07,1.0718070996904408e-09,2.4147283348960085e-16,7.535311068795578e-10,2.269603652986031e-12,0.62
1.3999969189056012e-06,6.194770067039458e-13,7.478443529890787e-19,8.875683832475304e-08,1.050986155929249e-09,1.9217502516931016e-10,2.8772550738750233e-09,1.9904904846950816e-08,6.983320762056126e-10,1.6674327345772713e-12,2.3222072390329453e-16,9.399595013856912e-11,4.797259039270762e-13,1.6816135862287152e-07,1.0717536917257925e-09,2.588390860236581e-16,7.657881785010131e-10,2.461616643680653e-12,0.63
1.3999966734207234e-06,6.60181354059452e-13,8.787497655260928e-19,8.875363032928315e-08,1.050972657905583e-09,1.9539648583619714e-10,2.8773217824879693e-09,1.990182188446012e-08,6.98277814348761e-10,1.7216617647476282e-12,2.467559671364214e-16,9.700717683296376e-11,5.107573528705177e-13,1.6814908694053787e-07,1.0717004811343459e-09,2.771305240417171e-16,7.780413173382002e-10,2.6663970431403406e-12,0.64
