Time,IX,IX_TF_VIIa,TF_VIIa,IXa,X,X_TF_VIIa,Xa,VIIIa_IXa,X_VIIIa_IXa,V,Va,VIII,VIIIa,IIa,II,II_Va_Xa,Va_Xa,mIIa,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,k15,k16,k17,k18,k19,k20,I,IIa_plus_1_2mIIa,compartment_1,R1,R1b,R2,R2b,R3,R3b,R4,R5,R6,R7,R8,R9,R9b,R10,R11,R12,R7_atn,R8_atn,R4_atn,VIIIa_IXa_degradation
1.57,8.845082663076043e-08,1.0496666103131072e-09,2.8835732574517475e-09,4.994858197209097e-10,1.670104528247891e-07,1.0667550537481506e-09,1.882186612781168e-09,8.278597892560296e-15,1.2657519140044989e-14,1.938863417624259e-08,5.707730178145153e-10,6.887875581972748e-10,1.1191505685692521e-11,6.580346786701145e-15,1.3997397958937989e-06,2.324318914883551e-11,1.734961679403806e-11,2.369543367048364e-10,20000000.0,20000000.0,10000000.0,20000000.0,10000000.0,100000000.0,10000000.0,400000000.0,0.005,0.4,0.3,1.15,8.2,32.0,100000.0,24.0,44.0,0.001,70.0,0.02,-1.0561546430015572e-16,2.843517843925903e-10,1.0,3.1344517968159256e-10,3.1489998309393216e-10,1.2214651831282328e-09,1.226768311810373e-09,1.3824858075994396e-13,1.0379165694836889e-13,1.6648096177384528e-11,7.298605537327045e-10,1.29642672108914e-11,2.5516787320032384e-15,9.06492199060633e-17,8.014716665937601e-10,7.437820527627363e-10,4.1110669395143785e-14,5.58585909238307e-14,1.0049028658910356e-10,9.188441901688569e-11,3.2642239796635824e-12,1.5345879471595899e-13,0.0
1.58,8.844752367693693e-08,1.049652056826084e-09,2.8836408383975127e-09,5.028027625112327e-10,1.6699823707362732e-07,1.0667020262893966e-09,1.8934409514657797e-09,8.494829072353444e-15,1.3005808167016344e-14,1.938038208723961e-08,5.780110151705761e-10,6.886243871937275e-10,1.1354112169033071e-11,7.0037017499458095e-15,1.3997316829864267e-06,2.3825372363995982e-11,1.7781525225797618e-11,2.444846375068534e-10,20000000.0,20000000.0,10000000.0,20000000.0,10000000.0,100000000.0,10000000.0,400000000.0,0.005,0.4,0.3,1.15,8.2,32.0,100000.0,24.0,44.0,0.001,70.0,0.02,-1.0901301740355851e-16,2.93388568709974e-10,1.0,3.13439769168605e-10,3.148956170478252e-10,1.2214044798566761e-09,1.226707330232806e-09,1.4184914212431518e-13,1.0664762696953401e-13,1.6747016338565154e-11,7.339121819806665e-10,1.3038696148906308e-11,2.7146883187803696e-15,9.64583965128814e-17,8.211603575574114e-10,7.624119156478714e-10,4.3473097491481e-14,5.704631549916056e-14,1.0233036256190864e-10,9.476411378686182e-11,3.3671616736287508e-12,1.572731873420786e-13,0.0
1.59,8.844421975056562e-08,1.0496374927526202e-09,2.8837084272104583e-09,5.061206764593314e-10,1.6698602189316975e-07,1.0666490015499033e-09,1.904676199855103e-09,8.715528292155654e-15,1.3361605628194069e-14,1.937206040198132e-08,5.853000994185166e-10,6.884594308182325e-10,1.1518492047847012e-11,7.451283374890024e-15,1.3997233714252824e-06,2.4418206400786222e-11,1.8221292199355228e-11,2.522029170327939e-10,20000000.0,20000000.0,10000000.0,20000000.0,10000000.0,100000000.0,10000000.0,400000000.0,0.005,0.4,0.3,1.15,8.2,32.0,100000.0,24.0,44.0,0.001,70.0,0.02,-1.1249933364726078e-16,3.026509517227276e-10,1.0,3.134343572130906e-10,3.14891247825786e-10,1.2213437877726247e-09,1.2266463517823887e-09,1.4552377821481625e-13,1.0956516615119136e-13,1.6845760037365694e-11,7.379500477961861e-10,1.3112922924452782e-11,2.886934232212976e-15,1.025981262228429e-16,8.412024068456343e-10,7.813826048251591e-10,4.595463044784281e-14,5.825389222901681e-14,1.0419220003378532e-10,9.771380284630335e-11,3.4726295342219043e-12,1.611567971419041e-13,0.0
1.6,8.844091485271439e-08,1.0496229181343395e-09,2.8837760238642993e-09,5.094395602560606e-10,1.6697380728265287e-07,1.066595979514333e-09,1.9158921404130093e-09,8.940769416970674e-15,1.3725037272575564e-14,1.9363668553137003e-08,5.926406196998357e-10,6.882926655954417e-10,1.1684668597868624e-11,7.924291144909895e-15,1.3997148576582995e-06,2.5021816910402934e-11,1.8669010252738767e-11,2.601126004982149e-10,20000000.0,20000000.0,10000000.0,20000000.0,10000000.0,100000000.0,10000000.0,400000000.0,0.005,0.4,0.3,1.15,8.2,32.0,100000.0,24.0,44.0,0.001,70.0,0.02,-1.1607624753191395e-16,3.121430448890028e-10,1.0,3.134289428640265e-10,3.1488687544030185e-10,1.2212831068745962e-09,1.2265853764414828e-09,1.4927370592151723e-13,1.1254530563511962e-13,1.6944325365725168e-11,7.419740078103546e-10,1.3186945083182264e-11,3.0688669449718754e-15,1.0908462950168773e-16,8.616019191251524e-10,8.006981411328939e-10,4.8560448055677176e-14,5.948162047527507e-14,1.0607594643614554e-10,1.0073468365083945e-10,3.580671903037571e-12,1.6511043461469213e-13,0.0
1.61,8.843760898445712e-08,1.049608333017822e-09,2.8838436283245052e-09,5.12759412578485e-10,1.6696159324129808e-07,1.0665429601706363e-09,1.927088554180357e-09,9.170627410388078e-15,1.4096230649511233e-14,1.9355205962856232e-08,6.0003293424275e-10,6.881240676330268e-10,1.1852665508913091e-11,8.423971568856652e-15,1.399706138092752e-06,2.563633036118185e-11,1.9124772539815137e-11,2.6821715291458583e-10,20000000.0,20000000.0,10000000.0,20000000.0,10000000.0,100000000.0,10000000.0,400000000.0,0.005,0.4,0.3,1.15,8.2,32.0,100000.0,24.0,44.0,0.001,70.0,0.02,-1.197456230815167e-16,3.2186900746907184e-10,1.0,3.1342352498034353e-10,3.1488249990534657e-10,1.2212224368745334e-09,1.2265244041962316e-09,1.531001601154218e-13,1.155890913259921e-13,1.7042710403302523e-11,7.459839174964729e-10,1.326076014591636e-11,3.2609540948093125e-15,1.1593475163173218e-16,8.82363026077966e-10,8.203625715578192e-10,5.129592040768269e-14,6.072980490134353e-14,1.0798175095511977e-10,1.0382796474865427e-10,3.691333565450687e-12,1.6913491557928536e-13,0.0
1.62,8.843430214687338e-08,1.0495937374548492e-09,2.88391124054769e-09,5.160802320897826e-10,1.6694937976831129e-07,1.0664899435104173e-09,1.9382652207646296e-09,9.405178349141572e-15,1.447531513169249e-14,1.9346672042670822e-08,6.074774104498066e-10,6.879536126177188e-10,1.2022506888800248e-11,8.951619269798337e-15,1.3996972090950319e-06,2.626187404438954e-11,1.958867283496129e-11,2.7652007930377737e-10,20000000.0,20000000.0,10000000.0,20000000.0,10000000.0,100000000.0,10000000.0,400000000.0,0.005,0.4,0.3,1.15,8.2,32.0,100000.0,24.0,44.0,0.001,70.0,0.02,-1.2350935417821276e-16,3.3183304678380263e-10,1.0,3.134181022195011e-10,3.1487812123645474e-10,1.2211617771714398e-09,1.2264634350369798e-09,1.5700439388482186e-13,1.186975840798784e-13,1.7140913217387545e-11,7.49979631156965e-10,1.3334365608363071e-11,3.463680845272818e-15,1.2316597630872303e-16,9.034898865898305e-10,8.403799694204653e-10,5.416661365779245e-14,6.199875556298471e-14,1.0990976457351747e-10,1.0699486575007017e-10,3.8046597503674345e-12,1.732310612143217e-13,0.0
1.6300000000000001,8.843099434104831e-08,1.0495791315026518e-09,2.8839788604810015e-09,5.19402017439148e-10,1.669371668628823e-07,1.0664369295292987e-09,1.94942191832958e-09,9.644499437667325e-15,1.4862421938139754e-14,1.9338066193396732e-08,6.149744249854982e-10,6.877812758113458e-10,1.2194217267278338e-11,9.508578073761484e-15,1.3996880669904287e-06,2.689857608001518e-11,2.006080553773527e-11,2.850249249125508e-10,20000000.0,20000000.0,10000000.0,20000000.0,10000000.0,100000000.0,10000000.0,400000000.0,0.005,0.4,0.3,1.15,8.2,32.0,100000.0,24.0,44.0,0.001,70.0,0.02,-1.273693648970885e-16,3.420394184731347e-10,1.0,3.1341267302619453e-10,3.1487373945079553e-10,1.2211011268250626e-09,1.2264024689586934e-09,1.6098767877154636e-13,1.2187185989274597e-13,1.723893186281186e-11,7.539610019103171e-10,1.3407758940833195e-11,3.677550243909607e-15,1.3079643917446924e-16,9.24986686937294e-10,8.607544345604858e-10,5.71782959207828e-14,6.328878799996829e-14,1.1186014011279192e-10,1.1023661729453682e-10,3.920696129887745e-12,1.7739969809843383e-13,0.0
1.6400000000000001,8.842768556807245e-08,1.0495645152241537e-09,2.884046488061509e-09,5.227247672616957e-10,1.6692495452418453e-07,1.0663839182272865e-09,1.9605584235848677e-09,9.888669022662263e-15,1.5257684157190456e-14,1.9329387805035993e-08,6.22524363863876e-10,6.876070320468723e-10,1.236782159994776e-11,1.00962420984728e-14,1.3996787080629076e-06,2.754656542256237e-11,2.0541265677547273e-11,2.93735275427047e-10,20000000.0,20000000.0,10000000.0,20000000.0,10000000.0,100000000.0,10000000.0,400000000.0,0.005,0.4,0.3,1.15,8.2,32.0,100000.0,24.0,44.0,0.001,70.0,0.02,-1.3132760984097054e-16,3.5249242675455486e-10,1.0,3.1340723562098294e-10,3.1486935456724613e-10,1.2210404845295416e-09,1.2263415059613794e-09,1.6505130500710384e-13,1.2511301008896173e-13,1.733676438185985e-11,7.579278816780387e-10,1.3480937587956854e-11,3.903083577898223e-15,1.3884494128315136e-16,9.468576409732653e-10,8.814900935219959e-10,6.033694331414495e-14,6.460022332855534e-14,1.1383303227499441e-10,1.1355446101496902e-10,4.0394888188772466e-12,1.816416582504389e-13,0.0
1.6500000000000001,8.842437582930421e-08,1.049549888429076e-09,2.884114123421611e-09,5.260484801691845e-10,1.6691274275130525e-07,1.0663309096622608e-09,1.9716745093926994e-09,1.0137768689308176e-14,1.566124031504956e-14,1.9320636253686786e-08,6.301276231326868e-10,6.87430855549896e-10,1.2543345441099617e-11,1.0716325307546264e-14,1.399669128530358e-06,2.8205973230948136e-11,2.1030149949561182e-11,3.0265478008514545e-10,20000000.0,20000000.0,10000000.0,20000000.0,10000000.0,100000000.0,10000000.0,400000000.0,0.005,0.4,0.3,1.15,8.2,32.0,100000.0,24.0,44.0,0.001,70.0,0.02,-1.3538612228070345e-16,3.6319645242748207e-10,1.0,3.134017961058553e-10,3.1486496652872275e-10,1.2209798496682832e-09,1.2262805461116e-09,1.691966164907582e-13,1.2842217058340638e-13,1.7434408783159905e-11,7.618801201328539e-10,1.3553898948577448e-11,4.14092446486559e-15,1.4733465349035062e-16,9.691070391101359e-10,9.025911433903404e-10,6.364875408142073e-14,6.593338921182868e-14,1.1582859723966833e-10,1.1694965832929325e-10,4.161084688203943e-12,1.859577882886621e-13,0.0
1.6600000000000001,8.84210651261986e-08,1.0495352508429622e-09,2.884181766754245e-09,5.29373154755899e-10,1.6690053154329028e-07,1.0662779039157398e-09,1.982769946309516e-09,1.0391881920042109e-14,1.6073232089554383e-14,1.931181090339393e-08,6.377846085724728e-10,6.872527200483649e-10,1.272081483762535e-11,1.1370687747808965e-14,1.399659324560348e-06,2.8876931985852353e-11,2.1527556047725685e-11,3.1178713697758176e-10,20000000.0,20000000.0,10000000.0,20000000.0,10000000.0,100000000.0,10000000.0,400000000.0,0.005,0.4,0.3,1.15,8.2,32.0,100000.0,24.0,44.0,0.001,70.0,0.02,-1.3954698335426112e-16,3.741559350608459e-10,1.0,3.1339636316607235e-10,3.1486057525288867e-10,1.2209192215824083e-09,1.2262195895031006e-09,1.7342498838692405e-13,1.3180050313434594e-13,1.7531863055290302e-11,7.658175653612382e-10,1.3626640388313654e-11,4.391771432544499e-15,1.5629072167004656e-16,9.917392167098122e-10,9.240618235472753e-10,6.712015066244816e-14,6.728861940699359e-14,1.178469929905375e-10,1.2042348462843282e-10,4.285531159278704e-12,1.9034894353038434e-13,0.0
1.67,8.84177534596065e-08,1.0495206027985016e-09,2.8842494177628765e-09,5.326987896230322e-10,1.6688832089932723e-07,1.0662249009515693e-09,1.9938445089305703e-09,1.0651088557786278e-14,1.649379487795513e-14,1.9302911114029454e-08,6.454957341933922e-10,6.87072599234081e-10,1.2900255882483198e-11,1.2060620701863333e-14,1.399649292335322e-06,2.955957185774634e-11,2.203357991938847e-11,3.211360321990338e-10,20000000.0,20000000.0,10000000.0,20000000.0,10000000.0,100000000.0,10000000.0,400000000.0,0.005,0.4,0.3,1.15,8.2,32.0,100000.0,24.0,44.0,0.001,70.0,0.02,-1.4381219491522128e-16,3.853752992595424e-10,1.0,3.1339092641312245e-10,3.1485618083955046e-10,1.2208585966618227e-09,1.2261586360943046e-09,1.7773773472102094e-13,1.3524911799923207e-13,1.7629125222741335e-11,7.6974006662165e-10,1.3699159292195266e-11,4.6561017877618286e-15,1.6573044028011213e-16,1.0147584241363393e-09,9.45906299447883e-10,7.07577643045272e-14,6.866625150147307e-14,1.1988838054820478e-10,1.2397720570100099e-10,4.412875367014193e-12,1.9481596371450262e-13,0.0
1.68,8.841444083071304e-08,1.0495059443099002e-09,2.88431707639695e-09,5.360253833457931e-10,1.668761108184987e-07,1.0661719008060983e-09,2.0048979673654974e-09,1.0915472257940163e-14,1.6923070487587884e-14,1.929393623050509e-08,6.532614244541097e-10,6.868904661351289e-10,1.3081695322125478e-11,1.2787806957682553e-14,1.3996390279647332e-06,3.0254025586405154e-11,2.2548319454376525e-11,3.3070522187276223e-10,20000000.0,20000000.0,10000000.0,20000000.0,10000000.0,100000000.0,10000000.0,400000000.0,0.005,0.4,0.3,1.15,8.2,32.0,100000.0,24.0,44.0,0.001,70.0,0.02,-1.4818385066831904e-16,3.9685905405427235e-10,1.0,3.1338548537373254e-10,3.1485178329297006e-10,1.2207979721822369e-09,1.226097685927013e-09,1.8213623274473951e-13,1.3876917799822064e-13,1.772619327072536e-11,7.736474706203836e-10,1.377145299357059e-11,4.93454263939073e-15,1.7567645364017227e-16,1.0381690012878235e-09,9.68128818764965e-10,7.45684698801751e-14,7.006663013726209e-14,1.219529224228828e-10,1.2761210923816224e-10,4.543165280110057e-12,1.993597056230989e-13,0.0
1.69,8.841112724071602e-08,1.0494912753901363e-09,2.8843847425992607e-09,5.393529344845385e-10,1.6686390129986612e-07,1.0661189035235544e-09,2.0159300901430847e-09,1.1185117956438537e-14,1.7361202821578513e-14,1.9284885586334146e-08,6.610821136196824e-10,6.86706293325433e-10,1.3265160353788971e-11,1.3553993483768786e-14,1.3996285275148338e-06,3.096042681798794e-11,2.3071873228163606e-11,3.4049850435415053e-10,20000000.0,20000000.0,10000000.0,20000000.0,10000000.0,100000000.0,10000000.0,400000000.0,0.005,0.4,0.3,1.15,8.2,32.0,100000.0,24.0,44.0,0.001,70.0,0.02,-1.5266407802383537e-16,4.0861175921846443e-10,1.0,3.1338003954904654e-10,3.1484738261704086e-10,1.2207373449558887e-09,1.2260367390520874e-09,1.8662188066823045e-13,1.423618631369438e-13,1.782306517080284e-11,7.775396227691534e-10,1.3843518798053637e-11,5.227744271447992e-15,1.8615225249991871e-16,1.0619753180751986e-09,9.90733658175614e-10,7.855938326838275e-14,7.149010604245821e-14,1.2404078319886532e-10,1.3132949397575384e-10,4.67644931615785e-12,2.0398103196568422e-13,0.0
1.7,8.840781269082619e-08,1.0494765960508221e-09,2.8844524163056446e-09,5.426814415846634e-10,1.668516923424692e-07,1.0660659091564875e-09,2.02694064419738e-09,1.1460111887397653e-14,1.7808337907090002e-14,1.9275758503528998e-08,6.689582458500599e-10,6.865200529205361e-10,1.3450678629669247e-11,1.4360992916122597e-14,1.3996177870084144e-06,3.16789101128532e-11,2.3604340508070972e-11,3.505197204791607e-10,20000000.0,20000000.0,10000000.0,20000000.0,10000000.0,100000000.0,10000000.0,400000000.0,0.005,0.4,0.3,1.15,8.2,32.0,100000.0,24.0,44.0,0.001,70.0,0.02,-1.5725503850330756e-16,4.2063802556790896e-10,1.0,3.1337458841531023e-10,3.1484297881524664e-10,1.2206767113066815e-09,1.2259757955299605e-09,1.9119609794672765e-13,1.4602837083813802e-13,1.7919738880762453e-11,7.814163671707238e-10,1.3915353983211709e-11,5.5363806264413965e-15,1.9718219233535857e-16,1.0861817746702128e-09,1.0137251236113024e-09,8.273786836983968e-14,7.293703613097234e-14,1.2615212957521859e-10,1.3513066965361578e-10,4.812776341060898e-12,2.0868081143280195e-13,0.0
