Time,E,E_P_1,P,M,M1,E_M1,E_M,T,E_P_2,P2,P21,E_P21,E_P2,E_P1,k1,k2,k9,k3,k3a,k4,k4a,k5,k6,k10,k7,k7a,k8,k8a,kC1,kC2,j1,j3,j3a,j5,j7,j7a,compartment,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16
0.12,7.944165039284094e-05,6.293844861490473e-05,0.9993021591731028,0.0006009509757900785,1.0868871287924333e-12,5.60032839575302e-17,3.301553575775966e-08,4.122681732988809e-07,7.561789706226838e-06,2.5944019802749214e-05,1.0183002107152846e-15,2.0075186781062725e-28,1.7798679417316017e-10,0.0,91.8,82.4,3.12e-08,38.1,151.5,38.1,209.9,5.16,32.3,7.23e-10,6.76e-08,4.7,0.00599,42.6,2.39e-06,0.031,33.4,1.58e-06,0.185,21.8,4.46e-09,2.66e-05,1.0,0.00518551014816636,0.00518612816586815,1.8749670444650447e-11,3.2897103997212847e-15,7.226583530160547e-06,2.1337251187819007e-15,6.929960955553753e-06,0.00024478584227599306,0.00024424580751112684,1.8757526317387682e-14,5.468532374123601e-27,9.686863295039519e-09,1.2025036881856572e-30,7.582237431776624e-09,1.5042289218962231e-10,2.3441548089303196e-07
0.13,7.943979557010949e-05,6.293276885414849e-05,0.9992478585748938,0.0006527344568625056,1.2824265378599767e-12,6.819832013222868e-17,3.598146958981461e-08,4.871070061177604e-07,7.563991188163246e-06,2.838678913063717e-05,1.2147054504685431e-15,2.6061735007236875e-28,1.9909946673449472e-10,0.0,91.8,82.4,3.12e-08,38.1,151.5,38.1,209.9,5.16,32.3,7.23e-10,6.76e-08,4.7,0.00599,42.6,2.39e-06,0.031,33.4,1.58e-06,0.185,21.8,4.46e-09,2.66e-05,1.0,0.005185133707183079,0.005185660153581836,2.0365315054110175e-11,3.881464138495416e-15,7.849086838056555e-06,2.5983559970379127e-15,7.5525104669020864e-06,0.00024470602744078697,0.0002443169153776728,2.0523648541450674e-14,6.52312639886448e-27,1.0598686113473413e-08,1.5610979269334888e-30,8.481637282889476e-09,1.504093175614149e-10,2.3448372683306062e-07
0.14,7.943838428485863e-05,6.292779084552432e-05,0.9991935622770983,0.0007045073546672415,1.4941145599115095e-12,8.166652813227262e-17,3.8946903041931476e-08,5.681802962623393e-07,7.56504729754755e-06,3.083005086773456e-05,1.4287740081371241e-15,3.314990294542694e-28,2.2031423769682814e-10,0.0,91.8,82.4,3.12e-08,38.1,151.5,38.1,209.9,5.16,32.3,7.23e-10,6.76e-08,4.7,0.00599,42.6,2.39e-06,0.031,33.4,1.58e-06,0.185,21.8,4.46e-09,2.66e-05,1.0,0.00518477456143596,0.005185249965671205,2.1980629465617934e-11,4.5220906455068825e-15,8.47148110762942e-06,3.111494721839587e-15,8.174954948501417e-06,0.0002446534713371083,0.00024435102771078583,2.2290126777372085e-14,7.672566111629461e-27,1.1510714452899614e-08,1.9856791864310737e-30,9.385386525884879e-09,1.5039742012080314e-10,2.3451646622397407e-07
0.15,7.943723633070821e-05,6.29232017363947e-05,0.9991392699388498,0.0007562701147918767,1.7219474784436344e-12,9.641092183361881e-17,4.19118404386439e-08,6.554867680234851e-07,7.565451395833888e-06,3.3273521084590094e-05,1.660508336311985e-15,4.143448021835173e-28,2.415968351837092e-10,0.0,91.8,82.4,3.12e-08,38.1,151.5,38.1,209.9,5.16,32.3,7.23e-10,6.76e-08,4.7,0.00599,42.6,2.39e-06,0.031,33.4,1.58e-06,0.185,21.8,4.46e-09,2.66e-05,1.0,0.005184426622376711,0.005184871823078923,2.3595627581506556e-11,5.211574976729538e-15,9.09376149706283e-06,3.673256121860877e-15,8.797295308071354e-06,0.00024461648910808744,0.00024436408008543455,2.405675574415864e-14,8.916858654465116e-27,1.2422829395895699e-08,2.4819253650792684e-30,1.0292025178826013e-08,1.5038645214998333e-10,2.345289932708505e-07
0.16,7.943624646846089e-05,6.291884397403909e-05,0.9990849813726977,0.000808022971734691,1.9659216924585264e-12,1.1243337637075184e-16,4.4876225309794095e-08,7.490252083956274e-07,7.565466499510428e-06,3.571704855362815e-05,1.909909178594237e-15,5.101024827248691e-28,2.6292429504865255e-10,0.0,91.8,82.4,3.12e-08,38.1,151.5,38.1,209.9,5.16,32.3,7.23e-10,6.76e-08,4.7,0.00599,42.6,2.39e-06,0.031,33.4,1.58e-06,0.185,21.8,4.46e-09,2.66e-05,1.0,0.005184085494842297,0.005184512743460821,2.5210316718122362e-11,5.949903090158761e-15,9.715924156454299e-06,4.283711639725645e-15,9.419519692525781e-06,0.0002445888041586905,0.00024436456793418683,2.582342610427315e-14,1.0256002695764417e-26,1.3334965884764106e-08,3.0555138715219655e-30,1.12005749690726e-08,1.5037603709795342e-10,2.345294614848233e-07
0.17,7.943535946046289e-05,6.291463055660234e-05,0.9990306964780822,0.0008597660538003857,2.2260336609369256e-12,1.2973504916031628e-16,4.784005767404191e-08,8.487944044278014e-07,7.565234941709203e-06,3.816055142028315e-05,2.176976385750269e-15,6.197198306758625e-28,2.842815338218015e-10,0.0,91.8,82.4,3.12e-08,38.1,151.5,38.1,209.9,5.16,32.3,7.23e-10,6.76e-08,4.7,0.00599,42.6,2.39e-06,0.031,33.4,1.58e-06,0.185,21.8,4.46e-09,2.66e-05,1.0,0.005183749015695249,0.005184165557864033,2.6824700878572035e-11,6.7370621664707486e-15,1.0337967157964204e-05,4.94290537300805e-15,1.0041628105781397e-05,0.0002445670287024883,0.0002443570886172073,2.7590078676864714e-14,1.1689993754793257e-26,1.4247088898725646e-08,3.7121217857484165e-30,1.2110393340808744e-08,1.503659670302796e-10,2.345222831929853e-07
0.18,7.943449796021948e-05,6.291049437630226e-05,0.9989764151399416,0.0009114994828535191,2.5022798440153443e-12,1.4831663728240608e-16,5.080324395762651e-08,9.547930182368309e-07,7.564901361158406e-06,4.0603946807503056e-05,2.4617098208251713e-15,7.441442255801126e-28,3.056572087969817e-10,0.0,91.8,82.4,3.12e-08,38.1,151.5,38.1,209.9,5.16,32.3,7.23e-10,6.76e-08,4.7,0.00599,42.6,2.39e-06,0.031,33.4,1.58e-06,0.185,21.8,4.46e-09,2.66e-05,1.0,0.005183412330817534,0.0051838247366073065,2.8438783865029796e-11,7.573035540258984e-15,1.095988372730539e-05,5.650863880459672e-15,1.0663600906705804e-05,0.0002445476107821707,0.0002443463139654165,2.935665354182471e-14,1.3218820617571996e-26,1.5159156279848317e-08,4.457423911224874e-30,1.302099709475142e-08,1.503560815593624e-10,2.3451194219591057e-07
0.19,7.943364778021995e-05,6.290638695791593e-05,0.9989221373198304,0.0009632233206580958,2.794656740663833e-12,1.681785086531867e-16,5.376580330521737e-08,1.0670196937627389e-06,7.564528443464447e-06,4.304719853490256e-05,2.7641087473524196e-15,8.843230074300993e-28,3.2704402455689675e-10,0.0,91.8,82.4,3.12e-08,38.1,151.5,38.1,209.9,5.16,32.3,7.23e-10,6.76e-08,4.7,0.00599,42.6,2.39e-06,0.031,33.4,1.58e-06,0.185,21.8,4.46e-09,2.66e-05,1.0,0.005183075757609431,0.005183486285332273,3.005256760453259e-11,8.457810321969727e-15,1.1581673137396165e-05,6.4076011796864136e-15,1.1285442113765126e-05,0.0002445291106856311,0.0002443342687239016,3.112312454073455e-14,1.484247506490291e-26,1.6071152530458202e-08,5.297094814506295e-30,1.3932075446123802e-08,1.5034626482941906e-10,2.3450038174739786e-07
0.2,7.943281990110339e-05,6.290229239047753e-05,0.9988678630216863,0.0010149375785102705,3.1031608788306972e-12,1.893208080141143e-16,5.672779065785367e-08,1.1854731433595204e-06,7.564121071163132e-06,4.549030363056754e-05,3.084172001611908e-15,1.0412034904640932e-27,3.484376848856209e-10,0.0,91.8,82.4,3.12e-08,38.1,151.5,38.1,209.9,5.16,32.3,7.23e-10,6.76e-08,4.7,0.00599,42.6,2.39e-06,0.031,33.4,1.58e-06,0.185,21.8,4.46e-09,2.66e-05,1.0,0.005182740834237319,0.0051831488929753484,3.166605244952044e-11,9.391376112862077e-15,1.2203337472255544e-05,7.213122785337756e-15,1.1907163259083484e-05,0.00024451147856159605,0.00024432111059856913,3.288948952490033e-14,1.6560950785765374e-26,1.6983079280564473e-08,6.236808907879918e-30,1.484344537612745e-08,1.503364788132413e-10,2.3448775320605708e-07
0.21,7.943201339341383e-05,6.289821665544931e-05,0.9988135922470269,0.001066642252131299,3.4277887930720356e-12,2.117435934737782e-16,5.968925263616812e-08,1.310152206308238e-06,7.56367414524469e-06,4.793326508406837e-05,3.4218983424926038e-15,1.2157330080693927e-27,3.6983570423750567e-10,0.0,91.8,82.4,3.12e-08,38.1,151.5,38.1,209.9,5.16,32.3,7.23e-10,6.76e-08,4.7,0.00599,42.6,2.39e-06,0.031,33.4,1.58e-06,0.185,21.8,4.46e-09,2.66e-05,1.0,0.005182407275374459,0.005182813052409024,3.3279238266496526e-11,1.0373721564178717e-14,1.2824877049339383e-05,8.067430911350949e-15,1.2528774128331688e-05,0.0002444948207600162,0.00024430667489140347,3.465575065578143e-14,1.837423938266969e-26,1.7894938206864804e-08,7.282240718335662e-30,1.575500100051774e-08,1.5032673780652385e-10,2.3447389850258537e-07
0.22,7.943121462329618e-05,6.289416063183579e-05,0.9987593249810911,0.0011183373511263592,3.768537010249475e-12,2.354466727601928e-16,6.265005493258634e-08,1.4410556727198723e-06,7.563200563922481e-06,5.037607561906274e-05,3.777286660899313e-15,1.4088584187983993e-27,3.9123601217674113e-10,0.0,91.8,82.4,3.12e-08,38.1,151.5,38.1,209.9,5.16,32.3,7.23e-10,6.76e-08,4.7,0.00599,42.6,2.39e-06,0.031,33.4,1.58e-06,0.185,21.8,4.46e-09,2.66e-05,1.0,0.0051820738011991805,0.00518247883606327,3.489212535514241e-11,1.140483351412647e-14,1.3446290204860276e-05,8.970518232163347e-15,1.3150246530349872e-05,0.00024447878581238187,0.0002442913782146961,3.642190267258236e-14,2.0282329993715533e-26,1.8806724102694776e-08,8.439061928602412e-30,1.6666654118729173e-08,1.5031704391008754e-10,2.344592174815969e-07
0.23,7.943041524103396e-05,6.289011265018938e-05,0.9987050612089974,0.0011700228948610157,4.125402053734218e-12,2.604298359960587e-16,6.561019869933211e-08,1.5781821928587304e-06,7.5627203578363574e-06,5.281872374233294e-05,4.150335902561604e-15,1.6215264368794163e-27,4.126370123220777e-10,0.0,91.8,82.4,3.12e-08,38.1,151.5,38.1,209.9,5.16,32.3,7.23e-10,6.76e-08,4.7,0.00599,42.6,2.39e-06,0.031,33.4,1.58e-06,0.185,21.8,4.46e-09,2.66e-05,1.0,0.005181740035734711,0.005182145282375605,3.650471431966369e-11,1.2484698958581573e-14,1.406757587686018e-05,9.922376751449836e-15,1.3771580706989811e-05,0.0002444628940093563,0.00024427586755811434,3.8187937265706716e-14,2.2285212311972196e-26,1.9718430872823806e-08,9.712943356907703e-30,1.757833672492051e-08,1.503073692339526e-10,2.3444433109292707e-07
0.24,7.94296160894608e-05,6.288606247025443e-05,0.9986508009265284,0.001221698895122987,4.498380452384972e-12,2.866929362475827e-16,6.856978346436328e-08,1.721530432577822e-06,7.562242831005976e-06,5.526120405700562e-05,4.541044935111961e-15,1.8546838144828347e-27,4.340377585228917e-10,0.0,91.8,82.4,3.12e-08,38.1,151.5,38.1,209.9,5.16,32.3,7.23e-10,6.76e-08,4.7,0.00599,42.6,2.39e-06,0.031,33.4,1.58e-06,0.185,21.8,4.46e-09,2.66e-05,1.0,0.005181406398250952,0.005181811547548965,3.81170055278372e-11,1.3613306039837275e-14,1.4688734333864492e-05,1.09230008710329e-14,1.4392797549169853e-05,0.0002444469468652074,0.000244260443441493,3.995385053321506e-14,2.438287760657521e-26,2.063005670217538e-08,1.1109556048752179e-29,1.8490008513075188e-08,1.5029768930390809e-10,2.3442952776118525e-07
0.25,7.942881958503287e-05,6.28820106119504e-05,0.9985965441361484,0.001273365351384355,4.887468741973274e-12,3.142357837262489e-16,7.152881702999209e-08,1.871099179710537e-06,7.56176503811187e-06,5.77035182569953e-05,4.94941253487273e-15,2.1092771951661656e-27,4.5543776640742636e-10,0.0,91.8,82.4,3.12e-08,38.1,151.5,38.1,209.9,5.16,32.3,7.23e-10,6.76e-08,4.7,0.00599,42.6,2.39e-06,0.031,33.4,1.58e-06,0.185,21.8,4.46e-09,2.66e-05,1.0,0.0051810730929156956,0.005181477674424713,3.9728998963191877e-11,1.4790643262280774e-14,1.530976604313185e-05,1.1972383359970083e-14,1.501389869459534e-05,0.0002444310210400868,0.0002442450107310134,4.17196436998076e-14,2.657531727181173e-26,2.1541602888321106e-08,1.263457039904533e-29,1.9401648848956365e-08,1.5028800536256147e-10,2.3441471618146797e-07
0.26,7.942802528263364e-05,6.287796233390708e-05,0.9985422908393821,0.0013250222600938329,5.292663460108686e-12,3.4305807644163724e-16,7.448722446356761e-08,2.0268872389058396e-06,7.5612822382385415e-06,6.014566912107154e-05,5.375437464158049e-15,2.386252950171685e-27,4.768367049208364e-10,0.0,91.8,82.4,3.12e-08,38.1,151.5,38.1,209.9,5.16,32.3,7.23e-10,6.76e-08,4.7,0.00599,42.6,2.39e-06,0.031,33.4,1.58e-06,0.185,21.8,4.46e-09,2.66e-05,1.0,0.00518073990325937,0.005181144096313943,4.1340694514927585e-11,1.6016698709315824e-14,1.5930670952054215e-05,1.3070512712426379e-14,1.563486841490284e-05,0.00024441521759085766,0.0002442294162951049,4.348531877453472e-14,2.886252186720255e-26,2.245307043581377e-08,1.4293655171528392e-29,2.0313243629627634e-08,1.5027832997803792e-10,2.3439974938539477e-07
0.27,7.942723162777125e-05,6.287391887002611e-05,0.9984880410346963,0.001376669622674964,5.7139611424828745e-12,3.73159472112004e-16,7.744497973884231e-08,2.1888933238427753e-06,7.560794778444065e-06,6.258765648968419e-05,5.8191185232920886e-15,2.6865572308892876e-27,4.982342870031109e-10,0.0,91.8,82.4,3.12e-08,38.1,151.5,38.1,209.9,5.16,32.3,7.23e-10,6.76e-08,4.7,0.00599,42.6,2.39e-06,0.031,33.4,1.58e-06,0.185,21.8,4.46e-09,2.66e-05,1.0,0.005180406645538224,0.005180810914890152,4.295209222745888e-11,1.729146019861637e-14,1.6551448813509115e-05,1.4217375887467355e-14,1.6255701247183e-05,0.000244399520940083,0.00024421367134374325,4.525087564204167e-14,3.1244481685780657e-26,2.3364458905481943e-08,1.609247781302683e-29,2.1224780626332527e-08,1.502686660993624e-10,2.34384638131766e-07
0.28,7.942643902470256e-05,6.286988037254347e-05,0.9984337947222119,0.001428307440339232,6.151358325711716e-12,4.045396856723177e-16,8.040210032074049e-08,2.3571161602640397e-06,7.560302084555907e-06,6.502948070922701e-05,6.280454506303023e-15,3.0111361442249027e-27,5.196303956199796e-10,0.0,91.8,82.4,3.12e-08,38.1,151.5,38.1,209.9,5.16,32.3,7.23e-10,6.76e-08,4.7,0.00599,42.6,2.39e-06,0.031,33.4,1.58e-06,0.185,21.8,4.46e-09,2.66e-05,1.0,0.005180073351710673,0.0051804781426975826,4.4563192138584043e-11,1.861491591462197e-14,1.7172099744963565e-05,1.5412962024115305e-14,1.687640085732343e-05,0.000244383945686885,0.0002441977573311558,4.701631455277113e-14,3.37211876404895e-26,2.4275768574321085e-08,1.8036705503907167e-29,2.2136254853411134e-08,1.502590140903789e-10,2.343693646212331e-07
0.29,7.9425647061691e-05,6.286583966645087e-05,0.9983795518977755,0.0014799357225259756,6.604851542894374e-12,4.3719843727953894e-16,8.335867057292368e-08,2.5315543815400246e-06,7.559811663317224e-06,6.747113744523268e-05,6.759444267736056e-15,3.360935613092571e-27,5.410248293954184e-10,0.0,91.8,82.4,3.12e-08,38.1,151.5,38.1,209.9,5.16,32.3,7.23e-10,6.76e-08,4.7,0.00599,42.6,2.39e-06,0.031,33.4,1.58e-06,0.185,21.8,4.46e-09,2.66e-05,1.0,0.005179740223639071,0.005180145188515553,4.6173994542810444e-11,1.9987053856530715e-14,1.7792623780201535e-05,1.6657260460350434e-14,1.749698495325668e-05,0.00024436832606051687,0.0002441819167251463,4.8781632372903225e-14,3.629263065359473e-26,2.5186997731746246e-08,2.01320043224245e-29,2.3047657732244824e-08,1.502493568028176e-10,2.3435416156283392e-07
0.3,7.942485526769635e-05,6.286179763201989e-05,0.9983253125608522,0.001531554470289105,7.074437331904493e-12,4.711354237691824e-16,8.631464850448273e-08,2.7122067582837804e-06,7.559323147342504e-06,6.991262693701806e-05,7.25608660323553e-15,3.736901414781532e-27,5.624175045073148e-10,0.0,91.8,82.4,3.12e-08,38.1,151.5,38.1,209.9,5.16,32.3,7.23e-10,6.76e-08,4.7,0.00599,42.6,2.39e-06,0.031,33.4,1.58e-06,0.185,21.8,4.46e-09,2.66e-05,1.0,0.005179407188739045,0.005179812124878439,4.778449947302008e-11,2.1407861996827006e-14,1.8413020848828457e-05,1.795025964560585e-14,1.8117444721090926e-05,0.0002443526676426862,0.00024416613765916286,5.054682927546406e-14,3.8958801254510644e-26,2.6098146336222793e-08,2.2384039474541375e-29,2.3958985692011612e-08,1.5023969634052753e-10,2.343390175676176e-07
