Time,P,O,C,aP,n,bP,mP,zD,cPP,kP,aO,bO,zO,mO,cOC,cOP,cOO,kO,aC,bC,zC,mC,cCO,cCP,cCC,kC,default_compartment,a1,a2,a3,a4,a5,a6
2.03,12.030345371116782,0.1368643553538987,0.13936944918390504,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.203200957497008,1.2030345371116784,0.012292389283054605,0.013686435535389872,0.013656316686081403,0.013936944918390504
2.04,12.030347035140396,0.13685042182458765,0.1393666442822648,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.2032010878528594,1.2030347035140396,0.012292380807873917,0.013685042182458765,0.01365631197984011,0.013936664428226482
2.05,12.030348698803582,0.13683650213726942,0.13936384213711542,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.203201218180451,1.2030348698803583,0.012292372339033108,0.013683650213726943,0.013656307275384201,0.013936384213711543
2.06,12.030350362106422,0.13682259627816687,0.1393610427457185,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.2032013484797894,1.2030350362106423,0.01229236387652538,0.013682259627816688,0.0136563025727125,0.013936104274571851
2.07,12.03035202504899,0.13680870423351632,0.1393582461053384,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.2032014787508805,1.203035202504899,0.012292355420343983,0.013680870423351633,0.013656297871823847,0.01393582461053384
2.08,12.030353687631365,0.1367948259895676,0.1393554522132421,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.2032016089937303,1.2030353687631365,0.012292346970482142,0.01367948259895676,0.013656293172717063,0.013935545221324211
2.09,12.030355349853627,0.1367809615325839,0.1393526610666993,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.203201739208345,1.2030355349853628,0.012292338526933096,0.013678096153258391,0.013656288475390974,0.013935266106669932
2.1,12.03035701171585,0.13676711084884174,0.13934987266298232,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.2032018693947304,1.203035701171585,0.012292330089690112,0.013676711084884175,0.013656283779844427,0.013934987266298233
2.11,12.030358673218114,0.13675327392463119,0.1393470869993661,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.203201999552893,1.2030358673218116,0.012292321658746443,0.013675327392463119,0.01365627908607624,0.013934708699936611
2.12,12.030360334360497,0.1367394507462555,0.13934430407312834,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.203202129682839,1.2030360334360497,0.012292313234095359,0.013673945074625549,0.013656274394085254,0.013934430407312834
2.13,12.030361995143075,0.13672564130003148,0.13934152388154936,0.2,2.0,0.5,10.0,0.0,0.1,0.1,0.1,0.9,0.0,1.0,0.1,0.5,0.1,0.1,0.1,1.0,0.0,1.0,0.1,0.5,0.1,0.1,1.0,1.2032022597845742,1.2030361995143075,0.012292304815730142,0.013672564130003149,0.013656269703870304,0.013934152388154937
