Time,miR,miR_gene,miR_gene_TF1,Signal,TF1,TF1_mRNA,Sink,kbinTF1miRgene,kdegMiR,kdegTF1,kdegTF1mRNA,kdegTF1mRNAbyMiR,krelTF1miRgene,ksynMiR,ksynTF1,ksynTF1mRNA,cell,miR_gene_TF1_binding,miR_gene_TF1_release,miR_synthesis,miR_degradation,TF1_transcription,TF1_mRNA_degradation,TF1_mRNA_degradation_via_miR,TF1_translation,TF1_degradation
9272.0,307.02842548724584,1.5087545320691078,0.491245467930894,1.0,325.5966809073599,32.559669386101184,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.456227339728192,2.45622733965447,2.45622733965447,2.456227403897967,10.0,0.0032559669386101188,9.996744025999927,1.6279834693050592,1.6279834045367994
9760.0,307.02842150816053,1.5087545179073418,0.49124548209265995,1.0,325.59669334403293,32.55966984432324,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.456227410492505,2.4562274104633,2.4562274104633,2.4562273720652845,10.0,0.003255966984432324,9.996744037129417,1.627983492216162,1.6279834667201647
10248.0,307.02841793985846,1.5087545078511893,0.4912454921488125,1.0,325.5967021758034,32.55967025047867,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.4562274607461223,2.4562274607440626,2.4562274607440626,2.4562273435188677,10.0,0.003255967025047867,9.996744045647942,1.6279835125239335,1.627983510879017
10736.0,307.02842407965693,1.5087545090003276,0.4912454909996742,1.0,325.5967011618588,32.55966958054341,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.4562274549679333,2.4562274549983707,2.4562274549983707,2.4562273926372553,10.0,0.0032559669580543406,9.996744039868586,1.6279834790271703,1.627983505809294
11224.0,307.0284228527721,1.508754507211284,0.49124549278871765,1.0,325.59670273355727,32.55966971717911,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.4562274639119357,2.456227463943588,2.456227463943588,2.456227382822177,10.0,0.0032559669717179113,9.996744041872669,1.6279834858589557,1.6279835136677863
11712.0,307.0284251449276,1.508754511545548,0.4912454884544536,1.0,325.59669892637805,32.55966946004844,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.456227442247552,2.456227442272268,2.456227442272268,2.456227401159421,10.0,0.0032559669460048442,9.996744037558068,1.627983473002422,1.6279834946318903
12200.0,307.02842698814794,1.5087545155066908,0.4912454844933111,1.0,325.5966954471561,32.55966925242644,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.4562274224497678,2.4562274224665557,2.4562274224665557,2.456227415905184,10.0,0.003255966925242644,9.996744033826857,1.627983462621322,1.6279834772357804
12688.0,307.02842689593604,1.5087545166609964,0.49124548333900536,1.0,325.5966944338058,32.559669260374385,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.456227416684474,2.4562274166950266,2.4562274166950266,2.4562274151674885,10.0,0.0032559669260374385,9.996744033264713,1.6279834630187193,1.627983472169029
13176.0,307.02842653476824,1.5087545177368453,0.4912454822631565,1.0,325.5966934895623,32.55966929772495,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.4562274113127804,2.4562274113157825,2.4562274113157825,2.456227412278146,10.0,0.0032559669297724954,9.996744032972895,1.6279834648862477,1.6279834674478115
13664.0,307.028426548544,1.5087545183405378,0.4912454816594639,1.0,325.59669295953677,32.55966929513615,0.0,0.005,0.008,0.005,0.0001,0.001,5.0,5.0,0.05,10.0,1.0,2.4562274082971896,2.4562274082973197,2.4562274082973197,2.456227412388352,10.0,0.0032559669295136153,9.996744032626594,1.6279834647568077,1.6279834647976839
