Time,mwd805cc43_4a96_472f_a894_c119a6aa895f,mw447078ee_8bc8_4358_abcd_ade10dba93b0,mw40a96ef6_32da_46d1_9712_4f53f60bad43,mwe1a0a651_d2d5_4f75_8d45_9336c60eb9a6,mw168e0d8a_b9f7_4d4c_b437_a81206c5d381,parameter_1,parameter_2,parameter_3,parameter_4,parameter_5,parameter_6,parameter_7,parameter_8,parameter_9,parameter_10,parameter_11,parameter_14,parameter_15,parameter_22,parameter_23,parameter_24,parameter_25,parameter_26,mw0dac359a_a4cd_40bf_97a0_45006cef2a7c,mw44539b83_caa2_4da5_bae0_a8dcf7439431,mw97ca2b6b_8c30_48ef_80cb_5ce4ebaa420f,mw18c30692_65ff_4c7a_b820_079f8ddd9b33,mwf3ceaa7c_ebe4_4e1b_842a_b4446b0aa527
0.1,0.03173075711351405,0.00015142807253488294,7.5006183668286555e-06,7.500618366828655e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010346043167608612,1.5000000000000094e-05,0.00015,0.03189725711351405,0.052,1.0,6.618674136451725e-07,6.681662744746462e-07,2.1642839002952653e-10
0.11,0.03173075590225958,0.00015142807253212473,7.500679029390784e-06,7.500679029390784e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010346192225569666,1.5000000000000094e-05,0.00015,0.03189725590225958,0.052,1.0,6.618774897544016e-07,6.681758982184871e-07,2.3766028677464043e-10
0.12,0.03173075469108844,0.00015142807252936652,7.500739484206916e-06,7.500739484206917e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010346340773979203,1.5000000000000094e-05,0.00015,0.03189725469108844,0.052,1.0,6.618875314188175e-07,6.681854890636589e-07,2.588194724209476e-10
0.13,0.031730753480000665,0.0001514280725266083,7.500799731277054e-06,7.500799731277054e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.01034648881282781,1.5000000000000094e-05,0.00015,0.031897253480000665,0.052,1.0,6.618975386377819e-07,6.681950470095548e-07,2.799059469689113e-10
0.14,0.031730752268996215,0.00015142807252385357,7.500859770601196e-06,7.500859770601195e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010346636342106105,1.5000000000000094e-05,0.00015,0.031897252268996215,0.052,1.0,6.619075114106588e-07,6.682045720555845e-07,3.0091971041853145e-10
0.15,0.03173075105807512,0.00015142807252109536,7.5009196021793425e-06,7.500919602179342e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010346783361804734,1.5000000000000094e-05,0.00015,0.03189725105807512,0.052,1.0,6.619174497368143e-07,6.682140642011146e-07,3.218607627698081e-10
0.16,0.03173074984723737,0.00015142807251834062,7.500979226011494e-06,7.500979226011495e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010346929871914377,1.5000000000000094e-05,0.00015,0.03189724984723737,0.052,1.0,6.619273536156162e-07,6.682235234455742e-07,3.427291040232045e-10
0.17,0.03173074863648297,0.00015142807251558588,7.50103864209765e-06,7.50103864209765e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010347075872425747,1.5000000000000094e-05,0.00015,0.03189724863648297,0.052,1.0,6.619372230464352e-07,6.682329497883491e-07,3.6352473417779416e-10
0.18,0.031730747425811896,0.00015142807251282767,7.501097850437811e-06,7.501097850437811e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010347221363329587,1.5000000000000094e-05,0.00015,0.031897247425811896,0.052,1.0,6.619470580286435e-07,6.682423432288271e-07,3.842476532340403e-10
0.19,0.03173074621522418,0.00015142807251007293,7.501156851031976e-06,7.501156851031977e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010347366344616677,1.5000000000000094e-05,0.00015,0.03189724621522418,0.052,1.0,6.619568585616164e-07,6.68251703766444e-07,4.0489786119194296e-10
0.2,0.03173074500471981,0.00015142807250731471,7.501215643880146e-06,7.501215643880147e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010347510816277826,1.5000000000000094e-05,0.00015,0.03189724500471981,0.052,1.0,6.619666246447305e-07,6.682610314005762e-07,4.254753580515021e-10
0.21,0.0317307437942862,0.00015142807250455997,7.501274260494633e-06,7.501274260494633e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010347654855739765,1.5000000000000094e-05,0.00015,0.0318972437942862,0.052,1.0,6.619763615119237e-07,6.682703311302229e-07,4.459911731215667e-10
0.22,0.03173074258393201,0.00015142807250180523,7.501332679155374e-06,7.501332679155373e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010347798409621257,1.5000000000000094e-05,0.00015,0.03189724258393201,0.052,1.0,6.619860655546964e-07,6.682795995088712e-07,4.664377043808292e-10
0.23,0.03173074137365974,0.0001514280724990505,7.501390893659022e-06,7.501390893659021e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010347941462669822,1.5000000000000094e-05,0.00015,0.03189724137365974,0.052,1.0,6.619957357420015e-07,6.682888355517627e-07,4.868127806575952e-10
0.24,0.031730740163469384,0.00015142807249629575,7.501448904005579e-06,7.501448904005579e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010348084014876557,1.5000000000000094e-05,0.00015,0.031897240163469384,0.052,1.0,6.620053720732346e-07,6.682980392583235e-07,5.071164019527913e-10
0.25,0.03173073895336093,0.00015142807249353754,7.501506710195044e-06,7.501506710195044e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010348226066232579,1.5000000000000094e-05,0.00015,0.03189723895336093,0.052,1.0,6.620149745477938e-07,6.68307210627965e-07,5.273485682654911e-10
0.26,0.031730737743334396,0.00015142807249078627,7.501564312227418e-06,7.501564312227417e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010348367616729038,1.5000000000000094e-05,0.00015,0.031897237743334396,0.052,1.0,6.620245431650793e-07,6.683163496601626e-07,5.475092795961576e-10
0.27,0.031730736533389765,0.00015142807248803153,7.501621710102699e-06,7.501621710102699e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.01034850866635712,1.5000000000000094e-05,0.00015,0.031897236533389765,0.052,1.0,6.620340779244934e-07,6.683254563543018e-07,5.67598535944791e-10
0.28,0.031730735323527055,0.0001514280724852768,7.501678903820889e-06,7.50167890382089e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010348649215108037,1.5000000000000094e-05,0.00015,0.031897235323527055,0.052,1.0,6.620435788254408e-07,6.68334530709831e-07,5.876163373113912e-10
0.29,0.031730734113746245,0.00015142807248252205,7.5017358933819875e-06,7.501735893381988e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010348789262973038,1.5000000000000094e-05,0.00015,0.031897234113746245,0.052,1.0,6.620530458673275e-07,6.683435727261859e-07,6.075626836959582e-10
0.3,0.031730732904047355,0.0001514280724797673,7.501792678785994e-06,7.501792678785994e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.01034892880994339,1.5000000000000094e-05,0.00015,0.031897232904047355,0.052,1.0,6.620624790495625e-07,6.683525824028033e-07,6.274375750980289e-10
0.31,0.03173073169443037,0.00015142807247701257,7.501849260032909e-06,7.50184926003291e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010349067856010415,1.5000000000000094e-05,0.00015,0.03189723169443037,0.052,1.0,6.620718783715569e-07,6.683615597391234e-07,6.472410115185296e-10
0.32,0.0317307304848953,0.0001514280724742613,7.501905637122733e-06,7.501905637122733e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.01034920640116544,1.5000000000000094e-05,0.00015,0.0318972304848953,0.052,1.0,6.620812438327228e-07,6.683705047346021e-07,6.669729929565339e-10
0.33,0.03173072927544215,0.00015142807247150655,7.501961810055464e-06,7.501961810055464e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010349344445399844,1.5000000000000094e-05,0.00015,0.03189722927544215,0.052,1.0,6.62090575432476e-07,6.683794173886527e-07,6.86633519412505e-10
0.34,0.0317307280660709,0.0001514280724687518,7.502017778831104e-06,7.502017778831104e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010349481988705023,1.5000000000000094e-05,0.00015,0.0318972280660709,0.052,1.0,6.620998731702332e-07,6.683882977007357e-07,7.06222590886443e-10
0.35000000000000003,0.031730726856781556,0.00015142807246600054,7.502073543449652e-06,7.502073543449652e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010349619031072415,1.5000000000000094e-05,0.00015,0.031897226856781556,0.052,1.0,6.621091370454141e-07,6.683971456703141e-07,7.257402073783477e-10
0.36,0.031730725647574134,0.00015142807246324927,7.502129103911108e-06,7.502129103911109e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.01034975557249348,1.5000000000000094e-05,0.00015,0.031897225647574134,0.052,1.0,6.621183670574401e-07,6.684059612968217e-07,7.451863688882194e-10
0.37,0.03173072443844862,0.00015142807246049453,7.502184460215473e-06,7.502184460215473e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010349891612959716,1.5000000000000094e-05,0.00015,0.03189722443844862,0.052,1.0,6.621275632057342e-07,6.684147445796951e-07,7.645610754155946e-10
0.38,0.03173072322940501,0.00015142807245774326,7.502239612362746e-06,7.502239612362747e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010350027152462651,1.5000000000000094e-05,0.00015,0.03189722322940501,0.052,1.0,6.621367254897228e-07,6.684234955184183e-07,7.838643269613999e-10
0.39,0.031730722020443324,0.00015142807245498852,7.502294560352928e-06,7.502294560352927e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010350162190993842,1.5000000000000094e-05,0.00015,0.031897222020443323,0.052,1.0,6.62145853908833e-07,6.684322141124161e-07,8.030961235247088e-10
0.4,0.031730720811563536,0.00015142807245223724,7.502349304186018e-06,7.502349304186018e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010350296728544879,1.5000000000000094e-05,0.00015,0.031897220811563536,0.052,1.0,6.621549484624953e-07,6.684409003611766e-07,8.222564651064477e-10
0.41000000000000003,0.03173071960271574,0.00015142807244948597,7.502403968527572e-06,7.502403968527572e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.01035043107148597,1.5000000000000094e-05,0.00015,0.03189721960271574,0.052,1.0,6.621640298609135e-07,6.684495740451224e-07,8.413889846503293e-10
0.42,0.031730718393889065,0.0001514280724467347,7.502458580497845e-06,7.502458580497845e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010350565286465082,1.5000000000000094e-05,0.00015,0.031897218393889065,0.052,1.0,6.621731026093981e-07,6.684582394673017e-07,8.605031742459209e-10
0.43,0.03173071718513869,0.00015142807244398343,7.502513002329836e-06,7.502513002329835e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010350699034899546,1.5000000000000094e-05,0.00015,0.03189721718513869,0.052,1.0,6.621821438202246e-07,6.684668747675183e-07,8.795508154423513e-10
0.44,0.0317307159764646,0.00015142807244123216,7.502567234023543e-06,7.502567234023543e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010350832316781617,1.5000000000000094e-05,0.00015,0.0318972159764646,0.052,1.0,6.621911534928673e-07,6.684754799452725e-07,8.985319082400837e-10
0.45,0.03173071476786682,0.00015142807243847742,7.502621275578967e-06,7.502621275578967e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010350965132103552,1.5000000000000094e-05,0.00015,0.03189721476786682,0.052,1.0,6.622001316268019e-07,6.684840550000497e-07,9.174464526386549e-10
0.46,0.03173071355934533,0.00015142807243572615,7.502675126996107e-06,7.502675126996107e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.01035109748085765,1.5000000000000094e-05,0.00015,0.03189721355934533,0.052,1.0,6.622090782215061e-07,6.684925999313834e-07,9.362944486376017e-10
0.47000000000000003,0.031730712350900143,0.00015142807243297834,7.5027287882749655e-06,7.502728788274965e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.01035122936303624,1.5000000000000094e-05,0.00015,0.03189721235090014,0.052,1.0,6.622179932764597e-07,6.685011147387795e-07,9.550758962378505e-10
0.48,0.031730711142531245,0.0001514280724302236,7.502782259415541e-06,7.502782259415541e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010351360778631668,1.5000000000000094e-05,0.00015,0.031897211142531245,0.052,1.0,6.622268767911447e-07,6.68509599421698e-07,9.737907954394014e-10
0.49,0.03173070993423864,0.0001514280724274758,7.502835540417833e-06,7.502835540417833e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010351491727636313,1.5000000000000094e-05,0.00015,0.03189720993423864,0.052,1.0,6.622357287650439e-07,6.685180539797086e-07,9.92439146241791e-10
0.5,0.03173070872602234,0.00015142807242472453,7.502888631281842e-06,7.502888631281843e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.01035162221004258,1.5000000000000094e-05,0.00015,0.03189720872602234,0.052,1.0,6.622445491976426e-07,6.685264784122756e-07,1.0110209486450194e-09
0.51,0.03173070751788234,0.00015142807242197326,7.502941532007568e-06,7.502941532007568e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010351752225842899,1.5000000000000094e-05,0.00015,0.03189720751788234,0.052,1.0,6.622533380884278e-07,6.685348727189259e-07,1.0295362026490866e-09
0.52,0.03173070630981863,0.000151428072419222,7.502994242595012e-06,7.502994242595012e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010351881775029733,1.5000000000000094e-05,0.00015,0.03189720630981863,0.052,1.0,6.622620954368886e-07,6.685432368991737e-07,1.0479849082544559e-09
0.53,0.03173070510183122,0.00015142807241647072,7.503046763044171e-06,7.503046763044172e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.01035201085759556,1.5000000000000094e-05,0.00015,0.03189720510183122,0.052,1.0,6.622708212425155e-07,6.685515709525336e-07,1.0663670654602007e-09
0.54,0.031730703893920104,0.00015142807241372291,7.503099093355049e-06,7.503099093355049e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010352139473532904,1.5000000000000094e-05,0.00015,0.031897203893920104,0.052,1.0,6.622795155048012e-07,6.685598748785387e-07,1.0846826742672475e-09
0.55,0.031730702686085285,0.0001514280724109751,7.503151233527643e-06,7.503151233527643e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010352267622834298,1.5000000000000094e-05,0.00015,0.031897202686085285,0.052,1.0,6.6228817822324e-07,6.685681486766923e-07,1.102931734675133e-09
0.56,0.03173070147832677,0.00015142807240822384,7.5032031835619545e-06,7.503203183561955e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010352395305492316,1.5000000000000094e-05,0.00015,0.03189720147832677,0.052,1.0,6.622968093973283e-07,6.685763923465e-07,1.1211142466843207e-09
0.5700000000000001,0.03173070027064454,0.00015142807240547257,7.503254943457983e-06,7.503254943457982e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010352522521499544,1.5000000000000094e-05,0.00015,0.03189720027064454,0.052,1.0,6.62305409026564e-07,6.685846058874988e-07,1.139230210293884e-09
0.58,0.03173069906303861,0.00015142807240272477,7.503306513215728e-06,7.503306513215729e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010352649270848618,1.5000000000000094e-05,0.00015,0.03189719906303861,0.052,1.0,6.623139771104474e-07,6.685927892992291e-07,1.1572796255052124e-09
0.59,0.03173069785550898,0.00015142807239997697,7.503357892835191e-06,7.503357892835191e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.01035277555353217,1.5000000000000094e-05,0.00015,0.03189719785550898,0.052,1.0,6.623225136484798e-07,6.686009425812006e-07,1.1752624923169164e-09
0.6,0.03173069664805565,0.0001514280723972257,7.50340908231637e-06,7.50340908231637e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010352901369542884,1.5000000000000094e-05,0.00015,0.031897196648055647,0.052,1.0,6.623310186401648e-07,6.686090657329261e-07,1.1931788107294592e-09
0.61,0.03173069544067861,0.0001514280723944779,7.503460081659266e-06,7.503460081659266e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010353026718873467,1.5000000000000094e-05,0.00015,0.03189719544067861,0.052,1.0,6.623394920850083e-07,6.686171587539657e-07,1.211028580743304e-09
0.62,0.03173069423337787,0.0001514280723917301,7.503510890863879e-06,7.50351089086388e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010353151601516647,1.5000000000000094e-05,0.00015,0.03189719423337787,0.052,1.0,6.623479339825174e-07,6.686252216438349e-07,1.2288118023579877e-09
0.63,0.031730693026153424,0.0001514280723889823,7.5035615099302095e-06,7.50356150993021e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010353276017465177,1.5000000000000094e-05,0.00015,0.031897193026153424,0.052,1.0,6.62356344332201e-07,6.686332544020666e-07,1.2465284755735101e-09
0.64,0.03173069181900528,0.00015142807238623102,7.503611938858257e-06,7.503611938858258e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010353399966711849,1.5000000000000094e-05,0.00015,0.03189719181900528,0.052,1.0,6.623647231335706e-07,6.686412570281802e-07,1.2641786003903346e-09
0.65,0.031730690611933426,0.00015142807238348668,7.503662177648022e-06,7.503662177648023e-08,0.0,35.0,65.0,1.125e-05,7.5e-06,0.052,1.7,3e-07,2.0,100.0,1.8,4000.0,0.0001515,10.0,9.451288103365752e-07,0.010353523449249469,1.5000000000000094e-05,0.00015,0.031897190611933426,0.052,1.0,6.623730703861384e-07,6.686492295217582e-07,1.2817621768079978e-09
