Time,x,y0,y1,L,v,R0,a0,a1,k,u,lambda,d,beta,gamma,phi,eta,COMpartment
0.22,2.9258424068246924,0.039831177957661786,3.7316329403377574e-05,0.18850557844250918,0.8025211883654646,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.23,3.008658821728358,0.04234958620604508,4.134631408137733e-05,0.1999640629485903,0.794536360389001,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.24,3.091141994118284,0.04491851392703013,4.562237215188227e-05,0.21160827131432447,0.7866310240705544,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.25,3.173300182834735,0.04753676651118607,5.0148994516477974e-05,0.2234312313051579,0.7788043909901241,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.26,3.255141469787303,0.05020317247246077,5.4930553715796167e-05,0.23542612444858665,0.771055680491843,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.27,3.3366737370449617,0.052916586526968755,5.997129302262487e-05,0.24758630596488004,0.7633841197973449,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.28,3.417904678763764,0.055675888004977456,6.527533266071293e-05,0.25990529440097365,0.7557889438778439,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.29,3.498841817409934,0.05847997867133973,7.084667810441471e-05,0.27237675756554114,0.7482693953020959,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.3,3.579492490593637,0.06132778453412446,7.668921404362459e-05,0.2849945239069732,0.7408247242667303,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.31,3.6598638685946825,0.06421825347913111,8.280671328397527e-05,0.29775256734070915,0.7334541884431076,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.32,3.7399629548820625,0.06715035522183375,8.920283738683173e-05,0.31064500677786683,0.7261570529223992,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.33,3.8197965854457,0.07012308142218053,9.588113671836333e-05,0.3236661066766938,0.7189325901672321,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.34,3.899371441791884,0.07313544393291552,0.00010284505716916409,0.33681026579727724,0.7117800798865341,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.35000000000000003,3.978694045962239,0.07618647550138065,0.0001100979380660997,0.3500720214781401,0.7046988090156623,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.36,4.057770763803266,0.07927522934519378,0.00011764301412732752,0.3634460467890661,0.6976880716482448,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.37,4.136607824311894,0.0824007765408582,0.0001254834253801625,0.37692713379548803,0.6907471688608714,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.38,4.215211312576581,0.08556220700560145,0.00013362221401230364,0.3905101996331501,0.6838754087119083,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.39,4.293587177480796,0.08875862847028596,0.00014206232852844992,0.40419027982984007,0.6770721061429623,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.4,4.3717411830997674,0.09198917318490848,0.00015080659995753343,0.41796257008791293,0.6703365832578917,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.41000000000000003,4.44967901653988,0.09525298312898114,0.0001598577957277426,0.4318223334515494,0.6636681685518723,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.42,4.527406225231012,0.0985492186549667,0.0001692185888714584,0.4457649542257914,0.6570661972850694,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.43,4.604928232291799,0.10187705640454472,0.00017889156599041104,0.4597859247156386,0.6505300113323317,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.44,4.6822503105658955,0.10523569274632273,0.0001888792143462658,0.47388086787435535,0.6440589593193349,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.45,4.759377589568893,0.10862434286090232,0.00019918392567388682,0.488045531259616,0.6376523965280754,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.46,4.836315145702454,0.11204222878497606,0.00020980804224033273,0.5022757084581937,0.6313096842204308,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.47000000000000003,4.913067917378961,0.11548859067173647,0.00022075381407196646,0.516567313025608,0.6250301901853739,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.48,4.989640734691505,0.11896268286293588,0.00023202341429629487,0.5309163526489237,0.6188132884856606,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.49,5.066038243629905,0.12246378454062293,0.00024361890168687168,0.5453189937891012,0.6126583599565572,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.5,5.142265067253758,0.12599117718002215,0.0002555423013262543,0.5597714240255816,0.6065647910036731,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.51,5.218325702061285,0.12954415910279896,0.0002677955532696769,0.5742699404726632,0.6005319743015782,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.52,5.294224540585572,0.1331220423452388,0.0002803805241304066,0.5888109304315241,0.5945593085863494,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.53,5.369965859805302,0.13672415414430858,0.0002932990013559941,0.6033908816007308,0.5886461987168288,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.54,5.445553826937866,0.1403498361870723,0.0003065526964798791,0.6180063770148636,0.582792055584112,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.55,5.520992545784128,0.14399843857414993,0.000320143269205408,0.6326540545030034,0.5769962956762159,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.56,5.596286013683542,0.14766932543522104,0.00033407230556813317,0.6473306443575028,0.5712583414028485,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.5700000000000001,5.67143813762762,0.15136187283317065,0.0003483413264892433,0.662032955242957,0.5655776209171413,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.58,5.746452710787456,0.15507547164959873,0.0003629517752967144,0.676757895127366,0.5599535683336466,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.59,5.821333467284107,0.15880952080696703,0.0003779050475280447,0.6915024225956751,0.5543856231021939,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.6,5.896084048662293,0.1625634313958033,0.0003932024730184284,0.70626357672646,0.5488732303343548,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.61,5.970708013408105,0.16633662548576916,0.00040884532124943414,0.7210384686696469,0.5434158406655194,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.62,6.045208829491504,0.17012853715442208,0.0004248347975227664,0.7358242880334092,0.5380129102999585,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.63,6.119589879209496,0.1739386118479637,0.00044117204578327266,0.7506182986883421,0.5326639009233664,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.64,6.193854486293046,0.17776630273952146,0.0004578581634765894,0.765417815377022,0.5273682793755253,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.65,6.268005891556629,0.18161107402692148,0.00047489418859156604,0.7802202246873826,0.5221255178773916,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.66,6.3420472629520495,0.18547239959073475,0.0004922811052998773,0.7950229763645533,0.5169350938874958,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.67,6.415981665432485,0.18934976719533334,0.0005100198280651612,0.8098236089762839,0.5117964903787683,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.68,6.489812128199639,0.19324266918609165,0.0005281112378076308,0.8246196925116026,0.506709195104083,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.6900000000000001,6.563541601017163,0.19715060856947117,0.0005465561587698196,0.8394088656047798,0.5016727010137995,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.7000000000000001,6.637172965745577,0.2010730974356879,0.0005653553649006001,0.8541888256559343,0.4966865060998541,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.71,6.710709027702535,0.2050096581150695,0.0005845095753802637,0.8689573363062686,0.4917501134602414,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.72,6.784152520923086,0.2089598224897195,0.0006040194576725805,0.8837122228677192,0.486863031205042,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.73,6.857506134687737,0.21292312847592407,0.0006238856420856435,0.898451349337638,0.48202477212116496,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.74,6.930772488214722,0.2168991234022796,0.0006441087082824626,0.9131726402960958,0.477234853925176,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.75,7.0039541403849475,0.22088736272742016,0.000664689190749027,0.927874072469736,0.47249279911867337,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.76,7.077053570156774,0.224887412482139,0.0006856275680124052,0.9425536920611348,0.4677981352247577,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.77,7.150073221366324,0.2288988436757051,0.000706924287879239,0.957209575156837,0.46315039414690085,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.78,7.223015473517163,0.23292123593927053,0.0007285797512690963,0.9718398535659774,0.4585491125366097,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.79,7.29588265013811,0.23695417648048903,0.00075059431706526,0.986442707446042,0.45399383164902063,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.8,7.368677013962629,0.24099726068338118,0.0007729682994814975,1.0010163695666676,0.44948409739181583,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.81,7.441400770836093,0.24505009161824168,0.0007957019704632261,1.0155591218745517,0.44501946023653416,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.8200000000000001,7.5140560848348485,0.24911227815142462,0.0008187955685477506,1.0300692821674764,0.44059947495411256,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.8300000000000001,7.586645064368582,0.253183436678714,0.0008422492910081006,1.044545216366438,0.4362237008053294,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.84,7.659169768117782,0.2572631903817015,0.0008660632974237839,1.0589853332895465,0.4318917014202883,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.85,7.731632173691103,0.26135117341599684,0.0008902376920537699,1.0733881116609512,0.42760304526584214,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.86,7.804034252050525,0.26544702099733947,0.0009147725662388517,1.0877520359251844,0.42335730444357467,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.87,7.876377914298293,0.26955037650580954,0.0009396679683618868,1.1020756421131004,0.4191540555024288,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.88,7.948665026343814,0.27366088953955187,0.0009649239123338747,1.1163575051806778,0.41499287917991445,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.89,8.020897410732358,0.27777821568022887,0.0009905403787935966,1.1305962374171328,0.4108733603459556,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.9,8.093076848072418,0.2819020163119818,0.0010165173160794844,1.1447904871990502,0.4067950879530716,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.91,8.165205078463092,0.28603195844039137,0.0010428546412014912,1.1589389377445167,0.4027576549865585,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.92,8.237283700468447,0.2901677280018633,0.0010695521815365847,1.173040394520198,0.39876066007984584,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.93,8.30931439772991,0.29430900003151617,0.001096609806086225,1.1870935891420766,0.3948037038047311,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.9400000000000001,8.381298788197828,0.29845545852241484,0.0011240273383920914,1.20109730982516,0.39088639109520973,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.9500000000000001,8.453238441194046,0.3026067941857774,0.0011518045665540344,1.2150503866084152,0.38700833094353626,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.96,8.52513488980107,0.3067627028265496,0.0011799412505441266,1.2289516806236187,0.3831691361722432,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.97,8.596989632165098,0.3109228851787398,0.0012084371231065865,1.2428000829570933,0.379368423386343,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.98,8.668804132799021,0.3150870467407539,0.0012372918906576995,1.2565945135114405,0.3756058129255312,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
0.99,8.740579688846669,0.3192549152315245,0.0012665051547641264,1.2703340369913523,0.3718809311196163,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
1.0,8.81231770101184,0.3234262052431809,0.0012960765716204736,1.284017627908853,0.3681934056419684,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
1.01,8.884019541987513,0.32760063541467593,0.001326005774800913,1.2976442846913387,0.3645428677280236,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
1.02,8.955686520309317,0.331777933153797,0.001356292354133554,1.3112130610246753,0.3609289527662277,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
1.03,9.027319912694507,0.33595783042271565,0.0013869358748538276,1.324723037796318,0.3573512997208882,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
1.04,9.09892096507624,0.34014006360838933,0.001417935878346355,1.3381733221901326,0.35380955108896,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
1.05,9.17049089363786,0.3443243733929633,0.0014492918828868133,1.351563046781218,0.35030335285683184,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
1.06,9.242030789395672,0.3485105170519199,0.001481003326991684,1.3648914526004607,0.3468323562474071,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
1.07,9.313541783891697,0.35269824710828596,0.0015130696681378395,1.3781577448793088,0.34339621462056424,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
1.08,9.385025023079761,0.3568873147010694,0.001545490367350266,1.3913611157795291,0.3399945839338567,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
1.09,9.456481585391327,0.3610774801461226,0.0015782648405747064,1.404500815719563,0.3366271242393268,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
1.1,9.527912520639875,0.365268507926992,0.0016113924819536082,1.417576119499998,0.333293498937362,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
1.11,9.599318850815791,0.36946016659616676,0.0016448726644255347,1.4305863256068134,0.32999337473792456,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
1.12,9.670701570881235,0.37365222867632847,0.0016787047403245784,1.4435307555146266,0.32672642162178134,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
1.1300000000000001,9.7420616071253,0.3778444759123729,0.0017128880159486754,1.4564087901437512,0.3234923137605467,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
1.1400000000000001,9.813399873095653,0.3820366922210514,0.0017474217859780546,1.4692198208940146,0.3202907282322433,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
1.1500000000000001,9.884717300307896,0.38622865982061766,0.0017823053524232003,1.4819632227593778,0.317121344306693,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
1.16,9.956014767950645,0.3904201680950361,0.0018175379816201612,1.4946384158666959,0.31398384501283266,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
1.17,10.02729312997345,0.39461101018022116,0.0018531189209572356,1.5072448417607414,0.3108779165059223,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
1.18,10.098553215751307,0.3988009828817203,0.0018890473993944251,1.519781962821565,0.3078032480317198,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
1.19,10.169795830749193,0.4029898865923985,0.0019253226279828954,1.5322492616818597,0.30475953189065613,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
1.2,10.24102173999134,0.40717752731669576,0.001961943789054373,1.5446462557743132,0.30174646392078835,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
1.21,10.312231680554664,0.41136371513916303,0.0019989100445347444,1.5569724863407908,0.29876374310509796,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
1.22,10.38342639975094,0.41554825954589064,0.0020362205611841617,1.5692274848381342,0.2958110704037615,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
1.23,10.454606606014767,0.41973097544027493,0.00207387447831838,1.581410816153623,0.29288815022007925,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
1.24,10.525772986058964,0.4239116810404202,0.0021118709191941636,1.5935220635121188,0.2899946898671224,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
1.25,10.596926205470977,0.4280901978051671,0.0021502089914838644,1.605560827953361,0.28713039953396247,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
1.26,10.668066909309292,0.43226635036012084,0.002188887787750003,1.6175267278092584,0.2842949922519012,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
1.27,10.73919570987473,0.4364399680010491,0.0022279063771873035,1.6294194094304142,0.28148818425057903,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
1.28,10.810313183066185,0.4406108851414742,0.0022672638032098275,1.6412385503830214,0.2787096950531195,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
1.29,10.881419928510606,0.4447789339166252,0.0023069591244615872,1.6529838067077662,0.275959245632561,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
1.3,10.95251650698754,0.4489439518790188,0.0023469913722777964,1.664654867806754,0.2732365602984876,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
1.31,11.023603460572579,0.4531057795203837,0.002387359564468902,1.676251438775606,0.2705413660690358,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
1.32,11.094681313163843,0.45726426020628996,0.002428062705747549,1.6877732399420922,0.26787339263925064,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
1.33,11.165750571008452,0.4614192401107781,0.0024690997881555415,1.6992200064047638,0.2652323723494413,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
1.34,11.2368117135127,0.46557056935405283,0.002510469784919817,1.7105914960809803,0.26261804043296255,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
1.35,11.30786517073006,0.4697181047897143,0.002552171635298846,1.7218875094222739,0.26003013564712196,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
1.36,11.378911416857687,0.4738616984279267,0.0025942043078837776,1.733107807531294,0.25746839756786,15.909090909090905,0.1,0.2,1.0,1.0,10.0,0.1,0.1,0.5,0.1,0.01,1.0
