Time,y,z,x,u,lambda,beta,r,tau,gamma,nu,mu_1,mu_2,mu_3,mu_4,compartment,CD4_Production,Infectious_Transmission,CD4_Natural_Death,Mitotic_Transmission,CD4LI_Spontaneous_Activation,CD4LI_Natural_Death,CD4AI_Lysis_CTL,CD4AI_Natural_Death,CTL_Proliferation,CTL_Natural_Death
837.0,1.1527932318161556,1.3833501626348803,760.2926367329607,26.94356632365949,10.0,0.001,0.011,0.003,0.029,0.036,0.012,0.03,0.03,0.03,1.0,10.0,0.8764602058254161,9.123511640795527,0.012680725549977711,0.08083069897097847,0.8083069897097847,0.04624678443680078,0.034583796954484665,0.0415005563453816,0.041500504879046406
838.0,1.1527933459470356,1.383350208406703,760.2926644972658,26.94356942351686,10.0,0.001,0.011,0.003,0.029,0.036,0.012,0.03,0.03,0.03,1.0,10.0,0.8764603246047901,9.12351197396719,0.01268072680541739,0.08083070827055058,0.8083070827055058,0.046246790545605085,0.03458380037841107,0.04150056045409328,0.04150050625220109
839.0,1.1527934600165037,1.3833502572205358,760.2926918217141,26.94357254810696,10.0,0.001,0.011,0.003,0.029,0.036,0.012,0.03,0.03,0.03,1.0,10.0,0.8764604428304151,9.12351230186057,0.01268072806018154,0.08083071764432088,0.8083071764432088,0.046246796753643474,0.03458380380049511,0.04150056456059413,0.04150050771661607
840.0,1.1527935740226969,1.3833503090263133,760.2927187129426,26.943575696971504,10.0,0.001,0.011,0.003,0.029,0.036,0.012,0.03,0.03,0.03,1.0,10.0,0.876460560508526,9.12351262455531,0.012680729314249664,0.08083072709091452,0.8083072709091451,0.04624680305916753,0.034583807220680905,0.041500568664817085,0.041500509270789396
841.0,1.152793687965436,1.3833503637779394,760.2927451775419,26.94357886972615,10.0,0.001,0.011,0.003,0.029,0.036,0.012,0.03,0.03,0.03,1.0,10.0,0.8764606776465839,9.123512942130503,0.012680730567619794,0.08083073660917844,0.8083073660917844,0.04624680946062905,0.034583810638963076,0.041500572766755686,0.04150051091333818
842.0,1.1527938018462256,1.3833504214332877,760.2927712220564,26.94358206606053,10.0,0.001,0.011,0.003,0.029,0.036,0.012,0.03,0.03,0.03,1.0,10.0,0.876460794253277,9.123513254664678,0.012680731820308482,0.08083074619818159,0.8083074619818158,0.046246815956680086,0.03458381405538677,0.04150057686646412,0.04150051264299863
843.0,1.152793915668254,1.3833504819542013,760.292796852985,26.943585285738216,10.0,0.001,0.011,0.003,0.029,0.036,0.012,0.03,0.03,0.03,1.0,10.0,0.876460910338521,9.12351356223582,0.012680733072350793,0.08083075585721465,0.8083075585721464,0.04624682254617296,0.03458381747004762,0.04150058096405714,0.041500514458626035
844.0,1.1527940294363934,1.3833505453064925,760.2928220767797,26.94358852859675,10.0,0.001,0.011,0.003,0.029,0.036,0.012,0.03,0.03,0.03,1.0,10.0,0.8764610259134579,9.123513864921357,0.012680734323800328,0.08083076558579025,0.8083076558579024,0.04624682922816021,0.0345838208830918,0.04150058505971016,0.04150051635919477
845.0,1.1527941431571997,1.3833506114599439,760.2928468998466,26.943591794547626,10.0,0.001,0.011,0.003,0.029,0.036,0.012,0.03,0.03,0.03,1.0,10.0,0.8764611409904568,9.123514162798159,0.012680735574729197,0.08083077538364287,0.8083077538364287,0.04624683600189468,0.034583824294715994,0.04150058915365919,0.041500518343798316
846.0,1.1527942568389125,1.383350680388307,760.2928713285461,26.943595083576287,10.0,0.001,0.011,0.003,0.029,0.036,0.012,0.03,0.03,0.03,1.0,10.0,0.8764612555831142,9.123514455942553,0.012680736825228037,0.08083078525072887,0.8083078525072885,0.04624684286682943,0.03458382770516737,0.04150059324620085,0.041500520411649214
847.0,1.1527943704914554,1.3833507520693031,760.2928953691918,26.943598395742146,10.0,0.001,0.011,0.003,0.029,0.036,0.012,0.03,0.03,0.03,1.0,10.0,0.8764613697062535,9.123514744430302,0.012680738075406008,0.08083079518722644,0.8083079518722643,0.04624684982261779,0.03458383111474366,0.04150059733769239,0.04150052256207909
