Time,l,m,n,A,N,I,K_l,delta_l,K_m,sigma,xi,S,F,treatment_start,treatment_end,sink,cell
9.5,0.06110697488475997,0.5834483669881518,0.43384157205074775,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.0,10.0,400.0,0.0,1.0
10.0,0.06009455454359112,0.5931735822032489,0.42570886062527385,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
10.5,0.06096575670397866,0.5770543378544633,0.4188794397845461,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
11.0,0.06222961007864056,0.5659646242250029,0.41389041847455815,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
11.5,0.06322643255382131,0.5576482352119917,0.41021613572683124,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
12.0,0.0640064791689139,0.5513262382873879,0.4075157779841038,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
12.5,0.06461899902189998,0.5464664800775417,0.4055438143658042,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
13.0,0.06510262506940517,0.5426892240913253,0.4041205247327588,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
13.5,0.06548721675807703,0.5397190365583117,0.40311302124201015,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
14.0,0.0657957816975593,0.5373534209003522,0.4024221590650904,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
14.5,0.06604617385436577,0.5354422917076275,0.4019734891704248,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
15.0,0.0662520526695191,0.5338739299409608,0.40171107399217315,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
15.5,0.06642398017465706,0.5325639903083459,0.4015923908565538,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
16.0,0.06657009790509505,0.5314487324896846,0.4015851274914828,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
16.5,0.06669668304579468,0.5304797220337104,0.4016646427877131,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
17.0,0.06680855844446695,0.5296202062514855,0.4018121993092178,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
17.5,0.06690937108487269,0.5288425705630347,0.4020137088683252,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
18.0,0.06700195651739281,0.5281256496842522,0.40225838289436905,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
18.5,0.0670885702293665,0.527452839520797,0.40253779136063444,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
19.0,0.06717093208427843,0.5268112310379947,0.40284544177685455,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
19.5,0.06725033218429095,0.5261910918961682,0.40317648439676085,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
20.0,0.0673277913775215,0.5255851511054993,0.4035273145021935,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
20.5,0.06740411704788939,0.5249877577956614,0.40389518323461837,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
21.0,0.06747990964614674,0.5243943606882049,0.4042779666919788,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
21.5,0.06755563902004041,0.5238013984494929,0.40467406259020144,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
22.0,0.06763170741855395,0.5232061952291881,0.4050823001794975,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
22.5,0.0677084245442921,0.5226066607093363,0.40550182971922155,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
23.0,0.06778600691008957,0.5220010636602195,0.40593203155071117,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
23.5,0.06786464743222581,0.5213880150484297,0.40637246307794206,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
24.0,0.06794453302090867,0.5207664323339604,0.40682282470573755,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
24.5,0.06802579574159681,0.5201353820301508,0.40728292504761593,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
25.0,0.06810853638425295,0.519494095359876,0.40775267197178555,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
25.5,0.06819285753264559,0.5188418931534541,0.4082320240267406,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
26.0,0.06827884027010406,0.5181782801362259,0.4087210369369929,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
26.5,0.06836657972791275,0.5175027009428643,0.4092197507036059,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
27.0,0.06845614748975098,0.5168147797874905,0.40972830094191154,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
27.5,0.06854760845867047,0.5161140301956962,0.410246788081357,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
28.0,0.06864102616801646,0.5154000801537665,0.4107753758198014,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
28.5,0.0687364692000438,0.514672513816678,0.4113142194476777,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
29.0,0.06883400300354746,0.5139309638975237,0.41186350433153723,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
29.5,0.06893370016500042,0.5131750667368392,0.4124234237403002,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
30.0,0.06903562534240543,0.5124044552857895,0.41299418440044494,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
30.5,0.0691398450740148,0.5116187715657231,0.4135760060301424,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
31.0,0.06924642525572414,0.5108176255908321,0.4141691106830587,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
31.5,0.06935543175501473,0.5100006629812759,0.41477374194340544,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
32.0,0.06946693245692954,0.5091675197577872,0.41539015110387595,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
32.5,0.06958101053603785,0.5083177818220859,0.4160185809073736,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
33.0,0.06969773522591208,0.5074510912258823,0.4166593063843057,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
33.5,0.06981718389298308,0.5065670553731425,0.4173126003093437,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
34.0,0.0699394404493162,0.5056652360691196,0.41797872954601883,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
34.5,0.0700645851931406,0.5047452400664132,0.41865798806943594,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
35.0,0.07019270559549522,0.5038066328221905,0.41935066942774324,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
35.5,0.07032389464897842,0.5028489540455259,0.42005707274102316,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
36.0,0.0704582436396675,0.5018717589638098,0.4207775085892504,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
36.5,0.07059585033732219,0.5008745750636354,0.4215122968310646,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
37.0,0.07073681595251435,0.4998569168510221,0.4222617657314327,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
37.5,0.07088124364972155,0.49881829150115103,0.4230262495303407,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
38.0,0.07102924441665996,0.4977581811327675,0.42380610241684696,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
38.5,0.07118093021004644,0.4966760615514044,0.4246016803383949,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
39.0,0.07133641551128574,0.4955713981445472,0.42541334527227126,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
39.5,0.07149581886249662,0.4944436418286753,0.42624146944308233,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
40.0,0.07165927302104257,0.4932922134241274,0.4270864450062161,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
40.5,0.0718269217767743,0.4921165087733533,0.42794868065291713,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
41.0,0.07199889255599566,0.490915942796985,0.42882857238798516,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
41.5,0.07217532586671484,0.4896899021423814,0.4297265349378978,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
42.0,0.07235636869246628,0.48843775175078274,0.4306429958136955,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
42.5,0.07254219527251801,0.4871587623318828,0.4315784281728388,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
43.0,0.07273295463071429,0.4858522934944921,0.4325332678412257,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
43.5,0.07292881191369435,0.48451764947117176,0.433507978685525,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
44.0,0.07312993749543839,0.4831541171446819,0.43450303538308577,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
44.5,0.07333655552348861,0.48176090361671176,0.4355189583099887,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
45.0,0.07354885846976575,0.48033724609698897,0.4365562521324456,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
45.5,0.07376704068034562,0.47888236875769435,0.43761542991756014,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
46.0,0.07399131318964243,0.47739546368216895,0.4386970237796353,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
46.5,0.07422190124477435,0.4758756565336275,0.4398015965314696,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
47.0,0.07445904213419574,0.47432202144190866,0.4409297357940993,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
47.5,0.07470296847794393,0.47273369556440237,0.4420820086683418,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
48.0,0.0749539264538807,0.4711097541281821,0.4432590111770218,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
48.5,0.0752121786199189,0.4694492401897178,0.44446135865444336,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
49.0,0.0754780826699932,0.46775109162835354,0.4456897352139326,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
49.5,0.0757518922048546,0.4660143258311163,0.4469447686096521,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
50.0,0.07603391377449607,0.4642378941149116,0.4482271288767786,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
50.5,0.0763244654756894,0.4624207201064685,0.4495375023261335,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
51.0,0.07662393635824144,0.460561603352649,0.4508766263978366,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
51.5,0.0769326816935235,0.4586593892526183,0.45224522821534635,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
52.0,0.07725106439916639,0.4567129018441573,0.45364404888933096,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
52.5,0.07757947288646676,0.4547209148453327,0.4550738539887425,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
53.0,0.07791833996982307,0.4526821413266453,0.45653543768675275,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
53.5,0.07826815158041202,0.45059522546327413,0.4580296258621549,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
54.0,0.0786293606792221,0.4484588240189716,0.45955724545899146,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
54.5,0.07900246976931194,0.4462715108754751,0.46111915546422316,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
55.0,0.0793880120698545,0.4440317903243435,0.46271624062667077,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
55.5,0.07978653298015766,0.4417381631732392,0.46434940035966965,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
56.0,0.08019862540220739,0.4393890588642917,0.4660195630921622,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
56.5,0.0806249292527332,0.4369828486554872,0.46772768463805114,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
57.0,0.08106608020083679,0.4345178731692447,0.4694747356713226,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
57.5,0.08152279876474859,0.4319924315026308,0.47126170564436526,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
58.0,0.0819958840600254,0.4294047893073316,0.47308959898266023,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
58.5,0.08248610146235975,0.4267531451078074,0.47495945302380593,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
59.0,0.08299428709196432,0.42403561337066176,0.4768723150117511,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
59.5,0.08352132161864394,0.42125021372017973,0.47882924589600867,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
60.0,0.08406811851891759,0.41839498404886694,0.4808313374830487,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
60.5,0.08463569125835917,0.41546786713171746,0.48287969706219264,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
61.0,0.08522515025793283,0.4124667378099983,0.4849754515206541,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
61.5,0.08583757289294504,0.4093894300458344,0.48711974727049123,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
62.0,0.08647419712594201,0.4062337506237793,0.48931371773288374,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
62.5,0.08713638476330932,0.40299748322578377,0.4915584854754248,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
63.0,0.08782545748288074,0.3996783049379373,0.49385523318143165,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
63.5,0.08854290849568312,0.3962738606322247,0.4962050886064423,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
64.0,0.08929035409483964,0.39278174251575093,0.49860914850978466,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
64.5,0.0900694092620323,0.38919949574314716,0.5010685808791139,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
65.0,0.09088188286521513,0.38552463136674153,0.5035844647884357,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
65.5,0.09172973154048629,0.38175462440093755,0.506157828247696,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
66.0,0.09261490604078089,0.3778868782168947,0.5087897739463995,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
66.5,0.09353961106544277,0.3739188716935545,0.5114812930216287,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
67.0,0.09450635627618015,0.3698482406803913,0.51423324445862,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
67.5,0.0955176058106704,0.3656723774615016,0.5170464780242618,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
68.0,0.09657592950107999,0.3613885689640153,0.5199217251346414,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
68.5,0.09768421418713139,0.35699435056633955,0.5228596250463137,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
69.0,0.0988455406403865,0.3524873143565051,0.5258607006909811,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
69.5,0.10006321410078178,0.3478651528014227,0.5289252987820322,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
70.0,0.10134078991959447,0.3431257014189097,0.5320536154393546,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
70.5,0.10268204018895706,0.338266903511487,0.5352455820941202,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
71.0,0.10409097895986766,0.3332868349152787,0.5385009528920545,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
71.5,0.10557189835669092,0.32818382539165397,0.5418191137855536,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
72.0,0.10712932281481925,0.3229563216029085,0.5451992612702795,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
72.5,0.10876817225384355,0.3176033146885053,0.5486400646735895,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
73.0,0.11049358020613914,0.31212387526307656,0.5521399993104935,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
73.5,0.11231112235067027,0.30651784608340454,0.5556968248808104,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
74.0,0.11422662092890369,0.3007852256855722,0.5593080522174259,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
74.5,0.11624626540819549,0.29492685447731004,0.5629703162635145,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
75.0,0.11837655091773461,0.288943884316995,0.5666799085072233,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
75.5,0.12062426276953632,0.28283841944221083,0.5704321158659006,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
76.0,0.12299651791532859,0.27661303098007883,0.5742217484834221,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
76.5,0.12550070137145766,0.2702714922240838,0.5780424863956035,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
77.0,0.12814449815577497,0.2638181780152742,0.5818873778593935,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
77.5,0.13093579407968764,0.2572588961603653,0.5857482047596952,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
78.0,0.1338826943083691,0.25060020381143383,0.5896159609438809,0.025,1.0,0.01,17.857,0.1,25.0,0.7823,2.0,62.5,0.072,10.0,400.0,0.0,1.0
