T,CAI,P,P2,Q,Q2,Q3,V,W
84.0,9.4294748e-08,4.7438375e-06,0.11925183,4.5635452e-06,1.5932325e-06,1.9024375e-07,-61.29327,4.7438466e-06
88.0,9.8859779e-08,4.743933e-06,0.11925423,4.5902134e-06,1.6556201e-06,1.9934198e-07,-61.293171,4.7439426e-06
92.0,1.0341579e-07,4.7440299e-06,0.11925662,4.6129526e-06,1.7167741e-06,2.0842224e-07,-61.293068,4.744039e-06
96.0,1.0796278e-07,4.7441267e-06,0.11925901,4.6323444e-06,1.7767193e-06,2.1748453e-07,-61.292965,4.7441358e-06
100.0,1.1250079e-07,4.744224e-06,0.1192614,4.6488831e-06,1.8354793e-06,2.2652891e-07,-61.292862,4.7442336e-06
104.0,1.1702983e-07,4.7443223e-06,0.11926378,4.6629907e-06,1.8930778e-06,2.3555542e-07,-61.292759,4.7443318e-06
108.0,1.215499e-07,4.7444209e-06,0.11926615,4.6750274e-06,1.9495376e-06,2.4456409e-07,-61.292656,4.7444305e-06
112.0,1.2606105e-07,4.7445201e-06,0.11926852,4.6852988e-06,2.0048815e-06,2.5355496e-07,-61.292553,4.7445296e-06
116.0,1.3056328e-07,4.7446197e-06,0.11927089,4.6940663e-06,2.0591315e-06,2.6252806e-07,-61.292446,4.7446292e-06
120.0,1.3505661e-07,4.7447202e-06,0.11927325,4.7015524e-06,2.1123092e-06,2.7148343e-07,-61.292339,4.7447293e-06
124.0,1.3954106e-07,4.7448207e-06,0.11927561,4.7079461e-06,2.164436e-06,2.8042112e-07,-61.292233,4.7448302e-06
128.0,1.4401665e-07,4.7449216e-06,0.11927796,4.7134099e-06,2.2155325e-06,2.8934116e-07,-61.29213,4.7449312e-06
132.0,1.4848339e-07,4.745023e-06,0.11928031,4.7180806e-06,2.2656193e-06,2.9824355e-07,-61.292019,4.745033e-06
136.0,1.5294131e-07,4.7451254e-06,0.11928265,4.7220756e-06,2.3147163e-06,3.0712837e-07,-61.291912,4.7451349e-06
140.0,1.5739043e-07,4.7452277e-06,0.11928499,4.7254953e-06,2.3628431e-06,3.1599566e-07,-61.291805,4.7452372e-06
144.0,1.6183074e-07,4.7453304e-06,0.11928732,4.7284243e-06,2.4100191e-06,3.2484542e-07,-61.291698,4.74534e-06
148.0,1.662623e-07,4.7454337e-06,0.11928965,4.7309354e-06,2.4562628e-06,3.3367772e-07,-61.291588,4.7454432e-06
152.0,1.706851e-07,4.7455369e-06,0.11929198,4.7330909e-06,2.5015929e-06,3.4249257e-07,-61.291477,4.7455469e-06
156.0,1.7509915e-07,4.745641e-06,0.11929429,4.7349426e-06,2.5460276e-06,3.5129e-07,-61.29137,4.7456506e-06
160.0,1.795045e-07,4.7457452e-06,0.11929661,4.7365365e-06,2.5895845e-06,3.6007009e-07,-61.29126,4.7457552e-06
164.0,1.8390114e-07,4.7458498e-06,0.11929892,4.7379099e-06,2.6322807e-06,3.6883281e-07,-61.291149,4.7458598e-06
168.0,1.8828909e-07,4.7459548e-06,0.11930123,4.7390954e-06,2.6741338e-06,3.7757826e-07,-61.291039,4.7459648e-06
172.0,1.9266838e-07,4.7460599e-06,0.11930353,4.7401218e-06,2.7151602e-06,3.8630645e-07,-61.290928,4.7460699e-06
176.0,1.9703903e-07,4.7461658e-06,0.11930583,4.7410117e-06,2.7553763e-06,3.9501739e-07,-61.290817,4.7461758e-06
180.0,2.0140105e-07,4.7462713e-06,0.11930812,4.7417857e-06,2.7947981e-06,4.0371114e-07,-61.290703,4.7462813e-06
184.0,2.0575445e-07,4.7463777e-06,0.11931041,4.742461e-06,2.8334414e-06,4.1238775e-07,-61.290592,4.7463877e-06
188.0,2.1009926e-07,4.7464841e-06,0.11931269,4.7430522e-06,2.8713218e-06,4.2104722e-07,-61.290482,4.7464941e-06
192.0,2.1443549e-07,4.746591e-06,0.11931497,4.7435715e-06,2.908454e-06,4.2968961e-07,-61.290367,4.746601e-06
196.0,2.1876316e-07,4.7466979e-06,0.11931725,4.7440299e-06,2.9448531e-06,4.3831494e-07,-61.290257,4.7467079e-06
200.0,2.230823e-07,4.7468052e-06,0.11931951,4.7444364e-06,2.9805337e-06,4.4692328e-07,-61.290142,4.7468152e-06
204.0,2.2739289e-07,4.7469125e-06,0.11932178,4.7447988e-06,3.0155097e-06,4.5551459e-07,-61.290028,4.7469225e-06
208.0,2.3169498e-07,4.7470203e-06,0.11932404,4.7451235e-06,3.0497954e-06,4.6408897e-07,-61.289917,4.7470303e-06
212.0,2.3598859e-07,4.7471281e-06,0.1193263,4.7454159e-06,3.0834044e-06,4.7264643e-07,-61.289803,4.7471385e-06
216.0,2.4027372e-07,4.7472363e-06,0.11932855,4.7456815e-06,3.1163499e-06,4.8118704e-07,-61.289688,4.7472463e-06
220.0,2.4455039e-07,4.7473445e-06,0.1193308,4.7459234e-06,3.1486452e-06,4.8971077e-07,-61.289574,4.747355e-06
224.0,2.4881862e-07,4.7474532e-06,0.11933304,4.7461458e-06,3.1803031e-06,4.9821767e-07,-61.289459,4.7474632e-06
228.0,2.5307844e-07,4.7475619e-06,0.11933529,4.7463514e-06,3.2113364e-06,5.0670781e-07,-61.289345,4.7475719e-06
232.0,2.5732984e-07,4.7476706e-06,0.11933752,4.7465428e-06,3.2417574e-06,5.1518123e-07,-61.28923,4.747681e-06
236.0,2.6157286e-07,4.7477797e-06,0.11933975,4.7467215e-06,3.2715782e-06,5.2363788e-07,-61.289116,4.7477902e-06
240.0,2.658075e-07,4.7478889e-06,0.11934198,4.7468907e-06,3.3008105e-06,5.3207788e-07,-61.289001,4.7478993e-06
244.0,2.7003381e-07,4.7479984e-06,0.1193442,4.7470503e-06,3.3294662e-06,5.4050128e-07,-61.288883,4.7480085e-06
248.0,2.7425176e-07,4.7481076e-06,0.11934642,4.7472031e-06,3.3575566e-06,5.4890802e-07,-61.288769,4.748118e-06
252.0,2.7846139e-07,4.7482176e-06,0.11934863,4.7473491e-06,3.3850931e-06,5.5729816e-07,-61.288654,4.7482276e-06
256.0,2.8266271e-07,4.7483272e-06,0.11935084,4.74749e-06,3.4120862e-06,5.6567183e-07,-61.28854,4.7483377e-06
260.0,2.8685577e-07,4.7484373e-06,0.11935304,4.747626e-06,3.4385473e-06,5.7402895e-07,-61.288422,4.7484477e-06
264.0,2.9104052e-07,4.7485473e-06,0.11935525,4.7477583e-06,3.4644866e-06,5.8236958e-07,-61.288307,4.7485578e-06
268.0,2.9521703e-07,4.7486574e-06,0.11935744,4.7478875e-06,3.4899142e-06,5.9069373e-07,-61.288189,4.7486678e-06
272.0,2.9938531e-07,4.7487674e-06,0.11935963,4.7480139e-06,3.5148407e-06,5.9900157e-07,-61.288074,4.7487779e-06
276.0,3.0354536e-07,4.7488779e-06,0.11936182,4.7481376e-06,3.5392757e-06,6.0729292e-07,-61.28796,4.7488884e-06
280.0,3.0769723e-07,4.7489884e-06,0.119364,4.7482595e-06,3.563229e-06,6.1556801e-07,-61.287842,4.7489989e-06
284.0,3.1184089e-07,4.7490989e-06,0.11936618,4.74838e-06,3.5867104e-06,6.2382674e-07,-61.287727,4.7491094e-06
288.0,3.1597637e-07,4.7492094e-06,0.11936836,4.7484987e-06,3.6097288e-06,6.320692e-07,-61.287609,4.7492199e-06
292.0,3.2010371e-07,4.7493199e-06,0.11937053,4.748616e-06,3.6322938e-06,6.4029541e-07,-61.287491,4.7493309e-06
296.0,3.2422292e-07,4.7494309e-06,0.1193727,4.7487329e-06,3.6544138e-06,6.4850542e-07,-61.287376,4.7494414e-06
300.0,3.2833398e-07,4.7495419e-06,0.11937486,4.7488484e-06,3.6760985e-06,6.5669923e-07,-61.287258,4.7495523e-06
304.0,3.3243694e-07,4.7496524e-06,0.11937701,4.7489634e-06,3.6973556e-06,6.6487695e-07,-61.287144,4.7496633e-06
308.0,3.3653183e-07,4.7497633e-06,0.11937916,4.749078e-06,3.7181942e-06,6.7303847e-07,-61.287025,4.7497738e-06
312.0,3.4061864e-07,4.7498743e-06,0.11938132,4.7491917e-06,3.7386221e-06,6.8118396e-07,-61.286907,4.7498847e-06
316.0,3.4469738e-07,4.7499852e-06,0.11938346,4.7493054e-06,3.7586481e-06,6.8931337e-07,-61.286793,4.7499962e-06
320.0,3.4876808e-07,4.7500967e-06,0.1193856,4.7494182e-06,3.7782795e-06,6.9742674e-07,-61.286674,4.7501071e-06
324.0,3.5283077e-07,4.7502076e-06,0.11938774,4.7495309e-06,3.7975244e-06,7.0552414e-07,-61.28656,4.7502181e-06
328.0,3.5688544e-07,4.7503186e-06,0.11938987,4.7496437e-06,3.8163903e-06,7.1360563e-07,-61.286442,4.750329e-06
332.0,3.6093212e-07,4.75043e-06,0.119392,4.749756e-06,3.8348853e-06,7.2167114e-07,-61.286324,4.7504404e-06
336.0,3.6497082e-07,4.7505409e-06,0.11939412,4.7498684e-06,3.8530156e-06,7.2972074e-07,-61.286209,4.7505514e-06
340.0,3.6900155e-07,4.7506519e-06,0.11939624,4.7499802e-06,3.8707894e-06,7.3775453e-07,-61.286091,4.7506624e-06
344.0,3.7302433e-07,4.7507633e-06,0.11939836,4.7500921e-06,3.8882135e-06,7.4577247e-07,-61.285973,4.7507738e-06
348.0,3.7703921e-07,4.7508743e-06,0.11940047,4.750204e-06,3.9052948e-06,7.537746e-07,-61.285858,4.7508847e-06
352.0,3.8104616e-07,4.7509857e-06,0.11940258,4.7503154e-06,3.9220404e-06,7.6176099e-07,-61.28574,4.7509961e-06
356.0,3.8504521e-07,4.7510966e-06,0.11940468,4.7504273e-06,3.9384563e-06,7.6973163e-07,-61.285622,4.7511071e-06
360.0,3.8903639e-07,4.7512076e-06,0.11940678,4.7505387e-06,3.9545489e-06,7.7768658e-07,-61.285507,4.7512185e-06
364.0,3.9301969e-07,4.751319e-06,0.11940888,4.7506501e-06,3.9703255e-06,7.8562584e-07,-61.285389,4.7513295e-06
368.0,3.9699515e-07,4.75143e-06,0.11941097,4.7507615e-06,3.9857919e-06,7.9354948e-07,-61.285271,4.7514404e-06
372.0,4.0096276e-07,4.7515409e-06,0.11941306,4.7508729e-06,4.0009545e-06,8.0145747e-07,-61.285156,4.7515514e-06
376.0,4.0492256e-07,4.7516523e-06,0.11941513,4.7509843e-06,4.0158184e-06,8.0934996e-07,-61.285038,4.7516628e-06
380.0,4.0887454e-07,4.7517633e-06,0.11941721,4.7510957e-06,4.0303908e-06,8.1722681e-07,-61.28492,4.7517738e-06
384.0,4.1281876e-07,4.7518743e-06,0.11941929,4.7512067e-06,4.0446766e-06,8.2508819e-07,-61.284805,4.7518847e-06
388.0,4.1675517e-07,4.7519852e-06,0.11942136,4.7513181e-06,4.0586815e-06,8.3293406e-07,-61.284687,4.7519957e-06
392.0,4.2068385e-07,4.7520962e-06,0.11942343,4.7514291e-06,4.0724117e-06,8.4076453e-07,-61.284573,4.7521066e-06
396.0,4.2460479e-07,4.7522071e-06,0.11942549,4.7515405e-06,4.0858718e-06,8.4857953e-07,-61.284454,4.7522176e-06
400.0,4.2851801e-07,4.7523176e-06,0.11942755,4.7516514e-06,4.0990681e-06,8.5637913e-07,-61.284336,4.7523281e-06
404.0,4.3242349e-07,4.7524286e-06,0.1194296,4.7517624e-06,4.1120047e-06,8.6416338e-07,-61.284222,4.7524391e-06
408.0,4.363213e-07,4.7525391e-06,0.11943165,4.7518733e-06,4.1246876e-06,8.7193234e-07,-61.284103,4.7525496e-06
412.0,4.4021141e-07,4.7526501e-06,0.1194337,4.7519843e-06,4.1371218e-06,8.7968596e-07,-61.283989,4.7526605e-06
416.0,4.4409387e-07,4.7527606e-06,0.11943574,4.7520953e-06,4.1493113e-06,8.8742433e-07,-61.283871,4.752771e-06
420.0,4.4796869e-07,4.7528711e-06,0.11943778,4.7522062e-06,4.161262e-06,8.9514742e-07,-61.283756,4.7528815e-06
424.0,4.5183586e-07,4.7529816e-06,0.11943982,4.7523167e-06,4.1729786e-06,9.0285533e-07,-61.283638,4.752992e-06
428.0,4.5569539e-07,4.7530921e-06,0.11944184,4.7524277e-06,4.1844651e-06,9.1054807e-07,-61.283524,4.7531025e-06
432.0,4.5954735e-07,4.7532021e-06,0.11944387,4.7525382e-06,4.195726e-06,9.1822562e-07,-61.283409,4.7532126e-06
436.0,4.633917e-07,4.7533126e-06,0.1194459,4.7526487e-06,4.2067668e-06,9.2588806e-07,-61.283291,4.7533231e-06
440.0,4.6722849e-07,4.7534227e-06,0.11944792,4.7527597e-06,4.2175907e-06,9.3353543e-07,-61.283176,4.7534331e-06
444.0,4.7105772e-07,4.7535327e-06,0.11944993,4.7528702e-06,4.2282022e-06,9.4116774e-07,-61.283058,4.7535432e-06
448.0,4.7487939e-07,4.7536428e-06,0.11945194,4.7529802e-06,4.2386064e-06,9.4878504e-07,-61.282944,4.7536532e-06
452.0,4.7869355e-07,4.7537528e-06,0.11945395,4.7530907e-06,4.2488064e-06,9.5638734e-07,-61.282829,4.7537633e-06
456.0,4.8250018e-07,4.7538629e-06,0.11945595,4.7532012e-06,4.2588067e-06,9.6397457e-07,-61.282711,4.7538733e-06
460.0,4.8629931e-07,4.7539725e-06,0.11945795,4.7533113e-06,4.2686111e-06,9.7154702e-07,-61.282597,4.7539829e-06
464.0,4.90091e-07,4.7540821e-06,0.11945995,4.7534213e-06,4.2782235e-06,9.7910447e-07,-61.282482,4.7540925e-06
468.0,4.9387518e-07,4.7541917e-06,0.11946194,4.7535314e-06,4.2876477e-06,9.8664702e-07,-61.282368,4.7542021e-06
472.0,4.9765191e-07,4.7543012e-06,0.11946393,4.7536414e-06,4.2968877e-06,9.9417468e-07,-61.282253,4.7543117e-06
476.0,5.014212e-07,4.7544108e-06,0.11946591,4.7537515e-06,4.3059467e-06,1.0016877e-06,-61.282135,4.7544208e-06
480.0,5.0518304e-07,4.75452e-06,0.11946788,4.753861e-06,4.3148284e-06,1.0091858e-06,-61.282021,4.7545304e-06
484.0,5.0893749e-07,4.7546291e-06,0.11946987,4.7539711e-06,4.3235364e-06,1.0166691e-06,-61.281906,4.7546396e-06
488.0,5.1268455e-07,4.7547383e-06,0.11947183,4.7540807e-06,4.3320742e-06,1.0241376e-06,-61.281792,4.7547487e-06
492.0,5.1642422e-07,4.7548474e-06,0.1194738,4.7541903e-06,4.3404452e-06,1.0315916e-06,-61.281677,4.7548574e-06
496.0,5.2015656e-07,4.7549561e-06,0.11947577,4.7542994e-06,4.3486525e-06,1.0390308e-06,-61.281563,4.7549665e-06
500.0,5.2388151e-07,4.7550648e-06,0.11947773,4.754409e-06,4.3566997e-06,1.0464554e-06,-61.281448,4.7550752e-06
504.0,5.2759913e-07,4.7551734e-06,0.11947969,4.7545182e-06,4.3645891e-06,1.0538654e-06,-61.281334,4.7551839e-06
508.0,5.3130947e-07,4.7552821e-06,0.11948164,4.7546273e-06,4.3723248e-06,1.0612607e-06,-61.281219,4.7552926e-06
512.0,5.3501248e-07,4.7553908e-06,0.11948358,4.7547364e-06,4.3799096e-06,1.0686416e-06,-61.281105,4.7554008e-06
516.0,5.3870815e-07,4.755499e-06,0.11948553,4.7548456e-06,4.3873465e-06,1.0760078e-06,-61.280991,4.7555091e-06
520.0,5.4239655e-07,4.7556073e-06,0.11948747,4.7549543e-06,4.3946379e-06,1.0833596e-06,-61.28088,4.7556173e-06
524.0,5.4607773e-07,4.7557151e-06,0.11948941,4.7550629e-06,4.401787e-06,1.090697e-06,-61.280766,4.7557255e-06
528.0,5.4975163e-07,4.7558233e-06,0.11949135,4.7551716e-06,4.4087969e-06,1.0980199e-06,-61.280651,4.7558333e-06
532.0,5.5341832e-07,4.7559311e-06,0.11949328,4.7552803e-06,4.41567e-06,1.1053284e-06,-61.280537,4.7559411e-06
536.0,5.5707778e-07,4.7560388e-06,0.1194952,4.7553885e-06,4.4224093e-06,1.1126224e-06,-61.280426,4.7560488e-06
540.0,5.6073003e-07,4.7561462e-06,0.11949712,4.7554968e-06,4.4290173e-06,1.1199021e-06,-61.280312,4.7561566e-06
544.0,5.6437506e-07,4.7562539e-06,0.11949904,4.755605e-06,4.4354965e-06,1.1271675e-06,-61.280197,4.7562639e-06
548.0,5.6801292e-07,4.7563612e-06,0.11950096,4.7557132e-06,4.4418493e-06,1.1344185e-06,-61.280087,4.7563713e-06
552.0,5.7164362e-07,4.7564686e-06,0.11950286,4.755821e-06,4.4480789e-06,1.1416554e-06,-61.279972,4.7564786e-06
556.0,5.7526722e-07,4.7565754e-06,0.11950477,4.7559288e-06,4.4541871e-06,1.1488779e-06,-61.279861,4.7565854e-06
560.0,5.788836e-07,4.7566823e-06,0.11950668,4.7560366e-06,4.4601761e-06,1.1560862e-06,-61.279747,4.7566928e-06
564.0,5.8249293e-07,4.7567892e-06,0.11950858,4.7561439e-06,4.4660492e-06,1.1632804e-06,-61.279636,4.7567992e-06
568.0,5.860951e-07,4.756896e-06,0.11951047,4.7562517e-06,4.4718076e-06,1.1704605e-06,-61.279526,4.756906e-06
572.0,5.8969022e-07,4.7570024e-06,0.11951236,4.756359e-06,4.4774542e-06,1.1776262e-06,-61.279411,4.7570124e-06
576.0,5.9327823e-07,4.7571089e-06,0.11951426,4.7564658e-06,4.4829912e-06,1.1847781e-06,-61.279301,4.7571189e-06
580.0,5.9685919e-07,4.7572153e-06,0.11951614,4.7565732e-06,4.4884209e-06,1.1919158e-06,-61.27919,4.7572253e-06
584.0,6.0043311e-07,4.7573212e-06,0.11951802,4.75668e-06,4.4937451e-06,1.1990394e-06,-61.279076,4.7573312e-06
588.0,6.0399998e-07,4.7574272e-06,0.1195199,4.7567869e-06,4.4989656e-06,1.206149e-06,-61.278965,4.7574372e-06
592.0,6.075598e-07,4.7575331e-06,0.11952177,4.7568933e-06,4.5040852e-06,1.2132446e-06,-61.278854,4.7575431e-06
596.0,6.1111263e-07,4.7576386e-06,0.11952364,4.7569997e-06,4.5091051e-06,1.2203262e-06,-61.278744,4.7576486e-06
600.0,6.1465846e-07,4.7577446e-06,0.11952551,4.7571061e-06,4.5140282e-06,1.2273939e-06,-61.278633,4.7577546e-06
604.0,6.181973e-07,4.7578496e-06,0.11952737,4.7572125e-06,4.5188558e-06,1.2344477e-06,-61.278522,4.7578596e-06
608.0,6.2172921e-07,4.7579551e-06,0.11952923,4.7573185e-06,4.5235897e-06,1.2414877e-06,-61.278412,4.7579651e-06
612.0,6.2525413e-07,4.7580602e-06,0.11953109,4.7574244e-06,4.5282318e-06,1.2485137e-06,-61.278301,4.7580702e-06
616.0,6.2877211e-07,4.7581652e-06,0.11953294,4.7575304e-06,4.5327843e-06,1.2555259e-06,-61.278191,4.7581752e-06
620.0,6.3228322e-07,4.7582703e-06,0.11953479,4.7576364e-06,4.537249e-06,1.2625244e-06,-61.27808,4.7582798e-06
624.0,6.3578733e-07,4.7583749e-06,0.11953663,4.7577419e-06,4.5416268e-06,1.2695091e-06,-61.277969,4.7583849e-06
628.0,6.3928456e-07,4.7584795e-06,0.11953847,4.7578469e-06,4.5459201e-06,1.27648e-06,-61.277863,4.758489e-06
632.0,6.4277498e-07,4.7585836e-06,0.11954031,4.7579524e-06,4.5501306e-06,1.2834372e-06,-61.277752,4.7585936e-06
636.0,6.4625846e-07,4.7586877e-06,0.11954214,4.7580575e-06,4.5542602e-06,1.2903807e-06,-61.277641,4.7586977e-06
640.0,6.4973506e-07,4.7587919e-06,0.11954398,4.7581625e-06,4.5583097e-06,1.2973105e-06,-61.277531,4.7588019e-06
644.0,6.5320484e-07,4.758896e-06,0.1195458,4.7582671e-06,4.562281e-06,1.3042268e-06,-61.277424,4.758906e-06
648.0,6.5666779e-07,4.7589997e-06,0.11954763,4.7583721e-06,4.5661754e-06,1.3111293e-06,-61.277313,4.7590097e-06
652.0,6.6012393e-07,4.7591034e-06,0.11954945,4.7584763e-06,4.5699953e-06,1.3180183e-06,-61.277206,4.7591134e-06
656.0,6.635733e-07,4.7592071e-06,0.11955126,4.7585809e-06,4.5737415e-06,1.3248938e-06,-61.277096,4.7592166e-06
660.0,6.670158e-07,4.7593103e-06,0.11955307,4.758685e-06,4.5774154e-06,1.3317557e-06,-61.276989,4.7593198e-06
664.0,6.7045158e-07,4.7594135e-06,0.11955488,4.7587891e-06,4.5810189e-06,1.3386041e-06,-61.276878,4.7594231e-06
668.0,6.7388061e-07,4.7595163e-06,0.11955669,4.7588933e-06,4.5845527e-06,1.345439e-06,-61.276772,4.7595263e-06
672.0,6.7730281e-07,4.7596191e-06,0.11955849,4.758997e-06,4.5880188e-06,1.3522605e-06,-61.276665,4.7596291e-06
676.0,6.8071836e-07,4.7597218e-06,0.11956029,4.7591006e-06,4.5914185e-06,1.3590686e-06,-61.276554,4.7597318e-06
680.0,6.8412714e-07,4.7598246e-06,0.11956209,4.7592039e-06,4.5947522e-06,1.3658632e-06,-61.276447,4.7598342e-06
684.0,6.8752922e-07,4.7599269e-06,0.11956388,4.7593071e-06,4.5980228e-06,1.3726445e-06,-61.27634,4.7599365e-06
688.0,6.9092459e-07,4.7600292e-06,0.11956567,4.7594103e-06,4.6012301e-06,1.3794125e-06,-61.276234,4.7600388e-06
692.0,6.9431326e-07,4.7601311e-06,0.11956745,4.7595136e-06,4.604376e-06,1.3861671e-06,-61.276127,4.7601407e-06
696.0,6.9769527e-07,4.760233e-06,0.11956923,4.7596163e-06,4.6074615e-06,1.3929084e-06,-61.27602,4.760243e-06
700.0,7.0107063e-07,4.7603348e-06,0.11957101,4.7597191e-06,4.6104883e-06,1.3996365e-06,-61.275913,4.7603444e-06
704.0,7.0443934e-07,4.7604362e-06,0.11957278,4.7598214e-06,4.6134569e-06,1.4063513e-06,-61.275806,4.7604462e-06
708.0,7.0780146e-07,4.7605381e-06,0.11957455,4.7599237e-06,4.6163686e-06,1.4130529e-06,-61.2757,4.7605477e-06
712.0,7.1115687e-07,4.7606391e-06,0.11957632,4.7600261e-06,4.6192249e-06,1.4197415e-06,-61.275593,4.7606486e-06
716.0,7.1450575e-07,4.7607405e-06,0.11957809,4.7601284e-06,4.6220266e-06,1.4264167e-06,-61.275486,4.76075e-06
720.0,7.1784802e-07,4.7608414e-06,0.11957984,4.7602302e-06,4.6247751e-06,1.4330789e-06,-61.275379,4.760851e-06
724.0,7.2118371e-07,4.7609419e-06,0.1195816,4.7603316e-06,4.6274708e-06,1.4397278e-06,-61.275276,4.7609515e-06
728.0,7.245128e-07,4.7610424e-06,0.11958335,4.7604335e-06,4.6301152e-06,1.4463637e-06,-61.275169,4.761052e-06
732.0,7.2783541e-07,4.7611429e-06,0.1195851,4.7605349e-06,4.6327091e-06,1.4529867e-06,-61.275063,4.7611525e-06
736.0,7.3115143e-07,4.7612434e-06,0.11958686,4.7606359e-06,4.6352538e-06,1.4595965e-06,-61.27496,4.761253e-06
740.0,7.3446091e-07,4.7613435e-06,0.11958859,4.7607373e-06,4.63775e-06,1.4661933e-06,-61.274853,4.761353e-06
744.0,7.3776391e-07,4.7614435e-06,0.11959033,4.7608382e-06,4.6401988e-06,1.4727773e-06,-61.27475,4.7614531e-06
748.0,7.4106038e-07,4.7615431e-06,0.11959207,4.7609387e-06,4.6426012e-06,1.4793482e-06,-61.274643,4.7615526e-06
752.0,7.4435036e-07,4.7616427e-06,0.11959381,4.7610397e-06,4.6449577e-06,1.4859061e-06,-61.27454,4.7616522e-06
756.0,7.4763386e-07,4.7617423e-06,0.11959554,4.7611397e-06,4.6472701e-06,1.4924512e-06,-61.274433,4.7617518e-06
760.0,7.5091089e-07,4.7618419e-06,0.11959726,4.7612402e-06,4.6495379e-06,1.4989834e-06,-61.27433,4.761851e-06
764.0,7.5418149e-07,4.761941e-06,0.11959898,4.7613403e-06,4.6517634e-06,1.5055027e-06,-61.274227,4.7619501e-06
768.0,7.5744566e-07,4.7620397e-06,0.1196007,4.7614403e-06,4.6539462e-06,1.5120092e-06,-61.274124,4.7620492e-06
772.0,7.6070341e-07,4.7621388e-06,0.11960242,4.7615399e-06,4.6560885e-06,1.5185029e-06,-61.274017,4.7621479e-06
776.0,7.6395469e-07,4.762237e-06,0.11960413,4.7616395e-06,4.6581899e-06,1.5249839e-06,-61.273914,4.7622466e-06
780.0,7.6719965e-07,4.7623357e-06,0.11960584,4.7617391e-06,4.6602513e-06,1.5314521e-06,-61.273811,4.7623453e-06
784.0,7.7043813e-07,4.7624339e-06,0.11960755,4.7618387e-06,4.6622745e-06,1.5379076e-06,-61.273708,4.7624435e-06
788.0,7.7367031e-07,4.7625322e-06,0.11960924,4.7619378e-06,4.664259e-06,1.5443503e-06,-61.273605,4.7625413e-06
792.0,7.7689612e-07,4.7626304e-06,0.11961095,4.7620365e-06,4.6662067e-06,1.5507803e-06,-61.273502,4.7626395e-06
796.0,7.8011556e-07,4.7627282e-06,0.11961264,4.7621356e-06,4.6681171e-06,1.5571978e-06,-61.273399,4.7627373e-06
800.0,7.8332863e-07,4.7628255e-06,0.11961433,4.7622339e-06,4.669992e-06,1.5636026e-06,-61.273296,4.762835e-06
