Time,M_Tumor_Cells,N_CTL,Z_THL,r_1,k_1,alpha_1,d_1,alpha_2,r_2,k_2,mu_1,mu_2,compartment,Tumor_Growth,Tumor_Killing_T_Cells,CTL_Recruitment,CTL_Death,CTL_Decay,THL_Growth,THL_Decay_IL_2,Tumor_Killing_ACI
6.0,2899886.3321927516,155293.53893465796,7486568.521457637,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,219243.27316771544,49581.73057489377,0.0,6398.093804107908,154.1041616959914,46101.593620835156,0.0,144994.31660963758
6.6,2914634.9962660726,151411.33484290878,7514128.243510086,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,218810.8015153716,48588.096167631724,0.0,6238.146995527842,151.01586292973275,45763.93997920297,0.0,145731.74981330364
7.2,2929270.8355030646,147625.737576118,7541485.010369883,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,218366.15579231406,47611.17801841378,0.0,6082.180388136062,147.97951969029242,45425.092158059735,0.0,146463.54177515322
7.8,2943780.459811278,143934.35834121026,7568638.132430088,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,217910.12052562882,46650.597788994244,0.0,5930.095563657863,144.99395607078867,45085.14045433387,0.0,147189.0229905639
8.4,2958151.550559038,140334.86681557982,7595586.974237623,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,217443.4976419326,45706.011605867185,0.0,5781.796512801889,142.0581032836308,44744.17423496156,0.0,147907.5775279519
9.0,2972372.8185952487,136824.98967679066,7622330.953910547,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,216967.1011290857,44777.10631220748,0.0,5637.189574683775,139.17098801123888,44402.281901998365,0.0,148618.64092976245
9.6,2986433.959104021,133402.50888200186,7648869.542675679,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,216481.75212349393,43863.59588131296,0.0,5496.1833659384765,136.33172125872204,44059.5508574186,0.0,149321.69795520106
10.2,3000325.631749485,130065.26219311317,7675202.263342521,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,215988.2734397212,42965.21920939944,0.0,5358.688802356262,133.5394914937011,43716.06748300728,0.0,150016.28158747425
10.8,3014039.440458615,126811.14366976643,7701328.688792425,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,215487.4843315078,42081.73811498842,0.0,5224.619119194377,130.7935584282383,43371.91712201215,0.0,150701.97202293074
11.4,3027567.824768211,123638.09630941469,7727248.4441873105,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,214980.19884969614,41212.93172544769,0.0,5093.889567947886,128.0932355717366,43027.184013010854,0.0,151378.39123841058
12.0,3040904.0433291304,120544.1128707773,7752961.205302303,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,214467.2213727671,40358.5951331325,0.0,4966.417450276025,125.43788605411392,42681.95127514622,0.0,152045.20216645653
12.6,3054042.1312464452,117527.2343739761,7778466.697958818,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,213949.34340494033,39518.537100704525,0.0,4842.122056207815,122.82691549374287,42336.30088041787,0.0,152702.10656232227
13.2,3066976.871900579,114585.54999884356,7803764.696807123,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,213427.340162274,38692.57861022071,0.0,4720.924659952355,120.25976748789763,41990.31363609825,0.0,153348.84359502894
13.8,3079703.8204222284,111717.20194902863,7828855.02179642,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,212901.96530116344,37880.55389078849,0.0,4602.74872029998,117.73592680679222,41644.06920086008,0.0,153985.19102111142
14.4,3092219.1653175578,108920.37475648918,7853737.541890753,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,212373.95256830068,37082.30430174608,0.0,4487.519439967355,115.25490038199372,41297.64600290815,0.0,154610.95826587788
15.0,3104519.7121909587,106193.29632397719,7878412.173318745,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,211844.0130326122,36297.67790960955,0.0,4375.163808547861,112.8162159915385,40951.12123320162,0.0,155225.98560954793
15.6,3116602.849361693,103534.23722687077,7902878.878633928,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,211312.83334172546,35526.52837212781,0.0,4265.610573747076,110.41941879148173,40604.57082915353,0.0,155830.14246808467
16.2,3128466.512116366,100941.50970485999,7927137.665929085,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,210781.0743533384,34768.71382063301,0.0,4158.790199840231,108.06406784214911,40258.06945751311,0.0,156423.3256058183
16.8,3140109.2353639943,98413.47226026311,7951188.585594393,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,210249.366004862,34024.09874946882,0.0,4054.63505712284,105.74974198063788,39911.690534030546,0.0,157005.46176819972
17.4,3151530.0230262307,95948.52263340053,7975031.732167427,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,209718.3106474358,33292.549936833515,0.0,3953.079132496102,103.47602714245622,39565.506171862355,0.0,157576.50115131156
18.0,3162728.3022748115,93545.09615911143,7998667.243825746,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,209188.48310510203,32573.935320074597,0.0,3854.0579617553913,101.24251286584494,39219.58716397594,0.0,158136.4151137406
18.6,3173703.9065014115,91201.66594552553,8022095.30108119,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,208660.4296691305,31868.123892331696,0.0,3757.508636955652,99.04879197053504,38874.00297839833,0.0,158685.19532507058
19.2,3184457.037215194,88916.74170985102,8045316.126063003,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,208134.66831143753,31174.98497944631,0.0,3663.369758445862,96.89445831032269,38528.82174623452,0.0,159222.85186075972
19.8,3194988.343658812,86688.87249870025,8068329.980369867,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,207611.68327842173,30494.39008112577,0.0,3571.5815469464505,94.77911249556077,38184.11027233046,0.0,159749.4171829406
20.4,3205298.8499600324,84516.64437731309,8091137.1647754265,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,207091.92716082203,29826.211443061602,0.0,3482.085748345299,92.7023574551833,37839.93401993315,0.0,160264.94249800162
21.0,3215389.81385489,82398.67586074014,8113738.019765708,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,206575.826912376,29170.319320456787,0.0,3394.825445462494,90.66378993151966,37496.35708345056,0.0,160769.4906927445
21.6,3225262.754355175,80333.61891994326,8136132.924022682,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,206063.78173722525,28526.582895658576,0.0,3309.745099501662,88.66300333237389,37153.44219300931,0.0,161263.13771775877
22.2,3234919.4181229235,78320.15796531615,8158322.293652963,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,205556.16415917108,27894.8699215534,0.0,3226.790508171025,86.69958662266643,36811.25070906598,0.0,161745.9709061462
22.8,3244361.825237495,76357.01059735549,8180306.580944826,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,205053.31703264776,27275.04770687178,0.0,3145.9088366110464,84.773127386844,36469.842625437625,0.0,162218.09126187477
23.4,3253592.3427530234,74442.92897590085,8202086.272960109,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,204555.54891398436,26666.98450005961,0.0,3067.0486738071154,82.8832161300672,36129.276576275086,0.0,162679.6171376512
24.0,3262613.41700766,72576.69359374185,8223661.892153544,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,204063.14794319644,26070.545340337663,0.0,2990.159776062164,81.02943338295685,35789.60981243873,0.0,163130.670850383
24.6,3271427.6397239664,70757.11447987604,8245033.995008968,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,203576.3782801168,25485.593479825384,0.0,2915.193116570893,79.21135412167345,35450.89820952854,0.0,163571.38198619834
25.2,3280037.724759052,68983.03041397463,8266203.171206376,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,203095.48132629794,24911.990328076765,0.0,2842.1008530557547,77.42854759553015,35113.19626878347,0.0,164001.88623795263
25.8,3288446.5121798078,67253.308613873,8287170.042738539,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,202620.67550753383,24349.595786637103,0.0,2770.836314891568,75.68057836682304,34776.557119799676,0.0,164422.3256089904
26.4,3296657.1178527577,65566.84704411663,8307935.262674533,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,202152.14771668334,23798.27057164683,0.0,2701.354098217605,73.96701352967797,34441.03252998821,0.0,164832.8558926379
27.0,3304672.6855750186,63922.56956535137,8328499.514887689,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,201690.06728722152,23257.87297674586,0.0,2633.6098660924763,72.28741264888677,34106.67289951144,0.0,165233.63427875095
27.6,3312496.413394828,62319.42602250337,8348863.513118234,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,201234.58481593948,22728.259557798778,0.0,2567.560352127139,70.6413298880903,33773.52726773822,0.0,165624.8206697414
28.2,3320131.552705389,60756.39184254318,8369028.000101998,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,200785.83250525373,22209.285415704086,0.0,2503.163343912779,69.02831488877328,33441.64331959537,0.0,166006.57763526947
28.8,3327581.424586029,59232.46788919637,8388993.74680029,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,200343.92348448574,21700.80467284066,0.0,2440.3776770348904,67.44791425109968,33111.067391163895,0.0,166379.07122930145
29.4,3334849.4805472074,57746.68105285944,8408761.551694084,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,199908.9484138821,21202.67147330114,0.0,2379.163259377809,65.89967464272162,32781.84447504575,0.0,166742.47402736038
30.0,3341939.1458412632,56298.0812404052,8428332.239763362,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,199480.985089203,20714.738244790104,0.0,2319.480947104694,64.38313739661375,32454.01823180787,0.0,167096.95729206316
30.6,3348853.8508068873,54885.74147830704,8447706.661738731,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,199060.0970389315,20236.856370112582,0.0,2261.29254890625,62.89784059811559,32127.63099777582,0.0,167442.69254034437
31.2,3355597.019008008,53508.75730039795,8466885.693290466,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,198646.33467832595,19768.87629633302,0.0,2204.5608007763954,61.44331942420673,31802.723794661804,0.0,167779.8509504004
31.8,3362172.1245210813,52166.24723497774,8485870.234430054,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,198239.732197157,19310.64844260431,0.0,2149.249386081083,60.01910896511531,31479.336336350676,0.0,168108.60622605408
32.4,3368582.7151891612,50857.35274950258,8504661.208810464,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,197840.3064074865,18862.023655288984,0.0,2095.3229332795063,58.62474563887276,31157.507038074997,0.0,168429.13575945806
33.0,3374832.2637463883,49581.23545189251,8523259.562514244,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,197448.06637110127,18422.851674047786,0.0,2042.7469006179715,57.25976242378885,30837.273035122253,0.0,168741.61318731942
33.6,3380924.2172566624,48337.077452548256,8541666.263431715,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,197063.01084422655,17992.981932155526,0.0,1991.4875910449882,55.92369134590028,30518.6701922506,0.0,169046.21086283313
34.2,3386861.9870581604,47124.080779186974,8559882.300464364,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,196685.12937280507,17572.26364105612,0.0,1941.5121281025033,54.61606374177479,30201.733116759337,0.0,169343.09935290803
34.8,3392649.015205758,45941.46816675639,8577908.683295123,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,196314.3984834788,17160.54676830911,0.0,1892.7884884703635,53.33641329805066,29886.495162303323,0.0,169632.45076028793
35.4,3398288.7334951796,44788.48191811242,8595746.441366244,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,195950.78464592254,16757.681703543407,0.0,1845.2854550262316,52.08427501319304,29572.988447034877,0.0,169914.436674759
36.0,3403784.501904949,43664.38239504024,8613396.622705292,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,195594.24866819123,16363.518703771968,0.0,1798.9725546756579,50.85918347348563,29261.243875203883,0.0,170189.22509524747
36.6,3409139.6336188014,42568.44806426319,8630860.29338989,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,195244.74455700497,15977.908356471302,0.0,1753.8200602476434,49.660674292320444,28951.291148217464,0.0,170456.98168094008
37.2,3414357.390726875,41499.97503308832,8648138.53681675,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,194902.2202328331,15600.701686259568,0.0,1709.7989713632387,48.48828444176226,28643.15877967174,0.0,170717.86953634376
37.8,3419441.0413840753,40458.27800148361,8665232.453820677,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,194566.61417106842,15231.751058446149,0.0,1666.8810536611247,47.34155506085625,28336.874095676165,0.0,170972.05206920378
38.4,3424393.798219864,39442.6884773019,8682143.16115125,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,194237.85980925555,14870.909488527655,0.0,1625.0387652648383,46.220029309483785,28032.463264928327,0.0,171219.6899109932
39.0,3429218.803918764,38452.55407867021,8698871.790601866,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,193915.88691997615,14518.030587731222,0.0,1584.2452280412126,45.123252199106496,27729.95131788987,0.0,171460.94019593822
39.6,3433919.1411999892,37487.2383987169,8715419.488476247,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,193600.62135720986,14172.968818237741,0.0,1544.4742220271364,44.05077138602139,27429.362160394714,0.0,171695.95705999946
40.2,3438497.836204682,36546.12071763593,8731787.414999796,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,193291.98521180867,13835.579646720214,0.0,1505.7001735666004,43.002137648570915,27130.718588660384,0.0,171924.8918102341
40.8,3442957.9122555936,35628.596871320944,8747976.744645556,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,192989.8935257246,13505.720321024794,0.0,1467.898191098423,41.97690730113247,26834.04228791043,0.0,172147.89561277968
41.4,3447302.31696912,34734.077212123004,8763988.664160622,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,192694.25952953775,13183.249020110068,0.0,1431.0439811394679,40.974639552058726,26539.353873372318,0.0,172365.11584845601
42.0,3451533.930737454,33861.98643789598,8779824.372069994,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,192404.9944315919,12868.0250462979,0.0,1395.1138412413145,39.994897101209276,26246.6729049489,0.0,172576.6965368727
42.6,3455655.5717275357,33011.76334106642,8795485.07811719,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,192122.0074161402,12559.908959823979,0.0,1360.0846496519366,39.03724655814501,25956.017903384884,0.0,172782.7785863768
43.2,3459670.0033588344,32182.860718011572,8810972.002901362,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,191845.20544751713,12258.762771106638,0.0,1325.9338615820768,38.101259039715636,25667.40636309984,0.0,172983.50016794173
43.8,3463579.9608049416,31374.745909954727,8826286.37814514,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,191574.49172886528,11964.450427118167,0.0,1292.6395314901347,37.18651168174239,25380.85475343133,0.0,173178.9980402471
44.4,3467388.1048427587,30586.898932080632,8841429.444553701,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,191309.7691659145,11676.837112275758,0.0,1260.180236001722,36.292585466128656,25096.378565163814,0.0,173369.40524213796
45.0,3471097.0344846803,29818.81255401996,8856402.451622771,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,191050.93978614215,11395.789500275268,0.0,1228.5350772256224,35.419066003580355,24813.992321238806,0.0,173554.85172423403
45.6,3474709.2877399493,29069.991986267883,8871206.657053059,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,190797.9049581653,11121.175803528122,0.0,1197.6836698342368,34.56554368725998,24533.709595050797,0.0,173735.46438699748
46.2,3478227.3534129704,28339.955128029953,8885843.326857211,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,190550.5648212476,10852.866064001177,0.0,1167.606151274834,33.731614596741174,24255.54301584224,0.0,173911.36767064853
46.8,3481653.6716845757,27628.232273678022,8900313.734811833,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,190308.81847925484,10590.732190792372,0.0,1138.2831696755345,32.916880614797,23979.504286593514,0.0,174082.6835842288
47.4,3484990.616604576,26934.364946155358,8914619.160853365,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,190072.56546723377,10334.647602081166,0.0,1109.6958357816009,32.120948314551995,23705.60422242525,0.0,174249.53083022882
48.0,3488240.5039852033,26257.90595635433,8928760.890957046,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,189841.70542619057,10084.487410857524,0.0,1081.8257254017985,31.343429536743372,23433.85276113168,0.0,174412.02519926018
48.6,3491405.5919394973,25598.419110511008,8942740.21659755,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,189616.13828175943,9840.128445360118,0.0,1054.6548673530535,30.583941453244616,23164.258981839546,0.0,174570.27959697487
49.2,3494488.097533815,24955.479751421157,8956558.43535779,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,189395.76325908865,9601.44962825057,0.0,1028.1657657585517,29.842107745570797,22896.83110161782,0.0,174724.40487669077
49.8,3497490.1824593716,24328.673696576396,8970216.849330356,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,189180.48009229806,9368.331644404288,0.0,1002.3413562989475,29.117557572344662,22631.57651476869,0.0,174874.5091229686
50.4,3500413.9510256597,23717.596813884073,8983716.764396874,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,188970.1893573562,9140.656885610582,0.0,977.1649887320239,28.409925397419993,22368.50181560509,0.0,175020.697551283
51.0,3503261.4543456268,23121.85491777318,8997059.489948515,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,188764.7923520747,8918.309529813372,0.0,952.6204226122551,27.718851236168355,22107.612812840674,0.0,175163.07271728135
51.6,3506034.6924779364,22541.0636492255,9010246.338619325,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,188564.19111110969,8701.175602665126,0.0,928.6918223480906,27.04398084679388,21848.91454379622,0.0,175301.73462389683
52.2,3508735.621634655,21974.848876617725,9023278.626837526,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,188368.28804323246,8489.143247180302,0.0,905.3637737166503,26.384966568438685,21592.411272539273,0.0,175436.78108173277
52.8,3511366.145306619,21422.845443029622,9036157.672779797,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,188176.98672459475,8282.102310149423,0.0,882.6212322528205,25.741466035723274,21338.106539128905,0.0,175568.30726533095
53.4,3513928.1175065404,20884.697159460324,9048884.796282353,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,187990.1918110672,8079.944435623451,0.0,860.4495229697653,25.113142469303767,21086.00317076235,0.0,175696.40587532704
54.0,3516423.344039241,20360.056595199992,9061461.318433465,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,187807.80908491515,7882.563070535081,0.0,838.8343317222397,24.49966469334337,20836.1032992283,0.0,175821.16720196206
54.6,3518853.5853374824,19848.58521067178,9073888.561772365,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,187629.74537921845,7689.853602092626,0.0,817.7617106796773,23.90070756254402,20588.40836633771,0.0,175942.67926687413
55.2,3521220.558219304,19349.953287567438,9086167.850135121,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,187455.90857292907,7501.713410175899,0.0,797.2180754477785,23.315952124997214,20342.91913627919,0.0,176061.0279109652
55.8,3523525.9329565093,18863.838977700852,9098300.506965669,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,187286.20792435823,7318.041564218229,0.0,777.1901658812751,22.74508468006792,20099.635738782115,0.0,176176.29664782548
56.4,3525771.3358064187,18389.928378696914,9110287.855415175,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,187120.55399896498,7138.738926200198,0.0,757.6650492023128,22.187797098507794,19858.55767678499,0.0,176288.56679032094
57.0,3527958.3502249997,17927.91537760573,9122131.218049807,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,186958.8586872971,6963.7081573165,0.0,738.630113557356,21.643786843176258,19619.683841889077,0.0,176397.91751125
57.6,3530088.519041786,17477.50172027474,9133831.916987566,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,186801.03514577885,6792.853810886669,0.0,720.0730708753193,21.11275725781488,19383.01252113252,0.0,176504.4259520893
58.2,3532163.3458358683,17038.39689367077,9145391.273679923,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,186646.99779046464,6626.082347857,0.0,701.9819520192358,20.594417615228572,19148.54141084093,0.0,176608.16729179342
58.8,3534184.2931306204,16610.317263377703,9156810.607279079,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,186496.66252230905,6463.30185361366,0.0,684.3450712511614,20.088482237117116,18916.26765926973,0.0,176709.21465653102
59.4,3536152.784854378,16192.986209873892,9168091.234901858,0.18,5000000.0,1.101e-07,0.0412,3.422e-10,0.0245,10000000.0,0.05,0.0,1.0,186349.94663178656,6304.4221482550665,0.0,667.1510318468044,19.594670836810938,18686.18787095904,0.0,176807.63924271893
