M_Tumor_Cells_1_task1,N_CTL_2_task1,Z_THL_3_task1,_1_task1
3455655.5717275357,33011.76334106642,8795485.07811719,42.6
3459670.0033588344,32182.860718011572,8810972.002901362,43.2
3463579.9608049416,31374.745909954727,8826286.37814514,43.8
3467388.1048427587,30586.898932080632,8841429.444553701,44.4
3471097.0344846803,29818.81255401996,8856402.451622771,45.0
3474709.2877399493,29069.991986267883,8871206.657053059,45.6
3478227.3534129704,28339.955128029953,8885843.326857211,46.2
3481653.6716845757,27628.232273678022,8900313.734811833,46.8
3484990.616604576,26934.364946155358,8914619.160853365,47.4
3488240.5039852033,26257.90595635433,8928760.890957046,48.0
3491405.5919394973,25598.419110511008,8942740.21659755,48.6
3494488.097533815,24955.479751421157,8956558.43535779,49.2
3497490.1824593716,24328.673696576396,8970216.849330356,49.8
3500413.9510256597,23717.596813884073,8983716.764396874,50.4
3503261.4543456268,23121.85491777318,8997059.489948515,51.0
3506034.6924779364,22541.0636492255,9010246.338619325,51.6
3508735.621634655,21974.848876617725,9023278.626837526,52.2
3511366.145306619,21422.845443029622,9036157.672779797,52.8
3513928.1175065404,20884.697159460324,9048884.796282353,53.4
3516423.344039241,20360.056595199992,9061461.318433465,54.0
3518853.5853374824,19848.58521067178,9073888.561772365,54.6
3521220.558219304,19349.953287567438,9086167.850135121,55.2
3523525.9329565093,18863.838977700852,9098300.506965669,55.8
3525771.3358064187,18389.928378696914,9110287.855415175,56.4
3527958.3502249997,17927.91537760573,9122131.218049807,57.0
3530088.519041786,17477.50172027474,9133831.916987566,57.6
3532163.3458358683,17038.39689367077,9145391.273679923,58.2
3534184.2931306204,16610.317263377703,9156810.607279079,58.8
3536152.784854378,16192.986209873892,9168091.234901858,59.4
3538070.2071093055,15786.134043222271,9179234.47149705,60.0
