T,CAI,D,F,H,IAPP,IK,IK1,IKP,IKTOT,INA,ISI,J,M,V,X
78.0,0.0061659925,0.92365736,0.86337256,0.0,0.0,0.53030324,1.9035532e-06,1.2017251,1.7320303,-0.0,-4.487309,1.3910029e-07,0.99850422,11.477012,0.126422
80.0,0.0062109306,0.92874765,0.85849339,0.0,0.0,0.54760993,1.9583194e-06,1.1943427,1.7419547,-0.0,-4.4863434,7.6862236e-08,0.99848944,11.385139,0.13056135
82.0,0.0062497212,0.93326533,0.85363257,0.0,0.0,0.56476724,2.023218e-06,1.1858339,1.7506032,-0.0,-4.4843965,4.2474753e-08,0.99847221,11.279534,0.1346681
84.0,0.0062829931,0.93726861,0.84878892,0.0,0.0,0.58177036,2.0981222e-06,1.1763177,1.7580901,-0.0,-4.4815564,2.3473953e-08,0.99845278,11.161777,0.13874103
86.0,0.0063113077,0.94080997,0.84396136,0.0,0.0,0.59861511,2.1830256e-06,1.1659008,1.7645181,-0.0,-4.4779005,1.2974287e-08,0.99843132,11.033273,0.14277914
88.0,0.0063351672,0.94393653,0.83914888,0.0,0.0,0.61529827,2.2780252e-06,1.1546789,1.7699795,-0.0,-4.473496,7.1717743e-09,0.99840784,10.895278,0.14678161
90.0,0.0063550202,0.94669068,0.83435076,0.0,0.0,0.63181716,2.3833102e-06,1.1427377,1.7745574,-0.0,-4.4684029,3.9647823e-09,0.99838263,10.748903,0.15074776
92.0,0.0063712667,0.94911033,0.82956636,0.0,0.0,0.64816993,2.4991521e-06,1.1301543,1.7783266,-0.0,-4.4626737,2.1921243e-09,0.99835563,10.595136,0.15467709
94.0,0.0063842637,0.95122957,0.82479495,0.0,0.0,0.66435492,2.6258988e-06,1.1169976,1.7813551,-0.0,-4.4563565,1.2121808e-09,0.99832702,10.434845,0.15856919
96.0,0.0063943304,0.95307893,0.82003611,0.0,0.0,0.68037111,2.7639705e-06,1.1033301,1.783704,-0.0,-4.4494944,6.7039252e-10,0.99829686,10.268799,0.16242376
98.0,0.0064017517,0.95468569,0.81528938,0.0,0.0,0.69621783,2.9138571e-06,1.0892081,1.7854289,-0.0,-4.4421258,3.7081166e-10,0.99826515,10.097673,0.1662406
100.0,0.0064067822,0.9560743,0.81055444,0.0,0.0,0.71189475,3.0761164e-06,1.0746822,1.7865801,-0.0,-4.4342852,2.0513652e-10,0.99823195,9.9220638,0.1700196
102.0,0.0064096493,0.95726657,0.80583102,0.0,0.0,0.72740173,3.2513749e-06,1.0597984,1.7872034,-0.0,-4.4260049,1.1350124e-10,0.99819738,9.7424889,0.1737607
104.0,0.0064105564,0.95828211,0.80111879,0.0,0.0,0.74273896,3.4403288e-06,1.0445982,1.7873406,-0.0,-4.4173131,6.2810028e-11,0.99816144,9.5594053,0.1774639
106.0,0.0064096851,0.95913833,0.79641759,0.0,0.0,0.75790685,3.6437461e-06,1.0291195,1.7870301,-0.0,-4.4082375,3.4764077e-11,0.99812406,9.37321,0.18112928
108.0,0.0064071985,0.95985085,0.79172724,0.0,0.0,0.77290595,3.8624694e-06,1.0133966,1.7863064,-0.0,-4.3988008,1.9244569e-11,0.99808538,9.1842499,0.18475693
110.0,0.0064032432,0.96043354,0.78704762,0.0,0.0,0.78773683,4.0974201e-06,0.99746078,1.7852017,-0.0,-4.3890262,1.065526e-11,0.99804538,8.9928246,0.18834698
112.0,0.0063979491,0.96089894,0.78237867,0.0,0.0,0.80240035,4.3496025e-06,0.98134059,1.7837453,-0.0,-4.3789334,5.9006597e-12,0.99800402,8.7991934,0.19189963
114.0,0.006391434,0.96125799,0.77772027,0.0,0.0,0.81689739,4.6201098e-06,0.96506214,1.7819642,-0.0,-4.3685417,3.268288e-12,0.99796134,8.6035805,0.19541503
116.0,0.0063838032,0.96152067,0.77307236,0.0,0.0,0.83122885,4.9101304e-06,0.94864935,1.7798831,-0.0,-4.3578682,1.8106129e-12,0.99791729,8.4061766,0.19889343
118.0,0.0063751512,0.96169573,0.76843494,0.0,0.0,0.84539586,5.2209543e-06,0.9321242,1.7775253,-0.0,-4.3469286,1.0032724e-12,0.99787194,8.2071438,0.20233504
120.0,0.0063655637,0.9617911,0.76380801,0.0,0.0,0.85939944,5.5539817e-06,0.91550678,1.7749118,-0.0,-4.3357372,5.5603552e-13,0.99782521,8.0066195,0.20574012
122.0,0.0063551171,0.96181369,0.75919157,0.0,0.0,0.87324065,5.9107329e-06,0.89881581,1.7720624,-0.0,-4.3243084,3.082329e-13,0.99777704,7.804718,0.20910893
124.0,0.0063438802,0.96176976,0.75458562,0.0,0.0,0.88692063,6.2928561e-06,0.88206846,1.7689954,-0.0,-4.312654,1.7090341e-13,0.99772751,7.6015344,0.21244174
126.0,0.0063319155,0.9616648,0.74999017,0.0,0.0,0.90044051,6.7021419e-06,0.86528057,1.7657279,-0.0,-4.3007855,9.4780764e-14,0.99767655,7.3971453,0.2157388
128.0,0.0063192793,0.96150374,0.74540526,0.0,0.0,0.91380143,7.1405316e-06,0.84846699,1.7622756,-0.0,-4.2887144,5.257629e-14,0.99762416,7.1916103,0.2190004
130.0,0.0063060224,0.9612909,0.74083096,0.0,0.0,0.92700452,7.6101355e-06,0.8316415,1.7586536,-0.0,-4.2764502,2.917175e-14,0.99757022,6.9849768,0.22222681
132.0,0.0062921904,0.96103019,0.73626733,0.0,0.0,0.94005084,8.1132448e-06,0.81481683,1.7548758,-0.0,-4.2640023,1.6189761e-14,0.99751478,6.777277,0.22541833
134.0,0.0062778257,0.96072489,0.73171437,0.0,0.0,0.9529416,8.6523505e-06,0.79800504,1.7509552,-0.0,-4.251379,8.987244e-15,0.99745768,6.5685344,0.22857521
136.0,0.0062629655,0.96037805,0.7271722,0.0,0.0,0.96567774,9.2301625e-06,0.7812174,1.7469044,-0.0,-4.2385883,4.9902628e-15,0.99739903,6.3587599,0.23169774
138.0,0.0062476438,0.95999229,0.72264087,0.0,0.0,0.97826046,9.8496284e-06,0.76446456,1.7427349,-0.0,-4.2256384,2.7716216e-15,0.99733865,6.1479568,0.23478618
140.0,0.0062318924,0.95956999,0.7181204,0.0,0.0,0.99069071,1.051396e-05,0.74775648,1.7384577,-0.0,-4.2125349,1.5397883e-15,0.99727654,5.9361191,0.23784082
142.0,0.0062157391,0.959113,0.71361095,0.0,0.0,1.0029695,1.1226656e-05,0.73110265,1.7340834,-0.0,-4.199285,8.556724700000001e-16,0.99721265,5.7232337,0.24086192
144.0,0.0061992095,0.95862317,0.70911252,0.0,0.0,1.0150979,1.1991535e-05,0.71451205,1.7296219,-0.0,-4.185895,4.7563817e-16,0.99714684,5.5092812,0.24384974
146.0,0.0061823274,0.95810193,0.70462531,0.0,0.0,1.0270766,1.2812763e-05,0.69799328,1.7250828,-0.0,-4.1723695,2.6446701000000003e-16,0.99707913,5.2942352,0.24680452
148.0,0.0061651142,0.95755059,0.70014924,0.0,0.0,1.0389067,1.3694891e-05,0.68155462,1.720475,-0.0,-4.1587148,1.4709413e-16,0.99700946,5.0780644,0.24972653
150.0,0.0061475891,0.95697016,0.69568449,0.0,0.0,1.0505891,1.4642897e-05,0.66520375,1.7158074,-0.0,-4.1449347,8.183734600000001e-17,0.99693763,4.8607321,0.25261602
152.0,0.0061297701,0.95636159,0.69123107,0.0,0.0,1.0621244,1.5662228e-05,0.64894831,1.7110884,-0.0,-4.1310344,4.5545302e-17,0.9968636,4.6421967,0.25547323
154.0,0.006111674,0.95572561,0.68678921,0.0,0.0,1.0735135,1.675885e-05,0.63279563,1.7063259,-0.0,-4.1170177,2.5355673e-17,0.99678737,4.4224129,0.25829834
156.0,0.0060933148,0.95506275,0.68235886,0.0,0.0,1.0847571,1.7939301e-05,0.61675262,1.7015277,-0.0,-4.1028886,1.4120497e-17,0.99670875,4.2013307,0.26109165
158.0,0.0060747066,0.95437342,0.67794013,0.0,0.0,1.095856,1.9210764e-05,0.6008262,1.6967014,-0.0,-4.0886502,7.8663272e-18,0.99662763,3.9788966,0.26385331
160.0,0.0060558622,0.95365798,0.6735332,0.0,0.0,1.1068106,2.0581119e-05,0.58502287,1.6918541,-0.0,-4.074307,4.3837454e-18,0.99654394,3.7550535,0.26658359
162.0,0.0060367929,0.9529165,0.66913807,0.0,0.0,1.1176217,2.2059039e-05,0.56934917,1.686993,-0.0,-4.0598612,2.4438474e-18,0.99645758,3.5297415,0.26928264
164.0,0.0060175089,0.95214909,0.66475487,0.0,0.0,1.1282898,2.3654065e-05,0.55381137,1.6821247,-0.0,-4.0453157,1.3628962e-18,0.99636841,3.3028972,0.27195069
166.0,0.0059980205,0.95135576,0.6603837,0.0,0.0,1.1388153,2.537671e-05,0.53841549,1.6772562,-0.0,-4.0306735,7.6035419e-19,0.99627626,3.0744541,0.27458793
168.0,0.0059783366,0.95053625,0.65602463,0.0,0.0,1.1491988,2.723857e-05,0.52316767,1.6723937,-0.0,-4.0159369,4.2436387e-19,0.99618101,2.8443432,0.27719453
170.0,0.0059584645,0.94969034,0.65167785,0.0,0.0,1.1594405,2.9252447e-05,0.50807381,1.6675435,-0.0,-4.0011072,2.3693821e-19,0.99608254,2.6124926,0.27977064
172.0,0.0059384126,0.94881767,0.6473434,0.0,0.0,1.1695409,3.143249e-05,0.49313959,1.6627119,-0.0,-3.9861877,1.3234614999999999e-19,0.99598068,2.3788283,0.28231645
174.0,0.0059181871,0.94791788,0.6430214,0.0,0.0,1.1795001,3.3794357e-05,0.47837076,1.6579047,-0.0,-3.9711795,7.3955834e-20,0.99587524,2.1432734,0.28483212
176.0,0.0058977949,0.94699043,0.63871205,0.0,0.0,1.1893187,3.6355388e-05,0.46377289,1.6531279,-0.0,-3.956084,4.1345107e-20,0.99576604,1.9057484,0.28731775
178.0,0.005877241,0.94603467,0.63441533,0.0,0.0,1.1989964,3.9134822e-05,0.44935149,1.6483871,-0.0,-3.9409029,2.3124501e-20,0.99565291,1.6661723,0.28977355
180.0,0.0058565307,0.94504994,0.63013148,0.0,0.0,1.2085338,4.2154006e-05,0.435112,1.643688,-0.0,-3.9256375,1.2939675e-20,0.99553561,1.424461,0.29219964
182.0,0.0058356696,0.94403547,0.62586057,0.0,0.0,1.2179307,4.5436678e-05,0.4210597,1.6390358,-0.0,-3.9102883,7.2440867e-21,0.99541396,1.180529,0.29459611
184.0,0.0058146608,0.94299048,0.62160283,0.0,0.0,1.227187,4.900925e-05,0.40719989,1.634436,-0.0,-3.8948565,4.0575132e-21,0.99528772,0.93428797,0.2969631
186.0,0.0057935091,0.9419139,0.61735833,0.0,0.0,1.2363031,5.2901141e-05,0.3935377,1.6298937,-0.0,-3.8793426,2.2738375000000003e-21,0.99515665,0.6856482,0.2993007
188.0,0.0057722172,0.9408049,0.61312729,0.0,0.0,1.2452785,5.7145186e-05,0.38007826,1.6254139,-0.0,-3.8637471,1.2749394e-21,0.99502045,0.43451753,0.30160904
190.0,0.0057507888,0.93966228,0.60890985,0.0,0.0,1.2541132,6.1778032e-05,0.36682647,1.6210015,-0.0,-3.8480704,7.1525036000000005e-22,0.99487889,0.18080215,0.3038882
192.0,0.0057292259,0.93848491,0.60470623,0.0,0.0,1.262807,6.6840679e-05,0.35378733,1.6166612,-0.0,-3.8323123,4.014887e-22,0.99473161,-0.075593643,0.30613825
194.0,0.0057075317,0.93727154,0.60051662,0.0,0.0,1.2713597,7.2379022e-05,0.34096554,1.6123976,-0.0,-3.8164728,2.254986e-22,0.99457836,-0.33476731,0.3083593
196.0,0.0056857076,0.93602085,0.59634119,0.0,0.0,1.2797707,7.8444493e-05,0.32836583,1.6082151,-0.0,-3.8005514,1.2672976e-22,0.9944188,-0.59681797,0.31055138
198.0,0.0056637553,0.93473136,0.59218025,0.0,0.0,1.2880399,8.5094849e-05,0.31599277,1.6041178,-0.0,-3.784548,7.1266792e-23,0.99425244,-0.86184633,0.31271461
200.0,0.0056416765,0.93340164,0.58803397,0.0,0.0,1.2961667,9.239497e-05,0.3038508,1.6001098,-0.0,-3.7684617,4.0103243e-23,0.99407905,-1.1299545,0.31484896
202.0,0.0056194714,0.93203002,0.58390278,0.0,0.0,1.3041506,0.00010041788,0.29194418,1.5961951,-0.0,-3.7522919,2.2582185e-23,0.99389815,-1.4012461,0.31695455
204.0,0.005597142,0.93061483,0.57978678,0.0,0.0,1.311991,0.00010924586,0.2802771,1.5923773,-0.0,-3.736037,1.2724993e-23,0.99370927,-1.6758257,0.31903139
206.0,0.0055746874,0.92915434,0.5756864,0.0,0.0,1.3196871,0.00011897171,0.26885352,1.5886596,-0.0,-3.7196965,7.1757265e-24,0.99351197,-1.9537995,0.32107952
208.0,0.0055521084,0.92764658,0.57160199,0.0,0.0,1.3272386,0.00012970029,0.25767729,1.5850456,-0.0,-3.7032683,4.0495153e-24,0.99330568,-2.2352738,0.32309896
210.0,0.0055294051,0.92608953,0.56753391,0.0,0.0,1.3346443,0.00014155018,0.24675198,1.5815378,-0.0,-3.6867514,2.2870823e-24,0.99308997,-2.5203567,0.32508972
212.0,0.005506576,0.92448121,0.56348258,0.0,0.0,1.3419036,0.00015465572,0.23608105,1.5781393,-0.0,-3.6701434,1.2927531000000001e-24,0.99286413,-2.8091557,0.32705182
214.0,0.0054836213,0.92281932,0.55944842,0.0,0.0,1.3490155,0.00016916922,0.22566767,1.5748523,-0.0,-3.6534429,7.3133870000000005e-25,0.99262762,-3.1017799,0.32898524
216.0,0.0054605394,0.92110157,0.55543202,0.0,0.0,1.355979,0.00018526366,0.21551478,1.571679,-0.0,-3.6366477,4.1410025999999995e-25,0.99237972,-3.3983374,0.33088997
218.0,0.0054373294,0.91932559,0.5514338,0.0,0.0,1.362793,0.00020313571,0.20562509,1.5686213,-0.0,-3.6197553,2.3468867999999997e-25,0.99211973,-3.6989369,0.33276606
220.0,0.0054139895,0.91748869,0.54745448,0.0,0.0,1.3694565,0.00022300931,0.19600101,1.5656805,-0.0,-3.6027632,1.3313580999999999e-25,0.99184692,-4.0036864,0.33461341
222.0,0.0053905179,0.91558826,0.54349458,0.0,0.0,1.3759683,0.00024513967,0.18664467,1.5628581,-0.0,-3.585669,7.5601625e-26,0.99156034,-4.3126931,0.33643204
224.0,0.0053669121,0.91362143,0.53955489,0.0,0.0,1.3823271,0.00026981821,0.17755789,1.5601548,-0.0,-3.5684702,4.2975318e-26,0.99125928,-4.6260638,0.33822191
226.0,0.0053431704,0.91158539,0.53563613,0.0,0.0,1.3885314,0.00029737788,0.16874215,1.5575711,-0.0,-3.5511637,2.4455582000000002e-26,0.9909426,-4.9439025,0.33998296
228.0,0.0053192899,0.90947694,0.53173918,0.0,0.0,1.3945802,0.00032819973,0.1601986,1.555107,-0.0,-3.5337465,1.3932469999999998e-26,0.99060941,-5.2663131,0.34171516
230.0,0.0052952673,0.9072929,0.52786493,0.0,0.0,1.4004718,0.00036272031,0.15192802,1.5527625,-0.0,-3.516216,7.946771400000001e-27,0.99025857,-5.5933962,0.34341845
232.0,0.0052711009,0.90502995,0.52401447,0.0,0.0,1.4062046,0.00040144043,0.14393085,1.5505369,-0.0,-3.498569,4.5382482000000006e-27,0.98988891,-5.9252501,0.3450928
234.0,0.0052467864,0.90268451,0.52018881,0.0,0.0,1.4117771,0.00044493517,0.13620709,1.5484291,-0.0,-3.4808023,2.5950419000000003e-27,0.98949909,-6.2619696,0.3467381
236.0,0.005222321,0.900253,0.51638919,0.0,0.0,1.4171877,0.00049386581,0.12875636,1.546438,-0.0,-3.462913,1.4858806000000001e-27,0.98908788,-6.6036463,0.34835431
238.0,0.0051977015,0.8977316,0.51261693,0.0,0.0,1.4224347,0.00054899335,0.12157788,1.5445615,-0.0,-3.4448986,8.519871100000001e-28,0.98865378,-6.950367,0.34994131
240.0,0.0051729237,0.89511639,0.50887346,0.0,0.0,1.4275162,0.00061119488,0.11467044,1.5427978,-0.0,-3.4267559,4.8923705e-28,0.98819512,-7.3022141,0.35149908
242.0,0.0051479847,0.89240324,0.50516045,0.0,0.0,1.4324304,0.00068148173,0.10803241,1.5411444,-0.0,-3.4084823,2.8136606e-28,0.98771036,-7.659265,0.35302752
244.0,0.0051228809,0.88958788,0.50147951,0.0,0.0,1.4371755,0.00076102174,0.10166171,1.5395982,-0.0,-3.3900757,1.6207673000000001e-28,0.98719758,-8.0215902,0.35452652
246.0,0.0050976081,0.886666,0.49783257,0.0,0.0,1.4417496,0.00085116411,0.095555849,1.5381565,-0.0,-3.3715339,9.351864399999999e-29,0.98665488,-8.3892536,0.35599598
248.0,0.0050721639,0.88363296,0.49422172,0.0,0.0,1.4461505,0.00095346925,0.089711882,1.5368159,-0.0,-3.3528554,5.405525599999999e-29,0.98608023,-8.762311,0.35743582
250.0,0.0050465441,0.8804841,0.49064916,0.0,0.0,1.4503764,0.0010697428,0.084126443,1.5355725,-0.0,-3.3340387,3.1302224e-29,0.98547131,-9.1408129,0.35884595
252.0,0.005020747,0.87721467,0.48711738,0.0,0.0,1.4544251,0.0012020759,0.078795739,1.534423,-0.0,-3.3150837,1.8161303e-29,0.98482579,-9.5247965,0.36022627
254.0,0.0049947686,0.87381959,0.48362902,0.0,0.0,1.4582946,0.0013528909,0.07371556,1.5333631,-0.0,-3.29599,1.0558255999999999e-29,0.98414111,-9.9142914,0.36157665
256.0,0.0049686078,0.87029392,0.48018697,0.0,0.0,1.461983,0.0015249959,0.068881311,1.5323892,-0.0,-3.2767589,6.1510821000000004e-30,0.98341447,-10.309319,0.36289701
258.0,0.0049422625,0.86663228,0.47679442,0.0,0.0,1.4654877,0.0017216461,0.064287975,1.5314974,-0.0,-3.2573917,3.5914309e-30,0.98264301,-10.709884,0.36418721
260.0,0.004915732,0.86282957,0.47345477,0.0,0.0,1.468807,0.001946616,0.059930198,1.5306838,-0.0,-3.2378914,2.1017681000000002e-30,0.9818235,-11.115982,0.36544716
262.0,0.0048890151,0.85888022,0.47017178,0.0,0.0,1.4719386,0.0022042824,0.055802252,1.5299451,-0.0,-3.218262,1.2329623e-30,0.98095262,-11.527596,0.36667678
264.0,0.0048621134,0.85477889,0.4669494,0.0,0.0,1.4748805,0.0024997189,0.051898096,1.5292783,-0.0,-3.1985085,7.2512198000000004e-31,0.98002684,-11.944696,0.36787593
266.0,0.0048350287,0.85052001,0.46379209,0.0,0.0,1.4776305,0.0028388046,0.048211373,1.5286807,-0.0,-3.1786375,4.2758174e-31,0.97904223,-12.367235,0.36904451
268.0,0.0048077628,0.84609807,0.46070445,0.0,0.0,1.4801867,0.0032283477,0.044735469,1.5281506,-0.0,-3.1586573,2.5282887e-31,0.9779948,-12.795154,0.37018245
270.0,0.0047803205,0.84150743,0.45769158,0.0,0.0,1.482547,0.0036762275,0.041463509,1.5276867,-0.0,-3.1385772,1.4992987000000001e-31,0.97688019,-13.228374,0.37128961
272.0,0.0047527067,0.8367427,0.45475897,0.0,0.0,1.4847095,0.00419155,0.038388416,1.5272895,-0.0,-3.1184094,8.917853200000001e-32,0.97569382,-13.666804,0.37236595
274.0,0.0047249296,0.8317982,0.45191246,0.0,0.0,1.4866724,0.0047848276,0.035502922,1.5269601,-0.0,-3.0981669,5.3211032e-32,0.9744308,-14.110339,0.3734113
276.0,0.0046969973,0.82666868,0.44915828,0.0,0.0,1.4884338,0.0054681757,0.03279962,1.5267017,-0.0,-3.0778654,3.1854642000000003e-32,0.97308594,-14.558854,0.37442565
278.0,0.0046689212,0.82134873,0.44650313,0.0,0.0,1.4899921,0.0062555294,0.030270977,1.5265187,-0.0,-3.0575225,1.9135326000000002e-32,0.97165382,-15.012211,0.37540889
280.0,0.0046407138,0.81583321,0.44395411,0.0,0.0,1.4913458,0.007162882,0.027909392,1.5264181,-0.0,-3.0371578,1.1535998e-32,0.97012866,-15.470258,0.37636092
282.0,0.0046123904,0.81011719,0.44151884,0.0,0.0,1.4924932,0.0082085393,0.025707213,1.5264089,-0.0,-3.0167933,6.9806592e-33,0.96850431,-15.932828,0.37728176
284.0,0.0045839683,0.80419582,0.43920526,0.0,0.0,1.493433,0.009413396,0.023656776,1.5265031,-0.0,-2.9964528,4.240597e-33,0.9667744,-16.399744,0.37817127
