data_set_T_baseline,data_set_EXC2_baseline,data_set_FV1_baseline,data_set_FV2_baseline,data_set_FV3_baseline,data_set_FV4_baseline,data_set_H1_baseline,data_set_H2_baseline,data_set_H3_baseline,data_set_H4_baseline,data_set_INH1_baseline,data_set_INH2_baseline,data_set_INH3_baseline,data_set_INH4_baseline,data_set_M2_baseline,data_set_M3_baseline,data_set_M4_baseline,data_set_V1_baseline,data_set_V2_baseline,data_set_V3_baseline,data_set_V4_baseline
130.0,0.015363111,0.025605185,0.0043364186,0.39515191,0.005707955,0.28658906,0.2189675,0.47513631,0.44097504,0.049479607,0.10840341,0.002887249,0.17911929,0.24999312,0.17183822,0.033021789,-61.112175,-51.745441,-31.702827,-50.640682
140.0,0.015686328,0.026143881,0.0046082549,0.38482621,0.0061901188,0.28844008,0.21997122,0.4737412,0.4413155,0.048196126,0.10576011,0.0030744588,0.17455427,0.24876416,0.17432515,0.032881021,-60.941189,-51.501148,-31.876451,-50.314365
150.0,0.016012374,0.026687292,0.004887193,0.37480935,0.0066935271,0.29026192,0.22095028,0.47237128,0.44162819,0.046951573,0.10320659,0.0032669923,0.17013037,0.24754247,0.17670172,0.03274304,-60.772144,-51.264954,-32.046555,-49.999592
160.0,0.016345235,0.027242059,0.0052066706,0.36539626,0.0073321052,0.29205522,0.22190556,0.47102582,0.44191405,0.045784514,0.10085662,0.0034906077,0.16599032,0.24632806,0.17897166,0.032607947,-60.602985,-51.010376,-32.208073,-49.632534
170.0,0.016678475,0.027797457,0.0055127935,0.35606253,0.0079266084,0.2938205,0.2228374,0.46970394,0.4421728,0.044626717,0.098514862,0.0037040066,0.16188197,0.24512094,0.18113916,0.032475952,-60.436958,-50.780624,-32.36998,-49.318287
180.0,0.017013624,0.02835604,0.0058177533,0.34692839,0.0085224146,0.29555836,0.22374654,0.46840498,0.44240505,0.043493882,0.096227385,0.0039167725,0.1578631,0.24392113,0.18320769,0.032347206,-60.273197,-50.564026,-32.530273,-49.025986
190.0,0.017358435,0.028930726,0.0061888741,0.33854437,0.00933671,0.2972694,0.22463396,0.46712831,0.4426119,0.042458098,0.094207995,0.0041801599,0.15420163,0.24272862,0.18518032,0.032221802,-60.107948,-50.315174,-32.67915,-48.657684
200.0,0.017701214,0.029502025,0.0065243407,0.3300347,0.010050678,0.29895407,0.22549978,0.46587318,0.44279277,0.0414051,0.092124574,0.0044171382,0.15047292,0.24154344,0.18706095,0.032100029,-59.946804,-50.10268,-32.832111,-48.360054
210.0,0.018049842,0.030083068,0.0068932814,0.32196698,0.010884828,0.30061293,0.22634494,0.46463913,0.4429487,0.040409144,0.090196528,0.0046802103,0.14695312,0.24036561,0.18885231,0.031982001,-59.785984,-49.881165,-32.978989,-48.037766
220.0,0.018393643,0.030656073,0.0072010546,0.31358916,0.011557043,0.30224642,0.22716969,0.46342543,0.44307932,0.039372001,0.088136189,0.0048984848,0.14327544,0.23919517,0.19055797,0.031868018,-59.63031,-49.705204,-33.133572,-47.795345
230.0,0.018757824,0.031263042,0.0076718116,0.30663288,0.012741438,0.30385515,0.22797547,0.4622319,0.44318658,0.038520232,0.086613305,0.0052401586,0.14028634,0.23803201,0.19217949,0.031758059,-59.468452,-49.450005,-33.263634,-47.400291
240.0,0.019111877,0.031853128,0.0080341119,0.29901147,0.013632446,0.3054395,0.2287619,0.46105763,0.44326901,0.037580922,0.084822834,0.0055020899,0.13696539,0.23687628,0.19372125,0.031652611,-59.313984,-49.263969,-33.408039,-47.126305
250.0,0.019474983,0.032458305,0.0084620807,0.29203981,0.014753325,0.30699998,0.22953017,0.45990244,0.44332811,0.036726277,0.083276749,0.0058149146,0.13395654,0.23572788,0.19518496,0.03155173,-59.158417,-49.054649,-33.541992,-46.805695
260.0,0.019838613,0.033064354,0.0088804169,0.2851553,0.015888346,0.30853707,0.23028067,0.45876569,0.44336379,0.035882737,0.081758432,0.0061226673,0.13098401,0.23458686,0.19657372,0.031455714,-59.005409,-48.859947,-33.676125,-46.504616
270.0,0.020203259,0.033672098,0.0092935739,0.27841923,0.017052539,0.31005123,0.23101403,0.45764697,0.44337648,0.035058193,0.080288954,0.0064287712,0.12807673,0.2334532,0.19789003,0.031364799,-58.854671,-48.67638,-33.809265,-46.217026
280.0,0.020570114,0.034283526,0.0097186612,0.27194962,0.018305223,0.31154296,0.23173089,0.45654583,0.44336671,0.034268282,0.078917965,0.0067464579,0.12529293,0.23232688,0.19913639,0.031279206,-58.705643,-48.495766,-33.939014,-45.928375
290.0,0.020934954,0.03489159,0.010116533,0.26551944,0.019530738,0.31301272,0.23243184,0.4554618,0.44333467,0.033482891,0.077549472,0.0070464569,0.1225187,0.23120789,0.20031549,0.031199211,-58.559956,-48.333664,-34.069901,-45.664165
300.0,0.021306848,0.035511415,0.010586527,0.25975022,0.021037314,0.31446108,0.23311773,0.45439455,0.44328123,0.032784339,0.076443754,0.0074037821,0.12006356,0.23009619,0.20142943,0.031124951,-58.413952,-48.15012,-34.189068,-45.360783
310.0,0.02166887,0.036114782,0.010961652,0.25364757,0.022320749,0.31588849,0.23378883,0.45334345,0.44320628,0.03204076,0.075181074,0.0076930285,0.1174299,0.22899178,0.20248142,0.031056812,-58.274158,-48.009319,-34.317009,-45.11866
320.0,0.022039453,0.03673242,0.011442503,0.24841388,0.023997284,0.31729555,0.23444627,0.45230824,0.443111,0.031411693,0.074270934,0.0080653662,0.115219,0.22789453,0.20347323,0.030994806,-58.133373,-47.835648,-34.42836,-44.822098
330.0,0.022401484,0.037335806,0.011859083,0.24307567,0.02554854,0.31868282,0.23509035,0.45128825,0.44299543,0.030767687,0.073294997,0.0083928769,0.11294178,0.22680448,0.20440805,0.030939298,-57.998016,-47.690926,-34.54356,-44.565178
340.0,0.02275978,0.037932966,0.012273212,0.23800716,0.027165571,0.32005087,0.23572187,0.45028311,0.44286034,0.030158378,0.072411604,0.0087222056,0.11078519,0.22572151,0.20528823,0.03089039,-57.866108,-47.551949,-34.654545,-44.313053
350.0,0.023111403,0.038519006,0.012663085,0.2331064,0.028779078,0.32140031,0.23634148,0.44929227,0.44270635,0.029569987,0.071572453,0.0090368045,0.10869681,0.22464557,0.20611644,0.030848246,-57.738583,-47.425282,-34.763412,-44.075623
360.0,0.023458213,0.039097022,0.013060749,0.22855271,0.030487655,0.32273182,0.23694992,0.44831526,0.44253421,0.029026404,0.070855528,0.0093608322,0.10676695,0.22357658,0.20689513,0.030812945,-57.614616,-47.299988,-34.866005,-43.837887
370.0,0.023796648,0.03966108,0.013437335,0.22420093,0.032197434,0.32404599,0.2375478,0.44735157,0.44234455,0.028508078,0.070193484,0.009672273,0.10492162,0.22251444,0.20762697,0.030784585,-57.495327,-47.184761,-34.965405,-43.612564
380.0,0.024122735,0.040204559,0.013755837,0.21988022,0.033782106,0.32534346,0.23813568,0.44640064,0.44213808,0.027991759,0.069502294,0.009942608,0.10307285,0.22145908,0.20831463,0.030763248,-57.38192,-47.089764,-35.065456,-43.413834
390.0,0.024447063,0.040745106,0.0141492,0.21622793,0.035666637,0.32662493,0.23871441,0.44546205,0.44191581,0.027563492,0.069081537,0.010272852,0.10154733,0.22041035,0.20896013,0.030748801,-57.270569,-46.975388,-35.151142,-43.188885
400.0,0.02475689,0.041261483,0.014474033,0.21254784,0.037380781,0.32789105,0.23928434,0.44453523,0.44167823,0.027129192,0.068602152,0.010553459,0.099988736,0.2193682,0.20956638,0.030741356,-57.165512,-46.883278,-35.238541,-42.994003
410.0,0.025053937,0.041756563,0.01475419,0.20895883,0.038989641,0.32914242,0.23984604,0.44361967,0.44142613,0.026704699,0.068115778,0.010801996,0.098457731,0.21833256,0.21013558,0.030740833,-57.065964,-46.805454,-35.324852,-42.818756
420.0,0.025345758,0.042242929,0.015084148,0.20587237,0.040799897,0.33037969,0.2404002,0.44271496,0.44116047,0.026346045,0.067825511,0.011090484,0.097167812,0.21730325,0.21066965,0.030747054,-56.969257,-46.715649,-35.399952,-42.629681
430.0,0.025623631,0.042706054,0.015359281,0.20280109,0.042459913,0.33160347,0.24094708,0.44182059,0.44088179,0.025987035,0.067494266,0.011338565,0.095868275,0.21628024,0.21117102,0.03076,-56.878159,-46.642227,-35.475513,-42.46323
440.0,0.025887597,0.043145996,0.01557666,0.19973378,0.043945376,0.33281425,0.24148718,0.44093612,0.44059077,0.025625903,0.067111731,0.011543265,0.094553195,0.21526343,0.21164164,0.030779557,-56.792488,-46.585129,-35.551838,-42.319469
450.0,0.026148619,0.043581031,0.015873466,0.19723034,0.045718603,0.33401266,0.24202104,0.44006124,0.44028836,0.025339572,0.06696777,0.011810009,0.093515694,0.2142527,0.212083,0.030805439,-56.708591,-46.508423,-35.61478,-42.153812
460.0,0.026396507,0.043994177,0.016116435,0.19471136,0.04732145,0.33519918,0.24254882,0.43919545,0.43997499,0.025048742,0.066768505,0.012035933,0.092455044,0.21324798,0.21249719,0.03083762,-56.629654,-46.446671,-35.67873,-42.009254
470.0,0.02663416,0.044390269,0.01633889,0.19230446,0.048860118,0.33637425,0.24307093,0.4383384,0.43965131,0.02477096,0.066580243,0.01224634,0.091438673,0.21224922,0.21288571,0.030875906,-56.554634,-46.390934,-35.740421,-41.874798
480.0,0.026863031,0.04477172,0.016554346,0.19004971,0.050376851,0.33753839,0.24358766,0.43748978,0.43931794,0.024511866,0.066426478,0.01245145,0.090488672,0.2112563,0.21325001,0.030920118,-56.48299,-46.337654,-35.798748,-41.746132
490.0,0.027083401,0.045139,0.016761348,0.18792611,0.051863156,0.33869195,0.24409926,0.43664926,0.43897545,0.024268711,0.066298999,0.012649966,0.089595154,0.21026918,0.21359147,0.030970082,-56.414555,-46.287106,-35.854172,-41.623562
500.0,0.02729542,0.045492366,0.016956426,0.18590714,0.053303223,0.33983535,0.24460597,0.43581656,0.43862429,0.02403794,0.066185892,0.012839017,0.08874514,0.20928778,0.21391138,0.031025628,-56.349209,-46.240025,-35.907307,-41.507927
510.0,0.027499825,0.045833044,0.017143909,0.18399741,0.054709174,0.34096894,0.24510801,0.43499139,0.43826503,0.023820315,0.066092052,0.013021803,0.087942004,0.20831203,0.21421091,0.031086581,-56.286667,-46.195278,-35.957985,-41.397846
520.0,0.027697066,0.046161775,0.017324364,0.18218759,0.056080658,0.34209305,0.24560554,0.43417346,0.43789807,0.023614658,0.066014841,0.013198651,0.087181725,0.20734189,0.21449114,0.03115277,-56.226734,-46.15266,-36.006386,-41.292999
530.0,0.027887512,0.046479188,0.017497562,0.18046644,0.057414677,0.34320801,0.24609877,0.43336257,0.43752384,0.023419525,0.065950342,0.013369272,0.086459167,0.2063773,0.21475309,0.031224025,-56.169254,-46.112164,-36.052761,-41.193306
540.0,0.028071629,0.046786048,0.01766468,0.17882894,0.058713645,0.3443141,0.24658784,0.43255851,0.43714276,0.023234323,0.065897912,0.013534491,0.085772432,0.2054182,0.21499768,0.03130018,-56.114037,-46.073463,-36.097206,-41.098301
550.0,0.028249813,0.04708302,0.017826313,0.17726861,0.059978202,0.34541157,0.24707288,0.431761,0.43675521,0.023058249,0.065855987,0.013694698,0.085118763,0.20446452,0.21522577,0.031381074,-56.060921,-46.036369,-36.139854,-41.007687
560.0,0.028422439,0.047370732,0.017982922,0.17577928,0.061208803,0.34650072,0.247554,0.43096992,0.43636155,0.022890542,0.065823048,0.013850194,0.084495552,0.20351626,0.21543817,0.031466547,-56.009769,-46.000744,-36.180836,-40.921207
570.0,0.02858986,0.047649764,0.018135015,0.17435566,0.062406257,0.34758174,0.24803133,0.43018505,0.43596208,0.02273055,0.065797903,0.014001322,0.083900549,0.20257333,0.21563564,0.031556446,-55.960442,-45.966438,-36.220268,-40.838604
580.0,0.0287524,0.047920667,0.018282985,0.17299266,0.063571185,0.34865487,0.24850498,0.4294062,0.43555716,0.022577651,0.065779373,0.014148351,0.083331592,0.2016357,0.21581885,0.031650618,-55.912811,-45.933331,-36.258259,-40.759651
590.0,0.028910363,0.048183937,0.018427152,0.17168556,0.064704113,0.3497203,0.24897502,0.42863327,0.43514702,0.022431256,0.065766335,0.014291497,0.082786649,0.20070335,0.21598846,0.031748921,-55.866768,-45.901325,-36.294914,-40.684155
600.0,0.029064024,0.048440039,0.018567719,0.17042974,0.065805256,0.35077825,0.24944153,0.42786604,0.43473196,0.022290796,0.06575761,0.014430895,0.082263701,0.19977622,0.21614505,0.031851213,-55.822208,-45.870354,-36.330338,-40.611942
610.0,0.02921363,0.048689384,0.018704718,0.16922051,0.066874355,0.35182884,0.24990462,0.42710441,0.43431228,0.022155678,0.065751843,0.014566548,0.081760637,0.19885427,0.21628922,0.031957358,-55.779037,-45.840389,-36.364647,-40.542896
620.0,0.029359387,0.04893231,0.01883789,0.16805261,0.067910142,0.35287228,0.2503643,0.42634827,0.43388817,0.022025228,0.065747246,0.014698241,0.081275038,0.19793746,0.21642148,0.032067224,-55.737179,-45.81147,-36.397968,-40.476974
630.0,0.029501453,0.049169086,0.018966444,0.1669195,0.068909518,0.35390875,0.25082067,0.42559743,0.43345988,0.021898581,0.065741122,0.014825342,0.080803707,0.19702579,0.21654232,0.032180682,-55.696568,-45.783741,-36.430473,-40.414249
640.0,0.029639896,0.049399827,0.019088598,0.16581181,0.069865756,0.35493833,0.25127378,0.4248518,0.43302765,0.021774461,0.065728918,0.014946447,0.08034189,0.19611919,0.21665221,0.032297611,-55.657173,-45.757565,-36.462421,-40.355015
650.0,0.029774655,0.049624424,0.019200793,0.1647148,0.0707656,0.3559612,0.25172368,0.42411128,0.43259165,0.021650834,0.065702677,0.015058756,0.079881899,0.19521764,0.21675159,0.032417897,-55.618992,-45.733665,-36.494232,-40.299953
660.0,0.029908704,0.049847838,0.019342521,0.16375619,0.071753524,0.35697749,0.25217041,0.42337579,0.43215212,0.021545826,0.065740228,0.015193189,0.079493038,0.19432111,0.2168408,0.032541383,-55.581177,-45.703671,-36.522167,-40.240242
670.0,0.030041255,0.050068758,0.019499097,0.1628799,0.072781183,0.35798731,0.25261405,0.42264518,0.43170923,0.021451704,0.065811925,0.015338518,0.079145685,0.19342956,0.21692024,0.032667968,-55.543938,-45.67078,-36.547817,-40.178928
680.0,0.030168088,0.050280146,0.019612011,0.16189618,0.073625319,0.35899079,0.25305456,0.42191938,0.43126312,0.021341402,0.065799564,0.015448472,0.078736886,0.19254297,0.21699041,0.032797601,-55.508453,-45.647224,-36.576748,-40.129158
690.0,0.030291351,0.050485585,0.019706946,0.16088887,0.07438378,0.35998803,0.25349203,0.42119828,0.43081394,0.021226864,0.065755129,0.015543357,0.078312077,0.19166133,0.21705158,0.032930154,-55.474102,-45.627522,-36.606518,-40.084888
700.0,0.030415863,0.050693106,0.01985158,0.16007066,0.075306028,0.36097917,0.25392649,0.4204818,0.43036196,0.021138422,0.065810889,0.015676249,0.077987269,0.19078457,0.21710396,0.033065468,-55.439537,-45.597683,-36.63081,-40.031612
710.0,0.03053759,0.050895985,0.019985339,0.15924215,0.076173708,0.36196426,0.25435796,0.41976991,0.42990726,0.021047873,0.065847494,0.015799889,0.07765457,0.18991271,0.21714795,0.033203483,-55.405876,-45.570274,-36.65551,-39.982033
720.0,0.030653508,0.051089179,0.020065812,0.15827474,0.076821141,0.36294341,0.25478643,0.41906244,0.42944989,0.02093666,0.06578052,0.015880546,0.07724338,0.1890457,0.21718395,0.033344161,-55.373936,-45.553871,-36.684486,-39.945374
730.0,0.030763466,0.051272444,0.020085342,0.15714669,0.077225693,0.3639167,0.25521189,0.41835934,0.42899004,0.020801721,0.065597311,0.01591249,0.076741613,0.18818353,0.2172122,0.033487421,-55.343746,-45.5499,-36.718452,-39.922611
740.0,0.030883724,0.051472872,0.020279907,0.15658177,0.07826075,0.36488423,0.25563461,0.41766065,0.42852807,0.020746633,0.065755308,0.016080981,0.076545775,0.1873261,0.21723257,0.033632934,-55.310844,-45.510544,-36.735538,-39.864864
750.0,0.031001048,0.051668413,0.020455675,0.15597583,0.079211228,0.3658461,0.25605443,0.41696623,0.4280639,0.020685147,0.065876842,0.016233968,0.076325826,0.18647347,0.21724565,0.033780795,-55.278862,-45.475307,-36.753922,-39.81245
760.0,0.031111604,0.051852673,0.020557946,0.15516609,0.079867795,0.36680233,0.25647128,0.41627595,0.42759755,0.020593779,0.065855183,0.016328158,0.075992122,0.18562561,0.21725178,0.033930991,-55.248829,-45.454941,-36.778576,-39.776577
770.0,0.031227831,0.052046385,0.02076379,0.15468693,0.080892943,0.36775306,0.25688541,0.41558984,0.42712939,0.02054926,0.066033348,0.016502922,0.075838253,0.18478245,0.21725085,0.034083258,-55.217361,-45.414249,-36.793217,-39.721104
780.0,0.031335086,0.052225139,0.020859435,0.15389259,0.081492558,0.3686983,0.25729656,0.41490778,0.42665923,0.020458963,0.065998763,0.016590288,0.075509496,0.183944,0.21724348,0.034237731,-55.188423,-45.395473,-36.817566,-39.688953
790.0,0.031436566,0.052394275,0.020889908,0.15292256,0.08183372,0.36963814,0.25770485,0.41422969,0.42618728,0.020342825,0.065839209,0.01662563,0.075082123,0.18311027,0.21722975,0.03439429,-55.161129,-45.389511,-36.847443,-39.670757
800.0,0.031545226,0.052575372,0.021043675,0.15233859,0.082613625,0.37057269,0.25811046,0.41355565,0.42571381,0.020281529,0.06591551,0.016756887,0.074865468,0.18228115,0.21720955,0.03455269,-55.131996,-45.359547,-36.865501,-39.629417
810.0,0.031653166,0.052755278,0.021205558,0.15178207,0.083412647,0.37150195,0.25851327,0.41288549,0.42523879,0.020223947,0.066004954,0.016893966,0.074663594,0.18145669,0.21718328,0.034712937,-55.103149,-45.328232,-36.882767,-39.587429
820.0,0.031758886,0.052931476,0.021352677,0.15120091,0.084134586,0.37242597,0.25891331,0.41221923,0.42476228,0.020162132,0.066064619,0.017018337,0.074446209,0.18063682,0.21715112,0.03487502,-55.074986,-45.299976,-36.900852,-39.549809
830.0,0.031853698,0.053089499,0.021351958,0.15019944,0.084301159,0.37334487,0.25931042,0.41155666,0.42428425,0.020039447,0.065844201,0.017026233,0.073995337,0.1798216,0.21711349,0.035038982,-55.049805,-45.300114,-36.932152,-39.541168
840.0,0.031960979,0.053268299,0.021551542,0.14979835,0.085186549,0.37425864,0.25970498,0.410898,0.42380512,0.020002592,0.06600152,0.017190253,0.073874719,0.17901088,0.21706995,0.035204444,-55.021397,-45.262081,-36.944733,-39.495506
850.0,0.032051314,0.053418856,0.021511503,0.1487125,0.085181177,0.37516737,0.26009658,0.41024294,0.42332456,0.019866781,0.06570673,0.017165961,0.073374078,0.17820477,0.21702141,0.035371736,-54.997543,-45.269684,-36.978939,-39.495781
860.0,0.032159775,0.053599626,0.021760089,0.14846547,0.086215504,0.37607113,0.26048571,0.4095917,0.42284313,0.019851416,0.065950327,0.017366828,0.073337488,0.17740314,0.21696711,0.035540313,-54.96899,-45.22271,-36.986752,-39.442978
870.0,0.032262582,0.053770971,0.02193347,0.1480162,0.086961515,0.3769699,0.26087204,0.40894407,0.42236054,0.019806447,0.066052824,0.017508157,0.073187329,0.17660601,0.2169078,0.035710469,-54.942009,-45.190254,-37.000984,-39.405251
880.0,0.032361377,0.053935632,0.022060294,0.14743444,0.087525725,0.37786379,0.26125562,0.40830001,0.42187694,0.019742191,0.066065021,0.017612463,0.072963588,0.17581341,0.21684361,0.035882093,-54.916153,-45.166676,-37.019466,-39.376907
890.0,0.032460779,0.054101299,0.022208018,0.14692461,0.088149272,0.3787528,0.26163653,0.40765953,0.42139238,0.019687817,0.066114433,0.017732274,0.072778486,0.17502525,0.21677451,0.036055084,-54.890217,-45.139374,-37.035713,-39.345779
900.0,0.032550812,0.054251354,0.022223432,0.14605576,0.08827696,0.379637,0.26201463,0.40702251,0.42090687,0.019581124,0.06591814,0.017747907,0.072392121,0.17424159,0.21670088,0.036229536,-54.866791,-45.136536,-37.063511,-39.339428
910.0,0.032658592,0.054430984,0.022520578,0.14597639,0.089417055,0.38051644,0.26239029,0.40638912,0.4204208,0.019588305,0.066238746,0.017983198,0.072445549,0.17346227,0.21662219,0.036405012,-54.838825,-45.082191,-37.066055,-39.283092
920.0,0.032754555,0.054590926,0.02264886,0.14543018,0.08992894,0.38139114,0.26276311,0.4057591,0.41993383,0.019527705,0.066244826,0.018085763,0.072238237,0.17268741,0.21653926,0.036581866,-54.813999,-45.058945,-37.083611,-39.258011
930.0,0.032836422,0.054727368,0.022567533,0.14432162,0.089669444,0.3822611,0.26313311,0.40513241,0.41944599,0.019385245,0.06586767,0.018023992,0.07171499,0.17191699,0.21645229,0.036760096,-54.792877,-45.073669,-37.1194,-39.27071
940.0,0.03293873,0.054897882,0.022807036,0.14410287,0.090561643,0.38312644,0.26350069,0.40450928,0.4189578,0.019371284,0.066076271,0.018212304,0.071688406,0.17115085,0.21636051,0.036939181,-54.766544,-45.03046,-37.126492,-39.227184
950.0,0.033038728,0.055064544,0.023025967,0.14382507,0.091358662,0.38398716,0.26386565,0.40388948,0.41846901,0.019348513,0.06624037,0.018383514,0.07162907,0.17038909,0.21626459,0.037119374,-54.740883,-44.991348,-37.135509,-39.188629
960.0,0.033124693,0.055207822,0.02302937,0.14296922,0.091377169,0.38484326,0.26422775,0.4032729,0.41797951,0.01924181,0.066014841,0.018386481,0.071244963,0.16963169,0.21616493,0.037300795,-54.718884,-44.990746,-37.163376,-39.187737
970.0,0.03322776,0.055379599,0.023309406,0.14286266,0.092373334,0.38569483,0.26458746,0.40265977,0.41748974,0.019243432,0.066284917,0.01860431,0.071281016,0.16887856,0.21606086,0.037482977,-54.692574,-44.941254,-37.166859,-39.13998
980.0,0.033322513,0.055537522,0.023466228,0.14243118,0.092914477,0.38654187,0.26494443,0.40204984,0.41699946,0.019197615,0.066330761,0.01872546,0.071133904,0.16812973,0.21595307,0.037666235,-54.668457,-44.913788,-37.180969,-39.114227
990.0,0.033410698,0.055684496,0.023525113,0.14174397,0.093096539,0.38738438,0.26529872,0.40144312,0.4165087,0.019114444,0.066199832,0.018769896,0.070842318,0.16738522,0.21584162,0.037850495,-54.646069,-44.903522,-37.203522,-39.105595
1000.0,0.033506941,0.055844903,0.023718333,0.14141588,0.093745098,0.38822249,0.26565048,0.40083966,0.41601771,0.019083161,0.066305816,0.018918253,0.070752643,0.16664492,0.21572626,0.038035523,-54.621696,-44.87001,-37.214317,-39.074966
1010.0,0.033593815,0.055989694,0.023767125,0.14071676,0.093869679,0.38905612,0.26599953,0.40023935,0.41552627,0.018997641,0.066154428,0.018953759,0.070452683,0.1659089,0.21560746,0.038221531,-54.599754,-44.861591,-37.237396,-39.069103
1020.0,0.03369255,0.056154251,0.024010349,0.14052361,0.094675392,0.3898854,0.26634613,0.39964226,0.41503474,0.018985583,0.066343993,0.019139979,0.070438735,0.16517706,0.21548481,0.038408168,-54.574883,-44.81987,-37.24379,-39.031357
1030.0,0.033777483,0.056295808,0.024039697,0.13978225,0.094709247,0.39071023,0.26668999,0.39904824,0.41454282,0.018893421,0.066153981,0.019159282,0.07011392,0.16444947,0.215359,0.03859577,-54.553543,-44.814861,-37.268398,-39.029778
1040.0,0.033874627,0.05645771,0.024268625,0.13955641,0.095439941,0.39153078,0.2670314,0.39845741,0.41405088,0.01887615,0.066312209,0.019333173,0.070080973,0.16372602,0.21522948,0.038783938,-54.529194,-44.776012,-37.275917,-38.995808
1050.0,0.033962116,0.056603529,0.024342243,0.13894525,0.095615603,0.39234698,0.2673701,0.39786962,0.41355866,0.018802391,0.066199899,0.019386126,0.069828041,0.16300678,0.21509683,0.038972959,-54.507324,-44.763596,-37.29631,-38.987675
1060.0,0.034057871,0.056763116,0.024558617,0.13868403,0.096281677,0.39315888,0.26770636,0.39728495,0.41306645,0.01877973,0.066329196,0.019549254,0.069775403,0.16229165,0.21496072,0.039162509,-54.483444,-44.72731,-37.305054,-38.956959
1070.0,0.034128606,0.056881014,0.024369927,0.13741781,0.095518693,0.3939665,0.26803976,0.39670318,0.41257378,0.018610006,0.065758415,0.01939789,0.069148995,0.16158076,0.21482196,0.03935308,-54.465847,-44.758934,-37.347618,-38.992157
