T,H,ICA,IK,INA,M,MCA,N,V
0.47999999,0.72205633,-0.0012520993,2.0088067e-09,-6.0242664e-06,0.0015322295,0.0038234408,0.0023307712,-70.96627
0.5,0.72186774,-0.0012672079,2.0629707e-09,-6.2524159e-06,0.0015514743,0.0038464768,0.0023463019,-70.964859
0.51999998,0.72167939,-0.0012819768,2.1179285e-09,-6.4768119e-06,0.0015699601,0.0038688642,0.0023617502,-70.963455
0.54000002,0.72149128,-0.0012964112,2.1736783e-09,-6.6972534e-06,0.0015877176,0.0038906215,0.0023771166,-70.962051
0.56,0.7213034,-0.001310516,2.2302191e-09,-6.9135672e-06,0.0016047765,0.0039117672,0.0023924015,-70.96064
0.57999998,0.72111571,-0.0013242968,2.2875493e-09,-7.1256095e-06,0.0016211651,0.0039323187,0.0024076053,-70.959236
0.60000002,0.72092831,-0.0013377588,2.345667e-09,-7.3332617e-06,0.0016369107,0.0039522932,0.0024227286,-70.957832
0.62,0.72074115,-0.0013509075,2.4045705e-09,-7.5364273e-06,0.0016520397,0.0039717075,0.002437772,-70.956421
0.63999999,0.72055423,-0.0013637483,2.4642581e-09,-7.7350342e-06,0.0016665768,0.0039905775,0.0024527358,-70.955017
0.66000003,0.72036749,-0.0013762867,2.5247275e-09,-7.9290267e-06,0.0016805463,0.0040089195,0.0024676204,-70.953606
0.68000001,0.72018105,-0.0013885284,2.5859765e-09,-8.1183707e-06,0.0016939713,0.0040267482,0.0024824264,-70.952202
0.69999999,0.71999478,-0.0014004789,2.6480029e-09,-8.3030454e-06,0.0017068739,0.0040440783,0.0024971543,-70.950798
0.72000003,0.71980882,-0.0014121437,2.7108045e-09,-8.4830481e-06,0.0017192754,0.004060925,0.0025118045,-70.949387
0.74000001,0.71962303,-0.0014235285,2.7743781e-09,-8.6583868e-06,0.0017311961,0.0040773014,0.0025263773,-70.947983
0.75999999,0.71943748,-0.0014346389,2.8387217e-09,-8.8290826e-06,0.0017426554,0.0040932214,0.0025408734,-70.946579
0.77999997,0.71925223,-0.0014454804,2.9038321e-09,-8.9951673e-06,0.0017536724,0.0041086981,0.0025552928,-70.945168
0.80000001,0.71906716,-0.0014560584,2.9697065e-09,-9.1566835e-06,0.0017642649,0.0041237446,0.0025696366,-70.943764
0.81999999,0.71888232,-0.0014663786,3.0363421e-09,-9.3136805e-06,0.0017744502,0.0041383728,0.0025839049,-70.942352
0.83999997,0.71869767,-0.0014764463,3.1037357e-09,-9.4662164e-06,0.0017842448,0.0041525951,0.002598098,-70.940948
0.86000001,0.71851331,-0.001486267,3.1718839e-09,-9.6143549e-06,0.0017936646,0.0041664233,0.0026122166,-70.939545
0.88,0.71832919,-0.0014958461,3.2407839e-09,-9.7581669e-06,0.001802725,0.0041798684,0.0026262612,-70.938133
0.89999998,0.71814525,-0.0015051888,3.3104317e-09,-9.8977271e-06,0.0018114403,0.0041929423,0.002640232,-70.936729
0.92000002,0.71796161,-0.0015143002,3.3808243e-09,-1.0033115e-05,0.0018198249,0.0042056544,0.0026541294,-70.935326
0.94,0.71777815,-0.0015231859,3.4519576e-09,-1.0164414e-05,0.001827892,0.0042180163,0.002667954,-70.933922
0.95999998,0.71759492,-0.0015318507,3.5238286e-09,-1.0291708e-05,0.0018356546,0.0042300378,0.0026817061,-70.93251
0.98000002,0.71741194,-0.0015402997,3.5964332e-09,-1.0415088e-05,0.001843125,0.0042417282,0.0026953861,-70.931107
1.0,0.71722919,-0.001548538,3.6697672e-09,-1.0534641e-05,0.0018503151,0.0042530978,0.0027089946,-70.929703
1.02,0.71704662,-0.0015565703,3.7438275e-09,-1.065046e-05,0.0018572364,0.0042641554,0.002722532,-70.928299
1.04,0.71686435,-0.0015644016,3.818609e-09,-1.0762637e-05,0.0018638996,0.0042749099,0.0027359985,-70.926888
1.0599999,0.71668226,-0.0015720365,3.8941086e-09,-1.0871267e-05,0.0018703155,0.0042853705,0.0027493949,-70.925484
1.08,0.7165004,-0.0015794798,3.9703218e-09,-1.0976441e-05,0.0018764939,0.0042955452,0.0027627209,-70.92408
1.1,0.71631879,-0.0015867361,4.0472443e-09,-1.1078254e-05,0.0018824446,0.0043054428,0.0027759778,-70.922676
1.12,0.71613735,-0.0015938098,4.124872e-09,-1.1176798e-05,0.0018881768,0.0043150708,0.0027891654,-70.921272
1.14,0.71595621,-0.0016007054,4.2032e-09,-1.1272166e-05,0.0018936993,0.0043244371,0.0028022842,-70.919861
1.16,0.71577525,-0.0016074274,4.2822248e-09,-1.136445e-05,0.0018990207,0.0043335496,0.0028153348,-70.918457
1.1799999,0.71559453,-0.0016139798,4.361941e-09,-1.1453741e-05,0.0019041493,0.0043424149,0.0028283175,-70.917053
1.2,0.71541405,-0.0016203669,4.4423443e-09,-1.1540128e-05,0.0019090928,0.0043510413,0.0028412326,-70.915649
1.22,0.71523374,-0.0016265929,4.5234301e-09,-1.16237e-05,0.0019138587,0.0043594344,0.0028540806,-70.914246
1.24,0.71505374,-0.0016326617,4.605194e-09,-1.1704545e-05,0.0019184542,0.0043676016,0.0028668619,-70.912842
1.26,0.71487391,-0.0016385773,4.6876307e-09,-1.1782747e-05,0.0019228864,0.004375549,0.002879577,-70.911438
1.28,0.71469432,-0.0016443436,4.7707363e-09,-1.1858391e-05,0.0019271616,0.0043832837,0.002892226,-70.910034
1.3,0.71451491,-0.0016499643,4.8545048e-09,-1.193156e-05,0.0019312865,0.0043908115,0.0029048093,-70.90863
1.3200001,0.7143358,-0.0016554431,4.9389324e-09,-1.2002334e-05,0.0019352671,0.0043981378,0.0029173275,-70.907227
1.34,0.71415687,-0.0016607838,5.0240132e-09,-1.2070792e-05,0.0019391094,0.0044052694,0.0029297809,-70.905823
1.36,0.71397811,-0.0016659898,5.1097429e-09,-1.2137011e-05,0.0019428188,0.004412211,0.0029421698,-70.904419
1.38,0.71379966,-0.0016710645,5.1961164e-09,-1.2201068e-05,0.0019464007,0.0044189687,0.0029544949,-70.903015
1.4,0.71362138,-0.0016760114,5.2831282e-09,-1.2263034e-05,0.0019498604,0.0044255476,0.002966756,-70.901611
1.42,0.71344334,-0.0016808338,5.3707736e-09,-1.2322981e-05,0.0019532028,0.0044319527,0.002978954,-70.900215
1.4400001,0.71326554,-0.001685535,5.4590474e-09,-1.238098e-05,0.0019564328,0.0044381893,0.0029910889,-70.898811
1.46,0.71308792,-0.001690118,5.5479439e-09,-1.2437098e-05,0.0019595549,0.004444262,0.0030031614,-70.897408
1.48,0.71291053,-0.001694586,5.6374589e-09,-1.2491401e-05,0.0019625733,0.0044501754,0.0030151715,-70.896004
1.5,0.71273339,-0.0016989422,5.727586e-09,-1.2543953e-05,0.0019654925,0.0044559347,0.0030271199,-70.8946
1.52,0.71255642,-0.0017031891,5.8183209e-09,-1.2594816e-05,0.0019683163,0.0044615436,0.0030390068,-70.893204
1.54,0.71237975,-0.00170733,5.9096577e-09,-1.2644051e-05,0.0019710485,0.0044670072,0.0030508325,-70.8918
1.5599999,0.7122032,-0.0017113676,6.0015908e-09,-1.2691716e-05,0.0019736933,0.0044723293,0.0030625975,-70.890396
1.58,0.71202695,-0.0017153046,6.0941154e-09,-1.2737868e-05,0.0019762537,0.004477514,0.0030743021,-70.889
1.6,0.71185088,-0.0017191436,6.1872263e-09,-1.2782561e-05,0.0019787336,0.004482565,0.0030859467,-70.887596
1.62,0.71167505,-0.0017228874,6.2809171e-09,-1.282585e-05,0.0019811357,0.0044874866,0.0030975314,-70.886192
1.64,0.71149939,-0.0017265384,6.3751835e-09,-1.2867786e-05,0.0019834638,0.0044922824,0.003109057,-70.884796
1.66,0.71132398,-0.0017300992,6.4700192e-09,-1.2908417e-05,0.0019857206,0.0044969558,0.0031205234,-70.883392
1.6799999,0.7111488,-0.0017335722,6.5654189e-09,-1.2947794e-05,0.0019879087,0.0045015104,0.0031319312,-70.881996
1.7,0.7109738,-0.0017369597,6.6613777e-09,-1.2985963e-05,0.0019900315,0.00450595,0.0031432805,-70.880592
1.72,0.71079904,-0.001740264,6.7578889e-09,-1.3022967e-05,0.0019920913,0.0045102774,0.0031545719,-70.879196
1.74,0.71062452,-0.0017434874,6.8549482e-09,-1.3058852e-05,0.0019940906,0.0045144963,0.0031658057,-70.877792
1.76,0.71045017,-0.0017466322,6.9525492e-09,-1.309366e-05,0.001996032,0.0045186095,0.0031769823,-70.876396
1.78,0.71027607,-0.0017497003,7.0506867e-09,-1.312743e-05,0.0019979177,0.0045226198,0.0031881018,-70.874992
1.8,0.71010214,-0.001752694,7.1493553e-09,-1.3160203e-05,0.0019997503,0.0045265309,0.0031991645,-70.873596
1.8200001,0.70992845,-0.0017556152,7.2485489e-09,-1.3192015e-05,0.0020015317,0.0045303456,0.0032101711,-70.8722
1.84,0.709755,-0.0017584659,7.3482624e-09,-1.3222905e-05,0.0020032639,0.0045340657,0.0032211216,-70.870796
1.86,0.70958173,-0.0017612481,7.4484898e-09,-1.3252907e-05,0.0020049489,0.0045376951,0.0032320165,-70.8694
1.88,0.7094087,-0.0017639636,7.5492261e-09,-1.3282054e-05,0.002006589,0.0045412355,0.0032428561,-70.868004
1.9,0.70923585,-0.0017666143,7.6504652e-09,-1.331038e-05,0.0020081855,0.0045446898,0.0032536406,-70.8666
1.92,0.70906323,-0.0017692018,7.7522015e-09,-1.3337916e-05,0.0020097406,0.0045480607,0.0032643706,-70.865204
1.9400001,0.7088908,-0.001771728,7.85443e-09,-1.3364694e-05,0.0020112558,0.0045513506,0.0032750459,-70.863808
1.96,0.7087186,-0.0017741947,7.9571443e-09,-1.3390742e-05,0.0020127327,0.0045545618,0.0032856674,-70.862411
1.98,0.70854664,-0.0017766033,8.0603391e-09,-1.3416089e-05,0.0020141727,0.0045576962,0.0032962351,-70.861015
2.0,0.70837486,-0.0017789555,8.164009e-09,-1.3440761e-05,0.0020155776,0.0045607565,0.0033067493,-70.859619
2.02,0.70820332,-0.0017812528,8.2681479e-09,-1.3464786e-05,0.0020169488,0.0045637442,0.0033172104,-70.858223
2.04,0.70803195,-0.0017834968,8.3727505e-09,-1.3488188e-05,0.0020182875,0.004566662,0.0033276186,-70.856827
2.0599999,0.70786083,-0.001785689,8.4778113e-09,-1.3510992e-05,0.0020195951,0.0045695119,0.0033379744,-70.855431
2.0799999,0.70768988,-0.0017878308,8.5833243e-09,-1.3533221e-05,0.0020208729,0.0045722956,0.0033482781,-70.854034
2.0999999,0.70751917,-0.0017899236,8.6892848e-09,-1.3554899e-05,0.0020221223,0.0045750146,0.0033585299,-70.852638
2.1199999,0.70734864,-0.0017919688,8.7956868e-09,-1.3576046e-05,0.0020233439,0.0045776716,0.00336873,-70.851242
2.1400001,0.70717835,-0.0017939676,8.9025241e-09,-1.3596683e-05,0.0020245393,0.0045802682,0.0033788788,-70.849846
2.1600001,0.70700824,-0.0017959214,9.009792e-09,-1.3616831e-05,0.0020257093,0.004582806,0.0033889767,-70.84845
2.1800001,0.70683837,-0.0017978314,9.1174845e-09,-1.3636509e-05,0.002026855,0.0045852861,0.0033990238,-70.847054
2.2,0.70666867,-0.0017996989,9.2255963e-09,-1.3655736e-05,0.0020279777,0.0045877113,0.0034090206,-70.845657
2.22,0.70649922,-0.001801525,9.334121e-09,-1.3674528e-05,0.0020290778,0.0045900824,0.0034189674,-70.844269
2.24,0.70632994,-0.0018033109,9.4430543e-09,-1.3692906e-05,0.0020301568,0.004592401,0.0034288643,-70.842873
2.26,0.7061609,-0.0018050577,9.55239e-09,-1.3710883e-05,0.002031215,0.0045946692,0.0034387116,-70.841476
2.28,0.70599204,-0.0018067665,9.6621235e-09,-1.3728477e-05,0.0020322537,0.0045968876,0.0034485096,-70.84008
2.3,0.70582336,-0.0018084385,9.7722479e-09,-1.3745702e-05,0.0020332732,0.0045990581,0.0034582589,-70.838692
2.3199999,0.70565498,-0.0018100744,9.8827595e-09,-1.3762574e-05,0.0020342749,0.0046011824,0.0034679594,-70.837296
2.3399999,0.70548671,-0.0018116756,9.9936512e-09,-1.3779106e-05,0.002035259,0.0046032611,0.0034776116,-70.835907
2.3599999,0.70531869,-0.0018132428,1.0104918e-08,-1.3795313e-05,0.0020362264,0.0046052961,0.0034872156,-70.834511
2.3800001,0.7051509,-0.0018147771,1.0216555e-08,-1.3811206e-05,0.0020371778,0.0046072882,0.0034967717,-70.833115
2.4000001,0.70498323,-0.0018162794,1.0328557e-08,-1.38268e-05,0.002038114,0.0046092393,0.0035062805,-70.831726
2.4200001,0.70481586,-0.0018177505,1.0440917e-08,-1.3842106e-05,0.0020390353,0.0046111499,0.0035157418,-70.830338
2.4400001,0.70464861,-0.0018191914,1.0553632e-08,-1.3857135e-05,0.0020399424,0.0046130214,0.0035251563,-70.828941
2.46,0.70448166,-0.0018206029,1.0666695e-08,-1.38719e-05,0.002040836,0.0046148547,0.003534524,-70.827553
2.48,0.70431483,-0.0018219858,1.0780101e-08,-1.3886409e-05,0.0020417168,0.0046166517,0.0035438454,-70.826157
2.5,0.70414823,-0.001823341,1.0893846e-08,-1.3900674e-05,0.0020425848,0.0046184123,0.0035531204,-70.824768
2.52,0.70398188,-0.0018246692,1.1007923e-08,-1.3914706e-05,0.0020434412,0.0046201386,0.0035623498,-70.82338
2.54,0.70381564,-0.0018259712,1.1122327e-08,-1.3928513e-05,0.0020442856,0.0046218312,0.0035715334,-70.821983
2.5599999,0.7036497,-0.0018272477,1.1237053e-08,-1.3942104e-05,0.0020451194,0.0046234909,0.0035806715,-70.820595
2.5799999,0.70348388,-0.0018284995,1.1352097e-08,-1.3955489e-05,0.0020459425,0.0046251183,0.0035897647,-70.819206
2.5999999,0.7033183,-0.0018297272,1.1467453e-08,-1.3968674e-05,0.0020467555,0.0046267156,0.003598813,-70.817818
2.6199999,0.70315289,-0.0018309315,1.1583115e-08,-1.3981671e-05,0.0020475588,0.004628282,0.0036078168,-70.816429
2.6400001,0.70298773,-0.0018321131,1.1699078e-08,-1.3994485e-05,0.0020483527,0.0046298197,0.0036167761,-70.815041
2.6600001,0.70282274,-0.0018332727,1.1815339e-08,-1.4007123e-05,0.0020491376,0.0046313293,0.0036256916,-70.813644
2.6800001,0.702658,-0.0018344108,1.193189e-08,-1.4019595e-05,0.0020499141,0.0046328111,0.0036345632,-70.812256
2.7,0.70249337,-0.0018355281,1.2048728e-08,-1.4031905e-05,0.0020506822,0.0046342658,0.0036433912,-70.810867
2.72,0.70232904,-0.0018366252,1.2165848e-08,-1.4044062e-05,0.0020514424,0.0046356949,0.0036521759,-70.809479
2.74,0.70216483,-0.0018377025,1.2283244e-08,-1.4056071e-05,0.0020521951,0.0046370989,0.0036609175,-70.80809
2.76,0.70200086,-0.0018387607,1.2400911e-08,-1.4067939e-05,0.0020529407,0.0046384782,0.0036696163,-70.806709
2.78,0.70183706,-0.0018398004,1.2518845e-08,-1.407967e-05,0.002053679,0.0046398337,0.0036782727,-70.805321
2.8,0.70167351,-0.001840822,1.263704e-08,-1.4091272e-05,0.0020544108,0.0046411664,0.0036868867,-70.803932
2.8199999,0.70151007,-0.0018418261,1.2755492e-08,-1.4102749e-05,0.002055136,0.0046424763,0.0036954586,-70.802544
2.8399999,0.70134693,-0.0018428132,1.2874196e-08,-1.4114106e-05,0.0020558552,0.0046437648,0.0037039889,-70.801155
2.8599999,0.70118392,-0.0018437838,1.2993147e-08,-1.4125349e-05,0.0020565686,0.0046450319,0.0037124774,-70.799767
2.8800001,0.70102113,-0.0018447381,1.3112341e-08,-1.4136484e-05,0.0020572762,0.0046462785,0.0037209247,-70.798386
2.9000001,0.70085853,-0.001845677,1.3231771e-08,-1.4147512e-05,0.0020579784,0.004647505,0.0037293311,-70.796997
2.9200001,0.70069611,-0.0018466007,1.3351435e-08,-1.4158441e-05,0.0020586753,0.0046487125,0.0037376964,-70.795609
2.9400001,0.70053393,-0.0018475095,1.3471326e-08,-1.4169273e-05,0.0020593675,0.0046499008,0.0037460213,-70.794228
2.96,0.70037192,-0.0018484042,1.3591442e-08,-1.4180013e-05,0.0020600546,0.004651071,0.0037543057,-70.792839
2.98,0.70021009,-0.0018492849,1.3711776e-08,-1.4190664e-05,0.0020607372,0.0046522235,0.00376255,-70.791458
3.0,0.70004851,-0.0018501519,1.3832324e-08,-1.4201231e-05,0.0020614155,0.0046533584,0.0037707542,-70.79007
3.02,0.69988704,-0.0018407826,1.4116221e-08,-1.4162622e-05,0.0020620895,0.0046544769,0.0037789191,-70.388687
3.04,0.69970262,-0.0018266971,1.4619572e-08,-1.4291656e-05,0.002073325,0.004662625,0.0037904151,-69.587418
3.0599999,0.69948751,-0.0018199192,1.5210169e-08,-1.4733482e-05,0.0020995932,0.0046803188,0.0038067801,-68.786301
3.0799999,0.69924188,-0.0018204551,1.5905517e-08,-1.5533702e-05,0.0021422254,0.004707783,0.0038285649,-67.985344
3.0999999,0.69896579,-0.0018283734,1.6727142e-08,-1.6762546e-05,0.002202793,0.0047452748,0.0038563868,-67.18454
3.1199999,0.69865918,-0.0018438068,1.7701696e-08,-1.8523022e-05,0.0022831338,0.0047930824,0.003890936,-66.383888
3.1400001,0.69832206,-0.0018669532,1.886241e-08,-2.0962743e-05,0.0023853795,0.0048515266,0.0039329822,-65.583397
3.1600001,0.6979543,-0.0018980792,2.025102e-08,-2.4290979e-05,0.0025119882,0.0049209627,0.0039833821,-64.783051
3.1800001,0.69755566,-0.0019375228,2.192032e-08,-2.8803128e-05,0.0026657793,0.0050017806,0.004043085,-63.982864
3.2,0.69712603,-0.0019856975,2.3937561e-08,-3.4915764e-05,0.0028499723,0.0050944076,0.0041131433,-63.182831
3.22,0.69666505,-0.002043097,2.6389035e-08,-4.3216791e-05,0.0030682287,0.005199309,0.0041947155,-62.38295
3.24,0.69617242,-0.0021103011,2.9386227e-08,-5.4537133e-05,0.0033246982,0.00531699,0.004289079,-61.583221
3.26,0.69564772,-0.0021879806,3.3074169e-08,-7.0053022e-05,0.0036240679,0.0054479972,0.004397633,-60.783646
3.28,0.69509059,-0.0022769058,3.7642799e-08,-9.143175e-05,0.0039716153,0.0055929217,0.0045219087,-59.984222
3.3,0.69450057,-0.0023779538,4.3342474e-08,-0.00012103895,0.0043732654,0.0057523986,0.004663574,-59.184948
3.3199999,0.6938771,-0.0024921177,5.0505232e-08,-0.00016223251,0.0048356489,0.005927112,0.0048244423,-58.38583
3.3399999,0.69321966,-0.0026205161,5.9574024e-08,-0.00021977826,0.0053661652,0.0061177942,0.0050064749,-57.586861
3.3599999,0.69252759,-0.0027644052,7.1142992e-08,-0.00030043564,0.0059730462,0.0063252323,0.0052117892,-56.78804
3.3800001,0.69180024,-0.0029251901,8.6013124e-08,-0.00041377969,0.0066654212,0.0065502655,0.0054426589,-55.989372
3.4000001,0.69103694,-0.0031044388,1.0526918e-07,-0.00057334988,0.0074533834,0.0067937928,0.0057015186,-55.190853
3.4200001,0.69023693,-0.0033038973,1.3038616e-07,-0.00079824729,0.0083480543,0.0070567713,0.0059909625,-54.392479
3.4400001,0.68939948,-0.0035255062,1.6337664e-07,-0.001115344,0.0093616433,0.007340224,0.0063137454,-53.59425
3.46,0.68852371,-0.0037714182,2.0699464e-07,-0.0015623216,0.010507512,0.0076452377,0.0066727777,-52.796162
3.48,0.68760872,-0.0040440182,2.6501706e-07,-0.0021918225,0.011800219,0.0079729706,0.0070711221,-51.998215
3.5,0.68665373,-0.0043459451,3.4263181e-07,-0.0030770865,0.013255568,0.0083246529,0.0075119841,-51.200405
3.52,0.68565762,-0.0046801148,4.4697154e-07,-0.0043195472,0.01489064,0.0087015927,0.0079987058,-50.402721
3.54,0.68461955,-0.005049746,5.8784485e-07,-0.0060589868,0.016723813,0.0091051776,0.0085347509,-49.605156
3.5599999,0.68353838,-0.0054583875,7.7873472e-07,-0.0084870122,0.018774765,0.0095368819,0.0091236932,-48.807701
3.5799999,0.6824131,-0.0059099505,1.0381553e-06,-0.011864771,0.021064457,0.0099982647,0.0097692013,-48.010338
3.5999999,0.68124259,-0.0064087375,1.3914869e-06,-0.016546028,0.023615103,0.010490984,0.010475019,-47.213043
3.6199999,0.68002564,-0.0069594807,1.8734422e-06,-0.023006942,0.026450109,0.01101679,0.011244948,-46.415794
3.6400001,0.67876118,-0.0075673782,2.5313659e-06,-0.031884082,0.029593974,0.01157754,0.012082826,-45.618546
3.6600001,0.67744786,-0.0082381368,3.4296147e-06,-0.044022437,0.033072196,0.012175201,0.01299251,-44.821247
3.6800001,0.67608446,-0.0089780139,4.6553414e-06,-0.06053533,0.036911123,0.012811853,0.013977849,-44.023827
3.7,0.67466968,-0.0097938664,6.3260727e-06,-0.082878336,0.041137774,0.013489698,0.015042671,-43.226185
3.72,0.67320216,-0.010693199,8.5995798e-06,-0.11293923,0.045779664,0.014211071,0.016190756,-42.4282
3.74,0.67168045,-0.011684223,1.1686634e-05,-0.15314606,0.050864577,0.014978441,0.017425828,-41.6297
3.76,0.67010319,-0.012775909,1.5867394e-05,-0.20659503,0.056420323,0.015794434,0.018751528,-40.830467
3.78,0.66846883,-0.013978053,2.1512307e-05,-0.27719977,0.062474504,0.016661834,0.020171417,-40.03022
3.8,0.66677582,-0.015301342,2.910862e-05,-0.36986265,0.069054246,0.017583605,0.021688955,-39.228588
3.8199999,0.66502249,-0.016757425,3.9293784e-05,-0.49066815,0.076185957,0.018562911,0.023307508,-38.425095
3.8399999,0.66320723,-0.018358991,5.2897391e-05,-0.64709753,0.083895102,0.019603141,0.02503035,-37.619144
3.8599999,0.6613282,-0.020119846,7.0993534e-05,-0.84826261,0.092205964,0.020707933,0.026860679,-36.809978
3.8800001,0.65938342,-0.022055013,9.4966032e-05,-1.105155,0.1011415,0.021881223,0.028801627,-35.996647
3.9000001,0.65737092,-0.024180815,0.00012658951,-1.4309072,0.1107232,0.023127289,0.030856296,-35.177967
3.9200001,0.65528846,-0.026514994,0.00016813006,-1.8410577,0.12097105,0.024450811,0.033027798,-34.352486
3.9400001,0.65313351,-0.029076818,0.00022247041,-2.3538146,0.13190347,0.025856951,0.035319295,-33.518429
3.96,0.65090352,-0.031887211,0.00029326577,-2.9903076,0.14353745,0.027351452,0.037734073,-32.673634
3.98,0.64859545,-0.034968898,0.00038513864,-3.7748179,0.15588862,0.028940758,0.0402756,-31.815512
4.0,0.64620578,-0.038346555,0.00050392345,-4.7349739,0.16897154,0.03063217,0.042947624,-30.940962
4.02,0.6437307,-0.042467903,0.00065346941,-5.933351,0.18279989,0.032434031,0.045754261,-30.44632
4.04,0.64123255,-0.047234125,0.00083301199,-7.3512998,0.19669373,0.034256708,0.048597451,-30.32637
4.0599999,0.63873041,-0.052180715,0.001048393,-8.9512291,0.21045044,0.036072794,0.051447574,-30.177094
4.0799999,0.63622093,-0.057301983,0.0013050599,-10.74031,0.22410379,0.037887655,0.054309685,-29.994818
4.0999999,0.63370043,-0.062594078,0.0016093566,-12.726465,0.23769008,0.039707355,0.057189468,-29.775724
4.1199999,0.63116485,-0.06805519,0.0019687396,-14.918678,0.25124824,0.041538764,0.060093239,-29.515833
4.1399999,0.62860942,-0.073685713,0.0023920476,-17.327261,0.26481971,0.043389633,0.063027978,-29.210978
4.1599998,0.62602907,-0.079488464,0.0028898395,-19.9641,0.27844855,0.045268741,0.066001393,-28.856783
4.1799998,0.62341797,-0.085468888,0.0034748169,-22.842844,0.29218128,0.047186021,0.069021955,-28.448626
4.1999998,0.62076968,-0.091635302,0.0041623581,-25.97904,0.30606693,0.049152754,0.072098918,-27.981598
4.2199998,0.61807704,-0.097999081,0.0049711904,-29.390165,0.32015678,0.051181819,0.07524243,-27.45048
4.2399998,0.61533195,-0.10457499,0.0059242421,-33.095535,0.33450428,0.053287949,0.078463562,-26.849688
4.2600002,0.61252534,-0.11138141,0.0070497273,-37.116047,0.34916466,0.055488102,0.081774361,-26.173244
4.2800002,0.60964698,-0.11844066,0.00838253,-41.473652,0.36419451,0.057801869,0.085187942,-25.414755
4.3000002,0.60668534,-0.12577933,0.009965973,-46.190521,0.37965104,0.060252011,0.088718534,-24.567379
4.3200002,0.60362726,-0.1334286,0.011854078,-51.287773,0.39559123,0.062865064,0.09238153,-23.623844
4.3400002,0.60045791,-0.14142454,0.014114468,-56.783619,0.41207066,0.065672122,0.096193522,-22.576462
4.3600001,0.59716028,-0.14980835,0.016832085,-62.690845,0.42914185,0.068709701,0.10017233,-21.41721
4.3800001,0.59371513,-0.15862636,0.02011393,-69.013458,0.44685239,0.072020784,0.10433697,-20.137852
4.4000001,0.59010041,-0.16792978,0.024095109,-75.742424,0.46524262,0.075655982,0.10870761,-18.730131
4.4200001,0.58629102,-0.17777376,0.028946506,-82.850525,0.48434296,0.079674751,0.11330542,-17.18606
