Time,T,Th,Tc,B,A,alpha,alpha_0,alpha_1,delta_2,mu_1,mu_10,mu_11,mu_2,mu_20,beta_1,beta_2,mu_3,mu_30,gamma_1,gamma_2,mu_4,mu_40,delta_1,compartment,Formation_of_tumor_cell,Removal_of_tumor_cell_from_the_system,Formation_of_T_helper_cell,Removal_of_T_helper_cell_from_the_system,formation_of_cytotoxic_T_cell,Removal_of_cytotoxic_T_cell,Formation_of_B_cell,Removal_of_B_cell_from_the_system,introduction_of_antibody_against_cancer,Removal_of_antibody_from_the_system
0.3,0.6679222478012373,8.694392431733391,2.258714436040567,3.1069983441694675,0.8789458380998444,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.12022600460422271,2.209222341684571,2.7440368125826855,1.7388784863466782,2.3695923188080315,0.09305903476487136,9.234697205378072,0.09320995032508403,1.0874494204593135,0.5572174913695486
0.33,0.6105230223881792,8.720901764762488,2.325806380616287,3.392098940937898,0.8965626993774597,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.10989414402987226,1.8623912297748029,2.5130779245942287,1.7441803529524975,2.2948761820991423,0.09582322288139103,9.977765651221425,0.10176296822813694,1.1872346293282643,0.5426548943054534
0.36,0.562019734330411,8.740885065191085,2.390804609896892,3.700220053213777,0.9176505962240463,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.10116355217947397,1.5928219546684896,2.3167945721410215,1.748177013038217,2.2348188549915142,0.09850114992775194,10.787707017274249,0.1110066015964133,1.2950770186248217,0.5331640510162048
0.39,0.5204804078891496,8.75530221899121,2.4541000671863484,4.033396945708286,0.942322711270346,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.09368647342004693,1.379071428457661,2.147809592873721,1.751060443798242,2.186185260428947,0.10110892276807755,11.668020587192194,0.12100190837124856,1.4116889309979,0.5279270679437033
0.42,0.48449483944476157,8.764917974580532,2.5160001963179583,4.393778069980419,0.9707346866356431,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.08720907110005707,1.206662575259708,2.0007095172194123,1.7529835949161066,2.1466162758078546,0.10365920808829988,12.622859112545314,0.13181334209941256,1.5378223244931466,0.5263783790631913
0.45,0.45300956332318504,8.770351997036942,2.576750858149471,4.783643084919389,1.0030796038191936,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.0815417213981733,1.0655330646381813,1.8714303434952761,1.7540703994073885,2.114351824697233,0.1061621353557582,13.656938834373172,0.14350929254758168,1.6742750797217862,0.5281262077980212
0.48,0.42522174921150013,8.772113732465648,2.6365515014223995,5.205418822998683,1.0395850382582386,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.07653991485807002,0.9485117221322475,1.7568606874976296,1.7544227464931297,2.0880526428914297,0.10862592185860286,14.775490488201337,0.15616256468996048,1.821896588049539,0.5329025956886078
0.51,0.40050859053595544,8.770627399697403,2.6955659689850284,5.661694172358414,1.0805114858562084,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.07209154629647198,0.8503741661067374,1.6545763711945847,1.7541254799394808,2.0666814620944005,0.11105731792218317,15.984234737986087,0.16985082517075242,1.981592960325445,0.540530511885953
0.54,0.3783798080231664,8.766250103310933,2.7539302806952,6.15523447638717,1.126151775386442,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.06810836544416995,0.7672419813937694,1.5626613213869054,1.7532500206621866,2.0494232948907936,0.11346192756464224,17.28937494877522,0.1846570342916151,2.1543320667355093,0.5509020789037675
0.57,0.3584440544688011,8.759285471806926,2.811758458141241,6.6889958619387535,1.1768311549439332,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.0645199298043842,0.6961861381856098,1.4795802213324438,1.7518570943613854,2.03562885746459,0.11584444847541914,18.69759942567934,0.2006698758581626,2.3411485516785637,0.5639634117848326
0.6,0.34038518536032253,8.749993919560643,2.869146879307236,7.266139748593077,1.2329079215930325,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.061269333364858056,0.6349609753564198,1.404088268703887,1.7499987839121287,2.0247746746193824,0.11820885142745813,20.216091449143885,0.2179841924577923,2.543148912007577,0.5797041721897369
0.63,0.32394488085641804,8.738600619128864,2.926177641076998,7.890047712656476,1.294774453991564,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.058310078554155244,0.5818207462796804,1.3351648022092832,1.747720123825773,2.016433800689831,0.12055851881237233,21.852544170909415,0.23670143137969427,2.7615166994297664,0.5981501143145846
0.66,0.308910149235146,8.725301573173335,2.9829211004171747,8.564336866049315,1.362858617910565,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.055603826862326275,0.5353921310855101,1.2719654871799075,1.745060314634667,2.0102548981212607,0.1228963493371876,23.6151803780703,0.2569301059814794,2.99751790311726,0.6193580148957483
0.69,0.29510374440354487,8.710268527417805,3.0394379220109373,9.292875863906547,1.437625444538383,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.053118673992638074,0.4945825017128545,1.2137854737657208,1.742053705483561,2.0059461193218318,0.1252248423868506,25.512774920443775,0.2787862759171964,3.2525065523672914,0.6434119592280586
0.72,0.28237696022077496,8.693652855441702,3.0957806842952738,10.079801594013635,1.5195790787571037,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.05082785283973949,0.4585136832741022,1.160031620291449,1.7387305710883405,2.0032630153437756,0.12754616419296527,27.55467989862252,0.302394047820409,3.5279305579047717,0.6704207841643893
0.75,0.27060410694737036,8.675588680767282,3.151995162846553,10.929536658914477,1.6092649739791158,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.04870873925052666,0.4264732965448049,1.110201138581579,1.7351177361534564,2.0019992784009144,0.12986220070927798,29.7508522081328,0.3278860997674343,3.8253378306200667,0.7005163477563856
0.78,0.2596782592806444,8.656195407923935,3.2081213636828756,11.846807733756675,1.7072723238411807,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.04674208667051599,0.3978786209188063,1.0638651155778052,1.7312390815847871,2.001979645196286,0.13217460018373448,32.111883391860744,0.3554042320127002,4.146382706814836,0.7338524497389034
0.81,0.249507739395599,8.635579885933664,3.264194402266065,12.836664652290926,1.814236674132334,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.04491139309120782,0.37224886240649524,1.0206548138062224,1.7271159771867328,2.0030539412302955,0.13448480937336188,34.64903027637678,0.3850999395687278,4.492832628301824,0.7706040478853745
0.84,0.24001364760537708,8.613838029805425,3.320245153886307,13.904500723254591,1.930842832457173,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.04320245656896787,0.3491848830019826,0.9802520770327201,1.722767605961085,2.0050930504871785,0.13679410034011585,37.37424925073862,0.4171350216976377,4.866575253139106,0.8109671653225239
0.87,0.23112763355141647,8.59105631511245,3.3763008542839854,15.056073851852318,2.057827934849721,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.04160297403925496,0.32835288805309726,0.9423806050727924,1.7182112630224902,2.0079851537502678,0.1391035951965002,40.30023082680631,0.45168221555556953,5.269625848148311,0.8551588308738234
0.9,0.22279018733826472,8.567312983755324,3.432385579019511,16.297528766818324,2.1959847548428297,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.04010223372088765,0.3094719861236535,0.9067992603983159,1.7134625967510648,2.011632886943065,0.14141428585560387,43.440436321272855,0.4889258630045497,5.704135068386413,0.9034173539145527
0.93,0.21494925422452268,8.542679057094734,3.488520643156695,17.63542033906482,2.3461652393355457,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.038690865760414084,0.29230443441951415,0.8732966290573725,1.7085358114189468,2.0159510410192145,0.14372705049805584,46.80913614240568,0.5290626101719446,6.172397118672686,0.9560028060420008
0.96,0.2075591060458815,8.51721919150067,3.5447249371981977,19.076738109616226,2.5092842878763078,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.037360639088258665,0.2766479317941373,0.8416865794842336,1.7034438383001342,2.0208646933920296,0.14604266741256575,50.42144986257865,0.5723021432884867,6.676858338365679,1.0131976881661837
0.99,0.20057940573558178,8.490992416599928,3.6010152147020014,20.628932027782223,2.6863237749398237,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.03610429303240472,0.2623294593080077,0.8118045725114561,1.6981984833199857,2.0263076595775122,0.14836182684572247,54.29338792655419,0.6188679608334667,7.2201262097237775,1.0753077456773443
1.02,0.19397443967890546,8.464052762802243,3.6574063353110047,22.29993947122199,2.8783368282676296,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.03491539914220298,0.24920035093356463,0.7835046271415352,1.6928105525604487,2.032221228775454,0.1506851410148134,58.44189509089281,0.6689981841366597,7.804978814927696,1.1426629352154745
1.05,0.18771238032363907,8.436449864396344,3.7139114975538603,24.09821274969796,3.086452206981917,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.033788228458255035,0.23713209978658156,0.7566563961435224,1.687289972879269,2.038552890204159,0.15301315369921906,62.88489282717723,0.7229463824909388,8.434374462394286,1.2156183073584375
1.08,0.18176491182028218,8.408229319379634,3.7705423727350307,26.032749803061673,3.3118793228162757,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.03271768412765079,0.22601347269350658,0.7311436859709484,1.6816458638759268,2.045255813536538,0.15534634575668327,67.64132944672959,0.7809824940918502,9.111462431071585,1.2945555233804409
1.11,0.17610666357917765,8.379433174858445,3.8273092918048937,28.11312457119258,3.5559131880493786,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.03169919944425197,0.21574760371874882,0.7068622011014654,1.675886634971689,2.0522878524801476,0.15768514282236162,72.7312260312518,0.8433937371357774,9.839593599917402,1.3798839601771
1.14,0.17071483570129065,8.350100281200351,3.8842213782551274,30.349519062574412,3.8199397112749196,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.030728670426232316,0.20624983228882166,0.6837180528302615,1.6700200562400704,2.059610935447314,0.16002992078411124,78.17572523782721,0.9104855718772323,10.622331671901044,1.4720421034820426
1.17,0.16556891886747016,8.320266569157598,3.941286650052363,32.7527581616279,4.105441557003275,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.029802405396144628,0.1974459874064626,0.6616266404645788,1.6640533138315197,2.0671906349881377,0.16238100998215735,83.99714515095863,0.982582744848837,11.463465356569765,1.5714992271342905
1.2,0.16065036592072873,8.289965361165857,3.9985121362164615,35.3343441244209,4.414003942972132,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.02891706586573117,0.18927078133303327,0.6405113395035313,1.6579930722331715,2.0749955989073032,0.1647387000121182,90.21902944521628,1.060030323732627,12.367020443547315,1.6787568571986455
1.23,0.15594238021528412,8.259227593394272,4.055903957706796,38.10649389448298,4.74732101793058,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.02806962843875114,0.18166660669664325,0.6203026532190228,1.6518455186788543,2.0829972216106647,0.16710324305752,96.86620277317007,1.1431948168344894,13.337272863069042,1.794350574970244
1.26,0.15142971253530288,8.228082028456157,4.113467404800233,41.08217818212666,5.107202621393581,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.027257348256354518,0.17458248370560592,0.6009373976887566,1.6456164056912315,2.091169314942945,0.1694748570777696,103.96482794067529,1.2324653454637997,14.37876236374433,1.9188518988266619
1.29,0.14709847308287946,8.19655545469679,4.1712070093652915,44.27516124957861,5.495581195556898,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.0264777251549183,0.16797314880481654,0.5823579472018325,1.6393110909393582,2.0994877951772315,0.17185372878585,111.54246209335587,1.3282548374873582,15.496306437352512,2.052870159951772
1.32,0.14293598535404758,8.164672850032312,4.2291266033607,47.70004308871857,5.91451920767701,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.025728477363728564,0.16179831443084372,0.564511645704914,1.6329345700064626,2.107930450857604,0.17424001605846084,119.62811628308552,1.4310012926615572,16.6950150810515,2.19705457772548
1.35,0.13893061385890254,8.132457565215837,4.287229384676427,51.37230098481169,6.366216465599496,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.025007510494602456,0.15602195846823705,0.5473501173034274,1.6264915130431676,2.1164766346139423,0.1766338506486688,128.25231023664523,1.5411690295443505,17.98030534468409,2.3520961204420443
1.38,0.13507174079618223,8.099931377578244,4.34551793256983,55.30834042355477,6.853019452632157,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.0243129133433128,0.15061194373442438,0.5308291606440069,1.6199862755156489,2.1251072913511906,0.179035338821877,137.44714842354037,1.6592502127066429,19.357919148244168,2.5187304693782098
1.41,0.13134956374747794,8.067114702043739,4.4039942849591505,59.525535757004235,7.377428458852705,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.023642921474546028,0.14553936793744382,0.51490794466551,1.613422940408748,2.133804559864729,0.181444564540317,147.24636596080109,1.785766072710127,20.83393751495148,2.697739542480077
1.44,0.1277550857690294,8.034026629996873,4.462659949139342,64.04228634768602,7.942108122814615,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.022995915438425288,0.14077830051924733,0.49954895700931906,1.6068053259993746,2.142551815045032,0.18386158990454088,157.6854110916318,1.9212685904305804,22.414800221690104,2.8899547890529274
1.47,0.12427997050133796,8.000685088391688,4.521515958133655,68.87806046566529,8.549895289487555,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.02237039469024083,0.1363053176465943,0.48471742778475096,1.6001370176783376,2.1513333848295764,0.18628645747510658,168.8014927013673,2.0663418139699585,24.10732116298285,3.0962589540297873
1.5,0.12091653452360257,7.967106870756433,4.58056287829592,74.05345607949994,9.203810714892906,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.02176497621424846,0.13209930617646834,0.47038128768271925,1.5934213741512868,2.1601345841365087,0.1887191905857919,180.63366697226033,2.221603682384998,25.918709627824978,3.3175896624958976
1.53,0.1176576325931652,7.93330777008554,4.639800856145888,79.59024786903503,9.907067611385378,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.021178373866769733,0.12814110853116265,0.4565107121481159,1.586661554017108,2.1689414901473767,0.1911597952732106,193.22288554411136,2.3877074360710506,27.856586754162258,3.554941343963627
1.56,0.11449665151636533,7.899302603724275,4.699229624117507,85.51145290945571,10.663084602880687,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.020609397272945758,0.12441337433730465,0.44307808650682867,1.579860520744855,2.177740969387784,0.19360826051364127,206.61208628772795,2.5653435872836714,29.929008518309498,3.8093691217969816
1.59,0.1114274215098492,7.86510532218029,4.758848537933078,91.84138096159474,11.475495042942159,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.020056935871772857,0.12090029021712506,0.4300576540509563,1.573021064436058,2.1865205048524956,0.19606455976284282,220.84624190628904,2.755241428847842,32.14448333655815,4.081990924474698
1.62,0.10844420984658777,7.83072903292723,4.818656582219692,98.60570485330109,12.34816125459378,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.0195199577723858,0.11758746327272314,0.41742548151944003,1.566145806585446,2.195268215364167,0.1985286511874513,235.97245373620328,2.9581711455990325,34.51199669865538,4.37399167153447
1.65,0.10554165494680393,7.796186085569287,4.87865239909175,105.83151548710022,13.285184993798989,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.018997497890424705,0.11446171741629114,0.4051591969434742,1.5592372171138575,2.2039727288650433,0.2010004788425801,252.04000359731316,3.1749454646130064,37.04103042048507,4.686625703399692
1.68,0.10271476176864036,7.761488092282454,4.938834292937336,113.54739756159272,14.290923208979223,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.018488657118355265,0.11151100266398001,0.39323796276363987,1.5522976184564907,2.2126232005397197,0.20347997286901823,269.1004514239802,3.4064219268477816,39.74158914655745,5.021221349125884
1.71,0.09995882771533374,7.726646022836141,4.999200262295411,121.78347840922028,15.369996810238026,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.01799258898876007,0.1087241981720049,0.3816421851572145,1.5453292045672282,2.2212091593227505,0.20596705080657093,287.20766369655024,3.653504352276608,42.624217443227096,5.379182474641313
1.74,0.09726946260410277,7.691670196768689,5.05974799453577,130.5715182802733,16.527310523240363,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.0175085032687385,0.10609107913984092,0.3703535818764593,1.538334039353738,2.2297205807844946,0.20846161737487373,306.41793653494625,3.9171455484081985,45.70003139809565,5.76199446341547
1.77,0.09464255730601567,7.656570332105889,5.120474880971798,139.94497689703823,17.76806632850522,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.017035660315082822,0.10360220326443957,0.3593550548861848,1.531314066421178,2.2381478344324433,0.21096356509603809,326.7900568201866,4.198349306911147,48.98074191396338,6.171227516407887
1.8,0.0920742328753897,7.621355615866593,5.181378040110778,149.93907254068415,19.09777496286059,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.016573361917570147,0.10124877212511818,0.3486304908535225,1.5242711231733186,2.2464815797060287,0.21347277525256406,348.3853412014177,4.498172176220525,52.47867538923945,6.608538978524284
1.83,0.08956086728639177,7.586034689996685,5.242454311704016,160.5908863562275,20.52228013720311,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.016120956111550518,0.09902262506948982,0.33816485475981484,1.5172069379993371,2.2547128541260655,0.21598911764220546,371.2677764531177,4.817726590686824,56.206810224679614,7.075680645052034
1.86,0.08709904134239137,7.550615724409627,5.303700279790781,171.9394128222454,22.04776733504153,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.015677827441630446,0.09691610120534236,0.3279439793558464,1.5101231448819254,2.2628329573676935,0.21851245152738016,395.5040280093419,5.158182384667362,60.178794487785886,7.574499899823563
1.89,0.08468554166407856,7.515106429045724,5.365112276251132,184.02565375608293,23.680785599130115,0.18,4.6,0.101,0.008,1.5,0.2,0.3,1.4,0.0412,0.3,0.05,0.45,0.03,0.4,0.3,0.35,0.3,0.5,1.0,0.01524339749953414,0.09492200105135792,0.3179545700781987,1.5030212858091447,2.270833478080938,0.22104262578154665,421.16354545662125,5.5207696126824874,64.40897881462902,8.106945757485656
