I2_3_task1,L_1_task1,T_2_task1,_1_task1
23034963.102355435,2403442.5205363394,21456.714028532144,40.0
22967355.440190323,2243896.335020448,24095.045512784847,41.0
23408690.47227167,2103820.1152081615,27910.37610575116,42.0
24316746.64688378,1990297.4158943037,32867.35243227069,43.0
25616356.39783294,1907451.0062693313,38815.429355252105,44.0
27198078.23789075,1857168.549938173,45423.054422857356,45.0
28925666.95868123,1839709.4490374783,52149.33254226411,46.0
30651160.759422936,1854118.5156123315,58278.0239179705,47.0
32233824.440127335,1898417.9691540222,63028.3473423019,48.0
33556175.750341214,1969604.4620876776,65723.21257839834,49.0
34532665.00331702,2063492.3521674466,65964.77657641275,50.0
35110443.847489946,2174474.2691466846,63750.727333194394,51.0
35265686.36255721,2295303.8085552296,59481.1347398636,52.0
35000495.02844078,2417065.1956276516,53848.86091581951,53.0
34343426.315764576,2529550.809199918,47657.543595609095,54.0
33352653.792453256,2622238.741051227,41637.98555244411,55.0
32116754.873679508,2685849.255436997,36326.22163911169,56.0
30748463.747028403,2714110.124651308,32028.551793956965,57.0
29370904.63435576,2705087.53146809,28857.908366098924,58.0
28100935.58705243,2661525.8659294895,26803.720830722898,59.0
27035786.291281596,2590080.868859127,25799.49569471321,60.0
26246349.95338369,2499816.6304032193,25768.59282849484,61.0
25776294.104639426,2400549.064281085,26644.189353990987,62.0
25643964.42832528,2301499.401652028,28367.58011127815,63.0
25844361.6843643,2210457.0939152776,30871.29832646119,64.0
26350218.95652432,2133422.281978154,34053.68790439106,65.0
27112904.30071319,2074588.2275339165,37752.322721224096,66.0
28064680.23559358,2036505.2805996935,41725.40828896405,67.0
29123510.691808965,2020302.251103464,45651.17480695375,68.0
30200424.074860647,2025883.9227670925,49152.83969549721,69.0
31208208.430473264,2052064.6533026178,51850.03570931032,70.0
32069508.203512866,2096630.7769334754,53427.26797446737,71.0
32722891.84850014,2156352.2923634793,53701.10417677131,72.0
33126191.559600633,2226987.7605595957,52663.48913604233,73.0
33257693.61672754,2303341.8112927983,50484.62913202789,74.0
33116484.934578948,2379458.1877956325,47475.0133860174,75.0
32722183.498768847,2449009.664892076,44017.16829605485,76.0
32114157.579128847,2505908.3632066688,40491.89711078939,77.0
31349071.12577463,2545069.3616647767,37220.197252284626,78.0
30496022.58267213,2563160.9229865614,34433.55207732127,79.0
29629491.51670842,2559127.209817642,32272.168480072487,80.0
28821482.38472137,2534314.317780474,30801.707872601313,81.0
28134649.877925575,2492165.329455514,30036.365597741587,82.0
27617589.15383996,2437592.1285636774,29958.8340175813,83.0
27302452.3178768,2376215.892325294,30532.22765197387,84.0
27204286.565047897,2313659.488160689,31703.18704598065,85.0
27321363.170856416,2255007.104088844,33397.95652055884,86.0
27636087.533868365,2204466.6172189084,35514.76991801053,87.0
28116526.54441443,2165210.2710458343,37916.72672763229,88.0
28718829.70884018,2139342.2847230504,40429.62857789025,89.0
29390735.6795753,2127938.3468458424,42848.666352842745,90.0
30076028.426826138,2131113.5842643925,44955.856891979034,91.0
30719424.470973972,2148092.463709523,46546.96495392168,92.0
31271210.345429383,2177272.115537498,47462.7322390763,93.0
31691091.297159895,2216286.1565981107,47617.02862689143,94.0
31950846.561867367,2262090.5597204263,47013.06275630815,95.0
32035792.250370257,2311096.670674,45742.33335081378,96.0
31945445.91415579,2359378.0051503656,43967.65976963061,97.0
31693193.287599552,2402966.9322627936,41893.11654065521,98.0
31305112.073409557,2438224.6058315886,39731.090016558446,99.0
30817729.574802004,2462239.5221159696,37674.04992545081,100.0
