Time,L,T,I2,alpha_T,beta_T,gama_prime_L,VL,alpha_L,beta_L,alpha_I2,alpha_bar_L,gama_T,K_T,compartment,Activation_and_transfer_of_cytotoxic_T_lymphocyte_at_the_site_of_tumor,Deactivation_and_removal_of_cytotoxic_T_lymphocyte_from_the_site_of_action,Formation_and_removal_of_tumor,Secretion_of_interleukin_2,Removal_of_interleukin_2_from_site_of_tumor
10.0,922869.6461492936,556174.7950773779,26860457.42426147,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,324408.1383015098,304546.9832292669,15718.33954233097,11431228.315837555,11495866.46173475
11.0,942151.4585963165,540287.0696115695,26902968.44342043,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,329932.0424994384,310909.9813367845,15991.520164005371,11402559.192409385,11266195.432867369
12.0,961442.1251163594,524247.84337619395,27111152.17740363,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,337051.4572615799,317275.90128839866,16086.296867656405,11372013.13207231,11100898.668305987
13.0,982062.1728362953,508079.71119300945,27430971.843863767,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,345695.3061387613,324080.51703597745,16279.2700765903,11339450.90848684,10976468.0740265
14.0,1004930.0307362253,491616.8685317273,27828594.2315065,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,355861.3215584963,331626.9101429544,16686.173830233514,11304304.947792357,10875206.335867297
15.0,1030738.4281831078,474625.39080533903,28284596.76552864,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,367624.8060377507,340143.68130042555,17336.41889597199,11265726.052429812,10784393.31736791
16.0,1060084.976622856,456866.09404940077,28789294.038451977,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,381139.0711676348,349828.04228554247,18217.69037264146,11222650.206800971,10695143.004190488
17.0,1093565.0994896528,438122.5549725173,29339246.993847907,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,396635.3279220099,360876.48283158545,19299.834340767906,11173801.086268213,10601331.516396899
18.0,1131838.9808085416,418211.65895327507,29934746.720032267,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,414425.00086179527,373506.86366681877,20546.049970140826,11117643.8043945,10498746.3292583
19.0,1175684.4403526185,396988.7060703839,30577891.6879704,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,434904.5196157112,387975.8653163641,21917.33890335716,11052302.115371905,10384488.050112767
20.0,1226038.9858493663,374349.3702462095,31271096.4409735,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,458561.87533219985,404592.8653302909,23371.6643599784,10975428.732017042,10256580.573542029
21.0,1284035.389677716,350234.32346302003,32015714.092162553,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,485982.16820938885,423731.67859364627,24860.390109639557,10884026.518662427,10113795.751796918
22.0,1351030.4313607016,324638.055183143,32810527.553545956,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,517847.4098190098,445840.04234903154,26322.965538308985,10774205.192345917,9955669.662774015
23.0,1428619.325320148,297624.4738682238,33649863.11133061,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,554921.1628787222,471444.37735564884,27680.96969009342,10640862.4150122,9782722.803328183
24.0,1518619.2355538618,269347.58973631426,34521033.64676099,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,598000.6266990158,501144.34773277445,28831.979434999434,10477268.164564839,9596787.935247885
25.0,1622993.8188347623,240076.96639257672,35400957.43750023,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,647809.7975087643,535587.9602154716,29645.68957990402,10274559.192297474,9401375.266257033
26.0,1743663.0596523483,210223.4971427329,36251952.68035233,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,704790.7882170534,575408.809685275,29964.914649665006,10021198.492573708,9201806.686786603
27.0,1882127.1245841503,180368.86094562404,37017177.42858643,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,768743.2337674781,621101.9511127697,29621.472991186616,9702723.302275408,9004940.669739213
28.0,2038804.5249956064,151256.55644680816,37617139.36233339,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,838270.5400982249,672805.4932485501,28462.29743430685,9302071.178598838,8817097.316450145
29.0,2212003.613270456,123752.31811419381,37950155.53304724,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,910064.223516435,729961.1923792505,26396.244321868333,8801613.50373958,8640065.171982039
30.0,2396570.0741927386,98758.60817999864,37901587.0695733,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,978254.7124199631,790868.1244836038,23454.457349982244,8188471.737388748,8465482.687423788
31.0,2582584.6254169634,77069.49489305435,37365688.44767175,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,1034350.5197804652,852252.9263875979,19833.447963731945,7463953.329649401,8269641.590298679
32.0,2754939.129255822,59199.18133825083,36281300.12992778,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,1068532.4565433024,909129.9126544213,15880.229099813594,6654633.225016289,8014446.398904219
33.0,2894874.6877303817,45274.83732107621,34669850.85242311,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,1072612.2492346657,955308.646951026,12008.274966111843,5817901.9579900475,7660065.087375464
34.0,2984065.9320655526,35034.04585696599,32654055.42266498,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,1043674.3578724943,984741.7575816324,8565.555116870833,5031658.23098438,7186204.811378374
35.0,3010088.832006465,27939.142128968993,30437350.91280349,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,986029.3875790666,993329.3145621335,5730.801672260855,4368814.416955724,6608122.2761606425
36.0,2970508.4103108966,23368.407546993927,28251079.980116513,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,909808.6997448887,980267.7754025959,3504.8764756070013,3875696.778591081,5974445.28037386
37.0,2873392.0490190247,20765.841125712504,26299191.74158685,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,827122.0956144342,948219.3761762782,1768.426465985176,3567237.1823883685,5347923.030140254
38.0,2734296.3815984535,19722.721878079657,24728134.806316573,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,748379.0902934427,902317.8059274897,358.6325965219803,3437321.07511306,4784413.311353056
39.0,2571758.3769148,19990.861700525766,23625742.011535544,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,680521.0292970451,848680.2643818841,-876.8115714535015,3471076.2637634478,4321857.496456074
40.0,2403442.5205363394,21456.714028532144,23034963.102355435,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,627095.7768139485,793136.031776992,-2051.6747864712306,3651251.3376581715,3980179.891950044
41.0,2243896.335020448,24095.045512784847,22967355.440190323,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,589210.0105038146,740485.7905567479,-3226.9197959749654,3958050.9727037027,3766643.723287628
42.0,2103820.1152081615,27910.37610575116,23408690.47227167,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,566551.9714738431,694260.6380186933,-4399.144298600571,4365887.364366698,3681554.41094027
43.0,1990297.4158943037,32867.35243227069,24316746.64688378,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,558135.8243410676,656798.1472451203,-5490.819738056372,4840988.83291146,3721728.7030930324
44.0,1907451.0062693313,38815.429355252105,25616356.39783294,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,562733.2534012026,629458.8320688794,-6350.367283522839,5342625.921446368,3881132.871593387
45.0,1857168.549938173,45423.054422857356,27198078.23789075,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,579063.0136694685,612865.6214795972,-6774.065184394814,5828067.941919328,4149130.4845410404
46.0,1839709.4490374783,52149.33254226411,28925666.95868123,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,605826.7459536106,607104.1181823679,-6557.061099286802,6258961.443788148,4507758.095012536
47.0,1854118.5156123315,58278.0239179705,30651160.759422936,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,641625.7584216563,611859.1101520694,-5567.159949359135,6605806.606731566,4929789.182179507
48.0,1898417.9691540222,63028.3473423019,32233824.440127335,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,684813.3881637687,626477.9298208273,-3817.5469465539863,6849218.996724982,5379641.411860655
49.0,1969604.4620876776,65723.21257839834,33556175.750341214,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,733314.6955358566,649969.4724889336,-1503.961528404754,6978574.057201087,5817674.953863173
50.0,2063492.3521674466,65964.77657641275,34532665.00331702,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,784453.1123296205,680952.4762152574,1021.0698011303612,6989880.63331806,6206460.839675201
51.0,2174474.2691466846,63750.727333194394,35110443.847489946,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,834832.8915743955,717576.5088184059,3338.046244061632,6884484.530028552,6516174.723126686
52.0,2295303.8085552296,59481.1347398636,35265686.36255721,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,880360.0957709886,757450.2568232258,5082.188386853057,6669417.081044727,6726845.046341781
53.0,2417065.1956276516,53848.86091581951,35000495.02844078,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,916524.9357935303,797631.514557125,6045.149997069784,6359168.6828171145,6827425.852545953
54.0,2529550.809199918,47657.543595609095,34343426.315764576,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,939047.0740946265,834751.767035973,6213.819408888186,5977663.842111407,6813884.562962495
55.0,2622238.741051227,41637.98555244411,33352653.792453256,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,944840.3468252565,865338.7845469048,5735.790770194086,5558372.666123274,6688835.607887296
56.0,2685849.255436997,36326.22163911169,32116754.873679508,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,932981.545428794,886330.2542942091,4837.7061002460905,5140916.956056299,6463219.337733026
57.0,2714110.124651308,32028.551793956965,30748463.747028403,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,905201.6960555065,895656.3411349318,3740.2183296119874,4764534.064637472,6157998.291082873
58.0,2705087.53146809,28857.908366098924,29370904.63435576,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,865563.5923519076,892678.8853844698,2603.9928816880674,4461206.848722744,5803161.979560712
59.0,2661525.8659294895,26803.720830722898,28100935.58705243,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,819434.5325254095,878303.5357567315,1516.146513273845,4251658.511198279,5433348.574323999
60.0,2590080.868859127,25799.49569471321,27035786.291281596,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,772246.2411913619,854726.686723512,505.30659091791676,4145190.059449574,5081997.978278982
61.0,2499816.6304032193,25768.59282849484,26246349.95338369,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,728549.5147984279,824939.4880330624,-432.48619013577627,4141870.11286854,4776708.892076919
62.0,2400549.064281085,26644.189353990987,25776294.104639426,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,691584.8610659096,792181.1912127581,-1309.2757487032504,4234926.56813794,4537179.458011726
63.0,2301499.401652028,28367.58011127815,25643964.42832528,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,663293.7309989874,759494.8025451693,-2126.7298681160537,4412161.606707577,4375413.302085497
64.0,2210457.0939152776,30871.29832646119,25844361.6843643,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,644565.740966861,729450.8409920416,-2864.231996978928,4656512.409888817,4297018.612858289
65.0,2133422.281978154,34053.68790439106,26350218.95652432,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,635539.8281428361,704029.3530527909,-3473.7887547984283,4946575.901288799,4302498.12844042
66.0,2074588.2275339165,37752.322721224096,27112904.30071319,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,635856.3095574813,684614.1150861925,-3883.1621681871984,5257847.593327054,4387934.971676202
67.0,2036505.2805996935,41725.40828896405,28064680.23559358,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,644823.3080314689,672046.7425978989,-4008.9003512708077,5564847.495825356,4545022.146153838
68.0,2020302.251103464,45651.17480695375,29123510.691808965,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,661499.1126859048,666699.7428641432,-3778.8750663801693,5843654.06985648,4760812.253111444
69.0,2025883.9227670925,49152.83969549721,30200424.074860647,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,684707.2805806834,668541.6945131406,-3159.807016464183,6074080.550217766,5017776.6953744115
70.0,2052064.6533026178,51850.03570931032,31208208.430473264,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,713008.487989442,677181.335589864,-2180.8346607481,6240974.708767226,5294700.089481748
71.0,2096630.7769334754,53427.26797446737,32069508.203512866,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,744655.3872159958,691888.1563880469,-942.5392660993748,6334612.121814458,5568537.479114957
72.0,2156352.2923634793,53701.10417677131,32722891.84850014,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,777564.6202177273,711596.2564799482,395.872459031787,6350584.57939134,5816886.0480383895
73.0,2226987.7605595957,52663.48913604233,33126191.559600633,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,809339.0692561136,734905.9609846666,1650.1318858064187,6289620.378935336,6020324.07572363
74.0,2303341.8112927983,50484.62913202789,33257693.61672754,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,837377.978920284,760102.7977266235,2654.4495037860543,6157585.478866061,6163994.72929978
75.0,2379458.1877956325,47475.0133860174,33116484.934578948,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,859112.9831630863,785221.2019725587,3299.6809124366337,5965695.777515054,6238408.8943614485
76.0,2449009.664892076,44017.16829605485,32722183.498768847,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,872355.7420840835,808173.1894143851,3551.608166760241,5730377.3217325015,6239661.266893157
77.0,2505908.3632066688,40491.89711078939,32114157.579128847,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,875703.8469432704,826949.7598582007,3445.1005594663584,5472357.35989487,6169598.668187687
78.0,2545069.3616647767,37220.197252284626,31349071.12577463,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,868877.0483447033,839872.8893493763,3059.893260194767,5214654.0803757785,6035947.272209661
79.0,2563160.9229865614,34433.55207732127,30496022.58267213,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,852845.512565167,845843.1045855653,2490.4672636767136,4979772.213705547,5852027.09572384
80.0,2559127.209817642,32272.168480072487,29629491.51670842,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,829673.8157393481,844511.9792398219,1821.8123996504037,4786895.997535615,5635589.346785008
81.0,2534314.317780474,30801.707872601313,28821482.38472137,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,802122.6851258451,836323.7248675565,1117.0741991947289,4649920.373622126,5406733.482212845
82.0,2492165.329455514,30036.365597741587,28134649.877925575,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,773150.3699231456,822414.5587203196,416.6509311928239,4576684.586598823,5185410.468421537
83.0,2437592.1285636774,29958.8340175813,27617589.15383996,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,745472.1375199282,804405.4024260136,-255.4392533735445,4569189.272988363,4989225.491287114
84.0,2376215.892325294,30532.22765197387,27302452.3178768,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,721277.5588622049,784151.2444673472,-882.5633353210178,4624288.674953095,4832029.48756824
85.0,2313659.488160689,31703.18704598065,27204286.565047897,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,702120.4117256677,763507.6310930274,-1447.2169968023882,4734465.3418879295,4723361.384551071
86.0,2255007.104088844,33397.95652055884,27321363.170856416,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,688937.6936323579,744152.3443493185,-1925.4872657811502,4888576.653546529,4668486.572395742
87.0,2204466.6172189084,35514.76991801053,27636087.533868365,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,682136.0407496291,727473.9836822398,-2285.346068684885,5072682.2956974935,4668689.869862421
88.0,2165210.2710458343,37916.72672763229,28116526.54441443,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,681694.1013949797,714519.3894451254,-2489.388557197868,5271089.165991086,4721577.867286287
89.0,2139342.2847230504,40429.62857789025,28718829.70884018,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,687250.1269624354,705982.9539586067,-2501.938023667557,5467622.93648896,4821321.314507495
90.0,2127938.3468458424,42848.666352842745,29390735.6795753,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,698162.567596328,702219.654459128,-2299.2933933440727,5646977.970338972,4958923.976461337
91.0,2131113.5842643925,44955.856891979034,30076028.426826138,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,713544.7841371989,703267.4828072495,-1880.4702733494269,5795918.154545513,5122680.356606083
92.0,2148092.463709523,46546.96495392168,30719424.470973972,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,732282.8255363714,708870.5130241426,-1274.732572200599,5904160.135180974,5298950.179917489
93.0,2177272.115537498,47462.7322390763,31271210.345429383,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,753050.7496116902,718499.7981273744,-542.3955374549769,5964888.955215811,5473254.939133119
94.0,2216286.1565981107,47617.02862689143,31691091.297159895,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,774341.6166008852,731374.4316773765,232.93459707281,5975011.160646747,5631574.274338667
95.0,2262090.5597204263,47013.06275630815,31950846.561867367,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,794529.5129884924,746489.8847077407,959.3159671585818,5935209.63895657,5761587.475246577
96.0,2311096.670674,45742.33335081378,32035792.250370257,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,811974.3468411228,762661.90132242,1554.3000875680664,5849862.053455999,5853654.291868228
97.0,2359378.0051503656,43967.65976963061,31945445.91415579,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,825176.6863003399,778594.7416996207,1960.370001800955,5726884.957283335,5901525.130116473
98.0,2402966.9322627936,41893.11654065521,31693193.287599552,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,832961.1849343571,792979.087646722,2152.844685709926,5577234.796881478,5902707.481924707
99.0,2438224.6058315886,39731.090016558446,31305112.073409557,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,834656.0560024569,804614.1199244243,2138.915190126485,5414070.901341432,5858605.949022656
100.0,2462239.5221159696,37674.04992545081,30817729.574802004,0.22,8.4e-08,4e-07,79000.0,9.9e-09,0.33,12500000.0,6.6e-08,6.6e-07,52000.0,1.0,830218.2542355007,812539.04229827,1949.4444239460354,5251526.215885555,5774400.6254128255
