Time,I,E,A,T,M,P,J,W2,W3,U,W,n,k,cell,U1,U2,U3,U6_plus_3U7,U6_plus_U7_minus_U8
0.41000000000000003,12.244776100378465,2.073276109279837,1.1113501094058365,0.9766595647084637,0.014733564834462939,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.3917955392296464,2.362449718663279,0.04,0.006804859884188233
0.42,12.293901019713843,2.0725853892583777,1.1114188436080255,0.9760430296546588,0.01487648400430656,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.3998752795112,2.3710399770745134,0.04,0.006941525262599706
0.43,12.342784295483924,2.071899767616712,1.1114889307725657,0.9754303275635552,0.01501949071940852,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.4079052256780376,2.3795814748395916,0.04,0.007075602876179379
0.44,12.391427388214234,2.071219194510535,1.1115603445738536,0.9748214280581068,0.015162578121425407,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.4158857884514675,2.3880745383023645,0.04,0.007207158336498531
0.45,12.439831808849437,2.070543758476219,1.1116330610163452,0.9742164133642245,0.015305715904350925,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.4238176655342984,2.396518124241697,0.04,0.007336233963103105
0.46,12.487999030029986,2.0698734920935515,1.1117070561466917,0.9736153193096948,0.015448883362834823,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.431701432632361,2.404911771748395,0.04,0.007462880087278301
0.47000000000000003,12.535930449260581,2.069208291310892,1.1117823051039797,0.9730180697157391,0.015592083508826793,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.439537369566058,2.413256393503683,0.04,0.007587166495095363
0.48,12.583627475567296,2.068548105256657,1.111858784354318,0.9724246314771868,0.015735310574847523,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.4473258621149463,2.421552379863794,0.04,0.007709152854267804
0.49,12.63109153834942,2.067892949282737,1.1119364714492441,0.9718350252853843,0.015878547451891285,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.455067432910763,2.4297994695680476,0.04,0.007828887379941998
0.5,12.678324071369993,2.0672428725087015,1.1120153448062229,0.9712492989200983,0.016021771217619718,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.462762673159982,2.4379970813449727,0.04,0.00794641231085197
0.51,12.72532642714325,2.066597784260481,1.112095382534837,0.9706673854692122,0.016164983743568156,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.470411866455482,2.446146037503931,0.04,0.008061789054755077
0.52,12.772099971918047,2.06595764662913,1.1121765637390773,0.9700892608264771,0.0163081779364244,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.4780154041919693,2.4542466423329925,0.04,0.00817506967286982
0.53,12.818646070633658,2.0653224356426736,1.112258867749014,0.9695149122159337,0.01645134432227428,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.485573703979503,2.4622990613849,0.04,0.008286302737337348
0.54,12.86496610159159,2.064692161887484,1.112342273706357,0.968944355309629,0.016594467128502172,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.493087257077379,2.4703031094528187,0.04,0.008395530566056018
0.55,12.91106138327707,2.064066767655108,1.1124267626315498,0.9683775486106597,0.01673754358710163,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.5005563944599207,2.478259319556018,0.04,0.008502804161019856
0.56,12.956933239634116,2.0634462186870675,1.1125123155799264,0.9678144698865316,0.016880566779390576,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.507981494934335,2.4861679864990744,0.04,0.008608169760070773
0.5700000000000001,13.002582985290333,2.0628304805598017,1.1125989138717691,0.9672550966525049,0.017023529964472168,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.5153629324338436,2.494029408152438,0.04,0.008711672305123416
0.58,13.048011942921695,2.062219528259873,1.1126865376265376,0.9666994149381415,0.01716642430480612,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.5227011022656574,2.5018437612335065,0.04,0.008813353880881988
0.59,13.093221395406454,2.061613319800895,1.1127751698015853,0.9661473951219613,0.017309245122651567,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.529996348985416,2.509611444203116,0.04,0.008913258227845824
0.6,13.138212624119413,2.061011817339586,1.112864792959717,0.9655990112929391,0.017451986913070188,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.5372490240012233,2.517332801936106,0.04,0.00901142714568831
0.61,13.182986899577832,2.06041498212753,1.1129553900663167,0.9650542366101428,0.0175946445489293,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.54445947172272,2.5250081918960103,0.04,0.009107901400681984
0.62,13.227545526733664,2.0598228058950467,1.1130469411066468,0.9645130710345168,0.017737206246117188,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.551628111647754,2.5326376097925003,0.04,0.00920271609887092
0.63,13.271889734142027,2.0592352340538835,1.1131394313634224,0.9639754734287305,0.017879670738269127,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.558755237952694,2.5402216075720325,0.04,0.009295912269270217
0.64,13.316020761589808,2.058652226416766,1.1132328448721736,0.963441415277476,0.018022033732883396,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.5658411776820675,2.5477605660375637,0.04,0.0093875276680129
0.65,13.359939836991886,2.058073741188346,1.1133271661467752,0.9629108665279825,0.01816429148641167,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.5728862490399145,2.555254886480212,0.04,0.009477599239429417
0.66,13.40364817639113,2.0574997349652007,1.1134223801794478,0.9623837955958745,0.01830644081012171,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.5798907613654034,2.5627049904450723,0.04,0.009566163136018456
0.67,13.4471469839584,2.056930162735834,1.1135184724407574,0.9618601693709099,0.018448479075833097,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.5868550151091494,2.5701113195031917,0.04,0.009653254738017113
0.68,13.490437451992548,2.0563649778806745,1.113615428879615,0.9613399532225887,0.018590404221529206,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.593779301810155,2.5774743350295037,0.04,0.009738908672567655
0.6900000000000001,13.533520760920423,2.0558041321720775,1.1137132359232775,0.9608231110056531,0.018732214756853233,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.6006639040734307,2.584794517986832,0.04,0.009823158832481103
0.7000000000000001,13.576398179740101,2.055247670428417,1.1138118748336892,0.960309685320711,0.01887388972598329,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.607509332754978,2.5920713528095343,0.04,0.009906026663353542
0.71,13.619070893850518,2.0546955682669275,1.1139113313813098,0.9597996597734723,0.019015422887854627,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.614315922069705,2.5993050767888874,0.04,0.009987541767243471
0.72,13.661540007446325,2.054147734360525,1.114011595710555,0.9592929610887482,0.019156822438778254,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.621083833355117,2.6064966467062485,0.04,0.010067741109919275
0.73,13.703806668363406,2.0536041280877333,1.114112655325033,0.958789558853082,0.01929808609038171,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.627813350033615,2.613646476626289,0.04,0.010146654498794833
0.74,13.745872013451919,2.0530647080542024,1.114214498156899,0.9582894218402501,0.019439211942946955,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.634504748892183,2.6207549916707293,0.04,0.010224311063128218
0.75,13.787737168576296,2.0525294320927077,1.114317112566857,0.9577925180142289,0.01958019848837837,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.6411583000818135,2.62782262791352,0.04,0.010300739272883394
0.76,13.82940324861524,2.0519982572631497,1.1144204873441572,0.9572988145321021,0.01972104461310975,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.6477742671171542,2.634849832279044,0.04,0.010375966957037193
0.77,13.870871357461725,2.0514711398525534,1.1145246117065974,0.9568082777469034,0.019861749600947515,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.6543529068763614,2.641837062443019,0.04,0.010450021321344635
0.78,13.912142628464913,2.05094805843486,1.1146294724813892,0.9563208935609687,0.020002307607498066,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.660894533960242,2.6487845158910406,0.04,0.010522926104242387
0.79,13.95321836655181,2.0504290949080546,1.1147350441981043,0.9558367388260486,0.02014268811609828,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.6673997479225218,2.655691183387288,0.04,0.01059469182182852
0.8,13.99409950387595,2.049914124107526,1.114841327034451,0.9553557074881239,0.02028291041504889,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.6738685664369224,2.662558491637384,0.04,0.010665354140722285
0.81,14.034787122510581,2.0494031118433393,1.1149483103802487,0.9548777736954622,0.0204229722323717,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.6803012563665294,2.6693867988763684,0.04,0.010734936711678885
0.8200000000000001,14.075282295089357,2.048896024034279,1.1150559839460865,0.9544029115531453,0.020562871464952948,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.686698080673144,2.6761764646326807,0.04,0.010803462596982314
0.8300000000000001,14.115586084806328,2.048392826707849,1.1151643377633231,0.9539310951234169,0.020702606178890748,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.693059298437633,2.6829278497359046,0.04,0.010870954288377529
0.84,14.155699545415942,2.047893486000273,1.1152733621840871,0.9534622984260187,0.02084217460983277,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.6993851648800864,2.6896413163247113,0.04,0.010937433724375056
0.85,14.19562372123305,2.0473979681564938,1.1153830478812765,0.9529964954385169,0.020981575163299793,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.7056759313797953,2.6963172278547454,0.04,0.011002922306950755
0.86,14.2353596471329,2.0469062395301743,1.115493385848559,0.9525336600966154,0.021120806415000064,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.711931845495033,2.7029559491066877,0.04,0.011067440917666416
0.87,14.274908475144954,2.0464183407124135,1.1156043594993927,0.9520738306032959,0.021259849390275105,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.7181533586885425,2.7095570153741155,0.04,0.011131001821728086
0.88,14.314271203278844,2.0459342277421237,1.1157159615915542,0.9516169715562485,0.021398705405678897,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.724340682499806,2.7161209174223946,0.04,0.011193626310044858
0.89,14.353448816032401,2.045453854382408,1.115828185457743,0.9511630454711203,0.021537376546455267,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.730494017774245,2.72264817284862,0.04,0.011255335394756706
0.9,14.392442325041857,2.044977195923829,1.1159410224685211,0.9507120333984034,0.02167585994309577,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.736613621681958,2.7291390607990684,0.04,0.011316147290818005
0.91,14.431252733479479,2.044504228336964,1.1160544642543286,0.9502639168249211,0.021814152742285858,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.742699749441312,2.7355938562094138,0.04,0.01137607973776002
0.92,14.469881036053563,2.0440349282724073,1.1161685027054842,0.9498186776728058,0.021952252105882624,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.7487526543494414,2.7420128298672033,0.04,0.01143515001445158
0.93,14.50832821900844,2.0435692730607675,1.1162831299721845,0.9493762982984878,0.02209015520990491,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.7547725878123455,2.748396248472984,0.04,0.011493374953320869
0.9400000000000001,14.54659526012448,2.0431072407126702,1.1163983384645044,0.9489367614917082,0.022227859243542352,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.760759799374632,2.7547443747004725,0.04,0.011550770954063221
0.9500000000000001,14.584683163082326,2.042648801254584,1.1165141177345406,0.9485000454634434,0.02236536194340018,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.766714528650701,2.761057486760713,0.04,0.011607354250905368
0.96,14.622592961422313,2.042193915730541,1.1166304541171743,0.9480661232742874,0.02250266166092078,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.772637004230707,2.7673358804178014,0.04,0.011663140942292967
0.97,14.660325556817982,2.041742576977845,1.1167473454034649,0.9476349864118009,0.022639754837420683,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.778527481965557,2.773579777470226,0.04,0.011718145817234361
0.98,14.69788190304544,2.0412947632433207,1.116864784149168,0.9472066179601386,0.0227766388659858,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.7843862017122394,2.779789430336003,0.04,0.011772383731818277
0.99,14.735262946098358,2.04085045328198,1.116982763108082,0.9467810013341461,0.022913311160248268,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.7902134014057887,2.785965088012363,0.04,0.011825869173513883
1.0,14.772469624187961,2.0404096263570146,1.1171012752320495,0.9463581202785508,0.023049769153585736,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.796009317083702,2.7921069961249043,0.04,0.01187861627207306
1.01,14.809502867743046,2.0399722622398038,1.1172203136709564,0.9459379588671779,0.0231860102983306,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.801774182910095,2.7982153969757766,0.04,0.011930638810053582
1.02,14.846363599409958,2.0395383412099086,1.1173398717727323,0.9455205015021678,0.023322032064991394,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.807508231199527,2.8042905295910154,0.04,0.011981950232979271
1.03,14.883052734052615,2.0391078440550747,1.1174599430833505,0.9451057329132085,0.023457831941484247,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.8132116924405457,2.8103326297669615,0.04,0.012032563659150656
1.04,14.919571282046991,2.0386807013660153,1.117580512823415,0.9446936030305144,0.023593414487914115,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.818884710021513,2.8163422209715,0.04,0.012082494610100074
1.05,14.955920099490191,2.0382569161538115,1.1177015784998217,0.9442841119658839,0.02372877431189398,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.824527545955962,2.8223194093812305,0.04,0.012131754374035904
1.06,14.992100076422007,2.0378364714556927,1.117823134374533,0.94387724595423,0.02386390887307018,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.830140426240681,2.828264416140824,0.04,0.012180355062551967
1.07,15.028112106275294,2.0374193453312417,1.117945173985403,0.9434729877583292,0.023998816412490614,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.8357235658549342,2.83417749065653,0.04,0.012228308785102771
1.08,15.063957075345826,2.037005516031432,1.1180676910150757,0.9430713202508741,0.02413349523451765,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.841277177449777,2.8400588809065574,0.04,0.01227562737679395
1.09,15.099635862792292,2.036594961998628,1.1181906792909877,0.942672226414134,0.02426794370649347,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.846801471364223,2.8459088334672313,0.04,0.012322322405944188
1.1,15.1351493406363,2.036187661866585,1.1183141327853663,0.9422756893396277,0.024402160258408728,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.8522966556412563,2.8517275935387696,0.04,0.012368405181404408
1.11,15.17049837376238,2.0357835944604488,1.118438045615231,0.9418816922277923,0.024536143382574593,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.857762936043656,2.8575154049706777,0.04,0.01241388675964328
1.12,15.205683861728085,2.035382736669538,1.118562410065425,0.9414902178864164,0.02466989128230331,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.8632005224180683,2.86327249279165,0.04,0.012458777849131368
1.1300000000000001,15.240706691590228,2.034985065847455,1.1186872188192014,0.9411012492935905,0.02480340226533691,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.86860962151455,2.8689990830744034,0.04,0.012503088936503372
1.1400000000000001,15.275567675067306,2.0345905630091403,1.1188124679294607,0.9407147703528947,0.024936675273215192,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.873990427492209,2.8746954291571845,0.04,0.012546830443203571
1.1500000000000001,15.310267656510419,2.0341992073375197,1.1189381517134078,0.9403307645989013,0.02506970897478929,0.121,100.0,0.2,13.48,0.02,0.01,1.2,-1.0,1.0,12.1,2.8793431383320542,2.880361766477546,0.04,0.012590012466673935
