Time,d,ad,e,r,rs,x,ip3,kg,gstar,ro,ip3con,rscon,atp,y,delta,ca,addash,vatp_s,smoothness,vdeg,alpha,gamma,ae,ax,k,qd,qe,qx,f,g,ps,pd,pe,px,ddd,dee,dxx,af,rt,yo,gf,kdeg,kkdeg,ka,kd,rhstar,dip,krel,ip3min,datpp,kr,scale,rscrit,ymax,cabasil,p1,p2,p3,p4,p5,m,n,dist,ip30,cell
0.2,0.01885593839285953,0.41,1.0430171969508855,0.0009014251684565653,1.0915170687566151,0.02939958241497496,0.013000015133471586,8.823529411764705,0.0013541683080430334,1.4522036555410431e-08,0.5498347464693689,1.1244195907700316e-08,3.630509191574995e-07,499.9999999244457,0.011964731652544192,0.0159835,0.41,50.0,0.01,2.0,0.083,1.0,0.16,0.08,0.05,0.6,0.6,0.8,0.2,0.528,0.6,0.48,0.096,0.48,0.4,0.2,1.04,0.9,2.5,1.5,6.3,0.0625,50.0,0.017,0.15,0.6,280.0,10.0,0.012,300.0,25.0,3600.0,1.0,500.0,0.02055236,0.0159835,0.514987,1.31319,0.332195,0.787902,24.1946,9.79183,50.0,0.013,1.0
0.21,0.019757434741401233,0.41,1.04514294321501,0.0009899136110628774,1.0910603859988333,0.030744496587997328,0.013000016580385286,8.823529411764705,0.0013541684643455698,1.5904919360257207e-08,0.5498348180963704,1.2319564701712693e-08,3.9762299033059175e-07,499.99999976191265,0.011964731652544192,0.0159835,0.41,50.0,0.01,2.0,0.083,1.0,0.16,0.08,0.05,0.6,0.6,0.8,0.2,0.528,0.6,0.48,0.096,0.48,0.4,0.2,1.04,0.9,2.5,1.5,6.3,0.0625,50.0,0.017,0.15,0.6,280.0,10.0,0.012,300.0,25.0,3600.0,1.0,500.0,0.02055236,0.0159835,0.514987,1.31319,0.332195,0.787902,24.1946,9.79183,50.0,0.013,1.0
0.22,0.02065500263494919,0.41,1.0472664186667977,0.0010821746576070454,1.0906008134647778,0.0320785612133241,0.013000018175861678,8.823529411764705,0.0013541686366699756,1.742955525414043e-08,0.5498348970777126,1.3505582652229009e-08,4.357388889482458e-07,499.99999971140284,0.011964731652544192,0.0159835,0.41,50.0,0.01,2.0,0.083,1.0,0.16,0.08,0.05,0.6,0.6,0.8,0.2,0.528,0.6,0.48,0.096,0.48,0.4,0.2,1.04,0.9,2.5,1.5,6.3,0.0625,50.0,0.017,0.15,0.6,280.0,10.0,0.012,300.0,25.0,3600.0,1.0,500.0,0.02055236,0.0159835,0.514987,1.31319,0.332195,0.787902,24.1946,9.79183,50.0,0.013,1.0
0.23,0.02154864344619033,0.41,1.0493876388187753,0.0011781625282004005,1.0901383788628827,0.03340191014518608,0.01300001992170333,8.823529411764705,0.0013541688267472657,1.9111259355137997e-08,0.5498349835026283,1.4814257320860946e-08,4.77781493009456e-07,499.99999978474045,0.011964731652544192,0.0159835,0.41,50.0,0.01,2.0,0.083,1.0,0.16,0.08,0.05,0.6,0.6,0.8,0.2,0.528,0.6,0.48,0.096,0.48,0.4,0.2,1.04,0.9,2.5,1.5,6.3,0.0625,50.0,0.017,0.15,0.6,280.0,10.0,0.012,300.0,25.0,3600.0,1.0,500.0,0.02055236,0.0159835,0.514987,1.31319,0.332195,0.787902,24.1946,9.79183,50.0,0.013,1.0
0.24,0.022438358664452467,0.41,1.0515066190190157,0.0012778320214849553,1.0896731097723495,0.03471467548902744,0.013000021843974759,8.823529411764705,0.0013541690365145183,2.0967169905002326e-08,0.5498350786613958,1.6258955515269236e-08,5.241792586156137e-07,499.999999799002,0.011964731652544192,0.0159835,0.41,50.0,0.01,2.0,0.083,1.0,0.16,0.08,0.05,0.6,0.6,0.8,0.2,0.528,0.6,0.48,0.096,0.48,0.4,0.2,1.04,0.9,2.5,1.5,6.3,0.0625,50.0,0.017,0.15,0.6,280.0,10.0,0.012,300.0,25.0,3600.0,1.0,500.0,0.02055236,0.0159835,0.514987,1.31319,0.332195,0.787902,24.1946,9.79183,50.0,0.013,1.0
0.25,0.02332414989456157,0.41,1.0536233744525116,0.0013811385035091253,1.0892050336444306,0.0360169876319408,0.01300002397287648,8.823529411764705,0.0013541692681308247,2.30163894176121e-08,0.5498351840490392,1.7854562717189992e-08,5.754097486841573e-07,499.9999997494783,0.011964731652544192,0.0159835,0.41,50.0,0.01,2.0,0.083,1.0,0.16,0.08,0.05,0.6,0.6,0.8,0.2,0.528,0.6,0.48,0.096,0.48,0.4,0.2,1.04,0.9,2.5,1.5,6.3,0.0625,50.0,0.017,0.15,0.6,280.0,10.0,0.012,300.0,25.0,3600.0,1.0,500.0,0.02055236,0.0159835,0.514987,1.31319,0.332195,0.787902,24.1946,9.79183,50.0,0.013,1.0
0.26,0.024206018856598403,0.41,1.0557379201414412,0.0014880379058379901,1.0887341778026287,0.03730897524811086,0.013000026329402807,8.823529411764705,0.0013541695239908313,2.528010446934567e-08,0.5498353007048447,1.9617661495274774e-08,6.320026277107342e-07,499.9999996630137,0.011964731652544192,0.0159835,0.41,50.0,0.01,2.0,0.083,1.0,0.16,0.08,0.05,0.6,0.6,0.8,0.2,0.528,0.6,0.48,0.096,0.48,0.4,0.2,1.04,0.9,2.5,1.5,6.3,0.0625,50.0,0.017,0.15,0.6,280.0,10.0,0.012,300.0,25.0,3600.0,1.0,500.0,0.02055236,0.0159835,0.514987,1.31319,0.332195,0.787902,24.1946,9.79183,50.0,0.013,1.0
0.27,0.025083967384552788,0.41,1.0578502709468127,0.0015984867123280367,1.0882605694442327,0.03859076533490829,0.013000028934825504,8.823529411764705,0.0013541698067594146,2.778189248237579e-08,0.549835429681833,2.156673167830192e-08,6.94547331355234e-07,499.99999961871237,0.011964731652544192,0.0159835,0.41,50.0,0.01,2.0,0.083,1.0,0.16,0.08,0.05,0.6,0.6,0.8,0.2,0.528,0.6,0.48,0.096,0.48,0.4,0.2,1.04,0.9,2.5,1.5,6.3,0.0625,50.0,0.017,0.15,0.6,280.0,10.0,0.012,300.0,25.0,3600.0,1.0,500.0,0.02055236,0.0159835,0.514987,1.31319,0.332195,0.787902,24.1946,9.79183,50.0,0.013,1.0
0.28,0.025957997426170665,0.41,1.0599604415686257,0.0017124419586104246,1.0877842356403467,0.03986248321487405,0.013000031807631861,8.823529411764705,0.0013541701194014805,3.054798539436552e-08,0.5498355718951836,2.372237473124983e-08,7.63699658188624e-07,499.99999961040606,0.011964731652544192,0.0159835,0.41,50.0,0.01,2.0,0.083,1.0,0.16,0.08,0.05,0.6,0.6,0.8,0.2,0.528,0.6,0.48,0.096,0.48,0.4,0.2,1.04,0.9,2.5,1.5,6.3,0.0625,50.0,0.017,0.15,0.6,280.0,10.0,0.012,300.0,25.0,3600.0,1.0,500.0,0.02055236,0.0159835,0.514987,1.31319,0.332195,0.787902,24.1946,9.79183,50.0,0.013,1.0
0.29,0.026828111041366585,0.41,1.062068446547841,0.001829861216637876,1.0873052033376833,0.041124252577981545,0.013000034982321305,8.823529411764705,0.0013541704652335783,3.360772628869863e-08,0.549835729052729,2.6107565609390093e-08,8.401931854544484e-07,499.999999597875,0.011964731652544192,0.0159835,0.41,50.0,0.01,2.0,0.083,1.0,0.16,0.08,0.05,0.6,0.6,0.8,0.2,0.528,0.6,0.48,0.096,0.48,0.4,0.2,1.04,0.9,2.5,1.5,6.3,0.0625,50.0,0.017,0.15,0.6,280.0,10.0,0.012,300.0,25.0,3600.0,1.0,500.0,0.02055236,0.0159835,0.514987,1.31319,0.332195,0.787902,24.1946,9.79183,50.0,0.013,1.0
