Time,Effector_cells,Tumor_cells,IL_2,c,mu2,p1,g1,s1,r2,b,a,g2,p2,g3,mu3,s2,Tumor_microenvironment,Effector_cell_stimulation,Effector_cell_decay,Tumor_growth,Tumor_killing,IL_2_production,IL_2_decay
7.5,0.0001149629624086056,2.3582544371280772e-05,3.615065161417094e-05,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,2.380391394307014e-05,4.345599979045291e-06,2.900584552890455e-06,3.94878946417998e-07,7.265700951283475e-05,6.507117290550769e-05
8.0,0.0001249196114749185,2.486145084360162e-05,4.0062681276011886e-05,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,2.5096192042549e-05,4.721961313751919e-06,3.0578824284792192e-06,4.477145641336557e-07,8.01778019686165e-05,7.21128262968214e-05
8.5,0.0001353431409156447,2.6192938553315997e-05,4.421833793780556e-05,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,2.64418121823118e-05,5.1159707266113695e-06,3.2216470554441704e-06,5.056592156155642e-07,8.81534145550148e-05,7.959300828805001e-05
9.0,0.00014625139734546783,2.7577620471327167e-05,4.862577498454416e-05,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,2.784142660170248e-05,5.5283028196586836e-06,3.3919537733796857e-06,5.69055758062354e-07,9.659842563008666e-05,8.752639497217949e-05
9.5,0.00015766218017908024,2.9015969743131525e-05,5.329308147268013e-05,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,2.9295549412921062e-05,5.9596304107692335e-06,3.5688607214456613e-06,6.382541561232267e-07,0.00010552727439168472,9.592754665082423e-05
10.0,0.0001695931689675521,3.050830758569711e-05,5.822829228107155e-05,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,3.080454455167474e-05,6.41062178697347e-06,3.75240734995044e-06,7.136098219506751e-07,0.00011495421024722939,0.0001048109261059288
10.5,0.0001820618701509125,3.20547912405048e-05,6.343922109038931e-05,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,3.236861371705232e-05,6.8819386917044925e-06,3.942612938896189e-06,7.954818855338905e-07,0.00012489325381385502,0.00011419059796270076
11.0,0.0001950855054333174,3.365540226058485e-05,6.89336900633782e-05,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,3.398778477952202e-05,7.374232105379398e-06,4.139475157661474e-06,8.842310815076768e-07,0.00013535811694595672,0.00012408064211408076
11.5,0.00020868095521354074,3.530993490748627e-05,7.471929247215874e-05,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,3.566190012736964e-05,7.88814010707184e-06,4.3429686382659215e-06,9.802177282923302e-07,0.0001463621579695595,0.00013449472644988574
12.0,0.0002228646462715279,3.70179850101463e-05,8.0803516515498e-05,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,3.739060559873342e-05,8.424283629063755e-06,4.553043605508647e-06,1.0837993451624691e-06,0.0001579182970063816,0.00014544632972789638
12.5,0.00023765247086027526,3.8778939977247846e-05,8.71935418564198e-05,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,3.917334042481666e-05,8.983263398518405e-06,4.769624649040636e-06,1.195328313359584e-06,0.00017003895157439837,0.00015694837534155565
13.0,0.0002530596929129652,4.0591968018118034e-05,9.389629395960451e-05,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,4.100932646372217e-05,9.565656392110085e-06,4.992609398160805e-06,1.315149363876416e-06,0.00018273596041860346,0.00016901332912728812
13.5,0.0002691008508461561,4.245600931468003e-05,0.00010091832628732439,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,4.289755929592233e-05,1.01720121619847e-05,5.221867436640232e-06,1.443597003252828e-06,0.00019602050444626304,0.0001816529873171839
14.0,0.00028578965428424646,4.43697679369886e-05,0.00010826586078352448,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,4.4836800123772057e-05,1.0802848931944516e-05,5.457239309063863e-06,1.5809928544633832e-06,0.00020990302163275884,0.00019487854941034407
14.5,0.00030313888702754256,4.633170299314292e-05,0.00011594470102330916,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,4.682556680222472e-05,1.1458649929641109e-05,5.698535433072203e-06,1.727642955413583e-06,0.00022439312358491076,0.0002087004618419565
15.0,0.0003211602955298211,4.834002287298548e-05,0.00012396022821161898,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,4.8862128001178525e-05,1.2139859171027238e-05,5.945535392166417e-06,1.8838350106753612e-06,0.00023949950206645637,0.00022312841078091418
15.5,0.0003398644844798363,5.039267977705819e-05,0.00013231730110806723,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,5.094449755653368e-05,1.2846877513337812e-05,6.197987263650619e-06,2.049835662671657e-06,0.00025522983874022516,0.00023817114199452103
16.0,0.000359260813025444,5.248736338476505e-05,0.0001410202341723908,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,5.307042795797932e-05,1.3580058732361782e-05,6.455606840758345e-06,2.22588773025515e-06,0.00027159071273909793,0.00025383642151030345
16.5,0.00037935728458315325,5.462149880444361e-05,0.0001500727109996792,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,5.523740806096948e-05,1.4339705357243192e-05,6.718077381446371e-06,2.412207521448261e-06,0.00028858750516015175,0.00027013087979942254
17.0,0.000400160443706353,5.679224417602646e-05,0.00015947776357878952,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,5.7442660445842794e-05,1.5126064772100144e-05,6.9850493144944334e-06,2.6089821946473275e-06,0.00030622430669942574,0.0002870599744418211
17.5,0.00042167527137614475,5.899648961401884e-05,0.00016923770962268728,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,5.9683140042792166e-05,1.593932525801827e-05,7.2561401104725435e-06,2.816367172100642e-06,0.0003245038235519014,0.0003046278773208371
18.0,0.000443905080415795,6.123085705235913e-05,0.0001793541109469501,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,6.195553362467506e-05,1.677961203971705e-05,7.530934263643963e-06,3.0344836117115994e-06,0.00034342728255253783,0.0003228373997045102
18.5,0.0004668514112439596,6.349169614860589e-05,0.0001898277063407321,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,6.425625523811678e-05,1.7646983345021672e-05,7.808982789234506e-06,3.263415792087233e-06,0.0003629943320450967,0.0003416898714133178
19.0,0.0004905139448252539,6.5775102882934e-05,0.000200658380556723,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,6.658146450889153e-05,1.8541427114394597e-05,8.089805511809291e-06,3.5032093677252283e-06,0.00038320297252008277,0.0003611850850021014
19.5,0.0005148903723973066,6.807688791685437e-05,0.0002118450851369836,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,6.892703412121522e-05,1.9462856076618192e-05,8.372887174864868e-06,3.7538677857539636e-06,0.0004040494132865273,0.0003813211532465705
20.0,0.0005399763684495091,7.039264098606654e-05,0.0002233858085933845,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,7.128861421925629e-05,2.0411106727391446e-05,8.65768536104587e-06,4.015352562497231e-06,0.00042552808268399506,0.00040209445546809215
20.5,0.0005657654067780542,7.271766508684793e-05,0.00023527750762574853,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,7.366156524729729e-05,2.138593237621045e-05,8.943622399047966e-06,4.287578275495026e-06,0.0004476314145491642,0.00042349951372634736
21.0,0.000592248783011161,7.504704871514554e-05,0.0002475161047774572,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,7.604103018742398e-05,2.2387003997821884e-05,9.230094248641836e-06,4.570413638702011e-06,0.00047034990099530794,0.00044552898859942297
21.5,0.0006194154540699603,7.737563688463212e-05,0.00026009640460318784,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,7.842190441333167e-05,2.34139041638445e-05,9.516466937140205e-06,4.863677953406612e-06,0.0004936719235170325,0.00046817352828573813
22.0,0.0006472520005690751,7.969805223266413e-05,0.00027301206116862024,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,8.079885613008518e-05,2.446612562151104e-05,9.802079155735537e-06,5.167140188479622e-06,0.0005175837180245819,0.0004914217101035165
22.5,0.0006757425992863397,8.20087225765698e-05,0.00028625555472672047,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,8.316635328208288e-05,2.5543070253023643e-05,1.0086245648956913e-05,5.480518506606971e-06,0.0005420693519653325,0.0005152599985080969
23.0,0.0007048688552716302,8.43018607752001e-05,0.00029981812058761946,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,8.551864212080964e-05,2.664404272926762e-05,1.0368254738490802e-05,5.80347699874027e-06,0.0005671105538328843,0.0005396726170577151
23.5,0.0007346099324542726,8.657152438903328e-05,0.00031368977562233234,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,8.784980655195781e-05,2.7768255446771506e-05,1.0647375660504382e-05,6.13562779239064e-06,0.0005926868388752687,0.0005646415961201982
24.0,0.0007649422729561597,8.881158072440075e-05,0.00032785920170939263,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,9.015373148783161e-05,2.8914817917742837e-05,1.0922854266986187e-05,6.476526381184596e-06,0.0006187752359945673,0.0005901465630769068
24.5,0.0007958398496625986,9.101578009629357e-05,0.00034231384277110807,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,9.24241760224955e-05,3.0082746317246228e-05,1.1193922035560245e-05,6.825675474666975e-06,0.0006453505205992516,0.0006161649169879945
25.0,0.0008272738481287803,9.317772114151557e-05,0.0003570397492391395,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,9.465473685736825e-05,3.1270951459267897e-05,1.1459791803617208e-05,7.182520046908397e-06,0.000672384909922539,0.0006426715486304511
25.5,0.0008592128831615502,9.529091181583272e-05,0.0003720216704661065,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,9.683890901150738e-05,3.24782469835066e-05,1.1719665269328837e-05,7.546450624576698e-06,0.0006998482575706662,0.0006696390068389917
26.0,0.0008916228989301182,9.734877558291678e-05,0.0003872429990245834,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,9.897009074600821e-05,3.3703345579558465e-05,1.1972733752253543e-05,7.916801866395385e-06,0.0007277079530631888,0.0006970373982442501
26.5,0.0009244671273128787,9.93446660579248e-05,0.0004026857395490408,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,0.00010104159706616182,3.4944857412426814e-05,1.2218179993515829e-05,8.292851960831115e-06,0.0007559288735327725,0.0007248343311882735
27.0,0.0009577062887491841,0.00010127192036214893,0.0004183305882301997,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,0.00010304671270044555,3.620129771471916e-05,1.2455184716316297e-05,8.673825871688616e-06,0.0007844735600858389,0.0007529950588143594
27.5,0.000991298327614089,0.00010312384231645753,0.00043415680823079105,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,0.00010497867350060176,3.747107678381256e-05,1.2682924558121221e-05,9.058891574093137e-06,0.0008133019644570019,0.0007814822548154239
28.0,0.0010251988455058278,0.00010489378162519458,0.0004501424081404394,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,0.00010683074593337521,3.8752516360120295e-05,1.2900581807131827e-05,9.447166690265238e-06,0.000842371833110398,0.0008102563346527909
28.5,0.0010593607117932065,0.00010657510769356011,0.00046626396165111314,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,0.00010859619881360084,4.0043834905783204e-05,1.3107341181117567e-05,9.83771325457587e-06,0.0008716383433950882,0.0008392751309720036
29.0,0.0010937345601417167,0.00010816128773128046,0.0004824968213291318,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,0.00011026838195940266,4.134316637335689e-05,1.3302399430655363e-05,1.0229545154665284e-05,0.0009010545387517381,0.0008684942783924372
29.5,0.0011282685432279988,0.00010964588327161897,0.0004988149959032199,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,0.00011184072116449276,4.264855093401835e-05,1.3484964909383768e-05,1.0621625300085984e-05,0.0009305710973613216,0.0008978669926257959
30.0,0.0011629085896779794,0.00011102259696550398,0.0005151912588000724,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,0.00011330676495956203,4.3957944689827625e-05,1.3654263326661442e-05,1.1012869727177307e-05,0.0009601365481085135,0.0009273442658401304
30.5,0.001197598553406152,0.0001122853096882687,0.0005315972067945123,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,0.0001146602215026395,4.526922531875255e-05,1.3809542308792118e-05,1.1402150453463736e-05,0.0009896973914103727,0.0009568749722301221
31.0,0.0012322801102380846,0.00011342809364723471,0.0005480032007610613,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,0.00011589497077154643,4.65801881669996e-05,1.3950073008921171e-05,1.1788294897790186e-05,0.0010191979933586014,0.0009864057613699104
31.5,0.0012668932746196047,0.00011444527702622626,0.0005643785919305551,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,0.00011700513028297169,4.7888565780621056e-05,1.4075158054489496e-05,1.2170093779486169e-05,0.0010485810286826143,0.0010158814654749992
32.0,0.0013013760581554294,0.00011533144310708188,0.0005806915570006152,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,0.00011798505285102059,4.919201499827523e-05,1.4184131437133465e-05,1.2546297835722041e-05,0.0010777871664292,0.0010452448026011074
32.5,0.0013356652128012937,0.00011608150222566091,0.0005969094240494347,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,0.00011882940052664037,5.04881450438889e-05,1.4276367359191739e-05,1.2915628639933321e-05,0.0011067557054128892,0.0010744369632889827
33.0,0.0013696958219349795,0.00011669069448283255,0.0006129984787624124,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,0.00011953314605825465,5.1774502069142225e-05,1.43512805650524e-05,1.3276775116343597e-05,0.0011354242046730319,0.0011033972617723424
33.5,0.0014034019698177685,0.000117154648341902,0.0006289242573767798,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,0.00012009163353710244,5.304859445911165e-05,1.4408333545023686e-05,1.3628403440641157e-05,0.001163729047740501,0.0011320636632782036
34.0,0.001436716714234014,0.00011746940761657833,0.0006446515245194276,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,0.00012050060560395411,5.430789179804573e-05,1.4447039852246861e-05,1.396915886838849e-05,0.0011916054058821954,0.0011603727441349696
34.5,0.0014695722990049464,0.0001176314651590768,0.0006601443595675504,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,0.0001207562381694881,5.554983290238697e-05,1.4466968243690203e-05,1.4297670450043506e-05,0.0012189874042918623,0.0011882598472215907
35.0,0.0015019006189013833,0.00011763780453981958,0.0006753663575268141,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,0.00012085518409298008,5.677184339447229e-05,1.4467747804071804e-05,1.4612558938123837e-05,0.0012458085037845659,0.0012156594435482654
35.5,0.0015336330821676028,0.0001174859295486832,0.0006902805568022941,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,0.00012079460309294614,5.797133050593538e-05,1.4449071572420078e-05,1.4912438497246904e-05,0.0012720013729722265,0.0012425050022441294
36.0,0.0015647013799483262,0.00011717389675156576,0.0007048497761751736,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,0.00012057219746358487,5.914571216204673e-05,1.4410700544626753e-05,1.519592774409231e-05,0.001297498514725321,0.0012687295971153126
36.5,0.0015950372059949855,0.0001167003584033729,0.0007190364802941616,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,0.00012018625545324394,6.029240638661045e-05,1.4352468949855735e-05,1.5461651607779608e-05,0.0013222320312018677,0.0012942656645294909
37.0,0.0016245730822158177,0.00011606457350484716,0.0007328031402723885,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,0.00011963566586319272,6.140886250775792e-05,1.4274285609913787e-05,1.5708252488651822e-05,0.0013461342786903218,0.0013190456524902994
37.5,0.0016532422293652268,0.00011526646260456368,0.0007461121673828265,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,0.00011891997418011635,6.249255627000557e-05,1.4176140678400965e-05,1.5934395276585474e-05,0.001369137769844096,0.0013430019012890878
38.0,0.001680979122490031,0.00011430661332020159,0.0007589261536482505,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,0.00011803939117202816,6.354101083012317e-05,1.4058106320157402e-05,1.6138776570561234e-05,0.0013911756010355069,0.001366067076566851
38.5,0.001707719784292886,0.0001131863108248914,0.0007712079945243949,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,0.00011699482606684202,6.455180784627109e-05,1.392034046112379e-05,1.632013344599802e-05,0.0014121816857020511,0.001388174390143911
39.0,0.0017334019526212654,0.00011190757615175776,0.0007829209556845569,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,0.00011578792734705378,6.552259380908383e-05,1.3763091500077384e-05,1.6477252308155825e-05,0.001432090895612443,0.0014092577202322024
39.5,0.001757965676999444,0.00011047313852362729,0.0007940289357629768,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,0.00011442105848144101,6.645110259057898e-05,1.358669490774292e-05,1.6608978077250116e-05,0.0014508394926987663,0.0014292520843733581
40.0,0.0017813533396951217,0.00010888652639693411,0.0008044964621212381,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,0.00011289739167078965,6.73351562404756e-05,1.3391584424920307e-05,1.671422687825823e-05,0.0014683652133769761,0.0014480936318182287
40.5,0.0018035102937285598,0.0001071519688018993,0.000814288984497838,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,0.00011122081234227164,6.817268910293956e-05,1.3178279932670185e-05,1.6791992068497446e-05,0.001484607665013791,0.0014657201720961084
41.0,0.0018243849478763302,0.0001052745305282746,0.0008233728887641916,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,0.00010939605773289303,6.896175102972529e-05,1.2947404079584088e-05,1.6841362789298315e-05,0.0014995085315839154,0.001482071199775545
41.5,0.0018439292417016674,0.00010325997886822882,0.0008317157274123861,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,0.00010742858608681393,6.970052533632303e-05,1.2699665898134134e-05,1.6861527392999894e-05,0.0015130118051561036,0.001497088309342295
42.0,0.0018620989310608835,0.00010111486912668346,0.0008392863287857003,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,0.00010532466584114455,7.03873395941014e-05,1.2435871323920769e-05,1.685179235921143e-05,0.001525064125760182,0.0015107153918142607
42.5,0.0018788538750994317,9.884650237213003e-05,0.0008460549522937069,1.009,0.0378,0.044,0.02,0.0,0.123,1.0,0.018,0.0001,0.9,1e-05,1.8,0.0,1.0,0.0001030913360499817,7.102067647875852e-05,1.2156918004155155e-05,1.681159272360814e-05,0.0015356149897059902,0.0015228989141286725
