D,DR,DRG,DRG_GDP,DRG_GTP,GDP,GTP,G_GDP,G_GTP,R,Time
3.099990002071145e-05,3.251789038471098e-13,3.466318782868733e-11,3.534888480291568e-11,2.964203706621722e-11,6.809202203150497e-11,9.999966571165786e-06,9.99897090245992e-07,3.2556443105191715e-12,2.071139833271325e-14,0.24
3.09999000211155e-05,3.3121889641017276e-13,3.5382145547264906e-11,3.3911365531635185e-11,3.03541545642081e-11,6.982311856154814e-11,9.999965559026975e-06,9.99896864100248e-07,3.488234108987673e-12,2.1115460481684975e-14,0.25
3.099990002149787e-05,3.369345556657931e-13,3.606249525520932e-11,3.255104120000644e-11,3.1028031162991134e-11,7.148429369470091e-11,9.99996457820155e-06,9.998966353563344e-07,3.72307604775971e-12,2.1497826127346163e-14,0.26
3.0999900021859706e-05,3.423433092257136e-13,3.6706311588617644e-11,3.126376366009253e-11,3.166572178106445e-11,7.307930472732989e-11,9.99996362700685e-06,9.99896404446068e-07,3.95975690269573e-12,2.1859660999709588e-14,0.27
3.099990002220211e-05,3.4746164448692817e-13,3.731555450021958e-11,3.0045614036295545e-11,3.226916774914789e-11,7.461170126229563e-11,9.999962703853225e-06,9.998961717714244e-07,4.197892290371552e-12,2.2202069850109883e-14,0.28
3.0999900022526144e-05,3.523052404858733e-13,3.7892091036962375e-11,2.8892859255000737e-11,3.284021836639859e-11,7.60848646361923e-11,9.999961807226389e-06,9.998959377103006e-07,4.437121041391418e-12,2.2526101152467004e-14,0.29
3.0999900022832784e-05,3.5688888132829147e-13,3.8437684017209195e-11,2.780197467176623e-11,3.338061968775579e-11,7.75019874153834e-11,9.999960935696592e-06,9.998957026136705e-07,4.6771079531082544e-12,2.2832741940538398e-14,0.3
3.099990002312297e-05,3.612264475938166e-13,3.895398661180515e-11,2.6769654852796463e-11,3.3892009167638e-11,7.886606359225785e-11,9.999960087923009e-06,9.99895466804394e-07,4.917544974428019e-12,2.3122920166611618e-14,0.31
3.099990002339756e-05,3.653310540351469e-13,3.9442559784868035e-11,2.579277871585856e-11,3.4375932931960685e-11,8.017992016880703e-11,9.999959262639605e-06,9.998952305817829e-07,5.158146784853772e-12,2.339751327761622e-14,0.32
3.099990002365741e-05,3.6921517081066776e-13,3.9904887458974426e-11,2.4868379216710617e-11,3.483386079768525e-11,8.144624462032252e-11,9.999958458642828e-06,9.99894994225623e-07,5.398646904335217e-12,2.3657355819082785e-14,0.33
3.099990002390329e-05,3.7289065153277296e-13,4.0342380329913003e-11,2.3993635727391056e-11,3.526719005017994e-11,8.266759180309779e-11,9.999957674788518e-06,9.99894757997225e-07,5.638796668263357e-12,2.3903240983270578e-14,0.34
3.0999900024135975e-05,3.763687307596627e-13,4.075637570643145e-11,2.3165874358195813e-11,3.5677245284270956e-11,8.384638366399247e-11,9.999956909992034e-06,9.998945221394936e-07,5.878365158197223e-12,2.4135920342162976e-14,0.35
3.099990002435616e-05,3.79660030764753e-13,4.114813817783278e-11,2.2382566621250253e-11,3.606527906575289e-11,8.498491044973398e-11,9.99995616322772e-06,9.99894286877024e-07,6.117139112006455e-12,2.435610439935866e-14,0.36
3.099990002456452e-05,3.82774612004753e-13,4.151886524041851e-11,2.164131817573771e-11,3.643247750562551e-11,8.608534089791689e-11,9.999955433524335e-06,9.99894052417873e-07,6.3549212058864184e-12,2.4564466213551212e-14,0.37
3.0999900024761695e-05,3.8572193056305695e-13,4.1869682688275536e-11,2.093987804967691e-11,3.6779955693230346e-11,8.71497138880963e-11,9.999954719968793e-06,9.998938189520531e-07,6.591531516563477e-12,2.4761638254183856e-14,0.38
3.099990002494828e-05,3.885110066461364e-13,4.220166411317648e-11,2.0276099643417115e-11,3.7108777012715957e-11,8.817997375905635e-11,9.999954021690347e-06,9.998935866571055e-07,6.826802125940303e-12,2.4948224044362535e-14,0.39
3.099990002512485e-05,3.9115028080937917e-13,4.251581426578801e-11,1.9647974004394292e-11,3.741993666078542e-11,8.917794017345827e-11,9.999953337874086e-06,9.99893355693381e-07,7.060581688898464e-12,2.512478822295649e-14,0.4
3.0999900025291924e-05,3.936478332227359e-13,4.281309490106009e-11,1.9053578146869578e-11,3.7714387247460274e-11,9.014535492637544e-11,9.999952667739968e-06,9.998931262111863e-07,7.292728519179851e-12,2.529187138741268e-14,0.41
3.0999900025450034e-05,3.9601123977176366e-13,4.309440778373856e-11,1.8491109033579025e-11,3.7993021962537845e-11,9.108385116669534e-11,9.99995201055661e-06,9.998928983461e-07,7.523115121046141e-12,2.544998037291784e-14,0.42
3.099990002559965e-05,3.982477208456391e-13,4.3360612398219103e-11,1.79588481654282e-11,3.8256692117298575e-11,9.199498547092156e-11,9.999951365626918e-06,9.99892672223813e-07,7.751623506915147e-12,2.5599598208618917e-14,0.43
3.099990002574123e-05,4.0036409489071247e-13,4.3612520369584206e-11,1.745517273582586e-11,3.850620161865626e-11,9.288022773940968e-11,9.999950732292623e-06,9.998924479586013e-07,7.978146675501396e-12,2.5741181043127374e-14,0.44
3.099990002587521e-05,4.02366802854607e-13,4.385089841561338e-11,1.6978549728763376e-11,3.8742309893017095e-11,9.374096654255295e-11,9.999950109931865e-06,9.998922256541316e-07,8.202587831892928e-12,2.587515975173371e-14,0.45
3.099990002600199e-05,4.0426192053445424e-13,4.407646976628631e-11,1.652753307998517e-11,3.896573329239734e-11,9.457851169169004e-11,9.999949497958067e-06,9.998920054038391e-07,8.424860023146009e-12,2.600194079694292e-14,0.46
3.099990002612196e-05,4.060552321128839e-13,4.428992291488124e-11,1.61007461794613e-11,3.917715376239553e-11,9.539411008793205e-11,9.999948895812818e-06,9.998917872932993e-07,8.644883844820024e-12,2.6121911149292923e-14,0.47
3.099990002623549e-05,4.0775222859613714e-13,4.449191151574881e-11,1.569688207673476e-11,3.93772187407951e-11,9.61889455368905e-11,9.99994830296597e-06,9.998915714002072e-07,8.862587460589784e-12,2.62354381254314e-14,0.48
3.0999900026342916e-05,4.09358046381964e-13,4.4683046960159695e-11,1.5314718323859837e-11,3.956653380424437e-11,9.69641253033295e-11,9.999947718921647e-06,9.998913577923259e-07,9.077908586786792e-12,2.6342865354375245e-14,0.49
3.099990002644457e-05,4.108776573733233e-13,4.486392111149987e-11,1.49530715185675e-11,3.9745685187134785e-11,9.772072128579817e-11,9.999947143199816e-06,9.998911465336956e-07,9.29078848793046e-12,2.6444525424729317e-14,0.5
3.0999900026540776e-05,4.1231564440819117e-13,4.5035079448799084e-11,1.4610851001388428e-11,3.991521318045703e-11,9.845972137796868e-11,9.999946575358063e-06,9.998909376772736e-07,9.501179096518723e-12,2.6540724947445473e-14,0.51
3.099990002663181e-05,4.136764346774746e-13,4.519704895819089e-11,1.4287003088786619e-11,4.0075639758248436e-11,9.918207998186723e-11,9.999946014968966e-06,9.998907312725573e-07,9.709035638221658e-12,2.663176009671418e-14,0.52
3.099990002671795e-05,4.149641684672214e-13,4.535032247541552e-11,1.398054237947931e-11,4.0227453068786546e-11,9.988868965106523e-11,9.999945461632814e-06,9.998905273612716e-07,9.91432080535255e-12,2.6717907851513194e-14,0.53
3.099990002679947e-05,4.161827599693306e-13,4.5495365919284225e-11,1.3690537291307119e-11,4.0371114599371507e-11,1.0058039419099435e-10,9.99994491497172e-06,9.998903259793468e-07,1.0117002843857549e-11,2.6799430067905372e-14,0.54
3.0999900026876614e-05,4.173359190908209e-13,4.5632620885910716e-11,1.3416104874177311e-11,4.0507061745881044e-11,1.0125799335724363e-10,9.99994437462752e-06,9.998901271576066e-07,1.0317054888069984e-11,2.687657494018478e-14,0.55
3.0999900026949615e-05,4.184271558863606e-13,4.576250518485111e-11,1.3156409738202128e-11,4.063570834376878e-11,1.0192224382650076e-10,9.999943840261349e-06,9.998899309218895e-07,1.0514454844260708e-11,2.6949577291701434e-14,0.56
3.09999000270187e-05,4.1945978537465887e-13,4.588541341300214e-11,1.2910662906135453e-11,4.075744523659318e-11,1.0257386023599554e-10,9.999943311553168e-06,9.998897372932063e-07,1.0709185238799786e-11,2.7018658894648427e-14,0.57
3.099990002708407e-05,4.2043695229891257e-13,4.60017199089154e-11,1.2678115906376325e-11,4.0872643202288264e-11,1.0321352053397907e-10,9.999942788199367e-06,9.99889546288506e-07,1.0901232477191945e-11,2.7084030121192843e-14,0.58
3.099990002714593e-05,4.213616351644472e-13,4.6111779218239335e-11,1.245805984237961e-11,4.098165341398849e-11,1.0384186682249367e-10,9.999942269912387e-06,9.998893579208237e-07,1.1090586702393872e-11,2.71458902282355e-14,0.59
3.099990002720447e-05,4.222366632171607e-13,4.6215928127068724e-11,1.2249821327030398e-11,4.1084809454202385e-11,1.0445950904003159e-10,9.999941756419078e-06,9.99889172199796e-07,1.1277241296448893e-11,2.720442848145888e-14,0.6
3.0999900027259866e-05,4.230646659649808e-13,4.6314479615296476e-11,1.2052774572179861e-11,4.118242132575398e-11,1.0506701401079111e-10,9.999941247465595e-06,9.998889891299585e-07,1.1461194528952344e-11,2.7259820804843113e-14,0.61
3.099990002731229e-05,4.2384819565570814e-13,4.640773749974473e-11,1.1866312111211899e-11,4.127478995545669e-11,1.0566493196403648e-10,9.999940742805526e-06,9.99888808714804e-07,1.1642445630328294e-11,2.731223793113705e-14,0.62
3.099990002736189e-05,4.2458966446599695e-13,4.6495988914696255e-11,1.1689859833304357e-11,4.136219974630484e-11,1.0625378291605077e-10,9.99994024220599e-06,9.99888630954662e-07,1.1820996844251059e-11,2.7361841228727893e-14,0.63
3.099990002740883e-05,4.252913025137508e-13,4.6579499311662155e-11,1.1522886981309744e-11,4.1444913624620534e-11,1.0683404761427306e-10,9.999939745451688e-06,9.998884558452937e-07,1.1996854789401074e-11,2.7408779893994325e-14,0.64
3.099990002745324e-05,4.2595524976287833e-13,4.6658523413236826e-11,1.1364884249993578e-11,4.152318388991641e-11,1.0740618737551752e-10,9.99993925233603e-06,9.99888283380907e-07,1.2170027540561371e-11,2.7453197090485733e-14,0.65
3.099990002749527e-05,4.265835586515443e-13,4.673330552441554e-11,1.1215363163563611e-11,4.1597252523243715e-11,1.079706446497801e-10,9.999938762660867e-06,9.998881135542225e-07,1.2340524567046834e-11,2.7495230125763648e-14,0.66
3.099990002753505e-05,4.2717814104668944e-13,4.6804073219557194e-11,1.1073868698425694e-11,4.166734493406878e-11,1.0852783158685539e-10,9.999938276241625e-06,9.998879463547006e-07,1.2508358448208186e-11,2.753500690181089e-14,0.67
3.099990002757269e-05,4.27740783626635e-13,4.6871039176547027e-11,1.0939975615873023e-11,4.173367177701142e-11,1.0907813335812733e-10,9.999937792905809e-06,9.998877817690288e-07,1.2673544402723312e-11,2.7572646942070106e-14,0.68
3.099990002760831e-05,4.28273222332102e-13,4.6934410022372605e-11,1.081327077547751e-11,4.179643771343461e-11,1.0962192417653787e-10,9.999937312485838e-06,9.998876197835506e-07,1.28360979389453e-11,2.760826638332489e-14,0.69
3.099990002764202e-05,4.287770832992143e-13,4.699437931851066e-11,1.0693367160748147e-11,4.185583446342894e-11,1.1015955459261893e-10,9.999936834824718e-06,9.998874603823024e-07,1.2996036755871805e-11,2.764197401319345e-14,0.7
3.0999900027673916e-05,4.292538806763379e-13,4.7051127303892844e-11,1.0579904393007868e-11,4.191204055130085e-11,1.1069135102905896e-10,9.999936359776266e-06,9.99887303546924e-07,1.3153380828788536e-11,2.7673871122249116e-14,0.71
3.0999900027704104e-05,4.2970507752201157e-13,4.710482812926248e-11,1.0472534266594589e-11,4.1965228471033395e-11,1.1121762888245224e-10,9.999935887199237e-06,9.998871492586322e-07,1.3308150501885362e-11,2.7704055587671666e-14,0.72
3.099990002773266e-05,4.3013205226717425e-13,4.715564587594917e-11,1.03709287091666e-11,4.2015560742994806e-11,1.1173868531313579e-10,9.999935416960553e-06,9.998869974971034e-07,1.3460367569367075e-11,2.7732619622391622e-14,0.73
3.09999000277597e-05,4.3053609093863374e-13,4.7203733616865385e-11,1.0274781659088259e-11,4.206318898384425e-11,1.1225479754458149e-10,9.999934948936063e-06,9.998868482402047e-07,1.3610055536705235e-11,2.7759649263625415e-14,0.74
3.099990002778528e-05,4.3091843096963873e-13,4.724923864963626e-11,1.018379860219795e-11,4.210825908990449e-11,1.1276623234090483e-10,9.9999344830063e-06,9.998867014653977e-07,1.3757238261521682e-11,2.7785227291810884e-14,0.75
3.099990002780948e-05,4.3128024367815993e-13,4.7292300400153787e-11,1.0097700763452828e-11,4.215090916064988e-11,1.1327324221007769e-10,9.99993401905818e-06,9.998865571491536e-07,1.3901940523217969e-11,2.780943206550139e-14,0.76
3.0999900027832386e-05,4.316226145310143e-13,4.733304807061015e-11,1.0016229809612114e-11,4.2191267169043993e-11,1.1377606114432466e-10,9.999933556986917e-06,9.998864152662922e-07,1.4044188659649605e-11,2.783233620289028e-14,0.77
3.099990002785406e-05,4.319465829589627e-13,4.737160538432559e-11,9.939138362150374e-12,4.222945566132349e-11,1.1427491321335134e-10,9.999933096692163e-06,9.998862757912567e-07,1.4184009336735602e-11,2.785400924175708e-14,0.78
3.099990002787457e-05,4.322531515385286e-13,4.7408091679280393e-11,9.866187810786786e-12,4.226559284014113e-11,1.1477001454480339e-10,9.999932638077126e-06,9.998861386983925e-07,1.4321429278685963e-11,2.7874518253336334e-14,0.79
3.0999900027893975e-05,4.325432682898218e-13,4.7442619797439734e-11,9.797152533698159e-12,4.2299790473912065e-11,1.152615695016662e-10,9.999932181050287e-06,9.99886003961355e-07,1.445647584121853e-11,2.7893926660404977e-14,0.8
3.0999900027912346e-05,4.3281779628492276e-13,4.747529247518561e-11,9.731827114735602e-12,4.233215032159528e-11,1.1574976414514964e-10,9.999931725528321e-06,9.998858715521156e-07,1.458917797408294e-11,2.7912292198773273e-14,0.81
3.099990002792973e-05,4.3307756082314325e-13,4.7506207951875047e-11,9.670015129312959e-12,4.236276968791121e-11,1.1623477639210739e-10,9.99993127143155e-06,9.998857414424638e-07,1.4719564768382397e-11,2.7929670077832927e-14,0.82
3.099990002794617e-05,4.33323378111689e-13,4.753546337987405e-11,9.611522326168112e-12,4.239174480094446e-11,1.1671678219080335e-10,9.99993081868118e-06,9.99885613604914e-07,1.4847664580148407e-11,2.7946114901875462e-14,0.83
3.099990002796173e-05,4.3355601189296423e-13,4.756314966933011e-11,9.55616693506686e-12,4.2419165705946776e-11,1.1719594618450152e-10,9.999930367203475e-06,9.99885488011292e-07,1.497350639894758e-11,2.7961677763478554e-14,0.84
3.0999900027976456e-05,4.3377615493319733e-13,4.758934927607349e-11,9.50378408979145e-12,4.244511407419139e-11,1.1767241770515207e-10,9.999929916931561e-06,9.998853646321252e-07,1.509712043579646e-11,2.797640501066067e-14,0.85
3.0999900027990395e-05,4.3398446065072297e-13,4.7614139971033476e-11,9.454218291352701e-12,4.2469666936603416e-11,1.181463376000768e-10,9.999929467802361e-06,9.998852434376428e-07,1.5218537159350744e-11,2.7990340359873474e-14,0.86
3.099990002800358e-05,4.341815866225094e-13,4.7637600025497494e-11,9.407313040283075e-12,4.2492901819794686e-11,1.186178476228515e-10,9.999929019752393e-06,9.998851243991516e-07,1.5337785963892167e-11,2.800352780241061e-14,0.87
3.099990002801606e-05,4.343681425168378e-13,4.765980200432063e-11,9.36292324685801e-12,4.2514890598177814e-11,1.1908707919234048e-10,9.999928572722802e-06,9.998850074873517e-07,1.545489679991727e-11,2.8016008126889134e-14,0.88
3.099990002802787e-05,4.345446878456765e-13,4.768081251277676e-11,9.320915737238652e-12,4.253569924337941e-11,1.1955415293436837e-10,9.99992812665957e-06,9.998848926722646e-07,1.5569900242942307e-11,2.802781875969252e-14,0.89
3.099990002803905e-05,4.347117444776792e-13,4.7700693680822855e-11,9.281166285758739e-12,4.25553892943355e-11,1.2001918136976054e-10,9.999927681512302e-06,9.998847799236101e-07,1.568282712984846e-11,2.8038994605409785e-14,0.9
3.099990002804962e-05,4.3486983593151183e-13,4.771950782101089e-11,9.243550301659818e-12,4.2574022470710084e-11,1.2048227734991373e-10,9.999927237230462e-06,9.998846692120216e-07,1.5793707386153526e-11,2.8049570687881313e-14,0.91
3.099990002805963e-05,4.3501944790265597e-13,4.773731275204091e-11,9.207952179415725e-12,4.259165604114561e-11,1.209435455876825e-10,9.999926793767155e-06,9.998845605077955e-07,1.5902571232937223e-11,2.805957949528522e-14,0.92
3.0999900028069094e-05,4.351610315835817e-13,4.775416217001386e-11,9.174264556443508e-12,4.2608343190741983e-11,1.2140308332952026e-10,9.999926351078831e-06,9.998844537809891e-07,1.6009449094633333e-11,2.806905121724836e-14,0.93
3.099990002807806e-05,4.352950066496152e-13,4.777010600528838e-11,9.142387599585048e-12,4.2624133374533434e-11,1.2186098100177988e-10,9.999925909124993e-06,9.99884349001498e-07,1.6114371523635145e-11,2.80780139437035e-14,0.94
3.099990002808654e-05,4.3542179029167716e-13,4.778519392041881e-11,9.112222011122603e-12,4.263907578258605e-11,1.2231732854606546e-10,9.999925467865364e-06,9.998842461399345e-07,1.6217368352454107e-11,2.8086495581039965e-14,0.95
3.0999900028094566e-05,4.355417718763976e-13,4.7799472251112664e-11,9.083675145214107e-12,4.26532163096136e-11,1.2277220987873832e-10,9.999925027262363e-06,9.998841451668368e-07,1.6318469458354736e-11,2.8094522183418784e-14,0.96
3.099990002810216e-05,4.3565531412422467e-13,4.78129841822032e-11,9.056660655971913e-12,4.2666597729690876e-11,1.232257032099873e-10,9.999924587280963e-06,9.99884046052705e-07,1.6417704728024275e-11,2.8102118009973403e-14,0.97
3.099990002810935e-05,4.357627516076494e-13,4.782576957798397e-11,9.03109883667542e-12,4.267925952831423e-11,1.23677880736656e-10,9.999924147888832e-06,9.998839487679482e-07,1.6515104109914467e-11,2.8109305418919773e-14,0.98
3.0999900028116155e-05,4.358644205324322e-13,4.783786844823012e-11,9.006909689844837e-12,4.269124133448579e-11,1.2412881491852908e-10,9.99992370905352e-06,9.998838532837394e-07,1.661069678879225e-11,2.8116106907013757e-14,0.99
3.0999900028122586e-05,4.359606342364418e-13,4.784931810556185e-11,8.984018610753061e-12,4.270258010602245e-11,1.2457857333097494e-10,9.999923270744766e-06,9.998837595712951e-07,1.670451188343691e-11,2.8122543426393485e-14,1.0
3.0999900028128685e-05,4.3605168287436367e-13,4.786015307304597e-11,8.962356572358592e-12,4.271331003732581e-11,1.2502721849696654e-10,9.999922832934566e-06,9.998836676018371e-07,1.67965784809328e-11,2.8128634395460325e-14,1.01
3.0999900028134444e-05,4.3613782878061885e-13,4.787040450912291e-11,8.941861275223922e-12,4.272346198947081e-11,1.2547480684531373e-10,9.999922395597655e-06,9.998835773464398e-07,1.6886925787301807e-11,2.813439740193097e-14,1.02
3.09999000281399e-05,4.3621934754932604e-13,4.7880105249574675e-11,8.922467065768278e-12,4.273306848624424e-11,1.2592139784378033e-10,9.999921958707395e-06,9.998834887772804e-07,1.697558191893393e-11,2.813985086367065e-14,1.03
3.099990002814506e-05,4.3629649234840123e-13,4.788928541762765e-11,8.904113714193541e-12,4.274215936410764e-11,1.26367046047024e-10,9.999921522239361e-06,9.998834018665287e-07,1.7062574976324366e-11,2.8145011722962372e-14,1.04
3.099990002814994e-05,4.363695057579745e-13,4.7897973873147644e-11,8.886743516737276e-12,4.275076320814182e-11,1.2681180372165128e-10,9.999921086170142e-06,9.99883316586698e-07,1.714793270487706e-11,2.814989621548355e-14,1.05
3.099990002815457e-05,4.364385931425368e-13,4.790619509048449e-11,8.870307538070919e-12,4.275890426023867e-11,1.272557151924049e-10,9.999920650479889e-06,9.998832329098543e-07,1.723168325782088e-11,2.815451806357204e-14,1.06
3.099990002815894e-05,4.365039608786099e-13,4.7913973645385725e-11,8.85475664020139e-12,4.2766606862466926e-11,1.276988249674327e-10,9.999920215148668e-06,9.998831508087255e-07,1.7313854127310132e-11,2.8158891067547503e-14,1.07
3.099990002816309e-05,4.36565820360304e-13,4.792133468685642e-11,8.84004053903112e-12,4.2773895924376025e-11,1.2814117859279147e-10,9.999919780156084e-06,9.998830702568085e-07,1.739447204211353e-11,2.8163029376324597e-14,1.08
3.0999900028167004e-05,4.366243647583426e-13,4.792830121236375e-11,8.826113252278623e-12,4.278079422468912e-11,1.2858281771820365e-10,9.999919345483483e-06,9.998829912276765e-07,1.7473563634869464e-11,2.8166945910353792e-14,1.09
3.099990002817071e-05,4.3667977923823605e-13,4.793489526858195e-11,8.812930698712977e-12,4.2787323600413495e-11,1.2902378227148193e-10,9.999918911112987e-06,9.998829136952687e-07,1.7551155164302408e-11,2.8170653053531417e-14,1.1
3.099990002817422e-05,4.367322049821566e-13,4.794113363772795e-11,8.800459323326632e-12,4.2793500673703977e-11,1.294641026457858e-10,9.99991847703098e-06,9.998828376328442e-07,1.762727352188265e-11,2.817416025947986e-14,1.11
3.0999900028177535e-05,4.367818163945277e-13,4.794703709241066e-11,8.788657592276733e-12,4.279934601972929e-11,1.2990381646162072e-10,9.99991804322062e-06,9.998827630151924e-07,1.7701944103986218e-11,2.8177479188969445e-14,1.12
3.099990002818067e-05,4.368287672130654e-13,4.795262393480799e-11,8.777488911299939e-12,4.280487776655477e-11,1.3034295686524794e-10,9.999917609667058e-06,9.998826898170735e-07,1.777519231457567e-11,2.818062012442797e-14,1.13
3.099990002818365e-05,4.368732033284303e-13,4.7957911532901537e-11,8.766918554016976e-12,4.281011311693007e-11,1.3078155531104158e-10,9.99991717635621e-06,9.998826180135765e-07,1.7847043220458527e-11,2.8183592823180718e-14,1.14
3.099990002818646e-05,4.3691525947565437e-13,4.796291592240792e-11,8.756914457849684e-12,4.2815067953967764e-11,1.3121964084052845e-10,9.999916743275071e-06,9.998825475800243e-07,1.7917521642406107e-11,2.818640629917386e-14,1.15
3.0999900028189115e-05,4.3695505085493085e-13,4.7967650800084894e-11,8.747449236860745e-12,4.281975584393086e-11,1.31657238259124e-10,9.999916310412531e-06,9.99882478491743e-07,1.7986652377047813e-11,2.8189068268769408e-14,1.16
3.0999900028191636e-05,4.369927070393905e-13,4.797213159385682e-11,8.738492043722792e-12,4.2824192067985364e-11,1.320943755076666e-10,9.999915877756076e-06,9.998824107249527e-07,1.8054459342713375e-11,2.8191587395829086e-14,1.17
