Time,n,c,a,m,vt,Gat,Tt,Gmt,alt,Bat,A,t1,default_compartment,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
0.56,0.0003483135517636708,0.0023964021285854085,3.6736978663285943e-06,0.0003519360680673761,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,0.0023964021285854085,3.4831355176367076e-05,3.4831355176367076e-05,3.6736978663285943e-06,1.2929067823431945e-12,0.0023964021285854085,3.5193606806737607e-06,0.014107938843082196,1.3496055994852909e-09,0.0023964021285854085
0.57,0.00037250838898225295,0.0025151838177068842,3.995682435374411e-06,0.00037645480962616247,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,0.0025151838177068842,3.72508388982253e-05,3.72508388982253e-05,3.995682435374411e-06,1.504193870535475e-12,0.0025151838177068842,3.764548096261625e-06,0.014560137401041047,1.596547809886993e-09,0.0025151838177068842
0.58,0.00039788294669189226,0.0026373040228013073,4.3391227008216815e-06,0.00040217554199907133,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,0.0026373040228013073,3.978829466918923e-05,3.978829466918923e-05,4.3391227008216815e-06,1.745089024003434e-12,0.0026373040228013073,4.021755419990714e-06,0.015016511764843171,1.8827985777336732e-09,0.0026373040228013073
0.59,0.0004244694529232153,0.002762770167125137,4.704995073085989e-06,0.0004291315671841267,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,0.002762770167125137,4.244694529232153e-05,4.244694529232153e-05,4.704995073085989e-06,2.019061909306985e-12,0.002762770167125137,4.291315671841267e-06,0.015476879390827956,2.2136978588758846e-09,0.002762770167125137
0.6,0.00045230016819373334,0.0028915877758844627,5.0942983299506884e-06,0.0004573562485758591,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,0.0028915877758844627,4.523001681937334e-05,4.523001681937334e-05,5.0942983299506884e-06,2.329909173312511e-12,0.0028915877758844627,4.573562485758591e-06,0.01594105613808316,2.5951875407188384e-09,0.0028915877758844627
0.61,0.00048140736651523536,0.0030237604796804433,5.508053415322748e-06,0.0004868829919886748,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,0.0030237604796804433,4.8140736651523536e-05,4.8140736651523536e-05,5.508053415322748e-06,2.681777526885779e-12,0.0030237604796804433,4.868829919886748e-06,0.016408856342098828,3.03386523340052e-09,0.0030237604796804433
0.62,0.000511823316551624,0.00315929001837893,5.947303228991443e-06,0.0005177452268205744,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,0.00315929001837893,5.1182331655162405e-05,5.1182331655162405e-05,5.947303228991443e-06,3.079187859264909e-12,0.00315929001837893,5.1774522682057435e-06,0.016880092889030595,3.537041557246541e-09,0.00315929001837893
0.63,0.0005435802624161459,0.0032981762449081145,6.4131124008926064e-06,0.0005499763868551106,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,0.0032981762449081145,5.435802624161459e-05,5.435802624161459e-05,6.4131124008926064e-06,3.5270603867386198e-12,0.0032981762449081145,5.499763868551107e-06,0.017354577290542766,4.11280104973312e-09,0.0032981762449081145
0.64,0.0005767104055143883,0.003440417132331401,6.906567032063018e-06,0.0005836098920373216,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,0.003440417132331401,5.767104055143883e-05,5.767104055143883e-05,6.906567032063018e-06,4.030740839930823e-12,0.003440417132331401,5.8360989203732165e-06,0.017832119759201116,4.770066794084439e-09,0.003440417132331401
0.65,0.0006112458851973185,0.0035860087795013713,7.428774419313843e-06,0.0006186791290856424,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,0.0035860087795013713,6.112458851973186e-05,6.112458851973186e-05,7.428774419313843e-06,4.596027687914787e-12,0.0035860087795013713,6.186791290856424e-06,0.018312529284385315,5.518668906849465e-09,0.0035860087795013713
0.66,0.0006472187603846723,0.0037349454179935516,7.980862780257574e-06,0.0006552174330483482,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,0.0037349454179935516,6.472187603846724e-05,6.472187603846724e-05,7.980862780257574e-06,5.229200424391471e-12,0.0037349454179935516,6.552174330483482e-06,0.01879561370869068,6.36941703116059e-09,0.0037349454179935516
0.67,0.0006846609909974769,0.00388721941973075,8.56398095418746e-06,0.0006932580686510537,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,0.00388721941973075,6.84660990997477e-05,6.84660990997477e-05,8.56398095418746e-06,5.9370488962644065e-12,0.00388721941973075,6.932580686510537e-06,0.019281179804788516,7.334176924578403e-09,0.00388721941973075
0.68,0.0007236044195192274,0.004042821304313234,9.179298104664505e-06,0.0007328342117770232,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,0.004042821304313234,7.236044195192274e-05,7.236044195192274e-05,9.179298104664505e-06,6.726903691198136e-12,0.004042821304313234,7.3283421177702325e-06,0.019769033352714523,8.42595129843308e-09,0.004042821304313234
0.69,0.0007640807526397909,0.004201739748587615,9.82800338072864e-06,0.0007739789309810901,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,0.004201739748587615,7.64080752639791e-05,7.64080752639791e-05,9.82800338072864e-06,7.606667550294892e-12,0.004201739748587615,7.739789309810901e-06,0.020258979217554138,9.658964951865749e-09,0.004201739748587615
0.7,0.0008061215430142404,0.00436396159667841,1.0511305566943893e-05,0.0008167251691067441,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,0.00436396159667841,8.061215430142405e-05,8.061215430142405e-05,1.0511305566943893e-05,8.584847816694912e-12,0.00436396159667841,8.167251691067442e-06,0.020750821427493973,1.1048754350091591e-08,0.00436396159667841
0.71,0.0008497581711432134,0.004529471870118675,1.1230432728462168e-05,0.0008611057250206255,0.1,1.0,0.001,0.01,0.05,0.1,1.0,10.0,1.0,0.004529471870118675,8.497581711432135e-05,8.497581711432135e-05,1.1230432728462168e-05,9.670589916937775e-12,0.004529471870118675,8.611057250206255e-06,0.021244363252207854,1.2612261767782271e-08,0.004529471870118675
