Time,s121,s122,s124,s125,s126,s127,s128,s129,s130,s131,s132,s133,s134,s135,s139,s150,s152,s153,s154,s159,s160,s161,s164,s167,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,kf13,kr13,kf14,kr14,kf15,kr15,k16,k17,k18,k20,k19,k21,k22,kf23,kr23,k27,kf28,kr28,k26,default,c2,re44,re45,re46,re47,re48,re49,re52,re53,re56,re57,re58,re59,re60,re61,re63,re64,re65,re66,re67,re68,re69,re70,re71,re72
0.1,0.0,0.0,0.0,1.2499062644366455e-18,0.0,1.2499062644366455e-18,1.604542144115585e-20,0.0,1.5599299575308246e-15,0.0,3.1183338220106154e-11,2.499671903709009e-07,0.0,0.05999988000005761,7.186212403156585e-33,0.0,6.223765969083838e-14,0.0,0.0,2.526223551789673e-34,1.604501471082645e-20,1.1998488141959764e-07,7.499370046747396e-11,2.531579021828634e-24,0.0025,0.000125,2.5e-06,0.1,0.0015,0.000125,0.2,0.1,1.0,0.1,0.000125,2e-05,18.4,0.0,18.4,0.0,0.0025,0.0,0.5,0.0004,0.0003,5e-07,0.0,0.0001,0.5,0.001,0.0005,0.0004,0.01,0.0,5e-07,1.0,1.0,3.749685023373698e-17,4.999625057746582e-22,1.604501471082645e-24,6.249531322183228e-19,3.749685023373698e-17,6.249179759272522e-10,1.1999976000011523e-06,3.124589879636261e-11,3.8979172775132696e-15,7.186212403156586e-34,1.8709965512075795e-12,6.223765969083839e-15,1.9499124469135308e-19,6.249531322183228e-19,4.677500733015923e-14,2.5e-06,3.5422929049157486e-26,1.0006742409485598e-31,2.999622035489941e-10,2.526223551789673e-36,3.493285611258734e-33,4.999625057746582e-22,4.813626432346755e-24,1.6043748921315533e-23
0.11,0.0,0.0,0.0,1.663613448028079e-18,0.0,1.663613448028079e-18,2.337691644559387e-20,0.0,2.07594386640644e-15,0.0,3.772380650276363e-11,2.7496030069614467e-07,0.0,0.05999986800006217,1.0840992660993278e-32,0.0,8.280536556313978e-14,0.0,0.0,3.8015810502042612e-34,2.337630075564598e-20,1.3198170670952426e-07,9.074161538458304e-11,3.83218000128497e-24,0.0025,0.000125,2.5e-06,0.1,0.0015,0.000125,0.2,0.1,1.0,0.1,0.000125,2e-05,18.4,0.0,18.4,0.0,0.0025,0.0,0.5,0.0004,0.0003,5e-07,0.0,0.0001,0.5,0.001,0.0005,0.0004,0.01,0.0,5e-07,1.0,1.0,4.537080769229152e-17,6.654453792112316e-22,2.337630075564598e-24,8.318067240140395e-19,4.537080769229152e-17,6.874007517403617e-10,1.1999973600012436e-06,3.437003758701808e-11,4.7154758128454535e-15,1.084099266099328e-33,2.2634234106257045e-12,8.280536556313978e-15,2.59492983300805e-19,8.318067240140395e-19,5.658570975414544e-14,2.5e-06,5.676849089324949e-26,1.7636860929127922e-31,3.2995426677381066e-10,3.801581050204261e-36,6.398382949204087e-33,6.654453792112316e-22,7.01307493367816e-24,2.3374384665645337e-23
0.12,0.0,0.0,0.0,2.1598074672676254e-18,0.0,2.1598074672676254e-18,3.296255332624562e-20,0.0,2.694722033228346e-15,0.0,4.488489483619045e-11,2.999527549608535e-07,0.0,0.05999985600006502,1.5568523304161284e-32,0.0,1.0746124909657856e-13,0.0,0.0,5.44393011262162e-34,3.296166147740103e-20,1.4397822970500548e-07,1.0798911456890688e-10,5.551128955844637e-24,0.0025,0.000125,2.5e-06,0.1,0.0015,0.000125,0.2,0.1,1.0,0.1,0.000125,2e-05,18.4,0.0,18.4,0.0,0.0025,0.0,0.5,0.0004,0.0003,5e-07,0.0,0.0001,0.5,0.001,0.0005,0.0004,0.01,0.0,5e-07,1.0,1.0,5.3994557284453436e-17,8.639229869070502e-22,3.296166147740103e-24,1.0799037336338127e-18,5.3994557284453436e-17,7.498818874021338e-10,1.1999971200013005e-06,3.749409437010669e-11,5.610611854523806e-15,1.5568523304161284e-33,2.6930872267494892e-12,1.0746124909657857e-14,3.3684025415354324e-19,1.0799037336338127e-18,6.732734225428568e-14,2.5e-06,8.73220146847945e-26,2.9589614180785106e-31,3.599455742625137e-10,5.44393011262162e-36,1.1030091614710485e-32,8.639229869070502e-22,9.888765997873685e-24,3.2958885912923105e-23
0.13,0.0,0.0,0.0,2.745985823573553e-18,0.0,2.745985823573553e-18,4.523016554847099e-20,0.0,3.4255709852344775e-15,0.0,5.2666208726131304e-11,3.249445531822487e-07,0.0,0.05999984400006579,2.153260099336519e-32,0.0,1.3657332099430727e-13,0.0,0.0,7.506704246511245e-34,4.522891774361547e-20,1.5597445041785158e-07,1.267361602331805e-10,7.766887501622569e-24,0.0025,0.000125,2.5e-06,0.1,0.0015,0.000125,0.2,0.1,1.0,0.1,0.000125,2e-05,18.4,0.0,18.4,0.0,0.0025,0.0,0.5,0.0004,0.0003,5e-07,0.0,0.0001,0.5,0.001,0.0005,0.0004,0.01,0.0,5e-07,1.0,1.0,6.336808011659025e-17,1.0983943294294213e-21,4.522891774361547e-24,1.3729929117867764e-18,6.336808011659025e-17,8.123613829556218e-10,1.199996880001316e-06,4.061806914778109e-11,6.583276090766413e-15,2.1532600993365192e-33,3.159964307642782e-12,1.3657332099430727e-14,4.281963731543097e-19,1.3729929117867764e-18,7.899931308919695e-14,2.5e-06,1.2980382282020533e-25,4.764071244684552e-31,3.89936126044629e-10,7.506704246511246e-36,1.8111957180104537e-32,1.0983943294294213e-21,1.3569049664541295e-23,4.522503429986466e-23
0.14,0.0,0.0,0.0,3.429645787707575e-18,0.0,3.429645787707575e-18,6.064708196445616e-20,0.0,4.277790928240223e-15,0.0,6.106735433087435e-11,3.499356953775512e-07,0.0,0.0599998320000641,2.890824332311072e-32,0.0,1.7050894670441853e-13,0.0,0.0,1.004667319273244e-33,6.064538465913419e-20,1.6797036886026508e-07,1.4698271459131277e-10,1.0565079953161678e-23,0.0025,0.000125,2.5e-06,0.1,0.0015,0.000125,0.2,0.1,1.0,0.1,0.000125,2e-05,18.4,0.0,18.4,0.0,0.0025,0.0,0.5,0.0004,0.0003,5e-07,0.0,0.0001,0.5,0.001,0.0005,0.0004,0.01,0.0,5e-07,1.0,1.0,7.349135729565638e-17,1.3718583150830301e-21,6.0645384659134196e-24,1.7148228938537875e-18,7.349135729565638e-17,8.74839238443878e-10,1.199996640001282e-06,4.37419619221939e-11,7.633419291359294e-15,2.890824332311072e-33,3.6640310005408475e-12,1.7050894670441852e-14,5.347238660300278e-19,1.7148228938537875e-18,9.160103149631153e-14,2.5e-06,1.8743394840796074e-25,7.406906387023039e-31,4.199259221506627e-10,1.004667319273244e-35,2.857306801757532e-32,1.3718583150830301e-21,1.8194124589336848e-23,6.064010211915761e-23
0.15,0.0,0.0,0.0,4.218284408302652e-18,0.0,4.218284408302652e-18,7.971866984402511e-20,0.0,5.26067628336765e-15,0.0,7.008793840469496e-11,3.7492618156398127e-07,0.0,0.05999982000005958,3.8835648860869256e-32,0.0,2.0963490237890052e-13,0.0,0.0,1.3721504326215903e-33,7.971640444801535e-20,1.799659850448061e-07,1.6872873985989563e-10,1.41012133942192e-23,0.0025,0.000125,2.5e-06,0.1,0.0015,0.000125,0.2,0.1,1.0,0.1,0.000125,2e-05,18.4,0.0,18.4,0.0,0.0025,0.0,0.5,0.0004,0.0003,5e-07,0.0,0.0001,0.5,0.001,0.0005,0.0004,0.01,0.0,5e-07,1.0,1.0,8.436436992994781e-17,1.687313763321061e-21,7.971640444801535e-24,2.109142204151326e-18,8.436436992994781e-17,9.373154539099531e-10,1.1999964000011918e-06,4.686577269549766e-11,8.76099230058687e-15,3.883564886086926e-33,4.205263688456961e-12,2.0963490237890052e-14,6.575845354209563e-19,2.109142204151326e-18,1.0513190760704245e-13,2.5e-06,2.639708390131973e-25,1.1174316889592504e-30,4.4991496261201523e-10,1.3721504326215903e-35,4.37787513836384e-32,1.687313763321061e-21,2.3915600953207532e-23,7.970935384131825e-23
0.16,0.0,0.0,0.0,5.1193985408460404e-18,0.0,5.1193985408460404e-18,1.0298338314354677e-19,0.0,6.383517511201326e-15,0.0,7.972756810564058e-11,3.9991601175875934e-07,0.0,0.05999980800005187,5.666237524168122e-32,0.0,2.5431756505864637e-13,0.0,0.0,2.182066584260883e-33,1.0298036022979411e-19,1.919612989842741e-07,1.9197419826333485e-10,1.8813841365182296e-23,0.0025,0.000125,2.5e-06,0.1,0.0015,0.000125,0.2,0.1,1.0,0.1,0.000125,2e-05,18.4,0.0,18.4,0.0,0.0025,0.0,0.5,0.0004,0.0003,5e-07,0.0,0.0001,0.5,0.001,0.0005,0.0004,0.01,0.0,5e-07,1.0,1.0,9.598709913166742e-17,2.047759416338416e-21,1.0298036022979412e-23,2.5596992704230202e-18,9.598709913166742e-17,9.997900293968983e-10,1.1999961600010374e-06,4.998950146984492e-11,9.965946013205073e-15,5.666237524168122e-33,4.783638778649494e-12,2.543175650586464e-14,7.979396889001658e-19,2.5596992704230202e-18,1.1959135215846086e-13,2.5e-06,3.637356844402675e-25,1.6420747367528622e-30,4.799032474606853e-10,2.182066584260883e-35,6.645660686695364e-32,2.047759416338416e-21,3.0895014943064027e-23,1.0297095330911153e-22
0.17,0.0,0.0,0.0,6.140484785287241e-18,0.0,6.140484785287241e-18,1.310234221389797e-19,0.0,7.655597184912798e-15,0.0,8.998585140931381e-11,4.249051859791049e-07,0.0,0.05999979600004059,8.496387519779282e-32,0.0,3.0492250326058967e-13,0.0,0.0,3.5893484438981e-33,1.3101940990513007e-19,2.0395631069196233e-07,2.1671905202280552e-10,2.4965684605761648e-23,0.0025,0.000125,2.5e-06,0.1,0.0015,0.000125,0.2,0.1,1.0,0.1,0.000125,2e-05,18.4,0.0,18.4,0.0,0.0025,0.0,0.5,0.0004,0.0003,5e-07,0.0,0.0001,0.5,0.001,0.0005,0.0004,0.01,0.0,5e-07,1.0,1.0,1.0835952601140276e-16,2.4561939141148968e-21,1.3101940990513009e-23,3.0702423926436206e-18,1.0835952601140276e-16,1.0622629649477622e-09,1.1999959200008118e-06,5.311314824738811e-11,1.1248231426164228e-14,8.496387519779283e-33,5.399132727448794e-12,3.0492250326058966e-14,9.569496481140998e-19,3.0702423926436206e-18,1.3497877711397072e-13,2.5e-06,4.9168913270850425e-25,2.3579786302918027e-30,5.098907767299058e-10,3.5893484438981005e-35,9.955392681584265e-32,2.4561939141148968e-21,3.930702664169391e-23,1.3100692706282719e-22
0.18,0.0,0.0,0.0,7.28903950792276e-18,0.0,7.28903950792276e-18,1.6446099443464238e-19,0.0,9.086191367658202e-15,0.0,1.0086239696373327e-10,4.4989370424223676e-07,0.0,0.059999784000025355,1.2599162535099805e-31,0.0,3.6181462058406464e-13,0.0,0.0,5.7282655324876015e-33,1.64455721119607e-19,2.1595102018156863e-07,2.4296326336012604e-10,3.280458833291269e-23,0.0025,0.000125,2.5e-06,0.1,0.0015,0.000125,0.2,0.1,1.0,0.1,0.000125,2e-05,18.4,0.0,18.4,0.0,0.0025,0.0,0.5,0.0004,0.0003,5e-07,0.0,0.0001,0.5,0.001,0.0005,0.0004,0.01,0.0,5e-07,1.0,1.0,1.21481631680063e-16,2.915615803169104e-21,1.64455721119607e-23,3.64451975396138e-18,1.21481631680063e-16,1.124734260605592e-09,1.1999956800005071e-06,5.62367130302796e-11,1.260779962046666e-14,1.2599162535099806e-32,6.051722031548809e-12,3.6181462058406465e-14,1.1357739209572753e-18,3.64451975396138e-18,1.512935954455999e-13,2.5e-06,6.534646058087339e-25,3.317479645304563e-30,5.398775504539216e-10,5.728265532487602e-35,1.4665370095571967e-31,2.915615803169104e-21,4.933829833039271e-23,1.6443931882544055e-22
0.19,0.0,0.0,0.0,8.572558845897565e-18,0.0,8.572558845897565e-18,2.0395754589105764e-19,0.0,1.0684569895894846e-14,0.0,1.1235681405947993e-10,4.7488156656537384e-07,0.0,0.05999977200000583,1.8217668120186784e-31,0.0,4.253581852491637e-13,0.0,0.0,8.743966950682029e-33,2.0395069683439388e-19,2.2794542746717703e-07,2.7070679449855523e-10,4.259662950243243e-23,0.0025,0.000125,2.5e-06,0.1,0.0015,0.000125,0.2,0.1,1.0,0.1,0.000125,2e-05,18.4,0.0,18.4,0.0,0.0025,0.0,0.5,0.0004,0.0003,5e-07,0.0,0.0001,0.5,0.001,0.0005,0.0004,0.01,0.0,5e-07,1.0,1.0,1.3535339724927762e-16,3.429023538359026e-21,2.039506968343939e-23,4.286279422948782e-18,1.3535339724927762e-16,1.1872039164134347e-09,1.1999954400001166e-06,5.936019582067173e-11,1.4044601757434991e-14,1.8217668120186786e-32,6.741383226215845e-12,4.2535818524916373e-14,1.3355712369868558e-18,4.286279422948782e-18,1.685352210892199e-13,2.5e-06,8.554091694074594e-25,4.5830501043046714e-30,5.698635686679426e-10,8.743966950682029e-35,2.1217402533444767e-31,3.429023538359026e-21,6.118726376731729e-23,2.0392939851964268e-22
0.2,0.0,0.0,0.0,9.998538707205077e-18,0.0,9.998538707205077e-18,2.502137606249521e-19,0.0,1.2459996379381188e-14,0.0,1.244687126296969e-10,4.998687729657341e-07,0.0,0.05999975999998161,2.5612967712974985e-31,0.0,4.959168300967353e-13,0.0,0.0,1.279248137883236e-32,2.5020497532624433e-19,2.399395325632578e-07,2.999496076627917e-10,5.462611680895923e-23,0.0025,0.000125,2.5e-06,0.1,0.0015,0.000125,0.2,0.1,1.0,0.1,0.000125,2e-05,18.4,0.0,18.4,0.0,0.0025,0.0,0.5,0.0004,0.0003,5e-07,0.0,0.0001,0.5,0.001,0.0005,0.0004,0.01,0.0,5e-07,1.0,1.0,1.4997480383139585e-16,3.999415482882031e-21,2.5020497532624434e-23,4.999269353602539e-18,1.4997480383139585e-16,1.2496719324143353e-09,1.1999951999996323e-06,6.248359662071677e-11,1.5558589078712112e-14,2.561296771297499e-32,7.468092885288493e-12,4.959168300967353e-14,1.5574995474226486e-18,4.999269353602539e-18,1.8670306894454535e-13,2.5e-06,1.1046267927759615e-24,6.228538234480542e-30,5.998488314081445e-10,1.279248137883236e-34,3.0148551441180037e-31,3.999415482882031e-21,7.506412818748563e-23,2.5017766226783983e-22
0.21,0.0,0.0,0.0,1.1574474770687175e-17,0.0,1.1574474770687175e-17,3.0396956100925647e-19,0.0,1.4421728201176843e-14,0.0,1.3719770325008963e-10,5.248553234605351e-07,0.0,0.05999974799995234,3.5064082639276898e-31,0.0,5.738535525883853e-13,0.0,0.0,1.804071707698782e-32,3.0395843018749644e-19,2.519333354846673e-07,3.3069166507897444e-10,6.919559068597287e-23,0.0025,0.000125,2.5e-06,0.1,0.0015,0.000125,0.2,0.1,1.0,0.1,0.000125,2e-05,18.4,0.0,18.4,0.0,0.0025,0.0,0.5,0.0004,0.0003,5e-07,0.0,0.0001,0.5,0.001,0.0005,0.0004,0.01,0.0,5e-07,1.0,1.0,1.6534583253948722e-16,4.62978990827487e-21,3.0395843018749643e-23,5.787237385343588e-18,1.6534583253948722e-16,1.3121383086513377e-09,1.199994959999047e-06,6.560691543256688e-11,1.7149712906261204e-14,3.50640826392769e-32,8.23182762117762e-12,5.738535525883853e-14,1.8027160251471053e-18,5.787237385343588e-18,2.0579655487513446e-13,2.5e-06,1.4090216054510763e-24,8.340479701045445e-30,6.298333387116682e-10,1.804071707698782e-34,4.210362538412428e-31,4.62978990827487e-21,9.119086830277693e-23,3.039238323921535e-22
