DR,DRG,DRG_GDP,DRG_GTP,GDP,GTP,G_GDP,G_GTP,Recptor,agonist,Time
8.043489495145035e-12,6.170329078017064e-17,6.884595950441213e-14,3.7769757265083587e-16,4.4040636604466e-16,9.999999999621297e-06,9.999307136390117e-10,1.0006201273651307e-18,9.918872230643632e-10,9.99188722306436e-09,0.17
8.489499737380116e-12,6.94255285617723e-17,7.694240758867825e-14,4.454631586009307e-16,5.161179122748956e-16,9.999999999553308e-06,9.99922541480629e-10,1.2230947971780873e-18,9.914330407619078e-10,9.991433040761904e-09,0.18
8.932539960543584e-12,7.759781916734236e-17,8.547910940920112e-14,5.195709601195468e-16,5.986484579215839e-16,9.99999999947895e-06,9.999139222496866e-10,1.4721245901973645e-18,9.90981381451927e-10,9.990981381451925e-09,0.19
9.37290838338863e-12,8.616817874274099e-17,9.439699941825615e-14,6.068768828441775e-16,6.9486074977962e-16,9.999999999391308e-06,9.999049081495554e-10,1.8059644596590483e-18,9.905319980306671e-10,9.990531998030665e-09,0.2
9.810389006553052e-12,9.517425910972206e-17,1.0373885869684475e-13,7.024152053735136e-16,7.99784111408417e-16,9.999999999295391e-06,9.99895461369418e-10,2.1824204368429894e-18,9.900850694749785e-10,9.990085069474975e-09,0.21
1.0244981830036854e-11,1.0461606026828563e-16,1.1350468724496699e-13,8.061859277075557e-16,9.13418542807975e-16,9.999999999191198e-06,9.998855819092744e-10,2.6014925217491896e-18,9.89640595784861e-10,9.989640595784858e-09,0.22
1.0676686853840037e-11,1.144935822184317e-16,1.2369448506262283e-13,9.181890498463037e-16,1.0357640439782943e-15,9.99999999907873e-06,9.998752697691245e-10,3.0631807143776482e-18,9.891985769603147e-10,9.989198576960312e-09,0.23
1.1105504077962597e-11,1.2480682496016016e-16,1.3430825214981226e-13,1.038424571789757e-15,1.166820614919374e-15,9.999999998957988e-06,9.998645249489682e-10,3.567485014728364e-18,9.887590130013396e-10,9.988759013001337e-09,0.24
1.1531584526999341e-11,1.3552928735132399e-16,1.4531650932457377e-13,1.1702083354645999e-15,1.3099184234639633e-15,9.999999998825612e-06,9.998533735983512e-10,4.1547013169744785e-18,9.883217795634335e-10,9.98832177956343e-09,0.25
1.1955016682829852e-11,1.4664544297471062e-16,1.5670198540381378e-13,1.3154830173365503e-15,1.4670085393007302e-15,9.999999998679637e-06,9.998418310376977e-10,4.848438070193504e-18,9.878868037959767e-10,9.987886803795973e-09,0.26
1.2375688427553448e-11,1.5817496579420044e-16,1.6848656519377607e-13,1.4717869969238972e-15,1.6356187066569684e-15,9.999999998522557e-06,9.99829877854063e-10,5.618780338565616e-18,9.87454178010057e-10,9.987454178010055e-09,0.27
1.2793608634960848e-11,1.701162986754108e-16,1.8066851657863148e-13,1.6393151039982264e-15,1.8159445970551874e-15,9.999999998354172e-06,9.998175155839227e-10,6.468095798244008e-18,9.87023894899532e-10,9.98702389489953e-09,0.28
1.3208786178842761e-11,1.8246788448395907e-16,1.9324610744255083e-13,1.8182621683311207e-15,2.008181882017895e-15,9.999999998174287e-06,9.998047457637523e-10,7.398752125381866e-18,9.865959471582607e-10,9.986595947158257e-09,0.29
1.3621229932989917e-11,1.952281660854628e-16,2.062176056697052e-13,2.008823019694168e-15,2.2125262330676027e-15,9.999999997982702e-06,9.997915699300274e-10,8.413116996132397e-18,9.86170327480101e-10,9.986170327480099e-09,0.3
1.4030948771193025e-11,2.083955863455393e-16,2.195812791442653e-13,2.2111924878589525e-15,2.4291733217268183e-15,9.999999997779223e-06,9.997779896192233e-10,9.513558086648781e-18,9.857470285589112e-10,9.985747028558908e-09,0.31
1.4437951567242805e-11,2.2196858812980596e-16,2.333353957504021e-13,2.425565402597058e-15,2.6583188195180513e-15,9.999999997563651e-06,9.997640063678155e-10,1.0702443073084217e-17,9.8532604308855e-10,9.985326043088547e-09,0.32
1.4842247194929973e-11,2.3594561430388026e-16,2.4747822337228643e-13,2.6521365936800704e-15,2.900158397963811e-15,9.999999997335787e-06,9.9974962171228e-10,1.1982139631591894e-17,9.84907363762875e-10,9.984907363762872e-09,0.33
1.5243935973580873e-11,2.5030904401373256e-16,2.6199009406617366e-13,2.893027083354832e-15,3.1568393006991007e-15,9.99999999709347e-06,9.997348531741264e-10,1.3395679720248221e-17,9.844909070666712e-10,9.984490907066668e-09,0.34
1.5643079534479154e-11,2.6504805251481155e-16,2.7685892803432606e-13,3.149542975827685e-15,3.429683115905362e-15,9.999999996835365e-06,9.997197115120457e-10,1.496889137936498e-17,9.840766217266448e-10,9.984076621726641e-09,0.35000000000000003
1.6039610337154764e-11,2.8017450593340734e-16,2.9209798080380077e-13,3.420269524491284e-15,3.7172547308431986e-15,9.99999999656292e-06,9.997041849050034e-10,1.6670162156686338e-17,9.836645641189332e-10,9.98366456411893e-09,0.36
1.64335437097582e-11,2.956857133342893e-16,3.077042543217783e-13,3.705537512601857e-15,4.01988756185171e-15,9.999999996275799e-06,9.996882760177222e-10,1.8504729872911726e-17,9.832547215584464e-10,9.983254721558444e-09,0.37
1.682489498043994e-11,3.1157898378222656e-16,3.236747505354392e-13,4.005677723415628e-15,4.337915025269996e-15,9.999999995973665e-06,9.996719875149248e-10,2.0477832348740557e-17,9.828470813600948e-10,9.982847081360092e-09,0.38
1.721367947735048e-11,3.278516263419883e-16,3.400064713919639e-13,4.321020940188821e-15,4.671670537437152e-15,9.999999995656182e-06,9.99655322061334e-10,2.259470740487225e-17,9.824416308387886e-10,9.982441630838785e-09,0.39
1.75999125286403e-11,3.4450095007834365e-16,3.5669641883853295e-13,4.651897946177661e-15,5.0214875146922795e-15,9.999999995323014e-06,9.99638282321672e-10,2.4860592862006226e-17,9.82038357309438e-10,9.982038357309436e-09,0.4
1.7983609462459893e-11,3.615242640560619e-16,3.7374159482232677e-13,4.998639524638374e-15,5.387699373374474e-15,9.999999994973826e-06,9.996208709606622e-10,2.7280726540841905e-17,9.816372480869538e-10,9.98163724808695e-09,0.41000000000000003
1.8364785606959744e-11,3.7891887733991203e-16,3.9113900129052587e-13,5.361576458827182e-15,5.770639529822833e-15,9.99999999460828e-06,9.996030906430267e-10,2.986034626207869e-17,9.812382904862456e-10,9.981238290486242e-09,0.42
1.8743481043639685e-11,3.966780100896172e-16,4.0888111171855737e-13,5.741434932821588e-15,6.17106325548675e-15,9.999999994225615e-06,9.995849481409876e-10,3.2634350834856216e-17,9.80841451918676e-10,9.980841451918672e-09,0.43
1.911972796138942e-11,4.1479618621304675e-16,4.269618434859227e-13,6.138815057072502e-15,6.589591313233975e-15,9.999999993825205e-06,9.99566448917089e-10,3.562818165654469e-17,9.804467061418566e-10,9.980446706141852e-09,0.44
1.9493519234069325e-11,4.3327442390777975e-16,4.453823064129294e-13,6.5536889383341115e-15,7.0261744456528585e-15,9.9999999934071e-06,9.995475919100543e-10,3.8820170433823697e-17,9.800540585256304e-10,9.980054058525625e-09,0.45
1.986487201753947e-11,4.521097303266758e-16,4.641391680786229e-13,6.986416555017734e-15,7.481177217539224e-15,9.999999992970932e-06,9.995283800878908e-10,4.221774506164413e-17,9.79663494915292e-10,9.979663494915289e-09,0.46
2.023380346765994e-11,4.712991126225946e-16,4.832290960620488e-13,7.437357885534685e-15,7.954964193688896e-15,9.999999992516334e-06,9.995088164186063e-10,4.582833343495688e-17,9.792750011561365e-10,9.979275001156132e-09,0.47000000000000003
2.0600330740290807e-11,4.908395779483955e-16,5.026487579422526e-13,7.906872908296279e-15,8.447899938897699e-15,9.99999999204294e-06,9.99488903870208e-10,4.9659363448712813e-17,9.788885630934581e-10,9.978888563093455e-09,0.48
2.0964470991292157e-11,5.107281334569386e-16,5.223948212982798e-13,8.395321601713837e-15,8.960349017961461e-15,9.99999999155038e-06,9.994686454107034e-10,5.371826299786287e-17,9.785041665725522e-10,9.978504166572548e-09,0.49
2.1326241376524062e-11,5.309617863010833e-16,5.424639537091763e-13,8.903063944198675e-15,9.492675995676007e-15,9.999999991038286e-06,9.994480440081002e-10,5.801245997735792e-17,9.78121797438713e-10,9.978121797438709e-09,0.5
2.16856590518466e-11,5.515375436336894e-16,5.628528227539871e-13,9.430459914162107e-15,1.004524543683716e-14,9.999999990506291e-06,9.994271026304058e-10,6.254938228214884e-17,9.777414415372357e-10,9.977741441537232e-09,0.51
2.2042733257851697e-11,5.724538044675734e-16,5.835597651991077e-13,9.977574562849716e-15,1.0618150761408645e-14,9.999999989954304e-06,9.994058228485693e-10,6.735786425003764e-17,9.773630910630978e-10,9.977363091063093e-09,0.52
2.2397474860341453e-11,5.937086820305428e-16,6.045827750834049e-13,1.0544533497716347e-14,1.1211541062432496e-14,9.999999989382168e-06,9.993842065203918e-10,7.246234491997532e-17,9.769867369075221e-10,9.976986736907516e-09,0.53
2.2749908811620183e-11,6.152978125100882e-16,6.25916875856399e-13,1.113198719689535e-14,1.1826047979113095e-14,9.99999998878925e-06,9.993622579899671e-10,7.784916709736989e-17,9.766123586614418e-10,9.976612358661437e-09,0.54
2.3100051655027076e-11,6.372183107677755e-16,6.47558864266747e-13,1.1740272815939086e-14,1.2462015093776766e-14,9.999999988175204e-06,9.993399801171913e-10,8.352741520896301e-17,9.7623994266152e-10,9.976239942661514e-09,0.55
2.3447919933901327e-11,6.594672916651706e-16,6.695055370631062e-13,1.2369727510399912e-14,1.3119785988749833e-14,9.999999987539682e-06,9.993173757619612e-10,8.950617368149633e-17,9.758694752444204e-10,9.975869475244416e-09,0.56
2.379353019158213e-11,6.820418700638397e-16,6.917536909941336e-13,1.3020688435830184e-14,1.3799704246358616e-14,9.999999986882339e-06,9.99294447784173e-10,9.57945269417115e-17,9.75500942746806e-10,9.9755009427468e-09,0.5700000000000001
2.4136898971408667e-11,7.049391608253484e-16,7.143001228084861e-13,1.3693492747782254e-14,1.4502113448929435e-14,9.999999986202827e-06,9.992711990437233e-10,1.0240155941635008e-16,9.751343315053403e-10,9.975134331505334e-09,0.58
2.4478042816720144e-11,7.281562788112634e-16,7.371416292548215e-13,1.4388477601808497e-14,1.5227357178788623e-14,9.999999985500799e-06,9.99247632400509e-10,1.0933635553215387e-16,9.747696278566863e-10,9.974769627856681e-09,0.59
2.4816978270855744e-11,7.516903388831502e-16,7.602750070817967e-13,1.510598015346126e-14,1.59757790182625e-14,9.999999984775912e-06,9.992237507144261e-10,1.1660799971586446e-16,9.744068181375072e-10,9.974406818137501e-09,0.6
2.5153687937481387e-11,7.755443773064906e-16,7.837039198371164e-13,1.5845361946452225e-14,1.6746791811259735e-14,9.999999984028752e-06,9.991995509119646e-10,1.2426187447061746e-16,9.740459162984968e-10,9.974045916298492e-09,0.61
2.548816215922721e-11,7.9972008014128e-16,8.074304652928892e-13,1.660620698465267e-14,1.754002062975789e-14,9.999999983259699e-06,9.991750312725566e-10,1.3233508556946956e-16,9.73686929993765e-10,9.97368692999376e-09,0.62
2.5820457442176343e-11,8.242075900090598e-16,8.314433547890006e-13,1.7390001171449176e-14,1.8356904967076706e-14,9.999999982467303e-06,9.991502016424716e-10,1.4079397776042339e-16,9.733298130454482e-10,9.973329813045443e-09,0.63
2.615058958286735e-11,8.490041520645829e-16,8.557395361695477e-13,1.819706019525935e-14,1.919776792579206e-14,9.999999981651236e-06,9.99125064751049e-10,1.4964843416460356e-16,9.729745523978223e-10,9.972974552397817e-09,0.64
2.647857437783879e-11,8.74107011462602e-16,8.803159572786279e-13,1.9027699744500804e-14,2.0062932608479833e-14,9.999999980811174e-06,9.990996233276274e-10,1.5890833790313468e-16,9.726211349951627e-10,9.972621134995157e-09,0.65
2.680442762362922e-11,8.9951341335787e-16,9.051695659603385e-13,1.9882235507591146e-14,2.0952722117715904e-14,9.999999979946792e-06,9.990738801015464e-10,1.6858357209714135e-16,9.72269547781746e-10,9.97226954778174e-09,0.66
2.7128165116777202e-11,9.252206029051394e-16,9.302973100587766e-13,2.0760983172947988e-14,2.1867459556076145e-14,9.999999979057762e-06,9.990478378021454e-10,1.7868401986774823e-16,9.71919777701848e-10,9.971919777701842e-09,0.67
2.7449802653821294e-11,9.512258252591631e-16,9.5569613741804e-13,2.166425842898893e-14,2.280746802613644e-14,9.999999978143759e-06,9.990214991587633e-10,1.8921956433607985e-16,9.715718116997443e-10,9.97157181169974e-09,0.68
2.7769356031300057e-11,9.77526325574694e-16,9.813629958822251e-13,2.259237696413159e-14,2.377307063047266e-14,9.999999977204455e-06,9.989948669007394e-10,2.0020008862326086e-16,9.712256367197112e-10,9.971225636719707e-09,0.6900000000000001
2.808684104575205e-11,1.0041193490064847e-15,1.00729483329543e-12,2.354565446679357e-14,2.4764590471660693e-14,9.999999976239529e-06,9.989679437574128e-10,2.116354758504159e-16,9.708812397060244e-10,9.97088123970602e-09,0.7000000000000001
2.840227349371583e-11,1.0310021407092877e-15,1.0334885975017514e-12,2.4524406625392468e-14,2.5782350652276397e-14,9.999999975248651e-06,9.98940732458123e-10,2.235356091386694e-16,9.705386076029599e-10,9.970538607602955e-09,0.71
2.8715669171729965e-11,1.0581719458378563e-15,1.0599412363452873e-12,2.552894912834592e-14,2.6826674274895676e-14,9.999999974231498e-06,9.989132357322088e-10,2.359103716091463e-16,9.701977273547937e-10,9.970197727354788e-09,0.72
2.902704387633301e-11,1.0856260095469434e-15,1.0866496976701344e-12,2.655959766407152e-14,2.78978844420944e-14,9.999999973187742e-06,9.988854563090098e-10,2.48769646382971e-16,9.698585859058017e-10,9.969858585905796e-09,0.73
2.933641340406352e-11,1.1133615769913012e-15,1.1136109293203903e-12,2.7616667920986875e-14,2.899630425644844e-14,9.999999972117059e-06,9.988573969178649e-10,2.621233165812682e-16,9.695211702002596e-10,9.969521170200255e-09,0.74
2.964379355146007e-11,1.1413758933256827e-15,1.140821879140152e-12,2.8700475587509596e-14,3.012225682053368e-14,9.99999997101912e-06,9.988290602881135e-10,2.759812653251624e-16,9.691854671824437e-10,9.969185467182439e-09,0.75
2.9949200115061205e-11,1.1696662037048407e-15,1.168279494973517e-12,2.981133635205729e-14,3.1276065236926e-14,9.999999969893602e-06,9.988004491490949e-10,2.903533757357783e-16,9.688514637966297e-10,9.968851463796624e-09,0.76
3.025260440043753e-11,1.1982377030146676e-15,1.1959899398300757e-12,3.0948256033850667e-14,3.2456803699454726e-14,9.999999968741434e-06,9.987715582682936e-10,3.0529813924609262e-16,9.6851918387205e-10,9.968519183872043e-09,0.77
3.0553947706926515e-11,1.2271009477121127e-15,1.2239655917427602e-12,3.2109357031445015e-14,3.3662704095100146e-14,9.999999967564397e-06,9.987423770434475e-10,3.2090683040002584e-16,9.681886761144155e-10,9.96818867611441e-09,0.78
3.085333631971895e-11,1.256237014266696e-15,1.2521846561469484e-12,3.3297619131246626e-14,3.4896629639059756e-14,9.999999966359608e-06,9.987129243972379e-10,3.370904695420625e-16,9.678598524489554e-10,9.967859852448949e-09,0.79
3.1150784399655554e-11,1.2856434401027873e-15,1.2806444196796908e-12,3.4513309864702586e-14,3.615885751813262e-14,9.999999965126785e-06,9.986832027662885e-10,3.5386072686416387e-16,9.675327011760106e-10,9.967532701176005e-09,0.8
3.144630610757703e-11,1.3153177626447558e-15,1.3093421689780379e-12,3.5756696763259963e-14,3.744966491911778e-14,9.999999963865653e-06,9.986532145872234e-10,3.712292725582912e-16,9.672072105959222e-10,9.967207210595916e-09,0.81
3.1739915604324075e-11,1.3452575193169716e-15,1.3382751906790391e-12,3.7028047358365826e-14,3.8769329028814315e-14,9.999999962575929e-06,9.986229622966663e-10,3.892077768164057e-16,9.66883369009031e-10,9.966883369009025e-09,0.8200000000000001
3.203162705073741e-11,1.3754602475438039e-15,1.3674407714197453e-12,3.832762918146727e-14,4.011812703402128e-14,9.999999961257334e-06,9.985924483312414e-10,4.0780790983046866e-16,9.66561164715678e-10,9.966561164715671e-09,0.8300000000000001
3.232145460765773e-11,1.4059234847496222e-15,1.396836197837206e-12,3.965570976401133e-14,4.149633612153771e-14,9.999999959909588e-06,9.985616751275722e-10,4.2704134179244106e-16,9.662405860162038e-10,9.966240586016198e-09,0.84
3.260941243592576e-11,1.4366447683587965e-15,1.426458756568472e-12,4.101255663744512e-14,4.2904233478162705e-14,9.999999958532412e-06,9.985306451222827e-10,4.469197428942846e-16,9.6592162121095e-10,9.965921621210944e-09,0.85
3.2895514696382186e-11,1.467621635795696e-15,1.4563057342505935e-12,4.23984373332157e-14,4.43420962906953e-14,9.999999957125526e-06,9.98499360751997e-10,4.674547833279605e-16,9.656042586002568e-10,9.96560425860025e-09,0.86
3.3179775549867725e-11,1.4988516244846908e-15,1.4863744175206202e-12,4.381361938277015e-14,4.581020174593456e-14,9.99999995568865e-06,9.984678244533388e-10,4.886581332854296e-16,9.652884864844654e-10,9.965288486484459e-09,0.87
3.346220915722309e-11,1.53033227185015e-15,1.5166620930156027e-12,4.5258370317555545e-14,4.7308827030679544e-14,9.999999954221505e-06,9.984360386629319e-10,5.105414629586535e-16,9.64974293163917e-10,9.96497429316391e-09,0.88
3.3742829679288974e-11,1.5620611153164433e-15,1.547166047372591e-12,4.673295766901895e-14,4.883824933172931e-14,9.999999952723812e-06,9.984040058174004e-10,5.331164425395933e-16,9.646616669389522e-10,9.964661666938946e-09,0.89
3.4021651276906096e-11,1.5940356923079401e-15,1.5778835672286353e-12,4.823764896860745e-14,5.039874583588292e-14,9.99999995119529e-06,9.983717283533681e-10,5.563947422202104e-16,9.64350596109912e-10,9.964350596109905e-09,0.9
3.4298688110915155e-11,1.6262535402490104e-15,1.6088119392207857e-12,4.977271174776811e-14,5.199059372993943e-14,9.99999994963566e-06,9.98339208707459e-10,5.803880321924657e-16,9.640410689771373e-10,9.964041068977131e-09,0.91
3.457395434215687e-11,1.6587121965640237e-15,1.6399484499860926e-12,5.1338413537948006e-14,5.3614070200697893e-14,9.999999948044641e-06,9.983064493162967e-10,6.051079826483209e-16,9.63733073840969e-10,9.963733073840962e-09,0.92
3.4847437040397053e-11,1.691413965026337e-15,1.6712959145864654e-12,5.2934228875836516e-14,5.526869756521012e-14,9.999999946422717e-06,9.982734478463995e-10,6.305961731031011e-16,9.634266210489296e-10,9.963426621048923e-09,0.93
3.511904372671164e-11,1.7243751450451232e-15,1.7028733814358342e-12,5.455730379346252e-14,5.695178158397765e-14,9.999999944772594e-06,9.982401879576186e-10,6.569820071064917e-16,9.631217856866295e-10,9.963121785686623e-09,0.9400000000000001
3.538889388034597e-11,1.7575747445373846e-15,1.7346566450418587e-12,5.6210988643577654e-14,5.866653405152094e-14,9.999999943091042e-06,9.982066906306896e-10,6.841608803122199e-16,9.628184703444856e-10,9.962818470344478e-09,0.9500000000000001
3.565700002031247e-11,1.791010589787441e-15,1.766643327086407e-12,5.789550289895197e-14,6.041318640649125e-14,9.999999941377825e-06,9.981729580131492e-10,7.121462755377363e-16,9.625166646589868e-10,9.962516664658979e-09,0.96
3.592337466562358e-11,1.824680507079613e-15,1.7988310492513484e-12,5.961106603235557e-14,6.219197008753989e-14,9.999999939632711e-06,9.981389922525337e-10,7.409516756004927e-16,9.622163582666219e-10,9.962216358266615e-09,0.97
3.618803033529173e-11,1.858582322698221e-15,1.831217433218551e-12,6.135789751655852e-14,6.400311653331814e-14,9.999999937855467e-06,9.98104795496379e-10,7.705905633179396e-16,9.6191754080388e-10,9.961917540803872e-09,0.98
3.6450979548329346e-11,1.8927138629275843e-15,1.8638001006698845e-12,6.313621682433086e-14,6.584685718247723e-14,9.999999936045857e-06,9.980703698922213e-10,8.01076421507528e-16,9.6162020190725e-10,9.961620201907243e-09,0.99
3.671223482374886e-11,1.9270729540520237e-15,1.8965766732872164e-12,6.49462434284427e-14,6.772342347366849e-14,9.99999993420365e-06,9.980357175875974e-10,8.324227329867093e-16,9.613243312132208e-10,9.961324331213214e-09,1.0
3.6971808680562693e-11,1.961657422355859e-15,1.9295447727524164e-12,6.678819680166406e-14,6.963304684554317e-14,9.99999993232861e-06,9.98000840730043e-10,8.646429805729341e-16,9.610299183582816e-10,9.961029918358275e-09,1.01
3.7229713637783284e-11,1.996465094123411e-15,1.9627020207473527e-12,6.866229641676503e-14,7.157595873675256e-14,9.999999930420506e-06,9.979657414670946e-10,8.977506470836533e-16,9.60736952978921e-10,9.960736952978914e-09,1.02
3.748596221442306e-11,2.031493795638999e-15,1.9960460389538942e-12,7.05687617465157e-14,7.355239058594794e-14,9.999999928479104e-06,9.979304219462887e-10,9.317592153363183e-16,9.60445424711628e-10,9.960445424711621e-09,1.03
3.774056692949445e-11,2.0667413531869435e-15,2.0295744490539097e-12,7.25078122636861e-14,7.556257383178057e-14,9.999999926504168e-06,9.978948843151611e-10,9.666821681483801e-16,9.601553231928915e-10,9.960155323192885e-09,1.04
3.799354030200988e-11,2.102205593051565e-15,2.0632848727292677e-12,7.447966744104632e-14,7.760673991290176e-14,9.999999924495467e-06,9.978591307212483e-10,1.0025329883372895e-15,9.598666380592006e-10,9.959866638059194e-09,1.05
3.824489485098179e-11,2.137884341517183e-15,2.097174931661837e-12,7.648454675136643e-14,7.968512026796275e-14,9.999999922452766e-06,9.978231633120866e-10,1.0393251587204975e-15,9.595793589470441e-10,9.959579358947037e-09,1.06
3.8494643095422605e-11,2.1737754248681183e-15,2.131242247533486e-12,7.852266966741648e-14,8.179794633561486e-14,9.99999992037583e-06,9.977869842352122e-10,1.0770721621154551e-15,9.59293475492911e-10,9.959293475492904e-09,1.07
3.874279755434475e-11,2.2098766693886905e-15,2.1654844420260842e-12,8.059425566196656e-14,8.394544955450933e-14,9.999999918264428e-06,9.977505956381614e-10,1.1157874813396134e-15,9.590089773332903e-10,9.959008977333282e-09,1.08
3.898936239224591e-11,2.246187391856719e-15,2.1999008654611717e-12,8.26992763387176e-14,8.612762533084733e-14,9.999999916118564e-06,9.97713998177281e-10,1.1554935276828776e-15,9.587258609643226e-10,9.958725860964315e-09,1.09
3.9234233831697675e-11,2.2827261665107284e-15,2.2345132025150275e-12,8.483450078565333e-14,8.834141948649103e-14,9.999999913941308e-06,9.97677173242463e-10,1.1963280700046413e-15,9.584442115101642e-10,9.958444211510157e-09,1.1
3.947752522402386e-11,2.3194728305705106e-15,2.2692982115711475e-12,8.700314005697681e-14,9.058991218299969e-14,9.999999911729562e-06,9.9764014097871e-10,1.2381968316003087e-15,9.581639358167896e-10,9.958163935816781e-09,1.11
3.971924770240603e-11,2.3564254575605852e-15,2.304253801054829e-12,8.92053725094129e-14,9.287329570641501e-14,9.999999909483131e-06,9.976029032862023e-10,1.2811147763251954e-15,9.578850246585537e-10,9.957885024658546e-09,1.12
3.995941240002576e-11,2.3935821210054716e-15,2.3393778793913703e-12,9.144137649968653e-14,9.519176234277876e-14,9.99999990720182e-06,9.975654620651202e-10,1.3250968680346165e-15,9.576074688098108e-10,9.957607468809803e-09,1.1300000000000001
4.019803045006461e-11,2.430940894429689e-15,2.3746683550060687e-12,9.371133038452257e-14,9.754550437813264e-14,9.999999904885438e-06,9.975278192156448e-10,1.370158070583887e-15,9.573312590449162e-10,9.957331259044909e-09,1.1400000000000001
4.043511298570416e-11,2.4684998513577564e-15,2.4101231363242218e-12,9.601541252064595e-14,9.993471409851841e-14,9.999999902533786e-06,9.974899766379564e-10,1.4163133478283225e-15,9.570563861382248e-10,9.957056386138217e-09,1.1500000000000001
4.067067114012598e-11,2.5062570653141934e-15,2.445740131771127e-12,9.835380126478149e-14,1.0235958378997775e-13,9.999999900146675e-06,9.974519362322356e-10,1.4635776636232366e-15,9.567828408640912e-10,9.956782840864083e-09,1.16
4.090471604651163e-11,2.5442106098235206e-15,2.4815172497720836e-12,1.0072667497365421e-13,1.048203057385525e-13,9.999999897723906e-06,9.97413699898663e-10,1.511965981823947e-15,9.565106139968704e-10,9.956510613996863e-09,1.17
4.113725883804269e-11,2.5823585584102566e-15,2.5174523987523884e-12,1.0313421200398892e-13,1.0731707223028433e-13,9.999999895265288e-06,9.973752695374192e-10,1.5614932662857674e-15,9.562396963109173e-10,9.956239696310909e-09,1.18
