data_generator_T,data_generator_Z
10.34,0.24999847
10.36,0.24977736
10.38,0.249548
10.4,0.2493107
10.42,0.2490658
10.44,0.24881363
10.46,0.2485545
10.48,0.24828874
10.5,0.24801663
10.52,0.24773848
10.54,0.24745457
10.56,0.24716519
10.58,0.24687062
10.6,0.24657111
10.62,0.2462669
10.64,0.24595827
10.66,0.24564542
10.68,0.24532862
10.7,0.24500805
10.72,0.24468395
10.74,0.24435651
10.76,0.24402593
10.78,0.2436924
10.8,0.24335608
10.82,0.24301717
10.84,0.24267583
10.86,0.24233219
10.88,0.24198642
10.9,0.24163868
10.92,0.24128906
10.94,0.24093774
10.96,0.24058484
10.98,0.24023044
11.0,0.23987469
11.02,0.23951769
11.04,0.23915954
11.06,0.23880033
11.08,0.23844017
11.1,0.23807915
11.12,0.23771733
11.14,0.23735482
11.16,0.23699167
11.18,0.23662798
11.2,0.2362638
11.22,0.23589921
11.24,0.23553425
11.26,0.23516901
11.28,0.23480353
11.3,0.23443787
11.32,0.23407206
11.34,0.23370619
11.36,0.23334026
11.38,0.23297435
11.4,0.23260848
11.42,0.2322427
11.44,0.23187706
11.46,0.23151158
11.48,0.23114628
11.5,0.23078121
11.52,0.23041642
11.54,0.2300519
11.56,0.22968771
11.58,0.22932385
11.6,0.22896035
11.62,0.22859725
11.64,0.22823457
11.66,0.22787233
11.68,0.22751053
11.7,0.22714922
11.72,0.22678839
11.74,0.22642808
11.76,0.22606829
11.78,0.22570904
11.8,0.22535035
11.82,0.22499223
11.84,0.22463471
11.86,0.22427776
11.88,0.22392143
11.9,0.22356573
11.92,0.22321065
11.94,0.22285621
11.96,0.22250243
11.98,0.2221493
12.0,0.22179684
12.02,0.22144505
12.04,0.22109394
12.06,0.22074354
12.08,0.22039382
12.1,0.22004481
12.12,0.21969649
12.14,0.21934891
12.16,0.21900204
12.18,0.21865588
12.2,0.21831048
12.22,0.21796578
12.24,0.21762183
12.26,0.21727863
12.28,0.21693617
12.3,0.21659446
12.32,0.2162535
12.34,0.2159133
12.36,0.21557383
12.38,0.21523514
12.4,0.21489722
12.42,0.21456003
12.44,0.21422364
12.46,0.21388799
12.48,0.21355312
12.5,0.21321902
12.52,0.21288568
12.54,0.21255311
12.56,0.21222132
12.58,0.21189031
12.6,0.21156007
12.62,0.21123059
12.64,0.2109019
12.66,0.21057399
12.68,0.21024683
12.7,0.20992047
12.72,0.20959488
12.74,0.20927006
12.76,0.208946
12.78,0.20862274
12.8,0.20830025
12.82,0.20797853
12.84,0.20765759
12.86,0.20733741
12.88,0.20701802
12.9,0.20669939
12.92,0.20638153
12.94,0.20606445
12.96,0.20574814
12.98,0.20543259
13.0,0.20511782
13.02,0.20480381
13.04,0.20449057
13.06,0.20417809
13.08,0.20386639
13.1,0.20355545
13.12,0.20324527
13.14,0.20293584
13.16,0.2026272
13.18,0.20231929
13.2,0.20201215
13.22,0.20170577
13.24,0.20140015
13.26,0.20109527
13.28,0.20079115
13.3,0.20048778
13.32,0.20018516
13.34,0.1998833
13.36,0.19958217
13.38,0.19928181
13.4,0.19898218
13.42,0.19868331
13.44,0.19838516
13.46,0.19808777
13.48,0.19779111
13.5,0.19749519
13.52,0.1972
13.54,0.19690555
13.56,0.19661185
13.58,0.19631886
13.6,0.19602662
13.62,0.1957351
13.64,0.19544432
13.66,0.19515425
13.68,0.19486491
13.7,0.19457629
13.72,0.1942884
13.74,0.19400123
13.76,0.19371478
13.78,0.19342904
13.8,0.19314402
13.82,0.19285972
13.84,0.19257613
13.86,0.19229326
13.88,0.19201109
13.9,0.19172962
13.92,0.19144887
13.94,0.19116883
13.96,0.19088948
13.98,0.19061084
14.0,0.1903329
14.02,0.19005565
14.04,0.18977912
14.06,0.18950327
14.08,0.18922812
14.1,0.18895367
14.12,0.1886799
14.14,0.18840683
14.16,0.18813445
14.18,0.18786275
14.2,0.18759175
14.22,0.18732141
14.24,0.18705177
14.26,0.18678281
14.28,0.18651453
14.3,0.18624693
14.32,0.18598001
14.34,0.18571375
14.36,0.18544818
14.38,0.18518327
14.4,0.18491904
14.42,0.18465549
14.44,0.1843926
14.46,0.18413037
14.48,0.18386881
14.5,0.18360792
14.52,0.18334769
14.54,0.18308812
14.56,0.1828292
14.58,0.18257095
14.6,0.18231337
14.62,0.18205643
14.64,0.18180014
14.66,0.18154451
14.68,0.18128952
14.7,0.18103521
14.72,0.18078151
14.74,0.18052849
14.76,0.1802761
14.78,0.18002436
14.8,0.17977326
14.82,0.1795228
14.84,0.17927299
14.86,0.17902382
14.88,0.17877528
14.9,0.17852737
14.92,0.1782801
14.94,0.17803347
14.96,0.17778747
14.98,0.17754211
15.0,0.17729737
15.02,0.17705326
15.04,0.17680977
15.06,0.17656691
15.08,0.1763247
15.1,0.17608309
15.12,0.17584209
15.14,0.17560174
15.16,0.17536199
15.18,0.17512286
15.2,0.17488435
15.22,0.17464647
15.24,0.17440918
15.26,0.17417252
15.28,0.17393647
15.3,0.17370103
15.32,0.17346619
15.34,0.17323197
15.36,0.17299835
15.38,0.17276534
15.4,0.17253295
15.42,0.17230114
