Time,C,P,Q,Qp,Pstar,P0,Q0,lambda_P,k_PQ,k_Qp_P,delta_QP,gamma,KDE,K,plama,tissue
0.17,0.9600211314720857,6.996097606492381,40.01706956797738,1.182231840957816,48.19539901542758,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.18,0.9577198440533979,6.98858179058402,39.95002128440429,1.249166166185049,48.18776924117336,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.19,0.9554240742642449,6.98110491301463,39.88324605695881,1.3158195479328745,48.18017051790632,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.2,0.9531338075199053,6.9736667487947095,39.81674218279069,1.3821937286101096,48.172602660195516,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.21,0.9508490305404598,6.966267114441426,39.75050827297151,1.4482901303874,48.165065517800336,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.22,0.9485697300684003,6.958905827319752,39.684542944994035,1.5141101688843188,48.15755894119811,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.23,0.9462958928686296,6.951582705642464,39.61884482277224,1.5796552531693637,48.15008278158407,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.24,0.9440275063139419,6.944297586524508,39.55341267179265,1.6449266482690335,48.14263690658619,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.25,0.9417645573364373,6.937050293647938,39.488245157060526,1.7099257214117674,48.135221172120225,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.26,0.9395070327649762,6.929840647667952,39.423340920997404,1.7746538627819266,48.12783543144728,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.27,0.9372549196289773,6.922668475581055,39.358698653569284,1.8391124141776707,48.12047954332801,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.28,0.9350082049974708,6.915533605761957,39.2943170551338,1.903302706806911,48.11315336770267,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.29,0.9327668759193198,6.908435865434318,39.23019481769584,1.9672260802857666,48.10585676341593,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.3,0.9305309194498035,6.901375081795472,39.1663306332429,2.030883874190223,48.098589589228595,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.31,0.9283003228045449,6.894351088529288,39.102723242012225,2.0942773791347604,48.091351709676275,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.32,0.9260750731786721,6.8873637181546945,39.03937137578533,2.1574078942464254,48.08414298818645,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.33,0.9238551578036472,6.880412804430163,38.9762737757078,2.22027670910353,48.0769632892415,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.34,0.921640563894316,6.873498180369071,38.91342917739328,2.2828851188912775,48.06981247665363,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.35000000000000003,0.919431278310128,6.866619665541858,38.85083621561818,2.345234521368224,48.06269040252826,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.36,0.9172272886071724,6.859777105507504,38.78849372027977,2.4073261157496413,48.05559694153691,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.37,0.9150285821141311,6.852970337179224,38.72640045644385,2.469161167190813,48.04853196081388,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.38,0.9128351461949794,6.846199198670775,38.664555198247584,2.5307409315960934,48.04149532851445,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.39,0.9106469682489863,6.839463529296465,38.602956728899464,2.5920666556189067,48.03448691381484,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.4,0.9084640357107142,6.832763169571148,38.54160384067935,2.6531395766617467,48.02750658691224,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.41000000000000003,0.906286336050019,6.826097961210229,38.48049533493844,2.713960922876177,48.020554219024845,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.42,0.9041138567422166,6.819467745874837,38.41963001263786,2.7745319227977907,48.01362968131049,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.43,0.9019465847679563,6.812872344136258,38.35900651573893,2.8348539668651815,48.006732826740375,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.44,0.899784508017945,6.806311614559353,38.298623772696374,2.8949281537554725,47.9998635410112,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.45,0.8976276140521192,6.799785401512718,38.23848060494318,2.9547556911173123,47.99302169757321,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.46,0.8954758904622224,6.793293550418819,38.17857584187774,3.0143377784746495,47.9862071707712,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.47000000000000003,0.8933293248718039,6.786835907753997,38.11890832086386,3.073675607226734,47.97941983584459,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.48,0.8911879049362195,6.780412321048462,38.05947688723075,3.132770360648116,47.97265956892733,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.49,0.8890516183426308,6.774022638886296,38.00028039427301,3.1916232138886476,47.96592624704795,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.5,0.8869204528100062,6.767666710905456,37.941317703250654,3.2502353339734804,47.959219748129584,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.51,0.8847943955105331,6.76134435799379,37.88258745837546,3.3086081088970083,47.952539925266265,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.52,0.8826734345710765,6.755055449429099,37.824088669193074,3.366742554678657,47.94588667330083,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.53,0.8805575577795763,6.748799836520349,37.76582020960044,3.424639825432038,47.93925987155283,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.54,0.8784467529534277,6.742577371478592,37.707780960312604,3.482301068313939,47.93265940010513,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.55,0.8763410079436132,6.736387907626478,37.64996981044436,3.5397274219140002,47.92608513998484,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.56,0.8742403106351905,6.730231299420464,37.592385657677816,3.5969200160840686,47.91953697318235,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.5700000000000001,0.8721446489477773,6.724107402473033,37.53502740843,3.6538799717675574,47.91301478267059,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.58,0.8700540108360396,6.718016073574903,37.47789397802041,3.7106084008287983,47.90651845242411,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.59,0.8679683842901776,6.711957170717245,37.42098429083864,3.767106405882404,47.90004786743829,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.6,0.8658877573364125,6.705930553113892,37.364297280511934,3.8233750801226183,47.893602913748445,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.61,0.8638121180374732,6.699936081223559,37.30783189007279,3.8794155071526757,47.887183478449025,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.62,0.8617414544930827,6.693973616772048,37.25158707212654,3.935228760814159,47.88078944971275,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.63,0.8596757542191507,6.688042989907521,37.19556154005601,3.990816158719791,47.87442068868332,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.64,0.8576150050979366,6.682144049461322,37.13975414874018,4.046178874285641,47.86807707248714,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.65,0.8555591957671919,6.676276683530344,37.08416405046221,4.101317777854518,47.86175851184708,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.66,0.853508314401922,6.6704407550278395,37.02879020671446,4.156233934186876,47.855464895929174,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.67,0.8514623492104866,6.664636127923902,36.97363158696614,4.210928399908575,47.84919611479862,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.68,0.8494212884349207,6.658862667258966,36.91868716876481,4.265402223407524,47.842952059431305,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.6900000000000001,0.8473851203512569,6.653120239157302,36.86395593783797,4.3196564447303345,47.83673262172561,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.7000000000000001,0.845353833269847,6.647408710840512,36.809436888194604,4.373692095478957,47.83053769451408,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.71,0.8433274155356844,6.641727950641027,36.755129022226704,4.427510198707341,47.82436717157507,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.72,0.8413058555287249,6.636077828015601,36.70103135081086,4.481111768818073,47.818220947644534,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.73,0.8392891416642101,6.63045821355881,36.64714289340978,4.534497811459029,47.812098918427616,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.74,0.8372772623929878,6.6248689790165445,36.593462678173864,4.58766932342002,47.806000980610435,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.75,0.8352702061552656,6.619309994929469,36.53998972426686,4.640627310595072,47.7999270297914,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.76,0.8332679599510583,6.61378105787622,36.48672249617333,4.693373342570116,47.793876896619665,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.77,0.8312705133704604,6.608282095582374,36.43366044206391,4.745907989180843,47.78785052682713,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.78,0.8292778549220998,6.602812980062289,36.38080259231595,4.79823224483728,47.78184781721552,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.79,0.8272899731442834,6.597373584165529,36.32814798362526,4.850347097498512,47.7758686652893,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.8,0.8253068566050485,6.591963781576587,36.27569565900425,4.902253528674385,47.76991296925522,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.81,0.8233284939022133,6.586583446814591,36.22344466778016,4.9539525134272155,47.76398062802197,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.8200000000000001,0.8213548736634284,6.58123245523302,36.171394065593205,5.0054450203734975,47.758071541199726,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.8300000000000001,0.8193859845462277,6.575910683019421,36.11954291439475,5.05673201168561,47.75218560909978,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.84,0.8174218152380796,6.570618007195114,36.06789028244549,5.107814443093523,47.74632273273413,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.85,0.8154623544564376,6.565354305614916,36.01643524431365,5.158693263886509,47.74048281381508,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.86,0.8135075909487921,6.560119456966842,35.9651768808731,5.209369416914841,47.734665754754786,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.87,0.8115575134927208,6.554913340771829,35.914114279301614,5.259843838591512,47.72887145866496,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.88,0.8096121104515274,6.54973581703416,35.8632463791617,5.3101176157359316,47.723099811931796,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.89,0.8076713705380187,6.544586761211566,35.81257223690673,5.360191716041555,47.71735071415985,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.9,0.8057352828769504,6.539466067071917,35.76209104748866,5.410066966057441,47.71162408061802,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.91,0.8038038363176231,6.5343736152149745,35.71180190626412,5.459744293806215,47.70591981528531,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.92,0.8018770197355337,6.529309286882121,35.66170391344842,5.509224622345113,47.70023782267566,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.93,0.799954822032276,6.524272963949174,35.61179617406153,5.558508869820865,47.694578007831566,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.9400000000000001,0.7980372321354409,6.519264528919199,35.56207779787406,5.607597949524595,47.68894027631786,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.9500000000000001,0.7961242389985166,6.514283864915324,35.51254789935323,5.656492769946717,47.68332453421527,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.96,0.7942158316007892,6.509330855673549,35.46320559760887,5.705194234831823,47.67773068811424,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.97,0.792311998947243,6.50440538553556,35.41405001633938,5.753703243233584,47.672158645108524,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.98,0.7904127300684606,6.499507339441541,35.36508028377774,5.802020689569644,47.66660831278893,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
0.99,0.7885180140205235,6.494636602922989,35.31629553263746,5.850147463676508,47.661079599236956,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
1.0,0.7866278398868753,6.489793062492991,35.267694902837896,5.898084448101819,47.65557241343271,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
1.01,0.7847421968011625,6.484976610284474,35.219277573933674,5.945832485870879,47.65008667008903,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
1.02,0.7828610738767083,6.480187129781724,35.17104266533782,5.993392479665502,47.64462227478505,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
1.03,0.7809844602722441,6.475424509143988,35.12298932948401,6.040765299222467,47.639179137850455,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
1.04,0.779112345171645,6.470688637114747,35.07511672321817,6.087951809771292,47.63375717010421,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
1.05,0.777244717783834,6.465979403015598,35.02742400775193,6.1349528720817155,47.62835628284924,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
1.06,0.7753815673426893,6.46129669674013,34.979910348616066,6.181769342511165,47.62297638786736,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
1.07,0.7735228831069484,6.456640408747811,34.93257491561394,6.228402073052236,47.61761739741399,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
1.08,0.7716686543601148,6.452010430057859,34.88541688277496,6.274851911380163,47.61227922421298,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
1.09,0.769818870410363,6.447406652243131,34.838435428308024,6.3211197009002955,47.60696178145145,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
1.1,0.7679735205904445,6.442828967423996,34.79162973455494,6.367206280795574,47.60166498277451,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
1.11,0.766132594257593,6.438277268262219,34.7449989879439,6.413112486073999,47.59638874228012,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
1.12,0.7642960807934303,6.433751447954843,34.69854237894293,6.458839147616112,47.59113297451388,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
1.1300000000000001,0.7624639698795161,6.429251416126521,34.65225922167662,6.504386970527829,47.58589760833097,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
1.1400000000000001,0.7606362509624176,6.424777067975434,34.60614872169544,6.549756770313471,47.580682559984346,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
1.1500000000000001,0.7588129133502168,6.420328289838852,34.56021001786569,6.594949430274829,47.57548773797937,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
1.16,0.756993946537245,6.415904977922377,34.514442323338905,6.639965758148923,47.5703130594102,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
1.17,0.7551793400423146,6.411507028968878,34.468844855318935,6.684806557533233,47.56515844182105,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
1.18,0.7533690834086071,6.407134340251354,34.423416835007785,6.729472627940931,47.56002380320007,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
1.19,0.7515631662035615,6.402786809565798,34.37815748755141,6.773964764856146,47.554909061973355,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
1.2,0.749761578018762,6.398464335224063,34.333066041985525,6.818283759789208,47.5498141369988,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
1.21,0.7479643084698256,6.394166816046724,34.28814173118135,6.862430400331895,47.54473894755997,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
1.22,0.7461713471962914,6.389894151355942,34.243383791791466,6.906405470212693,47.539683413360095,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
1.23,0.7443826838615069,6.385646240968334,34.19879146419563,6.950209749352036,47.534647454516,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
1.24,0.7425983081525173,6.381422985187828,34.15436399244649,6.993844013917558,47.529630991551876,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
1.25,0.7408182097799529,6.377224284798535,34.110100624215484,7.037309036379352,47.524633945393376,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
1.26,0.7390423784779175,6.373050041057612,34.066000610738556,7.0806055855652055,47.519656237361374,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
1.27,0.7372708040038759,6.368900155688121,34.022063206762034,7.123734426715864,47.51469778916602,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
1.28,0.7355034761385425,6.3647745308719,33.97828767048835,7.1666963215402735,47.50975852290052,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
1.29,0.7337403846857687,6.360673069242424,33.93467326352191,7.209492028270832,47.50483836103516,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
1.3,0.7319815194724315,6.356595673877669,33.89121925081484,7.252122301718639,47.49993722641115,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
1.31,0.730226870348321,6.352542248292979,33.84792490061284,7.2945878933287505,47.49505504223457,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
1.32,0.7284764278228057,6.348512733923899,33.804789774264634,7.336889254280627,47.49019176246916,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
1.33,0.7267301814923751,6.34450701754787,33.76181301042912,7.379027268791561,47.48534729676855,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
1.34,0.7249881211423589,6.340524996146973,33.71899382657997,7.421002740343234,47.48052156307018,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
1.35,0.7232502367348997,6.336566576199251,33.6763315135272,7.4628163972938655,47.47571448702032,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
1.36,0.721516518255658,6.332631664652971,33.633825365633285,7.504468964369014,47.470925994655275,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
1.37,0.7197869557137213,6.32872016892078,33.591474680768954,7.545961162706567,47.466156012396304,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
1.3800000000000001,0.7180615391415146,6.324831996873873,33.549278760269026,7.587293709901711,47.46140446704461,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
1.3900000000000001,0.7163402585947107,6.320967056836148,33.50723690888824,7.628467320051918,47.4566712857763,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
1.4000000000000001,0.71462310415214,6.317125257578369,33.46534843475706,7.66948270380192,47.45195639613735,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
1.41,0.7129100659157003,6.313306508312332,33.42361264933754,7.710340568388689,47.44725972603856,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
1.42,0.711201134010267,6.309510718685013,33.382028867379105,7.751041617686424,47.44258120375054,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
1.43,0.7094962985836034,6.305737798772746,33.34059640687441,7.7915865522515135,47.437920757898674,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
1.44,0.7077955498062706,6.301987659075369,33.29931458901515,7.831976069367534,47.433278317458054,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
1.45,0.7060988778715369,6.298260210510394,33.25818273814787,7.872210863090217,47.42865381174848,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
1.46,0.704406272995289,6.294555364407164,33.21720018172983,7.912291624292432,47.424047170429425,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
1.47,0.7027177254159411,6.290873032501016,33.176366250284794,7.952219040709167,47.41945832349498,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
1.48,0.7010332253943452,6.287213126927438,33.13568027735888,7.991993796982507,47.414887201268826,7.13,41.2,0.121,0.00295,0.0031,0.0087,0.729,0.24,100.0,1.0,1.0
