Time,species_1,species_2,parameter_1,parameter_2,parameter_3,parameter_4,parameter_5,compartment_1
0.72,0.005776675777897728,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.73,0.005776675777897727,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.74,0.005776675777897727,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.75,0.005776675777897727,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.76,0.005776675777897727,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.77,0.005776675777897727,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.78,0.005776675777897727,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.79,0.005776675777897727,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.8,0.0057766757778977265,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.81,0.0057766757778977265,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.82,0.0057766757778977265,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.83,0.0057766757778977265,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
0.84,0.0057766757778977265,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
0.85,0.0057766757778977265,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
0.86,0.0057766757778977265,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
0.87,0.005776675777897726,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
0.88,0.005776675777897726,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
0.89,0.005776675777897726,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
0.9,0.005776675777897726,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
0.91,0.005776675777897726,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
0.92,0.005776675777897726,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
0.93,0.005776675777897726,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
0.94,0.005776675777897726,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
0.95,0.005776675777897725,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
0.96,0.005776675777897725,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
0.97,0.005776675777897725,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
0.98,0.005776675777897725,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
0.99,0.005776675777897725,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
1.0,0.005776675777897725,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
1.01,0.005776675777897725,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
1.02,0.005776675777897724,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
1.03,0.005776675777897724,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
1.04,0.005776675777897724,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
1.05,0.005776675777897724,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
1.06,0.005776675777897724,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
1.07,0.005776675777897724,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
1.08,0.005776675777897724,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
1.09,0.005776675777897723,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
1.1,0.005776675777897723,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
1.11,0.005776675777897723,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
1.12,0.005776675777897723,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
1.13,0.005776675777897723,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
1.14,0.005776675777897723,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
1.15,0.005776675777897723,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
1.16,0.005776675777897722,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
1.17,0.005776675777897722,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
1.18,0.005776675777897722,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
1.19,0.005776675777897722,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
1.2,0.005776675777897722,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
1.21,0.005776675777897722,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
1.22,0.005776675777897722,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
1.23,0.005776675777897721,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
1.24,0.005776675777897721,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
1.25,0.005776675777897721,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
1.26,0.005776675777897721,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
1.27,0.005776675777897721,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
1.28,0.005776675777897721,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
1.29,0.005776675777897721,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
1.3,0.00577667577789772,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
1.31,0.00577667577789772,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
1.32,0.00577667577789772,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
1.33,0.00577667577789772,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
1.34,0.00577667577789772,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
1.35,0.005776675777897721,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
1.36,0.005776675777897721,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
1.37,0.005776675777897721,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
1.38,0.005776675777897722,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
1.39,0.005776675777897722,0.020329826471240698,0.025,1.0,0.5,3.5,1.25,1.0
1.4,0.005776675777897723,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
1.41,0.005776675777897723,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
1.42,0.005776675777897723,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
1.43,0.005776675777897724,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
1.44,0.005776675777897724,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
1.45,0.005776675777897725,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
1.46,0.005776675777897725,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
1.47,0.005776675777897725,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
1.48,0.005776675777897726,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
1.49,0.005776675777897726,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
1.5,0.0057766757778977265,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
1.51,0.0057766757778977265,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
1.52,0.0057766757778977265,0.020329826471240695,0.025,1.0,0.5,3.5,1.25,1.0
1.53,0.005776675777897727,0.02032982647124069,0.025,1.0,0.5,3.5,1.25,1.0
1.54,0.005776675777897727,0.02032982647124069,0.025,1.0,0.5,3.5,1.25,1.0
1.55,0.005776675777897728,0.02032982647124069,0.025,1.0,0.5,3.5,1.25,1.0
1.56,0.005776675777897728,0.02032982647124069,0.025,1.0,0.5,3.5,1.25,1.0
1.57,0.005776675777897728,0.02032982647124069,0.025,1.0,0.5,3.5,1.25,1.0
1.58,0.005776675777897729,0.02032982647124069,0.025,1.0,0.5,3.5,1.25,1.0
1.59,0.005776675777897729,0.02032982647124069,0.025,1.0,0.5,3.5,1.25,1.0
1.6,0.00577667577789773,0.02032982647124069,0.025,1.0,0.5,3.5,1.25,1.0
1.61,0.00577667577789773,0.02032982647124069,0.025,1.0,0.5,3.5,1.25,1.0
1.62,0.00577667577789773,0.02032982647124069,0.025,1.0,0.5,3.5,1.25,1.0
1.63,0.005776675777897731,0.02032982647124069,0.025,1.0,0.5,3.5,1.25,1.0
1.64,0.005776675777897731,0.02032982647124069,0.025,1.0,0.5,3.5,1.25,1.0
1.65,0.005776675777897732,0.020329826471240688,0.025,1.0,0.5,3.5,1.25,1.0
1.66,0.005776675777897732,0.020329826471240688,0.025,1.0,0.5,3.5,1.25,1.0
1.67,0.005776675777897732,0.020329826471240688,0.025,1.0,0.5,3.5,1.25,1.0
1.68,0.0057766757778977326,0.020329826471240688,0.025,1.0,0.5,3.5,1.25,1.0
1.69,0.0057766757778977326,0.020329826471240688,0.025,1.0,0.5,3.5,1.25,1.0
1.7,0.005776675777897733,0.020329826471240688,0.025,1.0,0.5,3.5,1.25,1.0
1.71,0.005776675777897733,0.020329826471240688,0.025,1.0,0.5,3.5,1.25,1.0
1.72,0.005776675777897733,0.020329826471240688,0.025,1.0,0.5,3.5,1.25,1.0
1.73,0.005776675777897734,0.020329826471240688,0.025,1.0,0.5,3.5,1.25,1.0
1.74,0.005776675777897734,0.020329826471240688,0.025,1.0,0.5,3.5,1.25,1.0
1.75,0.005776675777897735,0.020329826471240688,0.025,1.0,0.5,3.5,1.25,1.0
1.76,0.005776675777897735,0.020329826471240688,0.025,1.0,0.5,3.5,1.25,1.0
1.77,0.005776675777897735,0.020329826471240688,0.025,1.0,0.5,3.5,1.25,1.0
1.78,0.005776675777897736,0.020329826471240684,0.025,1.0,0.5,3.5,1.25,1.0
1.79,0.005776675777897736,0.020329826471240684,0.025,1.0,0.5,3.5,1.25,1.0
1.8,0.005776675777897737,0.020329826471240684,0.025,1.0,0.5,3.5,1.25,1.0
1.81,0.005776675777897737,0.020329826471240684,0.025,1.0,0.5,3.5,1.25,1.0
1.82,0.005776675777897737,0.020329826471240684,0.025,1.0,0.5,3.5,1.25,1.0
1.83,0.005776675777897738,0.020329826471240684,0.025,1.0,0.5,3.5,1.25,1.0
1.84,0.005776675777897738,0.020329826471240684,0.025,1.0,0.5,3.5,1.25,1.0
1.85,0.005776675777897739,0.020329826471240684,0.025,1.0,0.5,3.5,1.25,1.0
1.86,0.005776675777897739,0.020329826471240684,0.025,1.0,0.5,3.5,1.25,1.0
1.87,0.005776675777897739,0.020329826471240684,0.025,1.0,0.5,3.5,1.25,1.0
1.88,0.0057766757778977395,0.020329826471240684,0.025,1.0,0.5,3.5,1.25,1.0
1.89,0.0057766757778977395,0.020329826471240684,0.025,1.0,0.5,3.5,1.25,1.0
1.9,0.00577667577789774,0.02032982647124068,0.025,1.0,0.5,3.5,1.25,1.0
1.91,0.00577667577789774,0.02032982647124068,0.025,1.0,0.5,3.5,1.25,1.0
1.92,0.00577667577789774,0.02032982647124068,0.025,1.0,0.5,3.5,1.25,1.0
1.93,0.005776675777897741,0.02032982647124068,0.025,1.0,0.5,3.5,1.25,1.0
1.94,0.005776675777897741,0.02032982647124068,0.025,1.0,0.5,3.5,1.25,1.0
1.95,0.005776675777897742,0.02032982647124068,0.025,1.0,0.5,3.5,1.25,1.0
1.96,0.005776675777897742,0.02032982647124068,0.025,1.0,0.5,3.5,1.25,1.0
1.97,0.005776675777897742,0.02032982647124068,0.025,1.0,0.5,3.5,1.25,1.0
1.98,0.005776675777897743,0.02032982647124068,0.025,1.0,0.5,3.5,1.25,1.0
1.99,0.005776675777897743,0.02032982647124068,0.025,1.0,0.5,3.5,1.25,1.0
2.0,0.005776675777897744,0.02032982647124068,0.025,1.0,0.5,3.5,1.25,1.0
2.01,0.005776675777897744,0.02032982647124068,0.025,1.0,0.5,3.5,1.25,1.0
2.02,0.005776675777897744,0.02032982647124068,0.025,1.0,0.5,3.5,1.25,1.0
2.03,0.005776675777897745,0.020329826471240677,0.025,1.0,0.5,3.5,1.25,1.0
2.04,0.005776675777897745,0.020329826471240677,0.025,1.0,0.5,3.5,1.25,1.0
2.05,0.0057766757778977456,0.020329826471240677,0.025,1.0,0.5,3.5,1.25,1.0
2.06,0.0057766757778977456,0.020329826471240677,0.025,1.0,0.5,3.5,1.25,1.0
2.07,0.0057766757778977456,0.020329826471240677,0.025,1.0,0.5,3.5,1.25,1.0
2.08,0.005776675777897746,0.020329826471240677,0.025,1.0,0.5,3.5,1.25,1.0
2.09,0.005776675777897746,0.020329826471240677,0.025,1.0,0.5,3.5,1.25,1.0
2.1,0.005776675777897747,0.020329826471240677,0.025,1.0,0.5,3.5,1.25,1.0
2.11,0.005776675777897747,0.020329826471240677,0.025,1.0,0.5,3.5,1.25,1.0
2.12,0.005776675777897747,0.020329826471240677,0.025,1.0,0.5,3.5,1.25,1.0
2.13,0.005776675777897748,0.020329826471240677,0.025,1.0,0.5,3.5,1.25,1.0
2.14,0.005776675777897748,0.020329826471240677,0.025,1.0,0.5,3.5,1.25,1.0
2.15,0.005776675777897749,0.020329826471240674,0.025,1.0,0.5,3.5,1.25,1.0
2.16,0.005776675777897749,0.020329826471240674,0.025,1.0,0.5,3.5,1.25,1.0
2.17,0.005776675777897749,0.020329826471240674,0.025,1.0,0.5,3.5,1.25,1.0
2.18,0.00577667577789775,0.020329826471240674,0.025,1.0,0.5,3.5,1.25,1.0
2.19,0.00577667577789775,0.020329826471240674,0.025,1.0,0.5,3.5,1.25,1.0
2.2,0.005776675777897751,0.020329826471240674,0.025,1.0,0.5,3.5,1.25,1.0
2.21,0.005776675777897751,0.020329826471240674,0.025,1.0,0.5,3.5,1.25,1.0
2.22,0.005776675777897751,0.020329826471240674,0.025,1.0,0.5,3.5,1.25,1.0
2.23,0.005776675777897752,0.020329826471240674,0.025,1.0,0.5,3.5,1.25,1.0
2.24,0.005776675777897752,0.020329826471240674,0.025,1.0,0.5,3.5,1.25,1.0
2.25,0.0057766757778977525,0.020329826471240674,0.025,1.0,0.5,3.5,1.25,1.0
2.26,0.0057766757778977525,0.020329826471240674,0.025,1.0,0.5,3.5,1.25,1.0
2.27,0.0057766757778977525,0.020329826471240674,0.025,1.0,0.5,3.5,1.25,1.0
2.28,0.005776675777897753,0.02032982647124067,0.025,1.0,0.5,3.5,1.25,1.0
2.29,0.005776675777897753,0.02032982647124067,0.025,1.0,0.5,3.5,1.25,1.0
2.3,0.005776675777897754,0.02032982647124067,0.025,1.0,0.5,3.5,1.25,1.0
2.31,0.005776675777897754,0.02032982647124067,0.025,1.0,0.5,3.5,1.25,1.0
2.32,0.005776675777897754,0.02032982647124067,0.025,1.0,0.5,3.5,1.25,1.0
2.33,0.005776675777897755,0.02032982647124067,0.025,1.0,0.5,3.5,1.25,1.0
2.34,0.005776675777897804,0.020329826471240642,0.025,1.0,0.5,3.5,1.25,1.0
2.35,0.0057766757778978765,0.0203298264712406,0.025,1.0,0.5,3.5,1.25,1.0
2.36,0.005776675777897949,0.02032982647124056,0.025,1.0,0.5,3.5,1.25,1.0
2.37,0.005776675777898022,0.020329826471240518,0.025,1.0,0.5,3.5,1.25,1.0
2.38,0.005776675777898095,0.020329826471240476,0.025,1.0,0.5,3.5,1.25,1.0
2.39,0.005776675777898168,0.020329826471240434,0.025,1.0,0.5,3.5,1.25,1.0
2.4,0.005776675777898241,0.020329826471240393,0.025,1.0,0.5,3.5,1.25,1.0
2.41,0.005776675777898314,0.02032982647124035,0.025,1.0,0.5,3.5,1.25,1.0
2.42,0.0057766757778983865,0.02032982647124031,0.025,1.0,0.5,3.5,1.25,1.0
2.43,0.00577667577789846,0.020329826471240268,0.025,1.0,0.5,3.5,1.25,1.0
2.44,0.005776675777898533,0.020329826471240226,0.025,1.0,0.5,3.5,1.25,1.0
2.45,0.005776675777898606,0.020329826471240185,0.025,1.0,0.5,3.5,1.25,1.0
2.46,0.005776675777898679,0.02032982647124014,0.025,1.0,0.5,3.5,1.25,1.0
2.47,0.005776675777898752,0.020329826471240098,0.025,1.0,0.5,3.5,1.25,1.0
2.48,0.0057766757778988246,0.020329826471240056,0.025,1.0,0.5,3.5,1.25,1.0
2.49,0.005776675777898897,0.020329826471240015,0.025,1.0,0.5,3.5,1.25,1.0
2.5,0.00577667577789897,0.020329826471239973,0.025,1.0,0.5,3.5,1.25,1.0
2.51,0.005776675777899043,0.02032982647123993,0.025,1.0,0.5,3.5,1.25,1.0
2.52,0.005776675777899116,0.02032982647123989,0.025,1.0,0.5,3.5,1.25,1.0
2.53,0.005776675777899189,0.020329826471239848,0.025,1.0,0.5,3.5,1.25,1.0
2.54,0.005776675777899262,0.020329826471239806,0.025,1.0,0.5,3.5,1.25,1.0
2.55,0.005776675777899335,0.020329826471239765,0.025,1.0,0.5,3.5,1.25,1.0
2.56,0.005776675777899407,0.020329826471239723,0.025,1.0,0.5,3.5,1.25,1.0
2.57,0.00577667577789948,0.02032982647123968,0.025,1.0,0.5,3.5,1.25,1.0
2.58,0.005776675777899553,0.02032982647123964,0.025,1.0,0.5,3.5,1.25,1.0
2.59,0.005776675777899626,0.020329826471239598,0.025,1.0,0.5,3.5,1.25,1.0
2.6,0.005776675777899699,0.020329826471239557,0.025,1.0,0.5,3.5,1.25,1.0
2.61,0.005776675777899772,0.020329826471239515,0.025,1.0,0.5,3.5,1.25,1.0
2.62,0.005776675777899845,0.020329826471239473,0.025,1.0,0.5,3.5,1.25,1.0
2.63,0.005776675777899918,0.02032982647123943,0.025,1.0,0.5,3.5,1.25,1.0
2.64,0.005776675777899991,0.02032982647123939,0.025,1.0,0.5,3.5,1.25,1.0
2.65,0.005776675777900064,0.02032982647123935,0.025,1.0,0.5,3.5,1.25,1.0
2.66,0.005776675777900137,0.020329826471239307,0.025,1.0,0.5,3.5,1.25,1.0
2.67,0.00577667577790021,0.020329826471239265,0.025,1.0,0.5,3.5,1.25,1.0
2.68,0.005776675777900283,0.020329826471239223,0.025,1.0,0.5,3.5,1.25,1.0
2.69,0.0057766757779003555,0.020329826471239182,0.025,1.0,0.5,3.5,1.25,1.0
2.7,0.005776675777900428,0.02032982647123914,0.025,1.0,0.5,3.5,1.25,1.0
2.71,0.005776675777900501,0.020329826471239095,0.025,1.0,0.5,3.5,1.25,1.0
2.72,0.005776675777900574,0.020329826471239053,0.025,1.0,0.5,3.5,1.25,1.0
2.73,0.005776675777900647,0.020329826471239012,0.025,1.0,0.5,3.5,1.25,1.0
2.74,0.00577667577790072,0.02032982647123897,0.025,1.0,0.5,3.5,1.25,1.0
2.75,0.005776675777900793,0.02032982647123893,0.025,1.0,0.5,3.5,1.25,1.0
2.76,0.0057766757779008655,0.020329826471238887,0.025,1.0,0.5,3.5,1.25,1.0
2.77,0.005776675777900938,0.020329826471238845,0.025,1.0,0.5,3.5,1.25,1.0
2.78,0.005776675777901011,0.020329826471238804,0.025,1.0,0.5,3.5,1.25,1.0
2.79,0.005776675777901084,0.020329826471238762,0.025,1.0,0.5,3.5,1.25,1.0
2.8,0.005776675777901157,0.02032982647123872,0.025,1.0,0.5,3.5,1.25,1.0
2.81,0.00577667577790123,0.02032982647123868,0.025,1.0,0.5,3.5,1.25,1.0
2.82,0.005776675777901303,0.020329826471238637,0.025,1.0,0.5,3.5,1.25,1.0
2.83,0.005776675777901376,0.020329826471238596,0.025,1.0,0.5,3.5,1.25,1.0
2.84,0.005776675777901449,0.020329826471238554,0.025,1.0,0.5,3.5,1.25,1.0
2.85,0.005776675777901522,0.020329826471238512,0.025,1.0,0.5,3.5,1.25,1.0
2.86,0.005776675777901595,0.02032982647123847,0.025,1.0,0.5,3.5,1.25,1.0
2.87,0.005776675777901668,0.02032982647123843,0.025,1.0,0.5,3.5,1.25,1.0
2.88,0.005776675777901741,0.020329826471238387,0.025,1.0,0.5,3.5,1.25,1.0
2.89,0.0057766757779018135,0.020329826471238346,0.025,1.0,0.5,3.5,1.25,1.0
2.9,0.005776675777901886,0.020329826471238304,0.025,1.0,0.5,3.5,1.25,1.0
2.91,0.005776675777901959,0.020329826471238262,0.025,1.0,0.5,3.5,1.25,1.0
2.92,0.005776675777902032,0.02032982647123822,0.025,1.0,0.5,3.5,1.25,1.0
2.93,0.005776675777902105,0.02032982647123818,0.025,1.0,0.5,3.5,1.25,1.0
2.94,0.005776675777902178,0.020329826471238138,0.025,1.0,0.5,3.5,1.25,1.0
2.95,0.005776675777902251,0.020329826471238096,0.025,1.0,0.5,3.5,1.25,1.0
2.96,0.0057766757779023235,0.02032982647123805,0.025,1.0,0.5,3.5,1.25,1.0
2.97,0.005776675777902396,0.02032982647123801,0.025,1.0,0.5,3.5,1.25,1.0
2.98,0.005776675777902469,0.020329826471237968,0.025,1.0,0.5,3.5,1.25,1.0
2.99,0.005776675777902542,0.020329826471237926,0.025,1.0,0.5,3.5,1.25,1.0
3.0,0.005776675777902615,0.020329826471237884,0.025,1.0,0.5,3.5,1.25,1.0
