Time,H2_HMPt,ATP,H2_HMPterinPP,AMP,p_ABA,PPi,H2_Pteroate,L_Glutamate,Phosphate,ADP,DHF,L_serine,Glycine,NADP,NADPH,THF,CH2_THF,compartment,FolK,FolP,FolC,GlyA,FolA,PanB,p_ABA_production,H2_HMPt_production,THF_drain,CH2_THF_drain
0.1,3.315186761717808e-06,0.0096,1.0010239657245994e-05,0.00028,1.0010426418963806e-05,0.0005,9.989846817236876e-06,0.000846,0.01,0.00056,1.0020864811331151e-05,6.8e-05,0.000277,9.4e-07,9.4e-07,0.00016902480733974368,8.465405519528093e-05,1.0,5.028475280173571e-07,4.0082707010021796e-07,5.017298108088262e-07,-4.104029847143691e-09,2.9360933479904044e-07,3.386162207811237e-07,1.66e-07,1.66e-07,6.442252499498755e-08,1.0156317300295851e-07
0.11,3.3152043474600814e-06,0.0096,1.0011259437219693e-05,0.00028,1.0011463784679778e-05,0.0005,9.988838494606327e-06,0.000846,0.01,0.00056,1.0022945424285674e-05,6.8e-05,0.000277,9.4e-07,9.4e-07,0.00016902712529997345,8.46496277309628e-05,1.0,5.028501954227451e-07,4.0090944517903445e-07,5.016791688388426e-07,-1.008119728754947e-09,2.936702963424854e-07,3.385985109238512e-07,1.66e-07,1.66e-07,6.442295057628684e-08,1.0156098675361418e-07
0.12,3.315221735862683e-06,0.0096,1.0012278397149941e-05,0.00028,1.0012500133012629e-05,0.0005,9.987831534078526e-06,0.000846,0.01,0.00056,1.0025024893584726e-05,6.8e-05,0.000277,9.4e-07,9.4e-07,0.0001690294140719869,8.464523027116315e-05,1.0,5.028528328956517e-07,4.00991755132893e-07,5.016285952790725e-07,2.0630699076586113e-09,2.9373122437705377e-07,3.3858092108465264e-07,1.66e-07,1.66e-07,6.442337079264593e-08,1.015588151870721e-07
0.13,3.315238924913453e-06,0.0096,1.0013296570283623e-05,0.00028,1.001353549519708e-05,0.0005,9.986825885619983e-06,0.000846,0.01,0.00056,1.0027103261907596e-05,6.8e-05,0.000277,9.4e-07,9.4e-07,0.00016903167317880384,8.464086326888603e-05,1.0,5.028554401308724e-07,4.0107400252188097e-07,5.015780876166352e-07,5.10915576447564e-09,2.9379212015324017e-07,3.3856345307554413e-07,1.66e-07,1.66e-07,6.442378555671928e-08,1.0155665852976191e-07
0.14,3.3152559146123915e-06,0.0096,1.0014313956620732e-05,0.00028,1.0014569871233128e-05,0.0005,9.985821549230694e-06,0.000846,0.01,0.00056,1.0029180529254287e-05,6.8e-05,0.000277,9.4e-07,9.4e-07,0.0001690339026204243,8.463652672413144e-05,1.0,5.028580171284075e-07,4.011561873241736e-07,5.015276458515306e-07,8.130137841702914e-09,2.938529836710448e-07,3.3854610689652575e-07,1.66e-07,1.66e-07,6.442419486873341e-08,1.015545167844114e-07
0.15,3.3152727049594994e-06,0.0096,1.0015330556161273e-05,0.00028,1.0015603261120777e-05,0.0005,9.98481852491066e-06,0.000846,0.01,0.00056,1.0031256695624798e-05,6.8e-05,0.000277,9.4e-07,9.4e-07,0.00016903610239684828,8.463222063689936e-05,1.0,5.028605638882568e-07,4.012383095179657e-07,5.014772699837587e-07,1.1126016139340435e-08,2.939138149304675e-07,3.3852888254759745e-07,1.66e-07,1.66e-07,6.442459872891181e-08,1.0155238995372971e-07
0.16,3.3152892959547756e-06,0.0096,1.0016346368905246e-05,0.00028,1.0016635664860025e-05,0.0005,9.983816812659882e-06,0.000846,0.01,0.00056,1.0033331761019129e-05,6.8e-05,0.000277,9.4e-07,9.4e-07,0.00016903827250807577,8.462794500718983e-05,1.0,5.028630804104203e-07,4.0132036908147e-07,5.014269600133194e-07,1.4096790657381426e-08,2.9397461393150827e-07,3.385117800287593e-07,1.66e-07,1.66e-07,6.442499713747498e-08,1.0155027804040746e-07
0.17,3.315305691674456e-06,0.0096,1.001736139315575e-05,0.00028,1.0017667084830213e-05,0.0005,9.982816412904234e-06,0.000846,0.01,0.00056,1.0035405724758384e-05,6.8e-05,0.000277,9.4e-07,9.4e-07,0.0001690404136365502,8.462369915019696e-05,1.0,5.028655673131814e-07,4.014023660202611e-07,5.01376715961602e-07,1.7043030115362955e-08,2.940353806542757e-07,3.3849479660078786e-07,1.66e-07,1.66e-07,6.442539021992712e-08,1.0154818070883213e-07
0.18,3.3153219502328164e-06,0.0096,1.0018375604720388e-05,0.00028,1.001869755495321e-05,0.0005,9.981817331715347e-06,0.000846,0.01,0.00056,1.0037478577163671e-05,6.8e-05,0.000277,9.4e-07,9.4e-07,0.00016904253551176525,8.461947330274639e-05,1.0,5.028680334113135e-07,4.0148430070246015e-07,5.013265381335478e-07,1.9972842662650152e-08,2.940961148151801e-07,3.3847789321098556e-07,1.66e-07,1.66e-07,6.442577976264748e-08,1.0154609313844397e-07
0.19,3.315338018875885e-06,0.0096,1.0019389025560118e-05,0.00028,1.0019727044436008e-05,0.0005,9.980819563581623e-06,0.000846,0.01,0.00056,1.0039550327021126e-05,6.8e-05,0.000277,9.4e-07,9.4e-07,0.00016904462930164953,8.461527632748357e-05,1.0,5.028704707030941e-07,4.015661727525202e-07,5.012764262523424e-07,2.2878868023740878e-08,2.941568166716536e-07,3.384611053099343e-07,1.66e-07,1.66e-07,6.442616414437692e-08,1.0154401970950966e-07
0.2,3.3153538976036617e-06,0.0096,1.0020401655674939e-05,0.00028,1.0020755553278607e-05,0.0005,9.979823108503059e-06,0.000846,0.01,0.00056,1.0041620974330754e-05,6.8e-05,0.000277,9.4e-07,9.4e-07,0.00016904669500620307,8.461110822440851e-05,1.0,5.028728791885233e-07,4.016479821487471e-07,5.01226380317986e-07,2.5761106198662236e-08,2.942174862236962e-07,3.3844443289763405e-07,1.66e-07,1.66e-07,6.442654336531417e-08,1.0154196042451592e-07
0.21,3.3153695864161473e-06,0.0096,1.0021413495064851e-05,0.00028,1.0021783081481005e-05,0.0005,9.978827966479655e-06,0.000846,0.01,0.00056,1.0043690519092552e-05,6.8e-05,0.000277,9.4e-07,9.4e-07,0.00016904873262542586,8.46069689935212e-05,1.0,5.028752588676011e-07,4.017297288694654e-07,5.011764003304782e-07,2.8619557187400675e-08,2.9427812347130796e-07,3.3842787597408483e-07,1.66e-07,1.66e-07,6.442691742565527e-08,1.0153991528593276e-07
0.22,3.3153850853133413e-06,0.0096,1.0022424543729856e-05,0.00028,1.0022809629043204e-05,0.0005,9.977834137511414e-06,0.000846,0.01,0.00056,1.004575896130652e-05,6.8e-05,0.000277,9.4e-07,9.4e-07,0.0001690507421593179,8.460285863482165e-05,1.0,5.028776097403275e-07,4.0181141289301816e-07,5.011264862898192e-07,3.145422098996297e-08,2.9433872841448876e-07,3.384114345392866e-07,1.66e-07,1.66e-07,6.442728632559355e-08,1.015378842962134e-07
0.23,3.3154003942952435e-06,0.0096,1.0023434801669953e-05,0.00028,1.0023835195965204e-05,0.0005,9.976841621598333e-06,0.000846,0.01,0.00056,1.0047826300972656e-05,6.8e-05,0.000277,9.4e-07,9.4e-07,0.00016905272360787918,8.459877714830984e-05,1.0,5.028799318067025e-07,4.018930341977671e-07,5.010766381960091e-07,3.426509760634912e-08,2.943993010532386e-07,3.383951085932393e-07,1.66e-07,1.66e-07,6.442765006531973e-08,1.0153586745779439e-07
0.24,3.3154155133618545e-06,0.0096,1.0024444268885141e-05,0.00028,1.0024859782247003e-05,0.0005,9.975850418740414e-06,0.000846,0.01,0.00056,1.0049892538090965e-05,6.8e-05,0.000277,9.4e-07,9.4e-07,0.0001690546769711097,8.459472453398578e-05,1.0,5.028822250667261e-07,4.019745927620924e-07,5.010268560490477e-07,3.705218703654558e-08,2.944598413875576e-07,3.3837889813594314e-07,1.66e-07,1.66e-07,6.442800864502176e-08,1.0153386477309539e-07
0.25,3.3154304425131734e-06,0.0096,1.0025452945375422e-05,0.00028,1.0025883387888601e-05,0.0005,9.974860528937656e-06,0.000846,0.01,0.00056,1.0051957672661444e-05,6.8e-05,0.000277,9.4e-07,9.4e-07,0.00016905660224900948,8.459070079184948e-05,1.0,5.02884489520398e-07,4.020560885643931e-07,5.009771398489352e-07,3.981548928057944e-08,2.9452034941744575e-07,3.3836280316739793e-07,1.66e-07,1.66e-07,6.442836206488503e-08,1.0153187624451937e-07
0.26,3.315445181749201e-06,0.0096,1.0026460831140793e-05,0.00028,1.0026906012890002e-05,0.0005,9.97387195219006e-06,0.000846,0.01,0.00056,1.0054021704684092e-05,6.8e-05,0.000277,9.4e-07,9.4e-07,0.0001690584994415785,8.458670592190094e-05,1.0,5.028867251677188e-07,4.021375215830868e-07,5.009274895956715e-07,4.255500433841006e-08,2.9458082514290294e-07,3.3834682368760374e-07,1.66e-07,1.66e-07,6.442871032509219e-08,1.015299018744525e-07
0.27,3.3154597310699374e-06,0.0096,1.0027467926181257e-05,0.00028,1.0027927657251202e-05,0.0005,9.972884688497623e-06,0.000846,0.01,0.00056,1.005608463415891e-05,6.8e-05,0.000277,9.4e-07,9.4e-07,0.00016906036854881675,8.458273992414013e-05,1.0,5.028889320086881e-07,4.0221889179660956e-07,5.008779052892565e-07,4.5270732210091636e-08,2.946412685639293e-07,3.3833095969656053e-07,1.66e-07,1.66e-07,6.442905342582327e-08,1.0152794166526405e-07
0.28,3.3154740904753817e-06,0.0096,1.0028474230496814e-05,0.00028,1.0028948320972201e-05,0.0005,9.97189873786035e-06,0.000846,0.01,0.00056,1.00581464610859e-05,6.8e-05,0.000277,9.4e-07,9.4e-07,0.00016906220957072426,8.457880279856709e-05,1.0,5.028911100433059e-07,4.0230019918341607e-07,5.008283869296904e-07,4.7962672895569965e-08,2.9470167968052465e-07,3.3831521119426835e-07,1.66e-07,1.66e-07,6.442939136725558e-08,1.0152599561930671e-07
0.29,3.3154882599655347e-06,0.0096,1.0029479744087462e-05,0.00028,1.0029968004053001e-05,0.0005,9.970914100278235e-06,0.000846,0.01,0.00056,1.006020718546506e-05,6.8e-05,0.000277,9.4e-07,9.4e-07,0.00016906402250730103,8.457489454518179e-05,1.0,5.028932592715722e-07,4.023814437219797e-07,5.00778934516973e-07,5.0630826394885704e-08,2.947620584926892e-07,3.382995781807272e-07,1.66e-07,1.66e-07,6.442972414956378e-08,1.0152406373891617e-07
0.3,3.3155022542686142e-06,0.0096,1.0030484468726877e-05,0.00028,1.0030986722995498e-05,0.0005,9.96993076496456e-06,0.000846,0.01,0.00056,1.0062266815262892e-05,6.8e-05,0.000277,9.4e-07,9.4e-07,0.00016906580978815998,8.457101271978542e-05,1.0,5.028953819274633e-07,4.0246262612404746e-07,5.007295475093523e-07,5.3277220865981007e-08,2.948224052338397e-07,3.382840508791417e-07,1.66e-07,1.66e-07,6.443005221889182e-08,1.0152214481812664e-07
0.31,3.315516147354709e-06,0.0096,1.0031488413323072e-05,0.00028,1.0032004560677788e-05,0.0005,9.968948677744756e-06,0.000846,0.01,0.00056,1.0064325390489845e-05,6.8e-05,0.000277,9.4e-07,9.4e-07,0.00016906758361563866,8.456714504678534e-05,1.0,5.028974892307622e-07,4.0254375005137377e-07,5.006802231859664e-07,5.591204240370948e-08,2.948827210762744e-07,3.3826858018714135e-07,1.66e-07,1.66e-07,6.443037781519218e-08,1.0152023279030538e-07
0.32,3.3155298650705473e-06,0.0096,1.0032491568945976e-05,0.00028,1.003302143401653e-05,0.0005,9.967967892927552e-06,0.000846,0.01,0.00056,1.0066382871036387e-05,6.8e-05,0.000277,9.4e-07,9.4e-07,0.00016906933175718104,8.456330383217411e-05,1.0,5.028995699339005e-07,4.026248117913004e-07,5.006309642744152e-07,5.852507968785129e-08,2.949430048447919e-07,3.3825321532869645e-07,1.66e-07,1.66e-07,6.443069869322539e-08,1.0151833374066897e-07
0.33,3.315543407416129e-06,0.0096,1.0033493935595587e-05,0.00028,1.0034037343011723e-05,0.0005,9.966988410512948e-06,0.000846,0.01,0.00056,1.0068439256902515e-05,6.8e-05,0.000277,9.4e-07,9.4e-07,0.0001690710542127871,8.455948907595174e-05,1.0,5.029016240368784e-07,4.0270581132259116e-07,5.005817707746988e-07,6.111633271839288e-08,2.9500325653939226e-07,3.3823795630380694e-07,1.66e-07,1.66e-07,6.443101485314311e-08,1.0151644767130609e-07
0.34,3.315556774391453e-06,0.0096,1.003449551327191e-05,0.00028,1.003505228766337e-05,0.0005,9.966010230500941e-06,0.000846,0.01,0.00056,1.0070494548088228e-05,6.8e-05,0.000277,9.4e-07,9.4e-07,0.0001690727509824569,8.455570077811823e-05,1.0,5.029036515396955e-07,4.0278674862402837e-07,5.005326426868172e-07,6.368580149534103e-08,2.9506347616007547e-07,3.382228031124729e-07,1.66e-07,1.66e-07,6.443132629509483e-08,1.0151457458429142e-07
0.35000000000000003,3.3155699659965206e-06,0.0096,1.0035496301974942e-05,0.00028,1.0036066267971469e-05,0.0005,9.965033352891536e-06,0.000846,0.01,0.00056,1.0072548744593528e-05,6.8e-05,0.000277,9.4e-07,9.4e-07,0.00016907442206619036,8.455193893867357e-05,1.0,5.029056524423522e-07,4.028676236744125e-07,5.004835800107706e-07,6.623348601869574e-08,2.9512366370684144e-07,3.3820775575469425e-07,1.66e-07,1.66e-07,6.44316330192277e-08,1.0151271448168539e-07
0.36,3.3155829822313306e-06,0.0096,1.0036496301704681e-05,0.00028,1.0037079283936018e-05,0.0005,9.96405777768473e-06,0.000846,0.01,0.00056,1.0074601846418412e-05,6.8e-05,0.000277,9.4e-07,9.4e-07,0.0001690760674639875,8.454820355761777e-05,1.0,5.029076267448482e-07,4.0294843645256206e-07,5.004345827465586e-07,6.875938628844345e-08,2.951838191796902e-07,3.381928142304711e-07,1.66e-07,1.66e-07,6.44319350256867e-08,1.0151086736553436e-07
0.37,3.315595823095884e-06,0.0096,1.003749551246113e-05,0.00028,1.0038091335557022e-05,0.0005,9.963083504880522e-06,0.000846,0.01,0.00056,1.0076653853562885e-05,6.8e-05,0.000277,9.4e-07,9.4e-07,0.00016907768717584835,8.454449463495083e-05,1.0,5.029095744471836e-07,4.030291869373142e-07,5.003856508941815e-07,7.12635023046045e-08,2.952439425786218e-07,3.3817797853980335e-07,1.66e-07,1.66e-07,6.443223231461461e-08,1.0150903323787058e-07
0.38,3.3156084885901807e-06,0.0096,1.003849393424429e-05,0.00028,1.0039102422834477e-05,0.0005,9.962110534478913e-06,0.000846,0.01,0.00056,1.0078704766026943e-05,6.8e-05,0.000277,9.4e-07,9.4e-07,0.0001690792812017729,8.454081217067274e-05,1.0,5.029114955493585e-07,4.031098751075242e-07,5.003367844536391e-07,7.374583406716533e-08,2.953040339036362e-07,3.3816324868269096e-07,1.66e-07,1.66e-07,6.443252488615189e-08,1.015072121007122e-07
0.39,3.31562097871422e-06,0.0096,1.0039491567054157e-05,0.00028,1.0040112545768383e-05,0.0005,9.961138866479905e-06,0.000846,0.01,0.00056,1.0080754583810587e-05,6.8e-05,0.000277,9.4e-07,9.4e-07,0.00016908084954176113,8.453715616478352e-05,1.0,5.029133900513728e-07,4.0319050094206535e-07,5.002879834249317e-07,7.620638157613272e-08,2.9536409315473343e-07,3.3814862465913407e-07,1.66e-07,1.66e-07,6.443281274043687e-08,1.0150540395606308e-07
0.4,3.3156332934680027e-06,0.0096,1.0040488410890733e-05,0.00028,1.0041121704358743e-05,0.0005,9.960168500883495e-06,0.000846,0.01,0.00056,1.0082803306913817e-05,6.8e-05,0.000277,9.4e-07,9.4e-07,0.00016908239219581305,8.453352661728315e-05,1.0,5.029152579532266e-07,4.032710644198295e-07,5.002392478080589e-07,7.864514483151344e-08,2.954241203319135e-07,3.381341064691326e-07,1.66e-07,1.66e-07,6.443309587760556e-08,1.0150360880591314e-07
0.41000000000000003,3.3156454328515283e-06,0.0096,1.0041484465754019e-05,0.00028,1.0042129898605554e-05,0.0005,9.959199437689685e-06,0.000846,0.01,0.00056,1.0084850935336634e-05,6.8e-05,0.000277,9.4e-07,9.4e-07,0.00016908390916392865,8.452992352817162e-05,1.0,5.029170992549197e-07,4.033515655197266e-07,5.00190577603021e-07,8.10621238332804e-08,2.954841154351763e-07,3.381196941126865e-07,1.66e-07,1.66e-07,6.443337429779178e-08,1.01501826652238e-07
0.42,3.315657396864797e-06,0.0096,1.0042479731644014e-05,0.00028,1.0043137128508818e-05,0.0005,9.958231676898474e-06,0.000846,0.01,0.00056,1.0086897469079037e-05,6.8e-05,0.000277,9.4e-07,9.4e-07,0.00016908540044610797,8.452634689744897e-05,1.0,5.029189139564523e-07,4.034320042206851e-07,5.001419728098179e-07,8.345731858146746e-08,2.9554407846452196e-07,3.3810538758979587e-07,1.66e-07,1.66e-07,6.443364800112714e-08,1.015000574969992e-07
0.43,3.315669209820415e-06,0.0096,1.0043474214626087e-05,0.00028,1.0044143424446508e-05,0.0005,9.957265195430946e-06,0.000846,0.01,0.00056,1.0088942925630675e-05,6.8e-05,0.000277,9.4e-07,9.4e-07,0.00016908687003428608,8.45227927068806e-05,1.0,5.029207057455604e-07,4.035123819657387e-07,5.000934322693348e-07,8.583406270047358e-08,2.9560400993239366e-07,3.380911708275224e-07,1.66e-07,1.66e-07,6.443391772039314e-08,1.014982993544049e-07
0.44,3.315680932416424e-06,0.0096,1.0044467929842832e-05,0.00028,1.0045148862259262e-05,0.0005,9.956299935669052e-06,0.000846,0.01,0.00056,1.0090987348655624e-05,6.8e-05,0.000277,9.4e-07,9.4e-07,0.00016908832789459515,8.451925092467601e-05,1.0,5.029224838289231e-07,4.035927023898415e-07,5.00044953087764e-07,8.820067880596665e-08,2.9566391111814e-07,3.3807700369870403e-07,1.66e-07,1.66e-07,6.443418528479613e-08,1.0149654726332781e-07
0.45,3.3156924948276464e-06,0.0096,1.004546085987467e-05,0.00028,1.0046153354702321e-05,0.0005,9.95533596389484e-06,0.000846,0.01,0.00056,1.0093030687924063e-05,6.8e-05,0.000277,9.4e-07,9.4e-07,0.0001690897625623004,8.451573309110136e-05,1.0,5.029242376154573e-07,4.036729612678431e-07,4.999965385940537e-07,9.054759281446376e-08,2.9572378055003747e-07,3.380629323644054e-07,1.66e-07,1.66e-07,6.443444859027311e-08,1.0149480693396622e-07
0.46,3.315703897054082e-06,0.0096,1.0046453004721598e-05,0.00028,1.0047156901775686e-05,0.0005,9.954373280108314e-06,0.000846,0.01,0.00056,1.0095072943435989e-05,6.8e-05,0.000277,9.4e-07,9.4e-07,0.0001690911740374018,8.451223920615664e-05,1.0,5.029259671051631e-07,4.0375315857901475e-07,4.999481887882038e-07,9.287480472597846e-08,2.9578361822808576e-07,3.3804895682462655e-07,1.66e-07,1.66e-07,6.443470763693646e-08,1.0149307836805384e-07
0.47000000000000003,3.3157151390957302e-06,0.0096,1.004744436438362e-05,0.00028,1.0048159503479356e-05,0.0005,9.95341188430947e-06,0.000846,0.01,0.00056,1.0097114115191406e-05,6.8e-05,0.000277,9.4e-07,9.4e-07,0.00016909256231989938,8.450876926984185e-05,1.0,5.029276722980403e-07,4.038332943026455e-07,4.998999036702144e-07,9.518231454049719e-08,2.9584342415228516e-07,3.380350770793674e-07,1.66e-07,1.66e-07,6.443496242489669e-08,1.0149136156731267e-07
0.48,3.3157262209525916e-06,0.0096,1.0048434938860733e-05,0.00028,1.0049161159813332e-05,0.0005,9.952451776498309e-06,0.000846,0.01,0.00056,1.0099154203190311e-05,6.8e-05,0.000277,9.4e-07,9.4e-07,0.00016909392740979318,8.450532328215698e-05,1.0,5.029293531940891e-07,4.039133684180421e-07,4.998516832400855e-07,9.747012225806061e-08,2.959031983226355e-07,3.380212931286279e-07,1.66e-07,1.66e-07,6.443521295426258e-08,1.0148965653345316e-07
0.49,3.315737142624666e-06,0.0096,1.0049424728152938e-05,0.00028,1.0050161870777611e-05,0.0005,9.951492956674833e-06,0.000846,0.01,0.00056,1.0101193207432704e-05,6.8e-05,0.000277,9.4e-07,9.4e-07,0.0001690952693070831,8.450190124310203e-05,1.0,5.029310097933093e-07,4.039933809045293e-07,4.99803527497817e-07,9.973822787860773e-08,2.9596294073913676e-07,3.3800760497240815e-07,1.66e-07,1.66e-07,6.443545922514098e-08,1.0148796326817415e-07
0.5,3.3157479041119536e-06,0.0096,1.0050413732260237e-05,0.00028,1.0051161636372197e-05,0.0005,9.950535424839039e-06,0.000846,0.01,0.00056,1.0103231127918587e-05,6.8e-05,0.000277,9.4e-07,9.4e-07,0.00016909658801176925,8.449850315267702e-05,1.0,5.029326420957011e-07,4.0407333174144966e-07,4.997554364434089e-07,1.0198663140217922e-07,2.9602265140178903e-07,3.3799401261070813e-07,1.66e-07,1.66e-07,6.443570123763697e-08,1.0148628177316294e-07
0.51,3.3157585054144543e-06,0.0096,1.0051401951182627e-05,0.00028,1.0052160456597087e-05,0.0005,9.949579180990928e-06,0.000846,0.01,0.00056,1.0105267964647959e-05,6.8e-05,0.000277,9.4e-07,9.4e-07,0.00016909788352385157,8.449512901088193e-05,1.0,5.029342501012644e-07,4.0415322090816327e-07,4.997074100768613e-07,1.0421533282878185e-07,2.9608233031059223e-07,3.3798051604352773e-07,1.66e-07,1.66e-07,6.443593899185386e-08,1.014846120500951e-07
0.52,3.315768946532168e-06,0.0096,1.0052389384920108e-05,0.00028,1.0053158331452284e-05,0.0005,9.9486242251305e-06,0.000846,0.01,0.00056,1.010730371762082e-05,6.8e-05,0.000277,9.4e-07,9.4e-07,0.00016909915584333005,8.449177881771678e-05,1.0,5.029358338099991e-07,4.0423304838404834e-07,4.99659448398174e-07,1.0642433215838173e-07,2.961419774655465e-07,3.379671152708671e-07,1.66e-07,1.66e-07,6.443617248789307e-08,1.0148295410063472e-07
0.53,3.3157792274650946e-06,0.0096,1.0053376033472682e-05,0.00028,1.0054155260937784e-05,0.0005,9.947670557257756e-06,0.000846,0.01,0.00056,1.010933838683717e-05,6.8e-05,0.000277,9.4e-07,9.4e-07,0.0001691004049702047,8.448845257318155e-05,1.0,5.029373932219055e-07,4.043128141485008e-07,4.996115514073472e-07,1.0861362939101275e-07,2.962015928666517e-07,3.379538102927262e-07,1.66e-07,1.66e-07,6.443640172585421e-08,1.0148130792643417e-07
0.54,3.315789348213234e-06,0.0096,1.005436189684035e-05,0.00028,1.005515124505359e-05,0.0005,9.946718177372696e-06,0.000846,0.01,0.00056,1.0111371972297006e-05,6.8e-05,0.000277,9.4e-07,9.4e-07,0.00016910163090447556,8.448515027727625e-05,1.0,5.029389283369833e-07,4.0439251818093446e-07,4.995637191043808e-07,1.1078322452665458e-07,2.962611765139078e-07,3.37940601109105e-07,1.66e-07,1.66e-07,6.443662670583515e-08,1.0147967352913427e-07
