Time,Mad1_CMad2,OMad2,Mad1_CMad2_OMad2,Cdc20,Cdc20_CMad2,Bub3_BubR1,MCC,Bub3_BubR1_Cdc20,APC,MCC_APC,APC_Cdc20,k1f,k1r,k2f,k3f,k4f,k4r,k5f,k5r,kf6,k7f,k7r,k8f,k8r,u,u_prime,const_val_0,const_val_1,Cytoplasm,R1,R2,R3,R4,R5,R6,R7,R7a,R8
2.91,4.991230236806968e-08,1.2628249864914024e-07,8.769763193030938e-11,1.414777237239016e-07,9.875131693314851e-10,1.2391462762295287e-07,6.898155038436255e-10,4.4308182744966845e-10,1.359813422452611e-08,1.952475045753793e-09,7.444939072972013e-08,200000.0,0.2,100000000.0,0.01,10000000.0,0.02,10000.0,0.2,1000.0,100000000.0,0.08,5000000.0,0.08,1.0,0.0,0.0,1.0,1.0,1.243070524888186e-09,1.2407261341476722e-09,9.875131693314852e-12,1.2098769564278574e-09,8.669522903196906e-11,1.7866160455047043e-11,9.380203811424726e-10,0.0,3.6632141265125704e-09
2.92,4.9912279041255756e-08,1.2626998874400774e-07,8.77209587442341e-11,1.4142793312226114e-07,9.878994923942936e-10,1.2390166168210455e-07,6.925329442425054e-10,4.4394751304221853e-10,1.3552313071939876e-08,1.9618578606106906e-09,7.448582906744947e-08,200000.0,0.2,100000000.0,0.01,10000000.0,0.02,10000.0,0.2,1000.0,100000000.0,0.08,5000000.0,0.08,1.0,0.0,0.0,1.0,1.0,1.2429403907965809e-09,1.240619388670017e-09,9.878994923942936e-12,1.2101732279407559e-09,8.644205661269339e-11,1.7858103523436192e-11,9.385423273006716e-10,0.0,3.624511808555333e-09
2.93,4.991225594742779e-08,1.2625748025862379e-07,8.774405257220462e-11,1.413785315114915e-07,9.882816918717545e-10,1.2388869533115434e-07,6.952481098042923e-10,4.448106719138862e-10,1.3506871985081154e-08,1.9712458871274316e-09,7.452188212779146e-08,200000.0,0.2,100000000.0,0.01,10000000.0,0.02,10000.0,0.2,1000.0,100000000.0,0.08,5000000.0,0.08,1.0,0.0,0.0,1.0,1.0,1.2428103234747074e-09,1.2405125301525397e-09,9.882816918717546e-12,1.2104643320604898e-09,8.618988378515448e-11,1.7850097151305357e-11,9.390627216996223e-10,0.0,3.5861580625990705e-09
2.94,4.9912233084794485e-08,1.2624497319140968e-07,8.776691520550718e-11,1.4132951541364682e-07,9.88659818894168e-10,1.2387572861148125e-07,6.979609644477461e-10,4.4567131402857453e-10,1.346180751101704e-08,1.9806391100423747e-09,7.455755337894063e-08,200000.0,0.2,100000000.0,0.01,10000000.0,0.02,10000.0,0.2,1000.0,100000000.0,0.08,5000000.0,0.08,1.0,0.0,0.0,1.0,1.0,1.2426803225015529e-09,1.240405559534496e-09,9.886598188941681e-12,1.2107503348551467e-09,8.593870415601577e-11,1.7842140884550765e-11,9.395816153599365e-10,0.0,3.5481493903038966e-09
2.95,4.991221045157812e-08,1.262324675408005e-07,8.778954842187296e-11,1.4128088138562686e-07,9.89033923935166e-10,1.2386276156387146e-07,7.006714722429277e-10,4.4652944928653763e-10,1.341711623109125e-08,1.9900375145990123e-09,7.459284625430978e-08,200000.0,0.2,100000000.0,0.01,10000000.0,0.02,10000.0,0.2,1000.0,100000000.0,0.08,5000000.0,0.08,1.0,0.0,0.0,1.0,1.0,1.242550387459313e-09,1.2402984777488379e-09,9.89033923935166e-12,1.2110313015447576e-09,8.568851138870751e-11,1.783423427364683e-11,9.400990582893188e-10,0.0,3.5104823335650764e-09
2.96,4.9912188046014414e-08,1.26219963305245e-07,8.78119539855729e-11,1.4123262601877687e-07,9.894040568201848e-10,1.2384979422852624e-07,7.033795974128388e-10,4.4738508752494516e-10,1.3372794760534593e-08,1.9994410865358983e-09,7.462776415292955e-08,200000.0,0.2,100000000.0,0.01,10000000.0,0.02,10000.0,0.2,1000.0,100000000.0,0.08,5000000.0,0.08,1.0,0.0,0.0,1.0,1.0,1.2424205179333707e-09,1.240191285722246e-09,9.894040568201848e-12,1.2113072965122329e-09,8.543929920281013e-11,1.7826376873593406e-11,9.406150994949342e-10,0.0,3.473153473967842e-09
2.97,4.991216586635247e-08,1.262074604832054e-07,8.783413364751204e-11,1.4118474593849263e-07,9.897702667348298e-10,1.2383682664506972e-07,7.060853043350499e-10,4.482382385184408e-10,1.332883974808069e-08,2.0088498120767096e-09,7.466231043984263e-08,200000.0,0.2,100000000.0,0.01,10000000.0,0.02,10000.0,0.2,1000.0,100000000.0,0.08,5000000.0,0.08,1.0,0.0,0.0,1.0,1.0,1.242290713512272e-09,1.2400839843751595e-09,9.897702667348299e-12,1.2115783833141542e-09,8.519106137344506e-11,1.78185682438637e-11,9.411297869956665e-10,0.0,3.4361594322508627e-09
2.98,4.991214391085466e-08,1.2619495907315732e-07,8.785608914532327e-11,1.4113723780383103e-07,9.901326022331314e-10,1.238238588525565e-07,7.08788557543312e-10,4.490889119796946e-10,1.3285247875586918e-08,2.018263677920418e-09,7.46964884464927e-08,200000.0,0.2,100000000.0,0.01,10000000.0,0.02,10000.0,0.2,1000.0,100000000.0,0.08,5000000.0,0.08,1.0,0.0,0.0,1.0,1.0,1.2421609737877036e-09,1.2399765746218069e-09,9.901326022331315e-12,1.211844624691431e-09,8.49437917306738e-11,1.781080794835293e-11,9.416431678342601e-10,0.0,3.399496867778344e-09
2.99,4.9912122177796527e-08,1.261824590735896e-07,8.787782220346061e-11,1.410900983071259e-07,9.904911112456932e-10,1.2381089088947922e-07,7.11489321729154e-10,4.4993711755994964e-10,1.3242015857660448e-08,2.027682671231595e-09,7.473030147110799e-08,200000.0,0.2,100000000.0,0.01,10000000.0,0.02,10000.0,0.2,1000.0,100000000.0,0.08,5000000.0,0.08,1.0,0.0,0.0,1.0,1.0,1.2420312983544705e-09,1.239869057370239e-09,9.904911112456932e-12,1.2121060825798123e-09,8.469748415890468e-11,1.7803095555327648e-11,9.421552880893535e-10,0.0,3.3631624780205246e-09
3.0,4.991210066546669e-08,1.261699604830042e-07,8.789933453329188e-11,1.4104332417360884e-07,9.908458410877357e-10,1.2379792279377606e-07,7.141875617434638e-10,4.5078286484956207e-10,1.3199140441289344e-08,2.037106779630825e-09,7.476375277907987e-08,200000.0,0.2,100000000.0,0.01,10000000.0,0.02,10000.0,0.2,1000.0,100000000.0,0.08,5000000.0,0.08,1.0,0.0,0.0,1.0,1.0,1.2419016868104736e-09,1.2397614335223576e-09,9.908458410877357e-12,1.2123628181202667e-09,8.445213259630713e-11,1.779543063737578e-11,9.426661928873982e-10,0.0,3.327152998042428e-09
3.0100000000000002,4.9912079372166795e-08,1.2615746329991596e-07,8.792062783319088e-11,1.409969121610352e-07,9.911968384670356e-10,1.2378495460283807e-07,7.168832425980553e-10,4.5162616337853637e-10,1.3156618405478583e-08,2.046535991185248e-09,7.47968456033362e-08,200000.0,0.2,100000000.0,0.01,10000000.0,0.02,10000.0,0.2,1000.0,100000000.0,0.08,5000000.0,0.08,1.0,0.0,0.0,1.0,1.0,1.241772138756687e-09,1.2396537039739482e-09,9.911968384670356e-12,1.212614891669225e-09,8.420773103423362e-11,1.7787812771357273e-11,9.431759264144743e-10,0.0,3.2914652000007185e-09
3.02,4.9912058296211355e-08,1.2614496752285267e-07,8.794170378862904e-11,1.409508590593152e-07,9.915441494917618e-10,1.237719863535164e-07,7.19576329467218e-10,4.52467022617054e-10,1.311444656089099e-08,2.0559702943992093e-09,7.482958314470985e-08,200000.0,0.2,100000000.0,0.01,10000000.0,0.02,10000.0,0.2,1000.0,100000000.0,0.08,5000000.0,0.08,1.0,0.0,0.0,1.0,1.0,1.2416426537971363e-09,1.2395458696147095e-09,9.915441494917618e-12,1.2128623628086896e-09,8.396427351664894e-11,1.77802415383555e-11,9.436845319279919e-10,0.0,3.256095892648545e-09
3.0300000000000002,4.9912037435927716e-08,1.2613247315035473e-07,8.79625640722665e-11,1.409051616901497e-07,9.918878196782114e-10,1.237590180821296e-07,7.222667876892526e-10,4.533054519759967e-10,1.3072621749492917e-08,2.0654096782050355e-09,7.48619685723021e-08,200000.0,0.2,100000000.0,0.01,10000000.0,0.02,10000.0,0.2,1000.0,100000000.0,0.08,5000000.0,0.08,1.0,0.0,0.0,1.0,1.0,1.2415132315388772e-09,1.2394379313282863e-09,9.918878196782114e-12,1.2131052903562136e-09,8.372175413956695e-11,1.7772716523629198e-11,9.441920517682907e-10,0.0,3.2210419208481655e-09
3.04,4.991201678965594e-08,1.261199801809751e-07,8.798321034404275e-11,1.4085981690667103e-07,9.922278939584442e-10,1.237460498244705e-07,7.249545827679872e-10,4.541414608074645e-10,1.3031140844204694e-08,2.074854131953917e-09,7.489400502384145e-08,200000.0,0.2,100000000.0,0.01,10000000.0,0.02,10000.0,0.2,1000.0,100000000.0,0.08,5000000.0,0.08,1.0,0.0,0.0,1.0,1.0,1.2413838715919721e-09,1.2393298899922986e-09,9.922278939584442e-12,1.213343732374751e-09,8.348016705049416e-11,1.7765237316565133e-11,9.44698527370129e-10,0.0,3.1863001650912627e-09
3.0500000000000003,4.991199635574871e-08,1.261074886132792e-07,8.800364425126662e-11,1.4081482159308852e-07,9.925644166878189e-10,1.237330816158134e-07,7.276396803742809e-10,4.5497505840528737e-10,1.2990000748555682e-08,2.0843036454069136e-09,7.492569560603746e-08,200000.0,0.2,100000000.0,0.01,10000000.0,0.02,10000.0,0.2,1000.0,100000000.0,0.08,5000000.0,0.08,1.0,0.0,0.0,1.0,1.0,1.2412545735694695e-09,1.239221746478374e-09,9.925644166878188e-12,1.2135777461823755e-09,8.323950644788076e-11,1.7757803510631352e-11,9.452039992740725e-10,0.0,3.1518675410267743e-09
