data_generator_T,data_generator_V,data_generator__ECL,data_generator__EK,data_generator__ENA
105.5,-67.194771,-67.185089,-92.564331,42.694748
106.0,-67.194771,-67.185097,-92.564323,42.694756
106.5,-67.194763,-67.185112,-92.564323,42.694759
107.0,-67.194763,-67.185127,-92.564316,42.694767
107.5,-67.194763,-67.185143,-92.564308,42.694775
108.0,-67.194763,-67.185158,-92.564308,42.694782
108.5,-67.194763,-67.185173,-92.564301,42.69479
109.0,-67.194763,-67.185188,-92.564301,42.694794
109.5,-67.194756,-67.185204,-92.564293,42.694801
110.0,-67.194756,-67.185211,-92.564285,42.694809
110.5,-67.194756,-67.185226,-92.564285,42.694817
111.0,-67.194756,-67.185242,-92.564278,42.694824
111.5,-67.194756,-67.185257,-92.564278,42.694828
112.0,-67.194748,-67.185272,-92.56427,42.694836
112.5,-67.194748,-67.185287,-92.564262,42.694843
113.0,-67.194748,-67.185295,-92.564262,42.694851
113.5,-67.194748,-67.18531,-92.564255,42.694855
114.0,-67.194748,-67.185326,-92.564255,42.694862
114.5,-67.19474,-67.185341,-92.564247,42.69487
115.0,-67.19474,-67.185356,-92.564247,42.694878
115.5,-67.19474,-67.185371,-92.56424,42.694885
116.0,-67.19474,-67.185379,-92.564232,42.694889
116.5,-67.19474,-67.185394,-92.564232,42.694897
117.0,-67.19474,-67.18541,-92.564224,42.694904
117.5,-67.194733,-67.185425,-92.564224,42.694908
118.0,-67.194733,-67.18544,-92.564217,42.694916
118.5,-67.194733,-67.185448,-92.564217,42.694923
119.0,-67.194733,-67.185463,-92.564209,42.694931
119.5,-67.194733,-67.185478,-92.564201,42.694935
120.0,-67.194725,-67.185493,-92.564201,42.694942
120.5,-67.194725,-67.185509,-92.564194,42.69495
121.0,-67.194725,-67.185516,-92.564194,42.694958
121.5,-67.194725,-67.185532,-92.564186,42.694962
122.0,-67.194725,-67.185547,-92.564186,42.694969
122.5,-67.194725,-67.185562,-92.564178,42.694977
123.0,-67.194717,-67.185577,-92.564171,42.694981
123.5,-67.194717,-67.185585,-92.564171,42.694988
124.0,-67.194717,-67.1856,-92.564163,42.694996
124.5,-67.194717,-67.185616,-92.564163,42.695004
125.0,-67.194717,-67.185631,-92.564156,42.695007
125.5,-67.19471,-67.185638,-92.564156,42.695015
126.0,-67.19471,-67.185654,-92.564148,42.695023
126.5,-67.19471,-67.185669,-92.564148,42.695026
127.0,-67.19471,-67.185684,-92.56414,42.695034
127.5,-67.19471,-67.185699,-92.564133,42.695042
128.0,-67.19471,-67.185707,-92.564133,42.695045
128.5,-67.194702,-67.185722,-92.564125,42.695053
129.0,-67.194702,-67.185738,-92.564125,42.695061
129.5,-67.194702,-67.185753,-92.564117,42.695065
130.0,-67.194702,-67.18576,-92.564117,42.695072
130.5,-67.194702,-67.185776,-92.56411,42.69508
131.0,-67.194702,-67.185791,-92.56411,42.695084
131.5,-67.194695,-67.185799,-92.564102,42.695091
132.0,-67.194695,-67.185814,-92.564095,42.695099
132.5,-67.194695,-67.185829,-92.564095,42.695103
133.0,-67.194695,-67.185844,-92.564087,42.69511
133.5,-67.194695,-67.185852,-92.564087,42.695118
134.0,-67.194695,-67.185867,-92.564079,42.695122
134.5,-67.194687,-67.185883,-92.564079,42.695129
135.0,-67.194687,-67.18589,-92.564072,42.695137
135.5,-67.194687,-67.185905,-92.564072,42.695141
136.0,-67.194687,-67.185921,-92.564064,42.695148
136.5,-67.194687,-67.185936,-92.564064,42.695156
137.0,-67.194679,-67.185944,-92.564056,42.69516
137.5,-67.194679,-67.185959,-92.564056,42.695168
138.0,-67.194679,-67.185974,-92.564049,42.695175
138.5,-67.194679,-67.185982,-92.564041,42.695179
139.0,-67.194679,-67.185997,-92.564041,42.695187
139.5,-67.194679,-67.186012,-92.564034,42.69519
140.0,-67.194672,-67.18602,-92.564034,42.695198
140.5,-67.194672,-67.186035,-92.564026,42.695206
141.0,-67.194672,-67.18605,-92.564026,42.69521
141.5,-67.194672,-67.186058,-92.564018,42.695217
142.0,-67.194672,-67.186073,-92.564018,42.695221
142.5,-67.194672,-67.186089,-92.564011,42.695229
143.0,-67.194664,-67.186104,-92.564011,42.695236
143.5,-67.194664,-67.186111,-92.564003,42.69524
144.0,-67.194664,-67.186127,-92.564003,42.695248
144.5,-67.194664,-67.186134,-92.563995,42.695251
145.0,-67.194664,-67.18615,-92.563995,42.695259
145.5,-67.194664,-67.186165,-92.563988,42.695267
146.0,-67.194656,-67.186172,-92.563988,42.695271
146.5,-67.194656,-67.186188,-92.56398,42.695278
147.0,-67.194656,-67.186203,-92.563972,42.695282
147.5,-67.194656,-67.186211,-92.563972,42.69529
148.0,-67.194656,-67.186226,-92.563965,42.695297
148.5,-67.194656,-67.186241,-92.563965,42.695301
149.0,-67.194649,-67.186249,-92.563957,42.695309
149.5,-67.194649,-67.186264,-92.563957,42.695312
150.0,-67.194649,-67.186279,-92.56395,42.69532
150.5,-67.194649,-67.186287,-92.56395,42.695324
151.0,-67.194649,-67.186302,-92.563942,42.695332
151.5,-67.194649,-67.18631,-92.563942,42.695339
152.0,-67.194641,-67.186325,-92.563934,42.695343
152.5,-67.194641,-67.18634,-92.563934,42.695351
153.0,-67.194641,-67.186348,-92.563927,42.695354
153.5,-67.194641,-67.186363,-92.563927,42.695362
154.0,-67.194641,-67.186378,-92.563919,42.695366
154.5,-67.194641,-67.186386,-92.563919,42.695374
155.0,-67.194633,-67.186401,-92.563911,42.695377
155.5,-67.194633,-67.186409,-92.563911,42.695385
156.0,-67.194633,-67.186424,-92.563904,42.695389
156.5,-67.194633,-67.18644,-92.563904,42.695396
157.0,-67.194633,-67.186447,-92.563896,42.695404
157.5,-67.194633,-67.186462,-92.563896,42.695408
158.0,-67.194633,-67.18647,-92.563889,42.695415
158.5,-67.194626,-67.186485,-92.563889,42.695419
159.0,-67.194626,-67.186493,-92.563881,42.695427
159.5,-67.194626,-67.186508,-92.563881,42.695431
160.0,-67.194626,-67.186523,-92.563873,42.695438
160.5,-67.194626,-67.186531,-92.563873,42.695442
161.0,-67.194626,-67.186546,-92.563866,42.69545
161.5,-67.194618,-67.186554,-92.563866,42.695454
162.0,-67.194618,-67.186569,-92.563858,42.695461
162.5,-67.194618,-67.186577,-92.563858,42.695465
163.0,-67.194618,-67.186592,-92.56385,42.695473
163.5,-67.194618,-67.186607,-92.56385,42.695477
164.0,-67.194618,-67.186615,-92.563843,42.695484
164.5,-67.194611,-67.18663,-92.563843,42.695488
165.0,-67.194611,-67.186638,-92.563835,42.695496
165.5,-67.194611,-67.186653,-92.563835,42.695499
166.0,-67.194611,-67.186661,-92.563828,42.695507
166.5,-67.194611,-67.186676,-92.563828,42.695511
167.0,-67.194611,-67.186684,-92.56382,42.695518
167.5,-67.194611,-67.186699,-92.56382,42.695522
168.0,-67.194603,-67.186714,-92.563812,42.69553
168.5,-67.194603,-67.186722,-92.563812,42.695534
169.0,-67.194603,-67.186737,-92.563805,42.695541
169.5,-67.194603,-67.186745,-92.563805,42.695545
170.0,-67.194603,-67.18676,-92.563797,42.695549
170.5,-67.194603,-67.186768,-92.563797,42.695557
171.0,-67.194595,-67.186783,-92.563789,42.69556
171.5,-67.194595,-67.18679,-92.563789,42.695568
172.0,-67.194595,-67.186806,-92.563782,42.695572
172.5,-67.194595,-67.186813,-92.563782,42.69558
173.0,-67.194595,-67.186829,-92.563782,42.695583
173.5,-67.194595,-67.186836,-92.563774,42.695591
174.0,-67.194595,-67.186852,-92.563774,42.695595
174.5,-67.194588,-67.186859,-92.563766,42.695602
175.0,-67.194588,-67.186874,-92.563766,42.695606
175.5,-67.194588,-67.186882,-92.563759,42.69561
176.0,-67.194588,-67.186897,-92.563759,42.695618
176.5,-67.194588,-67.186905,-92.563751,42.695621
177.0,-67.194588,-67.18692,-92.563751,42.695629
177.5,-67.19458,-67.186928,-92.563744,42.695633
178.0,-67.19458,-67.186943,-92.563744,42.695641
178.5,-67.19458,-67.186951,-92.563736,42.695644
179.0,-67.19458,-67.186966,-92.563736,42.695652
179.5,-67.19458,-67.186974,-92.563728,42.695656
180.0,-67.19458,-67.186989,-92.563728,42.69566
180.5,-67.19458,-67.186996,-92.563721,42.695667
181.0,-67.194572,-67.187012,-92.563721,42.695671
181.5,-67.194572,-67.187019,-92.563721,42.695679
182.0,-67.194572,-67.187035,-92.563713,42.695683
182.5,-67.194572,-67.187042,-92.563713,42.695686
183.0,-67.194572,-67.18705,-92.563705,42.695694
183.5,-67.194572,-67.187065,-92.563705,42.695698
184.0,-67.194572,-67.187073,-92.563698,42.695705
184.5,-67.194565,-67.187088,-92.563698,42.695709
185.0,-67.194565,-67.187096,-92.56369,42.695713
185.5,-67.194565,-67.187111,-92.56369,42.695721
186.0,-67.194565,-67.187119,-92.563683,42.695724
186.5,-67.194565,-67.187134,-92.563683,42.695732
187.0,-67.194565,-67.187141,-92.563675,42.695736
187.5,-67.194565,-67.187157,-92.563675,42.69574
188.0,-67.194557,-67.187164,-92.563675,42.695747
188.5,-67.194557,-67.187172,-92.563667,42.695751
189.0,-67.194557,-67.187187,-92.563667,42.695759
189.5,-67.194557,-67.187195,-92.56366,42.695763
190.0,-67.194557,-67.18721,-92.56366,42.695766
190.5,-67.194557,-67.187218,-92.563652,42.695774
191.0,-67.194557,-67.187233,-92.563652,42.695778
191.5,-67.19455,-67.187241,-92.563644,42.695782
192.0,-67.19455,-67.187248,-92.563644,42.695789
192.5,-67.19455,-67.187263,-92.563637,42.695793
193.0,-67.19455,-67.187271,-92.563637,42.695797
193.5,-67.19455,-67.187286,-92.563637,42.695805
194.0,-67.19455,-67.187294,-92.563629,42.695808
194.5,-67.19455,-67.187309,-92.563629,42.695816
195.0,-67.194542,-67.187317,-92.563622,42.69582
195.5,-67.194542,-67.187325,-92.563622,42.695824
196.0,-67.194542,-67.18734,-92.563614,42.695831
196.5,-67.194542,-67.187347,-92.563614,42.695835
197.0,-67.194542,-67.187363,-92.563606,42.695839
197.5,-67.194542,-67.18737,-92.563606,42.695847
198.0,-67.194542,-67.187378,-92.563606,42.69585
198.5,-67.194534,-67.187393,-92.563599,42.695854
199.0,-67.194534,-67.187401,-92.563599,42.695862
199.5,-67.194534,-67.187408,-92.563591,42.695866
200.0,-67.194534,-67.187424,-92.563591,42.695869
200.5,-67.194534,-67.187431,-92.563583,42.695877
201.0,-67.194534,-67.187447,-92.563583,42.695881
201.5,-67.194534,-67.187454,-92.563576,42.695885
202.0,-67.194527,-67.187462,-92.563576,42.695892
202.5,-67.194527,-67.187477,-92.563576,42.695896
203.0,-67.194527,-67.187485,-92.563568,42.6959
203.5,-67.194527,-67.187492,-92.563568,42.695908
204.0,-67.194527,-67.187508,-92.56356,42.695911
204.5,-67.194527,-67.187515,-92.56356,42.695915
205.0,-67.194527,-67.187531,-92.563553,42.695923
205.5,-67.194519,-67.187538,-92.563553,42.695927
206.0,-67.194519,-67.187546,-92.563553,42.69593
206.5,-67.194519,-67.187561,-92.563545,42.695934
207.0,-67.194519,-67.187569,-92.563545,42.695942
207.5,-67.194519,-67.187576,-92.563538,42.695946
208.0,-67.194519,-67.187592,-92.563538,42.69595
208.5,-67.194519,-67.187599,-92.56353,42.695957
209.0,-67.194511,-67.187607,-92.56353,42.695961
209.5,-67.194511,-67.187622,-92.56353,42.695965
210.0,-67.194511,-67.18763,-92.563522,42.695969
210.5,-67.194511,-67.187637,-92.563522,42.695976
211.0,-67.194511,-67.187653,-92.563515,42.69598
211.5,-67.194511,-67.18766,-92.563515,42.695984
212.0,-67.194511,-67.187668,-92.563515,42.695992
212.5,-67.194511,-67.187683,-92.563507,42.695995
213.0,-67.194504,-67.187691,-92.563507,42.695999
213.5,-67.194504,-67.187698,-92.563499,42.696003
214.0,-67.194504,-67.187714,-92.563499,42.696011
214.5,-67.194504,-67.187721,-92.563492,42.696014
215.0,-67.194504,-67.187729,-92.563492,42.696018
215.5,-67.194504,-67.187744,-92.563492,42.696026
216.0,-67.194504,-67.187752,-92.563484,42.69603
216.5,-67.194496,-67.187759,-92.563484,42.696033
217.0,-67.194496,-67.187775,-92.563477,42.696037
217.5,-67.194496,-67.187782,-92.563477,42.696045
218.0,-67.194496,-67.18779,-92.563477,42.696049
218.5,-67.194496,-67.187805,-92.563469,42.696053
219.0,-67.194496,-67.187813,-92.563469,42.696056
219.5,-67.194496,-67.18782,-92.563461,42.696064
220.0,-67.194496,-67.187828,-92.563461,42.696068
220.5,-67.194489,-67.187843,-92.563454,42.696072
221.0,-67.194489,-67.187851,-92.563454,42.696075
221.5,-67.194489,-67.187859,-92.563454,42.696083
222.0,-67.194489,-67.187874,-92.563446,42.696087
222.5,-67.194489,-67.187881,-92.563446,42.696091
223.0,-67.194489,-67.187889,-92.563438,42.696095
223.5,-67.194489,-67.187897,-92.563438,42.696098
224.0,-67.194489,-67.187912,-92.563438,42.696106
224.5,-67.194481,-67.18792,-92.563431,42.69611
225.0,-67.194481,-67.187927,-92.563431,42.696114
225.5,-67.194481,-67.187943,-92.563423,42.696117
226.0,-67.194481,-67.18795,-92.563423,42.696125
226.5,-67.194481,-67.187958,-92.563423,42.696129
227.0,-67.194481,-67.187965,-92.563416,42.696133
227.5,-67.194481,-67.187981,-92.563416,42.696136
228.0,-67.194473,-67.187988,-92.563408,42.69614
228.5,-67.194473,-67.187996,-92.563408,42.696148
229.0,-67.194473,-67.188004,-92.563408,42.696152
229.5,-67.194473,-67.188019,-92.5634,42.696156
230.0,-67.194473,-67.188026,-92.5634,42.696159
230.5,-67.194473,-67.188034,-92.563393,42.696167
231.0,-67.194473,-67.188042,-92.563393,42.696171
231.5,-67.194473,-67.188057,-92.563393,42.696175
232.0,-67.194466,-67.188065,-92.563385,42.696178
232.5,-67.194466,-67.188072,-92.563385,42.696182
233.0,-67.194466,-67.18808,-92.563377,42.69619
233.5,-67.194466,-67.188095,-92.563377,42.696194
234.0,-67.194466,-67.188103,-92.563377,42.696198
234.5,-67.194466,-67.18811,-92.56337,42.696201
235.0,-67.194466,-67.188118,-92.56337,42.696205
235.5,-67.194466,-67.188133,-92.563362,42.696209
236.0,-67.194458,-67.188141,-92.563362,42.696217
236.5,-67.194458,-67.188148,-92.563362,42.69622
237.0,-67.194458,-67.188156,-92.563354,42.696224
237.5,-67.194458,-67.188171,-92.563354,42.696228
238.0,-67.194458,-67.188179,-92.563354,42.696232
238.5,-67.194458,-67.188187,-92.563347,42.696239
239.0,-67.194458,-67.188194,-92.563347,42.696243
239.5,-67.194458,-67.188202,-92.563339,42.696247
240.0,-67.19445,-67.188217,-92.563339,42.696251
240.5,-67.19445,-67.188225,-92.563339,42.696255
241.0,-67.19445,-67.188232,-92.563332,42.696259
241.5,-67.19445,-67.18824,-92.563332,42.696266
242.0,-67.19445,-67.188248,-92.563324,42.69627
242.5,-67.19445,-67.188263,-92.563324,42.696274
243.0,-67.19445,-67.188271,-92.563324,42.696278
243.5,-67.19445,-67.188278,-92.563316,42.696281
244.0,-67.19445,-67.188286,-92.563316,42.696285
244.5,-67.194443,-67.188293,-92.563316,42.696289
245.0,-67.194443,-67.188309,-92.563309,42.696297
245.5,-67.194443,-67.188316,-92.563309,42.696301
246.0,-67.194443,-67.188324,-92.563301,42.696304
246.5,-67.194443,-67.188332,-92.563301,42.696308
247.0,-67.194443,-67.188339,-92.563301,42.696312
247.5,-67.194443,-67.188354,-92.563293,42.696316
248.0,-67.194443,-67.188362,-92.563293,42.69632
248.5,-67.194435,-67.18837,-92.563293,42.696327
249.0,-67.194435,-67.188377,-92.563286,42.696331
249.5,-67.194435,-67.188385,-92.563286,42.696335
250.0,-67.194435,-67.1884,-92.563278,42.696339
250.5,-67.194435,-67.188408,-92.563278,42.696342
251.0,-67.194435,-67.188416,-92.563278,42.696346
251.5,-67.194435,-67.188423,-92.563271,42.69635
252.0,-67.194435,-67.188431,-92.563271,42.696354
252.5,-67.194427,-67.188438,-92.563271,42.696362
253.0,-67.194427,-67.188454,-92.563263,42.696365
253.5,-67.194427,-67.188461,-92.563263,42.696369
254.0,-67.194427,-67.188469,-92.563255,42.696373
254.5,-67.194427,-67.188477,-92.563255,42.696377
255.0,-67.194427,-67.188484,-92.563255,42.696381
255.5,-67.194427,-67.188492,-92.563248,42.696384
256.0,-67.194427,-67.188499,-92.563248,42.696388
256.5,-67.194427,-67.188515,-92.563248,42.696396
257.0,-67.19442,-67.188522,-92.56324,42.6964
257.5,-67.19442,-67.18853,-92.56324,42.696404
