Time,G_p,G_t,I_l,I_p,Q_sto1,Q_gut,I_1,I_d,X,I_po,Y,Q_sto2,V_G,k_1,k_2,G_b,V_I,m_1,m_2,m_4,m_5,m_6,HE_b,I_b,S_b,S_b_minus,k_max,k_min,k_abs,k_gri,f,b,d,BW,k_p1,k_p2,k_p3,k_p4,k_i,U_ii,V_m0,V_mX,K_m0,p_2U,part,K,alpha,beta,gamma,k_e1,k_e2,D,aa,cc,EGP,V_mmax,E,S,I,G,HE,m_3,Q_sto,Ra,k_empt,U_idm,U_id,U,S_po,Compartment1
0.2,177.99526868986214,135.03095710872344,4.558485427585859,1.2524827186175096,77134.35925959541,4.775529711783205,25.00003424885516,25.000000016693985,0.00014327551725941155,3.594469901553447,-0.00035075457745937746,860.8470126006017,1.88,0.065,0.079,95.0,0.05,0.19,0.484,0.194,0.0304,0.6471,0.6,25.0,1.8,-1.8,0.0558,0.008,0.057,0.0558,0.9,0.82,0.01,78.0,2.7,0.0021,0.009,0.0618,0.0079,1.0,2.5,0.047,225.59,0.0331,0.2,2.3,0.05,0.11,0.5,0.0005,339.0,78000.0,0.00017806267806267802,0.003205128205128205,1.879071695685041,2.0000053871594488,0.0,1.7972349507767236,25.04965437235019,94.67833440950115,0.5924640574963876,0.2762165472639652,77995.20627219601,0.0031408291565958777,0.05547953876977801,0.7488822718900451,0.7488822718900451,1.7488822718900452,1.7751391627929785,1.0
0.21,177.99507067365673,135.03249005654408,4.56126068487226,1.2526540681282805,77091.33029332705,5.262066393143579,25.000038303518554,25.000000019556538,0.00016022584600192713,3.594252250000784,-0.00036826933687322735,903.3865825809189,1.88,0.065,0.079,95.0,0.05,0.19,0.484,0.194,0.0304,0.6471,0.6,25.0,1.8,-1.8,0.0558,0.008,0.057,0.0558,0.9,0.82,0.01,78.0,2.7,0.0021,0.009,0.0618,0.0079,1.0,2.5,0.047,225.59,0.0331,0.2,2.3,0.05,0.11,0.5,0.0005,339.0,78000.0,0.00017806267806267802,0.003205128205128205,1.879085562359264,2.00000602449181,0.0,1.797126125000392,25.05308136256561,94.67822908173231,0.592467365799988,0.2762203319569013,77994.71687590797,0.0034608205893367386,0.05547948328740895,0.7488878288563573,0.7488878288563573,1.7488878288563572,1.7756939957398064,1.0
0.22,177.994877408219,135.03402161108735,4.564022632138953,1.2528295023451232,77048.32533052433,5.771906122260839,25.000042631815198,25.000000022749948,0.00017831825160451382,3.5940413069596224,-0.00038578106352008126,945.8785620787442,1.88,0.065,0.079,95.0,0.05,0.19,0.484,0.194,0.0304,0.6471,0.6,25.0,1.8,-1.8,0.0558,0.008,0.057,0.0558,0.9,0.82,0.01,78.0,2.7,0.0021,0.009,0.0618,0.0079,1.0,2.5,0.047,225.59,0.0331,0.2,2.3,0.05,0.11,0.5,0.0005,339.0,78000.0,0.00017806267806267802,0.003205128205128205,1.879099004467886,2.0000067047662604,0.0,1.7970206534798112,25.056590046902464,94.67812628096756,0.5924705721342137,0.2762240000557056,77994.20389260307,0.0037961382573330907,0.05547942512076149,0.7488933970266155,0.7488933970266155,1.7488933970266154,1.7762665500395838,1.0
0.23,177.99468903815864,135.03555177647303,4.566771389872707,1.253008968572741,77005.34435779693,6.305009161105231,25.000047240136528,25.000000026296053,0.00019757922271851412,3.5938372154835516,-0.00040328961786705443,988.3229909508609,1.88,0.065,0.079,95.0,0.05,0.19,0.484,0.194,0.0304,0.6471,0.6,25.0,1.8,-1.8,0.0558,0.008,0.057,0.0558,0.9,0.82,0.01,78.0,2.7,0.0021,0.009,0.0618,0.0079,1.0,2.5,0.047,225.59,0.0331,0.2,2.3,0.05,0.11,0.5,0.0005,339.0,78000.0,0.00017806267806267802,0.003205128205128205,1.8791120128663192,2.0000074289787744,0.0,1.7969186077417758,25.06017937145482,94.67802608412694,0.59247367432465,0.27622754906724917,77993.6673487478,0.0041467560251884404,0.05547936427138948,0.7488989767885142,0.7488989767885142,1.7488989767885141,1.7768567715687829,1.0
0.24,177.99450570764083,135.03708055690728,4.569507078574801,1.2531924146976567,76962.3873617622,6.861335813814092,25.000052134791442,25.000000030217183,0.00021803489561100718,3.5936401173780688,-0.0004207948562419704,1030.7199090270678,1.88,0.065,0.079,95.0,0.05,0.19,0.484,0.194,0.0304,0.6471,0.6,25.0,1.8,-1.8,0.0558,0.008,0.057,0.0558,0.9,0.82,0.01,78.0,2.7,0.0021,0.009,0.0618,0.0079,1.0,2.5,0.047,225.59,0.0331,0.2,2.3,0.05,0.11,0.5,0.0005,339.0,78000.0,0.00017806267806267802,0.003205128205128205,1.8791245784880353,2.000008198112075,0.0,1.7968200586890344,25.063848293953132,94.67792856789406,0.5924766702158534,0.27623097652013573,77993.10727078927,0.004512647785239269,0.05547930074077987,0.7489045685250947,0.7489045685250947,1.7489045685250946,1.7774646063811403,1.0
0.25,177.9943275603856,135.0386079566846,4.572229818794817,1.2533797892088059,76919.4543290446,7.44084642482081,25.000057322000927,25.000000034536196,0.0002397110311566282,3.5934501531599667,-0.0004382966307418001,1073.069356112092,1.88,0.065,0.079,95.0,0.05,0.19,0.484,0.194,0.0304,0.6471,0.6,25.0,1.8,-1.8,0.0558,0.008,0.057,0.0558,0.9,0.82,0.01,78.0,2.7,0.0021,0.009,0.0618,0.0079,1.0,2.5,0.047,225.59,0.0331,0.2,2.3,0.05,0.11,0.5,0.0005,339.0,78000.0,0.00017806267806267802,0.003205128205128205,1.879136692347079,2.0000090131347714,0.0,1.7967250765799834,25.067595784176117,94.67783380871576,0.5924795576719685,0.2762342799654218,77992.52368515669,0.004893787456324457,0.055479234530353125,0.7489101726144294,0.7489101726144294,1.7489101726144294,1.7780900007095612,1.0
0.26,177.99415473968068,135.04013398018245,4.574939731046568,1.2535710411354548,76876.54524627648,8.043501381219183,25.000062807913434,25.00000003927638,0.00026263308074978773,3.593267462181959,-0.00045579478948854743,1115.3713719829823,1.88,0.065,0.079,95.0,0.05,0.19,0.484,0.194,0.0304,0.6471,0.6,25.0,1.8,-1.8,0.0558,0.008,0.057,0.0558,0.9,0.82,0.01,78.0,2.7,0.0021,0.009,0.0618,0.0079,1.0,2.5,0.047,225.59,0.0331,0.2,2.3,0.05,0.11,0.5,0.0005,339.0,78000.0,0.00017806267806267802,0.003205128205128205,1.8791483455303382,2.0000098750038364,0.0,1.7966337310909795,25.071420822709094,94.67774188280887,0.5924823345748342,0.27623745697446467,77991.91661825946,0.00529014898534031,0.05547916564146315,0.7489157894305296,0.7489157894305296,1.7489157894305296,1.7787329009567596,1.0
0.27,177.99398738836015,135.04165863186793,4.577636935906904,1.2537661201260784,76833.66010009755,8.669261111239878,25.000068598585695,25.000000044461576,0.0002868261041035373,3.593092182473312,-0.0004732891763132889,1157.6259963909908,1.88,0.065,0.079,95.0,0.05,0.19,0.484,0.194,0.0304,0.6471,0.6,25.0,1.8,-1.8,0.0558,0.008,0.057,0.0558,0.9,0.82,0.01,78.0,2.7,0.0021,0.009,0.0618,0.0079,1.0,2.5,0.047,225.59,0.0331,0.2,2.3,0.05,0.11,0.5,0.0005,339.0,78000.0,0.00017806267806267802,0.003205128205128205,1.879159529207439,2.0000107846615145,0.0,1.796546091236656,25.075322402521564,94.67765286614902,0.5924849988264057,0.27624050514170717,77991.28609648855,0.005701706346238536,0.055479094075397604,0.7489214193422119,0.7489214193422119,1.7489214193422118,1.7793932537088015,1.0
0.28,177.99382564886884,135.04318191628394,4.580321553827602,1.2539649762748766,76790.79887715449,9.318086082399326,25.000074700023568,25.000000050115904,0.0003123149442296707,3.592924451094264,-0.0004907796314198746,1199.8332690625082,1.88,0.065,0.079,95.0,0.05,0.19,0.484,0.194,0.0304,0.6471,0.6,25.0,1.8,-1.8,0.0558,0.008,0.057,0.0558,0.9,0.82,0.01,78.0,2.7,0.0021,0.009,0.0618,0.0079,1.0,2.5,0.047,225.59,0.0331,0.2,2.3,0.05,0.11,0.5,0.0005,339.0,78000.0,0.00017806267806267802,0.003205128205128205,1.879170234608707,2.0000117430419033,0.0,1.796462225547132,25.07929952549753,94.6775668345047,0.5924875483433671,0.2762434220785299,77990.632146217,0.0061284335388087875,0.05547901983337821,0.7489270627155132,0.7489270627155132,1.7489270627155133,1.7800710056995315,1.0
0.29,177.99366966317706,135.04470383806603,4.5829937053596765,1.254167560337098,76747.96156410188,9.98993680541935,25.000081118131774,25.00000005626411,0.0003391240120937689,3.592764403694894,-0.0005082659905708371,1241.9932296963182,1.88,0.065,0.079,95.0,0.05,0.19,0.484,0.194,0.0304,0.6471,0.6,25.0,1.8,-1.8,0.0558,0.008,0.057,0.0558,0.9,0.82,0.01,78.0,2.7,0.0021,0.009,0.0618,0.0079,1.0,2.5,0.047,225.59,0.0331,0.2,2.3,0.05,0.11,0.5,0.0005,339.0,78000.0,0.00017806267806267802,0.003205128205128205,1.879180453052607,2.000012751062855,0.0,1.796382201847447,25.08335120674196,94.67748386339206,0.5924899810638377,0.2762462054209373,77989.9547937982,0.006570304591256572,0.055478942916560636,0.7489327199107176,0.7489327199107176,1.7489327199107176,1.78076610385651,1.0
0.3,177.9935195728165,135.04622440193543,4.585653511060932,1.2543738236394844,76705.14814760184,10.68477383244671,25.000087858734762,25.000000062931413,0.00036727737600953205,3.5926121746987043,-0.0005257480854250853,1284.1059179648864,1.88,0.065,0.079,95.0,0.05,0.19,0.484,0.194,0.0304,0.6471,0.6,25.0,1.8,-1.8,0.0558,0.008,0.057,0.0558,0.9,0.82,0.01,78.0,2.7,0.0021,0.009,0.0618,0.0079,1.0,2.5,0.047,225.59,0.0331,0.2,2.3,0.05,0.11,0.5,0.0005,339.0,78000.0,0.00017806267806267802,0.003205128205128205,1.8791901759343232,2.0000138096293383,0.0,1.7963060873493522,25.087476472789685,94.67740402809389,0.5924922949445797,0.2762488528263787,77989.25406556673,0.007027293559032261,0.055478863326034834,0.7489383912835902,0.7489383912835902,1.7489383912835903,1.7814784952817668,1.0
