CD8__T_cells__T_8_task1,NK_cells__N_6_task1,Pancreatic_cancer_cells__C_4_task1,Pancreatic_stellate_cells__P_7_task1,_1_task1,helper_T_cells__H_5_task1
60975014.85430575,195988500.38798305,1829894928.3799505,287571789.5188361,45.0,360633891.84253275
60127757.44588753,193313291.30600226,1859305331.067416,300373186.20733935,46.0,354105675.5970874
59328370.456613995,190673200.2345374,1889368985.498988,312879292.5121354,47.0,347802623.94558716
58573858.489314765,188067884.51152915,1920097821.5976388,325029946.9821697,48.0,341713276.3547448
57861454.18942288,185496997.06614384,1951503624.2057123,336772246.14545125,49.0,335826952.9953385
57188589.87835745,182960187.28743014,1983598042.5232508,348060971.072265,50.0,330133670.1936704
56552876.46358031,180457101.7266433,2016392602.2720942,358859852.6931536,51.0,324624076.99235797
55952102.6362286,177987384.34551704,2049898763.253909,369141050.0305981,52.0,319289442.744993
55384204.277317874,175550677.35598832,2084127940.3182657,378885238.1025162,53.0,314121570.93910545
54847257.819184355,173146621.55627784,2119091558.624576,388080690.1331596,54.0,309112773.345653
54339465.28543151,170774856.78369954,2154801077.8321342,396723211.81355494,55.0,304255825.97039926
53859141.65685737,168435022.41743553,2191268040.8184953,404815412.88525236,56.0,299543926.2939609
53404710.734563924,166126757.57076174,2228504123.7818,412364911.77156144,57.0,294970677.03571486
52974695.33218802,163849701.48916098,2266521150.7268353,419384783.7369909,58.0,290530052.0893859
52567708.5780542,161603493.878438,2305331144.7538733,425892074.6996087,59.0,286216367.4434352
52182449.94093575,159387775.07635003,2344946357.80322,431906564.99145496,60.0,282024265.774025
51817695.24434775,157202186.41388032,2385379291.1277924,437450820.26845074,61.0,277948684.1095073
51472291.397122994,155046370.39645267,2426642717.027395,442549296.9914802,62.0,273984836.1894967
51145152.10830948,152919970.8975457,2468749714.180063,447227063.8825125,63.0,270128195.5949177
50835251.02068245,150822633.41685587,2511713677.710609,451509842.61159337,64.0,266374472.45261225
50541620.92365384,148754005.16047853,2555548317.598929,455423963.80229014,65.0,262719606.70431894
50263347.88673324,146713735.24579537,2600267701.6161766,458994827.2116593,66.0,259159748.55677617
49999568.03248396,144701474.85141894,2645886252.0576034,462247152.9449217,67.0,255691245.24053603
49749464.2582289,142716877.3103426,2692418729.621414,465205628.18760896,68.0,252310630.5949566
49512262.567975715,140759598.27228728,2739880277.932612,467893254.3674601,69.0,249014610.32448232
49287229.11634778,138829295.78760853,2788286418.5656543,470331550.3740558,70.0,245800052.33203888
49073668.49509892,136925630.39836714,2837653017.9050107,472541866.5663854,71.0,242663978.32043004
48870920.14282921,135048265.258948,2887996331.4331665,474543749.4391094,72.0,239603551.2783412
48678357.9033007,133196866.16614127,2939333010.655141,476354725.81387305,73.0,236616071.44157118
48495386.70608944,131371101.6632112,2991680050.5431,477992216.37058234,74.0,233698965.56515902
48321441.03123058,129570643.10187887,3045054824.1626053,479472329.4880021,75.0,230849779.82050645
48155983.09925186,127795164.6769842,3099475120.439222,480808641.4549757,76.0,228066173.79708815
47998500.9954365,126044343.50579104,3154959076.4196315,482014466.12777025,77.0,225345912.74633166
47848507.21193454,124317859.65712863,3211525182.8550262,483102675.65298235,78.0,222686862.43676317
47705537.57793362,122615396.18539631,3269192332.534713,484084278.4007252,79.0,220086983.756322
47569149.3829003,120936639.18463369,3327979780.9039764,484969651.39299226,80.0,217544326.22904825
47438920.8263107,119281277.79233666,3387907165.7767253,485767975.1381014,81.0,215057025.1097181
47314449.414732076,117649004.22966678,3448994493.488824,486487677.77807754,82.0,212623295.59941018
47195350.95679454,116039513.82277425,3511262143.357919,487136336.1535326,83.0,210241428.64921525
47081258.64398348,114452505.00970694,3574730860.519554,487720938.74884427,84.0,207909787.59701845
46971821.923685014,112887679.36733548,3639421759.5210075,488247809.8425072,85.0,205626803.53523073
46866705.73022472,111344741.61321907,3705356322.2847166,488722723.936013,86.0,203390972.33852267
46765589.7157883,109823399.612412,3772556400.266152,489150861.37619126,87.0,201200851.47492546
46668167.26135051,108323364.39180492,3841044212.02452,489536927.35509294,88.0,199055056.17377913
46574145.022356145,106844350.12939118,3910842344.932081,489885119.9665178,89.0,196952257.48469654
46483242.33663425,105386074.14623977,3981973750.9721856,490199276.60305417,90.0,194891180.0663728
46395190.086481236,103948256.93352847,4054461750.670378,490482810.78605044,91.0,192870597.50096798
46309729.86763308,102530622.16046685,4128330033.250804,490738743.8627491,92.0,190889328.9645119
46226615.80672112,101132896.5307399,4203602644.26245,490969962.53050107,93.0,188946246.76848996
46145609.811215825,99754810.01511498,4280304004.9300685,491178897.1055114,94.0,187040256.91379988
46066483.01345511,98396095.7294959,4358458901.76715,491367738.4675918,95.0,185170305.08237183
45989019.61877185,97056489.689399,4438092467.621541,491538593.9681347,96.0,183335391.6115947
45913007.989975914,95735731.25818232,4519230216.133063,491693243.8942095,97.0,181534536.3893302
45838245.45184339,94433562.84834291,4601898019.0842905,491833337.645079,98.0,179766797.66644022
45764540.81417682,93149729.74463242,4686122103.871507,491960310.8644598,99.0,178031282.25033146
45691706.44551382,91883980.5024236,4771929065.277306,492075536.05343294,100.0,176327113.6934531
45619562.85497203,90636066.6595104,4859345855.978869,492180251.01728505,101.0,174653450.59352073
45547939.4069394,89405742.6722364,4948399778.566745,492275424.54780257,102.0,173009488.89143923
45476669.822891116,88192766.10282172,5039118501.091816,492362095.4136478,103.0,171394444.75951266
45405594.6858444,86996897.46257207,5131530043.662117,492441158.87765837,104.0,169807563.8522764
45334561.431102864,85817900.18866593,5225662770.362244,492513303.7941262,105.0,168248120.71117994
45263422.12165059,84655540.69860524,5321545406.068126,492579272.676946,106.0,166715411.0176658
45192034.59074238,83509588.3156499,5419207020.284523,492639694.57948077,107.0,165208755.16669524
45120262.61782986,82379815.23053515,5518677018.478666,492695084.78206515,108.0,163727498.73292044
45047974.00420399,81265996.54623638,5619985160.699545,492745960.43767536,109.0,162271005.3900198
44975041.72529664,80167910.2003567,5723161541.161919,492792768.5122297,110.0,160838660.85995537
44901344.22423172,79085336.9191417,5828236577.967418,492835889.55074084,111.0,159429873.92614198
44826763.281268455,78018060.2777707,5935241036.535103,492875698.07266086,112.0,158044068.20090702
44751185.485042736,76965866.605974,6044206001.451493,492912519.9137819,113.0,156680687.4868975
44674502.310706146,75928544.95542024,6155162865.894352,492946624.6713976,114.0,155339195.8174556
44596608.30996441,74905887.13881926,6268143359.537292,492978295.06734395,115.0,154019070.6750273
44517402.43061684,73897687.65137602,6383179512.166453,493007768.4784496,116.0,152719807.4911699
44436787.86938668,72903743.64949837,6500303645.401357,493035234.7063045,117.0,151440918.79838002
44354670.88810137,71923854.95317881,6619548400.362115,493060902.65022975,118.0,150181930.08468565
44270961.71481711,70957823.99656826,6740946696.137895,493084941.9269224,119.0,148942382.45253968
44185574.33388449,70005455.80643433,6864531724.787069,493107491.1922552,120.0,147721831.64831161
44098425.73471385,69066557.98529358,6990336975.239607,493128696.9683299,121.0,146519845.43376917
44009436.56412584,68140940.6757479,7118396188.072873,493148679.865735,122.0,145336005.41893348
43918530.90524426,67228416.53650042,7248743353.964718,493167543.94803905,123.0,144169906.09851867
43825635.703496724,66328800.72298713,7381412733.746943,493185391.29468256,124.0,143021152.63816592
43730681.66143695,65441910.84916746,7516438786.421949,493202304.35620743,125.0,141889363.81350353
43633602.63711552,64567566.96816682,7653856196.062517,493218356.75455785,126.0,140774169.62092584
43534334.880545154,63705591.55480643,7793699911.675045,493233625.22653085,127.0,139675208.2771171
43432817.688125364,62855809.47072418,7936005086.609668,493248180.3846089,128.0,138592128.3711049
43328993.07183561,62018047.941591635,8080807087.767564,493262092.1959735,129.0,137524587.4362149
43222809.35432627,61192136.49536732,8228141196.500017,493275365.3148604,130.0,136472264.33441684
43114213.928236395,60377907.00657563,8378043165.420045,493288069.91392255,131.0,135434833.59191555
43003157.6118059,59575193.62711854,8530548859.228261,493300263.29526216,132.0,134411980.45399266
42889594.045031615,58783832.765614524,8685694287.2838,493312000.97996545,133.0,133403398.52520436
42773480.351071395,58003663.06583972,8843515520.012821,493323322.21228415,134.0,132408791.80819318
42654780.16274595,57234525.38651636,9004048383.903831,493334186.91119003,135.0,131427884.95308343
42533454.07615683,56476262.75902279,9167329354.610626,493344674.31079984,136.0,130460389.9167245
42409467.47737249,55728720.37561106,9333394794.523743,493354820.002091,137.0,129506032.85431136
42282788.35616298,54991745.56004157,9502281144.5059,493364661.38169193,138.0,128564546.29613118
42153389.608547956,54265187.74508298,9674024619.379555,493374199.1173952,139.0,127635677.20906709
42021247.0646674,53548898.44435361,9848661435.198818,493383430.42536235,140.0,126719179.65272379
41886336.696965605,52842731.22307762,10026228138.493193,493392396.1175149,141.0,125814804.4815089
41748638.53416108,52146541.67771817,10206761101.28876,493401114.9962458,142.0,124922313.21349083
41608135.38102796,51460187.40873467,10390296662.304047,493409605.5079935,143.0,124041473.18007982
41464814.02339398,50783528.092610545,10576870662.578321,493417862.2236298,144.0,123172063.88061102
41318662.94297994,50116425.27462797,10766519263.381939,493425900.7461457,145.0,122313864.32512361
41169673.59144114,49458742.44641994,10959278456.478102,493433732.83738834,146.0,121466659.76504172
41017840.38001523,48810345.02075596,11155184046.270035,493441366.7263427,147.0,120630241.42742804
40863160.51884857,48171100.31681964,11354271611.0897,493448809.95657116,148.0,119804405.9574455
40705633.87440211,47540877.63295441,11556576167.200676,493456070.3206179,149.0,118988956.97257881
40545263.339693375,46919547.9573101,11762133006.457361,493463154.04395425,150.0,118183699.97538668
40382054.5241778,46306984.15887303,11970976976.918066,493470067.6178561,151.0,117388446.07724379
40216015.829183124,45703060.90626796,12183142645.819149,493476817.5644717,152.0,116603010.72899109
40047158.3268594,45107654.69378764,12398664048.952824,493483408.72563034,153.0,115827215.271029
39875495.81846095,44520643.78992614,12617574794.213146,493489845.5349698,154.0,115060885.73235746
39701045.02507489,43941908.12867712,12839908426.714815,493496135.4934098,155.0,114303849.59781072
39523825.340396635,43371329.39008811,13065697928.984957,493502285.3589546,156.0,113555939.29373962
39343858.89679788,42808790.94542924,13294975839.88594,493508302.54834604,157.0,112816990.86760978
39161170.32352102,42254177.91392538,13527773766.376905,493514184.06827635,158.0,112086848.30395575
38975787.15042384,41707376.999825194,13764123167.796906,493519936.47433865,159.0,111365355.41549277
38787739.603093676,41168276.53657052,14004054940.403288,493525566.57674813,160.0,110652359.4484811
38597060.55598313,40636766.47719523,14247599313.405495,493531079.7412185,161.0,109947711.64666331
38403785.449449636,40112738.37295894,14494785829.113106,493536480.6274188,162.0,109251266.86138348
38207951.45848056,39596085.44633397,14745642882.843414,493541765.7699917,163.0,108562886.57688586
38009599.527627036,39086702.33205924,15000198758.828125,493546942.2926111,164.0,107882430.87437546
37808772.7333565,38584485.24351264,15258480749.239899,493552013.1367896,165.0,107209764.56926043
37605516.695203535,38089331.90181374,15520515342.576,493556980.97087866,166.0,106544755.44169654
37399878.784226015,37601141.57107997,15786327996.86731,493561848.22917026,167.0,105887274.86025567
37191908.29893375,37119815.0230698,16055943152.03853,493566617.0986076,168.0,105237197.48347244
36981658.2772713,36645254.38241504,16329384646.687399,493571289.4168969,169.0,104594399.40202707
36769183.47418414,36177363.25171613,16606675187.027914,493575866.7782668,170.0,103958759.93560566
36554540.92547411,35716046.647871576,16887836455.142826,493580350.4991707,171.0,103330160.96470416
36337788.06760841,35261211.084027335,17172888760.585173,493584744.17060035,172.0,102708487.81478243
36118985.75140376,34812764.381116994,17461851511.03644,493589049.4449001,173.0,102093627.53429617
35898197.095376246,34370615.70927955,17754742986.676163,493593267.5740024,174.0,101485469.38822043
35675486.8111332,33934675.60319477,18051580193.55415,493597400.295093,175.0,100883905.10019794
35450921.3535622,33504855.93053749,18352378861.056183,493601449.37008053,176.0,100288828.69188876
35224566.77069912,33081069.971304465,18657153129.530556,493605416.7477785,177.0,99700137.99962343
34996493.5403045,32663232.169452947,18965916137.022118,493609304.2625947,178.0,99117730.8440779
34766772.711251214,32251258.292358126,19278679487.03739,493613113.91005284,179.0,98541507.85443896
34535476.82911879,31845065.3658833,19595453331.98106,493616847.8049329,180.0,97971371.63118187
34302679.148950525,31444571.690944538,19916246272.4921,493620507.3394147,181.0,97407227.32798694
34068453.475935556,31049696.829612184,20241065305.873337,493624093.0972682,182.0,96848982.65854885
33832876.37303867,30660361.47638211,20569915959.577553,493627607.6179415,183.0,96296545.73553248
33596024.79591784,30276487.551287793,20902802067.18241,493631052.6549233,184.0,95749827.09761006
33357976.675255302,29897998.150021393,21239725774.80484,493634429.98290765,185.0,95208739.03700472
33118809.6372654,29524817.598394558,21580687515.5567,493637740.3181763,186.0,94673196.4513304
32878602.741338324,29156871.32507051,21925685933.304577,493640984.97637665,187.0,94143115.38847996
32637435.996327065,28794085.868093334,22274717843.754242,493644165.51490116,188.0,93618413.2899994
32395389.61834922,28436388.896986376,22627778199.878395,493647283.14074737,189.0,93099009.4321038
32152544.190821815,28083709.181393616,22984860049.807896,493650338.98702836,190.0,92584824.67240605
31908979.38930545,27735976.672936894,23345954749.0697,493653334.5994918,191.0,92075782.16037321
31664776.483837936,27393122.270937007,23711051347.31083,493656270.84529406,192.0,91571805.60179539
31420016.255336244,27055077.97192902,24080136977.209282,493659148.73718154,193.0,91072820.49272193
31174779.404489085,26721776.810582362,24453196698.68829,493661969.2166329,194.0,90578753.73946822
30929146.303456776,26393152.870153528,24830213612.97599,493664733.4265404,195.0,90089533.82678293
30683196.805081293,26069141.28229585,25211168913.459602,493667442.87360084,196.0,89605090.8995866
30437010.734738596,25749678.10053816,25596041186.29513,493670098.2815609,197.0,89125355.81880865
30190667.219536755,25434700.388926506,25984806988.809216,493672700.6741564,198.0,88650260.96450663
29944244.74030585,25124146.17690459,26377440633.530914,493675251.07190925,199.0,88179739.95274585
29697821.278214127,24817954.492732193,26773914669.19603,493677750.49994,200.0,87713728.11786261
29451473.854278136,24516065.280655358,27174199122.653053,493680199.9879359,201.0,87252161.74702065
29205278.42884982,24218419.38700471,27578261475.47916,493682600.57477075,202.0,86794978.05458203
28959309.99223105,23924958.582890704,27986067030.685562,493684953.31559354,203.0,86342115.54927738
28713642.381341755,23635625.534443837,28397578720.300724,493687259.2853781,204.0,85893513.83836949
28468349.5542516,23350363.862680733,28812758255.50231,493689518.9744147,205.0,85449114.36805904
28223502.576743823,23069117.971177436,29231563598.674927,493691733.57619435,206.0,85008858.75166139
27979171.700118825,22791833.149432562,29653950802.561676,493693904.02839553,207.0,84572689.96189897
27735425.709934432,22518455.528452065,30079873508.517178,493696031.25827837,208.0,84140551.98793831
27492332.351771075,22248932.08371167,30509283277.991188,493698116.1127992,209.0,83712389.93479204
27249958.86685194,21983210.641810857,30942129999.55429,493700159.27325326,210.0,83288150.15079294
27008369.043367542,21721239.771266066,31378359910.0817,493702161.64274883,211.0,82867779.48300707
26767625.694563717,21462968.85375616,31817917331.867405,493704123.9972494,212.0,82451225.89087503
26527789.861370325,21208348.046451412,32260744166.89526,493706047.08110803,213.0,82038438.24006066
26288922.238224518,20957328.30669179,32706780856.929565,493707931.71070135,214.0,81629366.50160843
26051081.257933054,20709861.33123912,33155965181.169674,493709778.64456654,215.0,81223961.44997622
25814322.536103778,20465899.530292515,33608231933.885353,493711588.5485569,216.0,80822174.56499544
25578700.360685114,20225396.053795844,34063513925.74763,493713362.1039298,217.0,80423958.24058561
25344267.06866022,19988304.76372118,34521741617.621216,493715099.967768,218.0,80029265.67655435
25111075.79395815,19754580.283770587,34982844991.099724,493716802.9873873,219.0,79638051.23255739
24879174.695094127,19524177.85784607,35446749738.37237,493718471.7635588,220.0,79250269.6359712
24648610.88753501,19297053.426335663,35913379922.46325,493720106.95544153,221.0,78865876.49517761
24419429.613262627,19073163.595501583,36382657461.99648,493721709.22150445,222.0,78484828.1721894
24191674.707881372,18852465.63602845,36854502512.20347,493723279.20928955,223.0,78107081.82892013
23965389.771957144,18634917.497415762,37328834347.1466,493724817.54778033,224.0,77732595.56727411
23740613.823957376,18420477.69816871,37805568276.83419,493726324.8800372,225.0,77361327.83513243
23517384.99068128,18209105.396887377,38284618339.474724,493727801.83718485,226.0,76993237.90155369
23295739.46451245,18000760.356827166,38765896592.82365,493729249.0469368,227.0,76628285.70232747
23075712.833760563,17795402.969004445,39249314237.71614,493730667.06256735,228.0,76266431.9870051
22857338.670571838,17592994.20315831,39734780513.22449,493732056.43820244,229.0,75907638.12995024
22640647.54568269,17393495.56994111,40222201938.64891,493733417.781337,230.0,75551865.99368288
22425668.82319524,17196869.156241767,40711483814.42821,493734751.6570276,231.0,75199078.13280861
22212430.05009602,17003077.597235054,41202529768.647675,493736058.62041444,232.0,74849237.70327577
22000958.9422095,16812084.132136688,41695243662.91369,493737339.1703532,233.0,74502308.66900243
21791279.50513265,16623852.460236782,42189525996.26542,493738593.84004855,234.0,74158255.35109922
21583414.508166328,16438346.813272033,42685276268.82047,493739823.13928735,235.0,73817042.68919337
21377385.204214532,16255531.934014784,43182392761.86837,493741027.56100285,236.0,73478636.19405591
21173211.481183883,16075373.074118309,43680772786.06817,493742207.5930341,237.0,73143001.95394513
20970912.735159334,15897836.026382389,44180313743.32307,493743363.74597096,238.0,72810106.73339333
20770505.27698244,15722886.980905013,44680910130.82383,493744496.467589,239.0,72479917.61533883
20572004.53059255,15550492.624670472,45182456154.09794,493745606.21404845,240.0,72152402.27447681
20375424.46789436,15380620.10074444,45684845105.27036,493746693.4306848,241.0,71827528.88657783
20180778.16040939,15213237.039063524,46187970174.49214,493747758.5743035,242.0,71505266.21029632
19988077.37675587,15048311.511847105,46691723916.478745,493748802.095264,243.0,71185583.4973397
19797331.98649287,14885811.973712299,47195997444.12177,493749824.4114032,244.0,70868450.3678058
19608550.87783983,14725707.32138221,47700681755.88494,493750825.9457569,245.0,70553836.95784084
19421741.70559547,14567966.860982133,48205667414.38391,493751807.11498356,246.0,70241713.85687
19236911.301699605,14412560.37950898,48710845632.09171,493752768.3193589,247.0,69932052.2517126
19054065.005444326,14259457.982792258,49216106481.659615,493753709.9625853,248.0,69624823.62567681
18873207.0934369,14108630.171156859,49721340033.259094,493754632.4412511,249.0,69319999.91066644
18694340.8151444,13960047.829835739,50226436442.16806,493755536.1451748,250.0,69017553.47681826
18517468.437463842,13813682.224666765,50731286026.07671,493756421.45432675,251.0,68717457.12618962
18342591.517576948,13669505.060048783,51235779817.051765,493757288.7171536,252.0,68419684.18177024
18169710.297162734,13527488.286740573,51739808394.934814,493758138.31050456,253.0,68124208.2085512
17998824.26112696,13387604.241207933,52243262998.45846,493758970.5914056,254.0,67831003.22225063
17829932.03669805,13249825.597167337,52746035346.16303,493759785.91009617,255.0,67540043.6218091
17663031.07407766,13114125.44326671,53248017848.00082,493760584.6183815,256.0,67251304.27989711
17498117.978616714,12980477.203333417,53749103601.88517,493761367.0629464,257.0,66964760.451967195
17335189.119316973,12848854.489851736,54249186299.03048,493762133.5722909,258.0,66680387.608347096
17174239.9005554,12719231.28045539,54748160570.5343,493762884.4745219,259.0,66398161.63863656
17015265.04885697,12591581.849146659,55245921998.91322,493763620.0917144,260.0,66118058.77340464
16858258.652697388,12465880.757192627,55742367211.15841,493764340.7399744,261.0,65840055.5746703
16703214.20230581,12342102.844021434,56237393971.79108,493765046.7295011,262.0,65564128.92638289
16550123.925188042,12220223.453543207,56730900898.31066,493765738.3392489,263.0,65290256.279805884
16398978.880278626,12100218.406878535,57222787583.39041,493766415.8189494,264.0,65018415.62432641
16249771.543275123,11982063.142341295,57712956052.748276,493767079.48098236,265.0,64748584.55662005
16102493.004498687,11865733.656331677,58201309334.46317,493767729.59793955,266.0,64480741.2997284
15957133.902093295,11751206.195590252,58687752031.03511,493768366.43490857,267.0,64214864.37018861
15813684.459377399,11638457.248913571,59172190411.12655,493768990.2494471,268.0,63950932.56940102
15672134.52219555,11527463.538869759,59654532501.30378,493769601.2915567,269.0,63688924.97499684
15532472.98907655,11418202.245378245,60134687175.30762,493770199.8311482,270.0,63428821.15250602
15394686.69691441,11310651.43720462,60612562344.397804,493770786.2101581,271.0,63170601.56457056
15258765.573045786,11204788.11055678,61088073493.45683,493771360.61095023,272.0,62914245.70660274
15124697.788060583,11100590.046021162,61561135708.401566,493771923.2774405,273.0,62659733.87034731
14992471.24544755,10998035.24570246,62031666165.647804,493772474.44931734,274.0,62407046.6083323
14862073.614441037,10897101.926659463,62499584216.41407,493773014.3622197,275.0,62156164.72687108
14733492.362867739,10797768.51434089,62964811471.025505,493773543.24791527,276.0,61907069.27906452
14606714.04221028,10700013.7326477,63427270994.21541,493774061.3317531,277.0,61659741.64295783
14481717.671009442,10603817.456591612,63886879484.23545,493774568.80861014,278.0,61414164.271755874
14358493.709644482,10509158.258107068,64343569876.281685,493775065.9120966,279.0,61170318.52979059
14237027.633539785,10416015.526355918,64797271858.75133,493775552.8547524,280.0,60928186.559883796
14117304.662038477,10324368.854355743,65247917540.41926,493776029.8453383,281.0,60687750.741583794
13999309.777873887,10234198.034144014,65695441518.840614,493776497.0889648,282.0,60448993.685690634
13883027.746641003,10145483.05194225,66139780948.75339,493776954.7872221,283.0,60211898.22878137
13768443.13626793,10058204.083320182,66580875610.48107,493777403.13830864,284.0,59976447.427735314
13655540.777176093,9972342.282646019,67018653531.39868,493777842.29651666,285.0,59742625.13542238
13544304.733155757,9887877.888288122,67453065430.069244,493778272.4690718,286.0,59510414.612381004
13434719.16119949,9804791.732426122,67884057235.36905,493778693.83875704,287.0,59279799.62957999
13326768.118221354,9723064.852755852,68311577129.46906,493779106.58366376,288.0,59050764.18237435
13220435.572312111,9642678.472844737,68735575885.58797,493779510.8780787,289.0,58823292.474195346
13115705.422877109,9563613.9984971,69156006914.5476,493779906.8925519,290.0,58597368.911954544
13012561.520774161,9485853.014119467,69572826311.32848,493780294.79396427,291.0,58372978.10144796
12910987.25701918,9409377.71100513,69985980335.71196,493780674.7501341,292.0,58150105.10709221
12810966.51728697,9334169.948281806,70395432673.1279,493781046.9200555,293.0,57928734.87485852
12712483.102843955,9260211.849158496,70801147028.73634,493781411.4602698,294.0,57708852.59480087
12615520.773938678,9187485.774011932,71203087851.2395,493781768.52468866,295.0,57490443.68221349
12520063.329608213,9115974.257015983,71601222117.34564,493782118.26403403,296.0,57273493.73647706
12426094.627035381,9045660.003288513,71995519355.58649,493782460.82591444,297.0,57057988.53694104
12333598.600905959,8976525.886038244,72385951670.13483,493782796.35490054,298.0,56843914.038806126
12242555.714213576,8908555.270253904,72772484035.88809,493783124.9996056,299.0,56631256.57742763
12152949.667031668,8841731.397732608,73155092559.2431,493783446.89963186,300.0,56420002.47350325
12064764.976051966,8776037.607483642,73533757850.37944,493783762.1904353,301.0,56210138.17145292
11977985.104467478,8711457.505772665,73908459895.91487,493784071.0071101,302.0,56001650.345655724
11892593.555319175,8647974.864992598,74279181010.677,493784373.4823568,303.0,55794525.83360613
11808573.882932814,8585573.621535232,74645905839.92793,493784669.7465735,304.0,55588751.63225894
11725909.704355745,8524237.873662855,75008621361.58879,493784959.92794794,305.0,55384314.89437432
11644583.518503344,8463952.113546763,75367310332.25699,493785244.14597934,306.0,55181203.11560724
11564578.450816285,8404700.884732835,75721960820.12315,493785522.52111995,307.0,54979403.85356921
11485878.663801016,8346468.701628843,76072568401.80063,493785795.1770652,308.0,54778904.66032417
11408467.733252982,8289240.368533481,76419127172.78131,493786062.23183584,309.0,54579693.34033738
11332329.298270166,8233000.852090932,76761633261.08797,493786323.8013877,310.0,54381757.84465995
11257447.069329329,8177735.279822526,77100084811.01959,493786579.9996852,311.0,54185086.26781151
11183804.836362213,8123428.938658369,77434481966.89658,493786830.9387737,312.0,53989666.84466282
