e,ez,w,z,Time
3.4386424674245436e-08,1.4864230325268205e-10,0.0,2.3965316290719244e-05,0.36
3.533666544313178e-08,1.5699567279399504e-10,0.0,2.3964349343211276e-05,0.37
3.628664029413612e-08,1.6557632426559938e-10,0.0,2.3963382207057325e-05,0.38
3.723634930480336e-08,1.743841738056546e-10,0.0,2.396241488234758e-05,0.39
3.818579255265998e-08,1.8341913757391286e-10,0.0,2.3961447369172187e-05,0.4
3.9134970115214033e-08,1.926811317517186e-10,0.0,2.3960479667621277e-05,0.41
4.008388206995513e-08,2.0217007254200893e-10,0.0,2.3959511777784954e-05,0.42
4.1032528494354464e-08,2.118858761693133e-10,0.0,2.39585436997533e-05,0.43
4.19809094658648e-08,2.2182845887975365e-10,0.0,2.395757543361637e-05,0.44
4.292902506192045e-08,2.319977369409794e-10,0.0,2.395660697946419e-05,0.45
4.387687535993741e-08,2.423936266419463e-10,0.0,2.3955638337386774e-05,0.46
4.482446043731318e-08,2.530160442933924e-10,0.0,2.3954669507474096e-05,0.47
4.577178037142682e-08,2.638649062276711e-10,0.0,2.395370048981611e-05,0.48
4.671883523963898e-08,2.749401287987167e-10,0.0,2.395273128450276e-05,0.49
4.766562511929185e-08,2.8624162838204445e-10,0.0,2.395176189162394e-05,0.5
4.8612150087709216e-08,2.977693213747507e-10,0.0,2.3950792311269537e-05,0.51
4.9558410222196433e-08,3.095231241955128e-10,0.0,2.394982254352941e-05,0.52
5.0504405600040416e-08,3.21502953284589e-10,0.0,2.3948852588493385e-05,0.53
5.1450136298509655e-08,3.337087251038185e-10,0.0,2.3947882446251277e-05,0.54
5.239560239485569e-08,3.461403561318081e-10,0.0,2.3946912116892877e-05,0.55
5.3340803966317045e-08,3.587977628508666e-10,0.0,2.3945941600507975e-05,0.56
5.4285741090108034e-08,3.716808617838937e-10,0.0,2.394497089718632e-05,0.57
5.5230413843423735e-08,3.8478956947814185e-10,0.0,2.3944000007017614e-05,0.58
5.6174822303440786e-08,3.9812380250243356e-10,0.0,2.394302893009155e-05,0.59
5.711896654731736e-08,4.116834774471649e-10,0.0,2.3942057666497783e-05,0.6
5.806284665219327e-08,4.2546851092430295e-10,0.0,2.3941086216325952e-05,0.61
5.900646269518985e-08,4.3947881956738835e-10,0.0,2.3940114579665672e-05,0.62
5.994981475341006e-08,4.5371432003153227e-10,0.0,2.3939142756606523e-05,0.63
6.089290290393834e-08,4.681749289934187e-10,0.0,2.393817074723807e-05,0.64
6.183572722384083e-08,4.828605631513045e-10,0.0,2.393719855164985e-05,0.65
6.277828779016514e-08,4.977711392250149e-10,0.0,2.3936226169931378e-05,0.66
6.372058467994055e-08,5.129065739559532e-10,0.0,2.3935253602172144e-05,0.67
6.46626179701778e-08,5.282667841070889e-10,0.0,2.39342808484616e-05,0.68
6.560438773786928e-08,5.438516864629672e-10,0.0,2.3933307908889198e-05,0.69
6.654589405998898e-08,5.596611978297046e-10,0.0,2.393233478354435e-05,0.7
6.748713701349238e-08,5.756952350349891e-10,0.0,2.393136147251643e-05,0.71
6.84281166753166e-08,5.919537149280807e-10,0.0,2.3930387975894822e-05,0.72
6.936883312238032e-08,6.084365543798116e-10,0.0,2.3929414293768854e-05,0.73
7.030928643158375e-08,6.251436702825869e-10,0.0,2.3928440426227845e-05,0.74
7.124947667980872e-08,6.420749795503826e-10,0.0,2.3927466373361082e-05,0.75
7.218940394391867e-08,6.592303991187471e-10,0.0,2.3926492135257836e-05,0.76
7.312906830075853e-08,6.766098459448011e-10,0.0,2.3925517712007347e-05,0.77
7.406846982715485e-08,6.942132370072379e-10,0.0,2.3924543103698824e-05,0.78
7.500760859991574e-08,7.12040489306321e-10,0.0,2.3923568310421466e-05,0.79
7.594648469583091e-08,7.300915198638881e-10,0.0,2.3922593332264436e-05,0.8
7.688509819167163e-08,7.483662457233476e-10,0.0,2.3921618169316876e-05,0.81
7.782344916419072e-08,7.668645839496805e-10,0.0,2.3920642821667906e-05,0.82
7.876153769012261e-08,7.855864516294398e-10,0.0,2.391966728940661e-05,0.83
7.969936384618327e-08,8.0453176587075e-10,0.0,2.391869157262207e-05,0.84
8.063692770907031e-08,8.237004438033088e-10,0.0,2.3917715671403316e-05,0.85
8.157422935546283e-08,8.430924025783856e-10,0.0,2.3916739585839375e-05,0.86
8.251126886202155e-08,8.627075593688206e-10,0.0,2.3915763316019235e-05,0.87
8.344804630538877e-08,8.825458313690276e-10,0.0,2.3914786862031866e-05,0.88
8.438456176218835e-08,9.026071357949916e-10,0.0,2.3913810223966216e-05,0.89
8.532081530902571e-08,9.228913898842704e-10,0.0,2.3912833401911204e-05,0.9
8.625680702248787e-08,9.433985108959926e-10,0.0,2.3911856395955712e-05,0.91
8.71925369791434e-08,9.641284161108603e-10,0.0,2.3910879206188627e-05,0.92
8.812800525554249e-08,9.850810228311473e-10,0.0,2.390990183269879e-05,0.93
8.906321192821684e-08,1.0062562483806982e-09,0.0,2.3908924275575017e-05,0.94
8.99981570736798e-08,1.0276540101049315e-09,0.0,2.3907946534906105e-05,0.95
9.09328407684262e-08,1.0492742253708364e-09,0.0,2.3906968610780824e-05,0.96
9.186726308893254e-08,1.071116811566975e-09,0.0,2.3905990503287926e-05,0.97
9.280142411165684e-08,1.0931816861034805e-09,0.0,2.390501221251613e-05,0.98
9.373532391303868e-08,1.11546876641206e-09,0.0,2.3904033738554133e-05,0.99
9.466896256949927e-08,1.1379779699459897e-09,0.0,2.3903055081490606e-05,1.0
9.560234015744136e-08,1.1607092141801208e-09,0.0,2.3902076241414192e-05,1.01
9.653545675324926e-08,1.183662416610875e-09,0.0,2.3901097218413526e-05,1.02
9.746831243328888e-08,1.2068374947562469e-09,0.0,2.3900118012577193e-05,1.03
9.840090727390771e-08,1.2302343661558016e-09,0.0,2.3899138623993773e-05,1.04
9.933324135143478e-08,1.2538529483706782e-09,0.0,2.3898159052751818e-05,1.05
1.0026531474218074e-07,1.2776931589835867e-09,0.0,2.3897179298939846e-05,1.06
1.0119712752243776e-07,1.3017549155988093e-09,0.0,2.389619936264636e-05,1.07
1.0212867976847964e-07,1.3260381358422003e-09,0.0,2.389521924395983e-05,1.08
1.0305997155656171e-07,1.3505427373611867e-09,0.0,2.389423894296871e-05,1.09
1.0399100296292091e-07,1.3752686378247665e-09,0.0,2.3893258459761426e-05,1.1
1.0492177406377572e-07,1.4002157549235104e-09,0.0,2.3892277794426372e-05,1.11
1.0585228493532623e-07,1.4253840063695611e-09,0.0,2.3891296947051928e-05,1.12
1.0678253565375405e-07,1.4507733098966326e-09,0.0,2.3890315917726447e-05,1.13
1.0771252629522245e-07,1.4763835832600125e-09,0.0,2.388933470653825e-05,1.14
1.086422569358762e-07,1.5022147442365597e-09,0.0,2.3888353313575644e-05,1.15
1.0957172765184165e-07,1.5282667106247048e-09,0.0,2.3887371738926903e-05,1.16
1.105009385192268e-07,1.5545394002444504e-09,0.0,2.3886389982680282e-05,1.17
1.1142988961412109e-07,1.5810327309373716e-09,0.0,2.3885408044923997e-05,1.18
1.1235858101259567e-07,1.6077466205666158e-09,0.0,2.3884425925746265e-05,1.19
1.132870127907032e-07,1.6346809870169016e-09,0.0,2.3883443625235256e-05,1.2
1.1421518502447788e-07,1.6618357481945203e-09,0.0,2.3882461143479128e-05,1.21
1.1514309778993556e-07,1.6892108220273352e-09,0.0,2.3881478480566004e-05,1.22
1.1607075116307363e-07,1.7168061264647813e-09,0.0,2.3880495636583992e-05,1.23
1.1699814521987105e-07,1.7446215794778664e-09,0.0,2.387951261162117e-05,1.24
1.1792528003628834e-07,1.7726570990591696e-09,0.0,2.3878529405765585e-05,1.25
1.1885215568826762e-07,1.8009126032228422e-09,0.0,2.387754601910528e-05,1.26
1.197787722517326e-07,1.829388010004608e-09,0.0,2.387656245172825e-05,1.27
1.207051298025885e-07,1.8580832374617624e-09,0.0,2.3875578703722483e-05,1.28
1.2163122841672223e-07,1.886998203673173e-09,0.0,2.3874594775175924e-05,1.29
1.225570681700021e-07,1.916132826739279e-09,0.0,2.3873610666176514e-05,1.3
1.2348264913827815e-07,1.945487024782093e-09,0.0,2.387262637681215e-05,1.31
1.2440797139738192e-07,1.975060715945198e-09,0.0,2.387164190717072e-05,1.32
1.2533303502312656e-07,2.004853818393751e-09,0.0,2.387065725734008e-05,1.33
1.2625784009130678e-07,2.034866250314479e-09,0.0,2.386967242740806e-05,1.34
1.2718238667769884e-07,2.0650979299156813e-09,0.0,2.3868687417462463e-05,1.35
1.281066748580606e-07,2.0955487754272312e-09,0.0,2.386770222759108e-05,1.36
1.290307047081315e-07,2.126218705100572e-09,0.0,2.386671685788166e-05,1.37
1.2995447630363252e-07,2.15710763720872e-09,0.0,2.3865731308421944e-05,1.38
1.3087798972026626e-07,2.1882154900462635e-09,0.0,2.3864745579299638e-05,1.39
1.318012450337169e-07,2.2195421819293634e-09,0.0,2.386375967060242e-05,1.4
1.327242423196501e-07,2.2510876311957507e-09,0.0,2.3862773582417955e-05,1.41
1.3364698165371326e-07,2.282851756204731e-09,0.0,2.386178731483387e-05,1.42
1.3456946311153513e-07,2.3148344753371796e-09,0.0,2.3860800867937785e-05,1.43
1.3549168676872624e-07,2.347035706995546e-09,0.0,2.3859814241817278e-05,1.44
1.3641365270087863e-07,2.37945536960385e-09,0.0,2.3858827436559907e-05,1.45
1.3733536098356586e-07,2.412093381607685e-09,0.0,2.3857840452253215e-05,1.46
1.3825681169234307e-07,2.4449496614742146e-09,0.0,2.3856853288984704e-05,1.47
1.391780049027471e-07,2.478024127692176e-09,0.0,2.3855865946841862e-05,1.48
1.4009894069029618e-07,2.5113166987718785e-09,0.0,2.3854878425912155e-05,1.49
1.410196191304903e-07,2.5448272932452023e-09,0.0,2.3853890726283015e-05,1.5
1.4194004029881083e-07,2.5785558296656003e-09,0.0,2.3852902848041854e-05,1.51
1.4286020427072088e-07,2.6125022266080975e-09,0.0,2.3851914791276058e-05,1.52
1.4378011112166505e-07,2.646666402669291e-09,0.0,2.385092655607299e-05,1.53
1.446997609270695e-07,2.68104827646735e-09,0.0,2.3849938142519992e-05,1.54
1.456191537623581e-07,2.7156477665979406e-09,0.0,2.3848949550704443e-05,1.55
1.4653828970299563e-07,2.7504647915146033e-09,0.0,2.384796078071397e-05,1.56
1.474571688243652e-07,2.7854992698665077e-09,0.0,2.38469718326359e-05,1.57
1.4837579120182242e-07,2.8207511203497616e-09,0.0,2.3845982706557472e-05,1.58
1.4929415691070438e-07,2.856220261681967e-09,0.0,2.3844993402565927e-05,1.59
1.502122660263298e-07,2.891906612602212e-09,0.0,2.3844003920748462e-05,1.6
1.5113011862399904e-07,2.9278100918710766e-09,0.0,2.3843014261192256e-05,1.61
1.5204771477899403e-07,2.9639306182706304e-09,0.0,2.3842024423984458e-05,1.62
1.529650545665783e-07,3.000268110604435e-09,0.0,2.384103440921221e-05,1.63
1.5388213806199701e-07,3.036822487697541e-09,0.0,2.3840044216962603e-05,1.64
1.5479896534047698e-07,3.073593668396487e-09,0.0,2.3839053847322726e-05,1.65
1.557155364772264e-07,3.1105815715693076e-09,0.0,2.383806330037963e-05,1.66
1.5663185154743545e-07,3.1477861161055224e-09,0.0,2.383707257622035e-05,1.67
1.5754791062627546e-07,3.185207220916143e-09,0.0,2.383608167493189e-05,1.68
1.584637137888998e-07,3.222844804933672e-09,0.0,2.383509059660123e-05,1.69
1.593792611104431e-07,3.260698787112102e-09,0.0,2.3834099341315328e-05,1.7
1.6029455266602183e-07,3.298769086426914e-09,0.0,2.3833107909161123e-05,1.71
1.6120958853073392e-07,3.3370556218750815e-09,0.0,2.3832116300225514e-05,1.72
1.62124368779659e-07,3.3755583124750683e-09,0.0,2.3831124514595387e-05,1.73
1.630388934878582e-07,3.4142770772668275e-09,0.0,2.3830132552357603e-05,1.74
1.6395316273037437e-07,3.453211835311802e-09,0.0,2.3829140413599e-05,1.75
1.6486717658223186e-07,3.492362505692927e-09,0.0,2.3828148098406378e-05,1.76
1.6578093511843667e-07,3.5317290075146243e-09,0.0,2.382715560686653e-05,1.77
1.6669443841397645e-07,3.571311259902811e-09,0.0,2.3826162939066213e-05,1.78
1.6760768654382038e-07,3.6111091820048898e-09,0.0,2.382517009509217e-05,1.79
1.6852067958291924e-07,3.6511226929897557e-09,0.0,2.3824177075031095e-05,1.8
1.6943341760620553e-07,3.6913517120477953e-09,0.0,2.3823183878969697e-05,1.81
1.7034590068859323e-07,3.731796158390883e-09,0.0,2.3822190506994623e-05,1.82
1.7125812890497791e-07,3.772455951252385e-09,0.0,2.3821196959192514e-05,1.83
1.721701023302369e-07,3.813331009887156e-09,0.0,2.3820203235649984e-05,1.84
1.7308182103922893e-07,3.854421253571544e-09,0.0,2.3819209336453625e-05,1.85
1.7399328510679454e-07,3.895726601603384e-09,0.0,2.3818215261689995e-05,1.86
1.7490449460775568e-07,3.937246973302005e-09,0.0,2.3817221011445635e-05,1.87
1.7581544961691602e-07,3.97898228800822e-09,0.0,2.3816226585807063e-05,1.88
1.7672615020906084e-07,4.020932465084342e-09,0.0,2.3815231984860766e-05,1.89
1.77636596458957e-07,4.063097423914165e-09,0.0,2.3814237208693212e-05,1.9
1.7854678844135294e-07,4.105477083902976e-09,0.0,2.381324225739084e-05,1.91
1.7945672623097871e-07,4.148071364477555e-09,0.0,2.3812247131040063e-05,1.92
1.80366409902546e-07,4.19088018508617e-09,0.0,2.3811251829727278e-05,1.93
1.8127583953074803e-07,4.233903465198581e-09,0.0,2.381025635353885e-05,1.94
1.8218501519025973e-07,4.277141124306034e-09,0.0,2.3809260702561124e-05,1.95
1.8309393695573755e-07,4.32059308192127e-09,0.0,2.3808264876880415e-05,1.96
1.840026049018196e-07,4.364259257578519e-09,0.0,2.380726887658302e-05,1.97
1.8491101910312552e-07,4.408139570833499e-09,0.0,2.3806272701755202e-05,1.98
1.858191796342566e-07,4.45223394126342e-09,0.0,2.380527635248321e-05,1.99
1.8672708656979578e-07,4.496542288466985e-09,0.0,2.3804279828853266e-05,2.0
1.876347399843075e-07,4.54106453206438e-09,0.0,2.3803283130951558e-05,2.01
1.8854213995233796e-07,4.58580059169729e-09,0.0,2.3802286258864262e-05,2.02
1.894492865484148e-07,4.630750387028884e-09,0.0,2.3801289212677524e-05,2.03
1.903561798470473e-07,4.675913837743826e-09,0.0,2.380029199247746e-05,2.04
1.9126281992272637e-07,4.721290863548263e-09,0.0,2.3799294598350174e-05,2.05
1.9216920684992465e-07,4.76688138416984e-09,0.0,2.379829703038173e-05,2.06
1.9307534070309612e-07,4.812685319357686e-09,0.0,2.3797299288658184e-05,2.07
1.939812215566766e-07,4.85870258888243e-09,0.0,2.3796301373265557e-05,2.08
1.9488684948508335e-07,4.904933112536176e-09,0.0,2.379530328428984e-05,2.09
1.957922245627154e-07,4.951376810132535e-09,0.0,2.3794305021817018e-05,2.1
1.966973468639532e-07,4.998033601506595e-09,0.0,2.379330658593303e-05,2.11
1.976022164631589e-07,5.04490340651494e-09,0.0,2.379230797672381e-05,2.12
1.9850683343467626e-07,5.091986145035645e-09,0.0,2.3791309194275248e-05,2.13
1.994111978528307e-07,5.139281736968276e-09,0.0,2.379031023867323e-05,2.14
2.0031530979192902e-07,5.186790102233881e-09,0.0,2.37893111100036e-05,2.15
2.0121916932625997e-07,5.234511160775012e-09,0.0,2.378831180835219e-05,2.16
2.0212277653009354e-07,5.2824448325556965e-09,0.0,2.378731233380479e-05,2.17
2.0302613147768164e-07,5.330591037561467e-09,0.0,2.3786312686447192e-05,2.18
2.0392923424325751e-07,5.3789496957993306e-09,0.0,2.378531286636514e-05,2.19
2.0483208490103625e-07,5.4275207272978016e-09,0.0,2.3784312873644366e-05,2.2
2.057346835252143e-07,5.4763040521068686e-09,0.0,2.3783312708370566e-05,2.21
2.0663703018996998e-07,5.525299590298023e-09,0.0,2.378231237062943e-05,2.22
2.07539124969463e-07,5.5745072619642365e-09,0.0,2.3781311860506604e-05,2.23
2.084409679378348e-07,5.62392698721998e-09,0.0,2.378031117808772e-05,2.24
2.093425591692083e-07,5.673558686201207e-09,0.0,2.3779310323458388e-05,2.25
2.1024389873768813e-07,5.723402279065365e-09,0.0,2.3778309296704176e-05,2.26
2.1114498671736055e-07,5.773457685991397e-09,0.0,2.377730809791065e-05,2.27
2.1204582318229328e-07,5.823724827179722e-09,0.0,2.3776306727163343e-05,2.28
2.1294640820653583e-07,5.874203622852265e-09,0.0,2.3775305184547754e-05,2.29
2.1384674186411915e-07,5.924893993252431e-09,0.0,2.3774303470149373e-05,2.3
2.1474682422905587e-07,5.975795858645119e-09,0.0,2.377330158405365e-05,2.31
2.1564665537534017e-07,6.0269091393167175e-09,0.0,2.3772299526346023e-05,2.32
2.16546235376948e-07,6.078233755575107e-09,0.0,2.37712972971119e-05,2.33
2.1744556430783666e-07,6.129769627749653e-09,0.0,2.377029489643666e-05,2.34
2.1834464224194526e-07,6.181516676191222e-09,0.0,2.3769292324405668e-05,2.35
2.192434692531944e-07,6.233474821272156e-09,0.0,2.3768289581104257e-05,2.36
2.2014204541548638e-07,6.2856439833863006e-09,0.0,2.376728666661774e-05,2.37
2.2104037080270498e-07,6.338024082948983e-09,0.0,2.3766283581031395e-05,2.38
2.219384454887157e-07,6.3906150403970275e-09,0.0,2.3765280324430488e-05,2.39
2.2283626954736558e-07,6.44341677618874e-09,0.0,2.3764276896900253e-05,2.4
2.237338430524833e-07,6.496429210803927e-09,0.0,2.3763273298525906e-05,2.41
2.2463116607787906e-07,6.549652264743874e-09,0.0,2.376226952939263e-05,2.42
2.255282386973448e-07,6.603085858531369e-09,0.0,2.3761265589585587e-05,2.43
2.2642506098465393e-07,6.6567299127106786e-09,0.0,2.376026147918992e-05,2.44
2.2732163301356163e-07,6.7105843478475705e-09,0.0,2.375925719829074e-05,2.45
2.2821795485780446e-07,6.764649084529291e-09,0.0,2.3758252746973136e-05,2.46
2.291140265911008e-07,6.818924043364588e-09,0.0,2.3757248125322165e-05,2.47
2.3000984828715043e-07,6.873409144983691e-09,0.0,2.375624333342288e-05,2.48
2.3090542001963497e-07,6.9281043100383275e-09,0.0,2.3755238371360284e-05,2.49
2.318007418622174e-07,6.983009459201706e-09,0.0,2.3754233239219378e-05,2.5
2.3269581388854248e-07,7.0381245131685324e-09,0.0,2.3753227937085118e-05,2.51
2.3359063617223657e-07,7.093449392655004e-09,0.0,2.3752222465042446e-05,2.52
2.3448520878690744e-07,7.148984018398799e-09,0.0,2.375121682317629e-05,2.53
2.3537953180614473e-07,7.204728311159098e-09,0.0,2.3750211011571532e-05,2.54
2.3627360530355865e-07,7.260682191631889e-09,0.0,2.3749205030313175e-05,2.55
2.3716742935288646e-07,7.316845580220155e-09,0.0,2.374819887948667e-05,2.56
2.380610040276924e-07,7.37321839768277e-09,0.0,2.374719255917694e-05,2.57
2.389543294014999e-07,7.429800564848835e-09,0.0,2.3746186069468802e-05,2.58
2.398474055478139e-07,7.486592002568776e-09,0.0,2.3745179410447043e-05,2.59
2.407402325401211e-07,7.543592631714362e-09,0.0,2.3744172582196447e-05,2.6
2.4163281045188986e-07,7.60080237317868e-09,0.0,2.3743165584801753e-05,2.61
2.425251393565704e-07,7.658221147876172e-09,0.0,2.3742158418347675e-05,2.62
2.434172193275942e-07,7.715848876742592e-09,0.0,2.3741151082918916e-05,2.63
2.4430905043837485e-07,7.773685480735041e-09,0.0,2.3740143578600154e-05,2.64
2.452006327623073e-07,7.831730880831943e-09,0.0,2.3739135905476025e-05,2.65
2.4609196637276844e-07,7.889984998033067e-09,0.0,2.3738128063631164e-05,2.66
2.4698305134311654e-07,7.948447753359502e-09,0.0,2.373712005315016e-05,2.67
2.4787388774669186e-07,8.007119067853684e-09,0.0,2.37361118741176e-05,2.68
2.487644756568161e-07,8.065998862579367e-09,0.0,2.3735103526618023e-05,2.69
2.4965481514679273e-07,8.12508705862165e-09,0.0,2.3734095010735963e-05,2.7
2.505449062899069e-07,8.184383577086959e-09,0.0,2.3733086326555914e-05,2.71
2.5143474915942557e-07,8.243888339103058e-09,0.0,2.3732077474162366e-05,2.72
2.523243438285969e-07,8.303601265819037e-09,0.0,2.3731068453639763e-05,2.73
2.532136903706514e-07,8.36352227840533e-09,0.0,2.3730059265072536e-05,2.74
2.5410278885880076e-07,8.423651298053688e-09,0.0,2.372904990854509e-05,2.75
2.549916393662385e-07,8.483988245977211e-09,0.0,2.3728040384141805e-05,2.76
2.558802419661399e-07,8.544533043410329e-09,0.0,2.372703069194704e-05,2.77
2.567685967316617e-07,8.605285611608793e-09,0.0,2.372602083204512e-05,2.78
2.576567037359426e-07,8.666245871849704e-09,0.0,2.3725010804520358e-05,2.79
2.585445630521028e-07,8.727413745431483e-09,0.0,2.3724000609457033e-05,2.8
2.5943217475324415e-07,8.788789153673895e-09,0.0,2.3722990246939407e-05,2.81
2.6031953891245026e-07,8.850372017918023e-09,0.0,2.372197971705171e-05,2.82
2.612066556027864e-07,8.912162259526302e-09,0.0,2.3720969019878156e-05,2.83
2.6209352489729944e-07,8.974159799882485e-09,0.0,2.371995815550293e-05,2.84
2.629801468690181e-07,9.036364560391667e-09,0.0,2.3718947124010193e-05,2.85
2.638665215909526e-07,9.09877646248027e-09,0.0,2.3717935925484086e-05,2.86
2.6475264913609497e-07,9.161395427596053e-09,0.0,2.371692456000871e-05,2.87
2.6563852957741876e-07,9.224221377208108e-09,0.0,2.3715913027668162e-05,2.88
2.6652416298787943e-07,9.287254232806862e-09,0.0,2.3714901328546504e-05,2.89
2.674095494404138e-07,9.350493915904066e-09,0.0,2.3713889462727773e-05,2.9
2.682946890079407e-07,9.413940348032815e-09,0.0,2.371287743029599e-05,2.91
2.691795817633605e-07,9.47759345074753e-09,0.0,2.371186523133514e-05,2.92
2.70064227779555e-07,9.541453145623975e-09,0.0,2.3710852865929194e-05,2.93
2.7094862712938817e-07,9.60551935425923e-09,0.0,2.370984033416209e-05,2.94
2.718327798857053e-07,9.669791998271725e-09,0.0,2.370882763611775e-05,2.95
2.7271668612133325e-07,9.734270999301213e-09,0.0,2.3707814771880063e-05,2.96
2.7360034590908107e-07,9.798956279008786e-09,0.0,2.37068017415329e-05,2.97
2.74483759321739e-07,9.86384775907686e-09,0.0,2.3705788545160105e-05,2.98
2.7536692643207916e-07,9.928945361209201e-09,0.0,2.37047751828455e-05,2.99
2.762498473128553e-07,9.994249007130889e-09,0.0,2.3703761654672878e-05,3.0
2.771325220368029e-07,1.0059758618588348e-08,0.0,2.3702747960726017e-05,3.01
2.7801495067663903e-07,1.0125474117349338e-08,0.0,2.3701734101088663e-05,3.02
2.7889713330506253e-07,1.0191395425202941e-08,0.0,2.370072007584453e-05,3.03
2.7977906999475384e-07,1.025752246395958e-08,0.0,2.3699705885077327e-05,3.04
2.806607608183751e-07,1.0323855155451009e-08,0.0,2.3698691528870722e-05,3.05
2.815422058485702e-07,1.0390393421530322e-08,0.0,2.3697677007308365e-05,3.06
2.824234051579645e-07,1.0457137184071929e-08,0.0,2.369666232047389e-05,3.07
2.833043588191654e-07,1.0524086364971593e-08,0.0,2.3695647468450886e-05,3.08
2.841850669047615e-07,1.0591240886146392e-08,0.0,2.3694632451322945e-05,3.09
2.850655294873236e-07,1.0658600669534754e-08,0.0,2.3693617269173606e-05,3.1
2.859457466394037e-07,1.0726165637096428e-08,0.0,2.3692601922086402e-05,3.11
2.868257184335358e-07,1.0793935710812503e-08,0.0,2.3691586410144836e-05,3.12
2.8770544494223534e-07,1.0861910812685393e-08,0.0,2.3690570733432393e-05,3.13
2.8858492623799967e-07,1.0930090864738859e-08,0.0,2.3689554892032523e-05,3.14
2.8946416239330763e-07,1.099847578901798e-08,0.0,2.3688538886028653e-05,3.15
2.9034315348061993e-07,1.1067065507589179e-08,0.0,2.36875227155042e-05,3.16
2.912218995723787e-07,1.1135859942540201e-08,0.0,2.368650638054254e-05,3.17
2.92100400741008e-07,1.1204859015980142e-08,0.0,2.3685489881227032e-05,3.18
2.929786570589134e-07,1.1274062650039408e-08,0.0,2.368447321764101e-05,3.19
2.938566685984822e-07,1.1343470766869764e-08,0.0,2.3683456389867776e-05,3.2
2.947344354320833e-07,1.1413083288644282e-08,0.0,2.3682439397990626e-05,3.21
2.9561195763206746e-07,1.1482900137557389e-08,0.0,2.3681422242092814e-05,3.22
2.9648923527076695e-07,1.1552921235824827e-08,0.0,2.3680404922257583e-05,3.23
2.973662684204959e-07,1.1623146505683687e-08,0.0,2.3679387438568134e-05,3.24
2.982430571535498e-07,1.1693575869392381e-08,0.0,2.3678369791107663e-05,3.25
2.9911960154220604e-07,1.1764209249230661e-08,0.0,2.367735197995933e-05,3.26
2.999959016587238e-07,1.1835046567499615e-08,0.0,2.3676334005206276e-05,3.27
3.008719575753437e-07,1.1906087746521652e-08,0.0,2.367531586693161e-05,3.28
