data_set_T,data_set_V,data_set_W
6.6999998,-59.515953,-91.609619
6.8000002,-59.489342,-92.659622
6.9000001,-59.462421,-93.699715
7.0,-59.435196,-94.729897
7.0999999,-59.407677,-95.75016
7.1999998,-59.379864,-96.76049
7.3000002,-59.351765,-97.760895
7.4000001,-59.323383,-98.751366
7.5,-59.29472,-99.731903
7.5999999,-59.265781,-100.70249
7.6999998,-59.236576,-101.66314
7.8000002,-59.207104,-102.61385
7.9000001,-59.177372,-103.5546
8.0,-59.147385,-104.48542
8.1000004,-59.117146,-105.40629
8.1999998,-59.086658,-106.31722
8.3000002,-59.055931,-107.21822
8.3999996,-59.024963,-108.10929
8.5,-58.993763,-108.99043
8.6000004,-58.962334,-109.86164
8.6999998,-58.930676,-110.72294
8.8000002,-58.898804,-111.57433
8.8999996,-58.866711,-112.41582
9.0,-58.834408,-113.24741
9.1000004,-58.801899,-114.06912
9.1999998,-58.769184,-114.88096
9.3000002,-58.736275,-115.68294
9.3999996,-58.703167,-116.47506
9.5,-58.669872,-117.25735
9.6000004,-58.636391,-118.0298
9.6999998,-58.60273,-118.79245
9.8000002,-58.56889,-119.5453
9.8999996,-58.534874,-120.28837
10.0,-58.50069,-121.02167
10.1,-58.466347,-121.74522
10.2,-58.431839,-122.45904
10.3,-58.397171,-123.16314
10.4,-58.362358,-123.85754
10.5,-58.327393,-124.54227
10.6,-58.292282,-125.21734
10.7,-58.257034,-125.88277
10.8,-58.221645,-126.53858
10.9,-58.186131,-127.1848
11.0,-58.150482,-127.82145
11.1,-58.114712,-128.44855
11.2,-58.078823,-129.06612
11.3,-58.042816,-129.67418
11.4,-58.006695,-130.27278
11.5,-57.970467,-130.86192
11.6,-57.934135,-131.44164
11.7,-57.897701,-132.01195
11.8,-57.861168,-132.57289
11.9,-57.824547,-133.12448
12.0,-57.78783,-133.66676
12.1,-57.75103,-134.19975
12.2,-57.714149,-134.7235
12.3,-57.677189,-135.23799
12.4,-57.640152,-135.7433
12.5,-57.603046,-136.23944
12.6,-57.565872,-136.72644
12.7,-57.528633,-137.20433
12.8,-57.491333,-137.67316
12.9,-57.453979,-138.13295
13.0,-57.416569,-138.58372
13.1,-57.379108,-139.02553
13.2,-57.341602,-139.45839
13.3,-57.304054,-139.88235
13.4,-57.266464,-140.29745
13.5,-57.22884,-140.7037
13.6,-57.191185,-141.10118
13.7,-57.153496,-141.48988
13.8,-57.115784,-141.86986
13.9,-57.078045,-142.24115
14.0,-57.040291,-142.60381
14.1,-57.002518,-142.95784
14.2,-56.964733,-143.3033
14.3,-56.926937,-143.64024
14.4,-56.889133,-143.96867
14.5,-56.851326,-144.28867
14.6,-56.813519,-144.60023
14.7,-56.775711,-144.90343
14.8,-56.737911,-145.1983
14.9,-56.700119,-145.48488
15.0,-56.662338,-145.7632
15.1,-56.624573,-146.03333
15.2,-56.586823,-146.29527
15.3,-56.549095,-146.5491
15.4,-56.511387,-146.79486
15.5,-56.473709,-147.03258
15.6,-56.436054,-147.2623
15.7,-56.398434,-147.48407
15.8,-56.360847,-147.69794
15.9,-56.323299,-147.90395
16.0,-56.285786,-148.10213
16.1,-56.248318,-148.29256
16.200001,-56.210896,-148.47523
16.299999,-56.173519,-148.65025
16.4,-56.136192,-148.81763
16.5,-56.098919,-148.97742
16.6,-56.061699,-149.12965
16.700001,-56.024536,-149.2744
16.799999,-55.987434,-149.4117
16.9,-55.950394,-149.54158
17.0,-55.913418,-149.66412
17.1,-55.876507,-149.77934
17.200001,-55.839668,-149.88731
17.299999,-55.802902,-149.98807
17.4,-55.766205,-150.08165
17.5,-55.729588,-150.16811
17.6,-55.693047,-150.2475
17.700001,-55.656586,-150.31989
17.799999,-55.620209,-150.38528
17.9,-55.583912,-150.44376
18.0,-55.547707,-150.49535
18.1,-55.511585,-150.54012
18.200001,-55.475555,-150.57811
18.299999,-55.439621,-150.60938
18.4,-55.403778,-150.63396
18.5,-55.368031,-150.65192
18.6,-55.332382,-150.66328
18.700001,-55.296833,-150.66812
18.799999,-55.261383,-150.66649
18.9,-55.22604,-150.65842
19.0,-55.1908,-150.64395
19.1,-55.155663,-150.62317
19.200001,-55.120636,-150.59608
19.299999,-55.08572,-150.56279
19.4,-55.050915,-150.5233
19.5,-55.01622,-150.47768
19.6,-54.981644,-150.42596
19.700001,-54.947178,-150.36823
19.799999,-54.91283,-150.3045
19.9,-54.878601,-150.23485
20.0,-54.84449,-150.15932
20.1,-54.810501,-150.07794
20.200001,-54.776634,-149.9908
20.299999,-54.742889,-149.8979
20.4,-54.709267,-149.79935
20.5,-54.67577,-149.69514
20.6,-54.642399,-149.58536
20.700001,-54.609158,-149.47005
20.799999,-54.576042,-149.34924
20.9,-54.543053,-149.22301
21.0,-54.510197,-149.09138
21.1,-54.47747,-148.95444
21.200001,-54.444878,-148.81219
21.299999,-54.412415,-148.66472
21.4,-54.380085,-148.51205
21.5,-54.347889,-148.35426
21.6,-54.315826,-148.19138
21.700001,-54.283897,-148.02345
21.799999,-54.252106,-147.85052
21.9,-54.220448,-147.67267
22.0,-54.188923,-147.48991
22.1,-54.157539,-147.30232
22.200001,-54.126289,-147.10992
22.299999,-54.095177,-146.91278
22.4,-54.064201,-146.71092
22.5,-54.033367,-146.50443
22.6,-54.002666,-146.29332
22.700001,-53.972103,-146.07765
22.799999,-53.941677,-145.85747
22.9,-53.911388,-145.63281
23.0,-53.881237,-145.40375
23.1,-53.851223,-145.1703
23.200001,-53.821346,-144.93254
23.299999,-53.791607,-144.69049
23.4,-53.762005,-144.4442
23.5,-53.732536,-144.19373
23.6,-53.703205,-143.9391
23.700001,-53.674011,-143.68037
23.799999,-53.644947,-143.41759
23.9,-53.616024,-143.15079
24.0,-53.587231,-142.88002
24.1,-53.558571,-142.60533
24.200001,-53.530041,-142.32675
24.299999,-53.501648,-142.04434
24.4,-53.473381,-141.75812
24.5,-53.445248,-141.46815
24.6,-53.41724,-141.17447
24.700001,-53.389362,-140.87711
24.799999,-53.36161,-140.57613
24.9,-53.333984,-140.27155
25.0,-53.306484,-139.96341
25.1,-53.279106,-139.65176
25.200001,-53.25185,-139.33664
25.299999,-53.224716,-139.0181
25.4,-53.197701,-138.69615
25.5,-53.170803,-138.37083
25.6,-53.144024,-138.04222
25.700001,-53.117355,-137.71031
25.799999,-53.090805,-137.37515
25.9,-53.064362,-137.03679
26.0,-53.038029,-136.69525
26.1,-53.011803,-136.35057
26.200001,-52.985683,-136.00279
26.299999,-52.959667,-135.65195
26.4,-52.93375,-135.29805
26.5,-52.907936,-134.94115
26.6,-52.882217,-134.58128
26.700001,-52.85659,-134.21848
26.799999,-52.831059,-133.85277
26.9,-52.805614,-133.48416
27.0,-52.780258,-133.11272
27.1,-52.754986,-132.73845
27.200001,-52.729794,-132.3614
27.299999,-52.704681,-131.98158
27.4,-52.679642,-131.59903
27.5,-52.654675,-131.21378
27.6,-52.62978,-130.82582
27.700001,-52.604946,-130.43523
27.799999,-52.580177,-130.04199
27.9,-52.555466,-129.64615
28.0,-52.530811,-129.24773
28.1,-52.506203,-128.84673
28.200001,-52.481644,-128.44319
28.299999,-52.457127,-128.03714
28.4,-52.432652,-127.62859
28.5,-52.408207,-127.21754
28.6,-52.383789,-126.80404
28.700001,-52.359398,-126.38808
28.799999,-52.335026,-125.9697
28.9,-52.310669,-125.54889
29.0,-52.286324,-125.12569
29.1,-52.261978,-124.70009
29.200001,-52.237629,-124.27211
29.299999,-52.213272,-123.84177
29.4,-52.1889,-123.40906
29.5,-52.164509,-122.97401
29.6,-52.140083,-122.53661
29.700001,-52.115627,-122.09688
29.799999,-52.091125,-121.65481
29.9,-52.066574,-121.21041
30.0,-52.041965,-120.76369
30.1,-52.017284,-120.31463
30.200001,-51.992527,-119.86324
30.299999,-51.967686,-119.40953
30.4,-51.942749,-118.95348
30.5,-51.917702,-118.49507
30.6,-51.89254,-118.03432
30.700001,-51.867245,-117.57121
30.799999,-51.841808,-117.10571
30.9,-51.816219,-116.63783
31.0,-51.790462,-116.16753
31.1,-51.764523,-115.6948
31.200001,-51.73838,-115.21963
31.299999,-51.712029,-114.74198
31.4,-51.68544,-114.26183
31.5,-51.658604,-113.77914
31.6,-51.631496,-113.29388
31.700001,-51.604099,-112.80601
31.799999,-51.576385,-112.3155
31.9,-51.548332,-111.82229
32.0,-51.519917,-111.32634
32.099998,-51.491108,-110.82759
32.200001,-51.461872,-110.32598
32.299999,-51.432186,-109.82146
32.400002,-51.402004,-109.31393
32.5,-51.371292,-108.80334
32.599998,-51.340012,-108.2896
32.700001,-51.308109,-107.77261
32.799999,-51.275539,-107.25229
32.900002,-51.242245,-106.72851
33.0,-51.208164,-106.20116
33.099998,-51.173233,-105.67011
33.200001,-51.137375,-105.13523
33.299999,-51.100506,-104.59636
33.400002,-51.062531,-104.05332
33.5,-51.02335,-103.50594
33.599998,-50.982841,-102.95402
33.700001,-50.940876,-102.39732
33.799999,-50.897293,-101.83559
33.900002,-50.851925,-101.26856
34.0,-50.804565,-100.69593
34.099998,-50.754982,-100.11734
34.200001,-50.702896,-99.53241
34.299999,-50.647984,-98.940704
34.400002,-50.589851,-98.341713
34.5,-50.52803,-97.734879
34.599998,-50.461948,-97.11953
34.700001,-50.390888,-96.494911
34.799999,-50.313953,-95.860123
34.900002,-50.229988,-95.214104
35.0,-50.137478,-94.55555
35.099998,-50.034374,-93.882889
35.200001,-49.917831,-93.194145
35.299999,-49.783718,-92.486786
35.400002,-49.625729,-91.757446
35.5,-49.433563,-91.001488
35.599998,-49.188744,-90.21212
35.700001,-48.853138,-89.378532
35.799999,-48.327702,-88.481125
35.900002,-47.201492,-87.474571
36.0,-34.882999,-86.160332
36.099998,-60.487038,351.60208
36.200001,-60.622387,348.23578
36.299999,-60.756058,344.86115
36.400002,-60.888042,341.47852
36.5,-61.018353,338.08826
36.599998,-61.146984,334.69067
36.700001,-61.273945,331.28613
36.799999,-61.399235,327.87497
36.900002,-61.522854,324.45749
37.0,-61.64481,321.03409
37.099998,-61.765102,317.60504
37.200001,-61.883736,314.17068
37.299999,-62.000713,310.73138
37.400002,-62.116039,307.28741
37.5,-62.229717,303.83914
37.599998,-62.341751,300.38684
37.700001,-62.452145,296.93088
37.799999,-62.560898,293.47153
37.900002,-62.668018,290.00912
38.0,-62.77351,286.54401
38.099998,-62.877373,283.07642
38.200001,-62.979618,279.60672
38.299999,-63.080246,276.13519
38.400002,-63.179264,272.66214
38.5,-63.276672,269.1879
38.599998,-63.372475,265.71271
38.700001,-63.466682,262.23688
38.799999,-63.559296,258.76074
38.900002,-63.650322,255.28456
39.0,-63.739761,251.80862
39.099998,-63.827625,248.33322
39.200001,-63.913914,244.85863
39.299999,-63.998638,241.38513
39.400002,-64.081795,237.91302
39.5,-64.163399,234.44258
39.599998,-64.243454,230.97404
39.700001,-64.321953,227.50774
39.799999,-64.398918,224.04388
39.900002,-64.47435,220.58278
40.0,-64.548256,217.12469
40.099998,-64.620636,213.66986
40.200001,-64.691498,210.21857
40.299999,-64.760849,206.77107
40.400002,-64.828697,203.32761
40.5,-64.89505,199.88844
40.599998,-64.959915,196.45384
40.700001,-65.023285,193.02403
40.799999,-65.085182,189.59926
40.900002,-65.145615,186.17979
41.0,-65.204575,182.76585
41.099998,-65.26207,179.35768
41.200001,-65.318123,175.95552
41.299999,-65.372726,172.5596
41.400002,-65.425896,169.17017
41.5,-65.477631,165.78743
41.599998,-65.527939,162.41162
41.700001,-65.576836,159.04298
41.799999,-65.624321,155.68172
41.900002,-65.670403,152.32806
42.0,-65.715096,148.98222
42.099998,-65.758392,145.64441
42.200001,-65.800308,142.31487
42.299999,-65.840858,138.99377
42.400002,-65.880043,135.68134
42.5,-65.917862,132.37779
42.599998,-65.954338,129.08331
42.700001,-65.989464,125.79813
42.799999,-66.023262,122.52242
42.900002,-66.055725,119.25638
43.0,-66.086876,116.00021
43.099998,-66.116714,112.7541
43.200001,-66.145248,109.51825
43.299999,-66.172485,106.29284
43.400002,-66.198441,103.07805
43.5,-66.223106,99.874069
43.599998,-66.246506,96.681076
43.700001,-66.268646,93.499245
43.799999,-66.289528,90.328758
43.900002,-66.309158,87.169785
44.0,-66.327553,84.022499
44.099998,-66.344719,80.887062
44.200001,-66.360664,77.763649
44.299999,-66.375389,74.652412
44.400002,-66.388916,71.553528
44.5,-66.401245,68.467148
44.599998,-66.412384,65.393433
44.700001,-66.42234,62.332527
44.799999,-66.431129,59.284595
44.900002,-66.438751,56.249783
45.0,-66.445221,53.228237
45.099998,-66.450546,50.220104
45.200001,-66.454727,47.225529
45.299999,-66.457787,44.244648
45.400002,-66.459724,41.277607
45.5,-66.460556,38.324539
45.599998,-66.460281,35.385578
45.700001,-66.458916,32.460854
45.799999,-66.456459,29.550503
45.900002,-66.452927,26.654648
46.0,-66.448334,23.773415
46.099998,-66.44268,20.906929
46.200001,-66.435974,18.055309
46.299999,-66.42823,15.218676
46.400002,-66.419456,12.397145
46.5,-66.409653,9.5908318
46.599998,-66.398842,6.7998471
46.700001,-66.387024,4.024303
46.799999,-66.374207,1.2643063
46.900002,-66.360405,-1.4800367
47.0,-66.345627,-4.2086225
47.099998,-66.32988,-6.921349
47.200001,-66.313171,-9.6181173
47.299999,-66.295509,-12.29883
47.400002,-66.276909,-14.96339
47.5,-66.25737,-17.611708
47.599998,-66.236916,-20.243689
47.700001,-66.215538,-22.859245
47.799999,-66.193253,-25.458292
47.900002,-66.170074,-28.040741
48.0,-66.146011,-30.60651
48.099998,-66.121063,-33.155521
48.200001,-66.095253,-35.687691
48.299999,-66.068573,-38.202946
48.400002,-66.041046,-40.701214
48.5,-66.012672,-43.182415
48.599998,-65.983467,-45.646484
48.700001,-65.953438,-48.093349
48.799999,-65.922592,-50.522945
48.900002,-65.890938,-52.935207
49.0,-65.85849,-55.330074
49.099998,-65.825249,-57.707481
49.200001,-65.791229,-60.067371
49.299999,-65.756439,-62.409687
49.400002,-65.720894,-64.734375
49.5,-65.684586,-67.041382
49.599998,-65.647537,-69.33065
49.700001,-65.609756,-71.602135
49.799999,-65.571243,-73.855789
49.900002,-65.532021,-76.091568
50.0,-65.492088,-78.309433
50.099998,-65.451454,-80.509323
50.200001,-65.410126,-82.691216
50.299999,-65.368126,-84.855064
50.400002,-65.325447,-87.000839
50.5,-65.282104,-89.128494
50.599998,-65.238113,-91.238007
50.700001,-65.193466,-93.329346
50.799999,-65.148193,-95.402473
50.900002,-65.102287,-97.457367
51.0,-65.055756,-99.493996
51.099998,-65.008621,-101.51234
51.200001,-64.960884,-103.51238
51.299999,-64.912552,-105.49409
51.400002,-64.863632,-107.45745
51.5,-64.81414,-109.40244
51.599998,-64.764084,-111.32906
51.700001,-64.713463,-113.23727
51.799999,-64.662292,-115.12708
51.900002,-64.610588,-116.99847
52.0,-64.558342,-118.85142
52.099998,-64.505577,-120.68594
52.200001,-64.452293,-122.50202
52.299999,-64.398506,-124.29964
52.400002,-64.344223,-126.07883
52.5,-64.289444,-127.83955
52.599998,-64.234184,-129.58182
52.700001,-64.178452,-131.30565
52.799999,-64.122253,-133.01102
52.900002,-64.065598,-134.69795
53.0,-64.008492,-136.36644
53.099998,-63.950951,-138.01651
53.200001,-63.892979,-139.64816
53.299999,-63.834579,-141.26138
53.400002,-63.775764,-142.85623
53.5,-63.716545,-144.43268
53.599998,-63.656925,-145.99075
53.700001,-63.596916,-147.53049
53.799999,-63.536522,-149.05188
53.900002,-63.475754,-150.55495
54.0,-63.414619,-152.03973
54.099998,-63.353123,-153.50623
54.200001,-63.291279,-154.95448
54.299999,-63.229092,-156.38451
54.400002,-63.166569,-157.79633
54.5,-63.103718,-159.18997
54.599998,-63.04055,-160.56548
54.700001,-62.97707,-161.92285
54.799999,-62.913284,-163.26215
54.900002,-62.849201,-164.58339
55.0,-62.784832,-165.88661
55.099998,-62.720181,-167.17184
55.200001,-62.655258,-168.43913
55.299999,-62.590069,-169.68851
55.400002,-62.52462,-170.92
55.5,-62.45892,-172.13365
55.599998,-62.392979,-173.32951
55.700001,-62.326797,-174.50763
55.799999,-62.260391,-175.66803
55.900002,-62.193764,-176.81076
56.0,-62.126923,-177.93588
56.099998,-62.059872,-179.04341
56.200001,-61.992622,-180.13342
56.299999,-61.925182,-181.20595
56.400002,-61.857555,-182.26105
56.5,-61.789753,-183.29877
56.599998,-61.721775,-184.31915
56.700001,-61.653637,-185.32228
56.799999,-61.585339,-186.30817
56.900002,-61.516891,-187.27689
57.0,-61.448299,-188.2285
57.099998,-61.379574,-189.16306
57.200001,-61.310715,-190.08063
57.299999,-61.241734,-190.98125
57.400002,-61.172638,-191.86499
57.5,-61.103432,-192.7319
57.599998,-61.034122,-193.58206
57.700001,-60.964718,-194.41553
57.799999,-60.895222,-195.23236
57.900002,-60.825642,-196.03262
58.0,-60.755981,-196.81639
58.099998,-60.686256,-197.58371
58.200001,-60.616463,-198.33466
58.299999,-60.546612,-199.06931
58.400002,-60.476711,-199.78772
58.5,-60.406765,-200.48996
58.599998,-60.336777,-201.1761
58.700001,-60.266758,-201.84621
58.799999,-60.196709,-202.50037
58.900002,-60.12664,-203.13864
59.0,-60.056557,-203.76111
59.099998,-59.986462,-204.36783
59.200001,-59.916363,-204.95889
59.299999,-59.846268,-205.53436
59.400002,-59.776184,-206.09433
59.5,-59.706108,-206.63885
59.599998,-59.636055,-207.16803
59.700001,-59.566029,-207.68192
59.799999,-59.496033,-208.18059
59.900002,-59.426071,-208.66415
60.0,-59.356152,-209.13266
60.099998,-59.286282,-209.58621
60.200001,-59.216461,-210.02489
60.299999,-59.146702,-210.44875
60.400002,-59.077003,-210.85789
60.5,-59.007378,-211.2524
60.599998,-58.93782,-211.63235
60.700001,-58.868347,-211.99783
60.799999,-58.798954,-212.34892
60.900002,-58.729652,-212.68573
61.0,-58.660446,-213.0083
61.099998,-58.591339,-213.31676
61.200001,-58.522335,-213.61116
61.299999,-58.453438,-213.8916
61.400002,-58.384655,-214.15817
61.5,-58.315994,-214.41098
61.599998,-58.247456,-214.65007
61.700001,-58.179043,-214.87556
61.799999,-58.110764,-215.08754
61.900002,-58.042622,-215.28609
62.0,-57.974621,-215.4713
62.099998,-57.906769,-215.64326
62.200001,-57.839066,-215.80208
62.299999,-57.771515,-215.94781
62.400002,-57.704128,-216.08058
62.5,-57.636902,-216.20045
62.599998,-57.569843,-216.30754
62.700001,-57.502956,-216.40193
62.799999,-57.436245,-216.48372
62.900002,-57.369717,-216.55298
63.0,-57.303368,-216.60983
63.099998,-57.237209,-216.65436
63.200001,-57.171242,-216.68663
63.299999,-57.105469,-216.70679
63.400002,-57.039898,-216.71487
63.5,-56.974529,-216.71103
63.599998,-56.909363,-216.69531
63.700001,-56.84441,-216.66785
63.799999,-56.779671,-216.62871
63.900002,-56.715149,-216.57799
64.0,-56.650845,-216.51581
64.099998,-56.586769,-216.44223
64.199997,-56.522915,-216.35738
64.300003,-56.459293,-216.26132
64.400002,-56.395908,-216.15417
64.5,-56.332756,-216.03604
64.599998,-56.269844,-215.907
64.699997,-56.207172,-215.76715
64.800003,-56.144749,-215.61659
64.900002,-56.082573,-215.45541
65.0,-56.020645,-215.28372
65.099998,-55.958973,-215.10161
65.199997,-55.897556,-214.90916
65.300003,-55.836399,-214.7065
65.400002,-55.775501,-214.4937
65.5,-55.714867,-214.27086
65.599998,-55.654499,-214.03809
65.699997,-55.594398,-213.79547
65.800003,-55.534565,-213.54311
65.900002,-55.475006,-213.28108
66.0,-55.415718,-213.00951
66.099998,-55.356709,-212.72847
66.199997,-55.297974,-212.43808
66.300003,-55.239517,-212.13841
66.400002,-55.181343,-211.82956
66.5,-55.123447,-211.51164
66.599998,-55.065838,-211.18474
66.699997,-55.008511,-210.84895
66.800003,-54.951469,-210.50436
66.900002,-54.894714,-210.15108
67.0,-54.838245,-209.78918
67.099998,-54.782063,-209.41878
67.199997,-54.72617,-209.03995
67.300003,-54.670567,-208.6528
67.400002,-54.61525,-208.25742
67.5,-54.560223,-207.85388
67.599998,-54.505486,-207.44231
67.699997,-54.451038,-207.02278
67.800003,-54.396881,-206.59537
67.900002,-54.34301,-206.16019
68.0,-54.289429,-205.71732
68.099998,-54.236134,-205.26686
68.199997,-54.183125,-204.80888
68.300003,-54.130402,-204.34349
68.400002,-54.077961,-203.87076
68.5,-54.025803,-203.39078
68.599998,-53.973927,-202.90364
68.699997,-53.922329,-202.40942
68.800003,-53.87101,-201.90822
68.900002,-53.819962,-201.4001
69.0,-53.769188,-200.88516
69.099998,-53.718681,-200.36349
69.199997,-53.668446,-199.83516
69.300003,-53.618469,-199.30023
69.400002,-53.568752,-198.75882
69.5,-53.519295,-198.21098
69.599998,-53.470085,-197.65678
69.699997,-53.421124,-197.09633
69.800003,-53.372402,-196.52968
69.900002,-53.323921,-195.95691
70.0,-53.275673,-195.3781
70.099998,-53.22765,-194.7933
70.199997,-53.179848,-194.20259
70.300003,-53.132259,-193.60605
70.400002,-53.084881,-193.00374
70.5,-53.037701,-192.39571
70.599998,-52.990711,-191.78204
70.699997,-52.943905,-191.1628
70.800003,-52.897274,-190.53802
70.900002,-52.850811,-189.90779
71.0,-52.804504,-189.27214
71.099998,-52.758343,-188.63115
71.199997,-52.712315,-187.98485
71.300003,-52.666412,-187.33328
71.400002,-52.620621,-186.67653
71.5,-52.574924,-186.0146
71.599998,-52.529312,-185.34756
71.699997,-52.483772,-184.67545
71.800003,-52.438282,-183.99828
71.900002,-52.392834,-183.3161
72.0,-52.347401,-182.62895
72.099998,-52.301968,-181.93683
72.199997,-52.256516,-181.23979
72.300003,-52.211021,-180.53784
72.400002,-52.165466,-179.83099
72.5,-52.11982,-179.11926
72.599998,-52.074055,-178.40263
72.699997,-52.028149,-177.68115
72.800003,-51.982067,-176.95477
72.900002,-51.93578,-176.2235
73.0,-51.889248,-175.48732
73.099998,-51.842438,-174.74622
73.199997,-51.795303,-174.00015
73.300003,-51.747799,-173.24908
73.400002,-51.699879,-172.49298
73.5,-51.651485,-171.73178
73.599998,-51.602562,-170.96541
73.699997,-51.553043,-170.19382
73.800003,-51.502857,-169.4169
73.900002,-51.451923,-168.63457
74.0,-51.400154,-167.84669
74.099998,-51.34745,-167.05316
74.199997,-51.293697,-166.25381
74.300003,-51.238773,-165.4485
74.400002,-51.182537,-164.63701
74.5,-51.124828,-163.81912
74.599998,-51.065456,-162.99463
74.699997,-51.004208,-162.16321
74.800003,-50.940834,-161.32455
74.900002,-50.875046,-160.47832
75.0,-50.806488,-159.62405
75.099998,-50.734749,-158.76131
75.199997,-50.659325,-157.88951
75.300003,-50.579601,-157.00801
75.400002,-50.494808,-156.11603
75.5,-50.403969,-155.21265
75.599998,-50.305828,-154.2968
75.699997,-50.198723,-153.36711
75.800003,-50.080387,-152.42195
75.900002,-49.947632,-151.45921
76.0,-49.795753,-150.47617
76.099998,-49.617447,-149.46913
76.199997,-49.400444,-148.43295
76.300003,-49.121864,-147.35985
76.400002,-48.731548,-146.23703
76.5,-48.083878,-145.03978
76.599998,-46.374191,-143.70288
76.699997,-60.404423,296.84613
76.800003,-60.519646,293.75919
76.900002,-60.633354,290.66626
77.0,-60.745548,287.56757
77.099998,-60.856236,284.46347
77.199997,-60.965412,281.35425
77.300003,-61.073086,278.2402
77.400002,-61.17926,275.12164
77.5,-61.283932,271.99884
77.599998,-61.387112,268.8721
77.699997,-61.488796,265.74173
77.800003,-61.588997,262.60797
77.900002,-61.68771,259.47116
78.0,-61.784939,256.33157
78.099998,-61.880695,253.18945
78.199997,-61.974972,250.04512
78.300003,-62.067783,246.89883
78.400002,-62.159126,243.75089
78.5,-62.249004,240.60153
78.599998,-62.337429,237.45107
78.699997,-62.424397,234.29974
78.800003,-62.509914,231.14783
78.900002,-62.59399,227.99561
79.0,-62.676624,224.84332
79.099998,-62.75782,221.69124
79.199997,-62.837585,218.53964
79.300003,-62.915924,215.38876
79.400002,-62.99284,212.23886
79.5,-63.068336,209.09019
79.599998,-63.142426,205.94302
79.699997,-63.215103,202.79758
79.800003,-63.286381,199.65411
79.900002,-63.356262,196.51288
80.0,-63.424751,193.37413
80.099998,-63.491856,190.23808
80.199997,-63.557575,187.10498
80.300003,-63.621922,183.97507
80.400002,-63.684898,180.84859
80.5,-63.74651,177.72575
80.599998,-63.806767,174.6068
80.699997,-63.865665,171.49196
80.800003,-63.923222,168.38145
80.900002,-63.979431,165.27553
81.0,-64.034309,162.17438
81.099998,-64.08786,159.07822
81.199997,-64.140083,155.98729
81.300003,-64.190994,152.90179
81.400002,-64.240593,149.82195
81.5,-64.288887,146.74797
81.599998,-64.335884,143.68005
81.699997,-64.381584,140.61841
81.800003,-64.42601,137.56323
81.900002,-64.469147,134.51476
82.0,-64.511017,131.47316
82.099998,-64.55162,128.43863
82.199997,-64.590958,125.41138
82.300003,-64.629051,122.3916
82.400002,-64.665901,119.37948
82.5,-64.701508,116.37521
82.599998,-64.735878,113.37897
82.699997,-64.769035,110.39096
82.800003,-64.800964,107.41135
82.900002,-64.831688,104.44033
83.0,-64.861206,101.47807
83.099998,-64.889526,98.52475
83.199997,-64.916656,95.580536
83.300003,-64.942604,92.645615
83.400002,-64.967377,89.720154
83.5,-64.990982,86.804314
83.599998,-65.013428,83.898262
83.699997,-65.034721,81.002159
83.800003,-65.054863,78.11618
83.900002,-65.073868,75.240471
84.0,-65.091743,72.375191
84.099998,-65.108498,69.5205
84.199997,-65.12413,66.676552
84.300003,-65.138657,63.843487
84.400002,-65.152084,61.021465
84.5,-65.164413,58.210632
