CAR_T_cells_1_task1,_1_task1
7436026172.242665,8.5
7840841952.405006,8.6
8251484269.758654,8.7
8666261578.026114,8.8
9083390495.523802,8.9
9501021413.272615,9.0
9917264608.585844,9.1
10330224734.392382,9.2
10738029936.381645,9.3
11138857497.373363,9.4
11530973775.414373,9.5
11912743920.111454,9.6
12282670824.586567,9.7
12639402100.670666,9.8
12981748395.447857,9.9
13308696580.813456,10.0
13619406510.09992,10.1
13913220518.27704,10.2
14189655244.551155,10.3
14448395599.657198,10.4
14689287554.499767,10.5
14912324284.494595,10.6
15117631420.555855,10.7
15305458415.754606,10.8
15476154060.277151,10.9
15630161241.06743,11.0
15767994177.162043,11.1
15890227979.813873,11.2
15997485880.985617,11.3
16090422915.191309,11.4
16169720460.0085,11.5
16236071095.008625,11.6
16290173381.879347,11.7
16332723041.036764,11.8
16364406674.560514,11.9
16385897117.912355,12.0
16397848992.616379,12.1
16400894957.812994,12.2
16395644253.848408,12.3
16382679663.819475,12.4
16362557245.866106,12.5
16335805389.138401,12.6
16302923987.566883,12.7
16264385763.79529,12.8
16220635106.483477,12.9
16172090149.763227,13.0
16119142535.237736,13.1
16062158813.681381,13.2
16001481577.149319,13.3
15937430015.095438,13.4
15870301814.381992,13.5
15800373574.864573,13.6
15727902537.884483,13.7
15653127411.490906,13.8
15576269573.383652,13.9
15497534262.445597,14.0
15417111418.324827,14.1
15335176918.16304,14.2
15251893352.897657,14.3
15167411048.481823,14.4
15081868878.68947,14.5
14995395087.049314,14.6
14908108087.604328,14.7
14820117111.076565,14.8
14731522913.53184,14.9
14642418404.799877,15.0
14552889240.021923,15.1
14463014331.752228,15.2
14372866392.312237,15.3
14282512382.598862,15.4
14192013929.166876,15.5
14101427783.239538,15.6
14010806132.472353,15.7
13920196974.860844,15.8
13829644463.76756,15.9
13739189143.974588,16.0
13648868284.975271,16.1
13558716101.388226,16.2
13468763973.927002,16.3
13379040712.70534,16.4
13289572709.321577,16.5
13200384131.004318,16.6
13111497106.493885,16.7
13022931881.003567,16.8
12934706956.31602,16.9
12846839187.65621,17.0
12759343961.389034,17.1
12672235286.296894,17.2
12585525878.151854,17.3
12499227289.184835,17.4
12413349982.004654,17.5
12327903404.994837,17.6
12242896082.55668,17.7
12158335676.83583,17.8
12074229050.47065,17.9
11990582332.120543,18.0
11907400968.291855,18.1
11824689774.852863,18.2
11742452987.012846,18.3
11660694298.465254,18.4
11579416902.645178,18.5
11498623533.046326,18.6
11418316494.252312,18.7
11338497695.044615,18.8
11259168679.437511,18.9
11180330651.383072,19.0
11101984501.525051,19.1
11024130831.565529,19.2
10946769973.558954,19.3
10869902011.551628,19.4
10793526800.626116,19.5
10717643982.434217,19.6
10642253003.012045,19.7
10567353128.238918,19.8
10492943455.192617,19.9
10419022925.179508,20.0
10345590337.867325,20.1
10272644361.22424,20.2
10200183540.156807,20.3
10128206308.356417,20.4
10056710996.8141,20.5
9985695840.31856,20.6
9915158986.403318,20.7
9845098502.890036,20.8
9775512383.580667,20.9
9706398554.089064,21.0
9637754878.694923,21.1
9569579165.253544,21.2
9501869169.366188,21.3
9434622599.952398,21.4
9367837123.491213,21.5
9301510367.273201,21.6
9235639923.51285,21.7
9170223353.128328,21.8
9105258188.650932,21.9
9040741936.964737,22.0
8976672082.653093,22.1
8913046090.443111,22.2
8849861407.153152,22.3
8787115464.563175,22.4
8724805681.56229,22.5
8662929465.983551,22.6
8601484215.587395,22.7
8540467320.832872,22.8
8479876166.2880745,22.9
8419708131.974647,23.0
8359960594.384281,23.1
8300630928.347129,23.2
8241716508.137097,23.3
8183214708.421471,23.4
8125122905.020362,23.5
8067438476.410273,23.6
8010158804.492525,23.7
7953281275.280942,23.8
7896803279.587246,23.9
7840722214.045771,24.0
7785035481.711786,24.1
7729740492.554358,24.2
7674834664.047474,24.3
7620315421.874503,24.4
7566180200.394398,24.5
7512426442.952032,24.6
7459051602.372592,24.7
7406053141.463061,24.8
7353428533.347368,24.9
7301175261.704215,25.0
7249290821.153459,25.1
7197772717.587972,25.2
7146618468.424341,25.3
7095825602.728469,25.4
7045391661.566025,25.5
6995314198.229041,25.6
6945590778.427557,25.7
6896218980.381512,25.8
6847196394.845309,25.9
6798520625.51252,26.0
6750189289.059124,26.1
6702200015.264273,26.2
6654550447.005985,26.3
6607238240.4378805,26.4
6560261065.101701,26.5
6513616603.985099,26.6
6467302553.555853,26.7
6421316623.7258005,26.8
6375656538.036973,26.9
6330320033.6595,27.0
6285304861.423614,27.1
6240608785.780561,27.2
6196229584.852228,27.3
6152165050.473343,27.4
6108412988.181329,27.5
6064971217.208461,27.6
6021837570.431303,27.7
5979009894.421946,27.8
5936486049.420817,27.9
5894263909.319163,28.0
5852341361.603035,28.1
5810716307.33462,28.2
5769386661.151992,28.3
5728350351.223951,28.4
5687605319.21244,28.5
5647149520.2078085,28.6
5606980922.7188425,28.7
5567097508.625278,28.8
5527497273.131775,28.9
5488178224.702025,29.0
5449138385.008477,29.1
5410375788.90835,29.2
5371888484.380584,29.3
5333674532.474639,29.4
5295732007.245442,29.5
5258058995.645936,29.6
5220653597.539428,29.7
5183513925.622103,29.8
5146638105.359344,29.9
5110024274.925094,30.0
5073670585.112883,30.1
5037575199.291498,30.2
5001736293.350136,30.3
4966152055.626876,30.4
4930820686.844724,30.5
4895740400.034044,30.6
4860909420.451521,30.7
4826325985.545883,30.8
4791988344.877837,30.9
4757894760.052471,31.0
4724043504.649911,31.1
4690432864.139511,31.2
4657061135.830353,31.3
4623926628.800154,31.4
4591027663.824016,31.5
4558362573.305724,31.6
4525929701.199192,31.7
4493727402.941268,31.8
4461754045.390423,31.9
4430008006.752939,32.0
4398487676.513774,32.1
4367191455.364409,32.2
4336117755.124762,32.3
4305264998.6869,32.4
4274631619.9415765,32.5
4244216063.7085466,32.6
4214016785.66737,32.7
4184032252.282058,32.8
4154260940.737436,32.9
4124701338.871377,33.0
4095351945.1049056,33.1
4066211268.3740406,33.2
4037277828.0578613,33.3
4008550153.909027,33.4
3980026785.9937162,33.5
3951706274.6208267,33.6
3923587180.275033,33.7
3895668073.550263,33.8
3867947535.082029,33.9
3840424155.467067,34.0
3813096535.2137804,34.1
3785963284.6745486,34.2
3759023023.977802,34.3
3732274382.962861,34.4
3705716001.1151805,34.5
3679346527.4975185,34.6
3653164620.6841097,34.7
3627168948.7044034,34.8
3601358188.975658,34.9
3575731028.2396,35.0
3550286162.4994826,35.1
3525022296.9567647,35.2
3499938145.9418535,35.3
3475032432.86014,35.4
3450303890.129191,35.5
3425751259.1161695,35.6
3401373290.0767746,35.7
3377168742.0945663,35.8
3353136383.0181084,35.9
3329274989.4001694,36.0
3305583346.442224,36.1
3282060247.93297,36.2
3258704496.1892686,36.3
3235514901.9974666,36.4
3212490284.554769,36.5
3189629471.4083505,36.6
3166931298.4011173,36.7
3144394609.613887,36.8
3122018257.307939,36.9
3099801101.868414,37.0
3077742011.748063,37.1
3055839863.4099035,37.2
3034093541.271288,37.3
3012501937.6509786,37.4
2991063952.713076,37.5
2969778494.4124446,37.6
2948644478.4404993,37.7
2927660828.1711864,37.8
2906826474.606025,37.9
2886140356.322628,38.0
2865601419.421567,38.1
2845208617.473635,38.2
2824960911.467675,38.3
2804857269.758751,38.4
2784896668.0157127,38.5
2765078089.170034,38.6
2745400523.366475,38.7
2725862967.911798,38.8
2706464427.224615,38.9
2687203912.7855973,39.0
2668080443.088009,39.1
2649093043.588595,39.2
2630240746.6567965,39.3
2611522591.5261064,39.4
2592937624.249145,39.5
2574484897.6480455,39.6
2556163471.2668834,39.7
2537972411.32444,39.8
2519910790.667286,39.9
2501977688.7232003,40.0
2484172191.453957,40.1
2466493391.3092227,40.2
2448940387.1825013,40.3
2431512284.3649216,40.4
2414208194.500181,40.5
2397027235.539797,40.6
2379968531.698667,40.7
2363031213.410947,40.8
2346214417.2854643,40.9
2329517286.0620294,41.0
2312938968.569553,41.1
2296478619.6823835,41.2
2280135400.277639,41.3
2263908477.1928287,41.4
2247797023.1837845,41.5
2231800216.8828692,41.6
2215917242.757143,41.7
2200147291.067051,41.8
2184489557.8261313,41.9
2168943244.760041,42.0
2153507559.266166,42.1
2138181714.3735292,42.2
2122964928.7029707,42.3
2107856426.4276042,42.4
2092855437.2334113,42.5
2077961196.2801886,42.6
2063172944.163112,42.7
2048489926.8741314,42.8
2033911395.7637718,42.9
2019436607.5032103,43.0
2005064824.0466082,43.1
1990795312.593711,43.2
1976627345.5526428,43.3
1962560200.5029912,43.4
1948593160.159322,43.5
1934725512.3347354,43.6
1920956549.9047453,43.7
1907285570.771411,43.8
1893711877.8277164,43.9
1880234778.9222038,44.0
1866853586.8238962,44.1
1853567619.1874435,44.2
1840376198.5183873,44.3
1827278652.1388173,44.4
1814274312.1532278,44.5
1801362515.414604,44.6
1788542603.4907484,44.7
1775813922.6308432,44.8
1763175823.7323592,44.9
1750627662.3081417,45.0
1738168798.4533803,45.1
1725798596.8132427,45.2
1713516426.550597,45.3
1701321661.31395,45.4
1689213679.2056196,45.5
1677191862.7501187,45.6
1665255598.8627667,45.7
1653404278.8185163,45.8
1641637298.2212753,45.9
1629954056.9736538,46.0
1618353959.2452705,46.1
1606836413.4429421,46.2
1595400832.18064,46.3
1584046632.2496126,46.4
1572773234.5887258,46.5
1561580064.2550015,46.6
1550466550.3943655,46.7
1539432126.212599,46.8
1528476228.9467063,46.9
1517598299.8371303,47.0
1506797784.0977824,47.1
1496074130.888297,47.2
1485426793.2861168,47.3
1474855228.2586563,47.4
1464358896.6356664,47.5
1453937263.0817847,47.6
1443589796.0692818,47.7
1433315967.8509965,47.8
1423115254.4335861,47.9
1412987135.5519507,48.0
1402931094.641137,48.1
1392946618.8103337,48.2
1383033198.8169827,48.3
1373190329.0408483,48.4
1363417507.4582717,48.5
1353714235.6166015,48.6
1344080018.6088033,48.7
1334514365.0482485,48.8
1325016787.0437279,48.9
1315586800.1757534,49.0
1306223923.4705338,49.1
1296927679.3754096,49.2
1287697593.7348847,49.3
1278533195.7664723,49.4
1269434018.0367148,49.5
1260399596.437365,49.6
1251429470.161738,49.7
1242523181.681225,49.8
1233680276.721982,49.9
1224900304.242828,50.0
1216182816.4113882,50.1
1207527368.5807316,50.2
1198933519.2672234,50.3
1190400830.128026,50.4
1181928865.9387655,50.5
1173517194.5713477,50.6
1165165386.9719315,50.7
1156873017.139056,50.8
1148639662.1019175,50.9
1140464901.8995986,51.0
1132348319.5594401,51.1
1124289501.0747085,51.2
1116288035.3841524,51.3
1108343514.3510473,51.4
1100455532.742397,51.5
1092623688.208272,51.6
1084847581.261296,51.7
1077126815.256276,51.8
1069460996.3699697,51.9
1061849733.5815476,52.0
1054292638.6529863,52.1
1046789326.1078115,52.2
1039339413.2121582,52.3
1031942519.9552789,52.4
1024598269.0301714,52.5
1017306285.8143393,52.6
1010066198.3506879,52.7
1002877637.3285533,52.8
995740236.0648627,52.9
988653630.4859605,53.0
981617459.1099936,53.1
974631363.0259467,53.2
967694985.8764012,53.3
960807973.839458,53.4
953969975.6106904,53.5
947180642.3852158,53.6
940439627.8398945,53.7
933746588.1156516,53.8
927101181.799918,53.9
920503069.9091977,54.0
913951915.8717489,54.1
907447385.5103875,54.2
900989147.0260867,54.3
894576870.9855497,54.4
888210230.2967993,54.5
881888900.1943557,54.6
875612558.2235862,54.7
869380884.2242516,54.8
863193560.3141665,54.9
857050270.8729764,55.0
850950702.5260429,55.1
844894544.128442,55.2
838881486.7490728,55.3
832911223.6548731,55.4
826983450.2951477,55.5
821097864.286135,55.6
815254165.3997064,55.7
809452055.5431314,55.8
803691238.7432257,55.9
797971421.1328524,56.0
792292310.9359238,56.1
786653618.4525077,56.2
781055056.0440388,56.3
775496338.1186285,56.4
769977181.1164812,56.5
764497303.4954064,56.6
759056425.7164323,56.7
753654270.2295182,56.8
748290561.4593616,56.9
742965025.7943685,57.0
737677391.5712718,57.1
732427389.0573549,57.2
727214750.4392868,57.3
722039209.8094525,57.4
716900503.1523832,57.5
711798368.3312739,57.6
706732545.0745995,57.7
701702774.9628202,57.8
696708801.4151787,57.9
691750369.6765914,58.0
686827226.8046246,58.1
681939121.6565634,58.2
677085804.8781184,58.3
672267028.8923525,58.4
667482547.8813292,58.5
662732117.7762145,58.6
658015496.2449734,58.7
653332442.6799994,58.8
648682718.1858287,58.9
644066085.566942,59.0
639482309.3156481,59.1
634931155.6000524,59.2
630412392.2521069,59.3
625925788.755743,59.4
621471116.2350866,59.5
617048147.4434053,59.6
612656656.7545094,59.7
608296420.1456094,59.8
603967215.1876029,59.9
599668821.0342305,60.0
