B_cells_healthy_3_task1,CAR_T_cells_1_task1,Leukaemic_B_cells_2_task1,_1_task1
21670480134.071384,913467703.3245648,57345715962.032234,5.6
21541927921.95822,991181331.6858592,57291274962.59983,5.7
21406346923.377014,1075269056.9045987,57216060330.42273,5.8
21263248358.903828,1166194445.7053587,57118458169.737114,5.9
21112122246.25664,1264443465.3234272,56996767837.658646,6.0
20952439739.444515,1370522485.9489443,56849206882.893295,6.1
20783654840.668846,1484956944.8888485,56673913761.12061,6.2
20605207344.136738,1608288802.4768836,56468954325.939575,6.3
20416527934.00142,1741071858.1109643,56232335090.85407,6.4
20217040710.708534,1883869670.406067,55962008105.87361,6.5
20006170446.13335,2037248664.029788,55655891443.62291,6.6
19783348146.295692,2201773050.6268106,55311883518.533165,6.7
19548018423.61969,2377997836.980652,54927883765.99537,6.8
19299649322.578735,2566459220.921137,54501822063.38015,6.9
19037740475.57039,2767666961.0056634,54031681089.52628,7.0
18761835140.70116,2982092266.649033,53515534678.10214,7.1
18471531629.15379,3210156692.7079535,52951581765.72483,7.2
18166495656.342075,3452219742.337491,52338185620.440254,7.3
17846473621.230663,3708565166.1128545,51673918412.44922,7.4
17511307234.149803,3979386422.3850894,50957606846.64933,7.5
17160943072.608099,4264775952.189847,50188370152.78466,7.6
16795451638.543491,4564706085.065469,49365680342.19658,7.7
16415043510.70772,4879012245.110619,48489417414.70801,7.8
16020071711.309328,5207388697.1782055,47559890306.94473,7.9
15611036407.5352,5549381993.058915,46577864896.64317,8.0
15188600835.253654,5904374248.435503,45544619870.42584,8.1
14753595498.008896,6271578253.795817,44461966204.03829,8.2
14307021655.019983,6650031475.981805,43332276001.735565,8.3
13850036059.668737,7038609699.728366,42158449558.18791,8.4
13383949991.784607,7436026172.242665,40943926687.538376,8.5
12910217843.730087,7840841952.405006,39692661606.598045,8.6
12430417752.523508,8251484269.758654,38409073550.01449,8.7
11946234761.506153,8666261578.026114,37098010511.1124,8.8
11459434540.348635,9083390495.523802,35764669680.81397,8.9
10971836343.300842,9501021413.272615,34414527746.1199,9.0
10485287978.713266,9917264608.585844,33053261343.632236,9.1
10001631600.75267,10330224734.392382,31686645579.325745,9.2
9522675565.743782,10738029936.381645,30320465984.719814,9.3
9050170674.993761,11138857497.373363,28960437438.867428,9.4
8585771652.993143,11530973775.414373,27612082065.137257,9.5
8131029341.216917,11912743920.111454,26280693913.06353,9.6
7687354426.602499,12282670824.586567,24971215475.198334,9.7
7256012014.553491,12639402100.670666,23688210715.78003,9.8
6838105977.581269,12981748395.447857,22435801256.049217,9.9
6434567995.846207,13308696580.813456,21217618508.047825,10.0
6046161839.7271595,13619406510.09992,20036807069.735367,10.1
5673476915.3055105,13913220518.27704,18895984550.56626,10.2
5316936385.651797,14189655244.551155,17797262320.157898,10.3
4976805385.119968,14448395599.657198,16742252614.06062,10.4
4653198454.484598,14689287554.499767,15732085441.962343,10.5
4346093828.973978,14912324284.494595,14767443696.73715,10.6
4055348644.8649683,15117631420.555855,13848600785.05458,10.7
3780707116.647573,15305458415.754606,12975443980.032618,10.8
3521824773.3627315,15476154060.277151,12147541989.305653,10.9
3278273310.114289,15630161241.06743,11364158879.763239,11.0
3049562305.3839517,15767994177.162043,10624319503.591057,11.1
2835149102.322375,15890227979.813873,9926838974.315226,11.2
2634450632.534498,15997485880.985617,9270360026.056255,11.3
2446858490.383068,16090422915.191309,8653401415.513311,11.4
2271743988.696807,16169720460.0085,8074373505.46013,11.5
2108471673.7706728,16236071095.008625,7531624837.8430195,11.6
1956404190.1720767,16290173381.879347,7023457231.218792,11.7
1814909871.5236683,16332723041.036764,6548153807.746922,11.8
1683368302.1067977,16364406674.560514,6103998426.142462,11.9
1561174324.7654486,16385897117.912355,5689290493.282032,12.0
1447741584.1188898,16397848992.616379,5302360180.557535,12.1
1342505916.9422946,16400894957.812994,4941579990.541697,12.2
1244926095.3396997,16395644253.848408,4605371346.255028,12.3
1154486501.182764,16382679663.819475,4292214335.110107,12.4
1070696990.2239747,16362557245.866106,4000650163.8352623,12.5
993093495.5465988,16335805389.138401,3729285237.391521,12.6
921238600.1064903,16302923987.566883,3476794664.456181,12.7
854720024.3718624,16264385763.79529,3241919812.096519,12.8
793151568.5059526,16220635106.483477,3023472598.5193787,12.9
736170991.335658,16172090149.763227,2820330593.300788,13.0
683440096.9681216,16119142535.237736,2631438610.486184,13.1
634643325.1594764,16062158813.681381,2455805505.1310053,13.2
589486601.7178327,16001481577.149319,2292501699.022073,13.3
547696738.9406484,15937430015.095438,2140658301.7661035,13.4
509019635.37531996,15870301814.381992,1999462232.2348437,13.5
473219816.21979123,15800373574.864573,1868155678.3264594,13.6
440078830.45762384,15727902537.884483,1746031573.4278536,13.7
409394443.92240715,15653127411.490906,1632431756.660287,13.8
380979523.8741888,15576269573.383652,1526743919.8568509,13.9
354660940.43541265,15497534262.445597,1428398552.9338102,14.0
330278774.62879217,15417111418.324827,1336866934.022262,14.1
307685212.15321994,15335176918.16304,1251657816.6986217,14.2
286743814.6492346,15251893352.897657,1172315557.6748989,14.3
267328615.67687908,15167411048.481823,1098417380.1270874,14.4
249323379.02532548,15081868878.68947,1029571309.3312602,14.5
232620870.0949795,14995395087.049314,965414002.2415029,14.6
217122155.54622927,14908108087.604328,905608597.4353752,14.7
202736004.6156296,14820117111.076565,849843120.8818929,14.8
189378289.8081126,14731522913.53184,797828521.5681449,14.9
176971431.46502241,14642418404.799877,749297022.828577,15.0
165443871.89297822,14552889240.021923,704000583.9622698,15.1
154729649.38666672,14463014331.752228,661709479.7365336,15.2
144767913.87985528,14372866392.312237,622210895.9120908,15.3
135502546.8714091,14282512382.598862,585307712.9772689,15.4
126881810.07564007,14192013929.166876,550817372.3459827,15.5
118857940.65768325,14101427783.239538,518570672.4853088,15.6
111386898.72085455,14010806132.472353,488410903.9638681,15.7
104428046.49856053,13920196974.860844,460192850.6476067,15.8
97943853.73675516,13829644463.76756,433781866.2805621,15.9
91899708.22206603,13739189143.974588,409053220.4054884,16.0
86263628.50498414,13648868284.975271,385891210.52762276,16.1
81006084.51283099,13558716101.388226,364188558.5599591,16.2
76099815.87370954,13468763973.927002,343845808.9152602,16.3
71519608.50194554,13379040712.70534,324770621.65477294,16.4
67242174.58878782,13289572709.321577,306877352.1531864,16.5
63245992.017173976,13200384131.004318,290086524.6177702,16.6
59511150.94135579,13111497106.493885,274324327.22733915,16.7
56019226.44564259,13022931881.003567,259522192.41401747,16.8
52753165.78502445,12934706956.31602,245616413.10151184,16.9
49697216.08785191,12846839187.65621,232547869.44872445,17.0
46836771.710781194,12759343961.389034,220261556.93000147,17.1
44158304.68054973,12672235286.296894,208706331.60736638,17.2
41649300.44640868,12585525878.151854,197834674.21459913,17.3
39298148.76941917,12499227289.184835,187602343.530175,17.4
37094087.52592479,12413349982.004654,177968170.63145825,17.5
35027144.05344345,12327903404.994837,168893850.9326812,17.6
33088061.428357407,12242896082.55668,160343699.7881523,17.7
31268251.31716174,12158335676.83583,152284481.39967316,17.8
29559745.138680365,12074229050.47065,144685236.0558385,17.9
27955141.906517375,11990582332.120543,137517101.08605,18.0
26447568.09602692,11907400968.291855,130753168.44896877,18.1
25030637.47062781,11824689774.852863,124368343.29642636,18.2
23698412.14053738,11742452987.012846,118339206.45043539,18.3
22445372.97044185,11660694298.465254,112643906.08728912,18.4
21266387.672134716,11579416902.645178,107262044.24084075,18.5
20156679.376274712,11498623533.046326,102174566.17356437,18.6
19111803.34233454,11418316494.252312,97363674.4750011,18.7
18127621.56648007,11338497695.044615,92812737.79264873,18.8
17200279.003464367,11259168679.437511,88506205.25348134,18.9
16326185.066212062,11180330651.383072,84429538.12057063,19.0
15501993.231509691,11101984501.525051,80569135.94272867,19.1
14724582.55162187,11024130831.565529,76912269.23295522,19.2
13991043.51186041,10946769973.558954,73447025.75052132,19.3
13298661.588636125,10869902011.551628,70162250.72601934,19.4
12644902.960687453,10793526800.626116,67047494.095127046,19.5
12027403.022618677,10717643982.434217,64092967.438835554,19.6
11443953.023036564,10642253003.012045,61289494.496899284,19.7
10892488.525807532,10567353128.238918,58628468.25283004,19.8
10371081.246788744,10492943455.192617,56101819.20149135,19.9
9877929.403361002,10419022925.179508,53701979.08750733,20.0
9411347.055288838,10345590337.867325,51421841.68178377,20.1
8969756.923401466,10272644361.22424,49254734.96123286,20.2
8551684.256493032,10200183540.156807,47194396.82946447,20.3
8155747.883281616,10128206308.356417,45234942.192172915,20.4
7780654.044373563,10056710996.8141,43370839.07241415,20.5
7425191.79484031,9985695840.31856,41596890.29137742,20.6
7088226.380188103,9915158986.403318,39908208.43321425,20.7
6768693.71224091,9845098502.890036,38300194.67144412,20.8
6465596.342922608,9775512383.580667,36768522.625419036,20.9
6177999.283584508,9706398554.089064,35309121.85239295,21.0
5905024.920897183,9637754878.694923,33918158.613255195,21.1
5645849.520105699,9569579165.253544,32592021.91005575,21.2
5399700.267134215,9501869169.366188,31327311.62698372,21.3
5165851.187171224,9434622599.952398,30120822.73234246,21.4
4943620.091380444,9367837123.491213,28969533.198709797,21.5
4732366.307183097,9301510367.273201,27870594.587510645,21.6
4531487.685849452,9235639923.51285,26821320.328680895,21.7
4340417.85847582,9170223353.128328,25819174.909357663,21.8
4158624.1741592526,9105258188.650932,24861765.440361015,21.9
3985605.7541689705,9040741936.964737,23946833.702072784,22.0
3820891.0464202943,8976672082.653093,23072246.512627646,22.1
3664036.081749209,8913046090.443111,22235988.588447362,22.2
3514623.0997754578,8849861407.153152,21436156.771198377,22.3
3372258.4495719937,8787115464.563175,20670951.72035766,22.4
3236571.039329098,8724805681.56229,19938671.595669016,22.5
3107211.0210074447,8662929465.983551,19237706.597277936,22.6
2983849.133685973,8601484215.587395,18566535.83291165,22.7
2866174.6328725787,8540467320.832872,17923719.309345752,22.8
2753894.279385057,8479876166.2880745,17307893.64179483,22.9
2646731.3676728634,8419708131.974647,16717767.955447128,23.0
2544424.997599534,8359960594.384281,16152120.700663546,23.1
2446728.6869463352,8300630928.347129,15609794.102652228,23.2
2353409.5622834284,8241716508.137097,15089690.731435673,23.3
2264247.6630240027,8183214708.421471,14590770.493272968,23.4
2179035.38541001,8125122905.020362,14112048.143911028,23.5
2097576.3516015587,8067438476.410273,13652588.77457521,23.6
2019684.8365081393,8010158804.492525,13211505.307327477,23.7
1945185.250638377,7953281275.280942,12787956.214336978,23.8
1873911.6204737101,7896803279.587246,12381143.246173996,23.9
1805706.8069416957,7840722214.045771,11990308.23586568,24.0
1740422.044380463,7785035481.711786,11614731.070103161,24.1
1677916.5505149763,7729740492.554358,11253727.967044363,24.2
1618057.0624469302,7674834664.047474,10906649.476841027,24.3
1560717.287786257,7620315421.874503,10572878.162964413,24.4
1505777.5272924285,7566180200.394398,10251826.955436062,24.5
1453124.414293262,7512426442.952032,9942937.916713756,24.6
1402650.5124236923,7459051602.372592,9645680.51875821,24.7
1354253.905620898,7406053141.463061,9359549.90483484,24.8
1307837.9114359533,7353428533.347368,9084065.600968672,24.9
1263310.8604801262,7301175261.704215,8818770.509038879,25.0
1220585.7688009555,7249290821.153459,8563229.481860159,25.1
1179580.0480332891,7197772717.587972,8317028.052741948,25.2
1140215.2725428552,7146618468.424341,8079771.393859241,25.3
1102417.036492475,7095825602.728469,7851083.615894204,25.4
1066114.6465616338,7045391661.566025,7630606.457597584,25.5
1031240.903557442,6995314198.229041,7417998.315350173,25.6
997731.9084282793,6945590778.427557,7212933.370343064,25.7
965526.939445091,6896218980.381512,7015100.990302093,25.8
934568.3772697021,6847196394.845309,6824205.317238851,25.9
904801.354573122,6798520625.51252,6639963.820379812,26.0
876173.6662463619,6750189289.059124,6462106.837422891,26.1
848635.6228512278,6702200015.264273,6290376.90682204,26.2
822139.9907106524,6654550447.005985,6124528.451689609,26.3
796641.8057018991,6607238240.4378805,5964326.959188464,26.4
772098.2314309756,6560261065.101701,5809548.341159864,26.5
748468.4552765567,6513616603.985099,5659978.449795045,26.6
725713.6010073416,6467302553.555853,5515412.657624284,26.7
703796.6907529447,6421316623.7258005,5375655.6307043,26.8
682682.4499664085,6375656538.036973,5240520.50050597,26.9
662337.2450293087,6330320033.6595,5109828.549232183,27.0
642728.9966562184,6285304861.423614,4983408.804796188,27.1
623827.1421805769,6240608785.780561,4861097.832392633,27.2
605602.5366879634,6196229584.852228,4742739.285377394,27.3
588027.3592680305,6152165050.473343,4628183.478458579,27.4
571075.0553699494,6108412988.181329,4517287.106108962,27.5
554720.277355778,6064971217.208461,4409912.957862702,27.6
538938.8537504773,6021837570.431303,4305929.755885784,27.7
523707.6904974767,5979009894.421946,4205211.706980871,27.8
509004.7248277693,5936486049.420817,4107638.277772133,27.9
494808.87280434347,5894263909.319163,4013093.944423502,28.0
481100.00357143354,5852341361.603035,3921468.046413919,28.1
467858.8879839673,5810716307.33462,3832654.543212723,28.2
455067.1346756366,5769386661.151992,3746551.72409616,28.3
442707.15725471836,5728350351.223951,3663062.0394688523,28.4
430762.1362328156,5687605319.21244,3582091.9149188697,28.5
419215.9987834749,5647149520.2078085,3503551.64385456,28.6
408053.36332424625,5606980922.7188425,3427355.1269404492,28.7
397259.50862487836,5567097508.625278,3353419.7194248666,28.8
386820.34224483615,5527497273.131775,3281666.076187687,28.9
376722.3824359818,5488178224.702025,3212018.052100976,29.0
366952.7299404862,5449138385.008477,3144402.562144576,29.1
357499.0225667697,5410375788.90835,3078749.372239207,29.2
348349.41598131804,5371888484.380584,3014990.997700431,29.3
339492.556901696,5333674532.474639,2953062.571521419,29.4
330917.5656654646,5295732007.245442,2892901.752114889,29.5
322614.04696328915,5258058995.645936,2834448.748129262,29.6
314572.02209202276,5220653597.539428,2777646.0195548446,29.7
306781.9205612394,5183513925.622103,2722438.2247362444,29.8
299234.5629274366,5146638105.359344,2668772.1316994727,29.9
291921.1418898075,5110024274.925094,2616596.5229776837,30.0
284833.2216740981,5073670585.112883,2565862.1815081206,30.1
277962.7094174306,5037575199.291498,2516521.753383329,30.2
271301.83353475406,5001736293.350136,2468529.641783741,30.3
264843.1329681804,4966152055.626876,2421841.9493000032,30.4
258579.44194142753,4930820686.844724,2376416.4007965447,30.5
252503.88375688286,4895740400.034044,2332212.304865193,30.6
246609.86712141882,4860909420.451521,2289190.5263560284,30.7
240891.05282766162,4826325985.545883,2247313.3341728523,30.8
235341.35009571706,4791988344.877837,2206544.374619835,30.9
229954.90522888117,4757894760.052471,2166848.6126524657,31.0
224726.09169021875,4724043504.649911,2128192.2796525923,31.1
219649.51077351408,4690432864.139511,2090542.8677425003,31.2
214719.96990502428,4657061135.830353,2053869.02666728,31.3
209932.47475786202,4623926628.800154,2018140.521248713,31.4
205282.22177990442,4591027663.824016,1983328.1908824712,31.5
200764.58945253133,4558362573.305724,1949403.903723713,31.6
196375.13587124657,4525929701.199192,1916340.5403443999,31.7
192109.58971060975,4493727402.941268,1884111.9468807213,31.8
187963.8379085077,4461754045.390423,1852692.8731333513,31.9
183933.9212841798,4430008006.752939,1822058.9476142912,32.0
180016.027631367,4398487676.513774,1792186.6410517623,32.1
176206.48698306552,4367191455.364409,1763053.2393404797,32.2
172501.77090709354,4336117755.124762,1734636.8338178545,32.3
168898.4784991579,4305264998.6869,1706916.2552691074,32.4
165393.3334269657,4274631619.9415765,1679871.0550365055,32.5
161983.178899306,4244216063.7085466,1653481.4774965807,32.6
158664.9726486618,4214016785.66737,1627728.432871767,32.7
155435.78585632326,4184032252.282058,1602593.4890761068,32.8
152292.79543253616,4154260940.737436,1578058.8317049854,32.9
149233.2790500901,4124701338.871377,1554107.2373452268,33.0
146254.6117253107,4095351945.1049056,1530722.0544093512,33.1
143354.26166724236,4066211268.3740406,1507887.180539355,33.2
140529.78871146645,4037277828.0578613,1485587.0517373132,33.3
137778.84155464853,4008550153.909027,1463806.6262241534,33.4
135099.1496029376,3980026785.9937162,1442531.3442181877,33.5
132488.52159379798,3951706274.6208267,1421747.118238369,33.6
129944.84218382106,3923587180.275033,1401440.3143724394,33.7
127466.06857439755,3895668073.550263,1381597.733810187,33.8
125050.22810508765,3867947535.082029,1362206.598880043,33.9
122695.42375485612,3840424155.467067,1343254.5752565037,34.0
120399.82144740554,3813096535.2137804,1324729.7112113188,34.1
118161.64851548692,3785963284.6745486,1306620.4278644754,34.2
115979.19259148507,3759023023.977802,1288915.5114530942,34.3
113850.7991140042,3732274382.962861,1271604.099353462,34.4
111774.86888237076,3705716001.1151805,1254675.6663870274,34.5
109749.85826807734,3679346527.4975185,1238120.0240781384,34.6
107774.2779366606,3653164620.6841097,1221927.312729043,34.7
105846.68622236385,3627168948.7044034,1206087.967580259,34.8
103965.68931121416,3601358188.975658,1190592.7180787418,34.9
102129.93931474554,3575731028.2396,1175432.5769519652,35.0
100338.13236380847,3550286162.4994826,1160598.8294270162,35.1
98589.00719720146,3525022296.9567647,1146083.024815919,35.2
96881.34751627117,3499938145.9418535,1131876.9857655193,35.3
95213.97557299149,3475032432.86014,1117972.7765508282,35.4
93585.75124501735,3450303890.129191,1104362.6970786692,35.5
91995.57122759748,3425751259.1161695,1091039.2774815822,35.6
90442.36759045794,3401373290.0767746,1077995.2697831113,35.7
88925.10636302852,3377168742.0945663,1065223.6397352875,35.8
87442.78765139687,3353136383.0181084,1052717.566084631,35.9
85994.44480471774,3329274989.4001694,1040470.4352823669,36.0
84579.14071536732,3305583346.442224,1028475.8223896109,36.1
83195.96788166199,3282060247.93297,1016727.490176716,36.2
81844.04729714833,3258704496.1892686,1005219.3825872196,36.3
80522.52735747174,3235514901.9974666,993945.6183147216,36.4
79230.58299177716,3212490284.554769,982900.4855534505,36.5
77967.41635470027,3189629471.4083505,972078.4447835151,36.6
76732.253858616,3166931298.4011173,961474.1127830308,36.7
75524.34554863951,3144394609.613887,951082.2586915204,36.8
74342.96449407126,3122018257.307939,940897.8001783631,36.9
73187.40593022952,3099801101.868414,930915.7983500112,37.0
72056.98641674966,3077742011.748063,921131.4527623445,37.1
70951.04389707834,3055839863.4099035,911540.1007164398,37.2
69868.93714494683,3034093541.271288,902137.213683349,37.3
68810.04364630132,3012501937.6509786,892918.3863616658,37.4
67773.75960195369,2991063952.713076,883879.335775954,37.5
66759.49926322987,2969778494.4124446,875015.8972455516,37.6
65766.69428000455,2948644478.4404993,866324.0204319961,37.7
64794.793170654986,2927660828.1711864,857799.76604445,37.8
63843.261578824764,2906826474.606025,849439.306729618,37.9
62911.58066660705,2886140356.322628,841238.9180887922,38.0
61999.246725236546,2865601419.421567,833194.9761637506,38.1
61105.7707775837,2845208617.473635,825303.9548905008,38.2
60230.67806097323,2824960911.467675,817562.422929594,38.3
59373.50752064513,2804857269.758751,809967.0405641951,38.4
58533.81192407668,2784896668.0157127,802514.559721984,38.5
57711.1573925262,2765078089.170034,795201.8210914722,38.6
56905.12201865853,2745400523.366475,788025.7466736163,38.7
56115.29593064377,2725862967.911798,780983.3395912922,38.8
55341.28086482825,2706464427.224615,774071.6814493528,38.9
54582.68974312613,2687203912.7855973,767287.9297299783,39.0
53839.14625506398,2668080443.088009,760629.3152225075,39.1
53110.284443125354,2649093043.588595,754093.1394805089,39.2
52395.749584660654,2630240746.6567965,747676.7788815987,39.3
51695.19791192171,2611522591.5261064,741377.6827891953,39.4
51008.29417782929,2592937624.249145,735193.3607698316,39.5
50334.71243873311,2574484897.6480455,729121.3861769198,39.6
49674.13574485535,2556163471.2668834,723159.3941890493,39.7
49026.2558317928,2537972411.32444,717305.0798619363,39.8
48390.772816551966,2519910790.667286,711556.1962113304,39.9
47767.39489721093,2501977688.7232003,705910.5523219036,40.0
47155.83873190555,2484172191.453957,700366.0151221999,40.1
46555.829258894424,2466493391.3092227,694920.5081547867,40.2
45967.09828073426,2448940387.1825013,689572.0036945075,40.3
45389.384820363026,2431512284.3649216,684318.5244185677,40.4
44822.434884800066,2414208194.500181,679158.1418912851,40.5
44266.00122915242,2397027235.539797,674088.9750563926,40.6
43719.84312365264,2379968531.698667,669109.1887514854,40.7
43183.72612306116,2363031213.410947,664216.9922409296,40.8
42657.4224155347,2346214417.2854643,659410.6407842486,40.9
42140.71073500372,2329517286.0620294,654688.4349281456,41.0
41633.37511989528,2312938968.569553,650048.7137724719,41.1
41135.20526281785,2296478619.6823835,645489.8565594105,41.2
40645.99633508584,2280135400.277639,641010.281522123,41.3
40165.5488103963,2263908477.1928287,636608.4447338829,41.4
39693.668291255606,2247797023.1837845,632282.8389763118,41.5
39230.16533769956,2231800216.8828692,628031.9926241322,41.6
38774.855636685825,2215917242.757143,623854.4703704525,41.7
38327.55994132278,2200147291.067051,619748.8727151944,41.8
37888.103275096066,2184489557.8261313,615713.8314950533,41.9
37456.31511668967,2168943244.760041,611748.0107033206,42.0
37032.029266221645,2153507559.266166,607850.105595816,42.1
36615.083710767714,2138181714.3735292,604018.841796403,42.2
36205.32049203649,2122964928.7029707,600252.9744174021,42.3
35802.58557586745,2107856426.4276042,596551.2871930065,42.4
35406.72895111553,2092855437.2334113,592912.5929293624,42.5
35017.60459138948,2077961196.2801886,589335.733171501,42.6
34635.069881651514,2063172944.163112,585819.5748070838,42.7
34258.985736834344,2048489926.8741314,582363.0106371074,42.8
33889.2164988582,2033911395.7637718,578964.9586796048,42.9
33525.62983272842,2019436607.5032103,575624.3614705735,43.0
33168.09662426642,2005064824.0466082,572340.1853767431,43.1
32816.49087923437,1990795312.593711,569111.4199187969,43.2
32470.68979787807,1976627345.5526428,565937.0780308322,43.3
32130.57375840307,1962560200.5029912,562816.195838123,43.4
31796.025858932546,1948593160.159322,559747.8300885098,43.5
31466.932013968977,1934725512.3347354,556731.058536614,43.6
31143.18087575087,1920956549.9047453,553764.9793989019,43.7
30824.663754440597,1907285570.771411,550848.710804917,43.8
30511.27453968466,1893711877.8277164,547981.3902580854,43.9
30202.909623376032,1880234778.9222038,545162.174105084,44.0
29899.467930582236,1866853586.8238962,542390.2376446314,44.1
29600.850903561295,1853567619.1874435,539664.7749610402,44.2
29306.96219410443,1840376198.5183873,536984.9970389145,44.3
29017.707712949334,1827278652.1388173,534350.1319852824,44.4
28732.995568287497,1814274312.1532278,531759.4245990241,44.5
28452.736003380513,1801362515.414604,529212.1359364478,44.6
28176.84133523438,1788542603.4907484,526707.5428845036,44.7
27905.225894204872,1775813922.6308432,524244.93774087494,44.8
27637.80607993894,1763175823.7323592,521823.6284529064,44.9
27374.500352843756,1750627662.3081417,519442.93849381676,45.0
27115.228902608556,1738168798.4533803,517102.2049158429,45.1
26859.9137341882,1725798596.8132427,514800.7787633689,45.2
26608.478618513593,1713516426.550597,512538.0247232069,45.3
26360.849040960682,1701321661.31395,510313.3207635778,45.4
26116.952150316858,1689213679.2056196,508126.0577772246,45.5
25876.71670813309,1677191862.7501187,505975.63922798214,45.6
25640.073038350834,1665255598.8627667,503861.4808001384,45.7
25406.952977092344,1653404278.8185163,501783.01004991203,45.8
25177.290007597127,1641637298.2212753,499739.6671174468,45.9
24951.01952867053,1629954056.9736538,497730.9062038491,46.0
24728.078034685404,1618353959.2452705,495756.19082144124,46.1
24508.403396332935,1606836413.4429421,493814.99534331664,46.2
24291.934849512134,1595400832.18064,491906.8048839375,46.3
24078.612957776488,1584046632.2496126,490031.1150294108,46.4
23868.379575241855,1572773234.5887258,488187.4315713469,46.5
23661.177809881123,1561580064.2550015,486375.27024384076,46.6
23456.951987131553,1550466550.3943655,484594.15646311827,46.7
23255.647613740544,1539432126.212599,482843.6250693876,46.8
23057.21140620965,1528476228.9467063,481123.2204597169,46.9
22861.59150874398,1517598299.8371303,479432.4978665563,47.0
22668.737007111373,1506797784.0977824,477771.0203832209,47.1
22478.598042258884,1496074130.888297,476138.3596135421,47.2
22291.12581524564,1485426793.2861168,474534.09566561563,47.3
22106.27255880147,1474855228.2586563,472957.8169446238,47.4
21923.991509210555,1464358896.6356664,471409.1199483115,47.5
21744.236878466472,1453937263.0817847,469887.60906478507,47.6
21566.96382664559,1443589796.0692818,468392.89637230086,47.7
21392.128434445487,1433315967.8509965,466924.601440712,47.8
21219.68770420969,1423115254.4335861,465482.35130142636,47.9
21049.599772528218,1412987135.5519507,464065.78166463913,48.0
20881.823539738016,1402931094.641137,462674.53470151214,48.1
20716.318710529846,1392946618.8103337,461308.25924924517,48.2
20553.04582092723,1383033198.8169827,459966.6109364438,48.3
20391.966217089943,1373190329.0408483,458649.2520252074,48.4
20233.042034406895,1363417507.4582717,457355.85125547997,48.5
20076.236176842085,1353714235.6166015,456086.0836914301,48.6
19921.5122964979,1344080018.6088033,454839.6305696315,48.7
19768.834773359602,1334514365.0482485,453616.1791488131,48.8
