AA,Cn,DFG,E1,E2,FA,Fru,Glu,Gly,MG,Man,Mel,_1DG,_3DG,Time
0.25081802033706146,0.6341278310075623,7.432517105530393,0.12946959588806348,0.38379270700307416,0.028997927940454155,0.016649677206936,0.048533957735473296,1.0503762249865507,0.027431152431675796,0.03039224572770544,0.0038443665919109093,0.040647192279231595,0.027640525183612295,5.2
0.25169506167218997,0.6351811608719554,7.4297824424444565,0.1295522984919071,0.38408464862457226,0.029106421272946378,0.016701125005005927,0.04867960882060929,1.0527135533348735,0.027532062505088495,0.03048356649520702,0.0038670571041830755,0.04068693094959477,0.02771174075226325,5.21
0.2525730274905514,0.6362338759277575,7.427048785529381,0.12963462807552906,0.3843755054608652,0.029215101547320887,0.016752611849706188,0.048825350752918266,1.0550512451473388,0.027633140008960295,0.030574944868296948,0.0038898357868784724,0.04072653177680708,0.027782940942750974,5.22
0.2534519150610974,0.6372859762616402,7.424316134414963,0.129716585677434,0.3846652801176423,0.029323968661607167,0.016804137595780835,0.048971183109247036,1.0573892969968923,0.02773438484553462,0.030666380582957644,0.0039127027930611355,0.040765995090660936,0.027854125479245925,5.23
0.25433172170548246,0.6383374619574287,7.421584488731144,0.12979817232362462,0.38495397517927504,0.029433022513397286,0.016855702099234787,0.04911710547183938,1.0597277054893808,0.027835796917185726,0.030757873378533807,0.003935658276568297,0.04080532118837214,0.027925294092087913,5.24
0.25521244503652313,0.6393883330821925,7.418853848108056,0.12987938897744086,0.385241593129702,0.029542262997913335,0.016907305222025704,0.04926311745002783,1.062066467387886,0.027937376127021154,0.03084942301124563,0.003958702396907209,0.040844510171127356,0.02799644654366169,5.25
0.25609408202265616,0.6404385897408227,7.416124212175845,0.12996023673638335,0.3855281366628742,0.0296516900155909,0.016958946813653356,0.04940921859511858,1.0644055791248475,0.02803912237651827,0.03094102920116508,0.00398183530004265,0.040883562585303075,0.02806758252686619,5.26
0.2569766299614451,0.6414882320192415,7.41339558056485,0.13004071662731467,0.3858136083597346,0.0297613034641883,0.017010626730316003,0.049555408488955434,1.0667450373097047,0.028141035567983606,0.031032691687388137,0.00400505713838869,0.040922478755204286,0.028138701770759805,5.2700000000000005
0.25786008615669503,0.6425372600032395,7.41066795290555,0.13012082967439298,0.38609801079536954,0.029871103241403973,0.01706234482855586,0.04970168671454227,1.0690848385605023,0.028243115603737125,0.031124410209733597,0.004028368064177731,0.04096125900436234,0.028209804005517113,5.28
0.2587444479184421,0.6435856737784771,7.407941328828558,0.1302005768990803,0.38638134653902395,0.029981089244876913,0.017114100965258252,0.04984805285603956,1.0714249795038693,0.028345362386112245,0.031216184508740953,0.004051768229460111,0.04099990365553205,0.02828088896242496,5.29
0.25962971256294215,0.6446334734304867,7.405215707964626,0.13027995932015046,0.3866636181541159,0.03009126137218691,0.017165894997650713,0.04999450649876087,1.0737654567749966,0.028447775817455768,0.03130801432566814,0.004075257786103683,0.041038413030688774,0.028351956373878474,5.3
