Time,CaI,IP3,g,CaO,CaS,CaM,A,B,D,E,F,k2,L,R,kIP3R,PMleak,kSTIM,mw004dcb62_da5f_41c7_a7bd_033574894f48,mw78dd80b8_e003_4c62_81d1_547d001767af,mw3a93c3a6_623a_44fe_84e9_a47823defd1f,mwd21d3f76_d133_4053_8e44_02a538657e0a,mwf998b218_be11_4aa4_81ae_41141861fb42,mwc714c217_c8fd_4024_912c_681cd6931f59,mwd90ce3ea_f8d5_4f0a_8093_e39a2d3dbf33,mw886be93a_22c7_4966_a1fa_113afd832ae3,mwc8d6bdb5_59d4_43fa_b96d_7426f4857e0d,cytosol,outside,ER_store,mitochondria,kPLC,JPump,JChannel,kPhosphatase,inhibition_parameter1,inhibition_parameter2,mwbdcd6a40_1ae7_4c86_a99f_1fba0b8beaf7,mw530793e3_76b2_4483_be11_e94364306712,mwfaf5e05a_b642_4ee2_a069_3c2fc783fba4,mw69f19152_7258_45b0_bf9e_b196f19d7e03,ERtoMito
0.1,0.049953974165008345,0.004529139118849581,0.0019995122368707315,1000.0,1.9999874109369826,5.920650721512117e-05,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,0.03,0.005,0.03,0.6,1.0,1.0,1.0,1.0,0.049953974165008345,0.020041312472049926,0.019900092975618962,0.009058278237699162,3.107264570156883e-05,3.599122026367317e-05,0.0007698249153092884,0.0007633813144124627,1.441370291050713e-06,2.9429014690499887e-05,0.0006154667930603802
0.11,0.04995338508161863,0.004934029913625261,0.0019994630462256456,1000.0,1.9999821900196861,6.508105968346285e-05,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,0.03,0.005,0.03,0.6,1.0,1.0,1.0,1.0,0.04995338508161863,0.020040875411479142,0.019993387330687087,0.009868059827250522,3.107118156853744e-05,3.599033483206162e-05,0.0007698265342838273,0.000763364367352402,1.4413023059504644e-06,3.233012198190363e-05,0.0006183521854851677
0.12,0.049953788495651553,0.005330902388081182,0.0019994138620344363,1000.0,1.9999759758706948,7.095639207110162e-05,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,0.03,0.005,0.03,0.6,1.0,1.0,1.0,1.0,0.049953788495651553,0.02004117471738668,0.02009256980184236,0.010661804776162364,3.107218680556899e-05,3.598944951661985e-05,0.0007698284613026802,0.0007633759729624795,1.4413488630102298e-06,3.5228229231022106e-05,0.0006214196845930626
0.13,0.04995523334810145,0.005719925389363821,0.0019993647096058454,1000.0,1.9999687174759373,7.683428794233189e-05,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,0.03,0.005,0.03,0.6,1.0,1.0,1.0,1.0,0.04995523334810145,0.020042246713965074,0.02019722899590956,0.011439850778727643,3.107578337019445e-05,3.5988564772905216e-05,0.0007698307122117957,0.0007634175397651473,1.4415156192688664e-06,3.8124219247244007e-05,0.0006246565668838009
0.14,0.049957764228313224,0.006101264883074512,0.0019993156154119005,1000.0,1.9999603682918015,8.271639873654469e-05,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,0.03,0.005,0.03,0.6,1.0,1.0,1.0,1.0,0.049957764228313224,0.02004412453225121,0.020306976521935347,0.012202529766149025,3.108208290380165e-05,3.5987681077414206e-05,0.0007698333014771536,0.0007634903525989186,1.4418077532472046e-06,4.10189057518814e-05,0.0006280508202660417
0.15,0.04996142163626491,0.006475083969962919,0.0019992666069860196,1000.0,1.9999508859762636,8.860425156703498e-05,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,0.03,0.005,0.03,0.6,1.0,1.0,1.0,1.0,0.04996142163626491,0.020046838309322797,0.020421445990973355,0.012950167939925839,3.109118745069767e-05,3.598679892574835e-05,0.0007698362422686149,0.0007635955803592726,1.4422299983015369e-06,4.391303760045515e-05,0.0006315911131228873
0.16,0.049966242213778045,0.006841542902071063,0.001999217712835178,1000.0,1.9999402321518498,9.449925609909753e-05,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,0.03,0.005,0.03,0.6,1.0,1.0,1.0,1.0,0.049966242213778045,0.02005041536396303,0.02054029203408952,0.013683085804142125,3.1103190093199174e-05,3.59859188310332e-05,0.0007698395465338511,0.000763734282825403,1.442786672082087e-06,4.680730252270862e-05,0.000635266763940913
0.17,0.04997225901078919,0.007200799104991498,0.0019991689623412093,1000.0,1.999928372132628,0.00010040271247809785,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,0.03,0.005,0.03,0.6,1.0,1.0,1.0,1.0,0.04997225901078919,0.020054880397862747,0.02066318934515766,0.014401598209982996,3.111817566737581e-05,3.598504132214176e-05,0.0007698432250833759,0.0007639074184755087,1.4434817097326001e-06,4.970233135063998e-05,0.000639067711705907
0.18,0.049979501676913826,0.007553007197002361,0.0019991203856923765,1000.0,1.9999152747277689,0.00010631581703967871,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,0.03,0.005,0.03,0.6,1.0,1.0,1.0,1.0,0.049979501676913826,0.02006025564091498,0.020789831745149367,0.015106014394004722,3.1136221286310823e-05,3.5984166942462776e-05,0.0007698472876517793,0.0007641158501325692,1.4443186881616568e-06,5.2598701131239994e-05,0.0006429844869633825
0.19,0.04998799665081784,0.00789831900965423,0.0019990720138162305,1000.0,1.999900912047353,0.00011223966795484543,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,0.03,0.005,0.03,0.6,1.0,1.0,1.0,1.0,0.04998799665081784,0.02006656099440878,0.02091993127212693,0.01579663801930846,3.115739685141176e-05,3.598329624869215e-05,0.0007698517429582096,0.0007643603505270064,1.4453008497597146e-06,5.5496938185972295e-05,0.0006470081836740287
0.2,0.04999776738804875,0.008236883614561593,0.001999023878300337,1000.0,1.9998852592687228,0.00011817527202636678,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,0.03,0.005,0.03,0.6,1.0,1.0,1.0,1.0,0.04999776738804875,0.020073814202314848,0.0210532173023973,0.016473767229123186,3.118176565339051e-05,3.598242980940606e-05,0.000769856598779045,0.0007646416089470742,1.4464311302754791e-06,5.8397521711787775e-05,0.0006511304320329062
0.21,0.05000883456530498,0.00856884735088368,0.0019989760113236273,1000.0,1.999868294426972,0.0001241235507882322,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,0.03,0.005,0.03,0.6,1.0,1.0,1.0,1.0,0.05000883456530498,0.020082031004662982,0.02118943570051684,0.01713769470176736,3.1209384908847964e-05,3.598156820382529e-05,0.0007698618620130324,0.0007649602371933793,1.4477121837053224e-06,6.130088701780429e-05,0.0006553433721809331
0.22,0.05002121625433407,0.00889435385230507,0.0019989284456003093,1000.0,1.999849998236559,0.000130085345704229,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,0.03,0.005,0.03,0.6,1.0,1.0,1.0,1.0,0.05002121625433407,0.020091225267971337,0.02132834799752388,0.01778870770461014,3.124030621570577e-05,3.598071202080557e-05,0.0007698675387367248,0.0007653167746421598,1.4491464034184494e-06,6.420742830137806e-05,0.0006596396287893984
0.23,0.05003492808540334,0.009213544075004042,0.001998881214328603,1000.0,1.9998303539236049,0.00013606142305859137,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,0.03,0.005,0.03,0.6,1.0,1.0,1.0,1.0,0.05003492808540334,0.020101409107547537,0.021469730598879667,0.018427088150008084,3.127457597744966e-05,3.597986185791485e-05,0.000769873634256563,0.0007657116929920564,1.4507359418354065e-06,6.711750125599297e-05,0.0006640122865632888
0.24,0.050049983407487446,0.00952655632712219,0.0019988343511415135,1000.0,1.9998093470615466,0.0001420524787509839,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,0.03,0.005,0.03,0.6,1.0,1.0,1.0,1.0,0.050049983407487446,0.020112593006990868,0.021613374022986298,0.01905311265424438,3.131223581437279e-05,3.5979018320547244e-05,0.0007698801531598747,0.0007661454009011225,1.4524827295036085e-06,7.003142561557618e-05,0.0006684548666902978
0.25,0.05006639344313472,0.009833526299489932,0.001998787890060361,1000.0,1.99978696541224,0.0001480591429350457,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,0.03,0.005,0.03,0.6,1.0,1.0,1.0,1.0,0.05006639344313472,0.020124785933410865,0.0217590821702701,0.019667052598979863,3.1353322957140526e-05,3.59781820210865e-05,0.0007698870993641462,0.0007666182484566054,1.4543884933528513e-06,7.294948760626934e-05,0.0006729613042351576
0.26,0.050084167428285586,0.010134587095796944,0.0019987418654541017,1000.0,1.9997631987824895,0.00015408198420946935,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,0.03,0.005,0.03,0.6,1.0,1.0,1.0,1.0,0.050084167428285586,0.02013799544116156,0.02190667162117587,0.020269174191593888,3.139787059869929e-05,3.5977353578173824e-05,0.0007698944761614738,0.0007671305311983453,1.4564547730186393e-06,7.58719421652696e-05,0.0006775259264281198
0.27,0.05010331275696788,0.010429869266236345,0.0019986963119982826,1000.0,1.9997380388755623,0.00016012151395794217,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,0.03,0.005,0.03,0.6,1.0,1.0,1.0,1.0,0.05010331275696788,0.020152227778921814,0.022055970966029237,0.02085973853247269,3.144590825477612e-05,3.597653361596908e-05,0.000769902286264541,0.0007676824942710173,1.4586829375639956e-06,7.879901521746949e-05,0.0006821434319390485
0.28,0.05012383512105854,0.010719500842822952,0.001998651264637093,1000.0,1.9997114791477464,0.00016617819054542515,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,0.03,0.005,0.03,0.6,1.0,1.0,1.0,1.0,0.05012383512105854,0.020167487992868063,0.02220682016526068,0.021439001685645904,3.14974621089095e-05,3.5975722763467674e-05,0.0007699105318510059,0.0007682743364240401,1.4610742014837689e-06,8.173090586783702e-05,0.0006868088710905364
0.29,0.0501457386251275,0.011003607371598797,0.0019986067585537684,1000.0,1.9996835146904663,0.00017225242277084903,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,0.03,0.005,0.03,0.6,1.0,1.0,1.0,1.0,0.0501457386251275,0.020183780011103623,0.022359069935231728,0.022007214743197594,3.1552555292142846e-05,3.597492165396783e-05,0.0007699192145999316,0.000768906213283857,1.4636296376782793e-06,8.466778822026553e-05,0.0006915176268628368
0.3,0.050169025894666874,0.011282311945209435,0.001998562829143594,1000.0,1.9996541421191794,0.0001783445731231477,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,0.03,0.005,0.03,0.6,1.0,1.0,1.0,1.0,0.050169025894666874,0.020201106722961916,0.022512581161692052,0.02256462389041887,3.1611208143442714e-05,3.597413092458468e-05,0.0007699283357260894,0.0007695782404267315,1.4663501895328842e-06,8.760981308988245e-05,0.0006962653967533623
0.31,0.05019369818372465,0.011555735236965733,0.001998519511987581,1000.0,1.999623359462878,0.0001844549610206556,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,0.03,0.005,0.03,0.6,1.0,1.0,1.0,1.0,0.05019369818372465,0.02021947005768531,0.022667224341384504,0.023111470473931466,3.167343846631366e-05,3.5973351215776456e-05,0.0007699378960140553,0.0007702904964267408,1.4692366828211386e-06,9.055710969640838e-05,0.0007010481755067372
0.32,0.05021975548141649,0.011823995536377174,0.001998476842827147,1000.0,1.9995911660547376,0.0001905838660184972,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,0.03,0.005,0.03,0.6,1.0,1.0,1.0,1.0,0.05021975548141649,0.020238871062118132,0.022822879051276106,0.023647991072754348,3.173926178069861e-05,3.597258317088864e-05,0.0007699478958519352,0.0007710430258650534,1.4722898373892681e-06,9.350978733123321e-05,0.000705862238699261
0.33,0.050247196611702155,0.012087208784931823,0.001998434857541529,1000.0,1.9995575624296655,0.00019673153081619917,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,0.03,0.005,0.03,0.6,1.0,1.0,1.0,1.0,0.050247196611702155,0.02025930997326213,0.022979433443532944,0.024174417569863646,3.180869155636267e-05,3.597182743574752e-05,0.0007699583352629362,0.0007718358421395472,1.475510277981764e-06,9.646793691765058e-05,0.0007107041271195755
0.34,0.050276019324678844,0.012345488611583522,0.0019983935921283518,1000.0,1.999522550230548,0.00020289816401293048,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,0.03,0.005,0.03,0.6,1.0,1.0,1.0,1.0,0.050276019324678844,0.02028078628441047,0.02313678376481916,0.024690977223167043,3.1881739423571494e-05,3.597108465831033e-05,0.0007699692139342266,0.0007726689300250288,1.4788985440137797e-06,9.943163243978124e-05,0.0007155706319016235
0.35000000000000003,0.050306220381056824,0.012598946368078972,0.0019983530826866536,1000.0,1.9994861321214872,0.00020908394265973046,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,0.03,0.005,0.03,0.6,1.0,1.0,1.0,1.0,0.050306220381056824,0.020303298806114645,0.023294833899176304,0.025197892736157943,3.195841536545139e-05,3.597035548835976e-05,0.0007699805312436161,0.0007735422480327455,1.4824550984938454e-06,0.00010240093226486818,0.000720458780386896
0.36,0.05033779563215605,0.012847691164476134,0.0019983133654015587,1000.0,1.999448311705631,0.00021528901467839117,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,0.03,0.005,0.03,0.6,1.0,1.0,1.0,1.0,0.05033779563215605,0.020326845723741875,0.023453494934029335,0.025695382328952267,3.203872789815122e-05,3.5969640577228056e-05,0.000769992286284805,0.000774455730637429,1.4861803363807647e-06,0.0001053758803931252,0.0007253658227019382
0.37,0.050370740096315265,0.013091829904922444,0.0019982744765303017,1000.0,1.9994090934466808,0.00022151350117359902,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,0.03,0.005,0.03,0.6,1.0,1.0,1.0,1.0,0.050370740096315265,0.020351424652304804,0.023612684748615484,0.026183659809844887,3.212268424129191e-05,3.596894057754543e-05,0.0007700044778914854,0.0007754092903983639,1.4900745924900038e-06,0.00010835650764838573,0.0007302892190293449
0.38,0.05040504803064368,0.013331467323578082,0.0019982364523899684,1000.0,1.9993684825951739,0.00022775749860643276,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,0.03,0.005,0.03,0.6,1.0,1.0,1.0,1.0,0.05040504803064368,0.020377032687781585,0.02377232762377886,0.026662934647156165,3.221029047618921e-05,3.596825614301943e-05,0.000770017104659958,0.0007764028199442081,1.4941381488329378e-06,0.00011134283279470867,0.0007352266275395523
0.39,0.050440712998359845,0.013566706020434255,0.001998199329346801,1000.0,1.9993264851192902,0.00023402108083638059,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,0.03,0.005,0.03,0.6,1.0,1.0,1.0,1.0,0.050440712998359845,0.020403666455121847,0.023932353872116174,0.02713341204086851,3.230155169263678e-05,3.5967587928242416e-05,0.0007700301649703433,0.0007774361938291862,1.4983712414254722e-06,0.00011433486358289537,0.0007401758929520465
0.4,0.05047772793187033,0.013797646496973227,0.0019981631438069714,1000.0,1.9992831076400297,0.00024030430103632976,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,0.03,0.005,0.03,0.6,1.0,1.0,1.0,1.0,0.05047772793187033,0.020431322153064226,0.024092699487568914,0.027595292993946453,3.239647212478539e-05,3.596693658852548e-05,0.0007700436570064352,0.0007785092702655692,1.5027740665908815e-06,0.0001173325977295473,0.0007451350356980076
0.41000000000000003,0.05051608519191914,0.014024387191729307,0.001998127932208682,1000.0,1.9992383573704169,0.0002466071934903162,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,0.03,0.005,0.03,0.6,1.0,1.0,1.0,1.0,0.05051608519191914,0.02045999559602298,0.024253305813672816,0.028048774383458614,3.24950552770941e-05,3.596630277975627e-05,0.0007700575787743064,0.000779621892742466,1.5073467868021356e-06,0.00012033602383381403,0.000750102241659984
0.42,0.05055577662315226,0.014247024515761788,0.00199809373101547,1000.0,1.9991922420583847,0.00025292977528425795,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,0.03,0.005,0.03,0.6,1.0,1.0,1.0,1.0,0.05055577662315226,0.020489682253310732,0.02441411922967572,0.028494049031523576,3.2597304041355386e-05,3.596568715827846e-05,0.0007700719281197727,0.0007807738915413162,1.5120895361101868e-06,0.00012334512223714396,0.0007550758524641976
0.43,0.05059679360630945,0.014465652887977885,0.0019980605767106227,1000.0,1.9991447699331149,0.0002592720478959663,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,0.03,0.005,0.03,0.6,1.0,1.0,1.0,1.0,0.05059679360630945,0.020520377285864828,0.024575090853690924,0.02893130577595577,3.2703220805447746e-05,3.596509038079121e-05,0.0007700867027447901,0.0007819650851546101,1.517002425188535e-06,0.00012635986582943738,0.0007600543562997194
0.44,0.05063912710717239,0.01468036477024032,0.0019980285057926354,1000.0,1.999095949654707,0.00026563399868824667,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,0.03,0.005,0.03,0.6,1.0,1.0,1.0,1.0,0.05063912710717239,0.020552075580581627,0.024736176262056656,0.02936072954048064,3.281280755424367e-05,3.596451310426744e-05,0.0007701019002228206,0.0007831952816119086,1.5220855460139145e-06,0.0001293802208037953,0.0007650363792388655
0.45,0.05068276772241816,0.01489125070223242,0.0019979975547716566,1000.0,1.9990457902670218,0.00027201560230949483,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,0.03,0.005,0.03,0.6,1.0,1.0,1.0,1.0,0.05068276772241816,0.020584771782377005,0.024897335224121415,0.02978250140446484,3.292606596313876e-05,3.5963955985889816e-05,0.0007701175180132197,0.0007844642797177751,1.5273389762047074e-06,0.0001324061473623232,0.0007700206770346829
0.46,0.05072770572256707,0.015098399336073548,0.0019979677601668325,1000.0,1.998994301153505,0.000278416822007398,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,0.03,0.005,0.03,0.6,1.0,1.0,1.0,1.0,0.05072770572256707,0.020618460324120624,0.02505853145172096,0.030196798672147095,3.3042997484760554e-05,3.5963419683002985e-05,0.0007701335534747042,0.0007857718702073567,1.532762783042996e-06,0.00013543760037599962,0.0007750061273728132
0.47000000000000003,0.050773931092211615,0.015301897470669535,0.0019979391585044875,1000.0,1.9989414919958002,0.0002848376108612845,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,0.03,0.005,0.03,0.6,1.0,1.0,1.0,1.0,0.050773931092211615,0.02065313545458881,0.02521973236263405,0.03060379494133907,3.316360342940122e-05,3.5962904853080774e-05,0.0007701500038779609,0.0007871178368252579,1.5383570272054921e-06,0.00013847453000156377,0.0007799917225556923
0.48,0.05082143356768293,0.015501830085771346,0.001997911786317076,1000.0,1.9988873727349898,0.00029127791293777187,3.0,0.266,2.0,5.0,0.018,0.175,0.01,1.0,0.175,0.0346,1.0,0.02,0.13,0.2,0.013,1.0,0.03,0.005,0.03,0.6,1.0,1.0,1.0,1.0,0.05082143356768293,0.020688791264557766,0.0253809088573177,0.031003660171542692,3.3287885039631725e-05,3.596241215370736e-05,0.0007701668664174462,0.0007885019573324416,1.5441217662245676e-06,0.0001415168822579309,0.0007849765625974546
