data_set_T_figure_2b,data_set_C_figure_2b,data_set_CE_figure_2b,data_set_H_figure_2b,data_set_ICAN_figure_2b,data_set_INAPS_figure_2b,data_set_L_figure_2b,data_set_N_figure_2b,data_set_V_figure_2b
180.0,0.024152217,6.626204,0.33135527,-2.5862081,-2.3333397,0.72097039,0.0012151967,-55.847759
190.0,0.023911836,6.6275034,0.33201253,-2.5623708,-2.3341503,0.72563511,0.0012117865,-55.85894
200.0,0.023693779,6.6286821,0.33266976,-2.5407181,-2.3353665,0.73021024,0.0012087447,-55.868908
210.0,0.023496376,6.6297493,0.33332688,-2.5210919,-2.336957,0.73469698,0.001206052,-55.87775
220.0,0.023318121,6.630713,0.33398378,-2.5033484,-2.3388939,0.73909652,0.0012036866,-55.885551
230.0,0.023157649,6.6315804,0.33464044,-2.4873571,-2.3411527,0.74341011,0.0012016133,-55.892384
240.0,0.023013726,6.6323581,0.33529672,-2.4729993,-2.3437102,0.74763894,0.001199814,-55.898315
250.0,0.022885229,6.6330528,0.33595258,-2.4601676,-2.3465464,0.75178432,0.001198273,-55.903408
260.0,0.022771144,6.6336694,0.33660793,-2.4487629,-2.3496428,0.75584751,0.0011969679,-55.907719
270.0,0.022670543,6.6342134,0.33726275,-2.4386959,-2.3529823,0.7598297,0.001195883,-55.911293
280.0,0.022582581,6.6346889,0.33791694,-2.4298844,-2.35655,0.76373214,0.0011950064,-55.914185
290.0,0.022506492,6.6350999,0.33857048,-2.4222531,-2.3603318,0.76755613,0.0011943232,-55.916431
300.0,0.022441573,6.6354508,0.33922333,-2.4157341,-2.3643155,0.77130282,0.001193821,-55.918072
310.0,0.022387186,6.635745,0.33987537,-2.4102638,-2.3684893,0.77497351,0.0011934903,-55.919144
320.0,0.022342743,6.6359854,0.34052664,-2.4057851,-2.3728428,0.77856934,0.0011933208,-55.919678
330.0,0.022307709,6.6361747,0.34117708,-2.402245,-2.3773668,0.78209156,0.0011933033,-55.919701
340.0,0.022281598,6.6363158,0.34182662,-2.3995953,-2.3820524,0.78554142,0.00119343,-55.919243
350.0,0.022263961,6.6364112,0.34247524,-2.3977919,-2.3868916,0.78891999,0.0011936936,-55.918327
360.0,0.022254391,6.6364627,0.3431229,-2.3967938,-2.3918774,0.79222858,0.0011940871,-55.916981
370.0,0.022252515,6.6364727,0.34376958,-2.3965642,-2.3970032,0.79546821,0.0011946046,-55.915215
380.0,0.022257991,6.6364431,0.34441525,-2.397069,-2.4022629,0.79864007,0.0011952405,-55.913059
390.0,0.02227051,6.6363754,0.34505987,-2.398277,-2.4076514,0.80174536,0.0011959898,-55.910526
400.0,0.02228979,6.6362715,0.34570339,-2.4001601,-2.4131634,0.80478513,0.001196848,-55.907627
410.0,0.022315573,6.6361322,0.34634584,-2.4026923,-2.4187949,0.80776048,0.001197811,-55.904385
420.0,0.022347627,6.6359587,0.34698716,-2.4058499,-2.4245417,0.81067246,0.001198875,-55.900806
430.0,0.022385741,6.6357527,0.34762734,-2.4096119,-2.4304001,0.81352228,0.0012000367,-55.896908
440.0,0.022429727,6.6355152,0.34826633,-2.4139588,-2.4363673,0.81631082,0.0012012933,-55.892696
450.0,0.022479417,6.6352463,0.34890413,-2.4188735,-2.4424398,0.81903923,0.001202642,-55.888187
460.0,0.022534657,6.6349478,0.34954071,-2.4243405,-2.4486158,0.82170844,0.0012040804,-55.883381
470.0,0.022595316,6.6346197,0.35017607,-2.430346,-2.4548926,0.82431948,0.0012056066,-55.878292
480.0,0.022661278,6.6342635,0.35081017,-2.4368777,-2.4612689,0.82687342,0.0012072189,-55.872921
490.0,0.022732442,6.6338787,0.35144296,-2.4439256,-2.4677424,0.82937109,0.0012089156,-55.867279
500.0,0.022808725,6.6334662,0.3520745,-2.4514802,-2.4743125,0.83181351,0.0012106956,-55.861374
510.0,0.022890057,6.6330266,0.3527047,-2.4595342,-2.480978,0.83420157,0.0012125578,-55.855202
520.0,0.022976384,6.6325603,0.35333356,-2.4680817,-2.4877381,0.83653623,0.0012145016,-55.848774
530.0,0.023067664,6.6320667,0.35396108,-2.4771175,-2.4945922,0.83881837,0.0012165264,-55.842087
540.0,0.02316387,6.6315465,0.35458726,-2.4866388,-2.5015404,0.84104884,0.0012186319,-55.835148
550.0,0.023264989,6.631,0.355212,-2.4966431,-2.5085828,0.84322852,0.0012208181,-55.827953
560.0,0.023371024,6.6304269,0.35583538,-2.5071299,-2.5157194,0.84535819,0.0012230851,-55.820511
570.0,0.023481987,6.629827,0.35645735,-2.5181,-2.5229509,0.84743875,0.0012254333,-55.812817
580.0,0.023597909,6.6292005,0.35707787,-2.5295551,-2.5302784,0.84947097,0.0012278635,-55.804867
590.0,0.023718828,6.6285467,0.35769692,-2.5414989,-2.5377028,0.85145563,0.0012303762,-55.796665
600.0,0.023844806,6.6278658,0.35831451,-2.5539358,-2.5452256,0.85339344,0.0012329728,-55.788212
610.0,0.023975911,6.6271572,0.35893065,-2.5668719,-2.5528483,0.85528523,0.0012356545,-55.779495
620.0,0.024112228,6.6264205,0.35954526,-2.5803149,-2.5605733,0.85713166,0.0012384229,-55.770519
630.0,0.024253864,6.6256547,0.36015835,-2.5942736,-2.5684025,0.85893345,0.00124128,-55.761276
640.0,0.024400933,6.6248598,0.36076993,-2.6087592,-2.5763388,0.86069131,0.0012442278,-55.751762
650.0,0.024553576,6.6240349,0.36137992,-2.6237833,-2.5843852,0.86240584,0.0012472686,-55.741974
660.0,0.024711946,6.6231785,0.36198837,-2.6393604,-2.5925446,0.86407775,0.0012504054,-55.731899
670.0,0.024876216,6.6222906,0.3625952,-2.6555064,-2.6008213,0.86570764,0.0012536412,-55.721535
680.0,0.025046583,6.6213698,0.36320043,-2.6722388,-2.6092191,0.8672961,0.0012569794,-55.710869
690.0,0.025223264,6.6204147,0.36380404,-2.6895781,-2.6177425,0.86884367,0.0012604237,-55.699894
700.0,0.025406504,6.6194243,0.36440599,-2.7075458,-2.6263971,0.87035102,0.0012639785,-55.688599
710.0,0.025596568,6.6183968,0.3650063,-2.726167,-2.6351881,0.8718186,0.0012676483,-55.676971
720.0,0.025793757,6.617331,0.36560488,-2.7454691,-2.6441219,0.87324691,0.0012714384,-55.664997
730.0,0.025998401,6.6162248,0.36620176,-2.7654824,-2.6532052,0.87463641,0.0012753545,-55.652664
740.0,0.026210859,6.6150765,0.36679691,-2.7862401,-2.6624455,0.87598765,0.0012794029,-55.639954
750.0,0.02643154,6.6138835,0.36739028,-2.8077796,-2.6718512,0.87730104,0.0012835903,-55.626846
760.0,0.026660884,6.6126437,0.36798188,-2.8301415,-2.6814315,0.87857693,0.0012879247,-55.613327
770.0,0.026899384,6.6113548,0.36857164,-2.8533714,-2.6911964,0.8798157,0.0012924145,-55.599365
780.0,0.027147586,6.610013,0.36915958,-2.8775191,-2.7011571,0.88101774,0.001297069,-55.584946
790.0,0.027406093,6.6086159,0.36974561,-2.9026401,-2.7113259,0.88218331,0.0013018987,-55.570038
800.0,0.027675577,6.6071591,0.37032974,-2.9287961,-2.7217164,0.88331276,0.0013069151,-55.554607
810.0,0.027956778,6.605639,0.37091193,-2.9560549,-2.7323442,0.88440627,0.0013121309,-55.538628
820.0,0.028250532,6.6040511,0.37149215,-2.9844933,-2.7432253,0.88546407,0.0013175607,-55.52206
830.0,0.028557766,6.6023903,0.37207031,-3.0141954,-2.7543795,0.88648629,0.0013232202,-55.50486
840.0,0.028879514,6.6006513,0.37264642,-3.0452566,-2.7658272,0.88747305,0.0013291275,-55.486984
850.0,0.029216947,6.5988274,0.37322041,-3.0777829,-2.7775919,0.8884244,0.0013353025,-55.468384
860.0,0.029571377,6.5969114,0.37379226,-3.1118941,-2.7897003,0.88934034,0.0013417678,-55.448997
870.0,0.029944286,6.5948958,0.37436187,-3.1477246,-2.8021824,0.89022082,0.0013485493,-55.428761
880.0,0.03033736,6.5927711,0.37492922,-3.1854277,-2.8150716,0.89106578,0.0013556756,-55.407604
890.0,0.030752517,6.5905271,0.37549421,-3.2251763,-2.8284066,0.89187485,0.0013637464,-55.385441
900.0,0.031191949,6.5881515,0.37605679,-3.2671685,-2.842231,0.89264792,0.0013712024,-55.362179
910.0,0.031658176,6.5856314,0.3766169,-3.3116312,-2.8565953,0.89338446,0.0013792857,-55.337708
920.0,0.032154117,6.5829506,0.37717441,-3.3588262,-2.8715572,0.89408404,0.0013886503,-55.311909
930.0,0.032683149,6.580091,0.37772927,-3.4090559,-2.8871837,0.89474601,0.0013976338,-55.284637
940.0,0.033249229,6.5770311,0.37828135,-3.4626734,-2.9035528,0.89536959,0.0014079562,-55.255726
950.0,0.033857014,6.5737457,0.37883052,-3.5200925,-2.9207561,0.89595383,0.0014184857,-55.224987
960.0,0.034512024,6.5702052,0.37937671,-3.5818026,-2.9389019,0.89649761,0.0014313172,-55.192192
970.0,0.03522085,6.5663738,0.37991971,-3.6483843,-2.9581192,0.89699942,0.0014426726,-55.15707
980.0,0.035991445,6.5622082,0.38045937,-3.7205372,-2.9785619,0.89745772,0.0014564164,-55.119305
990.0,0.036833491,6.5576568,0.38099551,-3.7991066,-3.0004175,0.8978703,0.0014709949,-55.078514
1000.0,0.037758913,6.5526547,0.38152793,-3.8851304,-3.0239148,0.89823478,0.0014878082,-55.034229
1010.0,0.038782559,6.5471215,0.38205633,-3.979892,-3.0493379,0.89854819,0.001505195,-54.985874
1020.0,0.039923221,6.5409555,0.38258046,-4.0850058,-3.0770426,0.89880669,0.0015277476,-54.932739
1030.0,0.041204948,6.5340271,0.38309994,-4.2025232,-3.1074817,0.89900589,0.0015474289,-54.873924
1040.0,0.04265929,6.526166,0.38361436,-4.335115,-3.1412425,0.89914,0.0015740474,-54.808285
1050.0,0.044328179,6.5171452,0.38412327,-4.4862981,-3.1790984,0.89920193,0.0016019541,-54.734314
1060.0,0.046269074,6.5066538,0.38462597,-4.6608438,-3.2220945,0.8991825,0.0016371179,-54.650021
1070.0,0.048562594,6.494256,0.38512176,-4.8653665,-3.2716777,0.89906961,0.0016765902,-54.552692
1080.0,0.051326074,6.4793186,0.38560966,-5.1093621,-3.3299165,0.8988474,0.0017232524,-54.438507
1090.0,0.054737441,6.4608788,0.3860884,-5.4069939,-3.3998806,0.89849365,0.0017820625,-54.301929
1100.0,0.059080649,6.4374018,0.38655633,-5.7804132,-3.4863439,0.89797693,0.0018566455,-54.134571
1110.0,0.064839676,6.4062719,0.38701108,-6.2664247,-3.5971808,0.89724994,0.0019553953,-53.923023
1120.0,0.072914623,6.3626237,0.38744929,-6.9312305,-3.746424,0.89623737,0.0020918574,-53.644333
1130.0,0.085192464,6.296257,0.38786572,-7.9072938,-3.9618492,0.89480758,0.0022960238,-53.255394
1140.0,0.10638066,6.181726,0.38825148,-9.5022421,-4.3073711,0.89269918,0.0026411219,-52.664028
1150.0,0.15178145,5.9363165,0.38858962,-12.59357,-4.9675937,0.88927424,0.0033506716,-51.632626
1160.0,0.29091343,5.1842518,0.38884088,-20.030962,-6.6787896,0.88238072,0.0054574576,-49.395191
1170.0,0.67755902,3.0942757,0.38890699,-31.5214,-12.301921,0.86443043,0.015835484,-44.081081
1180.0,0.92357576,1.7644556,0.38526711,-37.525059,-9.0348787,0.83242124,0.45449358,-46.845646
1190.0,0.97703701,1.4754757,0.38188416,-27.106224,-25.399431,0.79710579,0.9330616,-18.297312
1200.0,0.98214442,1.447868,0.38164112,-35.047375,-19.436069,0.76323956,0.079232186,-38.113075
1210.0,0.97651678,1.4782877,0.37820238,-36.784035,-13.647717,0.73168713,0.10252044,-42.702435
1220.0,0.96768093,1.5260489,0.37475133,-37.729649,-10.277871,0.70249814,0.22188243,-45.450287
1230.0,0.95735848,1.5818462,0.37130308,-37.362427,-10.740639,0.67556572,0.72375184,-44.951542
1240.0,0.94598854,1.6433053,0.37032518,-17.703222,-16.736492,0.65075523,0.54330003,4.7800298
1250.0,0.93371779,1.7096335,0.36787456,-35.505493,-15.100249,0.62793159,0.078094773,-41.202374
1260.0,0.92060226,1.7805284,0.36454013,-36.573166,-11.028179,0.60696554,0.14434454,-44.521004
1270.0,0.90665048,1.8559434,0.36118895,-37.211483,-8.5027647,0.58773714,0.51425582,-46.812557
1280.0,0.8918919,1.9357195,0.35893896,-18.138729,-17.046965,0.57013381,0.87046039,2.4672778
1290.0,0.87638885,2.0195198,0.35785982,-34.558186,-14.612924,0.55404884,0.070921116,-41.266689
1300.0,0.8601976,2.1070399,0.35461861,-35.609776,-10.387673,0.53938371,0.1450679,-44.831913
1310.0,0.84329146,2.1984246,0.35135174,-35.661777,-9.247859,0.52604729,0.67450124,-45.826275
1320.0,0.82575506,2.2932158,0.35126999,-30.948359,-21.597321,0.51395375,0.070243709,-33.962994
1330.0,0.8077091,2.3907616,0.34815207,-33.975132,-12.087768,0.50302273,0.078199178,-43.120064
1340.0,0.78912151,2.491235,0.34496886,-34.866619,-8.3142166,0.49317998,0.29448161,-46.608501
1350.0,0.77007902,2.5941675,0.34279686,-16.97084,-16.292681,0.48435602,0.87255526,2.4309855
1360.0,0.75063258,2.6992831,0.34181312,-32.593273,-12.580482,0.47648618,0.060024954,-42.483749
1370.0,0.73084491,2.8062437,0.33869857,-33.515789,-8.4158459,0.46951076,0.2270284,-46.341072
1380.0,0.71073079,2.9149687,0.33713743,-15.204268,-14.93049,0.4633747,0.77025062,5.692111
1390.0,0.69037104,3.0250213,0.33561116,-31.514965,-11.588173,0.45802611,0.056673955,-43.178829
1400.0,0.66981524,3.1361339,0.33253342,-32.352222,-7.5478344,0.45341766,0.36314037,-47.125282
1410.0,0.64905858,3.2483318,0.3324987,-29.220924,-15.868795,0.44950548,0.047298919,-39.150391
1420.0,0.62820464,3.3610561,0.32953361,-30.637339,-9.4123106,0.44624874,0.0845204,-45.071442
1430.0,0.60722476,3.4744608,0.32670283,-20.027184,-20.433104,0.4436107,0.93176788,-13.270191
1440.0,0.58618391,3.5881951,0.32653964,-29.094841,-10.757728,0.44155654,0.043286171,-43.669113
1450.0,0.56510144,3.7021544,0.32352054,-29.133999,-8.6513443,0.44005519,0.70163792,-45.682262
1460.0,0.54395688,3.8164494,0.32357648,-27.736832,-11.326076,0.43907818,0.033308197,-43.033245
1470.0,0.52279639,3.9308302,0.32059738,-28.405697,-7.0254331,0.43859994,0.48675942,-47.422901
1480.0,0.50157714,4.0455289,0.32065693,-26.560194,-10.973652,0.43859753,0.0291411,-43.273094
1490.0,0.48032361,4.1604128,0.31769049,-26.45422,-8.8889036,0.43905085,0.7272085,-45.264732
1500.0,0.45900068,4.275672,0.31778115,-25.501047,-9.8059835,0.43994173,0.026605971,-44.327034
1510.0,0.43757361,4.3914938,0.31765482,-21.026352,-21.362761,0.44125572,0.05792186,-30.04122
1520.0,0.41605616,4.5078044,0.31492096,-24.475851,-8.0492077,0.44297951,0.044020191,-46.090252
1530.0,0.39437228,4.6250148,0.3149479,-22.995602,-10.710702,0.44510341,0.02334361,-43.339287
1540.0,0.37250051,4.7432404,0.31247619,-12.963987,-17.002869,0.44762006,0.91712451,-4.5614328
1550.0,0.35042524,4.8625665,0.31214005,-22.025322,-7.6727366,0.45052356,0.027026545,-46.436039
1560.0,0.3281073,4.9832039,0.31221211,-20.753801,-9.0765505,0.45381108,0.017269518,-44.904068
1570.0,0.30554438,5.1051655,0.31222793,-19.578531,-10.021552,0.45748147,0.021938574,-43.934509
1580.0,0.28278592,5.2281842,0.31220368,-18.400511,-10.843161,0.46153468,0.026751161,-43.116608
1590.0,0.2599791,5.3514643,0.31213468,-17.096815,-12.197671,0.46596867,0.034285504,-41.796364
1600.0,0.23731552,5.4739704,0.3092562,-16.844105,-7.4780993,0.47078019,0.66376722,-46.579758
1610.0,0.2150504,5.5943222,0.30945876,-15.928797,-6.1675043,0.47596192,0.010579837,-48.208275
1620.0,0.19353662,5.7106128,0.30966347,-14.745104,-6.0057731,0.48150054,0.0078399563,-48.429394
1630.0,0.17316657,5.8207211,0.30988789,-13.605168,-5.6311316,0.48737475,0.0069423607,-48.951225
1640.0,0.15432052,5.9225917,0.31014311,-12.50598,-5.1891084,0.49355465,0.0059185685,-49.599831
1650.0,0.13728146,6.0146947,0.31043398,-11.460583,-4.7572622,0.50000256,0.0049956944,-50.275723
1660.0,0.12218753,6.0962834,0.31076157,-10.485469,-4.369544,0.50667578,0.0042390651,-50.925808
1670.0,0.10903518,6.1673775,0.31112498,-9.5934296,-4.0361519,0.51352984,0.0036374354,-51.524403
1680.0,0.097706325,6.2286143,0.31152198,-8.7904062,-3.7559729,0.5205214,0.0031710721,-52.061363
1690.0,0.088015378,6.2809978,0.31194985,-8.0760126,-3.5232797,0.5276106,0.0028102193,-52.535183
1700.0,0.079749942,6.325676,0.31240565,-7.4453306,-3.3309934,0.53476226,0.0025292765,-52.949059
1710.0,0.07269986,6.3637843,0.31288633,-6.8909135,-3.1722028,0.54194617,0.0023084478,-53.308506
1720.0,0.066673324,6.3963604,0.31338906,-6.4043436,-3.0407894,0.54913676,0.0021330162,-53.619907
1730.0,0.061503541,6.424305,0.31391126,-5.9772363,-2.9316061,0.55631304,0.001992092,-53.889645
1740.0,0.057049554,6.4483809,0.31445056,-5.6017876,-2.8404481,0.56345749,0.0018777463,-54.123638
1750.0,0.053194206,6.4692206,0.31500486,-5.2710137,-2.7639358,0.57055593,0.0017846792,-54.327141
1760.0,0.049841002,6.4873462,0.31557232,-4.9788165,-2.6993742,0.57759672,0.0017053308,-54.504688
1770.0,0.046910673,6.5031857,0.31615135,-4.7199402,-2.6446199,0.58457047,0.0016393272,-54.660133
1780.0,0.044338193,6.5170908,0.31674054,-4.4898949,-2.5979669,0.59146941,0.0015839592,-54.796722
1790.0,0.042070102,6.5293508,0.31733868,-4.2848611,-2.558053,0.59828734,0.0015363251,-54.917171
1800.0,0.040062286,6.540204,0.31794468,-4.1015921,-2.5237846,0.60501939,0.0014955042,-55.023754
1810.0,0.0382782,6.5498476,0.31855762,-3.9373267,-2.4942789,0.61166155,0.001460186,-55.118374
1820.0,0.036687419,6.5584464,0.3191767,-3.7897143,-2.4688184,0.61821073,0.0014295212,-55.202621
1830.0,0.035264499,6.5661378,0.31980115,-3.6567478,-2.4468167,0.62466437,0.0014026347,-55.277851
1840.0,0.033988047,6.5730376,0.3204304,-3.5367081,-2.4277899,0.63102072,0.0013791644,-55.345188
1850.0,0.03283998,6.5792432,0.32106382,-3.4281192,-2.4113376,0.63727844,0.0013582261,-55.405598
1860.0,0.031804938,6.5848384,0.32170093,-3.3297081,-2.3971257,0.64343655,0.0013404672,-55.459904
1870.0,0.030869823,6.5898929,0.32234132,-3.2403743,-2.3848734,0.64949441,0.0013235179,-55.508808
1880.0,0.030023394,6.5944681,0.32298455,-3.1591613,-2.3743436,0.65545171,0.0013087122,-55.552906
1890.0,0.029255971,6.5986166,0.32363027,-3.085237,-2.365335,0.66130847,0.0012960263,-55.592728
1900.0,0.028559186,6.6023827,0.32427821,-3.0178735,-2.3576758,0.66706473,0.001284025,-55.628716
1910.0,0.02792576,6.6058068,0.32492802,-2.9564321,-2.3512182,0.67272091,0.0012735857,-55.661266
1920.0,0.027349353,6.6089225,0.32557943,-2.900351,-2.3458352,0.67827749,0.0012645943,-55.69072
1930.0,0.026824413,6.6117601,0.32623228,-2.8491344,-2.3414161,0.68373501,0.0012557188,-55.717381
1940.0,0.026346061,6.6143456,0.3268863,-2.8023436,-2.3378654,0.68909425,0.001248114,-55.741508
1950.0,0.025909999,6.6167026,0.32754132,-2.7595882,-2.3350985,0.69435602,0.0012413589,-55.763336
1960.0,0.025512425,6.6188517,0.32819712,-2.7205217,-2.3330426,0.69952124,0.0012351531,-55.78307
1970.0,0.025149968,6.620811,0.32885361,-2.6848342,-2.3316326,0.70459086,0.0012295992,-55.800892
1980.0,0.024819624,6.6225967,0.32951057,-2.6522484,-2.3308113,0.70956594,0.0012246835,-55.816967
1990.0,0.024518723,6.6242232,0.33016789,-2.6225154,-2.3305283,0.7144475,0.0012202135,-55.83144
2000.0,0.024244867,6.6257033,0.33082548,-2.5954123,-2.3307381,0.71923667,0.0012162008,-55.844444
2010.0,0.023995915,6.627049,0.33148319,-2.5707374,-2.3314006,0.72393459,0.001212665,-55.856087
2020.0,0.023769941,6.6282706,0.33214089,-2.5483091,-2.3324802,0.72854251,0.0012094933,-55.866482
2030.0,0.02356521,6.6293774,0.33279854,-2.5279629,-2.3339448,0.73306155,0.0012066648,-55.875721
2040.0,0.023380157,6.6303778,0.33345601,-2.5095501,-2.3357651,0.73749298,0.0012041943,-55.883888
2050.0,0.023213366,6.631279,0.33411321,-2.4929357,-2.3379154,0.74183798,0.0012020209,-55.891064
2060.0,0.023063561,6.6320887,0.33477011,-2.4779968,-2.3403723,0.74609786,0.0012001183,-55.897312
2070.0,0.022929579,6.632813,0.3354266,-2.4646218,-2.3431149,0.75027376,0.0011984899,-55.902702
2080.0,0.022810364,6.6334577,0.33608261,-2.4527087,-2.3461235,0.75436693,0.0011971041,-55.907288
2090.0,0.022704961,6.634027,0.33673808,-2.4421651,-2.3493807,0.75837874,0.0011959386,-55.911121
2100.0,0.022612497,6.6345272,0.33739299,-2.4329059,-2.3528714,0.76231033,0.0011949894,-55.914257
2110.0,0.022532176,6.6349611,0.33804724,-2.4248536,-2.356581,0.76616293,0.0011942394,-55.916729
2120.0,0.022463273,6.6353335,0.3387008,-2.4179375,-2.3604965,0.76993787,0.001193672,-55.918587
2130.0,0.022405125,6.6356478,0.33935359,-2.4120927,-2.3646059,0.77363634,0.0011932808,-55.919857
2140.0,0.02235713,6.6359072,0.34000564,-2.4072595,-2.3688984,0.77725947,0.0011930551,-55.920582
2150.0,0.022318734,6.6361151,0.34065682,-2.4033837,-2.3733647,0.78080863,0.0011929831,-55.920788
2160.0,0.022289431,6.6362734,0.34130716,-2.4004157,-2.3779953,0.78428489,0.0011930586,-55.920498
2170.0,0.022268761,6.636385,0.34195656,-2.3983092,-2.382782,0.78768951,0.0011932738,-55.919746
2180.0,0.022256302,6.6364522,0.34260505,-2.3970225,-2.3877177,0.79102361,0.0011936208,-55.918552
2190.0,0.022251667,6.6364775,0.34325254,-2.3965175,-2.3927958,0.7942884,0.0011940941,-55.916939
2200.0,0.022254506,6.6364622,0.34389904,-2.3967588,-2.3980095,0.79748505,0.0011946878,-55.914921
2210.0,0.022264497,6.6364083,0.3445445,-2.3977144,-2.4033539,0.8006146,0.0011953964,-55.912521
2220.0,0.022281347,6.6363173,0.34518889,-2.3993549,-2.4088235,0.80367827,0.0011962155,-55.909752
2230.0,0.022304792,6.6361904,0.3458322,-2.4016538,-2.4144137,0.80667716,0.0011971409,-55.906635
2240.0,0.022334589,6.6360292,0.34647438,-2.4045863,-2.4201205,0.80961227,0.0011981685,-55.903175
2250.0,0.022370519,6.6358352,0.34711543,-2.4081306,-2.4259403,0.8124848,0.0011992949,-55.899391
2260.0,0.022412388,6.6356087,0.34775531,-2.4122667,-2.4318695,0.8152957,0.0012005172,-55.895294
2270.0,0.022460019,6.6353512,0.34839401,-2.4169767,-2.4379051,0.81804603,0.0012018324,-55.890888
2280.0,0.022513254,6.6350636,0.34903148,-2.4222441,-2.4440448,0.82073683,0.0012032383,-55.886189
2290.0,0.022571951,6.6347461,0.34966773,-2.4280548,-2.4502861,0.82336915,0.0012047325,-55.881203
2300.0,0.022635994,6.6343999,0.35030273,-2.4343963,-2.4566274,0.82594389,0.0012063133,-55.875931
2310.0,0.022705272,6.6340256,0.35093644,-2.4412572,-2.4630663,0.82846206,0.001207979,-55.870388
2320.0,0.022779698,6.6336231,0.35156891,-2.4486279,-2.4696021,0.83092469,0.0012097285,-55.864578
2330.0,0.022859195,6.6331935,0.35220003,-2.4565008,-2.4762335,0.8333326,0.0012115604,-55.858501
2340.0,0.022943705,6.6327367,0.35282984,-2.4648688,-2.4829595,0.83568674,0.0012134742,-55.852165
2350.0,0.023033181,6.6322532,0.35345829,-2.473727,-2.4897797,0.83798802,0.0012154691,-55.845573
2360.0,0.023127591,6.631743,0.35408539,-2.4830716,-2.4966938,0.84023738,0.0012175447,-55.838726
2370.0,0.023226919,6.631206,0.35471112,-2.4928997,-2.5037019,0.84243554,0.0012197009,-55.831627
2380.0,0.023331156,6.6306424,0.35533544,-2.5032105,-2.5108042,0.84458351,0.0012219378,-55.824272
2390.0,0.023440316,6.6300526,0.35595834,-2.514004,-2.5180008,0.84668201,0.0012242558,-55.816669
2400.0,0.023554422,6.6294355,0.35657984,-2.5252817,-2.5252931,0.84873182,0.0012266552,-55.808815
2410.0,0.023673508,6.6287918,0.35719988,-2.5370464,-2.5326817,0.85073382,0.0012291371,-55.800705
2420.0,0.023797629,6.6281209,0.35781845,-2.5493026,-2.540168,0.85268873,0.0012317022,-55.792343
2430.0,0.023926849,6.6274223,0.35843554,-2.5620553,-2.5477536,0.85459733,0.0012343519,-55.783726
2440.0,0.024061248,6.6266961,0.35905114,-2.5753121,-2.5554404,0.85646033,0.0012370878,-55.774845
2450.0,0.024200924,6.6259408,0.35966522,-2.5890813,-2.5632305,0.85827839,0.0012399113,-55.765701
2460.0,0.02434599,6.6251569,0.36027777,-2.6033728,-2.5711265,0.86005229,0.0012428248,-55.756287
2470.0,0.024496576,6.6243429,0.36088878,-2.6181984,-2.5791314,0.86178267,0.0012458306,-55.746597
2480.0,0.024652828,6.6234984,0.36149824,-2.6335714,-2.5872481,0.86347014,0.001248931,-55.736629
2490.0,0.024814915,6.622622,0.36210608,-2.6495073,-2.5954802,0.86511534,0.0012521292,-55.726372
2500.0,0.024983024,6.6217132,0.36271235,-2.6660228,-2.6038318,0.86671895,0.0012554285,-55.71582
