Time,Cm,pms,pns,VNa,t_tauh,t_taun,thetaa,sigmaa,thetab,sigmab,tauBs,sigmam,sigmah,sigman,sigmaz,gNa,gKdr,gL,Iapp,gA,gNaP,gZ,thetaz,tauZs,phi,thetah,thetam,thetan,thetap,sigmap,VK,VL,INa,INaP,IKdr,IA,Iz,Minfs,Pinfs,Ainfs,zzs,bbs,nns,hhs,V,compartment_0000001
0.1,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,0.661914,1.4,0.3,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-47.0,3.0,-90.0,-70.0,-0.007939792393940732,-0.009940591818947846,3.999689716126869e-05,0.08333749732998642,0.025736581982024376,0.012195119830215477,0.0002614281666040317,0.2521150863789184,0.0014100126428921015,0.20351107748843691,0.024583108460694822,0.9868343929571222,-71.74726864204875,1.0
0.11,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,0.661914,1.4,0.3,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-47.0,3.0,-90.0,-70.0,-0.007954904746250394,-0.009961890916779341,4.002858951227114e-05,0.08342856965182868,0.0257459058616422,0.012203464427918248,0.00026200191123704447,0.25217711099444456,0.0014100152799173503,0.20350983826275199,0.024585761804123713,0.9867370897801945,-71.74069016957651,1.0
0.12,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,0.661914,1.4,0.3,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-47.0,3.0,-90.0,-70.0,-0.007970043467801238,-0.00998322285279516,4.0061774457356956e-05,0.08351962287667572,0.025755228807214717,0.012211809677242716,0.0002625765709980427,0.2522391086784638,0.0014100181671276967,0.20350848230276739,0.024588642730298746,0.9866406977953519,-71.7341156251342,1.0
0.13,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,0.661914,1.4,0.3,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-47.0,3.0,-90.0,-70.0,-0.007985208521484283,-0.010004587651525348,4.009642970839281e-05,0.08361065689012076,0.025764550830167883,0.012220155575280849,0.0002631521466269289,0.25230107943784835,0.001410021304668717,0.20350700983332035,0.024591747336152874,0.9865452062322237,-71.72754500598043,1.0
0.14,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,0.661914,1.4,0.3,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-47.0,3.0,-90.0,-70.0,-0.008000399870628845,-0.01002598533748257,4.013253346299005e-05,0.08370167157794935,0.025773871941923595,0.012228502119128773,0.0002637286388631809,0.2523630232794977,0.0014100246926858954,0.20350542107889696,0.024595071785870986,0.9864506044477849,-71.7209783093741,1.0
0.15,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,0.661914,1.4,0.3,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-47.0,3.0,-90.0,-70.0,-0.00801561747899714,-0.010047415935162068,4.0170064392211015e-05,0.08379266682614177,0.025783192153899896,0.012236849305886683,0.0002643060484458504,0.25242494021033796,0.0014100283313246394,0.2035037162636392,0.024598612309746824,0.9863568819247225,-71.71441553257438,1.0
0.16,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,0.661914,1.4,0.3,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-47.0,3.0,-90.0,-70.0,-0.008030861310775943,-0.01006887946904185,4.020900162687242e-05,0.08388364252087607,0.025792511477511205,0.012245197132658992,0.00026488437611356836,0.2524868302373226,0.0014100322207302861,0.20350189561134974,0.024602365202788315,0.9862640282694042,-71.70785667284063,1.0
0.17,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,0.661914,1.4,0.3,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-47.0,3.0,-90.0,-70.0,-0.008046131330570175,-0.01009037596358251,4.024932474494246e-05,0.08397459854852776,0.025801829924168247,0.012253545596554248,0.0002654636226045395,0.25254869336743185,0.0014100363610481026,0.20349995934549323,0.02460632682345613,0.9861720332101566,-71.70130172743252,1.0
0.18,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,0.661914,1.4,0.3,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-47.0,3.0,-90.0,-70.0,-0.008061427503399318,-0.010111905443227352,4.0291013760458895e-05,0.08406553479566992,0.02581114750527803,0.012261894694685142,0.0002660437886565457,0.252610529607673,0.0014100407524232832,0.20349790768919546,0.024610493592601618,0.986080886595882,-71.69475069360993,1.0
0.19,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,0.661914,1.4,0.3,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-47.0,3.0,-90.0,-70.0,-0.008076749794694225,-0.010133467932402301,4.033404911283493e-05,0.08415645114907255,0.025820464232243778,0.012270244424168545,0.0002666248750069436,0.2526723389650801,0.0014100453950009473,0.20349574086524277,0.024614861992431635,0.9859905783947294,-71.68820356863303,1.0
0.2,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,0.661914,1.4,0.3,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-47.0,3.0,-90.0,-70.0,-0.00809209817029161,-0.010155063455515997,4.0378411655186906e-05,0.0842473474957029,0.02582978011646494,0.012278594782125516,0.00026720688239266667,0.2527341214467141,0.0014100502889261388,0.203493459096082,0.024619428565293366,0.9859010986925035,-71.68166034976221,1.0
0.21,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,0.661914,1.4,0.3,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-47.0,3.0,-90.0,-70.0,-0.008107472596431783,-0.010176692036959718,4.042408264502924e-05,0.08433822372272551,0.025839095169337162,0.012286945765681264,0.00026778981155022334,0.2527958770596628,0.0014100554343438262,0.20349106260382085,0.024624189912791198,0.9858124376914869,-71.67512103425815,1.0
0.22,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,0.661914,1.4,0.3,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-47.0,3.0,-90.0,-70.0,-0.008122873039754647,-0.010198353701107395,4.047104373424339e-05,0.08442907971750205,0.025848409402252307,0.012295297371965181,0.000268373663215697,0.25285760581104044,0.0014100608313989032,0.2034885516102287,0.024629142694764267,0.9857245857090502,-71.6685856193818,1.0
0.23,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,0.661914,1.4,0.3,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-47.0,3.0,-90.0,-70.0,-0.00813829946729689,-0.010220048472315661,4.051927696001407e-05,0.08451991536759226,0.025857722826598484,0.012303649598110854,0.00026895843812474717,0.2529193077079882,0.001410066480236189,0.2034859263367371,0.024634283628384254,0.9856375331764234,-71.66205410239434,1.0
0.24,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,0.661914,1.4,0.3,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-47.0,3.0,-90.0,-70.0,-0.008153751846487395,-0.010241776374923796,4.056876473494647e-05,0.08461073056075367,0.025867035453759988,0.012312002441256048,0.00026954413701260805,0.252980982757674,0.001410072381000429,0.20348318700444007,0.024639609487102684,0.9855512706372641,-71.65552648055723,1.0
0.25,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,0.661914,1.4,0.3,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-47.0,3.0,-90.0,-70.0,-0.008169230145143121,-0.010263537433253728,4.061948983766024e-05,0.08470152518494133,0.02587634729511732,0.01232035589854273,0.0002701307606140882,0.25304263096729196,0.0014100785338362924,0.20348033383409442,0.024645117099646435,0.9854657887462916,-71.64900275113222,1.0
0.26,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,0.661914,1.4,0.3,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-47.0,3.0,-90.0,-70.0,-0.008184734331465502,-0.010285331671610108,4.067143540396173e-05,0.08479229912830834,0.025885658362047165,0.012328709967117057,0.0002707183096635726,0.25310425234406286,0.0014100849388883738,0.20347736704611996,0.02465080334907783,0.9853810782679987,-71.64248291138131,1.0
0.27,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,0.661914,1.4,0.3,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-47.0,3.0,-90.0,-70.0,-0.008200264374037024,-0.01030715911428025,4.072458491835037e-05,0.08488305227920638,0.025894968665922422,0.012337064644129415,0.0002713067848950208,0.2531658468952343,0.0014100915963011923,0.2034742868606,0.024656665171882947,0.9852971300753883,-71.63596695856677,1.0
0.28,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,0.661914,1.4,0.3,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-47.0,3.0,-90.0,-70.0,-0.008215820241817514,-0.010329019785534157,4.077892220566204e-05,0.08497378452618498,0.025904278218112173,0.012345419926734368,0.00027189618704196735,0.25322741462808007,0.0014100985062191923,0.2034710934972818,0.024662699557059246,0.985213935148703,-71.62945488995115,1.0
0.29,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,0.661914,1.4,0.3,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-47.0,3.0,-90.0,-70.0,-0.008231401904140562,-0.010350913709624557,4.083443142287037e-05,0.08506449575799216,0.025913587029981672,0.01235377581209074,0.00027248651683752287,0.25328895554990033,0.0014101056687867424,0.20346778717557684,0.024668903545206757,0.9851314845741548,-71.62294670279726,1.0
0.3,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,0.661914,1.4,0.3,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-47.0,3.0,-90.0,-70.0,-0.008247009330709747,-0.010372840910786853,4.0891097051140404e-05,0.0851551858635748,0.025922895112892377,0.012362132297361538,0.00027307777501437233,0.253350469668022,0.0014101130841481363,0.20346436811456137,0.024675274227638006,0.9850497695426753,-71.6164423943682,1.0
0.31,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,0.661914,1.4,0.3,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-47.0,3.0,-90.0,-70.0,-0.008262642491595234,-0.010394801413239113,4.09489038881549e-05,0.08524585473207782,0.025932202478201882,0.012370489379714019,0.00027366996230477475,0.25341195698979774,0.0014101207524475922,0.20346083653297653,0.02468180874551062,0.9849687813486914,-71.60994196192736,1.0
0.32,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,0.661914,1.4,0.3,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-47.0,3.0,-90.0,-70.0,-0.008278301357230193,-0.010416795241182138,4.100783704066623e-05,0.08533650225284527,0.02594150913726396,0.01237884705631964,0.0002742630794405649,0.25347341752260694,0.0014101286738292527,0.2034571926492289,0.02468850428897626,0.9848885113889143,-71.60344540273839,1.0
0.33,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,0.661914,1.4,0.3,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-47.0,3.0,-90.0,-70.0,-0.00829398589840744,-0.010438822418799426,4.1067881917235765e-05,0.08542712831541996,0.02595081510142855,0.01238720532435412,0.0002748571271531522,0.25353485127385506,0.0014101368484371849,0.20345343668139085,0.024695358096340915,0.9848089511611406,-71.59695271406522,1.0
0.34,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,0.661914,1.4,0.3,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-47.0,3.0,-90.0,-70.0,-0.008309696086275964,-0.0104608829702573,4.112902422116179e-05,0.08551773280954396,0.02596012038204179,0.012395564180997442,0.0002754521061735238,0.25359625825097387,0.0014101452764153802,0.2034495688472009,0.02470236745323754,0.9847300922630633,-71.59046389317207,1.0
0.35000000000000003,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,0.661914,1.4,0.3,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-47.0,3.0,-90.0,-70.0,-0.008325431892337351,-0.010482976919704609,4.119124994360827e-05,0.085608315625158,0.025969424990445904,0.012403923623433793,0.00027604801723223683,0.2536576384614211,0.0014101539579077543,0.20344558936406404,0.024709529691813586,0.9846519263910984,-71.58397893732345,1.0
0.36,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,0.661914,1.4,0.3,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-47.0,3.0,-90.0,-70.0,-0.008341193288442574,-0.010505104291273184,4.125454535693264e-05,0.08569887665240276,0.02597872893797933,0.01241228364885164,0.0002766448610594299,0.253718991912681,0.0014101628930581474,0.20344149844905224,0.024716842189933797,0.9845744453392277,-71.57749784378413,1.0
0.37,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,0.661914,1.4,0.3,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-47.0,3.0,-90.0,-70.0,-0.008356980246788584,-0.01052726510907743,4.1318897008198256e-05,0.08578941578161778,0.02598803223597662,0.012420644254443718,0.00027724263838481265,0.2537803186122636,0.0014101720820103236,0.20343729631890473,0.02472430237039687,0.9844976409978541,-71.57102060981919,1.0
0.38,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,0.661914,1.4,0.3,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-47.0,3.0,-90.0,-70.0,-0.008372792739914979,-0.01054945939721453,4.1384291712861e-05,0.08587993290334216,0.025997334895768474,0.012429005437407012,0.0002778413499376706,0.253841618567705,0.001410181524907971,0.2034329831900284,0.024731907700164927,0.9844215053526709,-71.56454723269398,1.0
0.39,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,0.661914,1.4,0.3,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-47.0,3.0,-90.0,-70.0,-0.008388630740700644,-0.010571687179764469,4.1450716548625784e-05,0.08597042790831474,0.02600663692868173,0.01243736719494276,0.0002784409964468659,0.2539028917865674,0.001410191221894702,0.20342855927849815,0.024739655689605858,0.9843460304835427,-71.55807770967417,1.0
0.4,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,0.661914,1.4,0.3,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-47.0,3.0,-90.0,-70.0,-0.008404494222360689,-0.010593948480790025,4.151815884947112e-05,0.08606090068747409,0.026015938346039377,0.012445729524256528,0.00027904157864083685,0.25396413827643893,0.0014102011731140529,0.20342402480005736,0.02474754389174879,0.9842712085634002,-71.55161203802567,1.0
0.41000000000000003,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,0.661914,1.4,0.3,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-47.0,3.0,-90.0,-70.0,-0.008420383158442978,-0.010616243324336671,4.1586606199837e-05,0.08615135113195858,0.026025239159160517,0.01245409242255812,0.0002796430972475952,0.2540253580449337,0.0014102113787094837,0.20341937997011814,0.024755569901552553,0.9841970318571485,-71.54515021501471,1.0
0.42,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,0.661914,1.4,0.3,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-47.0,3.0,-90.0,-70.0,-0.008436297522825093,-0.010638571734432768,4.165604642896975e-05,0.08624177913310668,0.026034539379360403,0.01246245588706166,0.00028024555299473105,0.25408655109969175,0.0014102218388243786,0.2034146250037618,0.02476373135518671,0.9841234927205873,-71.53869223790782,1.0
0.43,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,0.661914,1.4,0.3,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-47.0,3.0,-90.0,-70.0,-0.008452237289711048,-0.01066093373508938,4.17264676054178e-05,0.08633218458245673,0.026043839017950363,0.01247081991498553,0.0002808489466094079,0.25414771744837883,0.001410232553602045,0.20340976011573922,0.024772025929324797,0.9840505835993453,-71.53223810397182,1.0
0.44,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,0.661914,1.4,0.3,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-47.0,3.0,-90.0,-70.0,-0.008468202433628245,-0.01068332935030044,4.179785803167461e-05,0.08642256737174739,0.026053138086237906,0.01247918450355244,0.0002814532788183668,0.25420885709868657,0.0014102435231857148,0.20340478552047114,0.02478045134044961,0.9839782970278251,-71.5257878104738,1.0
0.45,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,0.661914,1.4,0.3,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-47.0,3.0,-90.0,-70.0,-0.008484192929424273,-0.010705758604042713,4.18702062389639e-05,0.08651292739291755,0.02606243659552661,0.012487549649989386,0.0002820585503479255,0.2542699700583324,0.0014102547477185428,0.20339970143204866,0.024789005344170428,0.9839066256281621,-71.51934135468117,1.0
0.46,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,0.661914,1.4,0.3,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-47.0,3.0,-90.0,-70.0,-0.008500208752263901,-0.010728221520275753,4.194350098216408e-05,0.08660326453810661,0.026071734557116186,0.012495915351527697,0.0002826647619239767,0.2543310563350595,0.0014102662273436076,0.20339450806423354,0.024797685734551985,0.9838355621091943,-71.51289873386163,1.0
0.47000000000000003,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,0.661914,1.4,0.3,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-47.0,3.0,-90.0,-70.0,-0.00851624987762596,-0.010750718122942024,4.201773123486625e-05,0.08669357869965466,0.026081031982302466,0.012504281605403013,0.00028327191427199175,0.2543921159366368,0.0014102779622039115,0.2033892056304586,0.024806490343454946,0.9837650992654454,-71.50645994528317,1.0
0.48,1.0,3.0,4.0,55.0,-40.5,-27.0,-50.0,20.0,-80.0,-6.0,15.0,9.5,-7.0,10.0,5.0,35.0,6.0,0.05,0.661914,1.4,0.3,1.0,-39.0,75.0,10.0,-45.0,-30.0,-35.0,-47.0,3.0,-90.0,-70.0,-0.008532316281300273,-0.01077324843596674,4.209288618456216e-05,0.08678386977010207,0.026090328882377355,0.012512648408855258,0.0002838800081170156,0.2544531488708588,0.00141028995244238,0.2033837943438281,0.02481541703988765,0.9836952299761191,-71.50002498621409,1.0
