Time,Rec,Rec_i,IL13_Rec,p_IL13_Rec,p_IL13_Rec_i,JAK2,pJAK2,SHP1,STAT5,pSTAT5,SOCS3mRNA,DecoyR,IL13_DecoyR,SOCS3,CD274mRNA,IL13,IL13stimulation,Kon_IL13Rec,Rec_phosphorylation,pRec_intern,pRec_degradation,Rec_intern,Rec_recycle,JAK2_phosphorylation,pJAK2_dephosphorylation,STAT5_phosphorylation,pSTAT5_dephosphorylation,SOCS3mRNA_production,DecoyR_binding,JAK2_p_inhibition,SOCS3_translation,SOCS3_accumulation,SOCS3_degradation,CD274mRNA_production,cell,reaction_1,reaction_2,reaction_3,reaction_4,reaction_5,reaction_6,reaction_7,reaction_8,reaction_9,reaction_10,reaction_11,reaction_12,reaction_13,reaction_14,reaction_15,reaction_16
0.1,1.3009017566081584,113.19209089802875,0.001006788911668233,5.547575893846923e-07,1.6889232006433064e-09,2.7999778948874696,2.2105112530227442e-05,91.0,164.99999535017164,4.649828340458082e-06,2.509901496110901e-10,0.33999042078403585,0.0,1.61142382959323e-11,0.0,2.265,1.0,0.00341992,999.631,0.15254,0.172928,0.103346,0.00135598,0.157057,0.000621906,0.0382596,0.000343392,0.00215826,0.000124391,0.0168268,11.9086,3.70803,0.0429186,8.21752e-05,1.0,0.01007693955381548,0.13444299293842674,0.153486211415909,2.224697002438465e-05,0.0004427415937473888,2.4395804961802693e-07,8.462272268474096e-08,2.920621112408457e-10,1.25100449230335e-06,0.00013954590202213364,1.4530096066727892e-07,9.579081019790698e-05,1.003553851407706e-08,8.06072576396715e-10,6.916005477278001e-13,3.82100573842811e-10
0.11,1.3009913683212684,113.19190051344873,0.0011073037001075694,8.118030853990584e-07,2.718144744383329e-09,2.7999732572646137,2.674273538566726e-05,91.0,164.99999381233303,6.187666959705702e-06,3.6741512303154745e-10,0.3399894628772833,0.0,2.594679756921593e-11,0.0,2.265,1.0,0.00341992,999.631,0.15254,0.172928,0.103346,0.00135598,0.157057,0.000621906,0.0382596,0.000343392,0.00215826,0.000124391,0.0168268,11.9086,3.70803,0.0429186,8.21752e-05,1.0,0.010077633696791101,0.1344522539505298,0.1534859532582262,2.9601402893834712e-05,0.0004869427814139238,3.5699479043212877e-07,1.2383244264677237e-07,4.700433343567203e-10,1.5134635509410493e-06,0.0001688224428646307,1.933563752690807e-07,9.579054031187988e-05,1.335459409245443e-08,1.179979593935309e-09,1.1136002261541508e-12,5.08472769947208e-10
0.12,1.3010808779586058,113.19171022400701,0.0012077446844941436,1.1491386216799965e-06,4.19670217479992e-09,2.7999681792355653,3.182076443432397e-05,91.0,164.99999196835446,8.031645544328103e-06,5.202844688207215e-10,0.33998850497322963,0.0,4.008085115885967e-11,0.0,2.265,1.0,0.00341992,999.631,0.15254,0.172928,0.103346,0.00135598,0.157057,0.000621906,0.0382596,0.000343392,0.00215826,0.000124391,0.0168268,11.9086,3.70803,0.0429186,8.21752e-05,1.0,0.010078327049075662,0.13446150441351007,0.15348569522954902,3.84171779305864e-05,0.0005311112834409462,5.053389975942239e-07,1.7528960535106667e-07,7.257273136838005e-10,1.8008467136926342e-06,0.0002008791938488665,2.5097825723497035e-07,9.579027042661317e-05,1.733437931250157e-08,1.670930284956995e-09,1.7202140185466346e-12,6.600020789342708e-10
0.13,1.3011702856347942,113.19152002959686,0.001308096588953028,1.581898308721765e-06,6.257571547279804e-09,2.799962661023683,3.733897631612761e-05,91.0,164.99998979054084,1.0209459159535432e-05,7.165043904623252e-10,0.33998754707187473,0.0,5.979404230456055e-11,0.0,2.265,1.0,0.00341992,999.631,0.15254,0.172928,0.103346,0.00135598,0.157057,0.000621906,0.0382596,0.000343392,0.00215826,0.000124391,0.0168268,11.9086,3.70803,0.0429186,8.21752e-05,1.0,0.01007901961155705,0.13447074433921344,0.15348543732973274,4.882496449171695e-05,0.0005752403615856728,6.956456906819046e-07,2.4130276801241804e-07,1.082109332528002e-09,2.1131413398420468e-06,0.00023571474462867414,3.190320405737184e-07,9.579000054210681e-05,2.203466732565894e-08,2.301104409244503e-09,2.5662765840525126e-12,8.389643483266561e-10
0.14,1.3012595914643286,113.19132993011168,0.0014083428357656942,2.126494065319255e-06,9.057517191296186e-09,2.7999567028531005,4.3297146898788315e-05,91.0,164.99998725121992,1.2748780083277453e-05,9.635785762164506e-10,0.3399865891732188,0.0,8.659477013623761e-11,0.0,2.265,1.0,0.00341992,999.631,0.15254,0.172928,0.103346,0.00135598,0.157057,0.000621906,0.0382596,0.000343392,0.00215826,0.000124391,0.0168268,11.9086,3.70803,0.0429186,8.21752e-05,1.0,0.010079711385122155,0.13447997373947249,0.15348517955863283,6.0954726047371726e-05,0.0006193227052179998,9.351317191509822e-07,3.243754047237992e-07,1.5662983328564669e-09,2.450334744970644e-06,0.00027332767992690934,3.983824472224698e-07,9.578973065836088e-05,2.7515182102534394e-08,3.094600591081877e-09,3.716526301569128e-12,1.0476335530993415e-09
0.15,1.3013487955615757,113.191139925445,0.0015084655500082155,2.8006089994767623e-06,1.2779041150159423e-08,2.799950304948802,4.969505119761042e-05,91.0,164.99998432274222,1.567725778039899e-05,1.269607709120317e-09,0.3399856312772616,0.0,1.222413484968022e-10,0.0,2.265,1.0,0.00341992,999.631,0.15254,0.172928,0.103346,0.00135598,0.157057,0.000621906,0.0382596,0.000343392,0.00215826,0.000124391,0.0168268,11.9086,3.70803,0.0429186,8.21752e-05,1.0,0.010080402370656877,0.1344891926261066,0.1534849219161049,7.493561128984969e-05,0.0006633504333773019,1.231572834734717e-06,4.2720489678018536e-07,2.2098540280147687e-09,2.8124141964192e-06,0.0003137165790246452,4.89893486239136e-07,9.578946077537533e-05,3.383559837712392e-08,4.077434745580124e-09,5.246427539594855e-12,1.288281793555843e-09
0.16,1.3014378980407735,113.19095001549046,0.0016084455715457,3.6231835267769745e-06,1.763221278745246e-08,2.7999434675367714,5.653246322798895e-05,91.0,164.99998097748116,1.9022518829910795e-05,1.6432889712928225e-09,0.33998467338400323,0.0,1.6876097698509026e-10,0.0,2.265,1.0,0.00341992,999.631,0.15254,0.172928,0.103346,0.00135598,0.157057,0.000621906,0.0382596,0.000343392,0.00215826,0.000124391,0.0168268,11.9086,3.70803,0.0429186,8.21752e-05,1.0,0.010081092569046119,0.13449840101092178,0.15348466440200473,9.089583718267186e-05,0.0007073151000654745,1.5932975688664888e-06,5.526804151745597e-07,3.0491032929085793e-09,3.199366904940178e-06,0.00035688001482541294,5.944284515297062e-07,9.578919089315014e-05,4.105554148984327e-08,5.277538486707277e-09,7.242984866832295e-12,1.5631792893516857e-09
0.17,1.3015268990160316,113.19076020014178,0.0017082624614188468,4.61440702579654e-06,2.3856588946086172e-08,2.7999361908440905,6.380915590870802e-05,91.0,164.9999771878331,2.2812166887969567e-05,2.093915552603743e-09,0.3399837154934437,0.0,2.2846885371349262e-10,0.0,2.265,1.0,0.00341992,999.631,0.15254,0.172928,0.103346,0.00135598,0.157057,0.000621906,0.0382596,0.000343392,0.00215826,0.000124391,0.0168268,11.9086,3.70803,0.0429186,8.21752e-05,1.0,0.010081781981173784,0.1345075989057108,0.15348440701618823,0.00010896256370573279,0.0007512076970751602,2.029183543807992e-06,7.038816477150043e-07,4.12547221326879e-09,3.611180019225048e-06,0.0004028165532401583,7.128499206914217e-07,9.578892101168535e-05,4.92345873076292e-08,6.724757549333705e-09,9.805563344987905e-12,1.874594376452277e-09
0.18,1.301615798601332,113.19057047929289,0.0018078945168564704,5.795700984078317e-06,3.172299159289611e-08,2.7999284750991014,7.152490089815739e-05,91.0,164.9999729262174,2.707378259582236e-05,2.631376151554156e-09,0.339982757605583,0.0,3.039870981145236e-10,0.0,2.265,1.0,0.00341992,999.631,0.15254,0.172928,0.103346,0.00135598,0.157057,0.000621906,0.0382596,0.000343392,0.00215826,0.000124391,0.0168268,11.9086,3.70803,0.0429186,8.21752e-05,1.0,0.010082470607922792,0.13451678632225325,0.15348414975851155,0.0001292617609557809,0.000795018660612532,2.5486500405368972e-06,8.840762281113066e-07,5.485793490176338e-09,4.047840616635222e-06,0.00045152475214873064,8.460197521361615e-07,9.578865113098093e-05,5.843226202525957e-08,8.450850186260753e-09,1.3046700669137993e-11,2.2247934995682217e-09
0.19,1.301704596910528,113.19038085283775,0.0019073187799330043,7.189708414351247e-06,4.1535389385776037e-08,2.7999203205315193,7.967946847996921e-05,91.0,164.9999681650765,3.183492352827373e-05,3.2661544817883236e-09,0.3399817997204211,0.0,3.9826381348961e-10,0.0,2.265,1.0,0.00341992,999.631,0.15254,0.172928,0.103346,0.00135598,0.157057,0.000621906,0.0382596,0.000343392,0.00215826,0.000124391,0.0168268,11.9086,3.70803,0.0429186,8.21752e-05,1.0,0.010083158450175064,0.13452596327231542,0.15348389262883091,0.00015191806814682718,0.0008387378751266613,3.1616533228100752e-06,1.0967181215251393e-06,7.182631815703479e-09,4.509335696729839e-06,0.0005030031606733674,9.947990834801086e-07,9.578838125103688e-05,6.870804205413206e-08,1.048948558333243e-08,1.7092925305635176e-11,2.6160412079205997e-09
0.2,1.301793294057346,113.19019132067048,0.00200651105590411,8.820273733096067e-06,5.363261368609502e-08,2.7999117273726153,8.827262738373134e-05,91.0,164.99996287687594,3.712312408023649e-05,4.009328768624172e-09,0.33998084183795796,0.0,5.145919621790328e-10,0.0,2.265,1.0,0.00341992,999.631,0.15254,0.172928,0.103346,0.00135598,0.157057,0.000621906,0.0382596,0.000343392,0.00215826,0.000124391,0.0168268,11.9086,3.70803,0.0429186,8.21752e-05,1.0,0.010083845508811536,0.13453512976765047,0.15348363562700273,0.0001770546454981353,0.0008823546813960521,3.878677765912033e-06,1.3454445552464741e-06,9.274580619509039e-09,4.99565217111932e-06,0.000557250318042336,1.1600483279986118e-06,9.578811137185321e-05,8.012135377741121e-08,1.2876242242487985e-08,2.2085566587977038e-11,3.0506001459182502e-09
0.21,1.3018818901553837,113.19000188268532,0.0021054459233307257,1.071243072889409e-05,6.839021666402347e-08,2.799902695855341,9.730414465828015e-05,91.0,164.99995703410463,4.296589540588862e-05,4.872571254364289e-09,0.3399798839581936,0.0,6.566283934666677e-10,0.0,2.265,1.0,0.00341992,999.631,0.15254,0.172928,0.103346,0.00135598,0.157057,0.000621906,0.0382596,0.000343392,0.00215826,0.000124391,0.0168268,11.9086,3.70803,0.0429186,8.21752e-05,1.0,0.010084531784712152,0.13454428581999828,0.15348337875288362,0.00020479301817513706,0.0009258578810053025,4.710730541765623e-06,1.6340741833855046e-06,1.182658338727625e-08,5.506776856294566e-06,0.0006142647527855155,1.3426271727249202e-06,9.578784149342992e-05,9.273157341871317e-08,1.5648606393010205e-08,2.8181571367838525e-11,3.530731048157979e-09
0.22,1.3019703853181117,113.18981253877662,0.002204096756112579,1.2892378814752397e-05,8.622211110818574e-08,2.7998932262145186,0.00010677378548044892,91.0,164.99995060927475,4.9390725281514595e-05,5.8681476887207975e-09,0.3399789260811281,0.0,8.284126773699368e-10,0.0,2.265,1.0,0.00341992,999.631,0.15254,0.172928,0.103346,0.00135598,0.157057,0.000621906,0.0382596,0.000343392,0.00215826,0.000124391,0.0168268,11.9086,3.70803,0.0429186,8.21752e-05,1.0,0.01008521727875587,0.13455343144108556,0.15348312200633032,0.00023525291384601235,0.0009692357460600764,5.669331150890463e-06,1.9666034644023307e-06,1.4910217229716343e-08,6.04269646280337e-06,0.00067404498152253,1.543394574164157e-06,9.5787571615767e-05,1.0659802674608168e-07,1.8845970354961947e-08,3.555431233496937e-11,4.058692728153519e-09
0.23,1.3020587796588732,113.18962328883886,0.0023024357419423663,1.5387462789637335e-05,1.0758228437649022e-07,2.7998833186870242,0.00011668131297443884,91.0,164.99994357492204,5.6425077991322835e-05,7.008916825240932e-09,0.33997796820676135,0.0,1.0343859760225463e-09,0.0,2.265,1.0,0.00341992,999.631,0.15254,0.172928,0.103346,0.00135598,0.157057,0.000621906,0.0382596,0.000343392,0.00215826,0.000124391,0.0168268,11.9086,3.70803,0.0429186,8.21752e-05,1.0,0.010085901991820655,0.1345625666426259,0.1534828653871997,0.00026855209310693555,0.0010124760273291461,6.7665024965187705e-06,2.347203573931279e-06,1.86039892726577e-08,6.603397585028003e-06,0.0007365895078179537,1.763208754725266e-06,9.578730173886444e-05,1.217799888255524e-07,2.2509630921890065e-08,4.439439795052126e-11,4.6367420689525525e-09
0.24,1.3021470732908842,113.18943413276662,0.002400433900729493,1.822615266320781e-05,1.3296648662096622e-07,2.79987297351195,0.00012702648804905383,91.0,164.99993590360583,6.40963942120201e-05,8.308329914161196e-09,0.3399770103350933,0.0,1.279409956287915e-09,0.0,2.265,1.0,0.00341992,999.631,0.15254,0.172928,0.103346,0.00135598,0.157057,0.000621906,0.0382596,0.000343392,0.00215826,0.000124391,0.0168268,11.9086,3.70803,0.0429186,8.21752e-05,1.0,0.010086585924783497,0.1345716914363197,0.15348260889534887,0.0003048061732076115,0.0010555659623741034,8.014761985518355e-06,2.7802173272457195e-06,2.2993628598390447e-08,7.188866691973773e-06,0.0008018968211492989,2.0029271991141144e-06,9.578703186272224e-05,1.383366837720345e-07,2.6682787732054653e-08,5.491048414993851e-11,5.267134013651594e-09
0.25,1.3022352663272332,113.1892450704546,0.0024980611065067273,2.1438020048375968e-05,1.6291385960730684e-07,2.7998621909307864,0.00013780906921252272,91.0,164.99992756790917,7.243209087528725e-05,9.780430191558817e-09,0.33997605246612406,0.0,1.5687856372988383e-09,0.0,2.265,1.0,0.00341992,999.631,0.15254,0.172928,0.103346,0.00135598,0.157057,0.000621906,0.0382596,0.000343392,0.00215826,0.000124391,0.0168268,11.9086,3.70803,0.0429186,8.21752e-05,1.0,0.010087269078520388,0.13458080583385423,0.15348235253063502,0.00034412844565308087,0.0010984922852116758,9.427111119105372e-06,3.2701555781792703e-06,2.8172367914172356e-08,7.799090116789168e-06,0.0008699653957335288,2.263406650036044e-06,9.57867619873404e-05,1.5632728445249746e-07,3.1410541627761566e-08,6.733008325297392e-11,5.9521215540949055e-09
0.26,1.302323358880882,113.18905610179765,0.0025952861137799378,2.5053710168280843e-05,1.9800849517743943e-07,2.7998509711876447,0.00014902881235413535,91.0,164.999918540439,8.145956100287825e-05,1.1439852364506573e-08,0.33997509459985353,0.0,1.9082721436353203e-09,0.0,2.265,1.0,0.00341992,999.631,0.15254,0.172928,0.103346,0.00135598,0.157057,0.000621906,0.0382596,0.000343392,0.00215826,0.000124391,0.0168268,11.9086,3.70803,0.0429186,8.21752e-05,1.0,0.010087951453906348,0.13458990984690364,0.15348209629291557,0.0003866296882375261,0.0011412412379308077,1.1017023154169632e-05,3.82169294906956e-06,3.424121305404424e-08,8.434054044407891e-06,0.000940793689144086,2.545503103042933e-06,9.578649211271894e-05,1.75810912130072e-07,3.673989300185382e-08,8.190036882382686e-11,6.693955717323721e-09
0.27,1.3024113510646658,113.18886722669069,0.002692076582318527,2.91049154487699e-05,2.3888098076297783e-07,2.7998393145294393,0.00016068547055975038,91.0,164.99990879382648,9.12061735507915e-05,1.3301822092439116e-08,0.3399741367362818,0.0,2.3041055403903335e-09,0.0,2.265,1.0,0.00341992,999.631,0.15254,0.172928,0.103346,0.00135598,0.157057,0.000621906,0.0382596,0.000343392,0.00215826,0.000124391,0.0168268,11.9086,3.70803,0.0429186,8.21752e-05,1.0,0.010088633051815407,0.13459900348712894,0.15348184018204802,0.0004324179712811368,0.0011837985816249338,1.2798431461000237e-05,4.439663802555361e-06,4.130921024138023e-08,9.093744501107823e-06,0.0010143801411417591,2.850071801663759e-06,9.578622223885783e-05,1.9684663612773126e-07,4.271974013202969e-08,9.888898404579657e-11,7.494885552771003e-09
0.28,1.3024992429912925,113.18867844502878,0.002788399105373792,3.3624345700275374e-05,2.862099126013995e-07,2.79982722120611,0.00017277879388882738,91.0,164.99989830072678,0.00010169927323082478,1.5382155468743452e-08,0.3399731788754088,0.0,2.7630175686950465e-09,0.0,2.265,1.0,0.00341992,999.631,0.15254,0.172928,0.103346,0.00135598,0.157057,0.000621906,0.0382596,0.000343392,0.00215826,0.000124391,0.0168268,11.9086,3.70803,0.0429186,8.21752e-05,1.0,0.010089313873120618,0.1346080867661781,0.15348158419789013,0.00048159845887670976,0.0012261496088324976,1.4785716380480093e-05,5.129057693120006e-06,4.949370776633481e-08,9.778147341892481e-06,0.001090723172262671,3.1779672318284234e-06,9.578595236575708e-05,2.194934734431599e-07,4.9400877515874005e-08,1.185848458237952e-10,8.357158117597673e-09
0.29,1.3025870347733437,113.18848975670713,0.0028842192403419624,3.864569596699376e-05,3.4072330158761064e-07,2.799814691470836,0.000185308529162891,91.0,164.9998870338197,0.00011296618031393781,1.7697258491167e-08,0.33997222101723445,0.0,3.29225438924118e-09,0.0,2.265,1.0,0.00341992,999.631,0.15254,0.172928,0.103346,0.00135598,0.157057,0.000621906,0.0382596,0.000343392,0.00215826,0.000124391,0.0168268,11.9086,3.70803,0.0429186,8.21752e-05,1.0,0.010089993918694052,0.13461715969568597,0.15348132834029973,0.0005342732056241769,0.001268279157053252,1.6993691054825605e-05,5.895014462805228e-06,5.8920599096942335e-08,1.0487248238519495e-05,0.0011698211824784528,3.5300431157230996e-06,9.578568249341667e-05,2.438103883243594e-07,5.683599416996897e-08,1.4129894923008652e-10,9.283018460533903e-09
0.3,1.3026747265232748,113.18830116162101,0.002979501540284421,4.420361349601931e-05,4.031999963403622e-07,2.7998017255802594,0.0001982744197395648,91.0,164.99987496580957,0.00012503419043036684,2.0264126535293296e-08,0.3399712631617589,0.0,3.899595295164601e-09,0.0,2.265,1.0,0.00341992,999.631,0.15254,0.172928,0.103346,0.00135598,0.157057,0.000621906,0.0382596,0.000343392,0.00215826,0.000124391,0.0168268,11.9086,3.70803,0.0429186,8.21752e-05,1.0,0.010090673189406797,0.13462622228727433,0.15348107260913485,0.0005905409489645372,0.001310171622642205,1.9437586870722023e-05,6.742819202682786e-06,6.972456896714616e-08,1.1221032666712395e-05,0.001251672549765332,3.907152405544072e-06,9.578541262183663e-05,2.698562918382435e-07,6.507967193884922e-08,1.6736517063505145e-10,1.0274709605453482e-08
0.31,1.3027623183534147,113.18811265966586,0.0030742095883455386,5.033366190592694e-05,4.74471007937791e-07,2.799788323794716,0.00021167620528303696,91.0,164.99986206942566,0.00013793057434856911,2.3100343819506847e-08,0.33997030530898203,0.0,4.59337139828856e-09,0.0,2.265,1.0,0.00341992,999.631,0.15254,0.172928,0.103346,0.00135598,0.157057,0.000621906,0.0382596,0.000343392,0.00215826,0.000124391,0.0168268,11.9086,3.70803,0.0429186,8.21752e-05,1.0,0.010091351686128971,0.13463527455255198,0.1534808170042537,0.0006504968979453655,0.001351810975978379,2.2133037670419575e-05,7.677896787130097e-06,8.204932246066632e-08,1.1979485893170466e-05,0.001336275628650711,4.3101472765900495e-06,9.578514275101693e-05,2.976900413935428e-07,7.418838377661509e-08,1.971410696945874e-10,1.1334472533208538e-08
