E_d_2_task1,E_h_6_task1,I_d_3_task1,I_h_7_task1,R_d_4_task1,R_h_8_task1,S_d_1_task1,S_h_5_task1,_1_task1
751413.8175959898,1091.8573993974978,2128780.701504337,2313.0353029617186,1205951.0168787397,732.7057493264322,13284018.305089695,1414922410.6585143,11.0
674390.6506846453,976.2714127150293,1897308.2190150954,2078.8511259919123,1191511.0423205493,662.0120424778653,13411308.700278247,1420494791.0610147,11.5
610115.0942132792,875.7700460878639,1697595.816661988,1865.536930055221,1186261.3357778057,596.3994926384805,13598113.274185477,1426058928.7786868,12.0
556668.3118217775,789.5282914522518,1527223.9770676757,1675.7156665395632,1188579.9246446511,536.9836095198966,13830943.100924205,1431614818.1871924,12.5
512385.5780589794,716.2652496863483,1383129.6506217131,1509.758885109659,1197036.0421278798,484.2059901229104,14098640.72327217,1437162456.099109,13.0
475861.68131435005,654.5387686892728,1262116.5030989056,1366.641836929396,1210392.4086134352,438.039386477888,14391958.957080223,1442701841.6194327,13.5
445930.9491214022,602.9202548429828,1161141.9745562077,1244.5783250255574,1227592.5278917397,398.16054243272515,14703204.261217086,1448232975.8724802,14.0
421636.63243826985,560.0888569354884,1077460.496069802,1141.4547691089822,1247741.575722881,364.0815487351466,15025947.340319132,1453755861.697275,14.5
402199.1543162335,524.8727449152732,1008675.7946345126,1055.1076916653992,1270084.397992897,335.24334816094756,15354781.00657801,1459270503.3459682,15.0
386984.37080270116,496.2596427467774,952741.4836605018,983.4809830311916,1293983.6886832775,311.07557380843963,15685121.94360993,1464776906.240991,15.5
375488.107729198,473.40449867139984,907957.7666624445,924.73518239275,1318907.4855028621,291.0416382272562,16013099.857823258,1470275076.6619415,16.0
367298.3027585838,455.59209578838284,872895.5214121008,877.2362138658067,1344399.0544696634,274.64601709310926,16335335.38423781,1475765021.726106,16.5
362089.8447107381,442.2428854339958,846397.8003643272,839.60469781396,1370075.4992716566,261.4570303941793,16648932.742607871,1481246749.0540788,17.0
359603.4757698101,432.88401547480925,827519.7471843633,810.678630911985,1395608.6903737218,251.10152175906205,16951345.696117632,1486720266.7418346,17.5
359632.5704870297,427.13485117422033,815497.6311335961,789.4964096471732,1420716.5226530202,243.26380788218793,17240323.14617756,1492185583.2359838,18.0
362013.3712033348,424.69189939351975,809717.8822830425,775.2735937158089,1445155.050755281,237.68135622942347,17513860.432006344,1497642707.2439835,18.5
366613.6343019438,425.31462218049904,809687.5114113446,767.3754386003003,1468711.2722891537,234.13814112650317,17770157.68598183,1503091647.6779041,19.0
373322.1508735557,428.81151890506595,815007.7923981776,765.2913622588159,1491197.3501430156,232.45781568638984,18007590.16328135,1508532413.6237895,19.5
382043.8766428613,435.0307932323093,825352.1873755769,768.61420366926,1512447.394584482,232.49809279688233,18224697.66482348,1513965014.263017,20.0
392686.96052027104,443.8474274163683,840446.0773903717,777.0179216830551,1532314.2395820422,234.14414260674513,18420179.96803511,1519389458.8239274,20.5
405157.27064293606,455.152486078304,860040.8825806888,790.232864415087,1550665.0745483858,237.30100880736256,18592877.497047048,1524805756.7397826,21.0
419349.1181235124,468.8448455089127,883900.5303495218,808.031069570379,1567382.485782931,241.88938270759476,18741804.510180965,1530213917.47787,21.5
435138.7024815492,484.81946862102774,911781.6909637625,830.2080047488977,1582363.8851668623,247.83998900643545,18866167.481045518,1535613950.5665867,22.0
452375.9982296299,502.95892932352575,943413.5400250483,856.5604010653907,1595520.115692884,255.0867370327257,18965376.15563001,1541005865.7338147,22.5
470879.0741647265,523.1233998977676,978484.9049644058,886.8728236071455,1606778.2154851148,263.56270322878544,19039091.722358953,1546389672.7988186,23.0
490428.86515700776,545.1420364020921,1016625.9466104005,920.8975627479846,1616081.403933355,273.1938968424689,19087248.604978833,1551765381.8565762,23.5
510766.90728751686,568.8060673711847,1057399.2979734838,958.3411401717851,1623392.2149282782,283.895132167654,19110099.41821824,1557133003.2239506,24.0
531597.4743441113,593.8630632605507,1100290.6367995879,998.8503802942282,1628694.1993551191,295.56557157323397,19108240.137410417,1562492547.5428886,24.5
552586.242299635,620.012824305699,1144706.9873143788,1042.0013218410384,1631994.5141439794,308.08511272342105,19082641.120530356,1567844025.8434207,25.0
573373.0367832792,646.9095330910156,1189978.696932797,1087.2925775535368,1633326.1849352946,321.31198563906844,19034657.198671877,1573187449.5892088,25.5
593579.2694243136,674.1640774599217,1235371.3558656988,1134.1442678956505,1632750.0454796543,335.0818257842728,18966029.887958083,1578522830.7265942,26.0
612819.5067703384,701.350346764192,1280100.0962735189,1181.9003348127271,1630355.9544882902,349.2077106083503,18878875.35595946,1583850181.7786062,26.5
630725.6689876061,728.0225009332071,1323361.2381252046,1229.8453851651473,1626262.6311056218,363.48432178851215,18775628.273311645,1589169515.7284849,27.0
646953.5026797341,753.7226624552762,1364350.3632795836,1277.2132097342608,1620617.7891241596,377.6897440279754,18659019.443735756,1594480846.217269,27.5
661209.2195818138,778.0069117447077,1402308.6842696457,1323.2210278114617,1613594.763896666,391.59469853729485,18531968.097894516,1599784187.3153954,28.0
673257.4489363146,800.458810244655,1436546.951364546,1367.0902778570185,1605390.0677642184,404.96810244160355,18397524.437893372,1605079553.6244671,28.5
682935.2823415786,820.711337805373,1466483.680752032,1408.084109235609,1596217.7645325665,417.5875931814965,18258757.672774974,1610366960.1026208,29.0
690160.4615145614,838.4642576240676,1491666.4139713878,1445.5347314051546,1586304.2130007832,429.247511867097,18118670.209298518,1615646422.0135233,29.5
694925.3124120696,853.4932590423667,1511795.183391177,1478.8755431375841,1575881.7243661892,439.76829753457054,17980111.89909159,1620917954.8162496,30.0
697301.3620652361,865.6632255892839,1526728.4106551474,1507.66406633701,1565181.6331392133,449.00380504537657,17845694.191740844,1626181574.0359216,30.5
697425.605150132,874.9280430627122,1536483.8062499578,1531.5990172984773,1554427.9586867907,456.84697311332803,17717733.491261404,1631437295.1632795,31.0
695491.5248197648,881.328158090956,1541227.5649300024,1550.5287813820016,1543831.1024522246,463.2332847901845,17598201.29945192,1636685133.5272136,31.5
691733.3178816023,884.984929872485,1541257.6283440248,1564.4507676083558,1533583.0040140091,468.1415873035119,17488702.633358236,1641925104.221,32.0
686413.3468364151,886.0873670203823,1536980.346555728,1573.5039508932077,1523852.6698906168,471.5930073127043,17390461.40678407,1647157222.0095682,32.5
679807.1238590911,884.8796163096763,1528883.8232814602,1577.9519453715586,1514783.903359873,473.64689250176826,17304335.46229372,1652381501.302388,33.0
672192.9145039946,881.6451862055673,1517509.5591959043,1578.16357678862,1506492.734551349,474.39603636488664,17230825.16478517,1657597956.0664687,33.5
663839.6815902207,876.6933084740788,1503428.0625875157,1574.5881762073566,1499068.073677655,473.9598811852555,17170115.22046618,1662806599.8751342,34.0
655000.0988169886,870.3416548021012,1487211.407974648,1567.7302834449104,1492571.043842274,472.47756410504206,17122099.702930443,1668007445.8160558,34.5
645904.9730355813,862.9090919967233,1469420.2488379385,1558.1284172762191,1487037.9429680712,470.10158613765947,17086432.04392167,1673200506.648678,35.0
636759.6193767707,854.6996163039094,1450578.0496790186,1546.3270449752113,1482480.7664852447,466.9896533599834,17062558.114110313,1678385794.6331422,35.5
627742.894878933,846.0006756830633,1431171.1861901656,1532.8659793442575,1478890.9965833148,463.3010693965855,17049758.516810015,1683563321.784523,36.0
619007.6287394768,837.0760239417483,1411633.9440166822,1518.25902852573,1476241.6562249055,459.19019113281473,17047184.500322897,1688733099.7696662,36.5
610676.867019762,828.1550730214983,1392342.3528417551,1502.9790584755604,1474490.9428036492,454.8012944692508,17053907.089287207,1693895139.8372686,37.0
602852.8444441229,819.4445375772505,1373625.8921202198,1487.464981709676,1473583.9876105376,450.2703776788543,17068916.694565006,1699049453.2284226,37.5
595614.037990069,811.1181536903072,1355754.5512011533,1472.1002122489808,1473456.7063307043,445.7181500692483,17091180.22635839,1704196050.8184924,38.0
589018.8824244811,803.3216200029082,1338949.6371561256,1457.2207399891745,1474037.47367159,441.2520062887592,17119645.81368917,1709334943.392152,38.5
583108.0956982615,796.1728080495442,1323384.355207798,1443.1108129447757,1475250.0833275926,436.964309620728,17153272.553762384,1714466141.5518706,39.0
577906.6847151063,789.7652248189922,1309190.0686801837,1430.007504573791,1477015.0302675369,432.9334952087623,17191036.876519278,1719589655.8524878,39.5
573426.4171173639,784.1681739428801,1296459.5515139455,1418.1019945948112,1479251.9299669869,429.2240937863489,17231953.80758241,1724705496.7328055,40.0
569667.4067923647,779.4316861713417,1285251.597234084,1407.5429660077011,1481880.2928235708,425.887687034457,17275079.730975017,1729813674.6313381,40.5
566619.4739953602,775.5867888794248,1275594.9763203382,1398.4398866170754,1484821.5739186434,422.9636306053545,17319530.07973001,1734914199.9132576,41.0
564264.6825671253,772.6487102667418,1267493.20912354,1390.8676933135469,1488000.669257304,420.4803578750864,17364489.03022858,1740007082.812126,41.5
562577.083721089,770.6181598044823,1260927.6334118259,1384.8719815228733,1491344.4835751583,418.4570668737739,17409191.13913911,1745092333.7597342,42.0
561524.9402857886,769.4838642714941,1255860.304961488,1380.470210301023,1494784.7999292994,416.90392390660026,17452948.27109389,1750169963.102098,42.5
561071.1102473306,769.2235364152059,1252236.9088764214,1377.656053602856,1498258.0429266111,415.82342106572474,17495143.97043791,1755239981.215137,43.0
561174.1142011847,769.8056603944372,1249989.116625932,1376.4021712502345,1501705.7976845943,415.21124196653244,17535236.031816546,1760302398.4964588,43.5
561788.2356800564,771.1898503862606,1249036.357587184,1376.662766661431,1505074.8739350599,415.0570635121485,17572755.51587139,1765357225.4255264,44.0
562865.2701951715,773.3294442152418,1249288.228864986,1378.3759896310905,1508318.0168267633,415.34532221440315,17607310.714043833,1770404472.468691,44.5
564353.9918417212,776.170838846854,1250645.5905326337,1381.465961302105,1511393.566747383,416.05585264234577,17638582.91564642,1775444150.186746,45.0
566200.9547639444,779.6545728649451,1253001.806979015,1385.8441891354917,1514265.6471039606,417.1643576189565,17666326.577653732,1780476269.241736,45.5
568352.4642867936,783.7181400641261,1256246.0167011332,1391.412719643894,1516904.6949926706,418.6433762768,17690370.243652105,1785500840.2166402,46.0
570753.5646689974,788.2955007980652,1260262.7305357852,1398.0642688495377,1519286.635903724,420.46238468696936,17710608.773788743,1790517873.8246837,46.5
573348.1063675636,793.3147335293894,1264931.424720295,1405.682614274564,1521392.8026099312,422.5878801476119,17727002.77062559,1795527381.0480666,47.0
576081.7165775554,798.7045577338877,1270132.170140393,1414.1468017670848,1523210.7298463031,424.9846995955071,17739579.215869308,1800529372.7486908,47.5
578901.1284049333,804.3918820534151,1275744.984595397,1423.3316242389037,1524733.4429030297,427.61612012147344,17748424.84108502,1805523859.8984718,48.0
581754.948292485,810.3036700371239,1281651.4957582925,1433.1093837963106,1525958.913506079,430.44443340253065,17753677.79221515,1810510853.5425148,48.5
584594.3907178758,816.3679357042852,1287736.242947129,1443.351322702123,1526889.7507557771,433.4313876853322,17755522.26597359,1815490364.794584,49.0
587373.7693563392,822.5140848203079,1293888.1761205008,1453.9292996441545,1527533.0756122,436.53865978740674,17754185.226211645,1820462404.8361926,49.5
590051.1754436056,828.6741644616995,1300002.034416796,1464.717326034427,1527900.1613743107,439.72832265111487,17749930.461912755,1825426984.912723,50.0
