Time,S_d,E_d,I_d,R_d,S_h,E_h,I_h,R_h,A,lambda,gamma,sigma,m,beta,k,mu,B,lambda_h,gamma_h,sigma_h,m_h,beta_dh,k_h,mu_h,compartment,Human_Population,reaction_1,reaction_2,reaction_3,reaction_4,reaction_5,reaction_6,reaction_7,reaction_8,reaction_9,reaction_10,reaction_11,reaction_12,reaction_13,reaction_14,reaction_15,reaction_16,reaction_17,reaction_18,reaction_19,reaction_20,reaction_21,reaction_22,reaction_23
5.0,24013830.399533987,1811028.901147444,3050202.971733246,2344705.6052412745,1347408134.3143828,1359.7956101146976,1811.1101431967215,1825.0873306895105,3000000.0,1.0,0.4,6.0,0.08,1.58e-07,0.09,1.0,15400000.0,1.0,0.4,6.0,0.003,2.29e-12,0.54,1.34,1.0,1.0,3000000.0,2344705.6052412745,6519704.0441307975,11573034.981882364,1921106.431962719,4346469.362753866,144882.31209179552,244016.2377386597,2161244.735958059,162992.60110326996,3050202.971733246,187576.44841930197,15400000.0,1825.0873306895105,4895.264196412911,4042224.4029431483,9411.59839651931,3263.5094642752747,4.079386830344093,734.2896294619368,5.433330429590165,2426.887591883607,5.475261992068532
5.5,22102667.311934818,1968955.7495141795,3543228.0613868632,2231396.188380189,1353081133.9800205,1607.0036152423788,2235.655551555186,1422.9107532262533,3000000.0,1.0,0.4,6.0,0.08,1.58e-07,0.09,1.0,15400000.0,1.0,0.4,6.0,0.003,2.29e-12,0.54,1.34,1.0,1.0,3000000.0,2231396.188380189,7088240.698251045,12373736.986081006,1768213.3849547855,4725493.798834031,157516.45996113436,283458.2449109491,1989240.0580741335,177206.01745627614,3543228.0613868632,178511.6950704151,15400000.0,1422.9107532262533,5785.213014872563,4059243.4019400617,10978.889849045172,3856.8086765817097,4.821010845727137,867.7819522308846,6.706966654665558,2995.7784390839493,4.26873225967876
6.0,20242809.89589136,2032557.9865809993,3930171.8503710497,2103271.677963074,1358745188.056552,1814.439107034494,2651.38641708161,1227.7635788055848,3000000.0,1.0,0.4,6.0,0.08,1.58e-07,0.09,1.0,15400000.0,1.0,0.4,6.0,0.003,2.29e-12,0.54,1.34,1.0,1.0,3000000.0,2103271.677963074,7317208.751691597,12570120.01678867,1619424.791671309,4878139.167794399,162604.63892647994,314413.748029684,1821852.8906302224,182930.21879228993,3930171.8503710497,168261.73423704592,15400000.0,1227.7635788055848,6531.980785324178,4076235.564169656,12228.833785932782,4354.653856882786,5.443317321103482,979.7971177986269,7.95415925124483,3552.8577988893576,3.683290736416754
6.5,18542871.244461183,2001839.910676948,4166146.919110841,1967093.0662891464,1364400491.00874,1957.3298121210657,3015.1767541010063,1146.5464017039546,3000000.0,1.0,0.4,6.0,0.08,1.58e-07,0.09,1.0,15400000.0,1.0,0.4,6.0,0.003,2.29e-12,0.54,1.34,1.0,1.0,3000000.0,1967093.0662891464,7206623.678437012,12205867.493239792,1483429.6995568946,4804415.785624676,160147.19285415584,333291.7535288673,1668858.4120015064,180165.59196092532,4166146.919110841,157367.4453031317,15400000.0,1146.5464017039546,7046.387323635836,4093201.4730262198,13017.030745693082,4697.591549090558,5.871989436363197,1056.9580985453756,9.04553026230302,4040.3368504953487,3.439639205111864
7.0,17075590.916261747,1895600.6498755105,4235072.447553376,1830313.713952262,1370047215.6916275,2022.7765668128172,3288.7306613851547,1118.8907461799581,3000000.0,1.0,0.4,6.0,0.08,1.58e-07,0.09,1.0,15400000.0,1.0,0.4,6.0,0.003,2.29e-12,0.54,1.34,1.0,1.0,3000000.0,1830313.713952262,6824162.339551837,11425985.609194148,1366047.27330094,4549441.559701226,151648.05199004084,338805.7958042701,1536803.1824635572,170604.05848879594,4235072.447553376,146425.09711618096,15400000.0,1118.8907461799581,7281.995640526141,4110141.6470748824,13287.150702402278,4854.6637603507625,6.0683297004384515,1092.2993460789214,9.866191984155464,4406.899086256108,3.3566722385398746
7.5,15872831.037186908,1741617.556590723,4150402.3125127316,1699879.17583483,1375685504.7122006,2012.1297978872703,3448.170725424209,1107.1461659523331,3000000.0,1.0,0.4,6.0,0.08,1.58e-07,0.09,1.0,15400000.0,1.0,0.4,6.0,0.003,2.29e-12,0.54,1.34,1.0,1.0,3000000.0,1699879.17583483,6269823.203726603,10408824.273572577,1269826.4829749526,4179882.135817736,139329.40452725784,332032.1850010185,1428554.7933468216,156745.58009316507,4150402.3125127316,135990.3340667864,15400000.0,1107.1461659523331,7243.667272394173,4127056.514136602,13075.094607109375,4829.111514929449,6.036389393661811,1086.5500908591262,10.344512176272628,4620.5487720684405,3.3214384978569993
8.0,14933447.659485098,1566662.7867688125,3945848.9305263916,1581256.2193910715,1381315463.703721,1938.1067080895345,3488.3473428155485,1090.1891679630653,3000000.0,1.0,0.4,6.0,0.08,1.58e-07,0.09,1.0,15400000.0,1.0,0.4,6.0,0.003,2.29e-12,0.54,1.34,1.0,1.0,3000000.0,1581256.2193910715,5639986.032367724,9310170.299247678,1194675.8127588078,3759990.6882451503,125333.022941505,315667.91444211133,1344010.2893536587,140999.65080919312,3945848.9305263916,126500.49755128572,15400000.0,1090.1891679630653,6977.184149122324,4143946.3911111634,12481.558312450508,4651.456099414883,5.814320124268604,1046.5776223683488,10.465042028446646,4674.385439372835,3.270567503889196
8.5,14235810.283797244,1390849.599191554,3662756.22736566,1477980.200931977,1386937161.2841308,1819.1936398382368,3420.9733254579473,1058.6958599993932,3000000.0,1.0,0.4,6.0,0.08,1.58e-07,0.09,1.0,15400000.0,1.0,0.4,6.0,0.003,2.29e-12,0.54,1.34,1.0,1.0,3000000.0,1477980.200931977,5007058.557089593,8238483.837434764,1138864.8227037794,3338039.0380597296,111267.96793532431,293020.4981892528,1281222.9255417518,125176.46392723985,3662756.22736566,118238.41607455816,15400000.0,1058.6958599993932,6549.097103417652,4160811.4838523925,11633.229139009509,4366.064735611769,5.457580919514711,982.3645655126479,10.262919976373842,4584.10425611365,3.1760875799981796
9.0,13748856.990125783,1226522.5114173018,3339896.038343879,1391704.2500753314,1392550634.8915641,1674.322452619495,3268.730106620567,1011.0748295325296,3000000.0,1.0,0.4,6.0,0.08,1.58e-07,0.09,1.0,15400000.0,1.0,0.4,6.0,0.003,2.29e-12,0.54,1.34,1.0,1.0,3000000.0,1391704.2500753314,4415481.041102286,7255320.972906269,1099908.5592100627,2943654.027401525,98121.80091338416,267191.6830675103,1237397.1291113205,110387.02602755716,3339896.038343879,111336.34000602651,15400000.0,1011.0748295325296,6027.560829430181,4177651.9046746925,10650.731258448777,4018.3738862867885,5.022967357858485,904.1341244145273,9.8061903198617,4380.09834287156,3.0332244885975888
9.5,13439487.29827752,1079687.9145893492,3007953.042596803,1322560.8855414276,1398155899.3298335,1519.4760022680089,3058.483736398203,950.0820623118698,3000000.0,1.0,0.4,6.0,0.08,1.58e-07,0.09,1.0,15400000.0,1.0,0.4,6.0,0.003,2.29e-12,0.54,1.34,1.0,1.0,3000000.0,1322560.8855414276,3886876.4925216567,6387204.780147603,1075158.9838622017,2591250.9950144384,86375.03316714794,240636.24340774424,1209553.8568449768,97171.91231304142,3007953.042596803,105804.87084331422,15400000.0,950.0820623118698,5470.113608164831,4194467.697989501,9630.794897337699,3646.7424054432217,4.558428006804027,820.5170412247248,9.175451209194609,4098.368206773592,2.8502461869356095
10.0,13276550.881986137,952142.8767884364,2688082.645843381,1269628.0738186906,1403752955.1643574,1366.3460273753767,2815.879174416713,880.2964897370525,3000000.0,1.0,0.4,6.0,0.08,1.58e-07,0.09,1.0,15400000.0,1.0,0.4,6.0,0.003,2.29e-12,0.54,1.34,1.0,1.0,3000000.0,1269628.0738186906,3427714.356438371,5638777.631558725,1062124.070558891,2285142.9042922477,76171.43014307492,215046.61166747048,1194889.5793787523,85692.85891095927,2688082.645843381,101570.24590549525,15400000.0,880.2964897370525,4918.845698551356,4211258.865493072,8641.095063427658,3279.2304657009045,4.09903808212613,737.8268547827034,8.447637523250139,3773.2780937183957,2.6408894692111575
10.5,13232550.35842146,843291.9585546103,2392961.1882113973,1231365.5460029368,1409341795.5006783,1222.4374036420334,2562.1624139649216,806.4804511880204,3000000.0,1.0,0.4,6.0,0.08,1.58e-07,0.09,1.0,15400000.0,1.0,0.4,6.0,0.003,2.29e-12,0.54,1.34,1.0,1.0,3000000.0,1231365.5460029368,3035851.050796597,5003066.749743349,1058604.0286737168,2023900.700531065,67463.35668436882,191436.89505691177,1190929.5322579313,75896.27626991492,2392961.1882113973,98509.24368023494,15400000.0,806.4804511880204,4400.77465311132,4228025.386502035,7723.025498206189,2933.8497687408803,3.6673122109261,660.1161979666981,7.686487241894765,3433.297634712995,2.4194413535640615
11.0,13284018.305089695,751413.8175959898,2128780.701504337,1205951.0168787397,1414922410.6585143,1091.8573993974978,2313.0353029617186,732.7057493264322,3000000.0,1.0,0.4,6.0,0.08,1.58e-07,0.09,1.0,15400000.0,1.0,0.4,6.0,0.003,2.29e-12,0.54,1.34,1.0,1.0,3000000.0,1205951.0168787397,2705089.743345563,4468044.365396238,1062721.4644071755,1803393.1622303757,60113.105407679184,170302.45612034696,1195561.6474580725,67627.24358363908,2128780.701504337,96476.08135029918,15400000.0,732.7057493264322,3930.686637830992,4244767.231975543,6897.616305233073,2620.457758553995,3.2755721981924935,589.6029956746489,6.939105908885156,3099.467305968703,2.1981172479792965
11.5,13411308.700278247,674390.6506846453,1897308.2190150954,1191511.0423205493,1420494791.0610147,976.2714127150293,2078.8511259919123,662.0120424778653,3000000.0,1.0,0.4,6.0,0.08,1.58e-07,0.09,1.0,15400000.0,1.0,0.4,6.0,0.003,2.29e-12,0.54,1.34,1.0,1.0,3000000.0,1191511.0423205493,2427806.3424647227,4020371.023516279,1072904.6960222598,1618537.561643149,53951.25205477163,151784.65752120764,1207017.7830250422,60695.158561618075,1897308.2190150954,95320.88338564395,15400000.0,662.0120424778653,3514.5770857741054,4261484.373183044,6171.816652519365,2343.0513905160706,2.928814238145088,527.1865628661159,6.236553377975737,2785.6605088291626,1.9860361274335958
12.0,13598113.274185477,610115.0942132792,1697595.816661988,1186261.3357778057,1426058928.7786868,875.7700460878639,1865.536930055221,596.3994926384805,3000000.0,1.0,0.4,6.0,0.08,1.58e-07,0.09,1.0,15400000.0,1.0,0.4,6.0,0.003,2.29e-12,0.54,1.34,1.0,1.0,3000000.0,1186261.3357778057,2196414.339167805,3647287.8329829923,1087849.061934838,1464276.2261118703,48809.207537062335,135807.66533295903,1223830.1946766928,54910.35847919513,1697595.816661988,94900.90686222445,15400000.0,596.3994926384805,3152.77216591631,4278176.786336061,5543.796128440719,2101.8481106108734,2.6273101382635917,472.91582488744655,5.596610790165664,2499.8194862739965,1.7891984779154415
12.5,13830943.100924205,556668.3118217775,1527223.9770676757,1188579.9246446511,1431614818.1871924,789.5282914522518,1675.7156665395632,536.9836095198966,3000000.0,1.0,0.4,6.0,0.08,1.58e-07,0.09,1.0,15400000.0,1.0,0.4,6.0,0.003,2.29e-12,0.54,1.34,1.0,1.0,3000000.0,1188579.9246446511,2004005.9225583987,3337425.772812051,1106475.4480739364,1336003.9483722663,44533.4649457422,122177.91816541406,1244784.8790831785,50100.148063959976,1527223.9770676757,95086.39397157209,15400000.0,536.9836095198966,2842.301849228106,4294844.454561577,5006.847930637373,1894.8678994854045,2.3685848743567552,426.345277384216,5.02714699961869,2245.458993163015,1.6109508285596899
13.0,14098640.72327217,512385.5780589794,1383129.6506217131,1197036.0421278798,1437162456.099109,716.2652496863483,1509.758885109659,484.2059901229104,3000000.0,1.0,0.4,6.0,0.08,1.58e-07,0.09,1.0,15400000.0,1.0,0.4,6.0,0.003,2.29e-12,0.54,1.34,1.0,1.0,3000000.0,1197036.0421278798,1844588.0810123258,3081039.186815638,1127891.2578617737,1229725.3873415508,40990.846244718356,110650.37204973705,1268877.6650944953,46114.70202530814,1383129.6506217131,95762.88337023038,15400000.0,484.2059901229104,2578.554898870854,4311487.368297327,4552.0207932613985,1719.0365992472362,2.148795749059045,386.7832348306281,4.529276655328977,2023.0769060469433,1.4526179703687312
13.5,14391958.957080223,475861.68131435005,1262116.5030989056,1210392.4086134352,1442701841.6194327,654.5387686892728,1366.641836929396,438.039386477888,3000000.0,1.0,0.4,6.0,0.08,1.58e-07,0.09,1.0,15400000.0,1.0,0.4,6.0,0.003,2.29e-12,0.54,1.34,1.0,1.0,3000000.0,1210392.4086134352,1713102.05273166,2869963.968041184,1151356.7165664178,1142068.0351544402,38068.934505148005,100969.32024791244,1295276.30613722,42827.5513182915,1262116.5030989056,96831.39268907483,15400000.0,438.039386477888,2356.339567281382,4328105.524858298,4169.76436969227,1570.893044854255,1.9636163060678187,353.4509350922074,4.0999255107881885,1831.3000614853909,1.314118159433664
14.0,14703204.261217086,445930.9491214022,1161141.9745562077,1227592.5278917397,1448232975.8724802,602.9202548429828,1244.5783250255574,398.16054243272515,3000000.0,1.0,0.4,6.0,0.08,1.58e-07,0.09,1.0,15400000.0,1.0,0.4,6.0,0.003,2.29e-12,0.54,1.34,1.0,1.0,3000000.0,1227592.5278917397,1605351.4168370478,2697456.205251311,1176256.3408973669,1070234.2778913656,35674.47592971218,92891.35796449661,1323288.3835095377,40133.7854209262,1161141.9745562077,98207.40223133918,15400000.0,398.16054243272515,2170.512917434738,4344698.927617441,3850.8733826383445,1447.008611623159,1.8087607645289483,325.57693761521074,3.7337349750766724,1667.734955534247,1.1944816272981755
14.5,15025947.340319132,421636.63243826985,1077460.496069802,1247741.575722881,1453755861.697275,560.0888569354884,1141.4547691089822,364.0815487351466,3000000.0,1.0,0.4,6.0,0.08,1.58e-07,0.09,1.0,15400000.0,1.0,0.4,6.0,0.003,2.29e-12,0.54,1.34,1.0,1.0,3000000.0,1247741.575722881,1517891.8767777714,2557998.6186845982,1202075.7872255307,1011927.9178518478,33730.93059506159,86196.83968558416,1352335.260628722,37947.296919444285,1077460.496069802,99819.32605783048,15400000.0,364.0815487351466,2016.3198849677578,4361267.585091825,3586.9747322709877,1344.2132566451724,1.6802665708064652,302.44798274516376,3.4243643073269467,1529.5493906060362,1.0922446462054398
15.0,15354781.00657801,402199.1543162335,1008675.7946345126,1270084.397992897,1459270503.3459682,524.8727449152732,1055.1076916653992,335.24334816094756,3000000.0,1.0,0.4,6.0,0.08,1.58e-07,0.09,1.0,15400000.0,1.0,0.4,6.0,0.003,2.29e-12,0.54,1.34,1.0,1.0,3000000.0,1270084.397992897,1447916.9555384403,2447103.3574533416,1228382.4805262408,965277.9703589604,32175.93234529868,80694.063570761,1381930.2905920208,36197.92388846101,1008675.7946345126,101606.75183943177,15400000.0,335.24334816094756,1889.5418816949832,4377811.510037905,3370.7216111176676,1259.694587796656,1.5746182347458195,283.43128225424755,3.1653230749961976,1413.844306831635,1.0057300444828428
15.5,15685121.94360993,386984.37080270116,952741.4836605018,1293983.6886832775,1464776906.240991,496.2596427467774,983.4809830311916,311.07557380843963,3000000.0,1.0,0.4,6.0,0.08,1.58e-07,0.09,1.0,15400000.0,1.0,0.4,6.0,0.003,2.29e-12,0.54,1.34,1.0,1.0,3000000.0,1293983.6886832775,1393143.734889724,2361130.8836082295,1254809.7554887945,928762.4899264829,30958.749664216095,76219.31869284014,1411660.9749248936,34828.5933722431,952741.4836605018,103518.6950946622,15400000.0,311.07557380843963,1786.5347138883985,4394330.718722973,3195.818025403631,1191.023142592266,1.488778928240332,267.9802070832598,2.950442949093575,1317.864517261797,0.9332267214253189
16.0,16013099.857823258,375488.107729198,907957.7666624445,1318907.4855028621,1470275076.6619415,473.40449867139984,924.73518239275,291.0416382272562,3000000.0,1.0,0.4,6.0,0.08,1.58e-07,0.09,1.0,15400000.0,1.0,0.4,6.0,0.003,2.29e-12,0.54,1.34,1.0,1.0,3000000.0,1318907.4855028621,1351757.1878251126,2297196.5047118026,1281047.9886258608,901171.4585500753,30039.04861833584,72636.62133299556,1441178.9872040933,33793.92969562782,907957.7666624445,105512.59884022898,15400000.0,291.0416382272562,1704.2561952170392,4410825.229985825,3057.0301757166367,1136.1707968113599,1.4202134960141994,255.63842928255593,2.77420554717825,1239.145144406285,0.8731249146817687
16.5,16335335.38423781,367298.3027585838,872895.5214121008,1344399.0544696634,1475765021.726106,455.59209578838284,877.2362138658067,274.64601709310926,3000000.0,1.0,0.4,6.0,0.08,1.58e-07,0.09,1.0,15400000.0,1.0,0.4,6.0,0.003,2.29e-12,0.54,1.34,1.0,1.0,3000000.0,1344399.0544696634,1322273.8899309016,2252928.493431197,1306826.8307390248,881515.9266206012,29383.864220686704,69831.64171296806,1470180.1845814027,33056.84724827254,872895.5214121008,107551.92435757308,15400000.0,274.64601709310926,1640.1315448381781,4427295.065178318,2949.9520728978905,1093.421029892119,1.3667762873651486,246.01973172572676,2.6317086415974202,1175.4965265801811,0.8239380512793278
17.0,16648932.742607871,362089.8447107381,846397.8003643272,1370075.4992716566,1481246749.0540788,442.2428854339958,839.60469781396,261.4570303941793,3000000.0,1.0,0.4,6.0,0.08,1.58e-07,0.09,1.0,15400000.0,1.0,0.4,6.0,0.003,2.29e-12,0.54,1.34,1.0,1.0,3000000.0,1370075.4992716566,1303523.440958657,2226475.9681775947,1331914.6194086296,869015.6273057716,28967.18757685905,67711.82402914617,1498403.9468347083,32588.08602396643,846397.8003643272,109606.03994173254,15400000.0,261.4570303941793,1592.0743875623848,4443740.247162237,2871.0279375492587,1061.3829250415902,1.3267286563019876,238.81115813435775,2.51881409344188,1125.0702950707064,0.7843710911825379
17.5,16951345.696117632,359603.4757698101,827519.7471843633,1395608.6903737218,1486720266.7418346,432.88401547480925,810.678630911985,251.10152175906205,3000000.0,1.0,0.4,6.0,0.08,1.58e-07,0.09,1.0,15400000.0,1.0,0.4,6.0,0.003,2.29e-12,0.54,1.34,1.0,1.0,3000000.0,1395608.6903737218,1294572.512771316,2216356.5821719896,1356107.6556894106,863048.3418475443,28768.278061584806,66201.57977474907,1525621.1126505868,32364.312819282906,827519.7471843633,111648.69522989774,15400000.0,251.10152175906205,1558.382455709313,4460160.800225504,2817.3649685238856,1038.9216371395423,1.2986520464244278,233.757368356397,2.432035892735955,1086.30936542206,0.7533045652771861
18.0,17240323.14617756,359632.5704870297,815497.6311335961,1420716.5226530202,1492185583.2359838,427.13485117422033,789.4964096471732,243.26380788218793,3000000.0,1.0,0.4,6.0,0.08,1.58e-07,0.09,1.0,15400000.0,1.0,0.4,6.0,0.003,2.29e-12,0.54,1.34,1.0,1.0,3000000.0,1420716.5226530202,1294677.2537533068,2221391.94433831,1379225.8516942048,863118.1691688714,28770.605638962374,65239.81049068768,1551629.0831559803,32366.931343832668,815497.6311335961,113657.32181224161,15400000.0,243.26380788218793,1537.685464227193,4476556.749707951,2786.641021100085,1025.123642818129,1.281404553522661,230.65281963407898,2.36848922894152,1057.9251889272123,0.7297914236465638
18.5,17513860.432006344,362013.3712033348,809717.8822830425,1445155.050755281,1497642707.2439835,424.69189939351975,775.2735937158089,237.68135622942347,3000000.0,1.0,0.4,6.0,0.08,1.58e-07,0.09,1.0,15400000.0,1.0,0.4,6.0,0.003,2.29e-12,0.54,1.34,1.0,1.0,3000000.0,1445155.050755281,1303248.1363320053,2240643.184777582,1401108.8345605077,868832.0908880037,28961.069696266786,64777.43058264341,1576247.438880571,32581.203408300134,809717.8822830425,115612.40406042249,15400000.0,237.68135622942347,1528.890837816671,4492928.121731951,2777.009906237092,1019.2605585444476,1.2740756981805592,229.3336256725007,2.325820781147427,1038.866615579184,0.7130440686882704
19.0,17770157.68598183,366613.6343019438,809687.5114113446,1468711.2722891537,1503091647.6779041,425.31462218049904,767.3754386003003,234.13814112650317,3000000.0,1.0,0.4,6.0,0.08,1.58e-07,0.09,1.0,15400000.0,1.0,0.4,6.0,0.003,2.29e-12,0.54,1.34,1.0,1.0,3000000.0,1468711.2722891537,1319809.0834869975,2273347.4111556695,1421612.6148785462,879872.7223246653,29329.090744155506,64775.00091290757,1599314.1917383645,32995.22708717494,809687.5114113446,117496.9017831323,15400000.0,234.13814112650317,1531.1326398497963,4509274.943033713,2787.0090865961347,1020.7550932331978,1.275943866541497,229.6698959774695,2.302126315800901,1028.2830877244025,0.7024144233795095
19.5,18007590.16328135,373322.1508735557,815007.7923981776,1491197.3501430156,1508532413.6237895,428.81151890506595,765.2913622588159,232.45781568638984,3000000.0,1.0,0.4,6.0,0.08,1.58e-07,0.09,1.0,15400000.0,1.0,0.4,6.0,0.003,2.29e-12,0.54,1.34,1.0,1.0,3000000.0,1491197.3501430156,1343959.7431448004,2318859.5562511575,1440607.213062508,895973.1620965338,29865.772069884457,65200.623391854206,1620683.1146953215,33598.99357862001,815007.7923981776,119295.78801144125,15400000.0,232.45781568638984,1543.7214680582372,4525597.240871369,2815.476389311938,1029.1476453721584,1.2864345567151978,231.55822020873563,2.2958740867764478,1025.4904254268133,0.6973734470591695
