Time,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,species_11,species_12,species_13,parameter_1,parameter_2,parameter_3,parameter_4,parameter_5,parameter_6,parameter_7,parameter_8,parameter_9,parameter_10,parameter_11,parameter_12,parameter_13,parameter_14,parameter_15,parameter_16,parameter_17,parameter_18,parameter_19,parameter_20,parameter_21,parameter_22,parameter_23,compartment_1,reaction_1,reaction_2,reaction_3,reaction_4,reaction_5,reaction_6,reaction_7,reaction_8,reaction_9,reaction_10,reaction_11,reaction_12,reaction_13,reaction_14,reaction_15,reaction_16,reaction_17,reaction_18,reaction_19,reaction_20,reaction_21,reaction_22,reaction_23,reaction_24,reaction_25,reaction_26,reaction_27,reaction_28,reaction_29,reaction_30,reaction_31,reaction_32
0.1,0.00649167407024255,1.9672710840609635e-08,0.0013438466124301792,3.5559321820032303e-13,0.0013473590647195284,5.805822732610265e-07,9.67680828774661e-09,2.9059576980811247e-08,4.947698723801737e-17,0.005340951475230489,1.0512303481116499e-10,1.0645345709989792e-23,8.341468913296713e-14,0.035,0.35,1.4,0.035,24.5,0.005,0.35,1.05,17.5,0.0245,0.35,24.5,0.0105,0.035,0.0035,0.07,0.0035,24.5,0.21,0.0525,0.0175,0.0035,0.035,1.0,3.0533349729036996e-07,9.252987037165101e-12,3.231753383803193e-15,9.277171847545534e-13,3.1943431641918705e-10,6.7367953235976416e-06,2.0320379564135926e-07,6.096113869240779e-07,3.3302462116476117e-15,1.731694553330608e-17,2.5731355607899357e-09,3.616313387251495e-22,2.7333210344902392e-12,0.0035,0.0035,0.0035,0.035,7.05519471525844e-05,1.866864395551696e-14,1.0328173191320059e-09,1.6934414503556568e-10,5.085425971641969e-10,2.357878363259175e-05,1.0160189782067964e-08,0.00011360429622924463,9.346665081653356e-05,1.8396531091953875e-12,1.8629354992482137e-25,1.459757059826925e-15,8.658472766653041e-19,1.2121861873314255e-15,1.2192227738481556e-07
0.11,0.0068405043280169685,2.2809437410652978e-08,0.0013781320921008391,4.566243968561842e-13,0.0013820520022229106,6.474246286005844e-07,1.181988820272486e-08,3.549956532184696e-08,7.375594344997317e-17,0.005375013800327272,1.3295688611661734e-10,1.744966489750394e-23,1.1415828027675224e-13,0.035,0.35,1.4,0.035,24.5,0.005,0.35,1.05,17.5,0.0245,0.35,24.5,0.0105,0.035,0.0035,0.07,0.0035,24.5,0.21,0.0525,0.0175,0.0035,0.035,1.0,3.2994914892082047e-07,1.1002046194435216e-11,4.372957628162012e-15,1.1033340025039888e-12,4.0022465383735794e-10,6.910260011114553e-06,2.2659862001020452e-07,6.797958600306136e-07,4.716280482202419e-15,2.5814580207490607e-17,3.0023294537648176e-09,5.672877923039366e-22,3.424216761815746e-12,0.0035,0.0035,0.0035,0.035,7.235193483529405e-05,2.397278083494967e-14,1.1974954640592812e-09,2.0684804354768508e-10,6.212423931323219e-10,2.418591003890094e-05,1.1329931000510227e-08,0.00011970882574029695,9.406274150572727e-05,2.3267455070408036e-12,3.0536913570631897e-25,1.9977699048431643e-15,1.2907290103745306e-18,1.8070206145243427e-15,1.3595917200612272e-07
0.12,0.007189273295553783,2.6190280326979095e-08,0.0014123995765929502,5.760618532575128e-13,0.0014167371338251274,7.158484380062027e-07,1.4198423020999594e-08,4.26485086153922e-08,1.0629687282214676e-16,0.005409070160560538,1.6526404106500642e-10,2.707445884154806e-23,1.5230615227048493e-13,0.035,0.35,1.4,0.035,24.5,0.005,0.35,1.05,17.5,0.0245,0.35,24.5,0.0105,0.035,0.0035,0.07,0.0035,24.5,0.21,0.0525,0.0175,0.0035,0.035,1.0,3.553944295527909e-07,1.294689929563658e-11,5.798052537496042e-15,1.2986659939582345e-12,4.92828111822388e-10,7.083685669125637e-06,2.505469533021709e-07,7.516408599065128e-07,6.50495761123358e-15,3.7203905487751365e-17,3.469058790996586e-09,8.597915013018688e-22,4.2160384142161055e-12,0.0035,0.0035,0.0035,0.035,7.415097777112988e-05,3.024324729601942e-14,1.3749897171664025e-09,2.4847240286749295e-10,7.463489007693637e-10,2.479289984193973e-05,1.2527347665108548e-08,0.00012581228267219123,9.465872780980942e-05,2.8921207186376127e-12,4.7380302972709115e-25,2.6653576647334865e-15,1.8601952743875686e-18,2.6042733841425956e-15,1.5032817198130255e-07
0.13,0.0075379809752867035,2.9823018498147886e-08,0.001446649075348447,7.159029203340935e-13,0.0014514144611607223,7.858498395610581e-07,1.681777774549814e-08,5.052286454864071e-08,1.4892815779755789e-16,0.005443120556591369,2.0242639590971846e-10,4.028298590400641e-23,1.9889396562675164e-13,0.035,0.35,1.4,0.035,24.5,0.005,0.35,1.05,17.5,0.0245,0.35,24.5,0.0105,0.035,0.0035,0.07,0.0035,24.5,0.21,0.0525,0.0175,0.0035,0.035,1.0,3.8166846227624437e-07,1.5100204747055846e-11,7.555047631082824e-15,1.514994611328645e-12,5.980343626978728e-10,7.257072305803612e-06,2.750474438463703e-07,8.25142331539111e-07,8.773596954164251e-15,5.2124855229145257e-17,3.974966506491347e-09,1.2657903291398864e-21,5.115523740947521e-12,0.0035,0.0035,0.0035,0.035,7.594907645579347e-05,3.7584903317539906e-14,1.565708471152764e-09,2.9431111054621747e-10,8.841501296012125e-10,2.5399753070312644e-05,1.3752372192318519e-08,0.00013191466706751734,9.525460974034897e-05,3.5424619284200733e-12,7.049522533201123e-25,3.480644398468154e-15,2.6062427614572632e-18,3.6487398660401685e-15,1.6502846630782219e-07
0.14,0.007886627369657782,3.371540157960277e-08,0.0014808805978041137,8.782698480662531e-13,0.0014860839858559947,8.574249881108418e-07,1.968329502852397e-08,5.9139047217252585e-08,2.037140223987393e-16,0.005477164989064334,2.448421717882145e-10,5.797605783039376e-23,2.550242426255703e-13,0.035,0.35,1.4,0.035,24.5,0.005,0.35,1.05,17.5,0.0245,0.35,24.5,0.0105,0.035,0.0035,0.07,0.0035,24.5,0.21,0.0525,0.0175,0.0035,0.035,1.0,4.087703708842985e-07,1.7474969416242766e-11,9.69722183038629e-15,1.7536371427453055e-12,7.166502235038255e-10,7.430419929279974e-06,3.0009874583879465e-07,9.00296237516384e-07,1.1608537441639708e-14,7.129990783955875e-17,4.521717176735317e-09,1.8176985542973725e-21,6.129558146916361e-12,0.0035,0.0035,0.0035,0.035,7.774623138471596e-05,4.610916702347829e-14,1.7700585829291453e-09,3.4445766299916953e-10,1.0349333263019203e-09,2.600646975247991e-05,1.5004937291939733e-08,0.0001380159789690112,9.585038730862586e-05,4.284738006293754e-12,1.0145810120318908e-24,4.462924245947481e-15,3.564995391977938e-18,4.990993548769113e-15,1.8005924750327678e-07
0.15,0.008235212481117417,3.7875149759659114e-08,0.0015150941533915803,1.0654135353746115e-12,0.001520745709528816,9.30570055412727e-07,2.280029504645966e-08,6.851342730175193e-08,2.7296838342744214e-16,0.005511203458607268,2.9292614835824863e-10,8.120529428231648e-23,3.218679405780679e-13,0.035,0.35,1.4,0.035,24.5,0.005,0.35,1.05,17.5,0.0245,0.35,24.5,0.0105,0.035,0.0035,0.07,0.0035,24.5,0.21,0.0525,0.0175,0.0035,0.035,1.0,4.366992798727429e-07,2.008454628589151e-11,1.2283469581695807e-14,2.0159465023167036e-12,8.494995462634188e-10,7.60372854764408e-06,3.256995193944544e-07,9.770985581833634e-07,1.5105692589964813e-14,9.553893419960474e-17,5.110996856034426e-09,2.5545454295466954e-21,7.265173981567216e-12,0.0035,0.0035,0.0035,0.035,7.954244305305796e-05,5.5934210607167105e-14,1.9884453623821033e-09,3.990051633130441e-10,1.1989849777806589e-09,2.661304991675428e-05,1.6284975969722723e-08,0.0001441162184195548,9.64460605256272e-05,5.126207596269352e-12,1.4210926499405386e-24,5.632688960116189e-15,4.7769467099802376e-18,6.687725393972332e-15,1.9541971163667266e-07
0.16,0.008583736312124304,4.230995316712037e-08,0.001549289751537318,1.2797244305996877e-12,0.0015553996337880753,1.005281230518355e-06,2.617407522847473e-08,7.866233291728845e-08,3.593320575455379e-16,0.005545235965830584,3.471103381257815e-10,1.119449413786474e-22,4.0066943277925493e-13,0.035,0.35,1.4,0.035,24.5,0.005,0.35,1.05,17.5,0.0245,0.35,24.5,0.0105,0.035,0.0035,0.07,0.0035,24.5,0.21,0.0525,0.0175,0.0035,0.035,1.0,4.6545431443955214e-07,2.294263189044522e-11,1.537874389023159e-14,2.3033109981605377e-12,9.974231021152226e-10,7.776998168940377e-06,3.5184843068142423e-07,1.0555452920442728e-06,1.9371114564005528e-14,1.2576622014093827e-16,5.744512854815304e-09,3.522922014782876e-21,8.529549892439285e-12,0.0035,0.0035,0.0035,0.035,8.133771195570919e-05,6.71855326064836e-14,2.221272541273819e-09,4.580463164983078e-10,1.376590826052548e-09,2.721949359129132e-05,1.7592421534071212e-08,0.00015021538546217532,9.704162940203523e-05,6.0744309172011765e-12,1.9590364741263296e-24,7.0117150736369615e-15,6.2883110070469144e-18,8.803635409865679e-15,2.1110905840885453e-07
0.17,0.00893219886514531,4.702747022486062e-08,0.0015834674016626251,1.5237634015586951e-12,0.0015900457602320973,1.0815547208087219e-06,2.980990957853402e-08,8.960205233919225e-08,4.66026459156245e-16,0.005579262511325387,4.078458884099898e-10,1.5597682585204345e-22,4.92760982277639e-13,0.035,0.35,1.4,0.035,24.5,0.005,0.35,1.05,17.5,0.0245,0.35,24.5,0.0105,0.035,0.0035,0.07,0.0035,24.5,0.21,0.0525,0.0175,0.0035,0.035,1.0,4.950346004843923e-07,2.6063263129304277e-11,1.905478081661355e-14,2.617154037591829e-12,1.16127844828713e-09,7.950228801160486e-06,3.7854415228305266e-07,1.135632456849158e-06,2.452156346618085e-14,1.6310926070468574e-16,6.423993358058571e-09,4.778085563174792e-21,9.930010366644581e-12,0.0035,0.0035,0.0035,0.035,8.313203858728781e-05,7.999757858183149e-14,2.4689421868051824e-09,5.216734176243454e-10,1.5680359159358645e-09,2.7825800804061706e-05,1.8927207614152635e-08,0.00015631348014004295,9.763709394819429e-05,7.1373030471748224e-12,2.7295944524107605e-24,8.623317189858683e-15,8.155463035234288e-18,1.1417648249328002e-14,2.2712649136983158e-07
0.18,0.009280600142655701,5.2035330236897005e-08,0.0016176271131836464,1.800212398474085e-12,0.001624684090451191,1.1593867504107217e-06,3.371304963090047e-08,1.0134882919446864e-07,5.963984289828263e-16,0.0056132830956664905,4.756000525455927e-10,2.1728797180865666e-22,5.995390880685578e-13,0.035,0.35,1.4,0.035,24.5,0.005,0.35,1.05,17.5,0.0245,0.35,24.5,0.0105,0.035,0.0035,0.07,0.0035,24.5,0.21,0.0525,0.0175,0.0035,0.035,1.0,5.254392646081559e-07,2.9460816362134296e-11,2.3389872018924817e-14,2.9589340612041134e-12,1.341939856709927e-09,8.123420452255955e-06,4.0578536264375255e-07,1.217356087931258e-06,3.0685107478134007e-14,2.0873945014398917e-16,7.151187669555106e-09,6.3849691531336875e-21,1.1474024592799117e-11,0.0035,0.0035,0.0035,0.035,8.492542344214144e-05,9.451115091988947e-14,2.731854837437093e-09,5.899783685407583e-10,1.7736045109032014e-09,2.8431971582895845e-05,2.028926813218763e-08,0.00016241050249647478,9.823245417416359e-05,8.323000919547873e-12,3.802539506651492e-24,1.0491934041199763e-14,1.043697250719946e-17,1.4611761510079243e-14,2.4347121758625153e-07
0.19,0.00962894014713905,5.734113224491037e-08,0.0016517688955113628,2.111895795434128e-12,0.0016593146260265581,1.238773560920976e-06,3.788872396620249e-08,1.1391886429230756e-07,7.540897183705266e-16,0.0056472977194111,5.508575060739085e-10,2.9994726032557935e-22,7.224744293127805e-13,0.035,0.35,1.4,0.035,24.5,0.005,0.35,1.05,17.5,0.0245,0.35,24.5,0.0105,0.035,0.0035,0.07,0.0035,24.5,0.21,0.0525,0.0175,0.0035,0.035,1.0,5.566674341124712e-07,3.315000453644131e-11,2.846944549572177e-14,3.3301442792416007e-12,1.5402981890457681e-09,8.296573130132791e-06,4.335707463223416e-07,1.300712238967025e-06,3.8001715603796064e-14,2.639314014296843e-16,7.927865907386973e-09,8.419417152773298e-21,1.3169205904998363e-11,0.0035,0.0035,0.0035,0.035,8.671786701434655e-05,1.1087452926029172e-13,3.010409442857794e-09,6.630526694085436e-10,1.9935801251153827e-09,2.903800595546477e-05,2.1678537316117083e-08,0.00016850645257493338,9.882771008969426e-05,9.640006356293399e-12,5.249077055697639e-24,1.2643302512973659e-14,1.3196570071484217e-17,1.8475198100077902e-14,2.6014244779340494e-07
0.2,0.009977218881087217,6.295244459325108e-08,0.0016858927580515877,2.461788308988841e-12,0.0016939373685298936,1.3197114116914752e-06,4.234213800087063e-08,1.273283161937493e-07,9.430878425277645e-16,0.005681306383098329,6.341208377583725e-10,4.0856171178739707e-22,8.631154288093152e-13,0.035,0.35,1.4,0.035,24.5,0.005,0.35,1.05,17.5,0.0245,0.35,24.5,0.0105,0.035,0.0035,0.07,0.0035,24.5,0.21,0.0525,0.0175,0.0035,0.035,1.0,5.887182369992177e-07,3.7145874654492034e-11,3.4386521116756526e-14,3.732312441788548e-12,1.757260780666548e-09,8.469686842649468e-06,4.618989940920163e-07,1.385696982276049e-06,4.6623863535901056e-14,3.3008074488471754e-16,8.755818801035927e-09,1.0969507641323974e-20,1.5023311127615294e-11,0.0035,0.0035,0.0035,0.035,8.850936979770835e-05,1.2924388622191413e-13,3.3050033411456816e-09,7.409874150152362e-10,2.228245533390613e-09,2.9643903949273142e-05,2.3094949704600816e-08,0.00017460133041902632,9.942286170422077e-05,1.109711466077152e-11,7.14982995627945e-24,1.5104520004163018e-14,1.6504037244235878e-17,2.3105652141930228e-14,2.771393964552098e-07
0.21,0.010325436347000328,6.887680470580589e-08,0.0017199987102049636,2.853018902852444e-12,0.0017285523195231906,1.4021965799841871e-06,4.7078473858321026e-08,1.4159330140431466e-07,1.167741459041767e-15,0.005715309087248945,7.2591079384448e-10,5.483080270697154e-22,1.023089908408017e-12,0.035,0.35,1.4,0.035,24.5,0.005,0.35,1.05,17.5,0.0245,0.35,24.5,0.0105,0.035,0.0035,0.07,0.0035,24.5,0.21,0.0525,0.0175,0.0035,0.035,1.0,6.215908019700407e-07,4.1463805339958854e-11,4.124213110946827e-14,4.167000618744831e-12,1.993751327091611e-09,8.642761597615954e-06,4.907688029944654e-07,1.4723064089833966e-06,5.671715020552537e-14,4.087095106646184e-16,9.636857518640834e-09,1.413697371173802e-20,1.7044239890556446e-11,0.0035,0.0035,0.0035,0.035,9.029993228576058e-05,1.497834923997533e-13,3.6160322470548092e-09,8.23873292520618e-10,2.477882774575507e-09,3.0249665591655838e-05,2.4538440149723277e-08,0.00018069513607250575,0.00010001790902685654,1.2703438892278401e-11,9.595390473720022e-24,1.79040733971403e-14,2.0435475533230924e-17,2.860966574652329e-14,2.9446128179667927e-07
0.22,0.010673592547386786,7.512171886286513e-08,0.0017540867613669603,3.2888746926058303e-12,0.001763159480558549,1.4862253611256692e-06,5.2102890240138974e-08,1.5672989456663575e-07,1.4327757463942037e-15,0.005749305832365138,8.267665223197308e-10,7.249641287226846e-22,1.204106744422198e-12,0.035,0.35,1.4,0.035,24.5,0.005,0.35,1.05,17.5,0.0245,0.35,24.5,0.0105,0.035,0.0035,0.07,0.0035,24.5,0.21,0.0525,0.0175,0.0035,0.035,1.0,6.552842584258675e-07,4.611950439196883e-11,4.914575177160123e-14,4.635804978312012e-12,2.2507097698393615e-09,8.815797402792745e-06,5.201788763939842e-07,1.5605366291819528e-06,6.846092376405602e-14,5.014715112379713e-16,1.0572813493206978e-08,1.8038737059074066e-20,1.9240033948278794e-11,0.0035,0.0035,0.0035,0.035,9.208955497176542e-05,1.7266592136180608e-13,3.943890240300419e-09,9.118005792024321e-10,2.742773154916126e-09,3.085529090977461e-05,2.6008943819699214e-08,0.00018678786957926878,0.00010061285206638993,1.446841414059529e-11,1.2686872252646982e-23,2.1071868027388468e-14,2.5073575561898566e-17,3.5103005786657994e-14,3.1210732583639055e-07
