Time,G_alpha,PLC,Ca_cyt,Ca_ER,Ca_mit,Enz,Product,k1,k2,k3,K4,k5,K6,k7,k8,K9,k10,K11,k12,k13,k14,K15,k16,K17,k18,K19,k20,K21,k_act,KM,k_inact,p,k_enz,k_rem,cytoplasm,ER,mit
0.1,0.01279777504041023,0.011193537931363743,0.00018492630182800074,10.003500390168952,0.0010000047164343041,8.050760273486532e-11,2.1221753830419625e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.11,0.013102276232909427,0.011338086334323209,0.0001890234011331007,10.003761172379171,0.0010000044428272671,8.018662849350831e-11,2.2969095325108648e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.12,0.01341152873764726,0.01148739117401072,0.00019319112413035,10.00402769723615,0.0010000041645958511,7.986697343243261e-11,2.4655303383589598e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.13,0.013725599934346917,0.011641498336087902,0.00019743042720505414,10.004300061475666,0.0010000038817221662,7.954863536761855e-11,2.6282264446309788e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.14,0.014044558790360335,0.011800455532536933,0.00020174229205466166,10.004578364474007,0.0010000035941923348,7.923161259904912e-11,2.7851752619466797e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.15,0.014368475086968285,0.011964311421768216,0.00020612771305824154,10.004862706999612,0.0010000033019949798,7.891590375411911e-11,2.936549228715734e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.16,0.014697418848509057,0.012133114950749129,0.0002105876885256961,10.005153190243625,0.0010000030051195623,7.860150757662346e-11,3.08251927878966e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.17,0.01503146309862604,0.012306918587547122,0.00021512326440122203,10.005449920564647,0.001000002703565263,7.828842412019564e-11,3.2232378459026605e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.18,0.015370677630020112,0.012485770995981312,0.00021973543526796103,10.005752998736645,0.0010000023973205725,7.797665198732943e-11,3.358877165351625e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.19,0.015715134668908396,0.01266972367188313,0.0002244252342512781,10.006062529686144,0.0010000020863813776,7.766619075424073e-11,3.489594179789336e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.2,0.016064907654758265,0.012858829591034758,0.00022919371468391723,10.006378620549294,0.0010000017707490262,7.735704083936394e-11,3.61553958649746e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.21,0.016420071288666648,0.01305314328621025,0.00023404195114168296,10.006701380795523,0.0010000014504309958,7.704920362615704e-11,3.736857925259337e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.22,0.016780700893109592,0.013252719827615977,0.00023897102573726658,10.007030920591237,0.0010000011254320596,7.674267983790581e-11,3.853686415454611e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.23,0.01714687301289594,0.013457615779872473,0.0002439820409851732,10.00736735233568,0.0010000007957625776,7.643747106316959e-11,3.966156047588721e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.24,0.01751866381326814,0.013667887402742296,0.00024907609374410475,10.007710788200086,0.0010000004614372747,7.613357998027752e-11,4.0744064542690226e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.25,0.017896150705829176,0.013883592387918805,0.0002542543006851844,10.008061342431054,0.0010000001224739975,7.583100961872805e-11,4.178568699698573e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.26,0.018279413061395675,0.01410479062048426,0.00025951780945795825,10.008419132360391,0.0009999997788931647,7.552976303536533e-11,4.278757734095536e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.27,0.018668530651330895,0.01433154251396702,0.0002648677742757178,10.00878427619704,0.0009999994307189634,7.522984402242583e-11,4.3750888922504143e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.28,0.01906358248649558,0.014563907735329158,0.0002703053393911872,10.009156891522908,0.0009999990779827183,7.493125853011396e-11,4.467693873994495e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.29,0.019464649856960677,0.014801948514616919,0.00027583168371618863,10.00953709934577,0.0009999987207160955,7.463401167343236e-11,4.556681921045302e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.3,0.019871814796705738,0.01504572797331866,0.0002814479982850904,10.009925022052236,0.0009999983589545356,7.433810924397546e-11,4.642159425850157e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.31,0.02028515996527235,0.015295309999826177,0.0002871554846123118,10.010320783280848,0.0009999979927380154,7.404355798601697e-11,4.724231945019406e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.32,0.020704768552319733,0.015550759217264926,0.0002929553548651279,10.01072450830859,0.000999997622119544,7.375036834201085e-11,4.803013759339513e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.33,0.02113072490870415,0.015812141508859758,0.00029884883757916027,10.011136323734098,0.0009999972471450814,7.345854785353e-11,4.878601009493514e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.34,0.021563114078387652,0.016079523628254797,0.00030483717341901897,10.011556357712642,0.000999996867868433,7.316810605599567e-11,4.9510916221338375e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.35,0.022002022265156,0.01635297377226607,0.0003109216226088666,10.011984740888572,0.000999996484355592,7.287905597407547e-11,5.020583281036001e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.36,0.022447537064359053,0.016632561896281366,0.0003171034691612138,10.012421607054725,0.000999996096690126,7.259141593745709e-11,5.0871754225880865e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.37,0.02289974554013285,0.016918357097349596,0.0003233839857900908,10.012867087681295,0.0009999957049284824,7.230519451515631e-11,5.1509526789736844e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.38,0.023358736181131882,0.01721043027594246,0.00032976446959922666,10.01332131748074,0.000999995309145448,7.202040583941869e-11,5.212001718754968e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.39,0.023824598305345494,0.01750885332590656,0.0003362462312211461,10.01378443271422,0.0009999949094203163,7.173706494223129e-11,5.270406121816243e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.4,0.02429742206009793,0.017813699134463394,0.00034283059481716993,10.014256571191593,0.0009999945058368855,7.145518775532264e-11,5.326246379363948e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.41,0.024777298703265557,0.01812504198082855,0.00034951890369336693,10.014737873124988,0.000999994098491555,7.117479425322773e-11,5.379602580622961e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.42,0.02526432230494728,0.018442959948291378,0.00035631255428317027,10.01522848629376,0.0009999936875423117,7.089592747224898e-11,5.4305706702714204e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.43,0.02575858452297847,0.01876752751862293,0.0003632128918135948,10.015728550186958,0.0009999932730583312,7.06185951182444e-11,5.47921253469542e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.44,0.026260179192345738,0.01909882207746868,0.00037022130195654945,10.016238209933288,0.0009999928551520936,7.034282086087483e-11,5.5255998483841174e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.45,0.026769201011393535,0.019436922052075804,0.00037733918459218315,10.016757612313413,0.0009999924339415647,7.006862964980526e-11,5.569801522197857e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.46,0.027285745541824176,0.019781906911293203,0.000384567953808885,10.017286905759969,0.000999992009550195,6.97960477147049e-11,5.611883703368167e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.47,0.027809909208697824,0.020133857165571457,0.000391909037903284,10.01782624035757,0.0009999915821069195,6.952510256524708e-11,5.651909775497765e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.48,0.028341791717921092,0.02049285805638352,0.000399363931402817,10.0183757764729,0.0009999911518514012,6.92558720932861e-11,5.689975045877234e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.49,0.0288814902982253,0.020858990768690258,0.0004069340711573567,10.018935664199368,0.0009999907188833613,6.898836762032967e-11,5.7261241265539475e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.5,0.029429104254557845,0.02123233938004297,0.00041462093432482816,10.019506059612098,0.0009999902833608065,6.872262638253685e-11,5.760416268633368e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.51,0.029984733844949624,0.021612989146528386,0.0004224260142022263,10.02008712075849,0.0009999898454511344,6.845868871850962e-11,5.792909247019987e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.52,0.030548480223177434,0.022001026415263532,0.00043035081899175275,10.020679007453541,0.0009999894053286367,6.819659690469518e-11,5.823658537709007e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.53,0.031120445438763956,0.02239653862439577,0.00043839687180081564,10.021281881279835,0.0009999889631745011,6.793639515538586e-11,5.85271731778633e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.54,0.03170073402892375,0.022799616881523578,0.00044656574873981185,10.021895912052315,0.0009999885192773356,6.76781878407753e-11,5.880164027006502e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.55,0.03228944968350957,0.02321035056202347,0.0004548589991090246,10.022521264274893,0.0009999880738225714,6.74220175228069e-11,5.906044627553775e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.56,0.03288669713117919,0.02362883036401026,0.00046327819053757445,10.023158104800034,0.0009999876270115685,6.716793393299355e-11,5.930405259504797e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.57,0.033492582315305976,0.024055148593253448,0.0004718249131932371,10.0238066035431,0.0009999871790727234,6.691600040553408e-11,5.953295286392948e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.58,0.03410721210191823,0.024489398690136544,0.0004805007727929715,10.024466932296324,0.0009999867302430273,6.666628319654634e-11,5.974762238722326e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.59,0.03473069427969917,0.02493167522965703,0.0004893073906029188,10.025139264728802,0.0009999862807680646,6.641885148406722e-11,5.994851813967735e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.6,0.03536313853016092,0.025382075465720633,0.0004982464277894231,10.02582378031241,0.000999985830976351,6.617383142950156e-11,6.013622741341038e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.61,0.03600465534729937,0.025840697611479932,0.0005073195583027553,10.02652065995007,0.000999985381196554,6.593134597705787e-11,6.031130229010219e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.62,0.03665535470892509,0.026307638724397887,0.0005165284355279897,10.027230080599162,0.0009999849316556888,6.56914408157007e-11,6.04740560655617e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.63,0.037315348420250145,0.026782998436700373,0.0005258747511081996,10.027952224755085,0.0009999844826586884,6.545421497192415e-11,6.062492232835089e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.64,0.037984749220099,0.02726687753266904,0.0005353602125106701,10.028687276834438,0.0009999840345199186,6.521977100473036e-11,6.076431801561773e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.65,0.038663670785063,0.027759377955254242,0.0005449865431311734,10.029435423191849,0.0009999835875634982,6.498821523712925e-11,6.089264404962927e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.66,0.03935222876057293,0.02826060433445776,0.0005547555100657549,10.030196855882016,0.0009999831422080497,6.475973652576682e-11,6.10104046307602e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.67,0.040050539703229554,0.028770662420449705,0.0005646688956070562,10.030971768803974,0.0009999826988797136,6.453452528472203e-11,6.111808518434148e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.68,0.040758719539129525,0.029289656799448605,0.0005747284557004501,10.031760352080171,0.000999982257885369,6.431265549290229e-11,6.121597438263418e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.69,0.04147688607678205,0.02981769461801967,0.0005849359876400805,10.032562801222893,0.0009999818196192232,6.409427679428141e-11,6.130445465922019e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
0.7,0.04220515812607335,0.030354884277942123,0.0005952933063241054,10.033379313922742,0.0009999813844903495,6.387954703056357e-11,6.138390056522783e-11,0.01,1.65,0.64,0.09,4.88,1.18,2.08,32.24,29.09,0.7,3.0,2.8,13.4,153.0,0.16,7.0,0.05,79.0,3.5,0.81,4.5,5.0,0.62,0.4,4.0,3.0,3.0,1.0,1.0,1.0
