Time,lacz,IPTG,sigb,x,kbd,kbs,kxd,kxs,kzd,kzs,kzx,compartment,v1,v2,v3
443.20000000000005,8.124834839459435,200.0,1212683.465873234,43.29134574225577,0.0164812,100.0,1.08559e-09,9.32517e-08,1.34615e-07,9.03538e-07,0.00317772,1.0,13.52126225005486,-0.02201095300401512,0.11308474775791903
444.0,8.107263700500644,200.0,1212694.140219218,43.381813935167685,0.0164812,100.0,1.08559e-09,9.32517e-08,1.34615e-07,9.03538e-07,0.00317772,1.0,13.345336219019373,-0.021914780601144823,0.11308574306061708
444.8,8.08976922468779,200.0,1212704.674284636,43.47228292127934,0.0164812,100.0,1.08559e-09,9.32517e-08,1.34615e-07,9.03538e-07,0.00317772,1.0,13.17172218005362,-0.021819243012351164,0.11308672528191299
445.6,8.072350782976246,200.0,1212715.0716995895,43.56275268005505,0.0164812,100.0,1.08559e-09,9.32517e-08,1.34615e-07,9.03538e-07,0.00317772,1.0,13.000360304722562,-0.02172431533829733,0.11308769476031993
446.40000000000003,8.05500793862474,200.0,1212725.3335714622,43.65322320523167,0.0164812,100.0,1.08559e-09,9.32517e-08,1.34615e-07,9.03538e-07,0.00317772,1.0,12.831232342014118,-0.02163000128256476,0.11308865159910333
447.20000000000005,8.037740253076644,200.0,1212735.4610758699,43.74369449016001,0.0164812,100.0,1.08559e-09,9.32517e-08,1.34615e-07,9.03538e-07,0.00317772,1.0,12.664318916373304,-0.02153630372513593,0.1130895959078914
448.0,8.020547250655081,200.0,1212745.4559278816,43.83416652513884,0.0164812,100.0,1.08559e-09,9.32517e-08,1.34615e-07,9.03538e-07,0.00317772,1.0,12.499591761396005,-0.021443219308430406,0.11309052784661722
448.8,8.003428461266708,200.0,1212755.3198120438,43.924639300639605,0.0164812,100.0,1.08559e-09,9.32517e-08,1.34615e-07,9.03538e-07,0.00317772,1.0,12.337023113741452,-0.021350744942366662,0.11309144757236758
449.6,7.986383420401715,200.0,1212765.054382378,44.01511280730643,0.0164812,100.0,1.08559e-09,9.32517e-08,1.34615e-07,9.03538e-07,0.00317772,1.0,12.176585713150416,-0.021258877812307286,0.1130923552393829
450.40000000000003,7.96941166913382,200.0,1212774.6612623832,44.10558703595609,0.0164812,100.0,1.08559e-09,9.32517e-08,1.34615e-07,9.03538e-07,0.00317772,1.0,12.018252802408824,-0.0211676153870044,0.11309325099905715
