A,I1,I2,O,R,S,Time
0.3235815666121654,0.001019040305498793,0.6751875201676907,6.130470296167557e-05,0.00015037679262017042,1.9141906572724674e-07,3.7800000000000002
0.32358053393500735,0.0010109732671287391,0.675197118115044,6.129526759134932e-05,0.00014988802648951358,1.9138874151293042e-07,3.79
0.32357952926797606,0.0010029722262244719,0.6752066179684934,6.128591308280988e-05,0.00014940326554775815,1.9135867792960225e-07,3.8000000000000003
0.3235785518808365,0.000995036642871968,0.675216021031879,6.127663868053499e-05,0.0001489224768618365,1.9132887252374013e-07,3.81
0.32357760106216304,0.000987165981573645,0.675225328585533,6.126744363759069e-05,0.00014844562777235583,1.912993228701233e-07,3.8200000000000003
0.323576676118857,0.0009793597112122499,0.6752345418868,6.125832721549927e-05,0.00014797268589125057,1.9127002657139014e-07,3.83
0.3235757763756762,0.00097161730501504,0.6752436621705465,6.124928868411005e-05,0.0001475036190994566,1.9124098125760468e-07,3.84
0.3235749011747769,0.0009639382405182565,0.6752526906496569,6.124032732147272e-05,0.0001470383955446075,1.9121218458583232e-07,3.85
0.3235740498752671,0.0009563219995318918,0.675261628515517,6.123144241371323e-05,0.00014657698363875214,1.911836342397238e-07,3.86
0.32357322185277176,0.0009487680681047383,0.6752704769384872,6.122263325491214e-05,0.00014611935205609332,1.9115532792910768e-07,3.87
0.32357241649900853,0.0009412759364897295,0.6752792370683632,6.12138991469853e-05,0.00014566546973074788,1.9112726338959118e-07,3.88
0.32357163322137505,0.0009338450991095582,0.6752879100348255,6.12052393995671e-05,0.0001452153058545271,1.910994383821688e-07,3.89
0.32357087144254626,0.000926475054522581,0.6752964969478784,6.11966533298958e-05,0.00014476882987473797,1.9107185069283887e-07,3.9
0.3235701306000824,0.0009191653053889959,0.6753049988982783,6.118814026270131e-05,0.00014432601149200455,1.9104449813222767e-07,3.91
0.32356941014604684,0.0009119153584373022,0.6753134169579517,6.117969953009501e-05,0.00014388682065810964,1.9101737853522116e-07,3.92
0.3235687095466339,0.0009047247244310282,0.6753217521804025,6.117133047146184e-05,0.00014345122757385606,1.9099048976060387e-07,3.93
0.3235680282818061,0.0008975929181357362,0.6753300056011107,6.116303243335441e-05,0.00014301920268694783,1.9096382969070492e-07,3.94
0.32356736584494045,0.0008905194582862925,0.6753381782379203,6.115480476938925e-05,0.0001425907166898904,1.9093739623105104e-07,3.95
0.3235667217424844,0.0008835038675544091,0.6753462710914184,6.114664684014495e-05,0.00014216574051791075,1.909111873100264e-07,3.96
0.32356609549362014,0.0008765456725164465,0.6753542851453052,6.113855801306236e-05,0.00014174424534689562,1.9088520087853888e-07,3.97
0.32356548662993756,0.0008696444036214836,0.675362221366755,6.11305376623467e-05,0.00014132620259134943,1.9085943490969318e-07,3.98
0.3235648946951158,0.0008627995951596443,0.6753700807067685,6.112258516887145e-05,0.00014091158390237,1.9083388739846996e-07,3.99
0.3235643192446127,0.0008560107852306868,0.6753778641005171,6.111469992008416e-05,0.00014050036116564332,1.908085563614113e-07,4.0
0.32356375984536256,0.0008492775157128467,0.675385572467678,6.1106881309914e-05,0.00014009250649945606,1.9078343983631216e-07,4.01
0.3235632160754813,0.000842599332231936,0.6753932067127623,6.10991287386811e-05,0.00013968799225272635,1.907585358819177e-07,4.0200000000000005
0.32356268752397915,0.0008359757841306961,0.6754007677254343,6.10914416130076e-05,0.00013928679100305228,1.9073384257762668e-07,4.03
0.32356217379048124,0.0008294064244383967,0.6754082563808247,6.108381934573023e-05,0.00013888887555477792,1.9070935802320004e-07,4.04
0.32356167448495465,0.0008228908098406881,0.6754156735398342,6.107626135581471e-05,0.00013849421893707696,1.9068508033847525e-07,4.05
0.32356118922744304,0.0008164285006496963,0.6754230200494321,6.106876706827163e-05,0.00013810279440205344,1.9066100766308607e-07,4.0600000000000005
0.32356071764780764,0.0008100190607743669,0.6754302967429457,6.106133591407397e-05,0.00013771457542285982,1.9063713815618751e-07,4.07
0.32356025938547517,0.0008036620576910448,0.6754375044403448,6.105396733007604e-05,0.00013732953569183147,1.9061346999618597e-07,4.08
0.32355981408919215,0.0007973570624142998,0.6754446439485174,6.104666075893393e-05,0.00013694764911863835,1.9059000138047427e-07,4.09
0.3235593814167853,0.000791103649467989,0.6754517160615415,6.103941564902752e-05,0.0001365688898284529,1.9056673052517188e-07,4.1
0.32355896103492865,0.0007849013968565545,0.6754587215609474,6.1032231454383784e-05,0.00013619323216013452,1.9054365566486965e-07,4.11
0.32355855261891586,0.0007787498860365592,0.6754656612159764,6.102510763460158e-05,0.00013582065066443022,1.905207750523795e-07,4.12
0.32355815585243886,0.0007726487018884492,0.6754725357838316,6.1018043654777714e-05,0.00013545112010219105,1.904980869584885e-07,4.13
0.32355777042737216,0.0007665974326885528,0.6754793460099244,6.101103898543437e-05,0.0001350846154426047,1.904755896717175e-07,4.14
0.32355739604356265,0.0007605956700813054,0.6754860926281135,6.100409310244792e-05,0.00013472111186144366,1.9045328149808423e-07,4.15
0.32355703240862443,0.0007546430090517039,0.6754927763609396,6.0997205486978865e-05,0.00013436058473932915,1.9043116076087063e-07,4.16
0.32355667923773956,0.0007487390478979814,0.6754993979198541,6.099037562540309e-05,0.0001340030096600099,1.9040922580039438e-07,4.17
0.32355633625346325,0.0007428833882045105,0.6755059580054422,6.0983603009244373e-05,0.00013364836240865676,1.9038747497378446e-07,4.18
0.3235560031855347,0.0007370756348149249,0.6755124573076413,6.0976887135108016e-05,0.000133296618970172,1.9036590665476092e-07,4.19
0.32355567977069205,0.0007313153958054641,0.675518896505954,6.097022750461564e-05,0.00013294775552751386,1.9034451923341833e-07,4.2
0.32355536575249283,0.0007256022824585302,0.675525276269656,6.0963623624341206e-05,0.00013260174846003544,1.9032331111601325e-07,4.21
0.3235550608811385,0.0007199359092364663,0.6755315972579995,6.095707500574805e-05,0.0001322585743418386,1.903022807247554e-07,4.22
0.3235547649133036,0.0007143158937555465,0.6755378601204118,6.095058116512703e-05,0.00013191820994014211,1.9028142649760241e-07,4.23
