I_2_task1,T_1_task1,VI_3_task1,VNI_4_task1,_1_task1
6267780.967490911,32014125.989114933,1754953.5055050608,1169969.0036700277,13.3
6734785.628902894,31710507.834297318,1888588.3209321946,1259058.8806214428,13.65
7211736.222557431,31396587.145915817,2025545.6031430033,1350363.7354286537,14.0
7695081.056040012,31074206.45877313,2164848.3605882833,1443232.2403921802,14.35
8180961.303227988,30745473.258206613,2305419.295128192,1536946.196752116,14.7
8665311.937855907,30412719.87379632,2446107.2552926308,1630738.170195067,15.05
9143982.106525708,30078449.53626686,2585719.7784976936,1723813.1856651076,15.4
9612866.056496326,29745271.972450882,2723059.5875591054,1815373.058372725,15.75
10068035.945153397,29415831.6825096,2856962.654193336,1904641.7694622255,16.1
10505866.460418351,29092731.78000758,2986335.372871659,1990890.2485811135,16.45
10923152.10337998,28778459.79748689,3110189.937027212,2073459.9580181423,16.8
11317200.943856975,28475313.42962721,3227675.1281658625,2151783.418777242,17.15
11685898.16733438,28185338.324417282,3338098.0370481457,2225398.6913654604,17.5
12027736.366687875,27910273.42388797,3440938.1703401855,2293958.780226838,17.85
12341824.683705635,27651519.795923192,3535852.438319271,2357234.9588795262,18.2
12627869.374864133,27410122.08121188,3622672.4850561973,2415114.9900374543,18.55
12886125.995270045,27186759.65336183,3701396.6975718727,2467597.7983812885,18.9
13117331.225717433,26981752.50424252,3772174.5297216773,2514783.019814524,19.25
13322625.382622786,26795084.153467186,3835281.8620137977,2556854.574675856,19.6
13503469.38426184,26626437.160574473,3891095.4150994886,2594063.6100662546,19.95
13661556.27366645,26475235.996454373,3940073.2958334708,2626715.530555682,20.3
13798726.698244732,26340691.34877673,3982733.7147571114,2655155.809838191,20.65
13916900.10482796,26221840.842291955,4019624.334642124,2679749.556428033,21.0
14018015.402944306,26117592.30135207,4051297.4891419527,2700864.992761123,21.35
14103968.886757452,26026778.52813297,4078305.632835267,2718870.4218902797,21.7
14176563.346475113,25948209.025324546,4101199.0823409944,2734132.721560923,22.05
14237497.38028196,25880682.20855369,4120488.3810787555,2746992.2540522274,22.4
14288362.481152892,25822989.668232717,4136620.3147273436,2757746.876484709,22.75
14330572.184555106,25774010.093131915,4150050.614816581,2766700.409877647,23.1
14365405.878325328,25732676.18086317,4161167.126326209,2774111.4175508064,23.45
14393998.395298764,25697996.486459903,4170317.9861620213,2780211.990774684,23.8
14417352.09548199,25669059.13206631,4177812.4274650784,2785208.284976717,24.15
14436335.7603108,25645040.72575999,4183920.4362876895,2789280.290858471,24.5
14451697.721257066,25625204.287117336,4188875.9415617106,2792583.961041129,24.85
14464061.624539938,25608908.982950024,4192874.751992941,2795249.834661828,25.2
14473961.0205522,25595592.622802198,4196084.599599051,2797389.7330658515,25.55
14481850.364124734,25584764.328098852,4198649.077689667,2799099.3851263686,25.9
14488109.505663045,25576000.768350262,4200688.945762686,2800459.297175126,26.25
14493051.997698922,25568941.217644986,4202303.943590153,2801535.962393422,26.6
14496935.515978733,25563280.950201944,4203576.215593313,2802384.1437288136,26.95
14499971.133192854,25558764.2257098,4204573.362515584,2803048.9083436476,27.3
14502331.495110614,25555177.217100933,4205350.89194754,2803567.261298303,27.65
14504156.920452362,25552342.157471843,4205953.987645143,2803969.325096726,28.0
14505558.691035047,25550114.119063567,4206418.600812189,2804279.0672080982,28.35
14506628.623661427,25548371.757906027,4206774.445153479,2804516.2967689997,28.7
14507440.118284045,25547016.01159197,4207045.306003918,2804696.870669332,29.05
14508051.7715402,25545966.22375754,4207250.254129212,2804833.502752893,29.4
14508510.62259236,25545156.659968708,4207404.637590249,2804936.4250602457,29.75
14508851.542077037,25544536.309192326,4207519.8785695145,2805013.2523797173,30.1
14509102.092148257,25544064.142664265,4207605.048254074,2805070.0321693853,30.45
14509283.336666333,25543708.02338217,4207667.082275867,2805111.388183864,30.8
14509412.561653472,25543441.381452944,4207711.672764949,2805141.115176582,31.15
14509501.97871297,25543244.546386097,4207742.878190433,2805161.9187935977,31.5
14509562.5525436,25543100.50445869,4207764.322418225,2805176.2149454826,31.85
14509602.8733034,25542995.743136715,4207778.845802171,2805185.897201464,32.2
14509627.85599725,25542921.35223407,4207788.1156302355,2805192.07708685,32.55
14509643.861627048,25542867.680538036,4207794.2303313725,2805196.1535542565,32.9
14509652.45936654,25542830.656749506,4207797.749668376,2805198.4997788966,33.25
14509656.997335289,25542804.58230976,4207799.796254008,2805199.8641692866,33.6
14509658.320018869,25542787.24125652,4207800.673693207,2805200.449128733,33.95
14509657.574949965,25542775.895338282,4207800.784772082,2805200.5231813435,34.3
14509655.334657555,25542769.223632243,4207800.334582526,2805200.223055003,34.65
14509652.246408805,25542765.705253374,4207799.551262941,2805199.7008419656,35.0
