Time,T,I,VI,VNI,s,r,k,d1,alpha,d2,beta,d3,nr,c,n1,compartment,Formation_of_target_cells,Removal_of_target_cell,Formation_infected_cell,Removal_of_infected_cell,Formation_of_infected_virion,Removal_of_infected_virion,Formation_of_non_infected_virion,Removal_of_non_infected_virion
17.5,28185338.324417282,11685898.16733438,3338098.0370481457,2225398.6913654604,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,12175421.042036619,12983385.425371325,12701532.042127151,11685898.16733438,20333462.81116182,20028588.222288873,13555641.874107879,13352392.148192763
17.85,27910273.42388797,12027736.366687875,3440938.1703401855,2293958.780226838,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,12480974.360541046,13244168.632038675,12965065.897799795,12027736.366687875,20928261.278036904,20645629.022041112,13952174.185357934,13763752.681361027
18.2,27651519.795923192,12341824.683705635,3535852.438319271,2357234.9588795262,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,12760773.07152756,13475693.846601792,13199178.64864256,12341824.683705635,21474774.949647807,21215114.629915625,14316516.633098535,14143409.753277157
18.55,27410122.08121188,12627869.374864133,3622672.4850561973,2415114.9900374543,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,13015130.285085207,13679317.056023192,13405215.835211072,12627869.374864133,21972492.71226359,21736034.910337184,14648328.474842394,14490689.940224726
18.9,27186759.65336183,12886125.995270045,3701396.6975718727,2467597.7983812885,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,13244745.5991767,13856780.220349168,13584912.62381555,12886125.995270045,22421859.23176988,22208380.185431235,14947906.154513251,14805586.790287731
19.25,26981752.50424252,13117331.225717433,3772174.5297216773,2514783.019814524,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,13450637.360884823,14010101.266149715,13740283.741107289,13117331.225717433,22824156.33274833,22633047.178330064,15216104.221832221,15088698.118887143
19.6,26795084.153467186,13322625.382622786,3835281.8620137977,2556854.574675856,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,13634069.644369695,14141455.374599686,13873504.533065014,13322625.382622786,23181368.165763646,23011691.172082786,15454245.44384243,15341127.448055137
19.95,26626437.160574473,13503469.38426184,3891095.4150994886,2594063.6100662546,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,13796480.58398786,14253075.39165845,13986811.020052705,13503469.38426184,23496036.7286156,23346572.49059693,15664024.485743733,15564381.660397528
20.3,26475235.996454373,13661556.27366645,3940073.2958334708,2626715.530555682,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,13939417.47708457,14347192.357284598,14082439.997320054,13661556.27366645,23771107.916179623,23640439.775000826,15847405.277453082,15760293.18333409
20.65,26340691.34877673,13798726.698244732,3982733.7147571114,2655155.809838191,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,14064483.070907272,14425981.446633615,14162574.533145847,13798726.698244732,24009784.454945832,23896402.28854267,16006522.969963888,15930934.859029148
21.0,26221840.842291955,13916900.10482796,4019624.334642124,2679749.556428033,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,14173295.46708157,14491481.597509496,14229263.189086577,13916900.10482796,24215406.182400648,24117746.007852744,16143604.121600432,16078497.338568198
21.35,26117592.30135207,14018015.402944306,4051297.4891419527,2700864.992761123,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,14267453.542548893,14545544.298255133,14284368.375241611,14018015.402944306,24391346.801123094,24307784.934851717,16260897.867415395,16205189.956566738
21.7,26026778.52813297,14103968.886757452,4078305.632835267,2718870.4218902797,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,14348498.023964299,14589864.04451982,14329596.259238489,14103968.886757452,24540905.862957966,24469833.797011603,16360603.908638643,16313222.53134168
22.05,25948209.025324546,14176563.346475113,4101199.0823409944,2734132.721560923,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,14417879.755824037,14626016.181065442,14366534.090812197,14176563.346475113,24667220.222866695,24607194.494045965,16444813.48191113,16404796.329365537
22.4,25880682.20855369,14237497.38028196,4120488.3810787555,2746992.2540522274,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,14476964.77427042,14655348.617275048,14396541.795189511,14237497.38028196,24773245.441690613,24722930.286472533,16515496.961127073,16481953.524313364
22.75,25822989.668232717,14288362.481152892,4136620.3147273436,2757746.876484709,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,14527045.599644212,14678916.889244104,14420686.992561776,14288362.481152892,24861750.71720603,24819721.88836406,16574500.478137353,16546481.258908253
23.1,25774010.093131915,14330572.184555106,4150050.614816581,2766700.409877647,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,14569274.199521314,14697805.369425582,14440065.268494263,14330572.184555106,24935195.601125885,24900303.688899487,16623463.734083923,16600202.459265884
23.45,25732676.18086317,14365405.878325328,4161167.126326209,2774111.4175508064,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,14604704.604582723,14712852.198296344,14455525.436487712,14365405.878325328,24995806.228286073,24967002.757957254,16663870.81885738,16644668.50530484
23.8,25697996.486459903,14393998.395298764,4170317.9861620213,2780211.990774684,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,14634285.459692901,14724770.253899237,14467790.289034639,14393998.395298764,25045557.20781985,25021907.916972127,16697038.138546566,16681271.944648106
24.15,25669059.13206631,14417352.09548199,4177812.4274650784,2785208.284976717,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,14658866.490445122,14734160.01416381,14477469.422843147,14417352.09548199,25086192.64613866,25066874.564790472,16724128.430759108,16711249.709860303
24.5,25645040.72575999,14436335.7603108,4183920.4362876895,2789280.290858471,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,14679198.779063791,14741519.754819132,14485069.347561533,14436335.7603108,25119224.22294079,25103522.617726136,16746149.481960528,16735681.745150825
24.85,25625204.287117336,14451697.721257066,4188875.9415617106,2792583.961041129,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,14695942.82137503,14747260.277218996,14491008.234347822,14451697.721257066,25145954.034987297,25133255.649370264,16763969.356658196,16755503.766246775
25.2,25608908.982950024,14464061.624539938,4192874.751992941,2795249.834661828,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,14709665.227104003,14751707.05642351,14495617.966594009,14464061.624539938,25167467.22669949,25157248.511957645,16778311.484466325,16771499.007970966
25.55,25595592.622802198,14473961.0205522,4196084.599599051,2797389.7330658515,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,14720857.243182,14755127.649218459,14499171.722990436,14473961.0205522,25184692.175760828,25176507.597594306,16789794.78384055,16784338.39839511
25.9,25584764.328098852,14481850.364124734,4198649.077689667,2799099.3851263686,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,14729943.659995705,14757743.008406753,14501895.365125764,14481850.364124734,25198419.633577038,25191894.466138005,16798946.42238469,16794596.31075821
26.25,25576000.768350262,14488109.505663045,4200688.945762686,2800459.297175126,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,14737287.991558095,14759731.207781134,14503971.200097632,14488109.505663045,25209310.5398537,25204133.67457612,16806207.02656913,16802755.783050757
26.6,25568941.217644986,14493051.997698922,4202303.943590153,2801535.962393422,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,14743198.097695509,14761231.851341581,14505542.43916513,14493051.997698922,25217910.475996125,25213823.661540918,16811940.317330748,16809215.774360534
26.95,25563280.950201944,14496935.515978733,4203576.215593313,2802384.1437288136,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,14747932.773694793,14762354.781799817,14506721.972297799,14496935.515978733,25224667.797802996,25221457.29355988,16816445.19853533,16814304.862372883
27.3,25558764.2257098,14499971.133192854,4204573.362515584,2803048.9083436476,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,14751708.36290326,14763187.03995891,14507599.397701811,14499971.133192854,25229949.771755565,25227440.1750935,16819966.51450371,16818293.450061888
27.65,25555177.217100933,14502331.495110614,4205350.89194754,2803567.261298303,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,14754705.183594812,14763797.558185745,14508245.786014736,14502331.495110614,25234056.801492468,25232105.35168524,16822704.53432831,16821403.56778982
28.0,25552342.157471843,14504156.920452362,4205953.987645143,2803969.325096726,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,14757072.770678371,14764240.099345108,14508716.67777039,14504156.920452362,25237233.04158711,25235723.925870858,16824822.02772474,16823815.950580355
28.35,25550114.119063567,14505558.691035047,4206418.600812189,2804279.0672080982,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,14758932.804600436,14764555.304436557,14509054.163245922,14505558.691035047,25239672.12240098,25238511.604873136,16826448.081600655,16825674.40324859
28.7,25548371.757906027,14506628.623661427,4206774.445153479,2804516.2967689997,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,14760386.998044142,14764775.770148452,14509292.052569391,14506628.623661427,25241533.805170882,25240646.67092088,16827689.203447253,16827097.780613996
29.05,25547016.01159197,14507440.118284045,4207045.306003918,2804696.870669332,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,14761518.286382753,14764926.422302535,14509456.262186615,14507440.118284045,25242945.805814236,25242271.83602351,16828630.537209492,16828181.224015992
29.4,25545966.22375754,14508051.7715402,4207250.254129212,2804833.502752893,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,14762394.13127358,14765026.501966396,14509566.839728821,14508051.7715402,25244010.08247995,25243501.524775274,16829340.05498663,16829001.01651736
29.75,25545156.659968708,14508510.62259236,4207404.637590249,2804936.4250602457,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,14763069.47245646,14765090.997481126,14509639.430881439,14508510.62259236,25244808.483310707,25244427.825541496,16829872.322207138,16829618.550361473
30.1,25544536.309192326,14508851.542077037,4207519.8785695145,2805013.2523797173,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,14763586.922392702,14765129.844910529,14509684.481818605,14508851.542077037,25245401.683214042,25245119.27141709,16830267.788809363,16830079.514278304
30.45,25544064.142664265,14509102.092148257,4207605.048254074,2805070.0321693853,1.0,1.99,36000000.0,0.01,2.25e-07,1.0,2.9,6.0,0.0,0.5,0.8,1.0,14763980.739664812,14765150.628772642,14509709.987346,14509102.092148257,25245837.640337966,25245630.289524443,16830558.42689198,16830420.193016313
