Time,Mad1_CMad2,OMad2,Mad1_CMad2_OMad2,Cdc20,Cdc20_CMad2,eta_T,gamma_T,alpha_T,beta_T,u,const_val_0,const_val_1,Cytoplasm,R6,R7,R8
0.14,4.99931920863235e-08,1.4979049635720273e-07,6.807913676500267e-12,2.1979730427087932e-07,2.0269572912073388e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4963394286829754e-09,1.49636107380361e-09,2.026957291207339e-12
0.15,4.999319230290711e-08,1.4977555472636545e-07,6.807697092888353e-12,2.1978236242345844e-07,2.176375765416258e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4961900825233775e-09,1.4962117497383126e-09,2.176375765416258e-12
0.16,4.999319251956609e-08,1.497606160827405e-07,6.807480433907751e-12,2.197674235631745e-07,2.3257643682556389e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4960407662478728e-09,1.4960624359166277e-09,2.325764368255639e-12
0.17,4.999319273623367e-08,1.4974568042582064e-07,6.807263766331297e-12,2.1975248768958706e-07,2.475123104130055e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4958914798360347e-09,1.4959131470104903e-09,2.475123104130055e-12
0.18,4.999319295288738e-08,1.497307477550387e-07,6.807047112620093e-12,2.197375548021514e-07,2.6244519784866197e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4957422232770278e-09,1.4957638879501842e-09,2.6244519784866197e-12
0.19,4.999319316952418e-08,1.497158180698076e-07,6.806830475819021e-12,2.197226249002835e-07,2.77375099716559e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4955929965642823e-09,1.4956146593982011e-09,2.77375099716559e-12
0.2,4.9993193386145454e-08,1.4970089136953371e-07,6.806613854544038e-12,2.1970769798338835e-07,2.9230201661170636e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4954437996921814e-09,1.4954654610437082e-09,2.9230201661170636e-12
0.21,4.999319360275224e-08,1.496859676536809e-07,6.806397247757839e-12,2.1969277405092874e-07,3.0722594907130146e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.495294632655604e-09,1.495316292652526e-09,3.072259490713015e-12
0.22,4.9993193819345196e-08,1.4967104692167667e-07,6.806180654798102e-12,2.1967785310233155e-07,3.2214689766849566e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4951454954489784e-09,1.4951671540726682e-09,3.2214689766849566e-12
0.23,4.999319403592436e-08,1.4965612917288048e-07,6.805964075629116e-12,2.1966293513695618e-07,3.370648630438639e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.494996388065909e-09,1.4950180452893723e-09,3.370648630438639e-12
0.24,4.999319425248961e-08,1.496412144066746e-07,6.8057475103781435e-12,2.1964802015418507e-07,3.5197984581498956e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4948473105001904e-09,1.4948689663238334e-09,3.519798458149896e-12
0.25,4.9993194469040907e-08,1.4962630262244738e-07,6.805530959081191e-12,2.1963310815340655e-07,3.6689184659351156e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4946982627456992e-09,1.4947199171772359e-09,3.6689184659351155e-12
0.26,4.9993194685578275e-08,1.4961139381959869e-07,6.805314421714893e-12,2.196181991340205e-07,3.8180086597955544e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.494549244796441e-09,1.4945708978378028e-09,3.818008659795555e-12
0.27,4.999319490210173e-08,1.4959648799753146e-07,6.80509789826558e-12,2.1960329309542984e-07,3.9670690457021534e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4944002566464494e-09,1.4944219082959098e-09,3.9670690457021535e-12
0.28,4.999319511861126e-08,1.4958158515565046e-07,6.804881388738354e-12,2.1958839003703933e-07,4.1160996296073306e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.494251298289772e-09,1.4942729485460675e-09,4.1160996296073306e-12
0.29,4.9993195335106856e-08,1.4956668529336039e-07,6.80466489314115e-12,2.1957348995825364e-07,4.265100417463931e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4941023697204556e-09,1.4941240185834095e-09,4.265100417463931e-12
0.3,4.999319555158852e-08,1.4955178841006587e-07,6.804448411477539e-12,2.195585928584775e-07,4.414071415225566e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4939534709325468e-09,1.493975118402111e-09,4.4140714152255666e-12
0.31,4.9993195768056246e-08,1.4953689450517144e-07,6.804231943749637e-12,2.1954369873711532e-07,4.563012628847253e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4938046019200921e-09,1.493826247996027e-09,4.563012628847253e-12
0.32,4.9993195984510037e-08,1.4952200357808156e-07,6.804015489959979e-12,2.1952880759357165e-07,4.711924064284109e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4936557626771365e-09,1.4936774073591051e-09,4.711924064284109e-12
0.33,4.9993196200949884e-08,1.4950711562820078e-07,6.803799050111585e-12,2.19513919427251e-07,4.860805727490415e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.493506953197726e-09,1.4935285964854015e-09,4.860805727490415e-12
0.34,4.999319641737579e-08,1.494922306549338e-07,6.8035826242075564e-12,2.1949903423755814e-07,5.009657624419249e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.493358173475909e-09,1.4933798153689901e-09,5.009657624419249e-12
0.35000000000000003,4.9993196633787743e-08,1.4947734865768546e-07,6.803366212250909e-12,2.1948415202389782e-07,5.158479761022428e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4932094235057333e-09,1.4932310640039282e-09,5.1584797610224275e-12
0.36,4.999319685018575e-08,1.4946246963586067e-07,6.8031498142446076e-12,2.1946927278567502e-07,5.307272143250536e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4930607032812497e-09,1.493082342384264e-09,5.307272143250536e-12
0.37,4.9993197066569805e-08,1.4944759358886449e-07,6.8029334301916104e-12,2.194543965222948e-07,5.456034777052954e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4929120127965089e-09,1.4929336505040448e-09,5.456034777052954e-12
0.38,4.9993197282939904e-08,1.4943272051610207e-07,6.802717060094891e-12,2.194395232331623e-07,5.60476766837787e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4927633520455636e-09,1.4927849883573225e-09,5.6047676683778695e-12
0.39,4.999319749929604e-08,1.4941785041697876e-07,6.802500703957427e-12,2.1942465291768286e-07,5.753470823172284e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.492614721022467e-09,1.4926363559381518e-09,5.7534708231722844e-12
0.4,4.9993197715638215e-08,1.4940298329089996e-07,6.8022843617821915e-12,2.1940978557526186e-07,5.902144247382011e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4924661197212745e-09,1.4924877532405876e-09,5.902144247382011e-12
0.41000000000000003,4.9993197931966426e-08,1.493881191372712e-07,6.802068033572156e-12,2.1939492120530487e-07,6.050787946951675e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4923175481360415e-09,1.4923391802586862e-09,6.050787946951675e-12
0.42,4.999319814828067e-08,1.493732579554981e-07,6.80185171933029e-12,2.1938005980721755e-07,6.199401927824709e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4921690062608257e-09,1.4921906369865045e-09,6.1994019278247094e-12
0.43,4.999319836458094e-08,1.493583997449865e-07,6.801635419059566e-12,2.1936520138040567e-07,6.347986195943442e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.492020494089685e-09,1.4920421234181015e-09,6.347986195943442e-12
0.44,4.9993198580867236e-08,1.4934354450514224e-07,6.801419132762952e-12,2.193503459242751e-07,6.496540757248985e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4918720116166794e-09,1.4918936395475367e-09,6.4965407572489845e-12
0.45,4.999319879713956e-08,1.4932869223537134e-07,6.801202860443414e-12,2.1933549343823186e-07,6.645065617681159e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4917235588358693e-09,1.4917451853688701e-09,6.645065617681159e-12
0.46,4.9993199013397894e-08,1.4931384293507995e-07,6.800986602103921e-12,2.1932064392168213e-07,6.793560783178596e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4915751357413169e-09,1.491596760876165e-09,6.793560783178596e-12
0.47000000000000003,4.999319922964225e-08,1.492989966036743e-07,6.800770357747439e-12,2.1930579737403212e-07,6.942026259678755e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4914267423270847e-09,1.4914483660634837e-09,6.9420262596787554e-12
0.48,4.999319944587262e-08,1.4928415324056075e-07,6.800554127376931e-12,2.192909537946882e-07,7.09046205311794e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4912783785872376e-09,1.4913000009248907e-09,7.09046205311794e-12
0.49,4.9993199662089004e-08,1.492693128451458e-07,6.800337910995364e-12,2.1927611318305687e-07,7.238868169431282e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4911300445158412e-09,1.4911516654544518e-09,7.238868169431282e-12
0.5,4.999319987829139e-08,1.4925447541683603e-07,6.8001217086057004e-12,2.1926127553854472e-07,7.387244614552719e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4909817401069613e-09,1.491003359646234e-09,7.38724461455272e-12
0.51,4.999320009447979e-08,1.492396409550382e-07,6.799905520210902e-12,2.1924644086055849e-07,7.535591394415001e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4908334653546669e-09,1.4908550834943045e-09,7.535591394415001e-12
0.52,4.9993200310654185e-08,1.4922480945915913e-07,6.799689345813931e-12,2.1923160914850502e-07,7.683908514949687e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4906852202530264e-09,1.4907068369927335e-09,7.683908514949687e-12
0.53,4.9993200526814584e-08,1.4920998092860577e-07,6.7994731854177474e-12,2.1921678040179126e-07,7.832195982087153e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4905370047961102e-09,1.4905586201355905e-09,7.832195982087153e-12
0.54,4.9993200742960974e-08,1.4919515536278523e-07,6.79925703902531e-12,2.1920195461982432e-07,7.980453801756588e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4903888189779896e-09,1.490410432916947e-09,7.980453801756587e-12
0.55,4.999320095909336e-08,1.491803327611047e-07,6.799040906639579e-12,2.191871318020114e-07,8.128681979885996e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4902406627927372e-09,1.4902622753308765e-09,8.128681979885996e-12
0.56,4.999320117521174e-08,1.4916551312297143e-07,6.79882478826351e-12,2.1917231194775976e-07,8.276880522402195e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4900925362344268e-09,1.4901141473714516e-09,8.276880522402195e-12
0.5700000000000001,4.9993201391316103e-08,1.4915069644779293e-07,6.798608683900062e-12,2.191574950564769e-07,8.425049435230819e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4899444392971335e-09,1.4899660490327487e-09,8.425049435230818e-12
0.58,4.999320160740645e-08,1.4913588273497672e-07,6.798392593552188e-12,2.1914268112757036e-07,8.573188724296315e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4897963719749331e-09,1.4898179803088432e-09,8.573188724296315e-12
0.59,4.999320182348278e-08,1.491210719839305e-07,6.798176517222845e-12,2.191278701604478e-07,8.72129839552195e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4896483342619035e-09,1.4896699411938127e-09,8.72129839552195e-12
0.6,4.999320203954509e-08,1.4910626419406201e-07,6.7979604549149865e-12,2.1911306215451702e-07,8.869378454829802e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.489500326152123e-09,1.489521931681736e-09,8.869378454829802e-12
0.61,4.999320225559338e-08,1.490914593647792e-07,6.797744406631565e-12,2.1909825710918594e-07,9.017428908140765e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4893523476396713e-09,1.4893739517666932e-09,9.017428908140765e-12
0.62,4.9993202471627635e-08,1.4907665749549009e-07,6.797528372375533e-12,2.1908345502386255e-07,9.165449761374552e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4892043987186291e-09,1.4892260014427645e-09,9.165449761374552e-12
0.63,4.9993202687647864e-08,1.490618585856028e-07,6.797312352149839e-12,2.1906865589795504e-07,9.313441020449688e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4890564793830784e-09,1.4890780807040324e-09,9.313441020449689e-12
0.64,4.999320290365406e-08,1.490470626345256e-07,6.797096345957437e-12,2.1905385973087166e-07,9.461402691283518e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4889085896271034e-09,1.4889301895445808e-09,9.461402691283517e-12
0.65,4.9993203119646214e-08,1.4903226964166687e-07,6.796880353801273e-12,2.190390665220208e-07,9.609334779792202e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4887607294447872e-09,1.4887823279584932e-09,9.609334779792202e-12
0.66,4.999320333562433e-08,1.4901747960643515e-07,6.796664375684296e-12,2.1902427627081095e-07,9.75723729189072e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.488612898830216e-09,1.488634495939856e-09,9.757237291890719e-12
0.67,4.99932035515884e-08,1.4900269252823902e-07,6.796448411609453e-12,2.1900948897665074e-07,9.905110233492863e-10,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4884650977774768e-09,1.4884866934827561e-09,9.905110233492862e-12
0.68,4.9993203767538434e-08,1.4898790840648721e-07,6.796232461579692e-12,2.189947046389489e-07,1.0052953610511245e-09,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4883173262806576e-09,1.4883389205812813e-09,1.0052953610511245e-11
0.6900000000000001,4.9993203983474416e-08,1.489731272405886e-07,6.796016525597958e-12,2.189799232571143e-07,1.0200767428857296e-09,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4881695843338474e-09,1.4881911772295214e-09,1.0200767428857296e-11
0.7000000000000001,4.999320419939635e-08,1.4895834902995214e-07,6.795800603667194e-12,2.189651448305559e-07,1.0348551694441262e-09,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4880218719311365e-09,1.4880434634215665e-09,1.0348551694441263e-11
0.71,4.9993204415304226e-08,1.4894357377398692e-07,6.795584695790344e-12,2.189503693586828e-07,1.049630641317221e-09,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4878741890666166e-09,1.487895779151508e-09,1.049630641317221e-11
0.72,4.999320463119805e-08,1.4892880147210217e-07,6.7953688019703495e-12,2.1893559684090423e-07,1.0644031590958024e-09,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4877265357343802e-09,1.4877481244134388e-09,1.0644031590958025e-11
0.73,4.999320484707781e-08,1.489140321237072e-07,6.7951529222101535e-12,2.1892082727662949e-07,1.0791727233705408e-09,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4875789119285218e-09,1.4876004992014531e-09,1.0791727233705409e-11
0.74,4.999320506294351e-08,1.4889926572821145e-07,6.7949370565126975e-12,2.1890606066526804e-07,1.0939393347319884e-09,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4874313176431358e-09,1.4874529035096464e-09,1.0939393347319885e-11
0.75,4.9993205278795136e-08,1.488845022850245e-07,6.7947212048809196e-12,2.1889129700622944e-07,1.1087029937705791e-09,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4872837528723183e-09,1.4873053373321145e-09,1.1087029937705793e-11
0.76,4.99932054946327e-08,1.48869741793556e-07,6.794505367317758e-12,2.188765362989234e-07,1.123463701076629e-09,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4871362176101675e-09,1.487157800662955e-09,1.123463701076629e-11
0.77,4.999320571045619e-08,1.4885498425321577e-07,6.7942895438261495e-12,2.188617785427597e-07,1.138221457240336e-09,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4869887118507814e-09,1.4870102934962665e-09,1.138221457240336e-11
0.78,4.9993205926265606e-08,1.4884022966341374e-07,6.794073734409034e-12,2.1884702373714824e-07,1.15297626285178e-09,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4868412355882603e-09,1.4868628158261493e-09,1.15297626285178e-11
0.79,4.999320614206095e-08,1.4882547802355993e-07,6.793857939069346e-12,2.188322718814991e-07,1.1677281185009229e-09,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4866937888167048e-09,1.4867153676467043e-09,1.1677281185009228e-11
0.8,4.999320635784221e-08,1.488107293330645e-07,6.79364215781002e-12,2.1881752297522242e-07,1.1824770247776087e-09,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.486546371530217e-09,1.4865679489520339e-09,1.1824770247776088e-11
0.81,4.9993206573609384e-08,1.487959835913377e-07,6.793426390633991e-12,2.1880277701772847e-07,1.1972229822715637e-09,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4863989837229008e-09,1.4864205597362412e-09,1.1972229822715636e-11
0.8200000000000001,4.9993206789362473e-08,1.4878124079778996e-07,6.793210637544193e-12,2.1878803400842764e-07,1.2119659915723957e-09,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4862516253888605e-09,1.4862731999934312e-09,1.2119659915723957e-11
0.8300000000000001,4.9993207005101474e-08,1.4876650095183177e-07,6.792994898543555e-12,2.1877329394673045e-07,1.226706053269595e-09,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4861042965222014e-09,1.4861258697177094e-09,1.226706053269595e-11
0.84,4.999320722082638e-08,1.4875176405287373e-07,6.792779173635009e-12,2.1875855683204752e-07,1.2414431679525337e-09,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4859569971170307e-09,1.4859785689031828e-09,1.2414431679525336e-11
0.85,4.9993207436537196e-08,1.487370301003266e-07,6.792563462821487e-12,2.1874382266378958e-07,1.2561773362104665e-09,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4858097271674564e-09,1.4858312975439598e-09,1.2561773362104665e-11
0.86,4.999320765223391e-08,1.4872229909360124e-07,6.792347766105917e-12,2.1872909144136752e-07,1.27090855863253e-09,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4856624866675879e-09,1.4856840556341495e-09,1.27090855863253e-11
0.87,4.9993207867916524e-08,1.4870757103210865e-07,6.792132083491229e-12,2.187143631641923e-07,1.2856368358077429e-09,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4855152756115359e-09,1.485536843167863e-09,1.2856368358077429e-11
0.88,4.9993208083585036e-08,1.486928459152599e-07,6.7919164149803495e-12,2.1869963783167505e-07,1.3003621683250064e-09,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.485368093993411e-09,1.4853896601392113e-09,1.3003621683250065e-11
0.89,4.999320829923944e-08,1.486781237424662e-07,6.791700760576203e-12,2.1868491544322694e-07,1.3150845567731035e-09,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4852209418073266e-09,1.485242506542307e-09,1.3150845567731036e-11
0.9,4.9993208514879734e-08,1.486634045131389e-07,6.791485120281717e-12,2.1867019599825936e-07,1.3298040017407e-09,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4850738190473969e-09,1.485095382371265e-09,1.3298040017407e-11
0.91,4.999320873050591e-08,1.4864868822668945e-07,6.7912694940998145e-12,2.186554794961837e-07,1.3445205038163435e-09,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4849267257077363e-09,1.4849482876201999e-09,1.3445205038163435e-11
0.92,4.999320894611798e-08,1.486339748825294e-07,6.791053882033421e-12,2.1864076593641157e-07,1.3592340635884643e-09,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.484779661782462e-09,1.4848012222832283e-09,1.3592340635884643e-11
0.93,4.999320916171593e-08,1.4861926448007042e-07,6.790838284085458e-12,2.1862605531835466e-07,1.3739446816453748e-09,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4846326272656906e-09,1.4846541863544679e-09,1.3739446816453748e-11
0.9400000000000001,4.9993209377299756e-08,1.4860455701872436e-07,6.790622700258848e-12,2.1861134764142476e-07,1.3886523585752698e-09,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4844856221515417e-09,1.4845071798280376e-09,1.3886523585752699e-11
0.9500000000000001,4.9993209592869455e-08,1.485898524979031e-07,6.7904071305565105e-12,2.185966429050338e-07,1.4033570949662266e-09,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.484338646434134e-09,1.4843602026980567e-09,1.4033570949662267e-11
0.96,4.9993209808425033e-08,1.4857515091701868e-07,6.790191574981366e-12,2.1858194110859382e-07,1.4180588914062045e-09,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.484191700107589e-09,1.4842132549586469e-09,1.4180588914062045e-11
0.97,4.999321002396648e-08,1.4856045227548328e-07,6.7899760335363325e-12,2.18567242251517e-07,1.432757748483046e-09,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4840447831660298e-09,1.48406633660393e-09,1.4327577484830459e-11
0.98,4.999321023949379e-08,1.4854575657270915e-07,6.7897605062243296e-12,2.1855254633321557e-07,1.4474536667844752e-09,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4838978956035784e-09,1.48391944762803e-09,1.4474536667844752e-11
0.99,4.9993210455006965e-08,1.485310638081087e-07,6.789544993048273e-12,2.1853785335310195e-07,1.462146646898099e-09,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4837510374143598e-09,1.4837725880250712e-09,1.4621466468980992e-11
1.0,4.9993210670506004e-08,1.4851637398109442e-07,6.789329494011077e-12,2.1852316331058865e-07,1.4768366894114072e-09,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4836042085924997e-09,1.4836257577891788e-09,1.4768366894114072e-11
1.01,4.99932108859909e-08,1.4850168709107896e-07,6.78911400911566e-12,2.185084762050883e-07,1.4915237949117716e-09,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4834574091321254e-09,1.483478956914481e-09,1.4915237949117716e-11
1.02,4.999321110146165e-08,1.4848700313747504e-07,6.788898538364936e-12,2.1849379203601363e-07,1.5062079639864465e-09,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4833106390273647e-09,1.4833321853951053e-09,1.5062079639864466e-11
1.03,4.999321131691825e-08,1.4847232211969553e-07,6.788683081761818e-12,2.184791108027775e-07,1.520889197222569e-09,0.01,1000000000.0,200000.0,0.2,1.0,0.0,1.0,1.0,1.4831638982723465e-09,1.4831854432251812e-09,1.520889197222569e-11
