Time,Rapamycin_Dose,Cytosolic_Rapamycin,Raptor,Rictor,mTOR_Rapamycin,mTORC1_Rapamycin,mTORC1,mTORC2,mTOR,K_abs_Rapam,K_el_Rapam,K_syn_mTOR,K_deg_mTOR,K_syn_Raptor,K_deg_Raptor,K_syn_Rictor,K_deg_Rictor,k_form_C1,k_diss_C1,k_form_C2,k_diss_C2,k_form_mTOR_Rapam,k_diss_mTOR_Rapam,k_form_C1_Rapam,k_diss_C1_Rapam,k_forward_Raptor_release,k_reverse_Raptor_release,compartment,Absorption_of_Rapamycin,Elimination_of_rapamycin,Synthesis_of_mTOR,Degradation_of_mTOR,Synthesis_of_Raptor,Degradation_of_Raptor,Synthesis_of_Rictor,Degradation_of_Rictor,mTORC1_formation_and_dissociation,mTORC2_formation_and_dissociation,mTOR___Rapamycin_association_sequestration_and_dissociation,mTORC1___Rapamycin_association_sequestration_and_dissociation,Releasing_Raptor_from_mTORC1___rapamycin_complex
77.5,0.0,0.0,4.799152708087673e-08,1.3242475464124422e-08,0.0,0.0,2.7216783500083694e-07,7.510025407294464e-08,2.8354688026476908e-08,2.77,0.0718632,1.6e-27,1e-08,2.15e-27,1e-08,5.9e-28,1e-08,16666666.0,0.08333,16666666.0,0.08333,1920000.0,0.022,1920000.0,0.022,0.01,1e-05,1.0,0.0,0.0,1.6e-27,2.835468802647691e-16,2.15e-27,4.799152708087673e-16,5.9e-28,1.3242475464124423e-16,-2.929349661113935e-16,-8.083060053357927e-17,0.0,0.0,0.0
80.0,0.0,0.0,4.799152660057097e-08,1.3242475331591917e-08,0.0,0.0,2.721678342813546e-07,7.51002538744153e-08,2.8354688235621307e-08,2.77,0.0718632,1.6e-27,1e-08,2.15e-27,1e-08,5.9e-28,1e-08,16666666.0,0.08333,16666666.0,0.08333,1920000.0,0.022,1920000.0,0.022,0.01,1e-05,1.0,0.0,0.0,1.6e-27,2.8354688235621305e-16,2.15e-27,4.799152660057097e-16,5.9e-28,1.3242475331591918e-16,-2.9267651849208497e-16,-8.075928846579046e-17,0.0,0.0,0.0
82.5,0.0,0.0,4.79915261202652e-08,1.3242475199059411e-08,0.0,0.0,2.721678335618723e-07,7.510025367588594e-08,2.8354688444765703e-08,2.77,0.0718632,1.6e-27,1e-08,2.15e-27,1e-08,5.9e-28,1e-08,16666666.0,0.08333,16666666.0,0.08333,1920000.0,0.022,1920000.0,0.022,0.01,1e-05,1.0,0.0,0.0,1.6e-27,2.83546884447657e-16,2.15e-27,4.79915261202652e-16,5.9e-28,1.324247519905941e-16,-2.9241808410766626e-16,-8.068797639800165e-17,0.0,0.0,0.0
85.0,0.0,0.0,4.799152563995943e-08,1.3242475066526905e-08,0.0,0.0,2.7216783284239005e-07,7.51002534773566e-08,2.8354688653910098e-08,2.77,0.0718632,1.6e-27,1e-08,2.15e-27,1e-08,5.9e-28,1e-08,16666666.0,0.08333,16666666.0,0.08333,1920000.0,0.022,1920000.0,0.022,0.01,1e-05,1.0,0.0,0.0,1.6e-27,2.8354688653910097e-16,2.15e-27,4.799152563995943e-16,5.9e-28,1.3242475066526905e-16,-2.9215965634069244e-16,-8.061666681175468e-17,0.0,0.0,0.0
87.5,0.0,0.0,4.799152515965367e-08,1.3242474933994398e-08,0.0,0.0,2.721678321229077e-07,7.510025327882724e-08,2.8354688863054497e-08,2.77,0.0718632,1.6e-27,1e-08,2.15e-27,1e-08,5.9e-28,1e-08,16666666.0,0.08333,16666666.0,0.08333,1920000.0,0.022,1920000.0,0.022,0.01,1e-05,1.0,0.0,0.0,1.6e-27,2.8354688863054497e-16,2.15e-27,4.799152515965367e-16,5.9e-28,1.3242474933994398e-16,-2.919012153388288e-16,-8.054535722550771e-17,0.0,0.0,0.0
90.0,0.0,0.0,4.79915246793479e-08,1.3242474801461892e-08,0.0,0.0,2.7216783140342544e-07,7.51002530802979e-08,2.8354689072198893e-08,2.77,0.0718632,1.6e-27,1e-08,2.15e-27,1e-08,5.9e-28,1e-08,16666666.0,0.08333,16666666.0,0.08333,1920000.0,0.022,1920000.0,0.022,0.01,1e-05,1.0,0.0,0.0,1.6e-27,2.8354689072198893e-16,2.15e-27,4.79915246793479e-16,5.9e-28,1.3242474801461893e-16,-2.916427941892999e-16,-8.047404929362196e-17,0.0,0.0,0.0
92.5,0.0,0.0,4.799152419904213e-08,1.3242474668929387e-08,0.0,0.0,2.7216783068394316e-07,7.510025288176854e-08,2.8354689281343292e-08,2.77,0.0718632,1.6e-27,1e-08,2.15e-27,1e-08,5.9e-28,1e-08,16666666.0,0.08333,16666666.0,0.08333,1920000.0,0.022,1920000.0,0.022,0.01,1e-05,1.0,0.0,0.0,1.6e-27,2.8354689281343294e-16,2.15e-27,4.799152419904214e-16,5.9e-28,1.3242474668929386e-16,-2.9138436973104854e-16,-8.040273970737499e-17,0.0,0.0,0.0
95.0,0.0,0.0,4.799152371873636e-08,1.3242474536396881e-08,0.0,0.0,2.721678299644608e-07,7.51002526832392e-08,2.8354689490487688e-08,2.77,0.0718632,1.6e-27,1e-08,2.15e-27,1e-08,5.9e-28,1e-08,16666666.0,0.08333,16666666.0,0.08333,1920000.0,0.022,1920000.0,0.022,0.01,1e-05,1.0,0.0,0.0,1.6e-27,2.835468949048769e-16,2.15e-27,4.799152371873637e-16,5.9e-28,1.324247453639688e-16,-2.9112594527279717e-16,-8.033143342985047e-17,0.0,0.0,0.0
97.5,0.0,0.0,4.79915232384306e-08,1.3242474403864375e-08,0.0,0.0,2.7216782924497855e-07,7.510025248470984e-08,2.8354689699632083e-08,2.77,0.0718632,1.6e-27,1e-08,2.15e-27,1e-08,5.9e-28,1e-08,16666666.0,0.08333,16666666.0,0.08333,1920000.0,0.022,1920000.0,0.022,0.01,1e-05,1.0,0.0,0.0,1.6e-27,2.8354689699632085e-16,2.15e-27,4.799152323843059e-16,5.9e-28,1.3242474403864376e-16,-2.9086753074071316e-16,-8.026012715232595e-17,0.0,0.0,0.0
100.0,0.0,0.0,4.799152275812483e-08,1.324247427133187e-08,0.0,0.0,2.7216782852549627e-07,7.510025228618049e-08,2.8354689908776482e-08,2.77,0.0718632,1.6e-27,1e-08,2.15e-27,1e-08,5.9e-28,1e-08,16666666.0,0.08333,16666666.0,0.08333,1920000.0,0.022,1920000.0,0.022,0.01,1e-05,1.0,0.0,0.0,1.6e-27,2.835468990877648e-16,2.15e-27,4.799152275812483e-16,5.9e-28,1.324247427133187e-16,-2.9060911620862914e-16,-8.018882252916265e-17,0.0,0.0,0.0
