E,P,Q,X,Time
0.0875341262033932,0.9124658737966067,1.953249404570674,5.134284673113692,4.3500000000000005
0.0876022570605821,0.9123977429394178,1.9578115636942213,5.1297906448473345,4.36
0.0876704862360828,0.9123295137639171,1.962373381907808,5.1252970558092485,4.37
0.08773881389445111,0.9122611861055488,1.9669348587164688,5.1208039066589555,4.38
0.0878072406658596,0.9121927593341402,1.9714959936716878,5.116311198475146,4.39
0.08787576712225766,0.9121242328777421,1.9760567863180873,5.111818932285145,4.4
0.08794439278596795,0.9120556072140319,1.9806172360925298,5.107327108174412,4.41
0.08801311783717145,0.9119868821628284,1.9851773424978938,5.102835726820252,4.42
0.08808194245553427,0.9119180575444655,1.9897371050360688,5.09834478890044,4.43
0.08815086682019384,0.911849133179806,1.9942965232079544,5.093854295093214,4.44
0.08821989110974471,0.9117801088902551,1.9988555965134578,5.0893642460772615,4.45
0.08828901550222473,0.9117109844977751,2.0034143244514953,5.0848746425317035,4.46
0.08835824017510092,0.9116417598248989,2.007972706519988,5.0803854851360875,4.47
0.0884275653052556,0.9115724346947442,2.012530742215863,5.075896774570367,4.48
0.0884969910689722,0.9115030089310276,2.0170884310350488,5.071408511514898,4.49
0.08856651764192147,0.9114334823580783,2.021645772472479,5.066920696650417,4.5
0.08863614519914736,0.9113638548008525,2.026202766022085,5.0624333306580365,4.51
0.08870587391505305,0.9112941260849468,2.030759411176801,5.057946414219226,4.5200000000000005
0.08877570396338692,0.9112242960366129,2.0353157074285564,5.053459948015805,4.53
0.08884563551722863,0.9111543644827712,2.0398716542682793,5.048973932729924,4.54
0.08891566874897501,0.9110843312510248,2.0444272511858936,5.044488369044055,4.55
0.08898580383032619,0.9110141961696736,2.048982497670317,5.040003257640983,4.5600000000000005
0.08905604093227147,0.9109439590677283,2.05353739320946,5.035518599203786,4.57
0.08912638022507544,0.9108736197749244,2.0580919372902255,5.0310343944158245,4.58
0.08919682187826386,0.910803178121736,2.0626461293985066,5.026550643960731,4.59
0.08926736606060978,0.9107326339393901,2.067199969019186,5.022067348522398,4.6000000000000005
0.08933801294011945,0.9106619870598803,2.071753455636133,5.017584508784961,4.61
0.08940876500222891,0.9105912349977708,2.076306588755038,5.013102127728165,4.62
0.08947962137523928,0.9105203786247605,2.0808593678475185,5.008620205008695,4.63
0.08955058156726749,0.9104494184327323,2.0854117923879234,5.004138740660318,4.64
0.0896216457982157,0.9103783542017841,2.089963861856605,4.999657735422584,4.65
0.08969281428979145,0.9103071857102084,2.0945155757329212,4.995177190037844,4.66
0.08976408726554873,0.910235912734451,2.099066933495238,4.990697105251285,4.67
0.08983546495092895,0.9101645350490708,2.103617934620926,4.986217481810977,4.68
0.08990694757330199,0.9100930524266978,2.108168578586362,4.9817383204679135,4.69
0.0899785353620071,0.9100214646379927,2.112718864866926,4.977259621976055,4.7
0.09005022854839405,0.9099497714516057,2.117268792937003,4.972781387092365,4.71
0.09012202736586401,0.9098779726341358,2.1218183622699796,4.968303616576859,4.72
0.09019393204991062,0.9098060679500892,2.126367572338245,4.96382631119264,4.73
0.09026594283816099,0.9097340571618389,2.1309164226131894,4.959349471705945,4.74
0.09033805997041666,0.9096619400295831,2.1354649125652037,4.954873098886186,4.75
0.09041028368869468,0.9095897163113051,2.140013041663679,4.95039719350599,4.76
0.09048261423726851,0.9095173857627313,2.1445608093770048,4.945921756341237,4.7700000000000005
0.09055505186270914,0.9094449481372907,2.149108215172569,4.941446788171114,4.78
0.090627596813926,0.9093724031860738,2.1536552585167574,4.936972289778143,4.79
0.09070024934220802,0.9092997506577918,2.1582019388749516,4.93249826194823,4.8
0.09077300970126465,0.9092269902987352,2.1627482557115303,4.928024705470708,4.8100000000000005
0.09084587814726673,0.909154121852733,2.1672942084898668,4.923551621138373,4.82
0.09091885493888771,0.909081145061112,2.171839796672329,4.9190790097475325,4.83
0.09099194023388553,0.9090080597661142,2.1763850197033667,4.914606872011492,4.84
0.09106513341176421,0.9089348665882355,2.180929876898792,4.910135207993945,4.8500000000000005
0.09113843552761285,0.908861564472387,2.1854743678468624,4.905664019161724,4.86
0.09121184683244772,0.908788153167552,2.1900184920029613,4.90119330631046,4.87
0.09128536757911072,0.908714632420889,2.1945622488213177,4.8967230702387665,4.88
0.09135899802229172,0.908641001977708,2.199105637755005,4.89225331174826,4.89
0.09143273841855089,0.9085672615814488,2.203648658255935,4.887784031643589,4.9
0.09150658902634119,0.9084934109736585,2.2081913097748527,4.883315230732462,4.91
0.09158055010603075,0.908419449893969,2.212733591761337,4.8788469098256675,4.92
0.09165462191992521,0.9083453780800745,2.2172755036637923,4.874379069737106,4.93
0.09172880473229018,0.9082711952677096,2.2218170449294483,4.869911711283815,4.94
0.09180309880937357,0.9081969011906262,2.226358215004353,4.865444835285994,4.95
0.09187750441942806,0.9081224955805717,2.2308990133333713,4.86097844256703,4.96
0.09195202183273342,0.9080479781672663,2.2354394393601806,4.856512533953526,4.97
0.09202665132161895,0.9079733486783809,2.239979492527267,4.8520471102753255,4.98
0.09210139316048589,0.9078986068395138,2.2445191722759197,4.84758217236554,4.99
0.09217624762582977,0.90782375237417,2.249058478046231,4.8431177210605725,5.0
0.09225121499626278,0.907748785003737,2.253597409277088,4.838653757200149,5.01
0.0923262955525363,0.9076737044474634,2.258135965406173,4.834190281627337,5.0200000000000005
0.09240148957756313,0.9075985104224367,2.2626741458699566,4.82972729518858,5.03
0.09247679735643999,0.9075232026435598,2.267211950103695,4.825264798733718,5.04
0.09255221917646989,0.90744778082353,2.2717493775414277,4.820802793116016,5.05
0.0926277553271845,0.9073722446728153,2.2762864276159704,4.816341279192187,5.0600000000000005
0.0927034045400618,0.9072965954599379,2.2808230997315326,4.811880256289502,5.07
0.09277916638003522,0.9072208336199645,2.2853593933056793,4.807419724555329,5.08
0.09285504275116044,0.9071449572488393,2.2898953077957525,4.802959686436381,5.09
0.09293103389108347,0.9070689661089162,2.294430842628573,4.7985001427434835,5.1000000000000005
0.09300714003684225,0.9069928599631575,2.298965997229666,4.794041094288149,5.11
0.09308336142482727,0.9069166385751725,2.3035007710232622,4.789582541882538,5.12
0.0931596982907422,0.9068403017092576,2.308035163432289,4.785124486339426,5.13
0.0932361508695645,0.9067638491304352,2.3125691738783654,4.780666928472172,5.14
0.09331271939550612,0.9066872806044936,2.317102801781799,4.77620986909468,5.15
0.09338940410197409,0.9066105958980256,2.3216360465615806,4.771753309021367,5.16
0.09346620522153122,0.9065337947784685,2.3261689076353775,4.767297249067127,5.17
0.09354312298585664,0.906456877014143,2.330701384419532,4.762841690047297,5.18
0.09362015762570657,0.9063798423742931,2.3352334763290545,4.758386632777626,5.19
0.09369730937087478,0.9063026906291249,2.339765182777616,4.753932078074231,5.2
0.09377457845015345,0.9062254215498462,2.3442965031775493,4.749478026753577,5.21
0.09385196509129365,0.9061480349087061,2.348827436939839,4.745024479632428,5.22
0.09392946952096601,0.9060705304790337,2.353357983474119,4.74057143752782,5.23
0.09400709196472137,0.9059929080352783,2.357888142188666,4.736118901257028,5.24
0.09408483264695147,0.9059151673530482,2.3624179124903972,4.731666871637527,5.25
0.09416269179084949,0.9058373082091502,2.3669472937848623,4.72721534948696,5.26
0.0942406696183708,0.9057593303816289,2.3714762854762417,4.722764335623102,5.2700000000000005
0.09431876635019347,0.9056812336498062,2.376004886967338,4.718313830863829,5.28
0.09439698220567905,0.9056030177943206,2.3805330976595744,4.713863836027078,5.29
0.09447531801788721,0.9055246819821126,2.385060917096338,4.709414352402522,5.3
0.09455377365309049,0.9054462263469092,2.389588344594624,4.70496538053944,5.3100000000000005
0.09463234921315271,0.905367650786847,2.3941153795252745,4.700516921168851,5.32
0.0947110449251406,0.9052889550748592,2.398642021287256,4.696068975118857,5.33
0.09478986101524718,0.9052101389847526,2.4031682692782796,4.6916215432179404,5.34
0.09486879770876575,0.905131202291234,2.407694122894798,4.687174626294941,5.3500000000000005
0.09494785523006376,0.905052144769936,2.4122195815320038,4.682728225179033,5.36
0.09502703380255678,0.9049729661974429,2.41674464458383,4.6782823406997,5.37
0.0951063336486825,0.9048936663513172,2.421269311442945,4.6738369736867105,5.38
0.09518575498987454,0.9048142450101252,2.4257935815007525,4.669392124970095,5.39
0.0952652980465365,0.9047347019534633,2.430317454147391,4.664947795380119,5.4
0.09534496303801579,0.9046550369619839,2.434840928771728,4.660503985747261,5.41
0.09542475018257772,0.904575249817422,2.4393640047613623,4.6560606969021885,5.42
0.09550465969737927,0.9044953403026205,2.44388668150262,4.651617929675732,5.43
0.09558469179844317,0.9044153082015566,2.4484089583805555,4.647175684898861,5.44
0.09566484670063172,0.904335153299368,2.4529308347789436,4.6427339634026605,5.45
0.09574512461762077,0.9042548753823789,2.4574523100802854,4.638292766018308,5.46
0.09582552576187375,0.904174474238126,2.4619733836658,4.633852093577047,5.47
0.09590605034461545,0.9040939496553843,2.466494054915428,4.62941194691016,5.48
0.09598669857580604,0.9040133014241937,2.4710143232078257,4.624972326848954,5.49
0.09606747066411503,0.9039325293358847,2.4755341879203647,4.620533234224723,5.5
0.09614836681689515,0.9038516331831046,2.4800536484291307,4.616094669868738,5.51
0.09622938790552076,0.903770612094479,2.4845727041185133,4.6116566352679795,5.5200000000000005
0.09631053708468809,0.9036894629153116,2.489091354404546,4.607219134161115,5.53
0.09639181171874099,0.9036081882812587,2.4936095986185203,4.602782164581193,5.54
0.09647321207981731,0.9035267879201824,2.4981274361323735,4.598345727428416,5.55
0.09655473844203195,0.9034452615579677,2.502644866316795,4.593909823606209,5.5600000000000005
0.09663639108152292,0.9033636089184768,2.507161888541228,4.589474454021267,5.57
0.0967181702764974,0.9032818297235022,2.511678502173869,4.5850396195836005,5.58
0.09680007630727792,0.9031999236927217,2.5161947065816657,4.580605321206584,5.59
0.09688210945634831,0.9031178905436513,2.5207105011303175,4.576171559807003,5.6000000000000005
0.09696427000839988,0.9030357299915998,2.525225885184273,4.571738336305099,5.61
0.09704655825037747,0.9029534417496222,2.5297408581067313,4.567305651624618,5.62
0.09712897447152553,0.9028710255284741,2.5342554192596403,4.562873506692857,5.63
0.09721151896343423,0.9027884810365654,2.5387695680036964,4.55844190244071,5.64
0.0972941920200855,0.9027058079799142,2.5432833036983427,4.554010839802715,5.65
0.09737699393789914,0.9026230060621006,2.547796625701768,4.549580319717103,5.66
0.09745992501577891,0.9025400749842207,2.552309533370909,4.545150343125842,5.67
0.0975429855551586,0.902457014444841,2.5568220260614467,4.540720910974684,5.68
0.09762617586004811,0.9023738241399516,2.5613341031278063,4.536292024213214,5.69
0.09770949623707956,0.9022905037629201,2.5658457639231558,4.531863683794896,5.7
0.09779294699555331,0.9022070530044464,2.570357007799408,4.5274358906771175,5.71
0.09787652844748415,0.9021234715525155,2.574867834107216,4.52300864582124,5.72
0.0979602409076473,0.9020397590923523,2.579378242195976,4.518581950192644,5.73
0.09804408469362445,0.9019559153063752,2.5838882314138227,4.514155804760773,5.74
0.09812805997602243,0.9018719400239772,2.5883978009873294,4.509730210469665,5.75
0.09821216705393845,0.9017878329460612,2.5929069502426496,4.505305168292261,5.76
0.09829640637067533,0.9017035936293243,2.5974156786181033,4.5008806792335445,5.7700000000000005
0.09838077825040968,0.90161922174959,2.601923985452691,4.4964567442786905,5.78
0.09846528302010946,0.9015347169798902,2.606431870083956,4.492033364417125,5.79
0.09854992100957492,0.9014500789904247,2.6109393318479754,4.487610540642572,5.8
0.09863469255147958,0.9013653074485201,2.6154463700793555,4.483188273953096,5.8100000000000005
0.09871959798141107,0.9012804020185886,2.619952984111228,4.4787665653511555,5.82
0.09880463763791221,0.9011953623620874,2.6244591732752456,4.474345415843639,5.83
0.09888981186252191,0.9011101881374778,2.6289649369015753,4.469924826441919,5.84
0.09897512099981608,0.9010248790001836,2.633470274318896,4.465504798161892,5.8500000000000005
0.09906056539744858,0.9009394346025511,2.63797518485439,4.461085332024031,5.86
0.09914614540619224,0.9008538545938074,2.6424796678337428,4.4566664290534215,5.87
0.09923186137997973,0.9007681386200199,2.6469837225811337,4.452248090279818,5.88
0.09931771367594455,0.9006822863240551,2.6514873484192343,4.447830316737682,5.89
0.09940370265446198,0.9005962973455377,2.6559905446692027,4.443413109466231,5.9
0.09948982867918993,0.9005101713208097,2.6604933106506765,4.438996469509486,5.91
0.09957609211711005,0.9004239078828896,2.6649956456817705,4.434580397916312,5.92
0.09966249333856857,0.9003375066614311,2.6694975490790718,4.430164895740469,5.93
0.09974903271731725,0.9002509672826824,2.6739990201576336,4.425749964040656,5.94
0.09983571063055435,0.9001642893694454,2.6785000582309704,4.421335603880556,5.95
0.0999225274589656,0.9000774725410341,2.683000662611054,4.416921816328884,5.96
0.1000094835867651,0.8999905164132346,2.687500832608308,4.412508602459429,5.97
0.10009657173429755,0.8999034282657021,2.6920005674666214,4.4080959557486485,5.98
0.10018379769253308,0.8998162023074666,2.6964998665390683,4.4036838826344376,5.99
0.10027116269631613,0.8997288373036836,2.700998729138518,4.3992723850387705,6.0
0.10035866705637211,0.8996413329436276,2.705497154568407,4.394861463968938,6.01
0.10044631108552032,0.8995536889144794,2.7099951421305875,4.390451120435905,6.0200000000000005
0.10053409509875308,0.8994659049012466,2.714492691125319,4.386041355454406,6.03
0.10062201941331506,0.8993779805866846,2.718989800851267,4.38163217004302,6.04
0.10071008434878238,0.8992899156512173,2.7234864706054966,4.377223565224258,6.05
0.10079829022714189,0.8992017097728578,2.727982699683469,4.372815542024646,6.0600000000000005
0.1008866373728703,0.8991133626271294,2.7324784873790344,4.368408101474808,6.07
0.10097512611301354,0.8990248738869862,2.736973832984433,4.364001244609553,6.08
0.10106375677726578,0.8989362432227339,2.7414687357902845,4.359594972467954,6.09
0.10115252969804885,0.8988474703019509,2.7459631950855865,4.3551892860934345,6.1000000000000005
0.1012414452105912,0.8987585547894085,2.7504572101577094,4.350784186533854,6.11
0.10133050365300734,0.8986694963469923,2.754950780292392,4.346379674841588,6.12
0.10141970536637697,0.8985802946336227,2.7594439047737374,4.341975752073612,6.13
0.10150905069482415,0.8984909493051755,2.7639365828842077,4.337572419291589,6.140000000000001
0.10159853998559652,0.8984014600144031,2.768428813904619,4.3331696775619495,6.15
0.10168817358914459,0.898311826410855,2.7729205971141377,4.3287675279559785,6.16
0.10177795185920084,0.8982220481407989,2.7774119317902772,4.324365971549896,6.17
0.10186787515285901,0.8981321248471407,2.78190281720889,4.3199650094249415,6.18
0.10195794383065329,0.8980420561693464,2.7863932526441664,4.315564642667459,6.19
0.10204815825663753,0.8979518417433622,2.7908832373686274,4.311164872368982,6.2
0.10213851879846442,0.8978614812015353,2.795372770653123,4.306765699626314,6.21
0.10222902582746475,0.8977709741725349,2.7998618517668246,4.302367125541612,6.22
0.10231967971872659,0.8976803202812731,2.8043504799772236,4.297969151222475,6.23
0.10241048085117452,0.8975895191488251,2.808838654550123,4.293571777782024,6.24
0.10250142960764883,0.8974985703923508,2.813326374749637,4.289175006338984,6.25
