Time,Population_of_Eggs,Population_of_Larvae,Population_of_Pupae,Ar,ep,Te,Me,K0,Tl,Tp,Mp,Ml,compartment,reaction_for_E,reaction_for_L,reaction_for_P
0.46,8528.847474453903,4220.660302665682,2820.3323185609565,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2905.356312000554,-1260.9043015424868,-406.0360031870481
0.47,8499.85353470474,4208.116443605214,2816.2705344686783,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2893.439802763648,-1247.9159118274283,-406.3175956813611
0.48,8470.978515506538,4195.701183986971,2812.206024866338,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2881.5721698731872,-1235.1870289360754,-406.5810169121993
0.49,8442.221929098137,4183.411958804656,2808.13896952968,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2869.7532128593343,-1222.7111486254717,-406.8266725231508
0.5,8413.583289718006,4171.246264827993,2804.06954433118,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2857.9827320741006,-1210.4819501349311,-407.0549585351405
0.51,8385.06211359591,4159.201658751127,2799.997921340417,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2846.260528687919,-1198.4932899995847,-407.2662616291227
0.52,8356.657918944631,4147.27575553785,2795.9242689163298,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2834.586404686243,-1186.7391963499167,-407.4609593996038
0.53,8328.37022595175,4135.466226963654,2791.84875179136,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2822.9601628661694,-1175.2138636868267,-407.63942057899396
0.54,8300.198556771476,4123.770800354593,2787.7715311474835,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2811.3816068330766,-1163.9116481222104,-407.80200523279257
0.55,8272.142435523692,4112.187264958469,2783.6927642784685,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2799.850541000237,-1152.8270766721243,-407.9490637894976
0.56,8244.201388287896,4100.713473148482,2779.612604536681,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2788.3667705863254,-1141.9548470070026,-408.08093686098994
0.57,8216.374943079885,4089.3473238995784,2775.531202249649,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2776.9301016058325,-1131.2897949750027,-408.19795777246065
0.58,8188.662629851986,4078.08677079491,2771.448704300981,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2765.540340869166,-1120.8269071532677,-408.30045134517
0.59,8161.063980485495,4066.929822123924,2767.3652541453494,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2754.1972959795385,-1110.5613189139376,-408.3887338884671
0.6,8133.578528783087,4055.874541072307,2763.2809918210983,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2742.9007753298483,-1100.4883127044168,-408.46311317867924
0.61,8106.205810461286,4044.919046121347,2759.1960539540405,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2731.6505880995883,-1090.6033167494616,-408.5238884069065
0.62,8078.94536314299,4034.0615116567155,2755.110573752455,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2720.4465442517685,-1080.901904167395,-408.57135009572096
0.63,8051.796726350072,4023.3001687866604,2751.0246809932823,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2709.2884545298793,-1071.3797924930022,-408.60577998477333
0.64,8024.759441483503,4012.6332426786835,2746.938504634399,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2698.1761304497195,-1062.0327296516107,-408.62746032760697
0.65,7997.833051809562,4002.05892068739,2742.8521741529225,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2687.10938429373,-1052.8564365260008,-408.6366786235716
0.66,7971.017102483745,3991.575511923448,2738.765812963519,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2676.0880291208186,-1043.8468912258631,-408.63370396819016
0.67,7944.311140527789,3981.181368453341,2734.679541697838,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2665.1118787569208,-1035.000185905732,-408.61879874215754
0.68,7917.71471482175,3970.8748829127076,2730.593478322601,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2654.180747791739,-1026.3125210429798,-408.5922189718334
0.69,7891.227376096492,3960.6544880579604,2726.5077381773644,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2643.294451575658,-1017.7802032353702,-408.55421440233545
0.7,7864.84867692621,3950.518656409509,2722.422434008356,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2632.452806216672,-1009.3996432025469,-408.5050285570045
0.71,7838.578171721004,3940.465899986588,2718.33767599838,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2621.655628577332,-1001.1673539876706,-408.44489878323907
0.72,7812.415416719489,3930.494770133692,2714.253571792799,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2610.9027362717097,-993.0799493555378,-408.3740562847046
0.73,7786.359969977299,3920.6038351494553,2710.1702273613,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2600.19394766067,-985.1341033269332,-408.2927294159408
0.74,7760.411391356518,3910.7916627201894,2706.087747678177,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2589.5290818475287,-977.326518667433,-408.2011462706266
0.75,7734.569242530285,3901.05688391182,2702.0062343295212,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2578.907958679947,-969.6540380778933,-408.09952528233623
0.76,7708.833086969817,3891.3981623876707,2697.925786690438,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2568.3303987445943,-962.1135889462944,-407.9880797549082
0.77,7683.202489936849,3881.8141927053593,2693.846502006265,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2557.7962233640446,-954.7021793476065,-407.8670181186401
0.78,7657.677018476319,3872.3036997266054,2689.7684754313827,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2547.305254593767,-947.4168960329885,-407.73654402274633
0.79,7632.256241409076,3862.8654380734456,2685.691800065806,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2536.85731521913,-940.2549025331155,-407.59685642082854
0.8,7606.939729324622,3853.4981916308616,2681.6165669895445,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2526.4522287524196,-933.2134373735173,-407.44814964936256
0.81,7581.727054573891,3844.2007730958167,2677.542865294741,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2516.0898194298693,-926.2898123998602,-407.2906134991989
0.82,7556.617791261311,3834.972017564934,2673.4707823402828,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2505.7699122083986,-919.4814008895833,-407.1244341625263
0.83,7531.611515236822,3825.810775631723,2669.400404024265,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2495.4923327623337,-912.7856249812689,-406.94979525170834
0.84,7506.7078040912265,3816.7159328307816,2665.3318140705537,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2485.2569074814937,-906.1999883420831,-406.7668749479811
0.85,7481.90623714795,3807.6864002441953,2661.2650943934304,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2475.0634634678077,-899.722059195466,-406.5758473858147
0.86,7457.206395455896,3798.7211135664807,2657.2003251453884,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2464.911828532373,-893.3494679791629,-406.376882794678
0.87,7432.607861782386,3789.819032645965,2653.1375847466184,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2454.8018311925603,-887.0799058478008,-406.1701475706508
0.88,7408.110220606123,3780.979141059174,2649.07694991277,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2444.7333006691165,-880.9111232550972,-405.9558043430201
0.89,7383.713058110201,3772.200445718224,2645.018495680991,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2434.7060668832924,-874.840928614296,-405.73401203585934
0.9,7359.415962175125,3763.481976511225,2640.9622954342385,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2424.719960453976,-868.8671870354642,-405.504925924591
0.91,7335.21852237141,3754.8227808578104,2636.9084212353782,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2414.774812694649,-862.9878105096002,-405.26869848064126
0.92,7311.120329951993,3746.2219161069656,2632.8569442928883,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2404.870455610269,-857.2007445866523,-405.0254805505667
0.93,7287.120977847139,3737.678468491261,2628.8079338104767,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2395.006721895174,-851.5039998110597,-404.77541841988034
0.94,7263.220060656815,3729.1915444467054,2624.7614575189714,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2385.183444929951,-845.8956364700894,-404.51865515942717
0.95,7239.417174643798,3720.7602696054064,2620.7175817414836,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2375.4004587786008,-840.3737623627635,-404.2553307828167
0.96,7215.711917726873,3712.383788365078,2616.6763714237463,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2365.6575981857445,-834.9365315617795,-403.98558231456025
0.97,7192.103889474058,3704.061263478927,2612.637890163497,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2355.9546985738375,-829.5821432273565,-403.70954385514864
0.98,7168.592691095852,3695.7918756659337,2608.602200238904,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2346.2915960403952,-824.3088404721602,-403.4273466430673
0.99,7145.177925438526,3687.574823241512,2604.5693626360376,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2336.668127355234,-819.114909276389,-403.1391191137524
1.0,7121.859196977044,3679.4093208974223,2600.5394370547024,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2327.084129957565,-813.9986760098686,-402.84498706509044
1.01,7098.636111807725,3671.294597794868,2596.5124818965296,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2317.539441952975,-808.9585038510031,-402.54507390884214
1.02,7075.508277643245,3663.229900977716,2592.4885543779224,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2308.033902111373,-803.9927980242283,-402.23950025218033
1.03,7052.475303805356,3655.2144935297724,2588.46771051679,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2298.5673498640012,-799.1000023271199,-401.9283841400446
1.04,7029.536801218246,3647.247654123977,2584.4500051508853,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2289.139625300699,-794.2785979870087,-401.61184112186714
1.05,7006.692382401973,3639.328676724644,2580.435491958334,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2279.750569167211,-789.5271027839649,-401.2899842985437
1.06,6983.941661465941,3631.4568703076893,2576.424223477153,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2270.400022862502,-784.8440702154246,-400.96292436664896
1.07,6961.284254102396,3623.631558598867,2572.4162511237573,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2261.0878284360842,-780.2280887018173,-400.63076965988625
1.08,6938.719777579957,3615.852079830002,2568.41162521045,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2251.813828585362,-775.6777808325296,-400.2936261877798
1.09,6916.247850736506,3608.1177833785578,2564.410395133962,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2242.5778666527035,-771.1917975506337,-399.95159815092325
1.1,6893.868093971514,3600.428023579295,2560.412609719184,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2233.379786622292,-766.7688078122533,-399.6047888886334
1.11,6871.580129243007,3592.7821753837893,2556.4183163636762,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2224.2194331188757,-762.407523782525,-399.2532984858587
1.12,6849.3835800597835,3585.179627455503,2552.427561420687,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2215.096651404571,-758.1066892373726,-398.89722483038935
1.13,6827.2780714749315,3577.619781247737,2548.440390253753,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2206.011287376197,-753.8650777602793,-398.5366637552211
1.14,6805.263230079509,3570.1020508097536,2544.456847251301,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2196.9631875626783,-749.6814921345745,-398.17170906956625
1.15,6783.338683996272,3562.6258626089857,2540.4769758403554,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2187.952199122468,-745.5547637697441,-397.8024525873984
1.16,6761.504062873416,3555.190655369341,2536.500818499325,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2178.978169840974,-741.4837521612903,-397.4289841535257
1.17,6739.758997878351,3547.7958799255944,2532.5284167698887,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2170.040948128002,-737.4673443836218,-397.0513916671971
1.18,6718.103121691506,3540.440999093875,2528.559811267971,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2161.140383015209,-733.5044546155152,-396.66976110323674
1.19,6696.536068500169,3533.1254875582426,2524.5950416938135,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2152.276324153569,-729.5940236976458,-396.28417653071426
1.2,6675.057473992333,3525.848831773359,2520.634146841131,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2143.4486218108486,-725.7350187217553,-395.8947201291396
1.21,6653.666975350601,3518.610529883246,2516.6771646053685,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2134.657126869097,-721.9264326509899,-395.5014722021945
1.22,6632.36421124609,3511.410091642166,2512.7241319918157,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2125.901690822143,-718.1672839487737,-395.10451119113026
1.23,6611.148821826642,3504.247015592684,2508.7750863768756,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2117.1821657707496,-714.456580149242,-394.703917167414
1.24,6590.020448714803,3497.120804922013,2504.8300646380635,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2108.498404421784,-710.7933430437765,-394.2997694082632
1.25,6568.978735007283,3490.030989089566,2500.889101965973,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2099.8502600879933,-707.1766427148591,-393.8921430892759
1.26,6548.02332526473,3482.977106915962,2496.9522327997806,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2091.2375866838042,-703.6055704227979,-393.4811118727856
1.27,6527.153865505744,3475.9587064300185,2493.0194908393246,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2082.6602387228604,-700.0792381675226,-393.06674793252483
1.28,6506.370003200922,3468.9753447261746,2489.0909090565915,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2074.1180713155786,-696.5967782721727,-392.6491219766885
1.29,6485.671387266937,3462.0265878323667,2485.166519706605,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2065.610940166711,-693.1573429882185,-392.2283032693883
1.3,6465.05766806063,3455.1120105883474,2481.2463543377157,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2057.1387015729188,-689.7601041217977,-391.8043596505046
1.31,6444.528497373143,3448.231196534443,2477.330443801299,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2048.7012124203616,-686.4042526809578,-391.3773575539323
1.32,6424.083528424071,3441.3837378107637,2473.418818260852,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2040.2983301822933,-683.0889985435483,-390.94736202422115
1.33,6403.722415855642,3434.5692350668514,2469.5115072004937,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2031.9299129166689,-679.8135701454605,-390.5144367316121
1.34,6383.444815726928,3427.787297381773,2465.6085394328757,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2023.5958192637672,-676.5772141889313,-390.0786439854681
1.35,6363.25038550808,3421.037542194658,2461.7099431064853,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2015.2959084438207,-673.3791953706727,-389.6400447461001
1.36,6343.138784073799,3414.3195934491873,2457.8157458010855,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-2007.0300402543312,-670.2187933455589,-389.19869890628286
1.37,6323.109671690376,3407.633065067831,2453.925975347578,20.0,30.0,0.361,0.05,0.0002,0.134,0.342,0.0025,0.0501,1.0,-1998.7980750647444,-667.095277027478,-388.7546677881513
