Ca_ER,Ca_cyt,Ca_mit,G_alpha,PLC,Time
11.238386506689594,0.0025577005095400247,0.0010018909281570654,1.0857609336262823,4.393683511362815,3.08
11.248344882562892,0.00257025352955797,0.001001930910893656,1.089239030304393,4.414583759569005,3.09
11.258348863716625,0.0025828262439707515,0.001001971411296998,1.092716992313282,4.435511698356172,3.1
11.268398500383684,0.002595418659422002,0.0010020124333064554,1.0961948193269317,4.456467306985923,3.11
11.278493842672376,0.002608030779930224,0.0010020539808763581,1.0996725110196053,4.477450565327653,3.12
11.288634940567704,0.002620662612624127,0.0010020960579755144,1.103150067065864,4.498461453851587,3.13
11.29882184393278,0.002633314162447986,0.0010021386685874789,1.1066274871405524,4.5194999536219465,3.14
11.309054602508143,0.0026459854374485865,0.0010021818167105655,1.1101047709187917,4.540566046290175,3.15
11.319333265914334,0.002658676443323467,0.0010022255063578652,1.1135819180759756,4.561659714088273,3.16
11.329657883650883,0.0026713871890257507,0.001002269741557323,1.1170589282877632,4.582780939822203,3.17
11.34002850509903,0.0026841176809714986,0.0010023145263517554,1.1205358012300737,4.603929706865388,3.18
11.350445179520689,0.0026968679289943367,0.0010023598647989145,1.1240125365790798,4.625105999152287,3.19
11.360907956061256,0.0027096379401987643,0.0010024057609715196,1.1274891340112019,4.646309801172056,3.2
11.371416883748543,0.00272242772527475,0.0010024522189573096,1.130965593203103,4.6675410979622916,3.21
11.38197201149567,0.002735237291987239,0.0010024992428590862,1.1344419138316824,4.688799875102854,3.22
11.392573388099963,0.0027480666518597606,0.0010025468367947554,1.13791809557407,4.7100861187097625,3.23
11.40322106224594,0.0027609158132910175,0.0010025950048973829,1.1413941381076202,4.731399815429187,3.24
11.413915082504147,0.002773784788616696,0.0010026437513152246,1.1448700411099084,4.752740952431485,3.25
11.424655497334232,0.002786673586843908,0.001002693080211793,1.148345804258722,4.774109517405355,3.2600000000000002
11.435442355083751,0.0027995822211004996,0.0010027429957658784,1.1518214272320586,4.795505498552026,3.27
11.4462757039913,0.002812510700977913,0.0010027935021716247,1.155296909708117,4.816928884579549,3.2800000000000002
11.457155592185268,0.002825459040377455,0.0010028446036385423,1.1587722513652956,4.838379664697144,3.29
11.468082067687071,0.002838427249451995,0.0010028963043915938,1.1622474518821837,4.859857828609632,3.3000000000000003
11.47905517840981,0.002851415342858837,0.0010029486086711966,1.1657225109375589,4.881363366511926,3.31
11.49007497216161,0.0028644233312904808,0.001003001520733321,1.169197428210379,4.902896269083605,3.3200000000000003
11.5011414966442,0.0028774512301439296,0.0010030550448494806,1.172672203379781,4.924456527483542,3.33
11.512254799456345,0.0028904990506305574,0.0010031091853068435,1.1761468361250695,4.946044133344615,3.34
11.523414928092423,0.0029035668088088613,0.0010031639464081954,1.1796213261257216,4.9676590787684765,3.35
11.534621929945226,0.0029166545167181412,0.0010032193324722037,1.1830956730613644,4.989301356320389,3.36
11.545875852306546,0.0029297621904472225,0.0010032753478329602,1.1865698766117994,5.010970959024133,3.37
11.557176742367472,0.0029428898432106317,0.001003331996840718,1.1900439364569624,5.032667880356975,3.38
11.568524647219606,0.002956037491440141,0.0010033892838614293,1.1935178522769445,5.054392114244695,3.39
11.579919613857037,0.0029692051488980483,0.001003447213276986,1.1969916237519753,5.0761436550566845,3.4
11.591361689175578,0.002982392832677621,0.001003505789485254,1.200465250562423,5.097922497601112,3.41
11.602850919975737,0.0029956005570044497,0.0010035650169000932,1.203938732388786,5.119728637120125,3.42
11.614387352961623,0.003008828339628411,0.0010036248999514396,1.2074120689116916,5.141562069285147,3.43
11.625971034744023,0.0030220761952239996,0.00100368544308533,1.2108852598118878,5.163422790192203,3.44
11.63760201183924,0.0030353441421836483,0.00100374665076397,1.2143583047702424,5.185310796357327,3.45
11.649280330672221,0.003048632195614702,0.0010038085274657752,1.2178312034677339,5.207226084712012,3.46
11.66100603757533,0.003061940374541924,0.0010038710776854227,1.2213039555854517,5.229168652598729,3.47
11.672779178791513,0.0030752686944911503,0.0010039343059339086,1.2247765608045866,5.251138497766491,3.48
11.684599800473013,0.0030886171751102224,0.0010039982167385866,1.2282490188064317,5.273135618366487,3.49
11.696467948684592,0.003101985832329277,0.0010040628146432379,1.2317213292723719,5.295160012947753,3.5
